Time (s),Mass (g),HRR (kW/m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.00,107.22,86.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.80,106.91,86.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.20,106.61,87.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.00,106.25,86.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.80,105.95,86.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.20,105.62,84.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.00,105.30,83.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.80,104.97,84.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.20,104.69,84.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.00,104.34,84.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.80,104.06,81.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.20,103.72,80.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.00,103.40,82.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.80,103.09,82.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.20,102.78,81.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.00,102.46,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.80,102.17,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295.20,101.85,79.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.00,101.58,75.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.80,101.25,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.20,100.99,76.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.00,100.66,75.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319.80,100.39,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325.20,100.08,77.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330.00,99.79,75.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.80,99.49,74.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340.20,99.21,74.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345.00,98.91,74.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349.80,98.63,75.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.20,98.33,73.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.00,98.08,72.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364.80,97.77,73.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370.20,97.51,73.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375.00,97.19,72.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.80,96.94,70.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385.20,96.69,71.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390.00,96.39,71.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394.80,96.15,72.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.20,95.86,69.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405.00,95.59,68.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409.80,95.32,68.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415.20,95.04,68.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.00,94.78,67.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424.80,94.54,66.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430.20,94.27,67.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.00,94.00,66.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.80,93.75,67.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.20,93.49,66.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.00,93.23,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.80,92.99,63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.20,92.73,65.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465.00,92.48,65.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469.80,92.23,65.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475.20,91.97,63.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.00,91.71,65.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484.80,91.47,65.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490.20,91.23,65.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495.00,90.99,64.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499.80,90.71,63.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505.20,90.48,64.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.00,90.26,64.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514.80,90.00,63.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520.20,89.77,62.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525.00,89.51,61.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529.80,89.27,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.20,89.06,62.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540.00,88.80,60.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544.80,88.56,60.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550.20,88.30,62.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.00,88.09,62.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559.80,87.81,61.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565.20,87.62,61.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570.00,87.36,61.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574.80,87.12,62.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580.20,86.89,63.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585.00,86.69,62.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589.80,86.45,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595.20,86.21,61.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.00,85.97,63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.80,85.74,63.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610.20,85.50,61.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615.00,85.25,61.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619.80,85.05,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625.20,84.79,63.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630.00,84.57,63.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634.80,84.33,63.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640.20,84.11,63.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645.00,83.90,65.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649.80,83.63,64.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655.20,83.44,62.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660.00,83.16,61.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664.80,82.92,63.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670.20,82.73,65.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675.00,82.47,64.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.80,82.26,63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685.20,82.03,62.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690.00,81.79,64.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694.80,81.60,64.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700.20,81.35,65.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705.00,81.13,64.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709.80,80.94,64.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715.20,80.66,64.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.00,80.45,65.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724.80,80.23,65.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730.20,79.99,64.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735.00,79.77,66.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739.80,79.53,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745.20,79.32,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750.00,79.07,64.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754.80,78.85,63.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760.20,78.64,65.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765.00,78.41,66.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769.80,78.17,67.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775.20,77.96,65.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780.00,77.71,66.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784.80,77.48,68.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790.20,77.27,68.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795.00,77.04,66.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799.80,76.77,66.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805.20,76.57,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810.00,76.36,69.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814.80,76.09,70.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820.20,75.88,69.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825.00,75.65,68.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829.80,75.42,69.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835.20,75.18,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840.00,75.02,69.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844.80,74.76,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850.20,74.53,69.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855.00,74.28,71.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859.80,74.07,71.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865.20,73.81,70.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.00,73.59,75.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874.80,73.31,75.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880.20,73.09,73.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885.00,72.84,72.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889.80,72.61,71.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895.20,72.38,72.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.00,72.13,74.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904.80,71.89,74.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910.20,71.63,72.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.00,71.39,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.80,71.13,74.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925.20,70.90,75.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930.00,70.62,74.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934.80,70.36,74.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940.20,70.13,74.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945.00,69.86,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949.80,69.62,76.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955.20,69.36,76.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960.00,69.11,75.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964.80,68.82,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.20,68.59,77.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975.00,68.30,78.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979.80,68.04,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985.20,67.76,78.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990.00,67.51,80.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994.80,67.20,82.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.20,66.95,80.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005.00,66.69,87.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009.80,66.38,86.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015.20,66.12,86.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020.00,65.86,84.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024.80,65.53,84.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030.20,65.26,83.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035.00,65.00,86.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039.80,64.69,85.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045.20,64.40,86.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050.00,64.14,87.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054.80,63.82,87.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060.20,63.53,88.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065.00,63.24,88.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069.80,62.93,87.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075.20,62.66,93.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080.00,62.32,93.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084.80,62.02,92.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090.20,61.75,89.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095.00,61.41,89.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099.80,61.12,91.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105.20,60.84,93.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110.00,60.50,93.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114.80,60.19,93.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120.20,59.91,92.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125.00,59.54,94.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129.80,59.24,94.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135.20,58.95,95.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.00,58.61,94.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.80,58.33,93.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150.20,57.98,98.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155.00,57.67,97.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159.80,57.36,96.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165.20,57.01,96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170.00,56.69,102.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174.80,56.37,96.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180.20,56.03,95.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185.00,55.72,95.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189.80,55.39,102.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.20,55.07,102.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.00,54.71,101.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204.80,54.42,100.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210.20,54.07,98.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215.00,53.74,106.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219.80,53.40,104.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225.20,53.09,103.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230.00,52.75,99.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234.80,52.46,100.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240.20,52.07,106.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245.00,51.75,106.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249.80,51.44,105.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255.20,51.08,103.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.00,50.76,102.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264.80,50.45,108.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270.20,50.12,106.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275.00,49.80,101.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279.80,49.44,99.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285.20,49.13,103.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290.00,48.82,102.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294.80,48.46,103.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300.20,48.15,102.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305.00,47.85,100.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309.80,47.51,101.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315.20,47.20,102.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320.00,46.89,101.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324.80,46.61,99.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330.20,46.26,98.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335.00,45.97,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339.80,45.63,100.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345.20,45.34,98.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350.00,45.05,98.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354.80,44.70,99.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360.20,44.42,100.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365.00,44.14,94.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369.80,43.80,96.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375.20,43.52,96.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380.00,43.26,101.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384.80,42.95,100.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390.20,42.66,94.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395.00,42.33,94.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399.80,42.06,95.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405.20,41.77,96.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410.00,41.48,95.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414.80,41.23,95.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420.20,40.92,94.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425.00,40.65,94.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429.80,40.38,94.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435.20,40.10,93.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440.00,39.85,92.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444.80,39.55,94.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450.20,39.29,92.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455.00,39.05,91.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459.80,38.75,92.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465.20,38.53,88.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470.00,38.29,87.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474.80,38.00,88.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480.20,37.78,88.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485.00,37.51,88.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489.80,37.29,87.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495.20,37.03,87.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.00,36.81,87.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504.80,36.56,88.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510.20,36.34,86.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515.00,36.09,85.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519.80,35.87,85.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525.20,35.64,85.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
