Time (s),Temperature (K),Mass (mg),,,,
498.138,387.129,7.94878469,,,,
500.6358,387.629,7.948660312,,,,
503.1354,388.129,7.949188515,,,,
505.6362,388.629,7.949112596,,,,
508.1382,389.129,7.948623968,,,,
510.6426,389.629,7.948486667,,,,
513.1524,390.129,7.948504436,,,,
515.6664,390.629,7.948589239,,,,
518.1834,391.129,7.948672427,,,,
520.7034,391.629,7.948766922,,,,
523.2282,392.129,7.948806497,,,,
525.7554,392.629,7.948804881,,,,
528.2802,393.129,7.948793574,,,,
530.8038,393.629,7.948703118,,,,
533.3286,394.129,7.948716848,,,,
535.857,394.629,7.948543203,,,,
538.3854,395.129,7.948242757,,,,
540.9132,395.629,7.948289601,,,,
543.4452,396.129,7.94864739,,,,
545.9838,396.629,7.948701502,,,,
548.5242,397.129,7.948607007,,,,
551.0628,397.629,7.948660312,,,,
553.6026,398.129,7.948749961,,,,
556.1484,398.629,7.948858994,,,,
558.6936,399.129,7.948676465,,,,
561.2316,399.629,7.948055382,,,,
563.7684,400.129,7.947731515,,,,
566.3088,400.629,7.947312344,,,,
568.8516,401.129,7.9469909,,,,
571.392,401.629,7.946814832,,,,
573.9354,402.129,7.946860868,,,,
576.4902,402.629,7.947162929,,,,
579.0504,403.129,7.947403609,,,,
581.6106,403.629,7.947412493,,,,
584.1732,404.129,7.947323651,,,,
586.7412,404.629,7.947265501,,,,
589.3128,405.129,7.947066011,,,,
591.8844,405.629,7.946865714,,,,
594.4566,406.129,7.946761527,,,,
597.0342,406.629,7.946499041,,,,
599.6142,407.129,7.946575767,,,,
602.1936,407.629,7.946734067,,,,
604.7736,408.129,7.946996553,,,,
607.3548,408.629,7.9471282,,,,
609.9354,409.129,7.947094279,,,,
612.516,409.629,7.94710074,,,,
615.0978,410.129,7.947101548,,,,
617.682,410.629,7.947182313,,,,
620.2698,411.129,7.947361611,,,,
622.8618,411.629,7.94745126,,,,
625.458,412.129,7.947613598,,,,
628.059,412.629,7.947406032,,,,
630.6648,413.129,7.946578998,,,,
633.2724,413.629,7.945706736,,,,
635.8818,414.129,7.944924123,,,,
638.4948,414.629,7.944703635,,,,
641.1102,415.129,7.944699597,,,,
643.728,415.629,7.944703635,,,,
646.3476,416.129,7.944694751,,,,
648.972,416.629,7.944722211,,,,
651.6006,417.129,7.944828821,,,,
654.2322,417.629,7.944899894,,,,
656.865,418.129,7.944807822,,,,
659.499,418.629,7.944706865,,,,
662.136,419.129,7.944714134,,,,
664.773,419.629,7.944592987,,,,
667.4112,420.129,7.944429034,,,,
670.0524,420.629,7.94440965,,,,
672.6984,421.129,7.944366845,,,,
675.3492,421.629,7.944180278,,,,
678.0036,422.129,7.944101128,,,,
680.6628,422.629,7.944095474,,,,
683.325,423.129,7.944173009,,,,
685.992,423.629,7.944278003,,,,
688.662,424.129,7.944305463,,,,
691.332,424.629,7.944307079,,,,
694.005,425.129,7.944274773,,,,
696.681,425.629,7.944180278,,,,
699.3594,426.129,7.944081744,,,,
702.0408,426.629,7.943898408,,,,
704.7276,427.129,7.943720725,,,,
707.4198,427.629,7.943525273,,,,
710.1156,428.129,7.943459854,,,,
712.8162,428.629,7.943119833,,,,
715.5192,429.129,7.942675626,,,,
718.2264,429.629,7.942368719,,,,
720.9384,430.129,7.942129654,,,,
723.6552,430.629,7.941963278,,,,
726.378,431.129,7.941766212,,,,
729.102,431.629,7.941491611,,,,
731.8296,432.129,7.941309889,,,,
734.5578,432.629,7.941139475,,,,
737.283,433.129,7.940861644,,,,
740.0076,433.629,7.94071869,,,,
742.734,434.129,7.940675884,,,,
745.4634,434.629,7.940766341,,,,
748.1958,435.129,7.940151719,,,,
750.9366,435.629,7.939208384,,,,
753.6876,436.129,7.938868364,,,,
756.441,436.629,7.938072021,,,,
759.1998,437.129,7.937350789,,,,
761.961,437.629,7.936708707,,,,
764.7276,438.129,7.936321035,,,,
767.4888,438.629,7.936217656,,,,
770.2566,439.129,7.936060164,,,,
773.0286,439.629,7.935852598,,,,
775.8036,440.129,7.935742758,,,,
778.5798,440.629,7.935607073,,,,
781.3608,441.129,7.935399507,,,,
784.1454,441.629,7.935256553,,,,
786.9276,442.129,7.935167711,,,,
789.714,442.629,7.935087754,,,,
792.5028,443.129,7.934792962,,,,
795.294,443.629,7.934035386,,,,
798.0876,444.129,7.9334773,,,,
800.8908,444.629,7.932534772,,,,
803.6964,445.129,7.931868461,,,,
806.5056,445.629,7.931143999,,,,
809.3196,446.129,7.930308081,,,,
812.1372,446.629,7.929489124,,,,
814.953,447.129,7.929061877,,,,
817.7676,447.629,7.928910847,,,,
820.5834,448.129,7.928557096,,,,
823.4016,448.629,7.928059584,,,,
826.2204,449.129,7.927304431,,,,
829.0434,449.629,7.926435399,,,,
831.8736,450.129,7.925986346,,,,
834.7104,450.629,7.925581713,,,,
837.5508,451.129,7.924631917,,,,
840.3936,451.629,7.922988349,,,,
843.2364,452.129,7.921574962,,,,
846.0768,452.629,7.920067079,,,,
848.9154,453.129,7.919218239,,,,
851.7522,453.629,7.918740918,,,,
854.589,454.129,7.918202215,,,,
857.4294,454.629,7.91743414,,,,
860.2746,455.129,7.916926128,,,,
863.1216,455.629,7.916309084,,,,
865.9698,456.129,7.915708192,,,,
868.8234,456.629,7.915050765,,,,
871.6776,457.129,7.914141351,,,,
874.5294,457.629,7.913238398,,,,
877.383,458.129,7.91234433,,,,
880.2432,458.629,7.911112664,,,,
883.1046,459.129,7.909894727,,,,
885.966,459.629,7.908986121,,,,
888.8364,460.129,7.908033094,,,,
891.7122,460.629,7.907210906,,,,
894.5892,461.129,7.906428294,,,,
897.4656,461.629,7.905417116,,,,
900.3486,462.129,7.904275906,,,,
903.2286,462.629,7.902696951,,,,
906.102,463.129,7.899829793,,,,
908.9742,463.629,7.898907457,,,,
911.8488,464.129,7.897771093,,,,
914.7198,464.629,7.896439278,,,,
917.5944,465.129,7.894986316,,,,
920.4786,465.629,7.893704576,,,,
923.37,466.129,7.891586917,,,,
926.2632,466.629,7.889732553,,,,
929.1636,467.129,7.888609919,,,,
932.0646,467.629,7.887406521,,,,
934.9632,468.129,7.886233813,,,,
937.8576,468.629,7.884880999,,,,
940.752,469.129,7.883429652,,,,
943.6416,469.629,7.881101197,,,,
946.53,470.129,7.879366365,,,,
949.4232,470.629,7.878110469,,,,
952.3212,471.129,7.876099421,,,,
955.2258,471.629,7.874194174,,,,
958.1388,472.129,7.872224316,,,,
961.0584,472.629,7.870361068,,,,
963.981,473.129,7.868571315,,,,
966.906,473.629,7.866799331,,,,
969.8286,474.129,7.864806051,,,,
972.7476,474.629,7.862202187,,,,
975.6642,475.129,7.860472201,,,,
978.5802,475.629,7.858772905,,,,
981.4956,476.129,7.85645495,,,,
984.417,476.629,7.854610277,,,,
987.3432,477.129,7.852477274,,,,
990.276,477.629,7.850851474,,,,
993.2136,478.129,7.849054453,,,,
996.1554,478.629,7.847001407,,,,
999.099,479.129,7.845348147,,,,
1002.0444,479.629,7.843673889,,,,
1004.988,480.129,7.841708876,,,,
1007.9328,480.629,7.839742248,,,,
1010.8782,481.129,7.837803081,,,,
1013.82,481.629,7.835044956,,,,
1016.7636,482.129,7.833169593,,,,
1019.7126,482.629,7.83070303,,,,
1022.6628,483.129,7.828843012,,,,
1025.6136,483.629,7.82470219,,,,
1028.5644,484.129,7.822118518,,,,
1031.5176,484.629,7.819513847,,,,
1034.4678,485.129,7.817336422,,,,
1037.4168,485.629,7.814452304,,,,
1040.3664,486.129,7.812169077,,,,
1043.322,486.629,7.809572483,,,,
1046.2752,487.129,7.806702095,,,,
1049.2308,487.629,7.803862397,,,,
1052.1906,488.129,7.801673666,,,,
1055.1546,488.629,7.799964678,,,,
1058.118,489.129,7.797742833,,,,
1061.0868,489.629,7.795852932,,,,
1064.058,490.129,7.79320061,,,,
1067.0262,490.629,7.790876193,,,,
1069.9926,491.129,7.78901779,,,,
1072.9596,491.629,7.786833905,,,,
1075.923,492.129,7.784799434,,,,
1078.887,492.629,7.781399228,,,,
1081.8546,493.129,7.779262993,,,,
1084.8234,493.629,7.776948269,,,,
1087.7904,494.129,7.774223257,,,,
1090.761,494.629,7.770849703,,,,
1093.7346,495.129,7.768209496,,,,
1096.707,495.629,7.765710626,,,,
1099.6812,496.129,7.763128569,,,,
1102.6632,496.629,7.759519989,,,,
1105.6476,497.129,7.756445266,,,,
1108.6332,497.629,7.754358298,,,,
1111.6206,498.129,7.750649569,,,,
1114.6086,498.629,7.748073166,,,,
1117.5936,499.129,7.745921586,,,,
1120.5738,499.629,7.743414641,,,,
1123.5534,500.129,7.740715474,,,,
1126.533,500.629,7.737880623,,,,
1129.5132,501.129,7.734976313,,,,
1132.4946,501.629,7.732126117,,,,
1135.4808,502.129,7.728754985,,,,
1138.4688,502.629,7.725187595,,,,
1141.4556,503.129,7.722607961,,,,
1144.4424,503.629,7.718930731,,,,
1147.4316,504.129,7.715891544,,,,
1150.419,504.629,7.713640623,,,,
1153.4052,505.129,7.70993351,,,,
1156.395,505.629,7.706446885,,,,
1159.3866,506.129,7.703721874,,,,
1162.377,506.629,7.699950956,,,,
1165.3698,507.129,7.69658144,,,,
1168.3644,507.629,7.693809585,,,,
1171.3584,508.129,7.68936428,,,,
1174.3518,508.629,7.686158717,,,,
1177.3458,509.129,7.683155874,,,,
1180.3398,509.629,7.679398686,,,,
1183.335,510.129,7.67643138,,,,
1186.3314,510.629,7.672825223,,,,
1189.329,511.129,7.669008269,,,,
1192.3278,511.629,7.664361859,,,,
1195.3278,512.129,7.660084544,,,,
1198.329,512.629,7.656436389,,,,
1201.3332,513.129,7.652336758,,,,
1204.3392,513.629,7.647882568,,,,
1207.3446,514.129,7.64408419,,,,
1210.3506,514.629,7.639677652,,,,
1213.3554,515.129,7.635058701,,,,
1216.3554,515.629,7.631631842,,,,
1219.353,516.129,7.626614721,,,,
1222.3494,516.629,7.621835048,,,,
1225.344,517.129,7.617598924,,,,
1228.3416,517.629,7.612363736,,,,
1231.3428,518.129,7.607793245,,,,
1234.3464,518.629,7.603163795,,,,
1237.353,519.129,7.598112752,,,,
1240.359,519.629,7.593232931,,,,
1243.3596,520.129,7.588374916,,,,
1246.3596,520.629,7.583516901,,,,
1249.3608,521.129,7.578735613,,,,
1252.3602,521.629,7.573169289,,,,
1255.3626,522.129,7.56700692,,,,
1258.3686,522.629,7.561837152,,,,
1261.3758,523.129,7.555695782,,,,
1264.3848,523.629,7.550315217,,,,
1267.395,524.129,7.545746341,,,,
1270.4076,524.629,7.540019295,,,,
1273.4244,525.129,7.533949805,,,,
1276.4388,525.629,7.528272834,,,,
1279.4514,526.129,7.522855117,,,,
1282.4616,526.629,7.516658019,,,,
1285.4682,527.129,7.510599029,,,,
1288.4688,527.629,7.504658763,,,,
1291.467,528.129,7.498406744,,,,
1294.4622,528.629,7.492248413,,,,
1297.4568,529.129,7.486278264,,,,
1300.4526,529.629,7.479694301,,,,
1303.4472,530.129,7.473544047,,,,
1306.443,530.629,7.467807309,,,,
1309.4448,531.129,7.461397798,,,,
1312.4472,531.629,7.454414049,,,,
1315.4514,532.129,7.44752964,,,,
1318.4628,532.629,7.441508609,,,,
1321.4796,533.129,7.434582203,,,,
1324.4958,533.629,7.428104042,,,,
1327.5126,534.129,7.421659803,,,,
1330.5306,534.629,7.414538753,,,,
1333.545,535.129,7.406934728,,,,
1336.5564,535.629,7.398929301,,,,
1339.5672,536.129,7.391112057,,,,
1342.578,536.629,7.383394961,,,,
1345.5894,537.129,7.375760246,,,,
1348.602,537.629,7.368173182,,,,
1351.614,538.129,7.360001379,,,,
1354.6272,538.629,7.352045219,,,,
1357.6404,539.129,7.343951758,,,,
1360.653,539.629,7.335918871,,,,
1363.665,540.129,7.327783413,,,,
1366.6776,540.629,7.319741642,,,,
1369.6896,541.129,7.312096427,,,,
1372.704,541.629,7.303722712,,,,
1375.7178,542.129,7.295415224,,,,
1378.728,542.629,7.287427565,,,,
1381.7358,543.129,7.278695254,,,,
1384.743,543.629,7.269622921,,,,
1387.743,544.129,7.261933285,,,,
1390.7418,544.629,7.253908475,,,,
1393.7472,545.129,7.245229468,,,,
1396.755,545.629,7.237555178,,,,
1399.7664,546.129,7.229355107,,,,
1402.7838,546.629,7.218814467,,,,
1405.8066,547.129,7.209369,,,,
1408.83,547.629,7.200619728,,,,
1411.8516,548.129,7.191323677,,,,
1414.8732,548.629,7.180452708,,,,
1417.8948,549.129,7.169758614,,,,
1420.9104,549.629,7.159921437,,,,
1423.9236,550.129,7.14942764,,,,
1426.9404,550.629,7.13935463,,,,
1429.959,551.129,7.129778324,,,,
1432.9788,551.629,7.119894303,,,,
1436.0022,552.129,7.110822778,,,,
1439.0274,552.629,7.099896889,,,,
1442.0484,553.129,7.089331212,,,,
1445.0634,553.629,7.078926257,,,,
1448.079,554.129,7.06914723,,,,
1451.0928,554.629,7.058893306,,,,
1454.1078,555.129,7.048636959,,,,
1457.1294,555.629,7.037857254,,,,
1460.154,556.129,7.026655956,,,,
1463.1756,556.629,7.015905327,,,,
1466.199,557.129,7.005134507,,,,
1469.2188,557.629,6.993867789,,,,
1472.2314,558.129,6.982471848,,,,
1475.2464,558.629,6.971249551,,,,
1478.2674,559.129,6.959578201,,,,
1481.286,559.629,6.947869699,,,,
1484.3124,560.129,6.936905042,,,,
1487.3436,560.629,6.926038112,,,,
1490.37,561.129,6.91281042,,,,
1493.3886,561.629,6.900058434,,,,
1496.4084,562.129,6.887001157,,,,
1499.4204,562.629,6.875086704,,,,
1502.4306,563.129,6.863580922,,,,
1505.4426,563.629,6.852084024,,,,
1508.4582,564.129,6.839911123,,,,
1511.4744,564.629,6.827801219,,,,
1514.4918,565.129,6.815535439,,,,
1517.5104,565.629,6.802665536,,,,
1520.529,566.129,6.790174421,,,,
1523.5476,566.629,6.776983074,,,,
1526.5662,567.129,6.762829007,,,,
1529.589,567.629,6.748964887,,,,
1532.6076,568.129,6.735262297,,,,
1535.6292,568.629,6.721978878,,,,
1538.655,569.129,6.709057286,,,,
1541.676,569.629,6.694736036,,,,
1544.6916,570.129,6.680699079,,,,
1547.7096,570.629,6.665134048,,,,
1550.7252,571.129,6.649356605,,,,
1553.7354,571.629,6.633197952,,,,
1556.751,572.129,6.617527119,,,,
1559.7708,572.629,6.601345851,,,,
1562.7912,573.129,6.587773293,,,,
1565.8152,573.629,6.575085111,,,,
1568.8362,574.129,6.561777462,,,,
1571.8536,574.629,6.54639173,,,,
1574.868,575.129,6.528950528,,,,
1577.8818,575.629,6.509285058,,,,
1580.8902,576.129,6.49478451,,,,
1583.9016,576.629,6.481232951,,,,
1586.9124,577.129,6.46774035,,,,
1589.925,577.629,6.450649668,,,,
1592.9382,578.129,6.432477543,,,,
1595.9544,578.629,6.414644631,,,,
1598.9754,579.129,6.399917133,,,,
1602.0018,579.629,6.384591975,,,,
1605.0282,580.129,6.367122505,,,,
1608.0534,580.629,6.347360925,,,,
1611.0786,581.129,6.32967339,,,,
1614.0984,581.629,6.313568849,,,,
1617.117,582.129,6.296290792,,,,
1620.1368,582.629,6.277917563,,,,
1623.1602,583.129,6.261287241,,,,
1626.186,583.629,6.242839708,,,,
1629.216,584.129,6.224564204,,,,
1632.2448,584.629,6.207328953,,,,
1635.2658,585.129,6.188490516,,,,
1638.2814,585.629,6.171080813,,,,
1641.2922,586.129,6.153242247,,,,
1644.2982,586.629,6.134850442,,,,
1647.3072,587.129,6.115835938,,,,
1650.3252,587.629,6.096546025,,,,
1653.3474,588.129,6.07720523,,,,
1656.3714,588.629,6.056820952,,,,
1659.3954,589.129,6.036729043,,,,
1662.4104,589.629,6.016421491,,,,
1665.4212,590.129,5.997016893,,,,
1668.4278,590.629,5.976606769,,,,
1671.4356,591.129,5.956478516,,,,
1674.4464,591.629,5.936204078,,,,
1677.4602,592.129,5.915857759,,,,
1680.4752,592.629,5.89484836,,,,
1683.4926,593.129,5.87371539,,,,
1686.5076,593.629,5.853545947,,,,
1689.5238,594.129,5.832825686,,,,
1692.546,594.629,5.811206511,,,,
1695.5694,595.129,5.790814963,,,,
1698.5922,595.629,5.76831868,,,,
1701.6198,596.129,5.74745062,,,,
1704.6438,596.629,5.725111828,,,,
1707.6594,597.129,5.701097971,,,,
1710.6756,597.629,5.67963548,,,,
1713.6918,598.129,5.657979153,,,,
1716.7044,598.629,5.635749394,,,,
1719.7182,599.129,5.612898553,,,,
1722.7338,599.629,5.589840953,,,,
1725.7458,600.129,5.567557889,,,,
1728.7572,600.629,5.545663305,,,,
1731.7704,601.129,5.523564386,,,,
1734.7836,601.629,5.500548784,,,,
1737.7968,602.129,5.475389679,,,,
1740.8166,602.629,5.45070951,,,,
1743.8358,603.129,5.427158436,,,,
1746.855,603.629,5.40359767,,,,
1749.8754,604.129,5.380293737,,,,
1752.897,604.629,5.356746702,,,,
1755.9156,605.129,5.332719922,,,,
1758.933,605.629,5.307750614,,,,
1761.948,606.129,5.283298203,,,,
1764.9642,606.629,5.258326473,,,,
1767.981,607.129,5.233485581,,,,
1770.9996,607.629,5.208593001,,,,
1774.0206,608.129,5.182247458,,,,
1777.0452,608.629,5.15664253,,,,
1780.0662,609.129,5.131057793,,,,
1783.0842,609.629,5.105205724,,,,
1786.0986,610.129,5.080067618,,,,
1789.11,610.629,5.05458303,,,,
1792.1184,611.129,5.028515319,,,,
1795.1244,611.629,5.002380572,,,,
1798.131,612.129,4.976468737,,,,
1801.14,612.629,4.951029378,,,,
1804.1466,613.129,4.925450294,,,,
1807.1544,613.629,4.898524859,,,,
1810.1658,614.129,4.871097065,,,,
1813.1778,614.629,4.844174052,,,,
1816.1886,615.129,4.81702409,,,,
1819.2012,615.629,4.790031619,,,,
1822.2156,616.129,4.762502869,,,,
1825.2306,616.629,4.73599095,,,,
1828.2456,617.129,4.707586707,,,,
1831.2618,617.629,4.679761549,,,,
1834.281,618.129,4.65140415,,,,
1837.2972,618.629,4.622392554,,,,
1840.3122,619.129,4.593870395,,,,
1843.3254,619.629,4.564960563,,,,
1846.335,620.129,4.536998105,,,,
1849.338,620.629,4.50870451,,,,
1852.3392,621.129,4.479925517,,,,
1855.3404,621.629,4.450611053,,,,
1858.344,622.129,4.420951722,,,,
1861.356,622.629,4.390497663,,,,
1864.3752,623.129,4.360090449,,,,
1867.3998,623.629,4.329629929,,,,
1870.4238,624.129,4.298116233,,,,
1873.4442,624.629,4.266791528,,,,
1876.4598,625.129,4.236163017,,,,
1879.4736,625.629,4.205532083,,,,
1882.488,626.129,4.174371331,,,,
1885.5048,626.629,4.141345715,,,,
1888.5258,627.129,4.107930004,,,,
1891.548,627.629,4.076199051,,,,
1894.5708,628.129,4.042614541,,,,
1897.5924,628.629,4.010026671,,,,
1900.6128,629.129,3.976959864,,,,
1903.635,629.629,3.94207423,,,,
1906.6566,630.129,3.907777373,,,,
1909.6776,630.629,3.873824575,,,,
1912.6992,631.129,3.838847676,,,,
1915.722,631.629,3.803177814,,,,
1918.74,632.129,3.768044231,,,,
1921.7574,632.629,3.732093307,,,,
1924.776,633.129,3.69542842,,,,
1927.794,633.629,3.659372501,,,,
1930.8108,634.129,3.622652694,,,,
1933.8312,634.629,3.585814162,,,,
1936.8546,635.129,3.548950593,,,,
1939.8774,635.629,3.51015351,,,,
1942.9008,636.129,3.471572877,,,,
1945.9296,636.629,3.433876621,,,,
1948.9596,637.129,3.395248337,,,,
1951.986,637.629,3.355725984,,,,
1955.013,638.129,3.316952323,,,,
1958.0376,638.629,3.277667419,,,,
1961.0556,639.129,3.238647425,,,,
1964.0688,639.629,3.198941735,,,,
1967.0862,640.129,3.158937216,,,,
1970.106,640.629,3.119626467,,,,
1973.1294,641.129,3.079595295,,,,
1976.1564,641.629,3.04022155,,,,
1979.1846,642.129,3.001153904,,,,
1982.2068,642.629,2.961409447,,,,
1985.2236,643.129,2.92140412,,,,
1988.2308,643.629,2.881582129,,,,
1991.2386,644.129,2.842526598,,,,
1994.247,644.629,2.803694786,,,,
1997.253,645.129,2.765985607,,,,
2000.2608,645.629,2.728405653,,,,
2003.2746,646.129,2.691340979,,,,
2006.2842,646.629,2.655344019,,,,
2009.2938,647.129,2.619433477,,,,
2012.3052,647.629,2.585070392,,,,
2015.3148,648.129,2.549675939,,,,
2018.3196,648.629,2.515203014,,,,
2021.3214,649.129,2.481857568,,,,
2024.3178,649.629,2.450194457,,,,
2027.3112,650.129,2.419778358,,,,
2030.3022,650.629,2.390321748,,,,
2033.2944,651.129,2.361881161,,,,
2036.286,651.629,2.334223186,,,,
2039.2788,652.129,2.307284021,,,,
2042.2704,652.629,2.282628889,,,,
2045.2626,653.129,2.25856738,,,,
2048.2524,653.629,2.235414478,,,,
2051.244,654.129,2.214019829,,,,
2054.235,654.629,2.194276017,,,,
2057.2296,655.129,2.174789038,,,,
2060.22,655.629,2.157361566,,,,
2063.2038,656.129,2.141970988,,,,
2066.1804,656.629,2.128719067,,,,
2069.1486,657.129,2.116351522,,,,
2072.109,657.629,2.104822319,,,,
2075.0754,658.129,2.094326907,,,,
2078.058,658.629,2.083278255,,,,
2081.061,659.129,2.073309431,,,,
2084.0904,659.629,2.063704049,,,,
2087.1462,660.129,2.054939432,,,,
2090.22,660.629,2.047109265,,,,
2093.3058,661.129,2.041245726,,,,
2096.4,661.629,2.035071242,,,,
2099.499,662.129,2.028840222,,,,
2102.6004,662.629,2.023468542,,,,
2105.6988,663.129,2.019674202,,,,
2108.793,663.629,2.015466346,,,,
2111.8758,664.129,2.011770539,,,,
2114.9484,664.629,2.007263044,,,,
2118.012,665.129,2.004287662,,,,
2121.0696,665.629,2.000329369,,,,
2124.1224,666.129,1.997873306,,,,
2127.1746,666.629,1.993658988,,,,
2130.2196,667.129,1.98994299,,,,
2133.261,667.629,1.986285951,,,,
2136.2964,668.129,1.982779942,,,,
2139.3294,668.629,1.97911725,,,,
2142.3594,669.129,1.974835089,,,,
2145.3864,669.629,1.972544594,,,,
2148.4104,670.129,1.968596801,,,,
2151.432,670.629,1.964805692,,,,
2154.447,671.129,1.962629075,,,,
2157.4572,671.629,1.959051185,,,,
2160.4704,672.129,1.955136506,,,,
2163.4824,672.629,1.952773322,,,,
2166.4944,673.129,1.949253583,,,,
2169.51,673.629,1.945565853,,,,
