Time (s),Temperature (K),Mass (mg),,,
476.2180,458.7,7.855,,,
477.4680,459.2,7.855,,,
478.7180,459.7,7.855,,,
479.9680,460.2,7.854,,,
481.2190,460.7,7.854,,,
482.4710,461.2,7.854,,,
483.7240,461.7,7.853,,,
484.9780,462.2,7.853,,,
486.2320,462.7,7.852,,,
487.4870,463.2,7.852,,,
488.7420,463.7,7.851,,,
489.9990,464.2,7.850,,,
491.2560,464.7,7.850,,,
492.5150,465.2,7.849,,,
493.7740,465.7,7.848,,,
495.0350,466.2,7.848,,,
496.2950,466.7,7.847,,,
497.5570,467.2,7.846,,,
498.8190,467.7,7.845,,,
500.0820,468.2,7.844,,,
501.3450,468.7,7.844,,,
502.6090,469.2,7.843,,,
503.8730,469.7,7.842,,,
505.1380,470.2,7.841,,,
506.4020,470.7,7.839,,,
507.6700,471.2,7.839,,,
508.9370,471.7,7.838,,,
510.2060,472.2,7.837,,,
511.4770,472.7,7.836,,,
512.7490,473.2,7.836,,,
514.0210,473.7,7.835,,,
515.2950,474.2,7.834,,,
516.5690,474.7,7.832,,,
517.8440,475.2,7.831,,,
519.1210,475.7,7.830,,,
520.3990,476.2,7.829,,,
521.6760,476.7,7.829,,,
522.9550,477.2,7.826,,,
524.2340,477.7,7.826,,,
525.5130,478.2,7.825,,,
526.7920,478.7,7.823,,,
528.0720,479.2,7.822,,,
529.3520,479.7,7.820,,,
530.6330,480.2,7.819,,,
531.9160,480.7,7.818,,,
533.2010,481.2,7.816,,,
534.4890,481.7,7.815,,,
535.7790,482.2,7.814,,,
537.0700,482.7,7.812,,,
538.3600,483.2,7.811,,,
539.6500,483.7,7.810,,,
540.9420,484.2,7.807,,,
542.2350,484.7,7.807,,,
543.5290,485.2,7.805,,,
544.8250,485.7,7.804,,,
546.1220,486.2,7.802,,,
547.4200,486.7,7.801,,,
548.7180,487.2,7.798,,,
550.0170,487.7,7.798,,,
551.3170,488.2,7.796,,,
552.6170,488.7,7.794,,,
553.9190,489.2,7.792,,,
555.2230,489.7,7.791,,,
556.5270,490.2,7.789,,,
557.8320,490.7,7.787,,,
559.1380,491.2,7.785,,,
560.4460,491.7,7.784,,,
561.7550,492.2,7.781,,,
563.0660,492.7,7.779,,,
564.3770,493.2,7.778,,,
565.6900,493.7,7.776,,,
567.0020,494.2,7.774,,,
568.3150,494.7,7.772,,,
569.6270,495.2,7.770,,,
570.9410,495.7,7.768,,,
572.2560,496.2,7.766,,,
573.5720,496.7,7.764,,,
574.8900,497.2,7.762,,,
576.2090,497.7,7.759,,,
577.5310,498.2,7.758,,,
578.8530,498.7,7.755,,,
580.1780,499.2,7.752,,,
581.5030,499.7,7.750,,,
582.8280,500.2,7.747,,,
584.1530,500.7,7.745,,,
585.4800,501.2,7.743,,,
586.8070,501.7,7.739,,,
588.1340,502.2,7.738,,,
589.4630,502.7,7.735,,,
590.7940,503.2,7.732,,,
592.1240,503.7,7.729,,,
593.4560,504.2,7.727,,,
594.7870,504.7,7.723,,,
596.1190,505.2,7.721,,,
597.4520,505.7,7.718,,,
598.7870,506.2,7.714,,,
600.1220,506.7,7.712,,,
601.4590,507.2,7.708,,,
602.7940,507.7,7.706,,,
604.1290,508.2,7.702,,,
605.4630,508.7,7.699,,,
606.7960,509.2,7.697,,,
608.1310,509.7,7.693,,,
609.4690,510.2,7.690,,,
610.8110,510.7,7.687,,,
612.1570,511.2,7.683,,,
613.5050,511.7,7.681,,,
614.8550,512.2,7.678,,,
616.2050,512.7,7.674,,,
617.5530,513.2,7.672,,,
618.9020,513.7,7.669,,,
620.2510,514.2,7.665,,,
621.6020,514.7,7.662,,,
622.9540,515.2,7.659,,,
624.3080,515.7,7.655,,,
625.6630,516.2,7.652,,,
627.0170,516.7,7.649,,,
628.3740,517.2,7.646,,,
629.7310,517.7,7.642,,,
631.0880,518.2,7.639,,,
632.4460,518.7,7.636,,,
633.8040,519.2,7.632,,,
635.1630,519.7,7.629,,,
636.5230,520.2,7.625,,,
637.8840,520.7,7.621,,,
639.2470,521.2,7.617,,,
640.6090,521.7,7.612,,,
641.9730,522.2,7.608,,,
643.3380,522.7,7.604,,,
644.7030,523.2,7.599,,,
646.0690,523.7,7.594,,,
647.4370,524.2,7.590,,,
648.8050,524.7,7.586,,,
650.1750,525.2,7.582,,,
651.5470,525.7,7.577,,,
652.9190,526.2,7.573,,,
654.2930,526.7,7.569,,,
655.6680,527.2,7.565,,,
657.0420,527.7,7.560,,,
658.4170,528.2,7.555,,,
659.7920,528.7,7.551,,,
661.1680,529.2,7.547,,,
662.5460,529.7,7.542,,,
663.9250,530.2,7.537,,,
665.3060,530.7,7.533,,,
666.6880,531.2,7.528,,,
668.0710,531.7,7.521,,,
669.4560,532.2,7.517,,,
670.8410,532.7,7.511,,,
672.2270,533.2,7.506,,,
673.6140,533.7,7.502,,,
674.9980,534.2,7.497,,,
676.3830,534.7,7.491,,,
677.7670,535.2,7.486,,,
679.1510,535.7,7.480,,,
680.5370,536.2,7.475,,,
681.9250,536.7,7.470,,,
683.3150,537.2,7.464,,,
684.7060,537.7,7.459,,,
686.1020,538.2,7.453,,,
687.4990,538.7,7.448,,,
688.8980,539.2,7.442,,,
690.2980,539.7,7.436,,,
691.6970,540.2,7.430,,,
693.0970,540.7,7.424,,,
694.4960,541.2,7.417,,,
695.8960,541.7,7.412,,,
697.2970,542.2,7.404,,,
698.7000,542.7,7.398,,,
700.1060,543.2,7.390,,,
701.5130,543.7,7.380,,,
702.9230,544.2,7.371,,,
704.3320,544.7,7.362,,,
705.7420,545.2,7.355,,,
707.1510,545.7,7.348,,,
708.5600,546.2,7.342,,,
709.9710,546.7,7.337,,,
711.3830,547.2,7.331,,,
712.7960,547.7,7.325,,,
714.2090,548.2,7.319,,,
715.6240,548.7,7.312,,,
717.0380,549.2,7.305,,,
718.4530,549.7,7.296,,,
719.8690,550.2,7.286,,,
721.2860,550.7,7.276,,,
722.7050,551.2,7.266,,,
724.1250,551.7,7.258,,,
725.5450,552.2,7.250,,,
726.9660,552.7,7.242,,,
728.3870,553.2,7.233,,,
729.8090,553.7,7.225,,,
731.2310,554.2,7.217,,,
732.6540,554.7,7.208,,,
734.0780,555.2,7.199,,,
735.5030,555.7,7.191,,,
736.9300,556.2,7.182,,,
738.3570,556.7,7.172,,,
739.7840,557.2,7.163,,,
741.2120,557.7,7.154,,,
742.6410,558.2,7.145,,,
744.0720,558.7,7.136,,,
745.5040,559.2,7.126,,,
746.9380,559.7,7.118,,,
748.3730,560.2,7.108,,,
749.8090,560.7,7.098,,,
751.2470,561.2,7.089,,,
752.6860,561.7,7.079,,,
754.1260,562.2,7.070,,,
755.5660,562.7,7.060,,,
757.0070,563.2,7.050,,,
758.4460,563.7,7.039,,,
759.8850,564.2,7.029,,,
761.3230,564.7,7.019,,,
762.7630,565.2,7.009,,,
764.2040,565.7,6.999,,,
765.6470,566.2,6.989,,,
767.0920,566.7,6.978,,,
768.5360,567.2,6.968,,,
769.9810,567.7,6.957,,,
771.4250,568.2,6.945,,,
772.8680,568.7,6.933,,,
774.3120,569.2,6.922,,,
775.7560,569.7,6.911,,,
777.2020,570.2,6.900,,,
778.6490,570.7,6.888,,,
780.0950,571.2,6.876,,,
781.5430,571.7,6.865,,,
782.9910,572.2,6.852,,,
784.4410,572.7,6.840,,,
785.8920,573.2,6.828,,,
787.3440,573.7,6.817,,,
788.7970,574.2,6.805,,,
790.2490,574.7,6.793,,,
791.7000,575.2,6.780,,,
793.1520,575.7,6.768,,,
794.6030,576.2,6.755,,,
796.0550,576.7,6.742,,,
797.5090,577.2,6.729,,,
798.9620,577.7,6.716,,,
800.4170,578.2,6.702,,,
801.8740,578.7,6.689,,,
803.3310,579.2,6.676,,,
804.7890,579.7,6.663,,,
806.2470,580.2,6.649,,,
807.7060,580.7,6.635,,,
809.1640,581.2,6.621,,,
810.6220,581.7,6.607,,,
812.0810,582.2,6.593,,,
813.5390,582.7,6.579,,,
814.9990,583.2,6.565,,,
816.4610,583.7,6.551,,,
817.9240,584.2,6.537,,,
819.3870,584.7,6.522,,,
820.8500,585.2,6.506,,,
822.3120,585.7,6.491,,,
823.7740,586.2,6.476,,,
825.2370,586.7,6.461,,,
826.7020,587.2,6.445,,,
828.1670,587.7,6.430,,,
829.6320,588.2,6.414,,,
831.0980,588.7,6.398,,,
832.5660,589.2,6.382,,,
834.0340,589.7,6.366,,,
835.5040,590.2,6.351,,,
836.9750,590.7,6.335,,,
838.4460,591.2,6.318,,,
839.9190,591.7,6.302,,,
841.3930,592.2,6.285,,,
842.8670,592.7,6.269,,,
844.3410,593.2,6.252,,,
845.8150,593.7,6.235,,,
847.2860,594.2,6.218,,,
848.7580,594.7,6.199,,,
850.2290,595.2,6.182,,,
851.7010,595.7,6.164,,,
853.1740,596.2,6.146,,,
854.6470,596.7,6.128,,,
856.1210,597.2,6.110,,,
857.5960,597.7,6.093,,,
859.0700,598.2,6.074,,,
860.5450,598.7,6.055,,,
862.0190,599.2,6.037,,,
863.4940,599.7,6.018,,,
864.9690,600.2,5.999,,,
866.4460,600.7,5.981,,,
867.9220,601.2,5.962,,,
869.4010,601.7,5.943,,,
870.8800,602.2,5.923,,,
872.3600,602.7,5.903,,,
873.8410,603.2,5.884,,,
875.3230,603.7,5.863,,,
876.8050,604.2,5.842,,,
878.2870,604.7,5.823,,,
879.7690,605.2,5.802,,,
881.2490,605.7,5.782,,,
882.7300,606.2,5.761,,,
884.2120,606.7,5.740,,,
885.6950,607.2,5.719,,,
887.1780,607.7,5.698,,,
888.6620,608.2,5.677,,,
890.1460,608.7,5.655,,,
891.6280,609.2,5.634,,,
893.1100,609.7,5.612,,,
894.5920,610.2,5.591,,,
896.0750,610.7,5.569,,,
897.5580,611.2,5.546,,,
899.0410,611.7,5.525,,,
900.5260,612.2,5.501,,,
902.0090,612.7,5.478,,,
903.4930,613.2,5.455,,,
904.9780,613.7,5.433,,,
906.4620,614.2,5.410,,,
907.9480,614.7,5.387,,,
909.4360,615.2,5.364,,,
910.9230,615.7,5.341,,,
912.4120,616.2,5.317,,,
913.9000,616.7,5.294,,,
915.3880,617.2,5.271,,,
916.8760,617.7,5.248,,,
918.3650,618.2,5.224,,,
919.8540,618.7,5.201,,,
921.3440,619.2,5.177,,,
922.8370,619.7,5.153,,,
924.3300,620.2,5.128,,,
925.8240,620.7,5.103,,,
927.3190,621.2,5.078,,,
928.8130,621.7,5.054,,,
930.3070,622.2,5.029,,,
931.8010,622.7,5.005,,,
933.2940,623.2,4.980,,,
934.7880,623.7,4.955,,,
936.2810,624.2,4.930,,,
937.7740,624.7,4.903,,,
939.2690,625.2,4.878,,,
940.7650,625.7,4.852,,,
942.2630,626.2,4.826,,,
943.7610,626.7,4.800,,,
945.2570,627.2,4.775,,,
946.7510,627.7,4.748,,,
948.2450,628.2,4.721,,,
949.7390,628.7,4.695,,,
951.2370,629.2,4.669,,,
952.7380,629.7,4.640,,,
954.2380,630.2,4.613,,,
955.7390,630.7,4.586,,,
957.2410,631.2,4.559,,,
958.7410,631.7,4.531,,,
960.2430,632.2,4.503,,,
961.7450,632.7,4.475,,,
963.2480,633.2,4.447,,,
964.7510,633.7,4.419,,,
966.2540,634.2,4.390,,,
967.7580,634.7,4.361,,,
969.2630,635.2,4.332,,,
970.7680,635.7,4.303,,,
972.2730,636.2,4.274,,,
973.7770,636.7,4.244,,,
975.2810,637.2,4.213,,,
976.7890,637.7,4.183,,,
978.2960,638.2,4.151,,,
979.8040,638.7,4.119,,,
981.3120,639.2,4.089,,,
982.8190,639.7,4.057,,,
984.3240,640.2,4.026,,,
985.8300,640.7,3.993,,,
987.3360,641.2,3.961,,,
988.8430,641.7,3.928,,,
990.3510,642.2,3.895,,,
991.8610,642.7,3.862,,,
993.3730,643.2,3.828,,,
994.8870,643.7,3.794,,,
996.4010,644.2,3.760,,,
997.9140,644.7,3.725,,,
999.4260,645.2,3.691,,,
1000.9380,645.7,3.656,,,
1002.4490,646.2,3.621,,,
1003.9620,646.7,3.583,,,
1005.4760,647.2,3.547,,,
1006.9910,647.7,3.511,,,
1008.5090,648.2,3.476,,,
1010.0310,648.7,3.440,,,
1011.5540,649.2,3.403,,,
1013.0810,649.7,3.365,,,
1014.6050,650.2,3.328,,,
1016.1280,650.7,3.291,,,
1017.6490,651.2,3.253,,,
1019.1680,651.7,3.215,,,
1020.6860,652.2,3.177,,,
1022.2030,652.7,3.138,,,
1023.7210,653.2,3.100,,,
1025.2400,653.7,3.063,,,
1026.7580,654.2,3.026,,,
1028.2790,654.7,2.989,,,
1029.8010,655.2,2.948,,,
1031.3220,655.7,2.910,,,
1032.8440,656.2,2.873,,,
1034.3630,656.7,2.836,,,
1035.8810,657.2,2.800,,,
1037.3960,657.7,2.764,,,
1038.9100,658.2,2.728,,,
1040.4240,658.7,2.693,,,
1041.9400,659.2,2.658,,,
1043.4560,659.7,2.624,,,
1044.9730,660.2,2.591,,,
1046.4900,660.7,2.558,,,
1048.0060,661.2,2.525,,,
1049.5210,661.7,2.494,,,
1051.0350,662.2,2.463,,,
1052.5480,662.7,2.433,,,
1054.0590,663.2,2.403,,,
1055.5700,663.7,2.374,,,
1057.0800,664.2,2.346,,,
1058.5910,664.7,2.320,,,
1060.1010,665.2,2.295,,,
1061.6110,665.7,2.272,,,
1063.1190,666.2,2.249,,,
1064.6270,666.7,2.227,,,
1066.1330,667.2,2.207,,,
1067.6400,667.7,2.188,,,
1069.1470,668.2,2.170,,,
1070.6520,668.7,2.154,,,
1072.1570,669.2,2.138,,,
1073.6620,669.7,2.122,,,
1075.1650,670.2,2.108,,,
1076.6680,670.7,2.095,,,
1078.1700,671.2,2.083,,,
1079.6730,671.7,2.072,,,
1081.1760,672.2,2.061,,,
1082.6790,672.7,2.052,,,
1084.1820,673.2,2.044,,,
1085.6830,673.7,2.037,,,
1087.1840,674.2,2.030,,,
1088.6850,674.7,2.025,,,
1090.1870,675.2,2.019,,,
1091.6890,675.7,2.014,,,
1093.1900,676.2,2.009,,,
1094.6890,676.7,2.006,,,
1096.1880,677.2,2.001,,,
1097.6850,677.7,1.999,,,
1099.1820,678.2,1.995,,,
1100.6780,678.7,1.991,,,
1102.1750,679.2,1.987,,,
1103.6730,679.7,1.984,,,
1105.1730,680.2,1.980,,,
1106.6740,680.7,1.976,,,
1108.1770,681.2,1.974,,,
1109.6790,681.7,1.970,,,
1111.1820,682.2,1.967,,,
1112.6860,682.7,1.964,,,
1114.1900,683.2,1.961,,,
1115.6950,683.7,1.957,,,
1117.2010,684.2,1.954,,,
1118.7080,684.7,1.952,,,
1120.2160,685.2,1.947,,,
1121.7250,685.7,1.945,,,
1123.2340,686.2,1.942,,,
1124.7440,686.7,1.939,,,
1126.2530,687.2,1.935,,,
1127.7620,687.7,1.933,,,
1129.2700,688.2,1.929,,,
1130.7770,688.7,1.926,,,
1132.2830,689.2,1.923,,,
1133.7910,689.7,1.920,,,
1135.3000,690.2,1.917,,,
1136.8110,690.7,1.914,,,
1138.3230,691.2,1.911,,,
1139.8340,691.7,1.908,,,
1141.3440,692.2,1.905,,,
1142.8530,692.7,1.902,,,
1144.3610,693.2,1.898,,,
1145.8690,693.7,1.896,,,
1147.3780,694.2,1.892,,,
1148.8870,694.7,1.890,,,
1150.3950,695.2,1.887,,,
1151.9050,695.7,1.885,,,
1153.4140,696.2,1.882,,,
1154.9230,696.7,1.880,,,
1156.4310,697.2,1.877,,,
1157.9390,697.7,1.875,,,
1159.4470,698.2,1.872,,,
1160.9540,698.7,1.868,,,
1162.4600,699.2,1.866,,,
1163.9660,699.7,1.862,,,
1165.4710,700.2,1.862,,,
1166.9770,700.7,1.858,,,
1168.4830,701.2,1.856,,,
1169.9890,701.7,1.853,,,
1171.4970,702.2,1.850,,,
1173.0050,702.7,1.848,,,
1174.5130,703.2,1.845,,,
1176.0220,703.7,1.842,,,
1177.5290,704.2,1.840,,,
1179.0370,704.7,1.838,,,
1180.5430,705.2,1.835,,,
1182.0500,705.7,1.833,,,
1183.5560,706.2,1.830,,,
1185.0650,706.7,1.827,,,
1186.5740,707.2,1.823,,,
1188.0840,707.7,1.821,,,
1189.5940,708.2,1.818,,,
1191.1040,708.7,1.815,,,
1192.6120,709.2,1.812,,,
1194.1190,709.7,1.810,,,
1195.6260,710.2,1.807,,,
1197.1320,710.7,1.804,,,
1198.6370,711.2,1.801,,,
1200.1410,711.7,1.799,,,
1201.6430,712.2,1.796,,,
1203.1450,712.7,1.794,,,
1204.6460,713.2,1.791,,,
1206.1480,713.7,1.788,,,
1207.6500,714.2,1.785,,,
1209.1510,714.7,1.782,,,
1210.6510,715.2,1.780,,,
1212.1510,715.7,1.777,,,
1213.6530,716.2,1.775,,,
1215.1570,716.7,1.772,,,
1216.6630,717.2,1.769,,,
1218.1710,717.7,1.767,,,
1219.6790,718.2,1.764,,,
1221.1860,718.7,1.762,,,
1222.6950,719.2,1.759,,,
1224.2040,719.7,1.756,,,
1225.7140,720.2,1.754,,,
1227.2260,720.7,1.752,,,
1228.7360,721.2,1.749,,,
1230.2470,721.7,1.747,,,
1231.7600,722.2,1.744,,,
1233.2740,722.7,1.741,,,
1234.7900,723.2,1.739,,,
1236.3070,723.7,1.736,,,
1237.8270,724.2,1.734,,,
1239.3490,724.7,1.732,,,
1240.8710,725.2,1.729,,,
1242.3950,725.7,1.727,,,
1243.9200,726.2,1.724,,,
1245.4440,726.7,1.722,,,
1246.9660,727.2,1.720,,,
1248.4840,727.7,1.718,,,
1250.0000,728.2,1.716,,,
1251.5120,728.7,1.713,,,
1253.0240,729.2,1.712,,,
1254.5370,729.7,1.709,,,
1256.0470,730.2,1.706,,,
1257.5560,730.7,1.705,,,
1259.0600,731.2,1.703,,,
1260.5620,731.7,1.701,,,
1262.0590,732.2,1.698,,,
1263.5560,732.7,1.696,,,
1265.0510,733.2,1.694,,,
1266.5450,733.7,1.692,,,
1268.0400,734.2,1.690,,,
1269.5340,734.7,1.687,,,
1271.0270,735.2,1.685,,,
1272.5200,735.7,1.683,,,
1274.0120,736.2,1.681,,,
1275.5020,736.7,1.679,,,
1276.9900,737.2,1.676,,,
1278.4770,737.7,1.675,,,
1279.9630,738.2,1.674,,,
1281.4510,738.7,1.671,,,
1282.9400,739.2,1.670,,,
1284.4310,739.7,1.667,,,
1285.9220,740.2,1.665,,,
1287.4140,740.7,1.663,,,
1288.9040,741.2,1.660,,,
1290.3940,741.7,1.659,,,
1291.8840,742.2,1.657,,,
1293.3760,742.7,1.655,,,
