Time,Mass,HRR,Temperature Backing Centre
175.44,33.2,289.33,294.85
176.45,33.11,284.95,294.95
178.17,33,299.84,295.15
178.92,32.88,292.38,295.25
179.67,32.76,297.72,295.35
180.51,32.63,291.58,295.45
181.52,32.5,294.86,295.55
182.54,32.37,302.97,295.75
183.55,32.23,294.03,295.85
184.56,32.11,296.85,295.95
185.58,31.98,298.85,296.05
186.59,31.84,302.81,296.15
187.61,31.71,300.22,296.35
188.62,31.58,299.62,296.45
189.63,31.46,297.34,296.55
190.65,31.33,310.46,296.75
191.66,31.19,308.7,296.85
192.68,31.05,306.03,297.05
193.69,30.91,303.39,297.15
194.7,30.78,302.53,297.25
195.72,30.65,305.01,297.35
196.73,30.52,313.48,297.55
197.75,30.38,310.21,297.65
198.76,30.21,307.4,297.75
199.77,30.07,318.21,297.95
200.79,29.98,302.13,298.05
201.8,29.85,315.14,298.15
202.82,29.71,312.06,298.35
203.83,29.57,303.8,298.45
204.84,29.43,316.86,298.55
205.86,29.3,311.58,298.75
206.87,29.16,314.93,298.95
207.89,28.93,308.84,299.05
208.9,28.82,314.22,299.15
209.91,28.73,300.52,299.25
211.58,28.62,313.68,299.45
212.33,28.49,302.64,299.55
213.08,28.35,320.48,299.65
213.97,28.21,308.74,299.75
214.98,28.08,316.14,299.95
216,27.95,317.51,300.05
217.01,27.8,315.13,300.25
218.03,27.65,314.67,300.35
219.04,27.52,311.29,300.55
220.05,27.38,325.59,300.65
221.07,27.24,314.75,300.75
222.08,27.1,316.4,300.95
223.1,26.97,307.71,301.05
224.11,26.83,324.83,301.25
225.12,26.7,316.08,301.35
226.14,26.56,320.03,301.55
227.15,26.43,322.16,301.65
228.17,26.29,313.15,301.75
229.18,26.15,321.74,301.95
230.19,26.01,317.09,302.05
231.21,25.89,316.65,302.25
232.22,25.78,331.34,302.35
233.24,25.65,313.25,302.45
234.25,25.51,325.93,302.65
235.26,25.38,322.06,302.75
236.28,25.26,331.43,302.95
237.29,25.13,323.78,303.15
238.31,25.01,322.56,303.25
239.32,24.88,325.96,303.35
240.33,24.74,325.06,303.45
241.35,24.61,317.03,303.65
242.36,24.47,325.68,303.85
243.38,24.33,327.24,303.95
244.39,24.18,331.98,304.15
245.4,24.05,322.38,304.25
246.42,23.92,325.78,304.35
247.43,23.78,320.12,304.55
248.45,23.64,326.3,304.65
249.46,23.5,330.29,304.85
250.48,23.36,325.53,304.95
251.49,23.22,324.13,305.15
252.5,23.07,333.47,305.25
253.52,22.93,319.97,305.35
254.53,22.8,325.59,305.55
255.55,22.67,317.11,305.65
256.56,22.53,317.39,305.85
257.57,22.38,325.51,305.95
258.59,22.24,328.73,306.15
259.6,22.1,326.59,306.25
260.62,21.96,325.66,306.45
261.63,21.82,328.45,306.55
262.64,21.67,322.82,306.75
263.66,21.53,332.25,306.85
264.67,21.38,331.64,307.05
265.69,21.23,333.37,307.15
266.7,21.09,324.9,307.35
267.71,20.95,323.88,307.45
268.73,20.8,322.17,307.55
269.74,20.66,345.86,307.75
270.76,20.53,324.76,307.85
271.77,20.39,337.33,308.05
272.78,20.24,334.71,308.25
273.8,20.09,326.71,308.35
274.81,19.93,336.26,308.65
275.83,19.67,325.76,308.65
276.84,19.57,342.83,308.85
277.85,19.45,337.82,308.95
279.69,19.34,330.17,309.05
280.44,19.2,336.95,309.15
281.19,19.05,328.64,309.35
281.94,18.9,341.42,309.55
282.92,18.75,332.79,309.65
283.94,18.59,342.39,309.85
284.95,18.43,344.08,309.95
285.97,18.29,335.31,310.05
286.98,18.14,329.45,310.25
287.99,18,343.96,310.35
289.01,17.86,335.66,310.55
290.02,17.72,342.66,310.65
291.04,17.56,336.62,310.85
292.05,17.41,336.49,310.95
293.06,17.26,332.79,311.15
294.08,17.12,337.19,311.25
295.09,16.96,330.87,311.45
296.11,16.82,351.38,311.55
297.12,16.66,349.03,311.75
298.13,16.49,332.94,311.85
299.15,16.34,349,312.05
300.16,16.18,337.75,312.15
301.18,16.03,346.24,312.35
302.19,15.88,353.14,312.45
303.2,15.73,349.31,312.65
304.22,15.58,340.76,312.75
305.23,15.43,348.45,312.85
306.25,15.31,347.73,313.05
307.26,15.18,339.35,313.15
308.27,15.04,347.22,313.35
309.29,14.89,350.91,313.55
310.3,14.74,363.45,313.65
311.32,14.57,354.93,313.75
312.33,14.41,360.58,313.95
313.34,14.31,350.98,314.15
314.36,14.22,349.16,314.25
315.37,14.09,349.03,314.35
316.39,13.93,350.3,314.55
317.4,13.78,350.87,314.65
318.41,13.63,361.73,314.85
319.43,13.47,360.75,315.05
320.44,13.31,351.5,315.15
321.46,13.16,351.8,315.25
322.47,12.99,356.29,315.45
323.48,12.82,367.72,315.55
324.5,12.65,358.76,315.75
325.51,12.48,357.16,315.95
326.53,12.31,366.5,316.05
327.54,12.14,355.56,316.25
328.55,11.99,358.87,316.35
329.57,11.83,369.57,316.55
330.58,11.68,371.94,316.65
331.6,11.52,363.54,316.85
332.61,11.35,366.14,316.95
333.62,11.17,368.36,317.15
334.64,11,358.58,317.35
335.65,10.83,373.71,317.45
336.67,10.65,389.88,317.65
337.68,10.49,378.6,317.85
338.69,10.33,368.95,317.95
339.71,10.15,379.77,318.05
340.72,9.98,368.52,318.35
341.74,9.82,372.75,318.45
342.75,9.66,381.98,318.55
343.76,9.51,369.44,318.75
344.78,9.33,378.64,318.95
345.79,9.12,386.06,319.05
346.81,8.94,381.78,319.25
347.82,8.77,374.46,319.45
348.83,8.6,392.68,319.65
349.85,8.44,380.42,319.75
350.86,8.28,382.13,319.95
351.88,8.11,387.97,320.15
352.89,7.95,390.68,320.35
353.9,7.79,392.41,320.45
354.92,7.62,392.42,320.65
355.93,7.46,393.67,320.85
356.95,7.3,380.36,321.05
357.96,7.13,400.71,321.15
358.97,6.96,382.2,321.35
359.99,6.8,386.32,321.55
361,6.64,386.01,321.75
362.02,6.49,390.7,321.95
363.03,6.33,393.83,322.15
364.04,6.17,412.43,322.35
365.06,6.01,403.3,322.55
366.07,5.85,400.91,322.75
367.09,5.7,392.24,322.95
368.1,5.55,395,323.15
369.11,5.39,397.36,323.35
370.13,5.21,384.53,323.65
371.14,5.04,396.77,323.85
372.16,4.89,396.11,324.05
373.17,4.73,383.13,324.25
374.18,4.58,382.33,324.45
375.2,4.42,382.41,324.65
376.21,4.27,385.75,325.05
377.23,3.99,393.1,325.25
378.24,3.88,384.48,325.45
379.25,3.77,391.26,325.55
381.03,3.64,398.43,325.75
381.78,3.48,392.83,326.05
382.53,3.32,383.78,326.25
383.34,3.17,393.68,326.45
384.32,3.02,378.98,326.65
385.34,2.88,387.61,326.95
386.35,2.73,379.34,327.15
387.37,2.58,386.9,327.45
388.38,2.43,378.08,327.65
389.39,2.27,373.3,327.85
390.41,2.11,398.43,328.15
391.42,1.95,385.63,328.35
392.44,1.8,390.38,328.65
393.45,1.66,389.6,328.85
394.46,1.52,390.23,329.15
395.48,1.39,388.23,329.35
396.49,1.24,378.7,329.65
397.51,1.09,380.88,329.85
398.52,0.94,381.57,330.15
399.53,0.79,392.19,330.35
400.55,0.64,370.93,330.65
401.56,0.51,379.07,330.95
402.58,0.37,381.73,331.15
403.59,0.22,381.07,331.45
404.6,0.08,378.38,331.75
405.62,-0.07,377.87,332.05
406.63,-0.21,383.27,332.25
407.65,-0.35,380.72,332.55
408.66,-0.5,361.69,332.85
409.67,-0.64,370.27,333.15
410.69,-0.78,377.19,333.45
411.7,-0.92,367.01,333.75
412.72,-1.07,371.51,333.95
413.73,-1.21,372.46,334.25
414.74,-1.35,361.23,334.55
415.76,-1.48,370.9,334.85
416.77,-1.61,376.68,335.15
417.79,-1.75,358.78,335.45
418.8,-1.88,369.8,335.75
419.81,-2.01,362.75,336.05
420.83,-2.14,353.67,336.35
421.84,-2.27,356.93,336.65
422.86,-2.4,356.16,336.95
423.87,-2.52,357.51,337.25
424.88,-2.65,352.5,337.55
425.9,-2.78,341.78,337.85
426.91,-2.9,351.71,338.15
427.93,-3.02,352.12,338.45
428.94,-3.14,348.32,338.75
429.96,-3.27,346.62,339.05
430.97,-3.39,345.32,339.35
431.98,-3.51,349.8,339.75
433,-3.64,347.31,340.05
434.01,-3.77,344.85,340.35
435.03,-3.9,333.74,340.65
436.04,-4.02,339.53,340.95
437.05,-4.14,333.77,341.25
438.07,-4.28,333.2,341.55
439.08,-4.4,332.92,341.95
440.1,-4.52,324.53,342.25
441.11,-4.64,321.5,342.55
442.12,-4.75,333.58,342.85
443.14,-4.88,325.51,343.25
444.15,-5,321.13,343.55
445.17,-5.11,309.84,343.85
446.18,-5.23,315.59,344.25
447.19,-5.36,324.48,344.55
448.21,-5.49,319.51,344.85
449.22,-5.61,309.85,345.15
450.24,-5.72,315.44,345.55
451.25,-5.83,309.68,345.85
452.26,-5.94,308.24,346.15
453.28,-6.06,314.82,346.55
454.29,-6.18,310.3,346.85
455.31,-6.3,306.34,347.15
456.32,-6.41,305.89,347.55
457.33,-6.54,307.34,347.85
458.35,-6.66,298.25,348.25
459.36,-6.77,291.34,348.55
460.38,-6.88,302.44,348.95
461.39,-6.98,295.63,349.25
462.4,-7.09,293.95,349.55
463.42,-7.2,300.21,349.95
464.43,-7.31,287.86,350.25
465.45,-7.42,290.93,350.65
466.46,-7.54,288.55,350.95
467.47,-7.65,287.3,351.35
468.49,-7.76,288.3,351.65
469.5,-7.87,288.64,352.05
470.52,-7.98,298.61,352.35
471.53,-8.1,285.52,352.75
472.54,-8.22,289.97,353.15
473.56,-8.34,286.99,353.45
474.57,-8.45,289.8,353.75
475.59,-8.56,280.33,354.15
476.6,-8.67,287.25,354.45
477.61,-8.79,274.67,355.15
478.63,-8.99,280.32,355.45
479.64,-9.07,278,355.65
480.66,-9.15,277.89,355.95
482.48,-9.22,279.35,356.35
483.23,-9.32,278.84,356.65
483.96,-9.43,278.35,357.05
484.71,-9.55,277.49,357.45
485.73,-9.66,274.74,357.75
486.74,-9.76,278.25,358.15
487.75,-9.87,269.12,358.45
488.77,-9.97,271.4,358.85
489.78,-10.08,265.02,359.25
490.8,-10.19,270.28,359.55
491.81,-10.29,271.62,359.95
492.82,-10.38,270.58,360.35
493.84,-10.48,265.42,360.65
494.85,-10.58,274,361.05
495.87,-10.68,271.23,361.45
496.88,-10.79,270.2,361.85
497.89,-10.88,267.17,362.15
498.91,-10.98,266.56,362.55
499.92,-11.08,262.39,362.95
500.94,-11.19,264.66,363.25
501.95,-11.28,266.63,363.65
502.96,-11.37,265.03,364.05
503.98,-11.47,260.94,364.45
504.99,-11.57,261.7,364.85
506.01,-11.68,262.48,365.15
507.02,-11.79,254.91,365.55
508.03,-11.91,261.53,365.95
509.05,-12.01,264.21,366.35
510.06,-12.1,262.7,366.65
511.08,-12.19,256.64,367.05
512.09,-12.27,253.61,367.45
513.1,-12.36,248.7,367.85
514.12,-12.45,260.71,368.25
515.13,-12.54,247.49,368.65
516.14,-12.63,254.73,368.95
517.16,-12.71,246.82,369.35
518.17,-12.81,246.74,369.75
519.19,-12.9,247.44,370.15
520.2,-12.99,252.53,370.45
521.21,-13.06,251.07,370.85
522.23,-13.15,244.44,371.25
523.24,-13.24,245.81,371.65
524.26,-13.33,246.26,372.05
525.27,-13.41,242.25,372.45
526.28,-13.49,243.64,372.85
527.3,-13.57,246.45,373.15
528.31,-13.65,241.85,373.65
529.33,-13.74,232.2,374.05
530.34,-13.83,236.41,374.35
531.35,-13.9,233.61,374.75
532.37,-13.97,244.88,375.15
533.38,-14.06,229.22,375.55
534.4,-14.14,237.42,375.95
535.41,-14.21,234.56,376.35
536.42,-14.29,229.51,376.75
537.44,-14.36,238.02,377.15
538.45,-14.44,229.17,377.55
539.47,-14.52,228.66,377.95
540.48,-14.59,221.2,378.35
541.49,-14.66,220.74,378.75
542.51,-14.72,222.55,379.15
543.52,-14.78,219.72,379.55
544.54,-14.85,219.03,379.95
545.55,-14.93,221.68,380.35
546.56,-15,217.8,380.75
547.58,-15.06,207.3,381.15
548.59,-15.12,208.72,381.55
549.61,-15.18,206.22,381.95
550.62,-15.25,207.54,382.35
551.63,-15.31,204.55,382.75
552.65,-15.36,199.34,383.15
553.66,-15.43,198.12,383.55
554.68,-15.49,201.25,383.95
555.69,-15.54,197.09,384.45
556.7,-15.59,202.6,384.85
557.72,-15.65,198.02,385.25
558.73,-15.71,197.32,385.75
559.75,-15.77,192.84,386.15
560.76,-15.83,191.36,386.55
561.77,-15.89,189.43,387.05
562.79,-15.93,185.52,387.45
563.8,-15.97,185.66,387.85
564.82,-16.01,183.52,388.35
565.83,-16.07,176.29,388.75
566.84,-16.12,174.45,389.15
567.86,-16.17,169.37,389.65
568.87,-16.22,168.33,390.05
569.89,-16.26,169.48,390.45
570.9,-16.3,167.21,390.95
571.91,-16.35,164.17,391.35
572.93,-16.39,160.49,391.75
573.94,-16.43,158.71,392.15
574.96,-16.47,157.55,392.65
575.97,-16.5,155.96,393.05
576.98,-16.54,150.86,393.55
578,-16.58,151.93,393.95
579.01,-16.62,144.73,394.85
580.03,-16.69,145.21,395.25
581.04,-16.73,142.7,395.65
582.05,-16.78,133.35,396.05
584.08,-16.83,136.38,396.55
585.1,-16.87,132.9,396.95
586.11,-16.89,129.45,397.35
587.12,-16.92,131.47,397.85
588.14,-16.96,124.76,398.25
589.15,-16.99,121.91,398.65
590.17,-17.04,123.36,399.15
591.18,-17.07,117.71,399.55
592.19,-17.11,120.41,399.95
593.21,-17.15,117.5,400.45
594.22,-17.18,113.18,400.85
595.24,-17.21,110.16,401.25
596.25,-17.24,111.56,401.75
597.26,-17.26,110.86,402.15
598.28,-17.29,106.39,402.55
599.29,-17.33,103.99,403.05
600.31,-17.37,102.56,403.45
601.32,-17.39,103.4,403.85
602.33,-17.43,98.73,404.25
603.35,-17.47,100.67,404.65
604.36,-17.49,96.82,405.15
605.37,-17.51,96.02,405.55
606.39,-17.54,95.85,405.95
607.4,-17.58,95.81,406.45
608.42,-17.61,92.58,406.85
609.43,-17.65,92.15,407.25
610.44,-17.69,91.89,407.75
611.46,-17.72,90.02,408.15
612.47,-17.75,88.46,408.55
613.49,-17.78,85.83,409.05
614.5,-17.81,86.1,409.45
615.51,-17.85,83.95,409.85
616.53,-17.88,85.57,410.35
617.54,-17.91,81.78,410.75
618.56,-17.94,81.82,411.15
619.57,-17.97,81.15,411.55
620.58,-17.99,79.74,411.95
621.6,-18.02,81.66,412.45
622.61,-18.05,79.13,412.85
623.63,-18.09,77.36,413.25
624.64,-18.12,76.21,413.75
625.65,-18.15,78.54,414.05
626.67,-18.17,73.98,414.45
627.68,-18.19,73.9,414.95
628.7,-18.22,74.63,415.25
629.71,-18.26,74.5,415.65
630.72,-18.28,72.84,416.05
631.74,-18.29,72,416.45
632.75,-18.32,72.94,416.85
633.77,-18.36,72.61,417.35
634.78,-19.73,71.67,417.65
635.79,-18.16,71.39,418.05
636.81,-10.34,72.64,418.55
637.82,-7.58,72.06,418.85
638.84,-7.22,68.67,419.35
639.85,-7.24,69.36,419.75
640.86,-7.26,69.93,420.15
641.88,-7.3,69.33,420.55
642.89,-7.35,71.39,420.95
643.91,-7.41,71.37,421.35
644.92,-7.45,70.12,421.75
645.93,-7.49,67.9,422.15
646.95,-7.52,69.24,422.55
647.96,-7.56,67.73,422.95
648.98,-7.61,67.55,423.35
649.99,-7.65,66.21,423.85
651,-7.67,67.65,424.25
652.02,-7.7,68.88,424.65
653.03,-7.73,67.23,425.05
654.05,-7.75,67.16,425.45
655.06,-7.78,65.28,425.95
656.07,-7.8,65.63,426.35
657.09,-7.84,66.01,426.75
658.1,-7.88,67.17,427.25
659.12,-7.94,65.26,427.65
660.13,-7.98,66.08,428.15
661.14,-8.02,66.3,428.45
662.16,-8.06,65.44,428.85
663.17,-8.11,65.66,429.25
664.19,-8.16,66.19,429.75
665.2,-8.21,66.37,430.05
666.21,-8.25,64.33,430.55
667.23,-8.3,64.73,430.95
668.24,-8.33,62.45,431.35
669.26,-8.37,62.74,431.75
670.27,-8.4,64.58,432.05
671.28,-8.43,63.17,432.55
672.3,-8.45,62.63,432.95
673.31,-8.48,59.2,433.25
674.33,-8.51,59.86,433.75
675.34,-8.55,60,434.05
676.35,-8.58,59.25,434.45
677.37,-8.61,59.96,434.85
678.38,-8.65,60.58,435.15
679.4,-8.66,55.65,435.55
680.41,-8.67,57.59,435.95
681.42,-8.69,57.71,436.65
682.44,-8.72,58.52,436.95
683.45,-8.75,57.57,437.15
684.47,-8.77,57.29,437.45
686.21,-8.78,53.34,437.85
686.96,-8.8,54.15,438.25
687.71,-8.83,54.07,438.65
688.52,-8.86,54.05,439.05
689.54,-8.87,54.45,439.35
690.55,-8.87,55.71,439.75
691.56,-8.9,51.65,440.15
692.58,-8.94,51.39,440.55
693.59,-8.97,51.67,440.85
694.61,-8.99,51.33,441.25
695.62,-9.01,52.47,441.65
696.63,-9.03,52.24,441.95
697.65,-9.05,51.48,442.25
698.66,-9.07,52.85,442.65
699.67,-9.1,52.07,443.05
700.69,-9.13,53.56,443.45
701.7,-9.14,49.56,443.85
702.72,-9.16,50.24,444.15
703.73,-9.18,49.49,444.55
704.74,-9.21,49.51,444.95
705.76,-9.24,49.78,445.25
706.77,-9.26,50,445.65
707.79,-9.28,50.32,445.95
708.8,-9.3,49,446.35
709.81,-9.32,47.61,446.75
710.83,-9.33,50.38,447.15
711.84,-9.36,50.36,447.45
712.86,-9.38,50.42,447.75
713.87,-9.41,46.44,448.15
714.88,-9.43,46.6,448.45
715.9,-9.46,46.75,448.85
716.91,-9.5,46.09,449.25
717.93,-9.54,46.5,449.55
718.94,-9.59,45.99,449.95
719.95,-9.65,46.17,450.25
720.97,-9.7,46.89,450.65
721.98,-9.74,46.87,450.95
723,-9.78,47.58,451.35
724.01,-9.8,46.18,451.65
725.02,-9.84,47.24,452.05
726.04,-9.88,48.2,452.45
727.05,-9.92,48.05,452.75
728.07,-9.96,47.16,453.15
729.08,-9.99,45.97,453.45
730.09,-10.03,43.34,453.85
731.11,-10.05,43.82,454.15
732.12,-10.08,44.54,454.55
733.14,-10.1,46.79,454.95
734.15,-10.13,46.83,455.25
735.16,-10.16,47.77,455.65
736.18,-10.18,47.43,455.95
737.19,-10.21,47.15,456.35
738.21,-10.24,46.26,456.65
739.22,-10.27,48.42,457.05
740.23,-10.3,43.49,457.35
741.25,-10.33,43.96,457.75
742.26,-10.35,43.96,458.05
743.28,-10.37,43.75,458.35
744.29,-10.4,44.84,458.75
745.3,-10.42,43.63,459.05
746.32,-10.44,44.59,459.45
747.33,-10.46,43.54,459.75
748.35,-10.48,44.37,459.95
749.36,-10.49,44.4,460.35
750.37,-10.51,43.97,460.65
751.39,-10.54,44.36,460.95
752.4,-10.56,40.57,461.35
753.42,-10.6,40.43,461.65
754.43,-10.64,40.83,461.95
755.44,-10.68,41.99,462.25
756.46,-10.7,40.67,462.65
757.47,-10.73,41,462.95
758.49,-10.77,42.07,463.35
759.5,-10.78,41.46,463.65
760.51,-10.8,42.83,464.05
761.53,-10.82,40.74,464.35
762.54,-10.84,40.98,464.65
763.56,-10.85,41.08,465.05
764.57,-10.87,38.1,465.35
765.58,-10.89,38.86,465.65
766.6,-10.9,38.31,465.95
767.61,-10.92,38.67,466.35
768.63,-10.95,38.44,466.65
769.64,-10.98,38.67,466.95
770.65,-11,38.54,467.25
771.67,-11.02,38.08,467.55
772.68,-11.05,38.7,467.95
773.7,-11.07,38.55,468.25
774.71,-11.08,38.58,468.55
775.72,-11.09,38.34,468.85
776.74,-11.11,39.83,469.25
777.75,-11.13,39.08,469.45
778.77,-11.14,39.43,469.75
779.78,-11.17,39.37,470.15
780.79,-11.19,39.17,470.35
781.81,-11.22,39.2,470.75
782.82,-11.24,38.67,471.25
783.84,-11.29,39.93,471.45
784.85,-11.32,39.8,471.65
785.86,-11.33,38.9,471.95
787.64,-11.35,35.64,472.25
788.39,-11.37,34.88,472.55
789.14,-11.4,35.7,472.85
789.95,-11.42,36.07,473.15
790.93,-11.44,36.18,473.45
791.95,-11.46,36.02,473.75
792.96,-11.47,35.44,474.05
793.97,-11.48,36.45,474.35
794.99,-11.5,36.31,474.65
796,-11.53,36.62,474.95
797.02,-11.55,36.32,475.25
798.03,-11.57,35.92,475.55
799.04,-11.59,36.57,475.85
800.06,-11.6,37.07,476.05
801.07,-11.6,36.63,476.35
802.09,-11.61,36.52,476.65
803.1,-11.64,37.14,476.95
804.11,-11.66,33.99,477.25
805.13,-11.67,33.64,477.45
806.14,-11.69,32.79,477.75
807.16,-11.71,33.53,478.05
808.17,-11.73,34.63,478.25
809.18,-11.75,33.72,478.65
810.2,-11.77,34.15,478.85
811.21,-11.78,33.92,479.15
812.23,-11.8,30.35,479.45
813.24,-11.81,29.9,479.75
814.25,-11.82,30.44,479.95
815.27,-11.84,31.12,480.15
816.28,-11.85,30.41,480.55
817.3,-11.87,31.22,480.75
818.31,-11.87,30.57,481.05
819.32,-11.88,30.41,481.35
820.34,-11.9,30.38,481.55
821.35,-11.92,30.68,481.85
822.37,-11.93,30.93,482.15
823.38,-11.95,30.43,482.45
824.39,-11.97,30.94,482.65
825.41,-11.97,30.99,482.95
826.42,-11.99,27.46,483.25
827.44,-12.01,27.71,483.45
828.45,-12.03,27.83,483.75
829.46,-12.04,27.96,483.95
830.48,-12.06,27.98,484.25
831.49,-12.08,27.91,484.55
832.51,-12.09,28.22,484.75
833.52,-12.1,29.09,485.05
834.53,-12.13,28.2,485.25
835.55,-12.15,27.96,485.55
836.56,-12.15,28.72,485.75
837.58,-12.17,28.22,486.05
838.59,-12.18,28.55,486.35
839.6,-12.18,29.08,486.55
840.62,-12.21,28.71,486.85
841.63,-12.22,28.26,487.15
842.65,-12.23,28.98,487.35
843.66,-12.23,28.59,487.65
844.67,-12.24,24.99,487.95
845.69,-12.26,25.43,488.15
846.7,-12.28,24.89,488.45
847.72,-12.31,24.96,488.75
848.73,-12.33,25.15,488.95
849.74,-12.34,25.57,489.25
850.76,-12.36,25.58,489.55
851.77,-12.37,24.76,489.75
852.79,-12.37,25.35,490.05
853.8,-12.38,25.77,490.25
854.81,-12.39,25.35,490.55
855.83,-12.4,25.41,490.75
856.84,-12.42,25.6,491.05
857.86,-12.44,25.12,491.35
