Time,Mass,HRR
s,g,kW
342,113.3104986,6.48418194
343,113.2637307,6.60420625
344,112.9407637,6.59569055
345,112.6095549,6.63441902
346,112.3820405,6.65141015
347,112.1023913,6.68403367
348,111.7978249,6.71811576
349,111.4888499,6.67214367
350,111.4102645,6.70763791
351,111.0932394,6.70726527
352,110.7879062,6.76171412
353,110.5095988,6.79215113
354,110.1214634,6.76473301
355,109.9677426,6.79278604
356,109.4402619,6.77597119
357,109.4082527,6.79732053
358,109.1502624,6.85065756
359,108.6538325,6.79894805
360,108.6785582,6.82599071
361,108.1211766,6.81530791
362,107.8888704,6.86660979
363,107.4729426,6.94386263
364,107.2858709,6.94715097
365,107.0886407,7.043387
366,106.7382646,6.99864828
367,106.3886553,7.12149523
368,106.1241482,7.0147918
369,105.9501102,7.05282112
370,105.468439,6.92484949
371,105.2959344,6.85716134
372,105.0021016,6.83957549
373,104.7774622,6.94394813
374,104.4372448,7.02099411
375,104.1756128,6.99487736
376,103.9323813,6.92388315
377,103.5093616,6.87641063
378,103.3029311,6.85760209
379,103.1484437,7.15850115
380,102.7674001,7.17068292
381,102.4662838,7.08646116
382,102.0562978,7.05521239
383,101.8586842,7.07372251
384,101.5247919,7.20645595
385,101.0720631,7.18662126
386,100.8600741,7.06133559
387,100.5834917,7.10597465
388,100.3095927,7.17707184
389,100.0213184,7.22493624
390,99.63893313,7.05124703
391,99.51377145,7.12180581
392,99.28434031,7.19991007
393,98.90923861,7.1145238
394,98.64243147,7.09818658
395,98.32425629,7.02496581
396,98.10383373,7.06130667
397,97.81785941,7.14967888
398,97.40193161,7.14205084
399,97.16521695,7.0288705
400,97.03698852,6.90750125
401,96.72954696,6.9803271
402,96.28486839,6.96727153
403,96.07268771,6.98243909
404,95.83060624,6.89220935
405,95.40586153,6.7334012
406,95.15630486,6.62382081
407,94.83889636,6.55485615
408,94.64722457,6.52639741
409,94.46187794,6.50027829
410,94.1603782,6.54073944
411,93.83031937,6.34163987
412,93.46518459,6.39224356
413,93.42761692,6.25526823
414,93.00747234,6.26378569
415,92.70654762,6.26114312
416,92.54822672,6.17289599
417,92.46101605,6.19472932
418,92.08457264,6.04676336
419,91.78364791,6.03862221
420,91.63318555,5.91745313
421,91.36292832,5.99868551
422,91.21936614,5.98388389
423,90.83353081,5.90648764
424,90.5120972,5.93637971
425,90.47280449,5.85482348
426,90.23033966,5.77078757
427,89.90277256,5.6396296
428,89.76036041,5.54122246
429,89.53227097,5.35222147
430,89.24629664,5.20037936
431,89.03679937,5.0860972
432,88.99175649,5.02570388
433,88.5438195,4.91252114
434,88.42862475,4.62347167
435,88.3670981,4.50681984
436,88.22046917,4.21222823
437,87.95155364,3.92356444
438,87.9701458,3.73428247
439,87.7023803,3.42631391
440,87.74339806,3.22469342
441,87.49748314,2.98113681
442,87.26881868,2.71149858
443,87.38209672,2.6414666
444,87.13100666,2.40801914
445,86.98418606,2.20167516
446,87.03651246,2.08817001
447,86.92419279,1.83931549
448,86.92495947,1.74421668
449,86.95965207,1.59005503
450,86.81973166,1.22892929
451,86.66409415,1.0746375
452,86.74210458,0.98487069
453,86.63821846,0.839969
454,86.75993005,0.73464941
455,86.75379656,0.62355606
456,86.67386942,0.52227637
457,86.64071019,0.41311276
458,86.70012845,0.27058054
459,86.59892574,0.14790045
460,86.66965264,0.11241399
461,86.63419335,0.08980054
462,86.68153629,-0.00277904
463,86.64703536,-0.0062816
464,86.71661223,0.00658392
465,86.77085535,0.02771044
466,86.68345301,-0.01144722
467,86.71239545,-0.01806557
468,86.62633481,-0.02711742
469,86.51880693,-0.01435144
470,86.57899187,-0.02281325
471,86.5998841,-0.02927059
