Time (s),m (g),T Back (K),T Top (K)
285,8.47659,975.984,1037.28
286,8.453556,976.755,1037.55
287,8.430576,977.502,1037.81
288,8.407656,978.224,1038.07
289,8.384796,978.923,1038.32
290,8.362002,979.601,1038.56
291,8.339268,980.257,1038.79
292,8.3166,980.893,1039.02
293,8.293998,981.51,1039.23
294,8.271468,982.108,1039.45
295,8.249004,982.688,1039.65
296,8.226606,983.252,1039.85
297,8.20428,983.799,1040.05
298,8.182026,984.331,1040.24
299,8.159844,984.847,1040.43
300,8.13774,985.35,1040.61
301,8.115702,985.839,1040.78
302,8.093742,986.314,1040.95
303,8.071854,986.777,1041.12
304,8.05005,987.228,1041.28
305,8.028312,987.668,1041.44
306,8.006658,988.097,1041.6
307,7.985076,988.515,1041.75
308,7.963578,988.923,1041.9
309,7.942152,989.321,1042.04
310,7.920804,989.71,1042.18
311,7.89954,990.09,1042.32
312,7.878354,990.462,1042.46
313,7.85724,990.826,1042.59
314,7.836216,991.182,1042.72
315,7.815264,991.53,1042.85
316,7.794396,991.871,1042.98
317,7.773606,992.206,1043.1
318,7.752894,992.534,1043.22
319,7.732266,992.856,1043.34
320,7.711722,993.171,1043.46
321,7.691256,993.481,1043.57
322,7.670868,993.786,1043.69
323,7.650558,994.085,1043.8
324,7.630338,994.379,1043.91
325,7.61019,994.669,1044.02
326,7.590126,994.953,1044.12
327,7.570146,995.233,1044.23
328,7.550244,995.509,1044.33
329,7.53042,995.781,1044.43
330,7.51068,996.049,1044.53
331,7.491018,996.314,1044.63
332,7.47144,996.574,1044.73
333,7.45194,996.831,1044.83
334,7.432524,997.085,1044.93
335,7.413186,997.336,1045.02
336,7.393926,997.584,1045.11
337,7.37475,997.828,1045.21
338,7.355652,998.07,1045.3
339,7.336632,998.309,1045.39
340,7.31769,998.546,1045.48
341,7.298832,998.78,1045.57
342,7.280052,999.011,1045.66
343,7.26135,999.241,1045.74
344,7.242732,999.468,1045.83
345,7.224186,999.693,1045.91
346,7.205724,999.915,1046
347,7.187334,1000.14,1046.08
348,7.169028,1000.36,1046.17
349,7.1508,1000.57,1046.25
350,7.13265,1000.79,1046.33
351,7.114572,1001,1046.41
352,7.096578,1001.21,1046.49
353,7.078662,1001.42,1046.57
354,7.060818,1001.63,1046.65
355,7.043052,1001.84,1046.73
356,7.025364,1002.04,1046.81
357,7.007754,1002.25,1046.89
358,6.990216,1002.45,1046.97
359,6.972756,1002.65,1047.04
360,6.955374,1002.85,1047.12
361,6.938064,1003.05,1047.19
362,6.920832,1003.25,1047.27
363,6.903672,1003.45,1047.34
364,6.88659,1003.64,1047.42
365,6.86958,1003.84,1047.49
366,6.852648,1004.03,1047.57
367,6.835788,1004.22,1047.64
368,6.819006,1004.42,1047.71
369,6.80229,1004.61,1047.78
370,6.785652,1004.8,1047.86
371,6.769086,1004.98,1047.93
372,6.752598,1005.17,1048
373,6.736176,1005.36,1048.07
374,6.719826,1005.54,1048.14
375,6.703554,1005.73,1048.21
376,6.687354,1005.91,1048.28
377,6.67122,1006.1,1048.35
378,6.655158,1006.28,1048.42
379,6.639174,1006.46,1048.49
380,6.623256,1006.64,1048.55
381,6.60741,1006.82,1048.62
382,6.591636,1007,1048.69
383,6.575928,1007.18,1048.76
384,6.560292,1007.36,1048.82
