wavenumber (cm-1),reflectivity (-)
1515.85166,0.09179626
1517.780225,0.09478427
1519.708789,0.10074909
1521.637354,0.11202026
1523.565918,0.12106421
1525.494482,0.12655731
1527.423047,0.13440555
1529.351611,0.14012508
1531.280176,0.14451329
1533.20874,0.15356115
1535.137305,0.16175784
1537.065869,0.1637951
1538.994434,0.16731542
1540.922998,0.17485905
1542.851563,0.17505439
1544.780127,0.17344613
1546.708691,0.17161195
1548.637256,0.17172629
1550.56582,0.17567509
1552.494385,0.17879537
1554.422949,0.17703235
1556.351514,0.17073846
1558.280078,0.16058409
1560.208643,0.16115721
1562.137207,0.16525573
1564.065771,0.16445991
1565.994336,0.16109569
1567.9229,0.15697697
1569.851465,0.15201062
1571.780029,0.14789784
1573.708594,0.14500853
1575.637158,0.14150858
1577.565723,0.13586786
1579.494287,0.13013223
1581.422852,0.12489215
1583.351416,0.12046853
1585.27998,0.1175248
1587.208545,0.11511117
1589.137109,0.11195751
1591.065674,0.1082959
1592.994238,0.10639063
1594.922803,0.10799133
1596.851367,0.11114119
1598.779932,0.11344253
1600.708496,0.11464046
1602.637061,0.11371779
1604.565625,0.11121079
1606.494189,0.10990766
1608.422754,0.10871413
1610.351318,0.1060079
1612.279883,0.10406495
1614.208447,0.10300829
1616.137012,0.10352185
1618.065576,0.10767617
1619.994141,0.11018538
1621.922705,0.11013493
1623.85127,0.10839496
1625.779834,0.10548631
1627.708398,0.10402218
1629.636963,0.10465747
1631.565527,0.10602833
1633.494092,0.10818679
1635.422656,0.11041095
1637.351221,0.1086871
1639.279785,0.10621013
1641.20835,0.1054975
1643.136914,0.10572067
1645.065479,0.10660516
1646.994043,0.10857161
1648.922607,0.10878021
1650.851172,0.10945302
1652.779736,0.11775228
1654.708301,0.1229077
1656.636865,0.11846762
1658.56543,0.11534274
1660.493994,0.11458246
1662.422559,0.11491591
1664.351123,0.11432365
1666.279688,0.11433841
1668.208252,0.11849995
1670.136816,0.12689236
1672.065381,0.13046798
1673.993945,0.12966116
1675.92251,0.13024575
1677.851074,0.13206255
1679.779639,0.13217109
1681.708203,0.13113901
1683.636768,0.13103871
1685.565332,0.13306546
1687.493896,0.13603084
1689.422461,0.13934103
1691.351025,0.14153621
1693.27959,0.14243035
1695.208154,0.14507844
1697.136719,0.15207149
1699.065283,0.15823838
1700.993848,0.15698133
1702.922412,0.15194626
1704.850977,0.14793903
1706.779541,0.14603901
1708.708105,0.14574157
1710.63667,0.1458409
1712.565234,0.14681883
1714.493799,0.14957432
1716.422363,0.15155137
1718.350928,0.14717889
1720.279492,0.1426955
1722.208057,0.14042488
1724.136621,0.13858613
1726.065186,0.13689595
1727.99375,0.13570544
1729.922314,0.13581903
1731.850879,0.13794571
1733.779443,0.13975334
1735.708008,0.13903406
1737.636572,0.13889766
1739.565137,0.14070301
1741.493701,0.14336018
1743.422266,0.14630699
1745.35083,0.15099974
1747.279395,0.1569759
1749.207959,0.16207126
1751.136523,0.16530806
1753.065088,0.16904384
1754.993652,0.17520733
1756.922217,0.18364233
1758.850781,0.19171774
1760.779346,0.20069706
1762.70791,0.21120919
1764.636475,0.21854959
1766.565039,0.22509646
1768.493604,0.23283257
1770.422168,0.24069852
1772.350732,0.24966499
1774.279297,0.25551733
1776.207861,0.25746375
1778.136426,0.25995532
1780.06499,0.26453292
1781.993555,0.26792052
1783.922119,0.26885709
1785.850684,0.27082857
1787.779248,0.27453589
1789.707813,0.2791256
1791.636377,0.2846213
1793.564941,0.28780633
1795.493506,0.2883808
1797.42207,0.28977731
1799.350635,0.29168007
1801.279199,0.29217646
1803.207764,0.29221654
1805.136328,0.29327238
1807.064893,0.29464364
1808.993457,0.29593056
1810.922021,0.29749179
1812.850586,0.29816341
1814.77915,0.29785812
1816.707715,0.29809469
1818.636279,0.2988818
1820.564844,0.29947069
1822.493408,0.3003509
1824.421973,0.30216411
1826.350537,0.30393898
1828.279102,0.30562696
1830.207666,0.30818433
1832.13623,0.31003797
1834.064795,0.31098208
1835.993359,0.31202272
1837.921924,0.3132416
1839.850488,0.31442633
1841.779053,0.31579417
1843.707617,0.31709018
1845.636182,0.31654313
1847.564746,0.31548008
1849.493311,0.3158277
1851.421875,0.316762
1853.350439,0.31782168
1855.279004,0.31963807
1857.207568,0.32113141
1859.136133,0.3201769
1861.064697,0.31809428
1862.993262,0.31804824
1864.921826,0.32026571
1866.850391,0.3238107
1868.778955,0.32575268
1870.70752,0.32260641
1872.636084,0.3197059
1874.564648,0.32014814
1876.493213,0.32136342
1878.421777,0.32092991
1880.350342,0.31993815
1882.278906,0.31983757
1884.207471,0.32028306
1886.136035,0.32054025
1888.0646,0.32058445
1889.993164,0.32025063
1891.921729,0.32022652
1893.850293,0.32145309
1895.778857,0.32204685
1897.707422,0.32058567
1899.635986,0.31960478
1901.564551,0.3206417
1903.493115,0.32236642
1905.42168,0.32338029
1907.350244,0.32398686
1909.278809,0.32458073
1911.207373,0.32465625
1913.135938,0.32509458
1915.064502,0.32626551
1916.993066,0.3271088
1918.921631,0.32794577
1920.850195,0.32864216
1922.77876,0.32790488
1924.707324,0.32643861
1926.635889,0.32525095
1928.564453,0.32411134
1930.493018,0.32298616
1932.421582,0.32180828
1934.350146,0.32081902
1936.278711,0.32062948
1938.207275,0.32051921
1940.13584,0.31905639
1942.064404,0.31687269
1943.992969,0.31608757
1945.921533,0.31604087
1947.850098,0.315117
1949.778662,0.313638
1951.707227,0.31245616
1953.635791,0.31165829
1955.564355,0.31055886
1957.49292,0.30911279
1959.421484,0.30785215
1961.350049,0.30676296
1963.278613,0.30663174
1965.207178,0.30773398
1967.135742,0.3080827
1969.064307,0.30776769
1970.992871,0.30876625
1972.921436,0.30937755
1974.85,0.30747962
1976.778564,0.30488372
1978.707129,0.30405897
1980.635693,0.30432642
1982.564258,0.30341837
1984.492822,0.30165273
1986.421387,0.30123818
1988.349951,0.30192557
1990.278516,0.30231348
1992.20708,0.30230457
1994.135645,0.30152231
1996.064209,0.29979277
1997.992773,0.29775381
1999.921338,0.29652292
2001.849902,0.2966665
2003.778467,0.29702762
2005.707031,0.29636663
2007.635596,0.2945461
2009.56416,0.29315302
2011.492725,0.29388013
2013.421289,0.29489809
2015.349854,0.29385945
2017.278418,0.29179949
2019.206982,0.29052255
2021.135547,0.28987947
2023.064111,0.28902817
2024.992676,0.28797132
2026.92124,0.28680974
2028.849805,0.28490844
2030.778369,0.28271958
2032.706934,0.28200117
2034.635498,0.28264481
2036.564063,0.28220153
2038.492627,0.28019997
2040.421191,0.2786108
2042.349756,0.27782187
2044.27832,0.27745184
2046.206885,0.27767059
2048.135449,0.27789366
2050.064014,0.27775618
2051.992578,0.27691567
2053.921143,0.27587464
2055.849707,0.27656606
2057.778271,0.27817193
2059.706836,0.27821389
2061.6354,0.27709714
2063.563965,0.27590638
2065.492529,0.27452278
2067.421094,0.27376348
2069.349658,0.27416208
2071.278223,0.27459311
2073.206787,0.27467
2075.135352,0.27509722
2077.063916,0.27597454
2078.99248,0.27696836
2080.921045,0.27762681
2082.849609,0.27751034
2084.778174,0.27695224
2086.706738,0.27653766
2088.635303,0.27640289
2090.563867,0.2770727
2092.492432,0.27820015
2094.420996,0.27750549
2096.349561,0.27462316
2098.278125,0.27229947
2100.206689,0.27210295
2102.135254,0.27336141
2104.063818,0.27496558
2105.992383,0.2754707
2107.920947,0.2745162
2109.849512,0.27357969
2111.778076,0.27355409
2113.706641,0.27388716
2115.635205,0.27352285
2117.56377,0.27234218
2119.492334,0.27141982
2121.420898,0.2714808
2123.349463,0.27250636
2125.278027,0.27347356
2127.206592,0.27337554
2129.135156,0.27300581
2131.063721,0.27306637
2132.992285,0.27305904
2134.92085,0.27308428
2136.849414,0.27368894
2138.777979,0.27433252
2140.706543,0.27402398
2142.635107,0.27327582
2144.563672,0.27354455
2146.492236,0.27487221
2148.420801,0.2756474
2150.349365,0.2751615
2152.27793,0.27443841
2154.206494,0.27395743
2156.135059,0.27411696
2158.063623,0.27573782
2159.992188,0.27732107
2161.920752,0.27731627
2163.849316,0.27748474
2165.777881,0.27878761
2167.706445,0.27949634
2169.63501,0.27903292
2171.563574,0.27875081
2173.492139,0.27995086
2175.420703,0.28207991
2177.349268,0.28305894
2179.277832,0.28374985
2181.206396,0.28695732
