Time (s),MLR (g/m2/s),T Back (K),T Top (K)
7.71E+01,6.06E-03,4.77E+02,7.17E+02
7.81E+01,6.10E-03,4.79E+02,7.18E+02
7.91E+01,6.14E-03,4.81E+02,7.19E+02
8.01E+01,6.19E-03,4.83E+02,7.20E+02
8.11E+01,6.25E-03,484.93883,720.35062
8.21E+01,6.32E-03,486.95789,721.00743
8.31E+01,6.39E-03,488.95756,721.64043
8.41E+01,6.46E-03,490.93831,722.25636
8.51E+01,6.53E-03,492.9004,722.86391
8.61E+01,6.60E-03,494.84402,723.47183
8.71E+01,6.66E-03,496.7697,724.08786
8.81E+01,6.72E-03,498.67764,724.71776
8.91E+01,6.77E-03,500.56826,725.36446
9.01E+01,6.82E-03,502.44181,726.02804
9.11E+01,6.86E-03,504.2986,726.70618
9.21E+01,6.90E-03,506.13879,727.39414
9.31E+01,6.94E-03,507.96254,728.08578
9.41E+01,6.99E-03,509.77037,728.7746
9.51E+01,7.04E-03,511.5625,729.45473
9.61E+01,7.10E-03,513.33901,730.12147
9.71E+01,7.16E-03,515.10027,730.77213
9.81E+01,7.23E-03,516.8467,731.40659
9.91E+01,7.30E-03,518.57848,732.02727
1.00E+02,7.37E-03,520.29593,732.63791
1.01E+02,7.44E-03,521.99927,733.24332
1.02E+02,7.50E-03,523.68904,733.8481
1.03E+02,7.56E-03,525.36538,734.45602
1.04E+02,7.61E-03,527.02856,735.06971
1.05E+02,7.67E-03,528.67903,735.68963
1.06E+02,7.72E-03,530.31695,736.31499
1.07E+02,7.77E-03,531.94273,736.94353
1.08E+02,7.82E-03,533.55695,737.57206
1.09E+02,7.87E-03,535.15974,738.19714
1.10E+02,7.93E-03,536.75159,738.81586
1.11E+02,8.00E-03,538.33276,739.42615
1.12E+02,8.07E-03,539.90361,740.02711
1.13E+02,8.14E-03,541.4648,740.61908
1.14E+02,8.21E-03,543.01659,741.20352
1.15E+02,8.27E-03,544.55966,741.7827
1.16E+02,8.34E-03,546.09421,742.35893
1.17E+02,8.40E-03,547.62088,742.93415
1.18E+02,8.45E-03,549.13992,743.50987
1.19E+02,8.51E-03,550.6521,744.08655
1.20E+02,8.56E-03,552.15798,744.66393
1.21E+02,8.62E-03,553.65816,745.24105
1.22E+02,8.67E-03,555.15312,745.8163
1.23E+02,8.73E-03,556.64344,746.38837
1.24E+02,8.79E-03,558.12965,746.95606
1.25E+02,8.86E-03,559.61264,747.51843
1.26E+02,8.92E-03,561.09273,748.07542
1.27E+02,8.98E-03,562.5708,748.62731
1.28E+02,9.05E-03,564.04736,749.17496
1.29E+02,9.10E-03,565.52334,749.71923
1.30E+02,9.16E-03,566.99916,750.26115
1.31E+02,9.21E-03,568.47573,750.80144
1.32E+02,9.27E-03,569.95356,751.3404
1.33E+02,9.32E-03,571.43362,751.87815
1.34E+02,9.37E-03,572.91636,752.41428
1.35E+02,9.42E-03,574.40275,752.94846
1.36E+02,9.48E-03,575.89326,753.48002
1.37E+02,9.53E-03,577.38885,754.00854
1.38E+02,9.59E-03,578.88997,754.53378
1.39E+02,9.64E-03,580.39762,755.05555
1.40E+02,9.70E-03,581.91211,755.57417
1.41E+02,9.75E-03,583.43428,756.08982
1.42E+02,9.80E-03,584.96457,756.60296
1.43E+02,9.85E-03,586.50373,757.11395
1.44E+02,9.90E-03,588.052,757.6231
1.45E+02,9.95E-03,589.61029,758.13048
1.46E+02,1.00E-02,591.17882,758.63624
1.47E+02,1.00E-02,592.75791,759.14015
1.48E+02,1.01E-02,594.34802,759.64219
1.49E+02,1.02E-02,595.9492,760.14215
1.50E+02,1.02E-02,597.56183,760.63997
1.51E+02,1.03E-02,599.14495,761.1232
1.52E+02,1.03E-02,600.73922,761.6044
1.53E+02,1.04E-02,602.38561,762.09596
1.54E+02,1.04E-02,604.04326,762.58564
1.55E+02,1.05E-02,605.71212,763.0737
1.56E+02,1.05E-02,607.39184,763.56019
1.57E+02,1.06E-02,609.08221,764.0454
1.58E+02,1.07E-02,610.78299,764.52924
1.59E+02,1.07E-02,612.49371,765.01191
1.60E+02,1.08E-02,614.2139,765.49326
1.61E+02,1.09E-02,615.9432,765.97339
1.62E+02,1.09E-02,617.68114,766.45226
1.63E+02,1.10E-02,619.42712,766.92994
1.64E+02,1.11E-02,621.18063,767.40647
1.65E+02,1.12E-02,622.94112,767.88204
1.66E+02,1.12E-02,624.70808,768.35666
1.67E+02,1.13E-02,626.48083,768.83062
1.68E+02,1.14E-02,628.25886,769.30393
1.69E+02,1.15E-02,630.04137,769.77676
1.70E+02,1.16E-02,631.82771,770.24906
1.71E+02,1.17E-02,633.61674,770.72106
1.72E+02,1.18E-02,635.40758,771.19267
1.73E+02,1.18E-02,637.1992,771.66416
1.74E+02,1.19E-02,638.99002,772.13538
1.75E+02,1.20E-02,640.77861,772.60669
1.76E+02,1.21E-02,642.56336,773.07797
1.77E+02,1.22E-02,644.34211,773.54958
1.78E+02,1.23E-02,646.11295,774.02143
1.79E+02,1.24E-02,647.87385,774.49378
1.80E+02,1.25E-02,649.62247,774.96666
1.81E+02,1.26E-02,651.3566,775.44022
1.82E+02,1.27E-02,653.07423,775.91453
1.83E+02,1.27E-02,654.77372,776.38973
1.84E+02,1.28E-02,656.45362,776.86589
1.85E+02,1.29E-02,658.11321,777.34322
1.86E+02,1.29E-02,659.75279,777.82187
1.87E+02,1.30E-02,661.37324,778.30201
1.88E+02,1.30E-02,662.97666,778.78383
1.89E+02,1.30E-02,664.56655,779.2676
1.90E+02,1.30E-02,666.14704,779.75359
1.91E+02,1.30E-02,667.72407,780.2422
1.92E+02,1.29E-02,669.30373,780.73382
1.93E+02,1.28E-02,670.89376,781.22914
1.94E+02,1.28E-02,672.50254,781.72873
1.95E+02,1.26E-02,674.13913,782.23364
1.96E+02,1.25E-02,675.81351,782.74481
1.97E+02,1.24E-02,677.53613,783.26363
1.98E+02,1.22E-02,679.31855,783.79168
1.99E+02,1.20E-02,681.17326,784.33078
2.00E+02,1.18E-02,683.11412,784.8831
2.01E+02,1.15E-02,685.15606,785.45117
2.02E+02,1.12E-02,687.31536,786.03786
2.03E+02,1.09E-02,689.60988,786.64646
2.04E+02,1.05E-02,692.05811,787.28074
2.05E+02,1.01E-02,694.67771,787.94495
2.06E+02,9.72E-03,697.48454,788.64377
2.07E+02,9.26E-03,700.48792,789.38239
2.08E+02,8.79E-03,703.68839,790.16633
2.09E+02,8.31E-03,707.07201,791.00122
2.10E+02,7.84E-03,710.6096,791.89237
2.11E+02,7.38E-03,714.26082,792.84438
2.12E+02,6.94E-03,717.98573,793.86044
2.13E+02,6.51E-03,721.75612,794.94188
2.14E+02,6.07E-03,725.55918,796.08773
2.15E+02,5.63E-03,729.39274,797.29499
2.16E+02,5.16E-03,733.25728,798.5594
2.17E+02,4.69E-03,737.15066,799.87615
2.18E+02,4.21E-03,741.06742,801.24021
2.19E+02,3.74E-03,744.99791,802.64671
2.20E+02,3.27E-03,748.92858,804.0909
2.21E+02,2.83E-03,752.84429,805.56799
2.22E+02,2.41E-03,756.72702,807.07298
2.23E+02,2.03E-03,760.55913,808.60061
2.24E+02,1.70E-03,764.32551,810.14527
2.25E+02,1.42E-03,768.00845,811.70103
2.26E+02,1.18E-03,771.59459,813.26173
2.27E+02,9.97E-04,775.07956,814.82113
2.28E+02,8.52E-04,778.46325,816.37304
2.29E+02,7.44E-04,781.74148,817.91165
2.30E+02,6.67E-04,784.91278,819.43171
2.31E+02,6.14E-04,787.97843,820.92859
2.32E+02,5.80E-04,790.94139,822.39827
2.33E+02,5.58E-04,793.80555,823.83746
2.34E+02,5.46E-04,796.57525,825.24358
2.35E+02,5.39E-04,799.25475,826.61473
2.36E+02,5.36E-04,801.84812,827.94963
2.37E+02,5.35E-04,804.35903,829.24755
2.38E+02,5.36E-04,806.79079,830.5082
2.39E+02,5.37E-04,809.14634,831.73165
2.40E+02,5.38E-04,811.42825,832.91822
2.41E+02,5.40E-04,813.63888,834.06842
2.42E+02,5.41E-04,815.78038,835.18293
2.43E+02,5.42E-04,817.85471,836.26249
2.44E+02,5.44E-04,819.86374,837.30791
2.45E+02,5.45E-04,821.80922,838.32005
2.46E+02,5.46E-04,823.69284,839.29976
2.47E+02,5.47E-04,825.51624,840.2479
2.48E+02,5.48E-04,827.281,841.16535
2.49E+02,5.48E-04,828.98867,842.05295
2.50E+02,5.49E-04,830.64076,842.91152
2.51E+02,5.49E-04,832.23875,843.74191
2.52E+02,5.50E-04,833.78407,844.54491
2.53E+02,5.50E-04,835.27814,845.32128
2.54E+02,5.50E-04,836.72235,846.07181
2.55E+02,5.51E-04,838.11806,846.79723
2.56E+02,5.51E-04,839.46661,847.49828
2.57E+02,5.51E-04,840.76927,848.17567
2.58E+02,5.51E-04,842.02735,848.83006
2.59E+02,5.50E-04,843.2421,849.46216
2.60E+02,5.50E-04,844.41472,850.0726
2.61E+02,5.50E-04,845.54642,850.66202
2.62E+02,5.50E-04,846.63837,851.23105
2.63E+02,5.49E-04,847.6917,851.78028
2.64E+02,5.49E-04,848.70755,852.31031
2.65E+02,5.48E-04,849.68699,852.82169
2.66E+02,5.48E-04,850.63111,853.31502
2.67E+02,5.47E-04,851.54095,853.79079
2.68E+02,5.46E-04,852.41751,854.24957
2.69E+02,5.45E-04,853.26181,854.69184
2.70E+02,5.45E-04,854.0748,855.11814
2.71E+02,5.44E-04,854.85743,855.52889
2.72E+02,5.43E-04,855.61061,855.92467
2.73E+02,5.42E-04,856.33528,856.3058
2.74E+02,5.41E-04,857.0323,856.67287
2.75E+02,5.40E-04,857.70248,857.0262
2.76E+02,5.39E-04,858.34671,857.36625
2.77E+02,5.38E-04,858.96581,857.69351
2.78E+02,5.37E-04,859.5605,858.00824
2.79E+02,5.35E-04,860.13164,858.31093
2.80E+02,5.34E-04,860.67988,858.60195
2.81E+02,5.33E-04,861.20605,858.88162
2.82E+02,5.32E-04,861.71077,859.15032
2.83E+02,5.31E-04,862.19481,859.40843
2.84E+02,5.29E-04,862.65876,859.65625
2.85E+02,5.28E-04,863.10337,859.89411
2.86E+02,5.27E-04,863.52914,860.12233
2.87E+02,5.25E-04,863.93687,860.34125
2.88E+02,5.24E-04,864.32697,860.55115
2.89E+02,5.22E-04,864.70014,860.7523
2.90E+02,5.21E-04,865.05695,860.94501
2.91E+02,5.19E-04,865.39783,861.12954
2.92E+02,5.18E-04,865.72347,861.30618
2.93E+02,5.16E-04,866.03433,861.4752
2.94E+02,5.15E-04,866.33082,861.6368
2.95E+02,5.13E-04,866.61353,861.79125
2.96E+02,5.12E-04,866.88299,861.93881
2.97E+02,5.10E-04,867.13952,862.07967
2.98E+02,5.09E-04,867.38357,862.21408
2.99E+02,5.07E-04,867.61569,862.34231
3.00E+02,5.06E-04,867.83629,862.46447
3.01E+02,5.04E-04,868.04569,862.58077
3.02E+02,5.02E-04,868.24427,862.69152
3.03E+02,5.01E-04,868.43242,862.79681
3.04E+02,4.99E-04,868.61064,862.89683
3.05E+02,4.98E-04,868.77924,862.99178
3.06E+02,4.96E-04,868.93849,863.08188
3.07E+02,4.94E-04,869.08873,863.16725
3.08E+02,4.93E-04,869.2303,863.24809
3.09E+02,4.91E-04,869.36351,863.3245
3.10E+02,4.89E-04,869.48868,863.39669
3.11E+02,4.88E-04,869.60622,863.46479
3.12E+02,4.86E-04,869.71632,863.52893
3.13E+02,4.84E-04,869.81923,863.58927
3.14E+02,4.83E-04,869.91522,863.64593
3.15E+02,4.81E-04,870.00455,863.69906
3.16E+02,4.79E-04,870.08746,863.74879
3.17E+02,4.78E-04,870.16423,863.79523
3.18E+02,4.76E-04,870.23509,863.83851
3.19E+02,4.74E-04,870.30023,863.87875
3.20E+02,4.73E-04,870.35988,863.91603
3.21E+02,4.71E-04,870.41428,863.95047
3.22E+02,4.69E-04,870.46362,863.98217
3.23E+02,4.68E-04,870.50813,864.01125
3.24E+02,4.66E-04,870.54801,864.0378
3.25E+02,4.64E-04,870.58344,864.06194
3.26E+02,4.63E-04,870.61456,864.08375
3.27E+02,4.61E-04,870.64152,864.10331
3.28E+02,4.59E-04,870.66451,864.12069
3.29E+02,4.58E-04,870.6837,864.136
3.30E+02,4.56E-04,870.69927,864.14935
3.31E+02,4.54E-04,870.71132,864.16076
3.32E+02,4.53E-04,870.72002,864.17035
3.33E+02,4.51E-04,870.72552,864.17815
3.34E+02,4.49E-04,870.72794,864.18425
3.35E+02,4.48E-04,870.72741,864.1887
3.36E+02,4.46E-04,870.72406,864.19158
3.37E+02,4.45E-04,870.71799,864.19295
3.38E+02,4.43E-04,870.70934,864.19287
3.39E+02,4.41E-04,870.69822,864.1914
3.40E+02,4.40E-04,870.68471,864.1886
3.41E+02,4.38E-04,870.66891,864.18451
3.42E+02,4.36E-04,870.65092,864.17919
3.43E+02,4.35E-04,870.63087,864.17267
3.44E+02,4.33E-04,870.60886,864.16504
3.45E+02,4.32E-04,870.58497,864.15634
3.46E+02,4.30E-04,870.55928,864.14659
3.47E+02,4.28E-04,870.53183,864.13584
3.48E+02,4.27E-04,870.50276,864.12417
3.49E+02,4.25E-04,870.47207,864.11161
3.50E+02,4.24E-04,870.43994,864.09817
3.51E+02,4.22E-04,870.40641,864.0839
3.52E+02,4.21E-04,870.37155,864.06883
3.53E+02,4.19E-04,870.33542,864.05302
3.54E+02,4.17E-04,870.29808,864.0365
3.55E+02,4.16E-04,870.25958,864.0193
3.56E+02,4.14E-04,870.22001,864.00145
3.57E+02,4.13E-04,870.17941,863.98298
3.58E+02,4.11E-04,870.13784,863.96392
3.59E+02,4.10E-04,870.09537,863.94431
3.60E+02,4.08E-04,870.05202,863.92417
3.61E+02,4.07E-04,870.00784,863.90352
3.62E+02,4.05E-04,869.96288,863.88237
3.63E+02,4.04E-04,869.91718,863.86076
3.64E+02,4.02E-04,869.87079,863.83872
3.65E+02,4.01E-04,869.82375,863.81627
3.66E+02,3.99E-04,869.77609,863.79344
3.67E+02,3.98E-04,869.72784,863.7702
3.68E+02,3.96E-04,869.67907,863.74663
3.69E+02,3.95E-04,869.62977,863.72273
3.70E+02,3.93E-04,869.58,863.69853
3.71E+02,3.92E-04,869.52977,863.67403
3.72E+02,3.90E-04,869.47907,863.64926
3.73E+02,3.89E-04,869.42801,863.62423
3.74E+02,3.87E-04,869.37665,863.59895
3.75E+02,3.86E-04,869.32499,863.57344
3.76E+02,3.85E-04,869.27306,863.54768
3.77E+02,3.83E-04,869.22086,863.52175
3.78E+02,3.82E-04,869.1684,863.49563
3.79E+02,3.80E-04,869.11573,863.46933
3.80E+02,3.79E-04,869.06287,863.44286
3.81E+02,3.77E-04,869.00984,863.41624
3.82E+02,3.76E-04,868.95664,863.3895
3.83E+02,3.75E-04,868.90329,863.36264
3.84E+02,3.73E-04,868.84984,863.33567
3.85E+02,3.72E-04,868.79629,863.3086
3.86E+02,3.71E-04,868.74263,863.28144
3.87E+02,3.69E-04,868.6889,863.25419
3.88E+02,3.68E-04,868.63513,863.22686
3.89E+02,3.66E-04,868.58129,863.19947
3.90E+02,3.65E-04,868.52743,863.17199
3.91E+02,3.64E-04,868.47349,863.14446
3.92E+02,3.62E-04,868.41956,863.1169
3.93E+02,3.61E-04,868.36568,863.08927
3.94E+02,3.60E-04,868.31183,863.06159
3.95E+02,3.58E-04,868.25803,863.03391
3.96E+02,3.57E-04,868.20429,863.00622
3.97E+02,3.56E-04,868.15061,862.97853
3.98E+02,3.54E-04,868.09699,862.95084
3.99E+02,3.53E-04,868.04345,862.92316
4.00E+02,3.52E-04,867.99001,862.89547
4.01E+02,3.51E-04,867.93666,862.8678
4.02E+02,3.49E-04,867.8834,862.84016
4.03E+02,3.48E-04,867.83026,862.81253
4.04E+02,3.47E-04,867.77725,862.78493
4.05E+02,3.46E-04,867.72435,862.75735
4.06E+02,3.44E-04,867.67157,862.72981
4.07E+02,3.43E-04,867.61892,862.70229
4.08E+02,3.42E-04,867.56638,862.67478
4.09E+02,3.40E-04,867.51397,862.64732
4.10E+02,3.39E-04,867.46165,862.61993
4.11E+02,3.38E-04,867.40953,862.5926
4.12E+02,3.37E-04,867.3576,862.56531
4.13E+02,3.36E-04,867.30583,862.53808
4.14E+02,3.34E-04,867.25425,862.51091
4.15E+02,3.33E-04,867.20284,862.48379
4.16E+02,3.32E-04,867.15162,862.45674
4.17E+02,3.31E-04,867.10059,862.42977
4.18E+02,3.30E-04,867.04973,862.40286
4.19E+02,3.28E-04,866.99907,862.37603
4.20E+02,3.27E-04,866.9486,862.34926
4.21E+02,3.26E-04,866.89833,862.32257
4.22E+02,3.25E-04,866.84823,862.29596
4.23E+02,3.24E-04,866.79833,862.26941
4.24E+02,3.22E-04,866.74864,862.24293
4.25E+02,3.21E-04,866.69912,862.21653
4.26E+02,3.20E-04,866.64981,862.19023
4.27E+02,3.19E-04,866.6007,862.16402
4.28E+02,3.18E-04,866.55177,862.1379
4.29E+02,3.17E-04,866.50302,862.11186
4.30E+02,3.16E-04,866.45443,862.08589
4.31E+02,3.14E-04,866.40609,862.06001
4.32E+02,3.13E-04,866.35798,862.03423
4.33E+02,3.12E-04,866.3101,862.00853
4.34E+02,3.11E-04,866.26243,861.98293
4.35E+02,3.10E-04,866.21498,861.95742
4.36E+02,3.09E-04,866.16775,861.93199
4.37E+02,3.08E-04,866.12074,861.90665
4.38E+02,3.07E-04,866.07394,861.88142
4.39E+02,3.06E-04,866.02736,861.85628
4.40E+02,3.04E-04,865.98099,861.83124
4.41E+02,3.03E-04,865.93483,861.80627
4.42E+02,3.02E-04,865.88889,861.7814
4.43E+02,3.01E-04,865.84316,861.75665
4.44E+02,3.00E-04,865.79764,861.732
4.45E+02,2.99E-04,865.75234,861.70744
4.46E+02,2.98E-04,865.70726,861.68299
4.47E+02,2.97E-04,865.66238,861.65862
4.48E+02,2.96E-04,865.61771,861.63433
4.49E+02,2.95E-04,865.57323,861.61016
4.50E+02,2.94E-04,865.52896,861.58608
4.51E+02,2.93E-04,865.48485,861.5621
4.52E+02,2.92E-04,865.44097,861.53822
4.53E+02,2.91E-04,865.39733,861.51443
4.54E+02,2.90E-04,865.35391,861.49073
4.55E+02,2.89E-04,865.31071,861.46713
4.56E+02,2.88E-04,865.26773,861.44361
4.57E+02,2.87E-04,865.22496,861.4202
4.58E+02,2.86E-04,865.18241,861.39688
4.59E+02,2.85E-04,865.14006,861.37367
4.60E+02,2.84E-04,865.09792,861.35055
4.61E+02,2.83E-04,865.05599,861.32754
4.62E+02,2.82E-04,865.01428,861.30464
4.63E+02,2.81E-04,864.97277,861.28181
4.64E+02,2.80E-04,864.93147,861.25908
4.65E+02,2.79E-04,864.89037,861.23646
4.66E+02,2.78E-04,864.84948,861.21394
4.67E+02,2.77E-04,864.80879,861.19151
4.68E+02,2.76E-04,864.76828,861.16917
4.69E+02,2.75E-04,864.72798,861.14692
4.70E+02,2.74E-04,864.68789,861.12477
4.71E+02,2.73E-04,864.64798,861.10273
4.72E+02,2.72E-04,864.60827,861.08078
4.73E+02,2.71E-04,864.56874,861.05893
4.74E+02,2.70E-04,864.52941,861.03717
4.75E+02,2.69E-04,864.49022,861.01549
4.76E+02,2.68E-04,864.45123,860.99392
4.77E+02,2.67E-04,864.41246,860.97243
4.78E+02,2.66E-04,864.37391,860.95103
4.79E+02,2.66E-04,864.33555,860.92971
4.80E+02,2.65E-04,864.29739,860.90848
4.81E+02,2.64E-04,864.25942,860.88734
4.82E+02,2.63E-04,864.22164,860.8663
4.83E+02,2.62E-04,864.18405,860.84536
4.84E+02,2.61E-04,864.14665,860.82452
4.85E+02,2.60E-04,864.10944,860.80377
4.86E+02,2.59E-04,864.07242,860.78312
4.87E+02,2.58E-04,864.03559,860.76256
4.88E+02,2.57E-04,863.99894,860.74208
4.89E+02,2.57E-04,863.96248,860.7217
4.90E+02,2.56E-04,863.9262,860.7014
4.91E+02,2.55E-04,863.8901,860.6812
4.92E+02,2.54E-04,863.85417,860.66108
4.93E+02,2.53E-04,863.81843,860.64105
4.94E+02,2.52E-04,863.78287,860.62109
4.95E+02,2.51E-04,863.74747,860.60124
4.96E+02,2.51E-04,863.71225,860.58147
4.97E+02,2.50E-04,863.67721,860.56179
4.98E+02,2.49E-04,863.64234,860.5422
4.99E+02,2.48E-04,863.60762,860.52268
5.00E+02,2.47E-04,863.57308,860.50326
5.01E+02,2.46E-04,863.5387,860.48392
5.02E+02,2.45E-04,863.50446,860.46466
5.03E+02,2.45E-04,863.47037,860.44549
5.04E+02,2.44E-04,863.43648,860.4264
5.05E+02,2.43E-04,863.40277,860.40739
5.06E+02,2.42E-04,863.36923,860.38845
5.07E+02,2.41E-04,863.33586,860.36959
5.08E+02,2.41E-04,863.30266,860.35082
5.09E+02,2.40E-04,863.26962,860.33212
5.10E+02,2.39E-04,863.23675,860.31351
5.11E+02,2.38E-04,863.20405,860.29498
5.12E+02,2.37E-04,863.17151,860.27655
5.13E+02,2.37E-04,863.13913,860.25819
5.14E+02,2.36E-04,863.1069,860.23992
5.15E+02,2.35E-04,863.07484,860.22173
5.16E+02,2.34E-04,863.04294,860.20362
5.17E+02,2.33E-04,863.01121,860.18559
5.18E+02,2.33E-04,862.97962,860.16763
5.19E+02,2.32E-04,862.94818,860.14976
5.20E+02,2.31E-04,862.9169,860.13196
5.21E+02,2.30E-04,862.88578,860.11425
5.22E+02,2.30E-04,862.85481,860.09661
5.23E+02,2.29E-04,862.82398,860.07906
5.24E+02,2.28E-04,862.79331,860.06158
5.25E+02,2.27E-04,862.76279,860.04416
5.26E+02,2.26E-04,862.73242,860.02682
5.27E+02,2.26E-04,862.70218,860.00956
5.28E+02,2.25E-04,862.67209,859.99236
5.29E+02,2.24E-04,862.64215,859.97525
5.30E+02,2.24E-04,862.61234,859.95822
5.31E+02,2.23E-04,862.58267,859.94125
5.32E+02,2.22E-04,862.55315,859.92437
5.33E+02,2.21E-04,862.52375,859.90755
5.34E+02,2.21E-04,862.49447,859.89081
5.35E+02,2.20E-04,862.46533,859.87414
5.36E+02,2.19E-04,862.43634,859.85753
5.37E+02,2.18E-04,862.40751,859.84099
5.38E+02,2.18E-04,862.37882,859.82452
5.39E+02,2.17E-04,862.35027,859.80812
5.40E+02,2.16E-04,862.32187,859.79179
5.41E+02,2.16E-04,862.2936,859.77554
5.42E+02,2.15E-04,862.26548,859.75936
5.43E+02,2.14E-04,862.23749,859.74325
5.44E+02,2.13E-04,862.20963,859.72721
5.45E+02,2.13E-04,862.18191,859.71124
5.46E+02,2.12E-04,862.15432,859.69535
5.47E+02,2.11E-04,862.12687,859.67952
5.48E+02,2.11E-04,862.09955,859.66377
5.49E+02,2.10E-04,862.07237,859.64809
5.50E+02,2.09E-04,862.04532,859.63247
5.51E+02,2.09E-04,862.01839,859.61692
5.52E+02,2.08E-04,861.99159,859.60143
5.53E+02,2.07E-04,861.96493,859.586
5.54E+02,2.07E-04,861.93838,859.57065
5.55E+02,2.06E-04,861.91197,859.55537
5.56E+02,2.05E-04,861.88568,859.54015
5.57E+02,2.05E-04,861.85951,859.525
5.58E+02,2.04E-04,861.83346,859.50991
5.59E+02,2.03E-04,861.80755,859.49489
5.60E+02,2.03E-04,861.78175,859.47994
5.61E+02,2.02E-04,861.75607,859.46505
5.62E+02,2.01E-04,861.73052,859.45022
5.63E+02,2.01E-04,861.70509,859.43545
5.64E+02,2.00E-04,861.67977,859.42074
5.65E+02,1.99E-04,861.65456,859.4061
5.66E+02,1.99E-04,861.62948,859.39152
