Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g),,,,,,,,,,,,,,,,,,W/g
7.5,280.65,5.0000,1.9765,,,,,,,,,,,,,,,,,,2.07E+00
7.8,280.95,5.0000,1.9819,,,,,,,,,,,,,,,,,,2.08E+00
8.1,281.25,5.0000,1.9852,,,,,,,,,,,,,,,,,,2.09E+00
8.4,281.55,5.0000,1.9901,,,,,,,,,,,,,,,,,,2.10E+00
8.7,281.85,5.0000,1.9931,,,,,,,,,,,,,,,,,,2.11E+00
9.0,282.15,5.0000,1.9984,,,,,,,,,,,,,,,,,,2.11E+00
9.3,282.45,5.0000,2.0018,,,,,,,,,,,,,,,,,,2.12E+00
9.6,282.75,5.0000,2.0066,,,,,,,,,,,,,,,,,,2.13E+00
9.9,283.05,5.0000,2.0096,,,,,,,,,,,,,,,,,,2.14E+00
10.2,283.35,5.0000,2.0150,,,,,,,,,,,,,,,,,,2.15E+00
10.5,283.65,5.0000,2.0183,,,,,,,,,,,,,,,,,,2.16E+00
10.8,283.95,5.0000,2.0231,,,,,,,,,,,,,,,,,,2.16E+00
11.1,284.25,5.0000,2.0262,,,,,,,,,,,,,,,,,,2.17E+00
11.4,284.55,5.0000,2.0315,,,,,,,,,,,,,,,,,,2.18E+00
11.7,284.85,5.0000,2.0349,,,,,,,,,,,,,,,,,,2.19E+00
12.0,285.15,5.0000,2.0397,,,,,,,,,,,,,,,,,,2.20E+00
12.3,285.45,5.0000,2.0428,,,,,,,,,,,,,,,,,,2.21E+00
12.6,285.75,5.0000,2.0477,,,,,,,,,,,,,,,,,,2.21E+00
12.9,286.05,5.0000,2.0515,,,,,,,,,,,,,,,,,,2.22E+00
13.2,286.35,5.0000,2.0562,,,,,,,,,,,,,,,,,,2.23E+00
13.5,286.65,5.0000,2.0594,,,,,,,,,,,,,,,,,,2.24E+00
13.8,286.95,5.0000,2.0643,,,,,,,,,,,,,,,,,,2.25E+00
14.1,287.25,5.0000,2.0681,,,,,,,,,,,,,,,,,,2.26E+00
14.4,287.55,5.0000,2.0728,,,,,,,,,,,,,,,,,,2.26E+00
14.7,287.85,5.0000,2.0760,,,,,,,,,,,,,,,,,,2.27E+00
15.0,288.15,5.0000,2.0809,,,,,,,,,,,,,,,,,,2.28E+00
15.3,288.45,5.0000,2.0847,,,,,,,,,,,,,,,,,,2.29E+00
15.6,288.75,5.0000,2.0894,,,,,,,,,,,,,,,,,,2.30E+00
15.9,289.05,5.0000,2.0926,,,,,,,,,,,,,,,,,,2.31E+00
16.2,289.35,5.0000,2.0974,,,,,,,,,,,,,,,,,,2.31E+00
16.5,289.65,5.0000,2.1013,,,,,,,,,,,,,,,,,,2.32E+00
16.8,289.95,5.0000,2.1065,,,,,,,,,,,,,,,,,,2.33E+00
17.1,290.25,5.0000,2.1100,,,,,,,,,,,,,,,,,,2.34E+00
17.4,290.55,5.0000,2.1144,,,,,,,,,,,,,,,,,,2.35E+00
17.7,290.85,5.0000,2.1179,,,,,,,,,,,,,,,,,,2.36E+00
18.0,291.15,5.0000,2.1227,,,,,,,,,,,,,,,,,,2.36E+00
18.3,291.45,5.0000,2.1266,,,,,,,,,,,,,,,,,,2.37E+00
18.6,291.75,5.0000,2.1309,,,,,,,,,,,,,,,,,,2.38E+00
18.9,292.05,5.0000,2.1345,,,,,,,,,,,,,,,,,,2.39E+00
19.2,292.35,5.0000,2.1393,,,,,,,,,,,,,,,,,,2.40E+00
19.5,292.65,5.0000,2.1432,,,,,,,,,,,,,,,,,,2.41E+00
19.8,292.95,5.0000,2.1475,,,,,,,,,,,,,,,,,,2.41E+00
20.1,293.25,5.0000,2.1511,,,,,,,,,,,,,,,,,,2.42E+00
20.4,293.55,5.0000,2.1559,,,,,,,,,,,,,,,,,,2.43E+00
20.7,293.85,5.0000,2.1598,,,,,,,,,,,,,,,,,,2.44E+00
21.0,294.15,5.0000,2.1641,,,,,,,,,,,,,,,,,,2.45E+00
21.3,294.45,5.0000,2.1677,,,,,,,,,,,,,,,,,,2.46E+00
21.6,294.75,5.0000,2.1724,,,,,,,,,,,,,,,,,,2.46E+00
21.9,295.05,5.0000,2.1764,,,,,,,,,,,,,,,,,,2.47E+00
22.2,295.35,5.0000,2.1807,,,,,,,,,,,,,,,,,,2.48E+00
22.5,295.65,5.0000,2.1843,,,,,,,,,,,,,,,,,,2.49E+00
22.8,295.95,5.0000,2.1890,,,,,,,,,,,,,,,,,,2.50E+00
23.1,296.25,5.0000,2.1930,,,,,,,,,,,,,,,,,,2.51E+00
23.4,296.55,5.0000,2.1969,,,,,,,,,,,,,,,,,,2.51E+00
23.7,296.85,5.0000,2.2009,,,,,,,,,,,,,,,,,,2.52E+00
24.0,297.15,5.0000,2.2056,,,,,,,,,,,,,,,,,,2.53E+00
24.3,297.45,5.0000,2.2096,,,,,,,,,,,,,,,,,,2.54E+00
24.6,297.75,5.0000,2.2135,,,,,,,,,,,,,,,,,,2.55E+00
24.9,298.05,5.0000,2.2175,,,,,,,,,,,,,,,,,,2.56E+00
25.2,298.35,5.0000,2.2222,,,,,,,,,,,,,,,,,,2.56E+00
25.5,298.65,5.0000,2.2262,,,,,,,,,,,,,,,,,,2.57E+00
25.8,298.95,5.0000,2.2302,,,,,,,,,,,,,,,,,,2.58E+00
26.1,299.25,5.0000,2.2342,,,,,,,,,,,,,,,,,,2.59E+00
26.4,299.55,5.0000,2.2388,,,,,,,,,,,,,,,,,,2.60E+00
26.7,299.85,5.0000,2.2429,,,,,,,,,,,,,,,,,,2.61E+00
27.0,300.15,5.0000,2.2468,,,,,,,,,,,,,,,,,,2.61E+00
27.3,300.45,5.0000,2.2508,,,,,,,,,,,,,,,,,,2.62E+00
27.6,300.75,5.0000,2.2555,,,,,,,,,,,,,,,,,,2.63E+00
27.9,301.05,5.0000,2.2595,,,,,,,,,,,,,,,,,,2.64E+00
28.2,301.35,5.0000,2.2638,,,,,,,,,,,,,,,,,,2.65E+00
28.5,301.65,5.0000,2.2683,,,,,,,,,,,,,,,,,,2.65E+00
28.8,301.95,5.0000,2.2722,,,,,,,,,,,,,,,,,,2.66E+00
29.1,302.25,5.0000,2.2762,,,,,,,,,,,,,,,,,,2.67E+00
29.4,302.55,5.0000,2.2805,,,,,,,,,,,,,,,,,,2.68E+00
29.7,302.85,5.0000,2.2849,,,,,,,,,,,,,,,,,,2.69E+00
30.0,303.15,5.0000,2.2888,,,,,,,,,,,,,,,,,,2.70E+00
30.3,303.45,5.0000,2.2928,,,,,,,,,,,,,,,,,,2.70E+00
30.6,303.75,5.0000,2.2975,,,,,,,,,,,,,,,,,,2.71E+00
30.9,304.05,5.0000,2.3016,,,,,,,,,,,,,,,,,,2.72E+00
31.2,304.35,5.0000,2.3054,,,,,,,,,,,,,,,,,,2.73E+00
31.5,304.65,5.0000,2.3095,,,,,,,,,,,,,,,,,,2.74E+00
31.8,304.95,5.0000,2.3141,,,,,,,,,,,,,,,,,,2.75E+00
32.1,305.25,5.0000,2.3182,,,,,,,,,,,,,,,,,,2.75E+00
32.4,305.55,5.0000,2.3221,,,,,,,,,,,,,,,,,,2.76E+00
32.7,305.85,5.0000,2.3262,,,,,,,,,,,,,,,,,,2.77E+00
33.0,306.15,5.0000,2.3307,,,,,,,,,,,,,,,,,,2.78E+00
33.3,306.45,5.0000,2.3349,,,,,,,,,,,,,,,,,,2.79E+00
33.6,306.75,5.0000,2.3387,,,,,,,,,,,,,,,,,,2.80E+00
33.9,307.05,5.0000,2.3428,,,,,,,,,,,,,,,,,,2.80E+00
34.2,307.35,5.0000,2.3474,,,,,,,,,,,,,,,,,,2.81E+00
34.5,307.65,5.0000,2.3515,,,,,,,,,,,,,,,,,,2.82E+00
34.8,307.95,5.0000,2.3553,,,,,,,,,,,,,,,,,,2.83E+00
35.1,308.25,5.0000,2.3595,,,,,,,,,,,,,,,,,,2.84E+00
35.4,308.55,5.0000,2.3636,,,,,,,,,,,,,,,,,,2.85E+00
35.7,308.85,5.0000,2.3682,,,,,,,,,,,,,,,,,,2.85E+00
36.0,309.15,5.0000,2.3720,,,,,,,,,,,,,,,,,,2.86E+00
36.3,309.45,5.0000,2.3761,,,,,,,,,,,,,,,,,,2.87E+00
36.6,309.75,5.0000,2.3803,,,,,,,,,,,,,,,,,,2.88E+00
36.9,310.05,5.0000,2.3849,,,,,,,,,,,,,,,,,,2.89E+00
37.2,310.35,5.0000,2.3886,,,,,,,,,,,,,,,,,,2.90E+00
37.5,310.65,5.0000,2.3928,,,,,,,,,,,,,,,,,,2.90E+00
37.8,310.95,5.0000,2.3970,,,,,,,,,,,,,,,,,,2.91E+00
38.1,311.25,5.0000,2.4016,,,,,,,,,,,,,,,,,,2.92E+00
38.4,311.55,5.0000,2.4053,,,,,,,,,,,,,,,,,,2.93E+00
38.7,311.85,5.0000,2.4095,,,,,,,,,,,,,,,,,,2.94E+00
39.0,312.15,5.0000,2.4137,,,,,,,,,,,,,,,,,,2.95E+00
39.3,312.45,5.0000,2.4183,,,,,,,,,,,,,,,,,,2.95E+00
39.6,312.75,5.0000,2.4224,,,,,,,,,,,,,,,,,,2.96E+00
39.9,313.05,5.0000,2.4270,,,,,,,,,,,,,,,,,,2.97E+00
40.2,313.35,5.0000,2.4308,,,,,,,,,,,,,,,,,,2.98E+00
40.5,313.65,5.0000,2.4350,,,,,,,,,,,,,,,,,,2.99E+00
40.8,313.95,5.0000,2.4387,,,,,,,,,,,,,,,,,,2.99E+00
41.1,314.25,5.0000,2.4437,,,,,,,,,,,,,,,,,,3.00E+00
41.4,314.55,5.0000,2.4475,,,,,,,,,,,,,,,,,,3.01E+00
41.7,314.85,5.0000,2.4517,,,,,,,,,,,,,,,,,,3.02E+00
42.0,315.15,5.0000,2.4554,,,,,,,,,,,,,,,,,,3.03E+00
42.3,315.45,5.0000,2.4604,,,,,,,,,,,,,,,,,,3.04E+00
42.6,315.75,5.0000,2.4641,,,,,,,,,,,,,,,,,,3.05E+00
42.9,316.05,5.0000,2.4684,,,,,,,,,,,,,,,,,,3.05E+00
43.2,316.35,5.0000,2.4721,,,,,,,,,,,,,,,,,,3.06E+00
43.5,316.65,5.0000,2.4772,,,,,,,,,,,,,,,,,,3.07E+00
43.8,316.95,5.0000,2.4808,,,,,,,,,,,,,,,,,,3.08E+00
44.1,317.25,5.0000,2.4851,,,,,,,,,,,,,,,,,,3.09E+00
44.4,317.55,5.0000,2.4888,,,,,,,,,,,,,,,,,,3.10E+00
44.7,317.85,5.0000,2.4939,,,,,,,,,,,,,,,,,,3.10E+00
45.0,318.15,5.0000,2.4975,,,,,,,,,,,,,,,,,,3.11E+00
45.3,318.45,5.0000,2.5018,,,,,,,,,,,,,,,,,,3.12E+00
45.6,318.75,5.0000,2.5055,,,,,,,,,,,,,,,,,,3.13E+00
45.9,319.05,5.0000,2.5106,,,,,,,,,,,,,,,,,,3.14E+00
46.2,319.35,5.0000,2.5139,,,,,,,,,,,,,,,,,,3.15E+00
46.5,319.65,5.0000,2.5185,,,,,,,,,,,,,,,,,,3.16E+00
46.8,319.95,5.0000,2.5222,,,,,,,,,,,,,,,,,,3.16E+00
47.1,320.25,5.0000,2.5273,,,,,,,,,,,,,,,,,,3.17E+00
47.4,320.55,5.0000,2.5306,,,,,,,,,,,,,,,,,,3.18E+00
47.7,320.85,5.0000,2.5352,,,,,,,,,,,,,,,,,,3.19E+00
48.0,321.15,5.0000,2.5388,,,,,,,,,,,,,,,,,,3.20E+00
48.3,321.45,5.0000,2.5440,,,,,,,,,,,,,,,,,,3.21E+00
48.6,321.75,5.0000,2.5472,,,,,,,,,,,,,,,,,,3.22E+00
48.9,322.05,5.0000,2.5519,,,,,,,,,,,,,,,,,,3.22E+00
49.2,322.35,5.0000,2.5554,,,,,,,,,,,,,,,,,,3.23E+00
49.5,322.65,5.0000,2.5606,,,,,,,,,,,,,,,,,,3.24E+00
49.8,322.95,5.0000,2.5638,,,,,,,,,,,,,,,,,,3.25E+00
50.1,323.25,5.0000,2.5684,,,,,,,,,,,,,,,,,,3.26E+00
50.4,323.55,5.0000,2.5720,,,,,,,,,,,,,,,,,,3.27E+00
50.7,323.85,5.0000,2.5771,,,,,,,,,,,,,,,,,,3.28E+00
51.0,324.15,5.0000,2.5807,,,,,,,,,,,,,,,,,,3.28E+00
51.3,324.45,5.0000,2.5858,,,,,,,,,,,,,,,,,,3.29E+00
51.6,324.75,5.0000,2.5886,,,,,,,,,,,,,,,,,,3.30E+00
51.9,325.05,5.0000,2.5937,,,,,,,,,,,,,,,,,,3.31E+00
52.2,325.35,5.0000,2.5972,,,,,,,,,,,,,,,,,,3.32E+00
52.5,325.65,5.0000,2.6023,,,,,,,,,,,,,,,,,,3.33E+00
52.8,325.95,5.0000,2.6052,,,,,,,,,,,,,,,,,,3.34E+00
53.1,326.25,5.0000,2.6102,,,,,,,,,,,,,,,,,,3.35E+00
53.4,326.55,5.0000,2.6137,,,,,,,,,,,,,,,,,,3.36E+00
53.7,326.85,5.0000,2.6189,,,,,,,,,,,,,,,,,,3.36E+00
54.0,327.15,5.0000,2.6217,,,,,,,,,,,,,,,,,,3.37E+00
54.3,327.45,5.0000,2.6268,,,,,,,,,,,,,,,,,,3.38E+00
54.6,327.75,5.0000,2.6303,,,,,,,,,,,,,,,,,,3.39E+00
54.9,328.05,5.0000,2.6355,,,,,,,,,,,,,,,,,,3.40E+00
55.2,328.35,5.0000,2.6383,,,,,,,,,,,,,,,,,,3.41E+00
55.5,328.65,5.0000,2.6434,,,,,,,,,,,,,,,,,,3.42E+00
55.8,328.95,5.0000,2.6468,,,,,,,,,,,,,,,,,,3.43E+00
56.1,329.25,5.0000,2.6520,,,,,,,,,,,,,,,,,,3.44E+00
56.4,329.55,5.0000,2.6548,,,,,,,,,,,,,,,,,,3.45E+00
56.7,329.85,5.0000,2.6599,,,,,,,,,,,,,,,,,,3.46E+00
57.0,330.15,5.0000,2.6630,,,,,,,,,,,,,,,,,,3.47E+00
57.3,330.45,5.0000,2.6686,,,,,,,,,,,,,,,,,,3.48E+00
57.6,330.75,5.0000,2.6714,,,,,,,,,,,,,,,,,,3.49E+00
57.9,331.05,5.0000,2.6765,,,,,,,,,,,,,,,,,,3.50E+00
58.2,331.35,5.0000,2.6795,,,,,,,,,,,,,,,,,,3.51E+00
58.5,331.65,5.0000,2.6852,,,,,,,,,,,,,,,,,,3.51E+00
58.8,331.95,5.0000,2.6879,,,,,,,,,,,,,,,,,,3.53E+00
59.1,332.25,5.0000,2.6931,,,,,,,,,,,,,,,,,,3.53E+00
59.4,332.55,5.0000,2.6961,,,,,,,,,,,,,,,,,,3.55E+00
59.7,332.85,5.0000,2.7017,,,,,,,,,,,,,,,,,,3.56E+00
60.0,333.15,5.0000,2.7049,,,,,,,,,,,,,,,,,,3.57E+00
60.3,333.45,5.0000,2.7096,,,,,,,,,,,,,,,,,,3.58E+00
60.6,333.75,5.0000,2.7127,,,,,,,,,,,,,,,,,,3.59E+00
60.9,334.05,5.0000,2.7183,,,,,,,,,,,,,,,,,,3.60E+00
61.2,334.35,5.0000,2.7214,,,,,,,,,,,,,,,,,,3.61E+00
61.5,334.65,5.0000,2.7262,,,,,,,,,,,,,,,,,,3.62E+00
61.8,334.95,5.0000,2.7292,,,,,,,,,,,,,,,,,,3.63E+00
62.1,335.25,5.0000,2.7349,,,,,,,,,,,,,,,,,,3.64E+00
62.4,335.55,5.0000,2.7379,,,,,,,,,,,,,,,,,,3.65E+00
62.7,335.85,5.0000,2.7435,,,,,,,,,,,,,,,,,,3.66E+00
63.0,336.15,5.0000,2.7463,,,,,,,,,,,,,,,,,,3.67E+00
63.3,336.45,5.0000,2.7514,,,,,,,,,,,,,,,,,,3.68E+00
63.6,336.75,5.0000,2.7544,,,,,,,,,,,,,,,,,,3.69E+00
63.9,337.05,5.0000,2.7601,,,,,,,,,,,,,,,,,,3.71E+00
64.2,337.35,5.0000,2.7629,,,,,,,,,,,,,,,,,,3.72E+00
64.5,337.65,5.0000,2.7680,,,,,,,,,,,,,,,,,,3.73E+00
64.8,337.95,5.0000,2.7710,,,,,,,,,,,,,,,,,,3.74E+00
65.1,338.25,5.0000,2.7767,,,,,,,,,,,,,,,,,,3.75E+00
65.4,338.55,5.0000,2.7794,,,,,,,,,,,,,,,,,,3.77E+00
65.7,338.85,5.0000,2.7846,,,,,,,,,,,,,,,,,,3.78E+00
66.0,339.15,5.0000,2.7876,,,,,,,,,,,,,,,,,,3.79E+00
66.3,339.45,5.0000,2.7933,,,,,,,,,,,,,,,,,,3.80E+00
66.6,339.75,5.0000,2.7960,,,,,,,,,,,,,,,,,,3.82E+00
66.9,340.05,5.0000,2.8012,,,,,,,,,,,,,,,,,,3.83E+00
67.2,340.35,5.0000,2.8042,,,,,,,,,,,,,,,,,,3.84E+00
67.5,340.65,5.0000,2.8099,,,,,,,,,,,,,,,,,,3.85E+00
67.8,340.95,5.0000,2.8122,,,,,,,,,,,,,,,,,,3.87E+00
68.1,341.25,5.0000,2.8178,,,,,,,,,,,,,,,,,,3.88E+00
68.4,341.55,5.0000,2.8207,,,,,,,,,,,,,,,,,,3.89E+00
68.7,341.85,5.0000,2.8265,,,,,,,,,,,,,,,,,,3.91E+00
69.0,342.15,5.0000,2.8288,,,,,,,,,,,,,,,,,,3.92E+00
69.3,342.45,5.0000,2.8344,,,,,,,,,,,,,,,,,,3.94E+00
69.6,342.75,5.0000,2.8373,,,,,,,,,,,,,,,,,,3.95E+00
69.9,343.05,5.0000,2.8431,,,,,,,,,,,,,,,,,,3.96E+00
70.2,343.35,5.0000,2.8454,,,,,,,,,,,,,,,,,,3.98E+00
70.5,343.65,5.0000,2.8510,,,,,,,,,,,,,,,,,,3.99E+00
70.8,343.95,5.0000,2.8539,,,,,,,,,,,,,,,,,,4.01E+00
71.1,344.25,5.0000,2.8597,,,,,,,,,,,,,,,,,,4.02E+00
71.4,344.55,5.0000,2.8620,,,,,,,,,,,,,,,,,,4.04E+00
71.7,344.85,5.0000,2.8676,,,,,,,,,,,,,,,,,,4.05E+00
72.0,345.15,5.0000,2.8705,,,,,,,,,,,,,,,,,,4.07E+00
72.3,345.45,5.0000,2.8763,,,,,,,,,,,,,,,,,,4.09E+00
72.6,345.75,5.0000,2.8786,,,,,,,,,,,,,,,,,,4.10E+00
72.9,346.05,5.0000,2.8842,,,,,,,,,,,,,,,,,,4.12E+00
73.2,346.35,5.0000,2.8871,,,,,,,,,,,,,,,,,,4.13E+00
73.5,346.65,5.0000,2.8929,,,,,,,,,,,,,,,,,,4.15E+00
73.8,346.95,5.0000,2.8954,,,,,,,,,,,,,,,,,,4.17E+00
74.1,347.25,5.0000,2.9016,,,,,,,,,,,,,,,,,,4.18E+00
74.4,347.55,5.0000,2.9039,,,,,,,,,,,,,,,,,,4.20E+00
74.7,347.85,5.0000,2.9095,,,,,,,,,,,,,,,,,,4.22E+00
75.0,348.15,5.0000,2.9120,,,,,,,,,,,,,,,,,,4.23E+00
75.3,348.45,5.0000,2.9182,,,,,,,,,,,,,,,,,,4.25E+00
75.6,348.75,5.0000,2.9205,,,,,,,,,,,,,,,,,,4.27E+00
75.9,349.05,5.0000,2.9261,,,,,,,,,,,,,,,,,,4.28E+00
76.2,349.35,5.0000,2.9286,,,,,,,,,,,,,,,,,,4.30E+00
76.5,349.65,5.0000,2.9349,,,,,,,,,,,,,,,,,,4.32E+00
76.8,349.95,5.0000,2.9371,,,,,,,,,,,,,,,,,,4.34E+00
77.1,350.25,5.0000,2.9428,,,,,,,,,,,,,,,,,,4.35E+00
77.4,350.55,5.0000,2.9453,,,,,,,,,,,,,,,,,,4.37E+00
77.7,350.85,5.0000,2.9515,,,,,,,,,,,,,,,,,,4.39E+00
78.0,351.15,5.0000,2.9538,,,,,,,,,,,,,,,,,,4.41E+00
78.3,351.45,5.0000,2.9594,,,,,,,,,,,,,,,,,,4.42E+00
78.6,351.75,5.0000,2.9619,,,,,,,,,,,,,,,,,,4.44E+00
78.9,352.05,5.0000,2.9682,,,,,,,,,,,,,,,,,,4.46E+00
79.2,352.35,5.0000,2.9704,,,,,,,,,,,,,,,,,,4.48E+00
79.5,352.65,5.0000,2.9761,,,,,,,,,,,,,,,,,,4.49E+00
79.8,352.95,5.0000,2.9782,,,,,,,,,,,,,,,,,,4.51E+00
80.1,353.25,5.0000,2.9848,,,,,,,,,,,,,,,,,,4.53E+00
80.4,353.55,5.0000,2.9871,,,,,,,,,,,,,,,,,,4.54E+00
80.7,353.85,5.0000,2.9928,,,,,,,,,,,,,,,,,,4.56E+00
81.0,354.15,5.0000,2.9949,,,,,,,,,,,,,,,,,,4.58E+00
81.3,354.45,5.0000,3.0015,,,,,,,,,,,,,,,,,,4.59E+00
81.6,354.75,5.0000,3.0038,,,,,,,,,,,,,,,,,,4.61E+00
81.9,355.05,5.0000,3.0095,,,,,,,,,,,,,,,,,,4.62E+00
82.2,355.35,5.0000,3.0116,,,,,,,,,,,,,,,,,,4.64E+00
82.5,355.65,5.0000,3.0182,,,,,,,,,,,,,,,,,,4.65E+00
82.8,355.95,4.9999,3.0205,,,,,,,,,,,,,,,,,,4.67E+00
83.1,356.25,4.9999,3.0262,,,,,,,,,,,,,,,,,,4.68E+00
83.4,356.55,4.9999,3.0283,,,,,,,,,,,,,,,,,,4.70E+00
83.7,356.85,4.9999,3.0350,,,,,,,,,,,,,,,,,,4.71E+00
84.0,357.15,4.9999,3.0372,,,,,,,,,,,,,,,,,,4.72E+00
84.3,357.45,4.9999,3.0430,,,,,,,,,,,,,,,,,,4.74E+00
84.6,357.75,4.9999,3.0450,,,,,,,,,,,,,,,,,,4.75E+00
84.9,358.05,4.9999,3.0517,,,,,,,,,,,,,,,,,,4.76E+00
85.2,358.35,4.9999,3.0538,,,,,,,,,,,,,,,,,,4.77E+00
85.5,358.65,4.9999,3.0605,,,,,,,,,,,,,,,,,,4.78E+00
85.8,358.95,4.9999,3.0624,,,,,,,,,,,,,,,,,,4.79E+00
86.1,359.25,4.9999,3.0685,,,,,,,,,,,,,,,,,,4.80E+00
86.4,359.55,4.9999,3.0706,,,,,,,,,,,,,,,,,,4.80E+00
86.7,359.85,4.9999,3.0773,,,,,,,,,,,,,,,,,,4.81E+00
87.0,360.15,4.9999,3.0792,,,,,,,,,,,,,,,,,,4.82E+00
87.3,360.45,4.9999,3.0853,,,,,,,,,,,,,,,,,,4.82E+00
87.6,360.75,4.9999,3.0874,,,,,,,,,,,,,,,,,,4.83E+00
87.9,361.05,4.9999,3.0941,,,,,,,,,,,,,,,,,,4.84E+00
88.2,361.35,4.9999,3.0960,,,,,,,,,,,,,,,,,,4.84E+00
88.5,361.65,4.9999,3.1022,,,,,,,,,,,,,,,,,,4.84E+00
88.8,361.95,4.9999,3.1042,,,,,,,,,,,,,,,,,,4.85E+00
89.1,362.25,4.9999,3.1110,,,,,,,,,,,,,,,,,,4.85E+00
89.4,362.55,4.9999,3.1133,,,,,,,,,,,,,,,,,,4.85E+00
89.7,362.85,4.9999,3.1191,,,,,,,,,,,,,,,,,,4.85E+00
90.0,363.15,4.9999,3.1211,,,,,,,,,,,,,,,,,,4.85E+00
90.3,363.45,4.9999,3.1279,,,,,,,,,,,,,,,,,,4.85E+00
90.6,363.75,4.9999,3.1298,,,,,,,,,,,,,,,,,,4.85E+00
90.9,364.05,4.9999,3.1360,,,,,,,,,,,,,,,,,,4.85E+00
91.2,364.35,4.9999,3.1380,,,,,,,,,,,,,,,,,,4.85E+00
91.5,364.65,4.9999,3.1448,,,,,,,,,,,,,,,,,,4.85E+00
91.8,364.95,4.9999,3.1467,,,,,,,,,,,,,,,,,,4.85E+00
92.1,365.25,4.9999,3.1529,,,,,,,,,,,,,,,,,,4.85E+00
92.4,365.55,4.9998,3.1550,,,,,,,,,,,,,,,,,,4.85E+00
92.7,365.85,4.9998,3.1618,,,,,,,,,,,,,,,,,,4.84E+00
93.0,366.15,4.9998,3.1637,,,,,,,,,,,,,,,,,,4.84E+00
93.3,366.45,4.9998,3.1699,,,,,,,,,,,,,,,,,,4.84E+00
93.6,366.75,4.9998,3.1720,,,,,,,,,,,,,,,,,,4.84E+00
93.9,367.05,4.9998,3.1788,,,,,,,,,,,,,,,,,,4.84E+00
94.2,367.35,4.9998,3.1808,,,,,,,,,,,,,,,,,,4.84E+00
94.5,367.65,4.9998,3.1870,,,,,,,,,,,,,,,,,,4.84E+00
94.8,367.95,4.9998,3.1891,,,,,,,,,,,,,,,,,,4.84E+00
95.1,368.25,4.9998,3.1959,,,,,,,,,,,,,,,,,,4.84E+00
95.4,368.55,4.9998,3.1978,,,,,,,,,,,,,,,,,,4.85E+00
95.7,368.85,4.9998,3.2041,,,,,,,,,,,,,,,,,,4.85E+00
96.0,369.15,4.9998,3.2058,,,,,,,,,,,,,,,,,,4.85E+00
96.3,369.45,4.9998,3.2130,,,,,,,,,,,,,,,,,,4.86E+00
96.6,369.75,4.9998,3.2152,,,,,,,,,,,,,,,,,,4.87E+00
96.9,370.05,4.9997,3.2220,,,,,,,,,,,,,,,,,,4.87E+00
97.2,370.35,4.9997,3.2236,,,,,,,,,,,,,,,,,,4.88E+00
97.5,370.65,4.9997,3.2303,,,,,,,,,,,,,,,,,,4.89E+00
97.8,370.95,4.9997,3.2324,,,,,,,,,,,,,,,,,,4.90E+00
98.1,371.25,4.9997,3.2393,,,,,,,,,,,,,,,,,,4.92E+00
98.4,371.55,4.9997,3.2409,,,,,,,,,,,,,,,,,,4.93E+00
98.7,371.85,4.9997,3.2475,,,,,,,,,,,,,,,,,,4.95E+00
