# Time (s),Temperature (K),Mass (g)
387.6,946,1.089
387.9,946.5,1.089
388.2,947,1.089
388.5,947.5,1.089
388.8,948,1.088
389.1,948.5,1.088
389.4,949,1.088
389.7,949.5,1.088
390,950,1.088
390.3,950.5,1.087
390.6,951,1.087
390.9,951.5,1.087
391.2,952,1.087
391.5,952.5,1.087
391.8,953,1.087
392.1,953.5,1.086
392.4,954,1.086
392.7,954.5,1.086
393,955,1.086
393.3,955.5,1.086
393.6,956,1.086
393.9,956.5,1.085
394.2,957,1.085
394.5,957.5,1.085
394.8,958,1.085
395.1,958.5,1.085
395.4,959,1.084
395.7,959.5,1.084
396,960,1.084
396.3,960.5,1.084
396.6,961,1.084
396.9,961.5,1.084
397.2,962,1.083
397.5,962.5,1.083
397.8,963,1.083
398.1,963.5,1.083
398.4,964,1.083
398.7,964.5,1.083
399,965,1.082
399.3,965.5,1.082
399.6,966,1.082
399.9,966.5,1.082
400.2,967,1.082
400.5,967.5,1.082
400.8,968,1.081
401.1,968.5,1.081
401.4,969,1.081
401.7,969.5,1.081
402,970,1.081
402.3,970.5,1.081
402.6,971,1.080
402.9,971.5,1.080
403.2,972,1.080
403.5,972.5,1.080
403.8,973,1.080
404.1,973.5,1.080
404.4,974,1.080
404.7,974.5,1.079
405,975,1.079
405.3,975.5,1.079
405.6,976,1.079
405.9,976.5,1.079
406.2,977,1.079
406.5,977.5,1.078
406.8,978,1.078
407.1,978.5,1.078
407.4,979,1.078
407.7,979.5,1.078
408,980,1.078
408.3,980.5,1.078
408.6,981,1.077
408.9,981.5,1.077
409.2,982,1.077
409.5,982.5,1.077
409.8,983,1.077
410.1,983.5,1.077
410.4,984,1.076
410.7,984.5,1.076
411,985,1.076
411.3,985.5,1.076
411.6,986,1.076
411.9,986.5,1.076
412.2,987,1.076
412.5,987.5,1.075
412.8,988,1.075
413.1,988.5,1.075
413.4,989,1.075
413.7,989.5,1.075
414,990,1.075
414.3,990.5,1.075
414.6,991,1.074
414.9,991.5,1.074
415.2,992,1.074
415.5,992.5,1.074
415.8,993,1.074
416.1,993.5,1.074
416.4,994,1.074
416.7,994.5,1.073
417,995,1.073
417.3,995.5,1.073
417.6,996,1.073
417.9,996.5,1.073
418.2,997,1.073
418.5,997.5,1.073
418.8,998,1.072
419.1,998.5,1.072
419.4,999,1.072
419.7,999.5,1.072
420,1000,1.072
