Time,Mass,Temperature
[s],[g],[K]
210,165.757773,662.361587
211,165.696773,663.8951265
212,165.662026,657.4923851
213,165.597166,655.8391182
214,165.56628,662.3053453
215,165.506825,661.7762253
216,165.45818,658.5526026
217,165.416484,657.3696164
218,165.372472,661.430759
219,165.319194,662.4545586
220,165.284447,659.4591322
221,165.211093,660.8477332
222,165.188701,659.2147074
223,165.130018,658.1475529
224,165.065158,660.9877489
225,165.018057,658.575552
226,164.977133,664.4943565
227,164.937754,665.2991117
228,164.855906,666.884655
229,164.866716,667.7251492
230,164.799539,668.5312463
231,164.761704,664.1143819
232,164.679857,666.746874
233,164.642794,666.5011682
234,164.56249,665.3278128
235,164.511529,665.8524806
236,164.455934,667.131516
237,164.394935,670.8039656
238,164.352467,668.8102912
239,164.319265,669.0261818
240,164.273708,668.9423515
241,164.218885,670.3261918
242,164.179506,668.8837855
243,164.131633,668.189051
244,164.074494,670.9578675
245,164.0189,673.0621356
246,163.974115,669.2926047
247,163.906938,666.0786566
248,163.862926,668.0191049
249,163.787256,668.9389065
250,163.747104,671.464378
251,163.692282,671.3782354
252,163.581093,671.0359676
253,163.571055,670.7350549
254,163.537853,670.4421882
255,163.492296,672.1535385
256,163.459866,672.7577315
257,163.408904,667.7010359
258,163.336323,671.2989847
259,163.298488,669.361508
260,163.246754,671.352967
261,163.233627,675.7905926
262,163.188843,673.5089903
263,163.160273,675.3103441
264,163.076109,675.0932039
265,163.030553,670.934897
266,162.951794,670.7798468
267,162.898516,670.5237308
268,162.842921,671.440258
269,162.79582,672.5739437
270,162.724783,677.565822
271,162.652201,674.8875558
272,162.627493,673.7249563
273,162.557999,676.5535105
274,162.533291,677.4945786
275,162.452988,674.7198228
276,162.398937,671.7492267
277,162.315546,671.0497501
278,162.302419,672.5877277
279,162.218255,676.0640432
280,162.145673,675.1000972
281,162.087762,678.4035356
282,162.01132,675.3390667
283,161.970396,670.3204494
284,161.887777,669.0893419
285,161.816739,670.9808381
286,161.760373,676.358181
287,161.686247,676.4880174
288,161.646867,672.5647544
289,161.573513,673.7284026
290,161.501704,672.1087419
291,161.46078,669.1823601
292,161.402869,674.4716737
293,161.301718,675.3091952
294,161.232225,673.5629815
295,161.173541,671.7423351
296,161.092466,673.0299718
297,160.999809,670.2308688
298,160.941898,673.9305866
299,160.869316,675.8779124
