File Name:	PS-FAA_N2_60K_20251209.txt	Version: 8.4.0.5						
40.000	100.646	80.019	19.993	100.811	19.750	-0.497	1.094	901.422
40.500	101.176	80.018	19.993	100.805	19.752	-0.661	1.062	901.449
41.000	101.718	80.019	19.993	100.798	19.753	-0.731	1.071	901.426
41.500	102.283	80.020	19.993	100.790	19.755	-0.800	1.107	901.422
42.000	102.825	80.018	19.994	100.785	19.755	-0.848	1.107	901.477
42.500	103.390	80.019	19.993	100.789	19.757	-1.021	1.108	901.418
43.000	103.908	80.021	19.993	100.793	19.757	-0.930	1.084	901.506
43.500	104.442	80.020	19.994	100.791	19.758	-0.944	1.051	901.468
44.000	105.012	80.017	19.996	100.791	19.757	-0.700	1.105	901.472
44.500	105.566	80.020	19.993	100.787	19.759	-0.819	1.125	901.500
45.000	106.110	80.019	19.994	100.779	19.759	-0.762	1.097	901.520
45.500	106.635	80.018	19.993	100.773	19.760	-0.806	1.068	901.517
46.000	107.181	80.021	19.995	100.765	19.761	-0.795	1.071	901.514
46.500	107.731	80.022	19.993	100.757	19.761	-0.825	1.096	901.528
47.000	108.307	80.018	19.995	100.751	19.762	-0.935	1.127	901.548
47.500	108.852	80.018	19.995	100.744	19.762	-1.022	1.122	901.535
48.000	109.387	80.021	19.993	100.737	19.762	-0.975	1.079	901.542
48.500	109.929	80.020	19.993	100.731	19.762	-0.917	1.077	901.539
49.000	110.449	80.019	19.995	100.724	19.764	-0.972	1.062	901.555
49.500	111.057	80.021	19.994	100.714	19.763	-0.869	1.127	901.590
50.000	111.591	80.018	19.994	100.705	19.764	-1.061	1.142	901.581
50.500	112.136	80.021	19.993	100.699	19.763	-0.942	1.080	901.570
51.000	112.665	80.018	19.993	100.700	19.764	-1.007	1.074	901.541
51.500	113.202	80.016	19.996	100.698	19.765	-1.116	1.066	901.590
52.000	113.755	80.020	19.994	100.698	19.766	-1.195	1.089	901.628
52.500	114.298	80.017	19.994	100.699	19.767	-1.414	1.094	901.606
53.000	114.820	80.020	19.994	100.697	19.767	-1.479	1.066	901.622
53.500	115.396	80.021	19.994	100.692	19.770	-1.757	1.098	901.620
54.000	115.965	80.021	19.996	100.691	19.767	-1.522	1.144	901.631
54.500	116.493	80.019	19.995	100.692	19.766	-1.494	1.098	901.641
55.000	117.049	80.013	19.995	100.690	19.767	-1.501	1.084	901.673
55.500	117.572	80.016	19.994	100.688	19.767	-1.384	1.078	901.691
56.000	118.110	80.018	19.995	100.678	19.768	-1.353	1.062	901.658
56.500	118.660	80.024	19.995	100.672	19.769	-1.301	1.089	901.678
57.000	119.228	80.020	19.995	100.664	19.768	-1.211	1.117	901.689
57.500	119.746	80.019	19.994	100.660	19.767	-1.174	1.086	901.707
58.000	120.279	80.021	19.995	100.658	19.768	-1.272	1.051	901.692
58.500	120.840	80.022	19.994	100.660	19.767	-1.201	1.092	901.690
59.000	121.388	80.023	19.994	100.661	19.770	-1.436	1.108	901.736
59.500	121.933	80.020	19.993	100.663	19.770	-1.427	1.094	901.738
60.000	122.462	80.023	19.995	100.663	19.769	-1.332	1.074	901.737
60.500	122.974	80.020	19.994	100.658	19.768	-1.236	1.040	901.748
61.000	123.528	80.019	19.995	100.656	19.770	-1.375	1.066	901.711
61.500	124.063	80.023	19.993	100.653	19.771	-1.421	1.089	901.756
62.000	124.610	80.022	19.994	100.651	19.769	-1.255	1.082	901.755
62.500	125.129	80.023	19.994	100.651	19.770	-1.247	1.067	901.765
63.000	125.648	80.019	19.994	100.653	19.770	-1.259	1.038	901.713
63.500	126.199	80.020	19.994	100.654	19.771	-1.395	1.071	901.775
64.000	126.725	80.021	19.993	100.655	19.772	-1.484	1.077	901.752
64.500	127.275	80.021	19.993	100.658	19.773	-1.422	1.074	901.761
65.000	127.825	80.022	19.993	100.661	19.772	-1.236	1.099	901.804
65.500	128.342	80.019	19.993	100.666	19.770	-1.074	1.067	901.821
66.000	128.887	80.019	19.994	100.673	19.773	-1.146	1.062	901.809
66.500	129.389	80.021	19.992	100.675	19.772	-0.953	1.048	901.813
67.000	129.961	80.018	19.994	100.672	19.772	-0.982	1.075	901.789
67.500	130.470	80.020	19.995	100.663	19.771	-0.859	1.082	901.815
68.000	131.000	80.017	19.995	100.655	19.774	-1.154	1.039	901.822
68.500	131.545	80.020	19.995	100.647	19.773	-1.106	1.074	901.827
69.000	132.057	80.022	19.994	100.645	19.774	-1.192	1.056	901.838
69.500	132.600	80.019	19.994	100.644	19.775	-1.315	1.055	901.831
70.000	133.133	80.021	19.995	100.646	19.772	-1.072	1.078	901.844
70.500	133.672	80.019	19.995	100.646	19.773	-1.142	1.072	901.821
71.000	134.194	80.021	19.995	100.647	19.773	-1.187	1.060	901.841
71.500	134.741	80.020	19.994	100.648	19.775	-1.308	1.068	901.880
72.000	135.229	80.017	19.994	100.649	19.773	-1.159	1.036	901.854
72.500	135.809	80.016	19.995	100.648	19.773	-1.155	1.069	901.876
73.000	136.307	80.020	19.994	100.646	19.775	-1.243	1.078	901.890
73.500	136.828	80.020	19.992	100.643	19.774	-1.127	1.019	901.893
74.000	137.344	80.019	19.993	100.642	19.775	-1.199	1.036	901.860
74.500	137.900	80.019	19.994	100.638	19.775	-1.232	1.071	901.882
75.000	138.428	80.019	19.993	100.635	19.777	-1.372	1.085	901.886
75.500	138.947	80.023	19.993	100.637	19.776	-1.312	1.048	901.846
76.000	139.498	80.022	19.992	100.639	19.776	-1.329	1.070	901.911
76.500	140.043	80.018	19.992	100.635	19.776	-1.385	1.096	901.910
77.000	140.555	80.020	19.994	100.631	19.778	-1.559	1.057	901.908
77.500	141.069	80.018	19.995	100.626	19.778	-1.494	1.025	901.924
78.000	141.592	80.021	19.993	100.618	19.776	-1.349	1.037	901.956
78.500	142.112	80.019	19.994	100.609	19.777	-1.404	1.044	901.909
79.000	142.649	80.018	19.994	100.605	19.776	-1.294	1.058	901.926
79.500	143.174	80.019	19.994	100.606	19.777	-1.316	1.062	901.926
80.000	143.709	80.019	19.994	100.607	19.777	-1.361	1.060	901.926
80.500	144.217	80.015	19.994	100.610	19.778	-1.416	1.043	901.935
81.000	144.744	80.018	19.995	100.611	19.779	-1.505	1.035	901.944
81.500	145.238	80.020	19.993	100.612	19.779	-1.482	1.021	901.950
82.000	145.798	80.019	19.992	100.612	19.780	-1.592	1.054	901.978
82.500	146.305	80.020	19.994	100.611	19.779	-1.561	1.067	901.963
83.000	146.829	80.021	19.995	100.612	19.779	-1.520	1.030	902.009
83.500	147.358	80.018	19.995	100.614	19.779	-1.546	1.053	901.949
84.000	147.864	80.019	19.995	100.615	19.777	-1.425	1.034	901.977
84.500	148.401	80.019	19.995	100.614	19.777	-1.356	1.043	902.021
85.000	148.877	80.019	19.996	100.612	19.778	-1.517	1.013	901.994
85.500	149.411	80.016	19.994	100.610	19.778	-1.455	1.010	901.968
86.000	149.946	80.017	19.996	100.607	19.777	-1.431	1.069	902.052
86.500	150.448	80.017	19.994	100.606	19.778	-1.410	1.038	902.017
87.000	150.992	80.018	19.994	100.607	19.778	-1.450	1.047	902.022
87.500	151.484	80.020	19.993	100.608	19.779	-1.509	1.036	902.060
88.000	152.016	80.020	19.993	100.609	19.779	-1.517	1.024	902.005
88.500	152.568	80.020	19.993	100.612	19.779	-1.462	1.085	902.039
89.000	153.041	80.021	19.995	100.612	19.780	-1.575	1.025	902.049
89.500	153.576	80.019	19.994	100.611	19.780	-1.502	1.008	902.079
90.000	154.079	80.020	19.995	100.609	19.779	-1.431	1.039	902.054
90.500	154.593	80.019	19.995	100.607	19.778	-1.341	1.017	902.059
91.000	155.129	80.019	19.995	100.604	19.780	-1.409	1.049	902.037
91.500	155.641	80.019	19.995	100.604	19.779	-1.322	1.048	902.015
92.000	156.130	80.020	19.994	100.603	19.777	-1.169	1.001	902.052
92.500	156.656	80.019	19.994	100.603	19.779	-1.322	1.015	902.045
93.000	157.161	80.016	19.994	100.604	19.779	-1.280	1.030	902.042
93.500	157.671	80.020	19.992	100.604	19.780	-1.474	1.014	902.029
94.000	158.196	80.019	19.993	100.603	19.780	-1.508	1.036	902.101
94.500	158.697	80.020	19.994	100.603	19.781	-1.613	1.026	902.078
95.000	159.199	80.018	19.993	100.605	19.780	-1.458	1.003	902.108
95.500	159.733	80.024	19.993	100.605	19.782	-1.575	1.036	902.098
96.000	160.262	80.018	19.995	100.607	19.782	-1.452	1.062	902.082
96.500	160.776	80.018	19.994	100.607	19.781	-1.276	1.042	902.102
97.000	161.280	80.020	19.995	100.608	19.781	-1.154	1.019	902.072
97.500	161.776	80.020	19.993	100.607	19.781	-1.109	1.000	902.102
98.000	162.300	80.015	19.994	100.607	19.782	-1.148	1.020	902.098
98.500	162.811	80.021	19.994	100.606	19.782	-1.137	1.035	902.123
99.000	163.341	80.021	19.993	100.605	19.782	-1.144	1.042	902.127
99.500	163.841	80.017	19.994	100.605	19.782	-1.189	1.030	902.131
100.000	164.340	80.020	19.993	100.603	19.784	-1.341	0.998	902.111
100.500	164.885	80.019	19.993	100.602	19.782	-1.194	1.044	902.116
101.000	165.372	80.022	19.993	100.600	19.782	-1.192	1.032	902.108
101.500	165.919	80.020	19.994	100.599	19.784	-1.296	1.033	902.112
102.000	166.388	80.018	19.993	100.598	19.782	-1.178	1.016	902.127
102.500	166.913	80.021	19.993	100.598	19.784	-1.373	0.995	902.140
103.000	167.423	80.021	19.993	100.594	19.783	-1.236	1.036	902.161
103.500	167.918	80.024	19.993	100.594	19.783	-1.266	1.005	902.162
104.000	168.443	80.019	19.993	100.592	19.785	-1.419	1.020	902.168
104.500	168.935	80.023	19.993	100.592	19.783	-1.242	1.016	902.146
105.000	169.472	80.021	19.994	100.590	19.782	-1.173	1.028	902.168
105.500	169.963	80.018	19.993	100.592	19.783	-1.186	1.028	902.166
106.000	170.473	80.023	19.993	100.595	19.784	-1.338	1.001	902.177
106.500	170.993	80.020	19.993	100.598	19.783	-1.251	1.030	902.191
107.000	171.515	80.016	19.992	100.597	19.784	-1.331	1.043	902.172
107.500	171.995	80.019	19.995	100.594	19.785	-1.361	1.003	902.175
108.000	172.544	80.019	19.994	100.588	19.785	-1.401	1.029	902.202
108.500	173.064	80.018	19.994	100.580	19.783	-1.210	1.068	902.239
109.000	173.552	80.020	19.994	100.572	19.786	-1.446	1.007	902.209
109.500	174.065	80.018	19.995	100.566	19.785	-1.432	1.001	902.215
110.000	174.582	80.017	19.994	100.564	19.785	-1.415	1.030	902.214
110.500	175.070	80.018	19.995	100.563	19.785	-1.390	1.004	902.190
111.000	175.607	80.015	19.994	100.564	19.787	-1.503	1.026	902.172
111.500	176.095	80.014	19.996	100.565	19.786	-1.450	1.026	902.207
112.000	176.664	80.018	19.995	100.565	19.788	-1.599	1.056	902.219
112.500	177.133	80.019	19.994	100.568	19.787	-1.499	1.037	902.243
113.000	177.659	80.017	19.995	100.568	19.786	-1.433	0.994	902.227
113.500	178.157	80.015	19.996	100.566	19.787	-1.507	1.025	902.192
114.000	178.671	80.017	19.995	100.565	19.787	-1.542	1.014	902.204
114.500	179.189	80.017	19.994	100.566	19.786	-1.382	1.031	902.197
115.000	179.693	80.021	19.993	100.564	19.787	-1.414	1.022	902.267
115.500	180.198	80.017	19.993	100.564	19.787	-1.307	1.010	902.216
116.000	180.713	80.020	19.994	100.565	19.788	-1.255	1.020	902.241
116.500	181.208	80.021	19.994	100.565	19.789	-1.350	1.010	902.270
117.000	181.720	80.019	19.994	100.565	19.789	-1.210	1.007	902.281
117.500	182.234	80.019	19.995	100.563	19.789	-1.222	1.026	902.268
118.000	182.755	80.021	19.994	100.563	19.788	-1.092	1.034	902.283
118.500	183.240	80.019	19.996	100.565	19.789	-1.103	1.006	902.232
119.000	183.794	80.020	19.995	100.564	19.790	-1.242	1.040	902.253
119.500	184.257	80.018	19.994	100.562	19.790	-1.177	1.017	902.253
120.000	184.793	80.022	19.994	100.564	19.790	-1.158	1.000	902.250
120.500	185.297	80.019	19.994	100.564	19.789	-1.148	1.040	902.233
121.000	185.808	80.019	19.994	100.563	19.787	-0.955	1.014	902.282
121.500	186.290	80.019	19.994	100.564	19.790	-1.183	0.993	902.279
122.000	186.821	80.017	19.996	100.564	19.788	-1.128	1.012	902.265
122.500	187.304	80.020	19.995	100.563	19.789	-1.203	1.013	902.296
123.000	187.824	80.019	19.994	100.562	19.788	-1.179	1.004	902.253
123.500	188.318	80.022	19.994	100.561	19.789	-1.301	1.014	902.241
124.000	188.805	80.019	19.996	100.562	19.790	-1.478	0.980	902.269
124.500	189.339	80.023	19.993	100.562	19.791	-1.607	1.022	902.267
125.000	189.827	80.017	19.995	100.561	19.790	-1.526	1.023	902.288
125.500	190.357	80.018	19.995	100.560	19.791	-1.585	1.018	902.302
126.000	190.875	80.017	19.994	100.561	19.792	-1.624	1.048	902.306
126.500	191.382	80.021	19.994	100.560	19.793	-1.619	1.025	902.247
127.000	191.902	80.019	19.994	100.553	19.794	-1.600	1.028	902.320
127.500	192.404	80.020	19.994	100.552	19.791	-1.318	1.023	902.288
128.000	192.921	80.017	19.996	100.545	19.794	-1.468	1.019	902.278
128.500	193.418	80.019	19.995	100.536	19.794	-1.486	1.013	902.271
129.000	193.982	80.018	19.992	100.532	19.794	-1.533	1.060	902.301
129.500	194.464	80.020	19.995	100.533	19.793	-1.450	1.045	902.307
130.000	194.957	80.020	19.993	100.526	19.792	-1.370	0.975	902.247
130.500	195.487	80.021	19.994	100.526	19.793	-1.398	1.023	902.285
131.000	195.999	80.021	19.993	100.526	19.791	-1.284	1.043	902.292
131.500	196.496	80.020	19.994	100.523	19.793	-1.422	1.010	902.306
132.000	196.995	80.016	19.995	100.521	19.793	-1.392	0.995	902.281
132.500	197.497	80.021	19.993	100.523	19.793	-1.366	1.001	902.305
133.000	198.008	80.021	19.995	100.524	19.792	-1.296	1.013	902.323
133.500	198.511	80.018	19.994	100.525	19.790	-1.099	1.014	902.303
134.000	199.030	80.017	19.995	100.526	19.792	-1.304	1.021	902.296
134.500	199.511	80.021	19.994	100.531	19.792	-1.316	0.999	902.295
135.000	200.037	80.022	19.993	100.532	19.793	-1.425	1.008	902.303
135.500	200.545	80.018	19.993	100.532	19.794	-1.469	1.035	902.305
136.000	201.041	80.019	19.993	100.536	19.794	-1.462	1.004	902.267
136.500	201.556	80.019	19.994	100.544	19.795	-1.586	1.011	902.316
137.000	202.053	80.017	19.994	100.543	19.792	-1.334	1.013	902.312
137.500	202.568	80.020	19.993	100.545	19.793	-1.391	1.013	902.331
138.000	203.071	80.020	19.993	100.545	19.794	-1.444	1.017	902.292
138.500	203.590	80.017	19.993	100.540	19.794	-1.455	1.020	902.321
139.000	204.114	80.019	19.993	100.530	19.793	-1.396	1.044	902.323
139.500	204.580	80.019	19.996	100.525	19.794	-1.413	0.991	902.284
140.000	205.084	80.019	19.992	100.522	19.794	-1.461	0.969	902.318
140.500	205.569	80.018	19.994	100.520	19.795	-1.515	0.990	902.322
141.000	206.127	80.020	19.994	100.521	19.793	-1.341	1.043	902.324
141.500	206.623	80.019	19.994	100.522	19.794	-1.350	1.053	902.340
142.000	207.134	80.018	19.993	100.522	19.793	-1.317	1.008	902.329
142.500	207.627	80.020	19.994	100.522	19.794	-1.379	1.004	902.328
143.000	208.132	80.020	19.994	100.522	19.794	-1.400	0.997	902.329
143.500	208.645	80.019	19.994	100.522	19.795	-1.456	1.019	902.333
144.000	209.185	80.020	19.995	100.520	19.794	-1.481	1.054	902.306
144.500	209.660	80.018	19.995	100.520	19.795	-1.516	1.014	902.281
145.000	210.162	80.020	19.993	100.519	19.795	-1.410	0.977	902.332
145.500	210.668	80.019	19.995	100.520	19.794	-1.281	1.009	902.351
146.000	211.181	80.018	19.994	100.519	19.796	-1.332	1.019	902.353
146.500	211.676	80.016	19.995	100.521	19.796	-1.377	1.007	902.310
147.000	212.208	80.018	19.994	100.520	19.795	-1.126	1.026	902.361
147.500	212.693	80.018	19.995	100.520	19.796	-1.138	1.017	902.338
148.000	213.204	80.019	19.995	100.519	19.797	-1.236	0.996	902.314
148.500	213.715	80.015	19.995	100.519	19.798	-1.280	1.023	902.372
149.000	214.225	80.018	19.995	100.518	19.798	-1.214	1.022	902.312
149.500	214.702	80.017	19.994	100.519	19.796	-1.082	0.986	902.326
150.000	215.226	80.018	19.994	100.517	19.796	-1.121	1.000	902.364
150.500	215.724	80.018	19.994	100.518	19.797	-1.181	1.021	902.332
151.000	216.233	80.019	19.995	100.518	19.795	-1.059	1.007	902.316
151.500	216.749	80.018	19.994	100.518	19.795	-1.027	1.025	902.335
152.000	217.276	80.021	19.994	100.517	19.795	-1.031	1.043	902.311
152.500	217.724	80.019	19.995	100.519	19.796	-1.015	0.976	902.330
153.000	218.242	80.019	19.994	100.518	19.796	-0.966	0.966	902.325
153.500	218.713	80.020	19.995	100.516	19.797	-1.061	0.988	902.324
154.000	219.247	80.020	19.993	100.514	19.799	-1.193	1.004	902.333
154.500	219.778	80.017	19.996	100.514	19.798	-1.145	1.065	902.329
155.000	220.247	80.018	19.994	100.514	19.799	-1.264	1.001	902.340
155.500	220.772	80.019	19.995	100.515	19.799	-1.346	0.994	902.309
156.000	221.269	80.023	19.993	100.518	19.799	-1.332	1.022	902.320
156.500	221.764	80.015	19.995	100.520	19.799	-1.313	0.991	902.265
157.000	222.266	80.018	19.995	100.516	19.800	-1.368	0.998	902.299
157.500	222.798	80.015	19.996	100.511	19.798	-1.265	1.035	902.325
158.000	223.293	80.018	19.996	100.506	19.799	-1.320	1.027	902.318
158.500	223.854	80.021	19.993	100.498	19.799	-1.345	1.056	902.326
159.000	224.323	80.018	19.995	100.497	19.799	-1.310	1.030	902.329
159.500	224.815	80.019	19.993	100.491	19.799	-1.315	0.961	902.291
160.000	225.305	80.016	19.995	100.487	19.799	-1.364	0.982	902.305
160.500	225.799	80.019	19.994	100.485	19.800	-1.382	0.984	902.284
161.000	226.326	80.018	19.995	100.484	19.801	-1.395	1.021	902.330
161.500	226.846	80.016	19.994	100.478	19.801	-1.420	1.046	902.318
162.000	227.353	80.014	19.995	100.485	19.800	-1.348	1.026	902.289
162.500	227.853	80.016	19.993	100.487	19.799	-1.269	1.007	902.312
163.000	228.343	80.019	19.995	100.489	19.801	-1.411	0.990	902.322
163.500	228.873	80.020	19.994	100.488	19.800	-1.393	1.020	902.299
164.000	229.367	80.017	19.994	100.488	19.800	-1.417	1.024	902.277
164.500	229.869	80.020	19.995	100.481	19.800	-1.440	0.996	902.317
165.000	230.335	80.018	19.993	100.480	19.799	-1.321	0.968	902.280
165.500	230.890	80.019	19.994	100.477	19.800	-1.384	1.022	902.294
166.000	231.358	80.019	19.994	100.478	19.800	-1.360	1.024	902.296
166.500	231.857	80.019	19.995	100.478	19.798	-1.195	0.967	902.295
167.000	232.369	80.020	19.994	100.479	19.798	-1.194	1.011	902.293
167.500	232.868	80.020	19.993	100.482	19.798	-1.184	1.011	902.296
168.000	233.359	80.021	19.993	100.483	19.799	-1.293	0.991	902.305
168.500	233.833	80.021	19.994	100.483	19.799	-1.312	0.966	902.332
169.000	234.356	80.019	19.993	100.484	19.798	-1.218	0.996	902.303
169.500	234.899	80.017	19.995	100.483	19.799	-1.255	1.066	902.289
170.000	235.351	80.018	19.994	100.480	19.800	-1.338	0.995	902.295
170.500	235.897	80.020	19.993	100.486	19.799	-1.297	0.998	902.285
171.000	236.372	80.016	19.993	100.486	19.800	-1.296	1.020	902.286
171.500	236.885	80.020	19.993	100.485	19.800	-1.290	0.988	902.301
172.000	237.376	80.019	19.995	100.485	19.800	-1.273	1.004	902.285
172.500	237.876	80.020	19.994	100.485	19.802	-1.329	0.990	902.265
173.000	238.363	80.018	19.992	100.479	19.801	-1.150	0.988	902.279
173.500	238.902	80.019	19.993	100.479	19.800	-1.020	1.026	902.292
174.000	239.370	80.019	19.994	100.478	19.800	-1.000	1.006	902.299
174.500	239.892	80.020	19.995	100.480	19.800	-0.928	0.990	902.294
175.000	240.394	80.019	19.995	100.479	19.800	-1.039	1.025	902.272
175.500	240.903	80.020	19.993	100.480	19.800	-1.033	1.012	902.227
176.000	241.392	80.016	19.994	100.482	19.803	-1.273	0.998	902.284
176.500	241.902	80.019	19.993	100.483	19.801	-1.113	0.998	902.224
177.000	242.389	80.022	19.993	100.483	19.802	-1.213	0.996	902.220
177.500	242.899	80.017	19.995	100.483	19.802	-1.201	0.997	902.233
178.000	243.409	80.017	19.994	100.482	19.801	-1.169	1.020	902.266
178.500	243.914	80.022	19.993	100.481	19.802	-1.249	1.014	902.238
179.000	244.402	80.019	19.996	100.480	19.801	-1.182	0.992	902.250
179.500	244.888	80.016	19.994	100.479	19.801	-1.161	0.974	902.243
180.000	245.388	80.018	19.995	100.480	19.802	-1.305	0.986	902.219
180.500	245.919	80.022	19.994	100.480	19.802	-1.277	1.032	902.210
181.000	246.418	80.019	19.994	100.481	19.803	-1.323	1.031	902.192
181.500	246.943	80.021	19.994	100.481	19.803	-1.294	1.023	902.215
182.000	247.387	80.019	19.994	100.481	19.805	-1.413	0.968	902.204
182.500	247.940	80.016	19.993	100.480	19.805	-1.342	0.998	902.225
