time,Temp,TGA
[s],[K],[mg]
746.6,556,3.7931
748,556.5,3.7927
749.4,557,3.7915
750.8,557.5,3.7905
752.2,558,3.7901
753.6,558.5,3.7886
755,559,3.7879
756.4,559.5,3.7863
757.8,560,3.7854
759.2,560.5,3.785
760.6,561,3.7835
762,561.5,3.7821
763.4,562,3.7814
764.8,562.5,3.7801
766.2,563,3.7796
767.6,563.5,3.7786
769,564,3.7785
770.4,564.5,3.777
771.8,565,3.7753
773.2,565.5,3.7737
774.6,566,3.773
776,566.5,3.772
777.4,567,3.7705
778.8,567.5,3.7693
780.2,568,3.7677
781.6,568.5,3.7661
783,569,3.7649
784.4,569.5,3.7642
785.8,570,3.7629
787.2,570.5,3.7606
788.6,571,3.7593
790,571.5,3.7577
791.4,572,3.7569
792.8,572.5,3.7556
794.2,573,3.754
795.6,573.5,3.752
797,574,3.75
798.4,574.5,3.7485
799.8,575,3.7471
801.3,575.5,3.7454
802.7,576,3.744
804.1,576.5,3.7425
805.5,577,3.7409
806.9,577.5,3.7389
808.3,578,3.7368
809.7,578.5,3.7349
811.1,579,3.7333
812.5,579.5,3.7313
813.9,580,3.7296
815.3,580.5,3.7278
816.7,581,3.7262
818.1,581.5,3.7239
819.5,582,3.721
820.9,582.5,3.7188
822.3,583,3.7167
823.7,583.5,3.7144
825.1,584,3.7124
826.5,584.5,3.7107
827.9,585,3.7092
829.3,585.5,3.7073
830.7,586,3.7056
832.2,586.5,3.7032
833.6,587,3.7004
835,587.5,3.6984
836.4,588,3.696
837.8,588.5,3.6935
839.2,589,3.6911
840.6,589.5,3.6889
842,590,3.687
843.4,590.5,3.6844
844.8,591,3.6822
846.2,591.5,3.6789
847.6,592,3.6754
849,592.5,3.6732
850.4,593,3.6709
851.8,593.5,3.6678
853.2,594,3.6643
854.6,594.5,3.6618
856.1,595,3.6587
857.5,595.5,3.6559
858.9,596,3.6529
860.3,596.5,3.6502
861.7,597,3.6467
863.1,597.5,3.6433
864.5,598,3.6396
865.9,598.5,3.6355
867.3,599,3.6312
868.7,599.5,3.6276
870.1,600,3.6239
871.5,600.5,3.6198
872.9,601,3.6168
874.4,601.5,3.6122
875.8,602,3.6088
877.2,602.5,3.6029
878.6,603,3.5986
880,603.5,3.5934
881.4,604,3.5894
882.8,604.5,3.5845
884.2,605,3.5797
885.7,605.5,3.5731
887.1,606,3.5674
888.5,606.5,3.5616
889.9,607,3.5565
891.3,607.5,3.5504
892.7,608,3.5429
894.1,608.5,3.537
895.5,609,3.5301
896.9,609.5,3.5235
898.3,610,3.5163
899.8,610.5,3.5087
901.2,611,3.5007
902.6,611.5,3.4925
904,612,3.4849
905.4,612.5,3.4765
906.9,613,3.4679
908.3,613.5,3.4586
909.7,614,3.4482
911.1,614.5,3.4394
912.5,615,3.4291
914,615.5,3.4203
915.4,616,3.4102
916.8,616.5,3.3985
918.3,617,3.3886
919.7,617.5,3.3769
921.1,618,3.3651
922.5,618.5,3.3531
924,619,3.3393
925.4,619.5,3.3281
926.8,620,3.3144
928.2,620.5,3.3012
929.7,621,3.2878
931.1,621.5,3.2726
932.5,622,3.2596
933.9,622.5,3.2436
935.4,623,3.2285
936.8,623.5,3.2111
938.2,624,3.1937
939.7,624.5,3.1786
941.1,625,3.1603
942.5,625.5,3.1434
944,626,3.1252
945.4,626.5,3.1052
946.8,627,3.0874
948.3,627.5,3.0666
949.7,628,3.0484
951.1,628.5,3.0276
952.6,629,3.0049
954,629.5,2.985
955.4,630,2.9614
956.9,630.5,2.9397
958.3,631,2.9161
959.7,631.5,2.8918
961.2,632,2.8701
