Temp,time,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K]
337.3,112.2,3.9569,0.41672,1.009,0.283,1.49
337.4,112.6,3.9560,0.41678,1.004,0.283,1.48
337.5,112.9,3.9559,0.41812,0.999,0.284,1.47
337.6,113.3,3.9566,0.42109,0.998,0.286,1.47
337.7,113.6,3.9573,0.42299,1.002,0.287,1.48
337.8,114.0,3.9573,0.42391,1.007,0.287,1.49
337.9,114.3,3.9568,0.42516,1.006,0.287,1.49
338.0,114.7,3.9567,0.42625,1.002,0.288,1.48
338.1,115.0,3.9572,0.42663,1.001,0.289,1.48
338.2,115.4,3.9575,0.42647,1.004,0.289,1.48
338.3,115.7,3.9574,0.42686,1.004,0.289,1.48
338.4,116.1,3.9576,0.42921,1.001,0.290,1.48
338.5,116.4,3.9578,0.43166,1.003,0.290,1.49
338.6,116.8,3.9577,0.43204,1.008,0.290,1.50
338.7,117.1,3.9575,0.43205,1.005,0.291,1.49
338.8,117.5,3.9575,0.43255,1.001,0.292,1.48
338.9,117.8,3.9577,0.43207,1.006,0.292,1.49
339.0,118.1,3.9579,0.43173,1.005,0.292,1.49
339.1,118.5,3.9578,0.43431,0.997,0.292,1.48
339.2,118.8,3.9576,0.43768,0.995,0.293,1.49
339.3,119.2,3.9576,0.43888,0.999,0.293,1.50
339.4,119.5,3.9576,0.4391,0.998,0.292,1.50
339.5,119.9,3.9574,0.43954,0.992,0.292,1.49
339.6,120.2,3.9572,0.44014,0.987,0.293,1.48
339.7,120.5,3.9573,0.44119,0.986,0.293,1.48
339.8,120.9,3.9575,0.44317,0.987,0.293,1.49
339.9,121.2,3.9577,0.44501,0.987,0.295,1.49
340.0,121.6,3.9578,0.44562,0.989,0.297,1.48
340.1,121.9,3.9577,0.44644,0.992,0.299,1.48
340.2,122.2,3.9575,0.44839,0.990,0.300,1.48
340.3,122.6,3.9574,0.4504,0.984,0.298,1.49
340.4,122.9,3.9575,0.45156,0.981,0.296,1.50
340.5,123.2,3.9576,0.45142,0.984,0.295,1.51
340.6,123.6,3.9573,0.45137,0.984,0.296,1.50
340.7,123.9,3.9564,0.45317,0.981,0.297,1.50
340.8,124.2,3.9557,0.45479,0.980,0.297,1.50
340.9,124.6,3.9557,0.45439,0.979,0.298,1.49
341.0,124.9,3.9557,0.45393,0.976,0.300,1.48
341.1,125.2,3.9553,0.45508,0.974,0.300,1.48
341.2,125.6,3.9552,0.45805,0.975,0.298,1.50
341.3,125.9,3.9553,0.46117,0.977,0.299,1.51
341.4,126.3,3.9554,0.46168,0.979,0.301,1.50
341.5,126.6,3.9553,0.46101,0.981,0.300,1.51
341.6,126.9,3.9553,0.46195,0.981,0.299,1.51
341.7,127.3,3.9554,0.46351,0.973,0.299,1.51
341.8,127.6,3.9555,0.46434,0.969,0.300,1.50
341.9,127.9,3.9556,0.46482,0.973,0.298,1.52
342.0,128.3,3.9555,0.46551,0.976,0.294,1.54
342.1,128.6,3.9557,0.46683,0.971,0.293,1.55
342.2,128.9,3.9561,0.46815,0.969,0.296,1.54
342.3,129.3,3.9567,0.46828,0.972,0.300,1.52
342.4,129.6,3.9571,0.4675,0.969,0.303,1.50
342.5,129.9,3.9568,0.46686,0.965,0.302,1.49
342.6,130.3,3.9563,0.46767,0.966,0.302,1.50
342.7,130.6,3.9561,0.47017,0.968,0.302,1.51
342.8,130.9,3.9564,0.47202,0.969,0.302,1.51
342.9,131.3,3.9570,0.47239,0.968,0.302,1.51
343.0,131.6,3.9570,0.47281,0.965,0.302,1.51
343.1,131.9,3.9566,0.47353,0.965,0.302,1.51
343.2,132.3,3.9561,0.47376,0.967,0.303,1.51
343.3,132.6,3.9558,0.47433,0.965,0.302,1.52
343.4,132.9,3.9556,0.47627,0.959,0.301,1.52
343.5,133.2,3.9558,0.47798,0.955,0.302,1.51
343.6,133.6,3.9564,0.47813,0.956,0.304,1.50
343.7,133.9,3.9569,0.47811,0.962,0.304,1.51
343.8,134.2,3.9570,0.47893,0.963,0.304,1.52
343.9,134.6,3.9571,0.48024,0.957,0.305,1.51
344.0,134.9,3.9572,0.48163,0.956,0.306,1.50
344.1,135.2,3.9568,0.48271,0.960,0.307,1.51
344.2,135.5,3.9562,0.48333,0.957,0.305,1.52
344.3,135.9,3.9558,0.48349,0.952,0.303,1.52
344.4,136.2,3.9558,0.48358,0.955,0.304,1.52
344.5,136.5,3.9558,0.48413,0.958,0.305,1.52
344.6,136.9,3.9562,0.48565,0.956,0.305,1.52
344.7,137.2,3.9568,0.48788,0.951,0.304,1.53
344.8,137.5,3.9573,0.48876,0.948,0.304,1.52
344.9,137.8,3.9573,0.48805,0.952,0.305,1.53
345.0,138.2,3.9571,0.4885,0.959,0.306,1.53
345.1,138.5,3.9567,0.49025,0.959,0.306,1.54
345.2,138.8,3.9562,0.4909,0.957,0.307,1.53
345.3,139.1,3.9559,0.49051,0.958,0.308,1.52
345.4,139.5,3.9562,0.49054,0.958,0.308,1.52
345.5,139.8,3.9569,0.49159,0.956,0.307,1.53
345.6,140.1,3.9572,0.49362,0.952,0.307,1.53
345.7,140.4,3.9572,0.49544,0.950,0.308,1.53
345.8,140.8,3.9571,0.49608,0.949,0.308,1.53
345.9,141.1,3.9567,0.49591,0.947,0.307,1.53
346.0,141.4,3.9561,0.49559,0.947,0.306,1.53
346.1,141.8,3.9556,0.49585,0.947,0.306,1.53
346.2,142.1,3.9556,0.49667,0.950,0.307,1.54
346.3,142.4,3.9561,0.49732,0.954,0.309,1.54
346.4,142.7,3.9567,0.49803,0.956,0.309,1.54
346.5,143.0,3.9568,0.49957,0.958,0.309,1.55
346.6,143.4,3.9565,0.50142,0.961,0.308,1.56
346.7,143.7,3.9560,0.5026,0.966,0.308,1.57
346.8,144.0,3.9556,0.5031,0.970,0.309,1.58
346.9,144.3,3.9556,0.50331,0.971,0.309,1.58
347.0,144.7,3.9557,0.50382,0.962,0.309,1.57
347.1,145.0,3.9558,0.50475,0.948,0.308,1.55
347.2,145.3,3.9555,0.50527,0.938,0.308,1.54
347.3,145.6,3.9551,0.50539,0.939,0.309,1.53
347.4,146.0,3.9551,0.50656,0.948,0.310,1.55
347.5,146.3,3.9555,0.5086,0.952,0.311,1.56
347.6,146.6,3.9558,0.50981,0.948,0.310,1.56
347.7,146.9,3.9557,0.50985,0.945,0.310,1.55
347.8,147.3,3.9556,0.50941,0.943,0.311,1.55
347.9,147.6,3.9556,0.50935,0.938,0.311,1.54
348.0,147.9,3.9561,0.51033,0.935,0.312,1.53
348.1,148.2,3.9568,0.51154,0.937,0.311,1.54
348.2,148.5,3.9572,0.51211,0.937,0.311,1.54
348.3,148.9,3.9572,0.51256,0.932,0.311,1.54
348.4,149.2,3.9569,0.51353,0.930,0.311,1.54
348.5,149.5,3.9564,0.51513,0.929,0.311,1.54
348.6,149.8,3.9560,0.51701,0.925,0.311,1.54
348.7,150.1,3.9559,0.5182,0.920,0.310,1.54
348.8,150.5,3.9563,0.51825,0.917,0.310,1.53
348.9,150.8,3.9568,0.51746,0.919,0.310,1.53
349.0,151.1,3.9571,0.51704,0.923,0.310,1.54
349.1,151.4,3.9573,0.51854,0.931,0.311,1.55
349.2,151.8,3.9572,0.52039,0.940,0.311,1.57
349.3,152.1,3.9571,0.51997,0.941,0.311,1.57
349.4,152.4,3.9569,0.51876,0.930,0.310,1.56
349.5,152.7,3.9563,0.51904,0.923,0.309,1.55
349.6,153.0,3.9559,0.52056,0.925,0.311,1.55
349.7,153.4,3.9559,0.52234,0.929,0.312,1.55
349.8,153.7,3.9564,0.52327,0.933,0.311,1.57
349.9,154.0,3.9570,0.52319,0.939,0.310,1.58
350.0,154.3,3.9573,0.52377,0.943,0.310,1.59
350.1,154.7,3.9572,0.52528,0.939,0.311,1.58
350.2,155.0,3.9572,0.52616,0.932,0.312,1.57
350.3,155.3,3.9572,0.5261,0.935,0.312,1.58
350.4,155.6,3.9570,0.52597,0.938,0.310,1.59
350.5,155.9,3.9566,0.52641,0.934,0.310,1.58
350.6,156.3,3.9562,0.52782,0.932,0.312,1.58
350.7,156.6,3.9559,0.52957,0.933,0.313,1.58
350.8,156.9,3.9559,0.53091,0.933,0.313,1.58
350.9,157.2,3.9562,0.53225,0.932,0.314,1.58
351.0,157.5,3.9568,0.53387,0.930,0.314,1.58
351.1,157.9,3.9572,0.53438,0.928,0.312,1.59
351.2,158.2,3.9573,0.53316,0.928,0.312,1.59
351.3,158.5,3.9572,0.5322,0.929,0.313,1.58
351.4,158.8,3.9572,0.53261,0.930,0.315,1.57
351.5,159.1,3.9572,0.53344,0.931,0.316,1.57
351.6,159.5,3.9571,0.53421,0.931,0.314,1.58
351.7,159.8,3.9566,0.5352,0.930,0.312,1.59
351.8,160.1,3.9560,0.53617,0.930,0.312,1.60
351.9,160.4,3.9560,0.53643,0.930,0.313,1.59
352.0,160.7,3.9564,0.53658,0.928,0.314,1.59
352.1,161.0,3.9569,0.53777,0.925,0.315,1.58
352.2,161.4,3.9572,0.53914,0.924,0.314,1.59
352.3,161.7,3.9573,0.53926,0.924,0.313,1.59
352.4,162.0,3.9572,0.53883,0.925,0.316,1.58
352.5,162.3,3.9567,0.5391,0.927,0.318,1.57
352.6,162.6,3.9562,0.54061,0.928,0.317,1.58
352.7,163.0,3.9559,0.54311,0.928,0.316,1.59
352.8,163.3,3.9558,0.54446,0.927,0.315,1.60
352.9,163.6,3.9558,0.54367,0.925,0.315,1.60
353.0,163.9,3.9557,0.54298,0.924,0.315,1.59
353.1,164.2,3.9557,0.54362,0.926,0.316,1.59
353.2,164.5,3.9559,0.54457,0.928,0.318,1.59
353.3,164.8,3.9564,0.54511,0.926,0.318,1.59
353.4,165.2,3.9563,0.54504,0.923,0.317,1.59
353.5,165.5,3.9559,0.54494,0.924,0.316,1.59
353.6,165.8,3.9557,0.54591,0.927,0.317,1.60
353.7,166.1,3.9557,0.54726,0.928,0.317,1.60
353.8,166.4,3.9558,0.54733,0.928,0.316,1.61
353.9,166.7,3.9558,0.54699,0.925,0.316,1.60
354.0,167.1,3.9558,0.54817,0.920,0.316,1.60
354.1,167.4,3.9558,0.55019,0.919,0.316,1.60
354.2,167.7,3.9558,0.55157,0.923,0.317,1.60
354.3,168.0,3.9561,0.55224,0.927,0.317,1.61
354.4,168.3,3.9566,0.55244,0.925,0.317,1.61
354.5,168.6,3.9567,0.55216,0.919,0.316,1.61
354.6,169.0,3.9562,0.55155,0.917,0.315,1.61
354.7,169.3,3.9557,0.55157,0.919,0.314,1.61
354.8,169.6,3.9557,0.55261,0.920,0.315,1.61
354.9,169.9,3.9558,0.55369,0.921,0.316,1.61
355.0,170.2,3.9557,0.55428,0.922,0.317,1.61
355.1,170.5,3.9559,0.55471,0.923,0.318,1.61
355.2,170.9,3.9562,0.55504,0.924,0.318,1.61
355.3,171.2,3.9567,0.55503,0.921,0.317,1.61
355.4,171.5,3.9570,0.55458,0.914,0.317,1.60
355.5,171.8,3.9571,0.55383,0.910,0.318,1.59
355.6,172.1,3.9571,0.55369,0.911,0.319,1.58
355.7,172.4,3.9571,0.55533,0.916,0.320,1.59
355.8,172.7,3.9571,0.55751,0.919,0.320,1.60
355.9,173.1,3.9571,0.55797,0.918,0.320,1.60
356.0,173.4,3.9571,0.55695,0.915,0.319,1.60
356.1,173.7,3.9570,0.55572,0.916,0.319,1.60
356.2,174.0,3.9568,0.55509,0.920,0.318,1.60
356.3,174.3,3.9562,0.55545,0.921,0.318,1.61
356.4,174.6,3.9556,0.55586,0.920,0.318,1.61
356.5,174.9,3.9555,0.55553,0.921,0.318,1.61
356.6,175.3,3.9557,0.5553,0.921,0.318,1.61
356.7,175.6,3.9560,0.5558,0.922,0.318,1.61
356.8,175.9,3.9564,0.55632,0.922,0.319,1.61
356.9,176.2,3.9568,0.55641,0.922,0.319,1.61
357.0,176.5,3.9570,0.55648,0.920,0.319,1.60
357.1,176.8,3.9571,0.55667,0.920,0.319,1.61
