Temp,time ,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity,Heat Capacity,Heat Capacity
324.7,55.7,3.9786,0.14596,1.438,0.134,1.56,1.55,1.435
324.8,56.5,3.9777,0.15094,1.429,0.138,1.56,1.54,1.427
324.9,57.2,3.9785,0.15353,1.412,0.141,1.54,1.59,1.391
325.0,57.9,3.9785,0.15964,1.406,0.143,1.57,1.60,1.394
325.1,58.6,3.9785,0.16171,1.398,0.146,1.55,1.53,1.426
325.2,59.3,3.9791,0.1645,1.400,0.150,1.53,1.50,1.430
325.3,59.9,3.9783,0.17033,1.380,0.152,1.55,1.50,1.402
325.4,60.6,3.9787,0.17325,1.371,0.154,1.55,1.54,1.419
325.5,61.2,3.9782,0.1779,1.356,0.158,1.53,1.50,1.424
325.6,61.8,3.9780,0.18196,1.338,0.161,1.51,1.50,1.408
325.7,62.5,3.9778,0.1853,1.334,0.162,1.52,1.51,1.406
325.8,63.1,3.9776,0.19051,1.333,0.164,1.55,1.51,1.427
325.9,63.7,3.9781,0.19121,1.329,0.167,1.52,1.54,1.434
326.0,64.3,3.9778,0.19392,1.319,0.170,1.50,1.53,1.413
326.1,64.9,3.9782,0.19921,1.308,0.172,1.52,1.53,1.406
326.2,65.4,3.9777,0.20311,1.295,0.173,1.52,1.55,1.416
326.3,66.0,3.9781,0.20565,1.287,0.175,1.52,1.53,1.426
326.4,66.6,3.9773,0.2087,1.288,0.177,1.52,1.52,1.424
326.5,67.1,3.9773,0.21319,1.275,0.178,1.53,1.52,1.433
326.6,67.7,3.9773,0.21615,1.265,0.178,1.54,1.53,1.421
326.7,68.3,3.9769,0.21792,1.268,0.181,1.53,1.51,1.437
326.8,68.8,3.9776,0.2202,1.266,0.184,1.51,1.51,1.443
326.9,69.3,3.9773,0.22263,1.258,0.186,1.51,1.52,1.458
327.0,69.9,3.9772,0.22716,1.242,0.187,1.51,1.50,1.446
327.1,70.4,3.9771,0.23103,1.235,0.189,1.51,1.51,1.427
327.2,70.9,3.9768,0.23327,1.243,0.191,1.51,1.51,1.434
327.3,71.5,3.9776,0.23698,1.240,0.193,1.52,1.48,1.442
327.4,72.0,3.9764,0.23798,1.224,0.195,1.49,1.50,1.417
327.5,72.5,3.9771,0.24071,1.224,0.198,1.49,1.52,1.427
327.6,73.0,3.9768,0.24399,1.222,0.198,1.50,1.51,1.458
327.7,73.5,3.9769,0.24792,1.207,0.200,1.50,1.51,1.430
327.8,74.0,3.9769,0.25129,1.205,0.202,1.50,1.51,1.433
327.9,74.5,3.9761,0.25328,1.210,0.205,1.50,1.50,1.456
328.0,75.0,3.9767,0.25614,1.210,0.204,1.52,1.50,1.459
328.1,75.5,3.9761,0.25968,1.202,0.205,1.52,1.50,1.451
328.2,75.9,3.9764,0.26103,1.194,0.208,1.50,1.50,1.434
328.3,76.4,3.9764,0.2631,1.202,0.210,1.51,1.51,1.434
328.4,76.9,3.9761,0.26668,1.208,0.211,1.53,1.50,1.448
328.5,77.4,3.9770,0.26864,1.198,0.210,1.53,1.50,1.459
328.6,77.8,3.9771,0.27063,1.190,0.212,1.52,1.53,1.452
328.7,78.3,3.9771,0.27236,1.195,0.215,1.51,1.52,1.461
328.8,78.8,3.9774,0.27538,1.197,0.216,1.52,1.52,1.474
328.9,79.2,3.9775,0.27953,1.183,0.217,1.52,1.54,1.456
329.0,79.7,3.9772,0.2816,1.169,0.219,1.50,1.51,1.432
329.1,80.2,3.9781,0.28304,1.175,0.221,1.51,1.48,1.439
329.2,80.6,3.9784,0.28548,1.184,0.221,1.53,1.49,1.462
329.3,81.1,3.9779,0.28828,1.174,0.222,1.52,1.53,1.453
329.4,81.5,3.9785,0.28969,1.152,0.224,1.49,1.54,1.433
329.5,81.9,3.9787,0.29101,1.147,0.225,1.48,1.53,1.445
329.6,82.4,3.9788,0.29396,1.158,0.225,1.51,1.50,1.464
329.7,82.8,3.9790,0.2976,1.155,0.226,1.52,1.49,1.462
329.8,83.3,3.9790,0.29948,1.140,0.230,1.49,1.52,1.453
329.9,83.7,3.9791,0.30194,1.131,0.232,1.47,1.52,1.444
330.0,84.1,3.9789,0.30458,1.132,0.233,1.48,1.50,1.437
330.1,84.6,3.9786,0.30638,1.134,0.231,1.50,1.50,1.450
330.2,85.0,3.9788,0.30837,1.126,0.230,1.51,1.50,1.453
330.3,85.4,3.9789,0.31066,1.116,0.231,1.50,1.49,1.430
330.4,85.9,3.9785,0.3127,1.116,0.233,1.50,1.48,1.424
330.5,86.3,3.9779,0.31415,1.126,0.234,1.51,1.49,1.445
330.6,86.7,3.9786,0.31595,1.125,0.236,1.50,1.51,1.444
330.7,87.1,3.9788,0.31775,1.110,0.237,1.49,1.53,1.421
330.8,87.6,3.9780,0.31949,1.106,0.239,1.48,1.52,1.438
330.9,88.0,3.9786,0.32225,1.116,0.239,1.50,1.50,1.456
331.0,88.4,3.9787,0.3247,1.117,0.239,1.52,1.49,1.445
331.1,88.8,3.9781,0.32601,1.106,0.242,1.49,1.52,1.443
331.2,89.2,3.9788,0.32698,1.104,0.244,1.48,1.52,1.455
331.3,89.6,3.9788,0.32917,1.122,0.243,1.52,1.51,1.478
331.4,90.0,3.9782,0.33223,1.135,0.242,1.56,1.52,1.491
331.5,90.5,3.9789,0.33458,1.132,0.242,1.57,1.55,1.489
331.6,90.9,3.9784,0.33598,1.124,0.245,1.54,1.57,1.484
331.7,91.3,3.9777,0.33767,1.103,0.250,1.49,1.56,1.455
331.8,91.7,3.9783,0.34043,1.085,0.252,1.47,1.55,1.436
331.9,92.1,3.9784,0.34258,1.093,0.251,1.49,1.53,1.463
332.0,92.5,3.9777,0.34423,1.101,0.250,1.52,1.50,1.485
332.1,92.9,3.9775,0.34599,1.093,0.251,1.51,1.51,1.473
332.2,93.3,3.9780,0.34684,1.084,0.252,1.49,1.53,1.466
332.3,93.7,3.9781,0.34807,1.082,0.253,1.49,1.52,1.470
332.4,94.1,3.9775,0.35069,1.082,0.255,1.49,1.50,1.467
332.5,94.5,3.9773,0.3517,1.076,0.258,1.47,1.51,1.461
332.6,94.8,3.9777,0.35226,1.072,0.257,1.47,1.52,1.462
332.7,95.2,3.9780,0.35485,1.074,0.255,1.49,1.51,1.456
332.8,95.6,3.9777,0.3568,1.071,0.256,1.49,1.50,1.445
332.9,96.0,3.9775,0.35849,1.058,0.259,1.47,1.49,1.439
333.0,96.4,3.9782,0.36199,1.047,0.260,1.45,1.49,1.433
333.1,96.8,3.9782,0.36367,1.043,0.261,1.46,1.48,1.432
333.2,97.2,3.9775,0.36332,1.043,0.260,1.46,1.47,1.435
333.3,97.6,3.9778,0.36479,1.049,0.259,1.48,1.48,1.446
333.4,97.9,3.9785,0.36682,1.063,0.258,1.51,1.48,1.465
333.5,98.3,3.9786,0.36807,1.069,0.259,1.52,1.48,1.477
333.6,98.7,3.9779,0.36966,1.062,0.262,1.50,1.50,1.471
333.7,99.1,3.9777,0.37229,1.058,0.265,1.49,1.52,1.464
333.8,99.5,3.9786,0.37513,1.059,0.264,1.50,1.51,1.458
333.9,99.8,3.9787,0.37521,1.056,0.264,1.50,1.50,1.452
334.0,100.2,3.9781,0.37466,1.054,0.264,1.49,1.49,1.453
334.1,100.6,3.9782,0.37738,1.057,0.264,1.51,1.49,1.459
334.2,101.0,3.9786,0.38107,1.062,0.262,1.54,1.50,1.472
334.3,101.4,3.9786,0.38377,1.059,0.264,1.54,1.51,1.478
334.4,101.7,3.9780,0.38524,1.052,0.268,1.51,1.51,1.473
334.5,102.1,3.9778,0.38575,1.053,0.268,1.51,1.50,1.474
334.6,102.5,3.9784,0.38602,1.056,0.267,1.53,1.51,1.479
334.7,102.9,3.9780,0.38715,1.051,0.267,1.53,1.52,1.473
334.8,103.2,3.9774,0.38912,1.044,0.268,1.52,1.51,1.468
334.9,103.6,3.9780,0.39115,1.043,0.270,1.51,1.50,1.477
335.0,104.0,3.9782,0.39246,1.043,0.272,1.50,1.49,1.480
335.1,104.3,3.9777,0.39303,1.042,0.274,1.49,1.50,1.471
335.2,104.7,3.9776,0.39365,1.041,0.275,1.49,1.50,1.468
335.3,105.1,3.9781,0.39496,1.040,0.274,1.50,1.50,1.470
335.4,105.4,3.9787,0.39708,1.041,0.274,1.51,1.50,1.471
335.5,105.8,3.9785,0.39915,1.039,0.275,1.51,1.50,1.470
335.6,106.2,3.9780,0.40047,1.036,0.275,1.51,1.51,1.475
335.7,106.5,3.9780,0.40092,1.038,0.274,1.52,1.51,1.492
335.8,106.9,3.9784,0.4019,1.040,0.275,1.52,1.52,1.505
335.9,107.3,3.9787,0.4041,1.035,0.275,1.52,1.53,1.500
336.0,107.6,3.9783,0.40588,1.029,0.275,1.52,1.52,1.484
336.1,108.0,3.9777,0.40698,1.027,0.276,1.51,1.50,1.478
336.2,108.3,3.9778,0.40813,1.027,0.278,1.51,1.50,1.482
336.3,108.7,3.9781,0.40923,1.025,0.280,1.50,1.53,1.484
336.4,109.1,3.9782,0.4102,1.023,0.280,1.50,1.53,1.485
336.5,109.4,3.9780,0.41154,1.027,0.278,1.52,1.50,1.492
336.6,109.8,3.9776,0.41356,1.027,0.279,1.52,1.49,1.485
336.7,110.1,3.9774,0.41609,1.018,0.281,1.51,1.51,1.471
336.8,110.5,3.9773,0.41746,1.014,0.280,1.51,1.51,1.476
336.9,110.9,3.9774,0.41709,1.015,0.279,1.52,1.50,1.494
337.0,111.2,3.9776,0.41716,1.014,0.281,1.51,1.50,1.499
337.1,111.6,3.9775,0.41832,1.011,0.282,1.50,1.51,1.487
337.2,111.9,3.9772,0.41983,1.011,0.282,1.51,1.52,1.483
337.3,112.3,3.9768,0.42149,1.009,0.281,1.51,1.51,1.486
337.4,112.6,3.9767,0.42308,1.004,0.282,1.51,1.50,1.479
337.5,113.0,3.9771,0.42394,0.999,0.284,1.49,1.50,1.473
337.6,113.3,3.9777,0.42415,0.998,0.287,1.48,1.51,1.472
337.7,113.7,3.9777,0.4246,1.002,0.288,1.48,1.50,1.476
337.8,114.0,3.9774,0.4263,1.007,0.287,1.49,1.49,1.485
337.9,114.4,3.9774,0.42939,1.006,0.287,1.50,1.50,1.491
338.0,114.7,3.9776,0.43116,1.002,0.288,1.50,1.50,1.483
338.1,115.1,3.9779,0.4309,1.001,0.287,1.50,1.50,1.476
338.2,115.4,3.9780,0.43141,1.004,0.286,1.51,1.50,1.479
338.3,115.8,3.9779,0.43317,1.004,0.288,1.51,1.50,1.481
338.4,116.1,3.9779,0.43491,1.001,0.290,1.50,1.52,1.483
338.5,116.5,3.9780,0.43593,1.003,0.289,1.51,1.52,1.495
338.6,116.8,3.9780,0.43627,1.008,0.289,1.52,1.51,1.504
338.7,117.2,3.9779,0.43708,1.005,0.290,1.52,1.51,1.492
338.8,117.5,3.9777,0.43851,1.001,0.289,1.52,1.53,1.482
338.9,117.8,3.9773,0.43947,1.006,0.288,1.53,1.53,1.487
339.0,118.2,3.9771,0.44037,1.005,0.289,1.53,1.52,1.488
339.1,118.5,3.9776,0.44208,0.997,0.291,1.52,1.53,1.485
339.2,118.9,3.9780,0.44347,0.995,0.293,1.51,1.53,1.488
339.3,119.2,3.9775,0.44357,0.999,0.293,1.51,1.52,1.497
339.4,119.6,3.9770,0.44294,0.998,0.292,1.52,1.52,1.501
339.5,119.9,3.9770,0.4429,0.992,0.292,1.51,1.53,1.493
339.6,120.2,3.9774,0.44511,0.987,0.293,1.50,1.53,1.483
339.7,120.6,3.9779,0.44796,0.986,0.294,1.50,1.51,1.483
339.8,120.9,3.9780,0.44887,0.987,0.294,1.51,1.52,1.490
339.9,121.3,3.9779,0.44908,0.987,0.293,1.51,1.53,1.491
340.0,121.6,3.9780,0.44985,0.989,0.294,1.51,1.53,1.484
340.1,121.9,3.9781,0.45012,0.992,0.296,1.51,1.52,1.479
340.2,122.3,3.9782,0.45017,0.990,0.294,1.52,1.51,1.480
340.3,122.6,3.9782,0.45196,0.984,0.292,1.52,1.52,1.488
340.4,123.0,3.9785,0.45471,0.981,0.292,1.53,1.53,1.499
340.5,123.3,3.9790,0.45623,0.984,0.295,1.52,1.52,1.506
340.6,123.6,3.9792,0.45665,0.984,0.295,1.52,1.52,1.501
340.7,124.0,3.9788,0.45678,0.981,0.295,1.52,1.52,1.498
340.8,124.3,3.9784,0.45726,0.980,0.297,1.51,1.53,1.500
340.9,124.7,3.9786,0.45834,0.979,0.297,1.51,1.53,1.493
341.0,125.0,3.9791,0.45982,0.976,0.297,1.51,1.52,1.479
341.1,125.3,3.9794,0.46134,0.974,0.295,1.52,1.53,1.479
341.2,125.7,3.9790,0.46248,0.975,0.294,1.53,1.53,1.497
341.3,126.0,3.9785,0.46313,0.977,0.296,1.53,1.52,1.508
341.4,126.4,3.9784,0.46343,0.979,0.298,1.52,1.50,1.504
341.5,126.7,3.9785,0.46414,0.981,0.298,1.53,1.51,1.507
341.6,127.0,3.9786,0.46529,0.981,0.297,1.54,1.52,1.512
341.7,127.4,3.9783,0.46549,0.973,0.296,1.53,1.53,1.506
341.8,127.7,3.9777,0.4652,0.969,0.296,1.52,1.53,1.501
341.9,128.0,3.9773,0.46668,0.973,0.297,1.53,1.52,1.517
342.0,128.4,3.9772,0.46891,0.976,0.297,1.54,1.52,1.542
342.1,128.7,3.9772,0.4696,0.971,0.299,1.53,1.53,1.549
342.2,129.0,3.9772,0.46987,0.969,0.301,1.51,1.54,1.536
342.3,129.4,3.9773,0.471,0.972,0.302,1.52,1.53,1.516
342.4,129.7,3.9777,0.47185,0.969,0.301,1.52,1.53,1.496
342.5,130.0,3.9781,0.47188,0.965,0.300,1.52,1.54,1.489
342.6,130.4,3.9779,0.47203,0.966,0.299,1.52,1.52,1.497
342.7,130.7,3.9772,0.47252,0.968,0.300,1.53,1.51,1.505
342.8,131.0,3.9769,0.47291,0.969,0.301,1.52,1.52,1.512
342.9,131.4,3.9771,0.47385,0.968,0.301,1.52,1.53,1.512
343.0,131.7,3.9772,0.47615,0.965,0.301,1.53,1.53,1.512
343.1,132.0,3.9770,0.47835,0.965,0.303,1.52,1.52,1.513
343.2,132.4,3.9766,0.47898,0.967,0.304,1.53,1.53,1.513
343.3,132.7,3.9764,0.47857,0.965,0.301,1.53,1.55,1.517
343.4,133.0,3.9768,0.47829,0.959,0.300,1.53,1.57,1.518
343.5,133.4,3.9771,0.47977,0.955,0.301,1.52,1.55,1.509
343.6,133.7,3.9770,0.48236,0.956,0.303,1.52,1.52,1.504
343.7,134.0,3.9767,0.48333,0.962,0.305,1.52,1.52,1.512
343.8,134.3,3.9763,0.48297,0.963,0.305,1.53,1.53,1.516
343.9,134.7,3.9761,0.48327,0.957,0.303,1.53,1.54,1.506
344.0,135.0,3.9762,0.48431,0.956,0.302,1.53,1.54,1.503
344.1,135.3,3.9766,0.48545,0.960,0.302,1.54,1.53,1.509
344.2,135.7,3.9769,0.48605,0.957,0.302,1.54,1.52,1.515
344.3,136.0,3.9768,0.48621,0.952,0.303,1.53,1.53,1.519
344.4,136.3,3.9763,0.48752,0.955,0.304,1.53,1.52,1.521
344.5,136.7,3.9756,0.48996,0.958,0.306,1.54,1.52,1.520
344.6,137.0,3.9757,0.49126,0.956,0.306,1.54,1.53,1.523
344.7,137.3,3.9764,0.49119,0.951,0.306,1.53,1.54,1.526
344.8,137.6,3.9768,0.49122,0.948,0.305,1.53,1.55,1.523
344.9,138.0,3.9770,0.49183,0.952,0.305,1.54,1.55,1.526
345.0,138.3,3.9770,0.49282,0.959,0.305,1.55,1.55,1.533
345.1,138.6,3.9770,0.49367,0.959,0.305,1.55,1.55,1.535
345.2,139.0,3.9769,0.49394,0.957,0.305,1.55,1.56,1.530
345.3,139.3,3.9770,0.49404,0.958,0.306,1.55,1.55,1.525
345.4,139.6,3.9771,0.49445,0.958,0.306,1.55,1.55,1.524
345.5,139.9,3.9775,0.49546,0.956,0.304,1.56,1.55,1.529
345.6,140.3,3.9779,0.4969,0.952,0.304,1.56,1.56,1.533
345.7,140.6,3.9777,0.49804,0.950,0.304,1.55,1.55,1.531
345.8,140.9,3.9771,0.49855,0.949,0.306,1.55,1.55,1.529
345.9,141.2,3.9769,0.49853,0.947,0.307,1.54,1.54,1.529
346.0,141.6,3.9772,0.49872,0.947,0.306,1.54,1.55,1.533
346.1,141.9,3.9779,0.49978,0.947,0.306,1.55,1.56,1.535
346.2,142.2,3.9785,0.50049,0.950,0.306,1.56,1.56,1.536
346.3,142.6,3.9787,0.50003,0.954,0.306,1.56,1.56,1.536
346.4,142.9,3.9784,0.50043,0.956,0.305,1.57,1.57,1.540
346.5,143.2,3.9780,0.5026,0.958,0.304,1.59,1.58,1.551
346.6,143.5,3.9778,0.50421,0.961,0.305,1.59,1.59,1.563
346.7,143.9,3.9780,0.50464,0.966,0.305,1.60,1.59,1.574
346.8,144.2,3.9782,0.50556,0.970,0.305,1.61,1.58,1.580
346.9,144.5,3.9784,0.50657,0.971,0.306,1.61,1.58,1.581
347.0,144.9,3.9785,0.50597,0.962,0.307,1.59,1.59,1.570
347.1,145.2,3.9784,0.5054,0.948,0.306,1.57,1.60,1.552
347.2,145.5,3.9781,0.50721,0.938,0.305,1.56,1.59,1.538
347.3,145.8,3.9777,0.5094,0.939,0.306,1.56,1.57,1.535
347.4,146.2,3.9773,0.50979,0.948,0.308,1.57,1.56,1.548
347.5,146.5,3.9774,0.50967,0.952,0.309,1.57,1.56,1.557
347.6,146.8,3.9780,0.51016,0.948,0.309,1.57,1.57,1.558
347.7,147.1,3.9785,0.51089,0.945,0.308,1.57,1.57,1.555
347.8,147.5,3.9785,0.51167,0.943,0.308,1.57,1.57,1.547
347.9,147.8,3.9781,0.5128,0.938,0.308,1.56,1.57,1.536
348.0,148.1,3.9775,0.51409,0.935,0.308,1.56,1.57,1.532
348.1,148.4,3.9773,0.51496,0.937,0.309,1.56,1.56,1.539
348.2,148.8,3.9776,0.51519,0.937,0.309,1.56,1.55,1.543
348.3,149.1,3.9781,0.51488,0.932,0.308,1.56,1.56,1.537
348.4,149.4,3.9785,0.5146,0.930,0.309,1.55,1.56,1.536
348.5,149.7,3.9786,0.51507,0.929,0.309,1.55,1.56,1.539
348.6,150.0,3.9785,0.51688,0.925,0.310,1.54,1.55,1.540
348.7,150.4,3.9786,0.51978,0.920,0.311,1.54,1.56,1.537
348.8,150.7,3.9784,0.52151,0.917,0.311,1.54,1.55,1.533
348.9,151.0,3.9780,0.5212,0.919,0.310,1.54,1.54,1.532
349.0,151.3,3.9778,0.52092,0.923,0.309,1.56,1.54,1.537
349.1,151.7,3.9780,0.52155,0.931,0.309,1.57,1.54,1.554
349.2,152.0,3.9783,0.5221,0.940,0.310,1.58,1.55,1.573
349.3,152.3,3.9785,0.52244,0.941,0.311,1.58,1.56,1.574
349.4,152.6,3.9785,0.52325,0.930,0.311,1.57,1.58,1.559
349.5,152.9,3.9785,0.5245,0.923,0.311,1.56,1.58,1.550
349.6,153.3,3.9785,0.52583,0.925,0.311,1.56,1.57,1.549
349.7,153.6,3.9785,0.52716,0.929,0.310,1.58,1.56,1.554
349.8,153.9,3.9782,0.52841,0.933,0.308,1.60,1.57,1.569
349.9,154.2,3.9778,0.5289,0.939,0.311,1.60,1.58,1.582
350.0,154.6,3.9773,0.5284,0.943,0.313,1.59,1.58,1.591
350.1,154.9,3.9770,0.52852,0.939,0.312,1.59,1.60,1.584
350.2,155.2,3.9770,0.52979,0.932,0.312,1.58,1.61,1.570
350.3,155.5,3.9771,0.53013,0.935,0.312,1.59,1.60,1.579
350.4,155.8,3.9770,0.52901,0.938,0.312,1.59,1.58,1.591
350.5,156.2,3.9772,0.52838,0.934,0.313,1.58,1.58,1.584
350.6,156.5,3.9774,0.52883,0.932,0.313,1.57,1.59,1.578
350.7,156.8,3.9773,0.52953,0.933,0.313,1.58,1.59,1.579
350.8,157.1,3.9771,0.53035,0.933,0.312,1.59,1.59,1.583
350.9,157.4,3.9770,0.53162,0.932,0.312,1.59,1.60,1.579
351.0,157.8,3.9771,0.53267,0.930,0.313,1.58,1.60,1.580
351.1,158.1,3.9771,0.53264,0.928,0.314,1.57,1.59,1.588
351.2,158.4,3.9771,0.53272,0.928,0.314,1.57,1.59,1.588
351.3,158.7,3.9770,0.53409,0.929,0.313,1.58,1.59,1.581
351.4,159.0,3.9771,0.53501,0.930,0.312,1.59,1.60,1.574
351.5,159.4,3.9774,0.5343,0.931,0.312,1.60,1.60,1.574
351.6,159.7,3.9778,0.53457,0.931,0.311,1.60,1.60,1.582
351.7,160.0,3.9782,0.537,0.930,0.312,1.60,1.60,1.595
351.8,160.3,3.9784,0.53851,0.930,0.312,1.60,1.61,1.601
351.9,160.6,3.9784,0.538,0.930,0.313,1.60,1.61,1.594
352.0,161.0,3.9784,0.53768,0.928,0.312,1.60,1.61,1.585
352.1,161.3,3.9784,0.53833,0.925,0.312,1.60,1.61,1.580
352.2,161.6,3.9784,0.53907,0.924,0.312,1.59,1.60,1.586
352.3,161.9,3.9782,0.53952,0.924,0.313,1.59,1.60,1.592
352.4,162.2,3.9777,0.53972,0.925,0.313,1.59,1.60,1.579
352.5,162.6,3.9771,0.54008,0.927,0.314,1.59,1.60,1.571
352.6,162.9,3.9769,0.541,0.928,0.315,1.60,1.60,1.580
352.7,163.2,3.9771,0.54205,0.928,0.314,1.60,1.60,1.593
352.8,163.5,3.9776,0.54268,0.927,0.312,1.61,1.61,1.600
352.9,163.8,3.9781,0.5433,0.925,0.312,1.61,1.61,1.597
353.0,164.2,3.9783,0.54427,0.924,0.312,1.61,1.61,1.594
353.1,164.5,3.9784,0.54506,0.926,0.311,1.62,1.61,1.595
353.2,164.8,3.9784,0.54531,0.928,0.310,1.63,1.61,1.590
353.3,165.1,3.9784,0.5453,0.926,0.312,1.62,1.62,1.586
353.4,165.4,3.9785,0.54537,0.923,0.313,1.61,1.62,1.590
353.5,165.8,3.9782,0.54573,0.924,0.313,1.61,1.61,1.593
353.6,166.1,3.9776,0.54628,0.927,0.314,1.61,1.60,1.598
353.7,166.4,3.9772,0.54661,0.928,0.316,1.61,1.60,1.604
353.8,166.7,3.9771,0.54654,0.928,0.316,1.60,1.61,1.606
353.9,167.0,3.9771,0.54618,0.925,0.315,1.60,1.61,1.600
354.0,167.3,3.9771,0.54644,0.920,0.314,1.60,1.62,1.596
354.1,167.7,3.9771,0.5483,0.919,0.314,1.60,1.62,1.598
354.2,168.0,3.9771,0.55021,0.923,0.314,1.62,1.61,1.605
354.3,168.3,3.9771,0.55013,0.927,0.315,1.62,1.61,1.614
354.4,168.6,3.9771,0.54886,0.925,0.315,1.61,1.62,1.613
354.5,168.9,3.9770,0.54806,0.919,0.315,1.60,1.62,1.606
354.6,169.3,3.9771,0.54935,0.917,0.313,1.61,1.62,1.607
354.7,169.6,3.9776,0.5528,0.919,0.313,1.63,1.61,1.612
354.8,169.9,3.9777,0.55455,0.920,0.314,1.62,1.60,1.614
354.9,170.2,3.9772,0.5531,0.921,0.315,1.62,1.61,1.613
355.0,170.5,3.9768,0.55204,0.922,0.314,1.62,1.61,1.610
355.1,170.8,3.9768,0.55278,0.923,0.315,1.62,1.62,1.608
355.2,171.2,3.9769,0.55316,0.924,0.317,1.62,1.62,1.614
355.3,171.5,3.9769,0.5526,0.921,0.317,1.61,1.61,1.614
355.4,171.8,3.9767,0.55221,0.914,0.316,1.60,1.61,1.600
355.5,172.1,3.9763,0.55263,0.910,0.315,1.60,1.61,1.587
355.6,172.4,3.9758,0.55399,0.911,0.316,1.60,1.61,1.581
355.7,172.7,3.9755,0.5549,0.916,0.315,1.61,1.61,1.591
355.8,173.1,3.9759,0.5537,0.919,0.314,1.62,1.60,1.602
355.9,173.4,3.9765,0.55238,0.918,0.315,1.61,1.60,1.603
356.0,173.7,3.9768,0.55357,0.915,0.317,1.60,1.60,1.598
356.1,174.0,3.9770,0.55566,0.916,0.317,1.61,1.59,1.597
356.2,174.3,3.9770,0.55641,0.920,0.316,1.62,1.59,1.604
356.3,174.6,3.9770,0.55611,0.921,0.315,1.62,1.60,1.608
356.4,175.0,3.9769,0.55551,0.920,0.316,1.62,1.61,1.609
356.5,175.3,3.9770,0.5549,0.921,0.317,1.61,1.61,1.607
356.6,175.6,3.9771,0.55456,0.921,0.317,1.61,1.60,1.607
356.7,175.9,3.9774,0.55484,0.922,0.316,1.62,1.60,1.610
356.8,176.2,3.9776,0.55551,0.922,0.315,1.62,1.60,1.609
356.9,176.5,3.9775,0.5554,0.922,0.315,1.62,1.61,1.608
357.0,176.9,3.9771,0.55453,0.920,0.317,1.61,1.61,1.604
357.1,177.2,3.9769,0.55428,0.920,0.319,1.60,1.60,1.606
357.2,177.5,3.9769,0.55473,0.919,0.319,1.60,1.60,1.613
357.3,177.8,3.9770,0.55481,0.916,0.318,1.60,1.60,1.610
357.4,178.1,3.9770,0.55428,0.918,0.318,1.60,1.60,1.605
357.5,178.4,3.9770,0.55355,0.924,0.319,1.60,1.60,1.611
357.6,178.7,3.9770,0.55313,0.927,0.318,1.61,1.60,1.623
357.7,179.1,3.9770,0.5535,0.925,0.317,1.62,1.61,1.626
357.8,179.4,3.9770,0.55439,0.921,0.317,1.61,1.61,1.620
357.9,179.7,3.9770,0.55515,0.919,0.318,1.60,1.62,1.608
358.0,180.0,3.9770,0.55504,0.918,0.320,1.59,1.61,1.597
358.1,180.3,3.9770,0.55376,0.918,0.320,1.59,1.60,1.598
358.2,180.6,3.9770,0.55294,0.920,0.320,1.59,1.59,1.600
358.3,180.9,3.9770,0.55373,0.921,0.320,1.59,1.59,1.598
