Temp,time,DSC,Heat Capacity,Heating Rate,Sensitivity
333.3,98.6,0.20629,0.844,0.2564,1.049
333.4,99,0.20676,0.8442,0.2604,1.063
333.5,99.4,0.20774,0.8443,0.2631,1.069
333.6,99.8,0.20875,0.8445,0.2625,1.062
333.7,100.2,0.20951,0.8447,0.2625,1.058
333.8,100.5,0.21028,0.8449,0.2635,1.059
333.9,100.9,0.21139,0.845,0.2641,1.056
334,101.3,0.21269,0.8452,0.2652,1.054
334.1,101.7,0.21339,0.8454,0.2669,1.057
334.2,102,0.21395,0.8456,0.2688,1.062
334.3,102.4,0.21505,0.8457,0.2693,1.059
334.4,102.8,0.21591,0.8459,0.2686,1.052
334.5,103.2,0.21642,0.8461,0.2695,1.053
334.6,103.5,0.21726,0.8463,0.271,1.056
334.7,103.9,0.21833,0.8464,0.271,1.051
334.8,104.3,0.21932,0.8466,0.2706,1.044
334.9,104.6,0.22016,0.8468,0.2712,1.043
335,105,0.22091,0.847,0.2721,1.043
335.1,105.4,0.22175,0.8471,0.2728,1.042
335.2,105.7,0.22266,0.8473,0.2734,1.041
335.3,106.1,0.22348,0.8475,0.2741,1.04
335.4,106.5,0.22403,0.8477,0.275,1.041
335.5,106.8,0.22465,0.8478,0.2753,1.039
335.6,107.2,0.22566,0.848,0.2757,1.036
335.7,107.6,0.22652,0.8482,0.2773,1.038
335.8,107.9,0.22707,0.8484,0.2782,1.04
335.9,108.3,0.22775,0.8485,0.2778,1.035
336,108.6,0.22855,0.8487,0.2771,1.029
336.1,109,0.2293,0.8489,0.2773,1.027
336.2,109.4,0.2301,0.8491,0.2782,1.027
336.3,109.7,0.23098,0.8492,0.2787,1.025
336.4,110.1,0.2318,0.8494,0.2792,1.023
336.5,110.4,0.2325,0.8496,0.2811,1.027
336.6,110.8,0.23313,0.8497,0.2818,1.027
336.7,111.1,0.23379,0.8499,0.2801,1.018
336.8,111.5,0.23445,0.8501,0.2796,1.014
336.9,111.9,0.23488,0.8503,0.2803,1.015
337,112.2,0.23536,0.8504,0.2806,1.014
337.1,112.6,0.23623,0.8506,0.2808,1.011
337.2,112.9,0.23711,0.8508,0.2818,1.011
337.3,113.3,0.23781,0.851,0.282,1.009
337.4,113.6,0.23857,0.8511,0.2813,1.004
337.5,114,0.2394,0.8513,0.2811,0.999
337.6,114.3,0.24013,0.8515,0.2815,0.998
337.7,114.7,0.2406,0.8516,0.2832,1.002
337.8,115.1,0.24087,0.8518,0.2847,1.007
337.9,115.4,0.24133,0.852,0.2849,1.006
338,115.8,0.24203,0.8522,0.2847,1.002
338.1,116.1,0.24276,0.8523,0.2851,1.001
338.2,116.5,0.24347,0.8525,0.2866,1.004
338.3,116.8,0.24414,0.8527,0.2874,1.004
338.4,117.2,0.24468,0.8529,0.2871,1.001
338.5,117.5,0.2451,0.853,0.2881,1.003
338.6,117.8,0.2455,0.8532,0.2901,1.008
338.7,118.2,0.24597,0.8534,0.2896,1.005
338.8,118.5,0.24652,0.8535,0.2891,1.001
338.9,118.9,0.24714,0.8537,0.2911,1.006
339,119.2,0.24777,0.8539,0.2916,1.005
339.1,119.6,0.24831,0.854,0.2899,0.997
339.2,119.9,0.24879,0.8542,0.2899,0.995
339.3,120.3,0.24935,0.8544,0.2916,0.999
339.4,120.6,0.25003,0.8546,0.2921,0.998
339.5,120.9,0.25078,0.8547,0.2911,0.992
339.6,121.3,0.25145,0.8549,0.2904,0.987
339.7,121.6,0.252,0.8551,0.2906,0.986
339.8,122,0.25254,0.8552,0.2914,0.987
339.9,122.3,0.2531,0.8554,0.2921,0.987
340,122.7,0.25357,0.8556,0.2932,0.989
340.1,123,0.254,0.8558,0.2945,0.992
340.2,123.3,0.2545,0.8559,0.2945,0.99
340.3,123.7,0.25507,0.8561,0.2932,0.984
340.4,124,0.25566,0.8563,0.2929,0.981
340.5,124.4,0.25604,0.8564,0.2942,0.984
340.6,124.7,0.25624,0.8566,0.2945,0.984
340.7,125,0.25653,0.8568,0.2937,0.981
340.8,125.4,0.25708,0.8569,0.2939,0.98
340.9,125.7,0.25793,0.8571,0.2947,0.979
341,126.1,0.25877,0.8573,0.2947,0.976
341.1,126.4,0.25937,0.8575,0.2947,0.974
341.2,126.7,0.25983,0.8576,0.2952,0.975
341.3,127.1,0.26027,0.8578,0.2963,0.977
341.4,127.4,0.2607,0.858,0.2976,0.979
341.5,127.7,0.26116,0.8581,0.2987,0.981
341.6,128.1,0.26169,0.8583,0.299,0.981
341.7,128.4,0.26228,0.8585,0.2974,0.973
341.8,128.8,0.26286,0.8586,0.2966,0.969
341.9,129.1,0.26311,0.8588,0.2982,0.973
342,129.4,0.263,0.859,0.2987,0.976
342.1,129.8,0.26309,0.8591,0.2974,0.971
342.2,130.1,0.26362,0.8593,0.2974,0.969
342.3,130.4,0.26438,0.8595,0.299,0.972
342.4,130.8,0.26502,0.8596,0.2987,0.969
342.5,131.1,0.2653,0.8598,0.2976,0.965
342.6,131.4,0.2656,0.86,0.2984,0.966
342.7,131.8,0.26624,0.8601,0.2995,0.968
342.8,132.1,0.26672,0.8603,0.3003,0.969
342.9,132.4,0.26687,0.8605,0.3003,0.968
343,132.8,0.26726,0.8606,0.2998,0.965
343.1,133.1,0.26791,0.8608,0.3003,0.965
343.2,133.4,0.26833,0.861,0.3014,0.967
343.3,133.8,0.26853,0.8612,0.3008,0.965
343.4,134.1,0.26884,0.8613,0.2992,0.959
343.5,134.4,0.26937,0.8615,0.2987,0.955
343.6,134.8,0.27005,0.8617,0.2998,0.956
343.7,135.1,0.27058,0.8618,0.3019,0.962
343.8,135.4,0.27084,0.862,0.3025,0.963
343.9,135.8,0.27102,0.8622,0.3008,0.957
344,136.1,0.27132,0.8623,0.3008,0.956
344.1,136.4,0.27184,0.8625,0.3025,0.96
344.2,136.8,0.27246,0.8627,0.3022,0.957
344.3,137.1,0.27292,0.8628,0.3011,0.952
344.4,137.4,0.27321,0.863,0.3022,0.955
344.5,137.8,0.2734,0.8632,0.3036,0.958
344.6,138.1,0.27376,0.8633,0.3033,0.956
344.7,138.4,0.27431,0.8635,0.3022,0.951
344.8,138.7,0.27459,0.8637,0.3014,0.948
344.9,139.1,0.2746,0.8638,0.3028,0.952
345,139.4,0.27485,0.864,0.305,0.959
345.1,139.7,0.27543,0.8641,0.3058,0.959
345.2,140.1,0.27609,0.8643,0.3058,0.957
345.3,140.4,0.27659,0.8645,0.3064,0.958
345.4,140.7,0.27676,0.8646,0.3067,0.958
345.5,141,0.27675,0.8648,0.3058,0.956
345.6,141.4,0.27679,0.865,0.3047,0.952
345.7,141.7,0.27711,0.8651,0.3044,0.95
345.8,142,0.27774,0.8653,0.3047,0.949
345.9,142.4,0.27836,0.8655,0.3047,0.947
346,142.7,0.27877,0.8656,0.305,0.947
346.1,143,0.27897,0.8658,0.3053,0.947
346.2,143.3,0.27917,0.866,0.3064,0.95
346.3,143.7,0.27965,0.8661,0.3081,0.954
346.4,144,0.28015,0.8663,0.3092,0.956
346.5,144.3,0.28032,0.8665,0.3101,0.958
346.6,144.6,0.2804,0.8666,0.3109,0.961
346.7,145,0.28069,0.8668,0.3127,0.966
346.8,145.3,0.281,0.867,0.3145,0.97
346.9,145.6,0.28121,0.8671,0.3148,0.971
347,145.9,0.28145,0.8673,0.3121,0.962
347.1,146.2,0.2818,0.8674,0.3081,0.948
347.2,146.6,0.28223,0.8676,0.3053,0.938
347.3,146.9,0.2826,0.8678,0.3058,0.939
347.4,147.2,0.28277,0.8679,0.3089,0.948
347.5,147.5,0.28284,0.8681,0.3101,0.952
347.6,147.9,0.28309,0.8683,0.3092,0.948
347.7,148.2,0.28351,0.8684,0.3086,0.945
347.8,148.5,0.28397,0.8686,0.3084,0.943
347.9,148.8,0.28439,0.8688,0.3072,0.938
348,149.2,0.28475,0.8689,0.3064,0.935
348.1,149.5,0.28507,0.8691,0.3072,0.937
348.2,149.8,0.28537,0.8692,0.3075,0.937
348.3,150.1,0.28566,0.8694,0.3064,0.932
348.4,150.5,0.28591,0.8696,0.3058,0.93
348.5,150.8,0.28608,0.8697,0.3055,0.929
348.6,151.1,0.28625,0.8699,0.3044,0.925
348.7,151.4,0.2866,0.8701,0.303,0.92
348.8,151.8,0.28697,0.8702,0.3025,0.917
348.9,152.1,0.28712,0.8704,0.303,0.919
349,152.4,0.28719,0.8705,0.3044,0.923
349.1,152.8,0.28741,0.8707,0.3072,0.931
349.2,153.1,0.28777,0.8709,0.3107,0.94
349.3,153.4,0.2882,0.871,0.3112,0.941
349.4,153.7,0.28857,0.8712,0.3081,0.93
349.5,154.1,0.28885,0.8714,0.3061,0.923
349.6,154.4,0.2891,0.8715,0.3069,0.925
349.7,154.7,0.28939,0.8717,0.3084,0.929
349.8,155,0.2897,0.8718,0.3101,0.933
349.9,155.3,0.28997,0.872,0.3121,0.939
350,155.7,0.29013,0.8722,0.3136,0.943
350.1,156,0.29032,0.8723,0.3124,0.939
350.2,156.3,0.29069,0.8725,0.3107,0.932
350.3,156.6,0.29107,0.8727,0.3118,0.935
350.4,157,0.29127,0.8728,0.313,0.938
350.5,157.3,0.2914,0.873,0.3118,0.934
350.6,157.6,0.29156,0.8731,0.3112,0.932
350.7,157.9,0.29173,0.8733,0.3115,0.933
350.8,158.2,0.29192,0.8735,0.3118,0.933
350.9,158.6,0.29208,0.8736,0.3115,0.932
351,158.9,0.29223,0.8738,0.3109,0.93
351.1,159.2,0.29243,0.8739,0.3107,0.928
351.2,159.5,0.29268,0.8741,0.3107,0.928
351.3,159.8,0.29295,0.8743,0.3112,0.929
351.4,160.2,0.2932,0.8744,0.3118,0.93
351.5,160.5,0.2934,0.8746,0.3124,0.931
351.6,160.8,0.29368,0.8747,0.3127,0.931
351.7,161.1,0.29413,0.8749,0.3127,0.93
351.8,161.4,0.29448,0.8751,0.313,0.93
351.9,161.8,0.29452,0.8752,0.313,0.93
352,162.1,0.29468,0.8754,0.3124,0.928
352.1,162.4,0.29516,0.8755,0.3118,0.925
352.2,162.7,0.29566,0.8757,0.3118,0.924
352.3,163,0.29593,0.8759,0.3121,0.924
352.4,163.4,0.29595,0.876,0.3124,0.925
352.5,163.7,0.2959,0.8762,0.313,0.927
352.6,164,0.29611,0.8763,0.3136,0.928
352.7,164.3,0.29654,0.8765,0.3139,0.928
352.8,164.6,0.2969,0.8767,0.3139,0.927
352.9,165,0.29716,0.8768,0.3136,0.925
353,165.3,0.29741,0.877,0.3133,0.924
353.1,165.6,0.2976,0.8771,0.3142,0.926
353.2,165.9,0.2977,0.8773,0.3148,0.928
353.3,166.2,0.29781,0.8775,0.3142,0.926
353.4,166.6,0.29803,0.8776,0.3136,0.923
353.5,166.9,0.2983,0.8778,0.3139,0.924
353.6,167.2,0.29854,0.8779,0.3151,0.927
353.7,167.5,0.29868,0.8781,0.3157,0.928
353.8,167.8,0.29875,0.8782,0.3157,0.928
353.9,168.1,0.29894,0.8784,0.3148,0.925
354,168.5,0.29924,0.8786,0.3133,0.92
354.1,168.8,0.29943,0.8787,0.313,0.919
354.2,169.1,0.29948,0.8789,0.3145,0.923
354.3,169.4,0.29956,0.879,0.316,0.927
354.4,169.7,0.29974,0.8792,0.3154,0.925
354.5,170,0.30005,0.8794,0.3136,0.919
354.6,170.4,0.3004,0.8795,0.3133,0.917
354.7,170.7,0.30062,0.8797,0.3142,0.919
354.8,171,0.30069,0.8798,0.3145,0.92
354.9,171.3,0.30064,0.88,0.3148,0.921
355,171.6,0.30066,0.8801,0.3151,0.922
355.1,172,0.30089,0.8803,0.3154,0.923
355.2,172.3,0.30126,0.8805,0.3163,0.924
355.3,172.6,0.30168,0.8806,0.3157,0.921
355.4,172.9,0.30207,0.8808,0.3136,0.914
355.5,173.2,0.30231,0.8809,0.3124,0.91
355.6,173.5,0.30225,0.8811,0.3124,0.911
355.7,173.9,0.30204,0.8812,0.3139,0.916
355.8,174.2,0.30212,0.8814,0.3151,0.919
355.9,174.5,0.30252,0.8816,0.3151,0.918
356,174.8,0.30292,0.8817,0.3145,0.915
356.1,175.1,0.30318,0.8819,0.3148,0.916
356.2,175.5,0.30327,0.882,0.3163,0.92
356.3,175.8,0.30331,0.8822,0.3166,0.921
356.4,176.1,0.30344,0.8823,0.3166,0.92
356.5,176.4,0.30362,0.8825,0.3169,0.921
356.6,176.7,0.30379,0.8827,0.3172,0.921
356.7,177,0.30393,0.8828,0.3175,0.922
356.8,177.3,0.30404,0.883,0.3175,0.922
356.9,177.7,0.30417,0.8831,0.3175,0.922
357,178,0.30437,0.8833,0.3172,0.92
357.1,178.3,0.30469,0.8834,0.3172,0.92
357.2,178.6,0.30506,0.8836,0.3172,0.919
357.3,178.9,0.30525,0.8837,0.3166,0.916
357.4,179.2,0.30527,0.8839,0.3172,0.918
357.5,179.6,0.30544,0.8841,0.3193,0.924
357.6,179.9,0.30579,0.8842,0.3205,0.927
357.7,180.2,0.30601,0.8844,0.3199,0.925
357.8,180.5,0.30602,0.8845,0.3187,0.921
357.9,180.8,0.30592,0.8847,0.3178,0.919
358,181.1,0.30591,0.8848,0.3175,0.918
358.1,181.4,0.30621,0.885,0.3178,0.918
358.2,181.7,0.30667,0.8851,0.3187,0.92
358.3,182.1,0.30699,0.8853,0.3193,0.921
358.4,182.4,0.30711,0.8855,0.3181,0.917
358.5,182.7,0.30705,0.8856,0.3169,0.914
358.6,183,0.30707,0.8858,0.3178,0.917
358.7,183.3,0.30737,0.8859,0.319,0.919
358.8,183.6,0.30773,0.8861,0.319,0.918
358.9,183.9,0.30791,0.8862,0.319,0.918
359,184.3,0.30796,0.8864,0.3193,0.919
359.1,184.6,0.30799,0.8865,0.319,0.918
359.2,184.9,0.30813,0.8867,0.3181,0.915
359.3,185.2,0.30841,0.8868,0.3184,0.915
359.4,185.5,0.3086,0.887,0.3199,0.919
359.5,185.8,0.30867,0.8872,0.3208,0.922
359.6,186.1,0.30884,0.8873,0.3205,0.921
359.7,186.5,0.3091,0.8875,0.3199,0.918
359.8,186.8,0.3091,0.8876,0.3199,0.919
359.9,187.1,0.30888,0.8878,0.3202,0.92
360,187.4,0.30881,0.8879,0.3208,0.922
360.1,187.7,0.30903,0.8881,0.3214,0.924
360.2,188,0.30946,0.8882,0.3211,0.922
360.3,188.3,0.30992,0.8884,0.3208,0.92
360.4,188.6,0.31014,0.8885,0.3214,0.921
360.5,188.9,0.31016,0.8887,0.3218,0.922
360.6,189.3,0.31011,0.8888,0.3214,0.921
360.7,189.6,0.31017,0.889,0.3199,0.917
360.8,189.9,0.31043,0.8891,0.3187,0.913
360.9,190.2,0.31059,0.8893,0.3193,0.914
361,190.5,0.31041,0.8895,0.3202,0.918
361.1,190.8,0.3103,0.8896,0.3202,0.918
361.2,191.1,0.31063,0.8898,0.3205,0.918
361.3,191.4,0.311,0.8899,0.3214,0.92
361.4,191.8,0.31109,0.8901,0.3218,0.921
361.5,192.1,0.31125,0.8902,0.3208,0.918
361.6,192.4,0.31171,0.8904,0.3205,0.916
361.7,192.7,0.31214,0.8905,0.3218,0.918
361.8,193,0.31235,0.8907,0.3224,0.919
361.9,193.3,0.31251,0.8908,0.3218,0.917
362,193.6,0.31271,0.891,0.3211,0.915
362.1,193.9,0.31289,0.8911,0.3214,0.915
362.2,194.2,0.31304,0.8913,0.3221,0.917
362.3,194.6,0.31321,0.8914,0.3227,0.918
362.4,194.9,0.31343,0.8916,0.3221,0.916
362.5,195.2,0.31364,0.8917,0.3208,0.912
362.6,195.5,0.31373,0.8919,0.3202,0.91
362.7,195.8,0.3136,0.892,0.3205,0.912
362.8,196.1,0.31347,0.8922,0.3227,0.918
362.9,196.4,0.3137,0.8923,0.3246,0.923
363,196.7,0.3141,0.8925,0.3239,0.92
363.1,197,0.31419,0.8926,0.3227,0.917
363.2,197.3,0.31412,0.8928,0.323,0.918
363.3,197.7,0.31423,0.8929,0.3243,0.921
363.4,198,0.3145,0.8931,0.3243,0.921
363.5,198.3,0.31473,0.8932,0.3233,0.918
363.6,198.6,0.31489,0.8934,0.3224,0.915
363.7,198.9,0.31499,0.8935,0.3211,0.911
363.8,199.2,0.31509,0.8937,0.3205,0.909
363.9,199.5,0.31524,0.8938,0.3205,0.909
364,199.8,0.31539,0.894,0.3211,0.91
364.1,200.1,0.31548,0.8941,0.3221,0.913
364.2,200.5,0.31559,0.8943,0.3224,0.914
364.3,200.8,0.31581,0.8944,0.3227,0.914
364.4,201.1,0.31607,0.8946,0.323,0.914
364.5,201.4,0.31631,0.8947,0.3233,0.915
364.6,201.7,0.31645,0.8949,0.3233,0.914
364.7,202,0.31647,0.895,0.3236,0.915
364.8,202.3,0.31645,0.8952,0.3252,0.92
364.9,202.6,0.31649,0.8953,0.3258,0.922
365,202.9,0.31673,0.8955,0.3252,0.919
365.1,203.2,0.31712,0.8956,0.3246,0.917
365.2,203.5,0.3174,0.8958,0.3236,0.913
365.3,203.8,0.31749,0.8959,0.323,0.911
365.4,204.2,0.31751,0.8961,0.323,0.912
365.5,204.5,0.31755,0.8962,0.3236,0.913
365.6,204.8,0.3176,0.8964,0.3246,0.916
365.7,205.1,0.31769,0.8965,0.3246,0.916
365.8,205.4,0.3179,0.8967,0.3243,0.915
365.9,205.7,0.31818,0.8968,0.3262,0.919
366,206,0.31844,0.897,0.3284,0.925
366.1,206.3,0.31862,0.8971,0.3274,0.922
366.2,206.6,0.31867,0.8973,0.3252,0.916
366.3,206.9,0.31872,0.8974,0.3249,0.915
366.4,207.2,0.31894,0.8976,0.3258,0.917
366.5,207.5,0.31923,0.8977,0.3262,0.917
366.6,207.8,0.3194,0.8979,0.3258,0.916
366.7,208.2,0.31946,0.898,0.3255,0.915
366.8,208.5,0.31949,0.8982,0.3255,0.915
366.9,208.8,0.31956,0.8983,0.3252,0.914
367,209.1,0.31973,0.8985,0.3249,0.913
367.1,209.4,0.31993,0.8986,0.3243,0.911
367.2,209.7,0.3201,0.8988,0.3239,0.91
367.3,210,0.32024,0.8989,0.3246,0.911
367.4,210.3,0.32039,0.8991,0.3249,0.912
367.5,210.6,0.32059,0.8992,0.3246,0.91
367.6,210.9,0.32081,0.8994,0.3246,0.91
367.7,211.2,0.32091,0.8995,0.3255,0.912
367.8,211.5,0.32085,0.8997,0.3268,0.916
367.9,211.8,0.32095,0.8998,0.3278,0.919
368,212.1,0.32138,0.9,0.3274,0.917
368.1,212.5,0.32177,0.9001,0.3258,0.911
368.2,212.8,0.32181,0.9002,0.3255,0.911
368.3,213.1,0.32171,0.9004,0.3268,0.915
368.4,213.4,0.32169,0.9005,0.3278,0.918
368.5,213.7,0.32187,0.9007,0.3278,0.917
368.6,214,0.3222,0.9008,0.3268,0.914
368.7,214.3,0.32243,0.901,0.3262,0.911
368.8,214.6,0.32244,0.9011,0.3265,0.912
368.9,214.9,0.32244,0.9013,0.3271,0.914
369,215.2,0.32254,0.9014,0.3271,0.914
369.1,215.5,0.32265,0.9016,0.3268,0.913
369.2,215.8,0.32277,0.9017,0.3268,0.913
369.3,216.1,0.32306,0.9019,0.3268,0.912
369.4,216.4,0.3235,0.902,0.3274,0.913
369.5,216.7,0.32387,0.9022,0.3281,0.914
369.6,217,0.32401,0.9023,0.3278,0.913
369.7,217.3,0.32392,0.9024,0.3274,0.912
369.8,217.7,0.3237,0.9026,0.3262,0.909
369.9,218,0.32358,0.9027,0.3246,0.905
370,218.3,0.32367,0.9029,0.3249,0.906
370.1,218.6,0.32394,0.903,0.3262,0.909
370.2,218.9,0.32431,0.9032,0.3268,0.91
370.3,219.2,0.3246,0.9033,0.3258,0.907
370.4,219.5,0.32479,0.9035,0.3249,0.904
370.5,219.8,0.32494,0.9036,0.3252,0.904
370.6,220.1,0.32511,0.9038,0.3258,0.906
370.7,220.4,0.32536,0.9039,0.3265,0.907
370.8,220.7,0.32556,0.904,0.3262,0.906
370.9,221,0.32557,0.9042,0.3255,0.904
371,221.3,0.32556,0.9043,0.3268,0.908
371.1,221.6,0.32583,0.9045,0.3284,0.912
371.2,221.9,0.32612,0.9046,0.3287,0.912
371.3,222.2,0.32604,0.9048,0.3287,0.912
371.4,222.6,0.32585,0.9049,0.3287,0.913
371.5,222.9,0.32602,0.9051,0.3291,0.913
371.6,223.2,0.3264,0.9052,0.3291,0.913
371.7,223.5,0.32665,0.9054,0.3284,0.91
371.8,223.8,0.3267,0.9055,0.3284,0.91
371.9,224.1,0.32663,0.9056,0.3294,0.913
372,224.4,0.32665,0.9058,0.33,0.915
372.1,224.7,0.32693,0.9059,0.33,0.915
372.2,225,0.32714,0.9061,0.3287,0.91
372.3,225.3,0.32697,0.9062,0.3271,0.907
372.4,225.6,0.32677,0.9064,0.3274,0.908
372.5,225.9,0.32698,0.9065,0.3287,0.911
372.6,226.2,0.32737,0.9066,0.3297,0.913
372.7,226.5,0.32763,0.9068,0.3297,0.913
372.8,226.8,0.32766,0.9069,0.3287,0.91
372.9,227.1,0.32753,0.9071,0.3281,0.909
373,227.4,0.32757,0.9072,0.3287,0.91
373.1,227.7,0.32801,0.9074,0.3297,0.912
373.2,228,0.32851,0.9075,0.3304,0.913
373.3,228.3,0.32875,0.9077,0.3304,0.912
373.4,228.6,0.32886,0.9078,0.3287,0.907
373.5,228.9,0.32903,0.9079,0.3274,0.904
373.6,229.2,0.32925,0.9081,0.3274,0.903
373.7,229.5,0.32946,0.9082,0.3281,0.904
373.8,229.9,0.32956,0.9084,0.3291,0.907
373.9,230.2,0.32951,0.9085,0.3294,0.908
374,230.5,0.32949,0.9087,0.3291,0.907
374.1,230.8,0.3296,0.9088,0.3291,0.907
