Time,Mass,HRR
[s],[g],[kW/m2]
490,16.62,453.8
491,16.501,448.4
492,16.385,440.6
493,16.269,435.1
494,16.155,430.9
495,16.042,420.5
496,15.93,415.7
497,15.819,406.8
498,15.709,402
499,15.6,400.6
500,15.493,396.6
501,15.386,391.9
502,15.281,390.9
503,15.177,383.1
504,15.074,379.4
505,14.972,370.8
506,14.871,367
507,14.771,360.8
508,14.673,350.6
509,14.575,344.7
510,14.479,340.1
511,14.384,330.6
512,14.289,325.1
513,14.196,319.3
514,14.104,317.5
515,14.012,312.7
516,13.922,306.7
517,13.833,304.4
518,13.745,301.5
519,13.657,297
520,13.571,295.6
521,13.485,290
522,13.401,286.8
523,13.317,286.1
524,13.234,279
525,13.153,275.8
526,13.072,272
527,12.992,266.3
528,12.912,263.3
529,12.834,259.7
530,12.756,251.7
531,12.68,249.5
532,12.604,247.6
533,12.529,243.2
534,12.454,240.2
535,12.38,237
536,12.307,236.7
537,12.235,233.8
538,12.163,233.6
539,12.092,233
540,12.022,232
541,11.952,227.8
542,11.883,226.8
543,11.815,224.2
544,11.747,222
545,11.68,219.7
546,11.613,217.2
547,11.547,216
548,11.482,215.1
549,11.417,210.3
550,11.352,209.5
551,11.288,206.5
552,11.225,204.9
553,11.162,202.4
554,11.099,200.2
555,11.037,200.5
556,10.976,198.6
557,10.915,198
558,10.854,197.6
559,10.794,194.9
560,10.734,194.5
561,10.674,192.5
562,10.616,191.8
563,10.557,192.6
564,10.499,191.3
565,10.441,190.2
566,10.384,189.7
567,10.327,187.6
568,10.27,185.3
569,10.213,182.6
570,10.157,181.1
571,10.102,179.7
572,10.046,178.8
573,9.992,177.6
574,9.937,176.6
575,9.883,174.7
576,9.829,175.6
577,9.775,173.5
578,9.722,173.3
579,9.668,174
580,9.615,173.5
581,9.563,171.1
582,9.511,169
583,9.458,164.9
584,9.407,164.7
585,9.355,163.5
586,9.304,164.3
587,9.253,164.8
588,9.203,166.1
589,9.152,166.1
590,9.102,165.3
591,9.052,164.8
592,9.002,164.3
593,8.953,163.9
594,8.904,162.5
595,8.854,161.5
596,8.806,161.1
597,8.757,162.5
598,8.709,160.7
599,8.66,159.1
600,8.612,159.3
601,8.565,158.5
602,8.517,157.2
603,8.469,157.2
604,8.422,155.2
605,8.375,153.9
606,8.328,150.9
607,8.282,150.2
608,8.235,148.5
609,8.189,145.9
610,8.142,144.1
611,8.096,142.6
612,8.05,142.7
613,8.005,142.5
614,7.959,140.7
615,7.914,140.6
616,7.868,139.5
617,7.823,140.6
618,7.778,141.1
619,7.734,140.7
620,7.689,140.1
621,7.645,141.7
622,7.6,141.3
623,7.556,139.8
624,7.513,138.5
625,7.469,137.5
626,7.425,136
627,7.382,134.8
628,7.338,134.8
629,7.295,135.3
630,7.253,133.2
631,7.21,131.9
632,7.167,131.5
633,7.125,130.7
634,7.083,129.5
635,7.041,129.7
636,6.999,130.1
637,6.958,132
638,6.916,131.7
639,6.875,130.9
640,6.835,130.1
641,6.794,129.9
642,6.753,127.8
643,6.713,126.3
644,6.673,125.1
645,6.633,125.7
646,6.594,125.8
647,6.554,124.4
648,6.515,123.3
649,6.476,122.6
650,6.438,121.3
651,6.399,119.4
652,6.361,118.6
653,6.323,117.2
654,6.285,118.5
655,6.248,117.3
656,6.211,118.2
657,6.175,116.6
658,6.138,116.4
659,6.102,116.3
660,6.066,116.8
661,6.03,116.7
662,5.995,116.8
663,5.96,115.3
664,5.925,115.7
665,5.891,114.4
666,5.857,114.7
667,5.823,112.7
668,5.789,111.5
669,5.756,110
670,5.723,109.4
671,5.691,107.7
672,5.658,106.5
673,5.626,107.2
674,5.595,106
675,5.563,105.6
676,5.532,104.5
677,5.501,103.8
678,5.471,103.6
679,5.44,103.2
680,5.411,103.8
681,5.381,104.3
682,5.352,104
683,5.323,104.2
684,5.294,103.3
685,5.265,101.9
686,5.237,101.6
687,5.209,101.3
688,5.182,100.7
689,5.154,101.1
690,5.127,99
691,5.1,99.3
692,5.074,98.9
693,5.048,96.6
694,5.022,95.8
695,4.996,95.7
696,4.971,93.1
697,4.946,93.2
698,4.922,91.1
699,4.897,91.1
700,4.873,90.3
701,4.849,88.8
702,4.825,88
703,4.802,86.8
704,4.779,87.3
705,4.756,85.8
706,4.734,85.1
707,4.712,83.4
708,4.69,83.1
709,4.668,82.5
710,4.646,81.5
711,4.625,82.7
712,4.604,81.8
713,4.583,81.5
714,4.562,80.6
715,4.542,81.1
716,4.522,80.1
717,4.502,79.9
718,4.482,78.5
719,4.463,77.2
720,4.443,75.8
721,4.424,75.3
722,4.405,74.2
723,4.387,72.6
724,4.368,73
725,4.35,71.5
726,4.332,71.3
727,4.314,71.4
728,4.296,69
729,4.278,69.5
730,4.261,68.3
731,4.244,68.6
732,4.227,68
733,4.21,67.3
734,4.193,66.1
735,4.176,66
736,4.16,64.9
737,4.144,65.5
738,4.128,64.1
739,4.112,63.4
740,4.095,62.8
741,4.08,63
742,4.064,62.8
743,4.048,62.4
744,4.033,60.6
745,4.018,61.3
746,4.002,60.8
747,3.987,61.5
748,3.972,61.3
749,3.957,61.5
750,3.942,61.1
751,3.927,59.9
752,3.913,59.2
753,3.898,59.3
754,3.883,58.6
755,3.868,59.1
756,3.854,57.6
757,3.839,56.9
758,3.825,56.8
759,3.81,55.6
760,3.797,55.7
761,3.782,56.3
762,3.768,56
763,3.754,54.3
764,3.739,54.3
765,3.725,54.1
766,3.711,54.7
767,3.697,54
768,3.683,54
769,3.669,53.8
770,3.655,53.1
771,3.641,53.3
772,3.627,52.2
773,3.613,52.7
774,3.6,51.6
775,3.586,51.1
776,3.572,51.1
777,3.559,51.1
778,3.545,51
779,3.532,50.5
780,3.518,50.6
781,3.504,50
782,3.491,50
783,3.477,48.8
784,3.464,48.9
785,3.451,48.9
786,3.437,48.9
787,3.424,48.3
788,3.411,48.4
789,3.398,47.3
790,3.385,47.3
791,3.372,47.3
792,3.359,47.2
793,3.346,47.4
794,3.333,46.7
795,3.32,46.1
796,3.307,46
797,3.295,45.6
798,3.282,44.4
799,3.269,45.1
800,3.257,45.2
801,3.244,44.2
802,3.232,44.8
803,3.22,44
804,3.207,43.9
805,3.195,44.1
806,3.183,45.1
807,3.171,44.5
808,3.159,45
809,3.146,44.4
810,3.134,44.4
811,3.123,44
812,3.11,44
813,3.099,43.3
814,3.087,42.3
815,3.075,42.4
816,3.064,41.7
817,3.052,41.3
818,3.04,41.3
819,3.029,40
820,3.017,39.4
821,3.006,39.3
822,2.995,38.9
823,2.983,38.4
824,2.972,37.7
825,2.961,37.3
826,2.95,37.2
827,2.939,37.2
828,2.928,37.3
829,2.917,37.8
830,2.906,39
831,2.895,38.4
832,2.884,37.8
833,2.873,37.4
834,2.862,37.5
835,2.851,36.4
836,2.841,36.3
837,2.83,35.7
838,2.819,35.8
839,2.809,35.9
840,2.798,35.3
841,2.788,35.9
842,2.778,35.2
843,2.767,35.3
844,2.757,35.2
845,2.747,35.7
846,2.737,34
847,2.727,33.4
848,2.717,33.9
849,2.707,33.5
850,2.697,33.5
851,2.688,33
852,2.678,33
853,2.669,32.4
854,2.659,32.4
855,2.65,33.1
856,2.641,32.5
857,2.632,32
858,2.623,32
859,2.614,32
860,2.605,31.4
861,2.597,30.8
862,2.588,31.3
863,2.58,31.3
864,2.572,30.8
865,2.564,30.8
866,2.556,30.8
867,2.548,31.4
868,2.541,30.2
869,2.533,29.8
870,2.526,30.3
871,2.518,30.1
872,2.511,30.2
873,2.504,31.4
874,2.498,31.3
875,2.491,29.5
876,2.485,30.1
877,2.478,29.5
878,2.472,29
879,2.466,28.5
880,2.46,28.4
881,2.454,26.9
882,2.448,26.4
883,2.443,26.3
884,2.438,25.7
885,2.433,24.4
886,2.428,24.4
887,2.423,24.4
888,2.418,24.4
889,2.413,23.9
890,2.409,23.3
891,2.404,23.9
892,2.4,23.2
893,2.396,22.6
894,2.392,22.6
895,2.388,22.6
896,2.384,22
897,2.38,21.6
898,2.377,21
899,2.373,21.6
900,2.369,21
901,2.366,19.3
902,2.362,20
903,2.359,20.1
904,2.356,19.9
905,2.353,21
906,2.35,21.1
907,2.347,21.1
908,2.343,21.1
909,2.341,20.6
910,2.338,20.6
911,2.335,21.3
912,2.332,21.8
913,2.329,21.3
914,2.326,21.3
915,2.323,21.3
916,2.32,20.6
917,2.317,19.9
918,2.315,19.3
919,2.312,19.3
920,2.309,19.3
921,2.306,19.3
922,2.303,18.8
923,2.301,18.3
924,2.298,18.4
925,2.295,17.3
926,2.292,16.6
927,2.29,16.6
928,2.287,16
929,2.284,16
930,2.281,15.3
931,2.278,15.3
932,2.276,16.6
933,2.273,17.3
934,2.271,16.1
935,2.268,16.1
936,2.265,16.1
937,2.263,16.1
938,2.26,14.9
939,2.257,14.9
940,2.255,14.9
941,2.252,14.8
942,2.25,14.8
943,2.247,14.8
944,2.245,14.2
945,2.243,13.8
946,2.24,14.4
947,2.238,13.9
948,2.236,13.9
949,2.234,13.8
950,2.232,14.3
951,2.23,13.8
952,2.228,13.8
953,2.226,13.6
954,2.224,13.6
955,2.222,13.8
956,2.22,12.6
957,2.219,12.5
958,2.218,12.5
959,2.216,12.5
960,2.215,11.4
961,2.214,11.4
962,2.213,10.8
963,2.212,10.8
964,2.211,10.2
965,2.21,10.2
966,2.209,9.1
967,2.209,9.1
968,2.208,8.6
969,2.208,8.5
970,2.207,8
971,2.207,8.5
972,2.206,7.4
973,2.206,7.4
974,2.205,7.4
975,2.205,7.4
976,2.204,8.6
977,2.204,9.2
978,2.204,8.6
979,2.204,7.4
980,2.203,6.8
981,2.203,7.4
982,2.203,6.8
983,2.203,7.4
984,2.203,6.8
985,2.203,7.4
986,2.204,8
987,2.204,8.1
988,2.205,6.8
989,2.206,7.5
990,2.206,7.4
991,2.207,6.8
992,2.209,6.9
993,2.21,7.5
994,2.211,7.5
995,2.213,7.5
996,2.214,6.3
997,2.215,6.3
998,2.217,6.9
999,2.218,6.3
1000,2.22,6.8
1001,2.221,6.8
1002,2.222,6.9
1003,2.224,6.4
1004,2.225,7.5
1005,2.226,6.9
1006,2.227,6.8
1007,2.227,6.8
1008,2.228,7.4
1009,2.228,6.3
1010,2.227,5.7
1011,2.226,6.8
1012,2.224,7.4
1013,2.221,6.8
1014,2.217,8
1015,2.212,8
1016,2.205,9.2
1017,2.196,9.2
1018,2.185,9.1
1019,2.172,9.1
1020,2.157,9.8
1021,2.141,9.2
1022,2.124,9.2
1023,2.11,9.8
1024,2.1,9.2
1025,2.1,9.1
1026,2.1,9.1
1027,2.1,9.1
1028,2.1,9.1
1029,2.1,9.7
1030,2.1,9.7
