Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
1567.2,335.1,0.058,0.078,0.137
1577.4,335.6,0.058,0.076,0.134
1587.6,336.1,0.058,0.074,0.132
1597.2,336.6,0.058,0.071,0.129
1607.4,337.1,0.058,0.069,0.127
1617.6,337.6,0.058,0.067,0.125
1627.2,338.1,0.058,0.064,0.122
1637.4,338.6,0.058,0.062,0.12
1647,339.1,0.058,0.06,0.118
1657.2,339.6,0.058,0.058,0.116
1667.4,340.1,0.058,0.055,0.114
1677,340.6,0.058,0.053,0.112
1687.2,341.1,0.058,0.051,0.109
1697.4,341.6,0.058,0.049,0.107
1707,342.1,0.058,0.047,0.105
1717.2,342.6,0.059,0.045,0.103
1726.8,343.1,0.059,0.043,0.102
1737,343.6,0.059,0.041,0.1
1747.2,344.1,0.059,0.039,0.098
1756.8,344.6,0.059,0.037,0.096
1767,345.1,0.059,0.036,0.094
1777.2,345.6,0.059,0.034,0.093
1786.8,346.1,0.059,0.032,0.091
1797,346.6,0.059,0.031,0.09
1807.2,347.1,0.059,0.029,0.088
1816.8,347.6,0.059,0.028,0.087
1827,348.1,0.059,0.026,0.085
1837.2,348.6,0.059,0.025,0.084
1846.8,349.1,0.059,0.023,0.082
1857,349.6,0.059,0.022,0.081
1867.2,350.1,0.059,0.02,0.08
1876.8,350.6,0.06,0.019,0.079
1887,351.1,0.06,0.018,0.078
1897.2,351.6,0.06,0.017,0.077
1906.8,352.1,0.06,0.016,0.075
1917,352.6,0.06,0.015,0.074
1927.2,353.1,0.06,0.014,0.074
1936.8,353.6,0.06,0.013,0.073
1947,354.1,0.06,0.012,0.072
1957.2,354.6,0.06,0.011,0.071
1966.8,355.1,0.06,0.01,0.07
1977,355.6,0.06,0.009,0.069
1987.2,356.1,0.06,0.008,0.069
1996.8,356.6,0.061,0.008,0.068
2007,357.1,0.061,0.007,0.068
2017.2,357.6,0.061,0.006,0.067
2026.8,358.1,0.061,0.006,0.067
2037,358.6,0.061,0.005,0.066
2047.2,359.1,0.061,0.005,0.066
2056.8,359.6,0.061,0.004,0.065
2067,360.1,0.061,0.004,0.065
2076.6,360.6,0.061,0.003,0.065
2086.8,361.1,0.061,0.003,0.064
2097,361.6,0.062,0.002,0.064
2106.6,362.1,0.062,0.002,0.064
2116.8,362.6,0.062,0.002,0.063
2127,363.1,0.062,0.001,0.063
2136.6,363.6,0.062,0.001,0.063
2146.8,364.1,0.062,0.001,0.063
2157,364.6,0.062,0.001,0.063
2166.6,365.1,0.062,0,0.063
2176.8,365.6,0.062,0,0.063
2187,366.1,0.063,0,0.063
2196.6,366.6,0.063,0,0.062
2206.8,367.1,0.063,0,0.062
2217,367.6,0.063,-0.001,0.062
2226.6,368.1,0.063,-0.001,0.062
2236.8,368.6,0.063,-0.001,0.062
2247,369.1,0.063,-0.001,0.062
2256.6,369.6,0.064,-0.001,0.062
2266.8,370.1,0.064,-0.001,0.062
2277,370.6,0.064,-0.001,0.063
2286.6,371.1,0.064,-0.001,0.063
2296.8,371.6,0.064,-0.001,0.063
2307,372.1,0.064,-0.001,0.063
2316.6,372.6,0.064,-0.001,0.063
2326.8,373.1,0.064,-0.001,0.063
2337,373.6,0.065,-0.002,0.063
2346.6,374.1,0.065,-0.002,0.063
2356.8,374.6,0.065,-0.002,0.063
2367,375.1,0.065,-0.002,0.063
2376.6,375.6,0.065,-0.002,0.063
2386.8,376.1,0.065,-0.002,0.063
2397,376.6,0.065,-0.002,0.063
2406.6,377.1,0.065,-0.002,0.063
2416.8,377.6,0.065,-0.002,0.063
2427,378.1,0.065,-0.002,0.063
2436.6,378.6,0.065,-0.002,0.063
2446.8,379.1,0.066,-0.002,0.063
2457,379.6,0.066,-0.002,0.063
2466.6,380.1,0.066,-0.002,0.064
2476.8,380.6,0.066,-0.002,0.064
2487,381.1,0.066,-0.002,0.064
2496.6,381.6,0.066,-0.002,0.064
2506.8,382.1,0.066,-0.002,0.064
2517,382.6,0.067,-0.002,0.064
2526.6,383.1,0.067,-0.002,0.064
2536.8,383.6,0.067,-0.002,0.064
2547,384.1,0.067,-0.002,0.065
2556.6,384.6,0.067,-0.002,0.065
2566.8,385.1,0.067,-0.002,0.065
2577,385.6,0.067,-0.002,0.065
2586.6,386.1,0.068,-0.002,0.065
2596.8,386.6,0.068,-0.002,0.065
2607,387.1,0.068,-0.002,0.065
2616.6,387.6,0.068,-0.002,0.066
2626.8,388.1,0.068,-0.002,0.066
2637,388.6,0.068,-0.002,0.066
2646.6,389.1,0.068,-0.002,0.066
2656.8,389.6,0.068,-0.002,0.066
2667,390.1,0.069,-0.002,0.066
2677.2,390.6,0.069,-0.002,0.066
2686.8,391.1,0.069,-0.002,0.066
2697,391.6,0.069,-0.002,0.067
2706.6,392.1,0.069,-0.002,0.067
2716.8,392.6,0.069,-0.002,0.067
2727,393.1,0.069,-0.002,0.067
2736.6,393.6,0.069,-0.002,0.067
2746.8,394.1,0.07,-0.002,0.067
2757,394.6,0.07,-0.002,0.067
2766.6,395.1,0.07,-0.002,0.068
2776.8,395.6,0.07,-0.002,0.068
2787,396.1,0.07,-0.002,0.068
2797.2,396.6,0.07,-0.002,0.068
2806.8,397.1,0.07,-0.002,0.068
2817,397.6,0.071,-0.002,0.068
2827.2,398.1,0.071,-0.002,0.068
2836.8,398.6,0.071,-0.002,0.069
2847,399.1,0.071,-0.002,0.069
2857.2,399.6,0.071,-0.002,0.069
2866.8,400.1,0.071,-0.002,0.069
2877,400.6,0.072,-0.002,0.069
2887.2,401.1,0.072,-0.002,0.07
2896.8,401.6,0.072,-0.002,0.07
2907,402.1,0.072,-0.002,0.07
2917.2,402.6,0.072,-0.002,0.07
2926.8,403.1,0.072,-0.002,0.07
2937,403.6,0.072,-0.002,0.07
2947.2,404.1,0.073,-0.002,0.07
2956.8,404.6,0.073,-0.002,0.071
2967,405.1,0.073,-0.002,0.071
2977.2,405.6,0.073,-0.002,0.071
2986.8,406.1,0.073,-0.002,0.071
2997,406.6,0.073,-0.002,0.071
3007.2,407.1,0.073,-0.002,0.071
3016.8,407.6,0.073,-0.002,0.072
3027,408.1,0.073,-0.002,0.072
3037.2,408.6,0.074,-0.002,0.072
3046.8,409.1,0.074,-0.002,0.072
3057,409.6,0.074,-0.002,0.072
3067.2,410.1,0.074,-0.001,0.073
3076.8,410.6,0.074,-0.001,0.073
3087,411.1,0.074,-0.001,0.073
3097.2,411.6,0.074,-0.001,0.073
3106.8,412.1,0.075,-0.001,0.074
3117,412.6,0.075,-0.001,0.074
3127.2,413.1,0.075,-0.001,0.074
3136.8,413.6,0.075,-0.001,0.074
3147,414.1,0.075,-0.001,0.075
3157.2,414.6,0.075,-0.001,0.075
3166.8,415.1,0.075,0,0.075
3177,415.6,0.076,0,0.075
3187.2,416.1,0.076,0,0.075
3196.8,416.6,0.076,0,0.076
3207,417.1,0.076,0,0.076
3217.2,417.6,0.076,0,0.076
3226.8,418.1,0.076,0,0.076
3237,418.6,0.076,0,0.077
3247.2,419.1,0.076,0,0.077
3256.8,419.6,0.077,0.001,0.077
3267,420.1,0.077,0.001,0.077
3277.2,420.6,0.077,0.001,0.078
3286.8,421.1,0.077,0.001,0.078
3297,421.6,0.077,0.001,0.078
3307.2,422.1,0.077,0.001,0.078
3316.8,422.6,0.077,0.001,0.079
3327,423.1,0.077,0.001,0.079
3337.2,423.6,0.078,0.001,0.079
3346.8,424.1,0.078,0.002,0.079
3357,424.6,0.078,0.002,0.08
3367.2,425.1,0.078,0.002,0.08
3376.8,425.6,0.078,0.002,0.08
3387,426.1,0.078,0.002,0.08
3397.2,426.6,0.078,0.002,0.08
3406.8,427.1,0.078,0.002,0.081
3417,427.6,0.079,0.002,0.081
3427.2,428.1,0.079,0.003,0.081
3436.8,428.6,0.079,0.003,0.081
3447,429.1,0.079,0.003,0.082
3457.2,429.6,0.079,0.003,0.082
3466.8,430.1,0.079,0.003,0.082
3477,430.6,0.079,0.003,0.083
3487.2,431.1,0.079,0.003,0.083
3497.4,431.6,0.08,0.004,0.083
3507,432.1,0.08,0.004,0.083
3517.2,432.6,0.08,0.004,0.084
3527.4,433.1,0.08,0.004,0.084
3537,433.6,0.08,0.004,0.084
3547.2,434.1,0.08,0.004,0.085
3557.4,434.6,0.08,0.005,0.085
3567,435.1,0.081,0.005,0.085
3577.2,435.6,0.081,0.005,0.086
3587.4,436.1,0.081,0.005,0.086
3597,436.6,0.081,0.005,0.086
3607.2,437.1,0.081,0.005,0.086
3617.4,437.6,0.081,0.006,0.087
3627,438.1,0.081,0.006,0.087
3637.2,438.6,0.081,0.006,0.087
3647.4,439.1,0.081,0.006,0.088
3657,439.6,0.082,0.006,0.088
3667.2,440.1,0.082,0.007,0.088
3677.4,440.6,0.082,0.007,0.089
3687,441.1,0.082,0.007,0.089
3697.2,441.6,0.082,0.007,0.089
3707.4,442.1,0.082,0.008,0.09
3717,442.6,0.082,0.008,0.09
3727.2,443.1,0.082,0.008,0.09
3737.4,443.6,0.082,0.008,0.091
3747,444.1,0.083,0.008,0.091
3757.2,444.6,0.083,0.009,0.091
3767.4,445.1,0.083,0.009,0.092
3777,445.6,0.083,0.009,0.092
3787.2,446.1,0.083,0.009,0.092
3797.4,446.6,0.083,0.01,0.093
3807,447.1,0.083,0.01,0.093
3817.2,447.6,0.083,0.01,0.093
3827.4,448.1,0.083,0.01,0.094
3837,448.6,0.083,0.011,0.094
3847.2,449.1,0.084,0.011,0.095
3857.4,449.6,0.084,0.011,0.095
3867,450.1,0.084,0.012,0.095
3877.2,450.6,0.084,0.012,0.096
3887.4,451.1,0.084,0.012,0.096
3897,451.6,0.084,0.012,0.096
3907.2,452.1,0.084,0.013,0.097
3917.4,452.6,0.084,0.013,0.097
3927,453.1,0.084,0.013,0.097
3937.2,453.6,0.084,0.013,0.098
3947.4,454.1,0.084,0.014,0.098
3957,454.6,0.085,0.014,0.098
3967.2,455.1,0.085,0.014,0.099
3977.4,455.6,0.085,0.014,0.099
3987.6,456.1,0.085,0.014,0.099
3997.2,456.6,0.085,0.015,0.1
4007.4,457.1,0.085,0.015,0.1
4017.6,457.6,0.085,0.015,0.1
4027.2,458.1,0.085,0.015,0.101
4037.4,458.6,0.085,0.016,0.101
4047,459.1,0.085,0.016,0.101
4057.2,459.6,0.085,0.016,0.102
4067.4,460.1,0.085,0.016,0.102
4077,460.6,0.086,0.017,0.102
4087.2,461.1,0.086,0.017,0.102
4097.4,461.6,0.086,0.017,0.103
4107.6,462.1,0.086,0.017,0.103
4117.2,462.6,0.086,0.017,0.103
4127.4,463.1,0.086,0.017,0.103
4137.6,463.6,0.086,0.018,0.104
4147.2,464.1,0.086,0.018,0.104
4157.4,464.6,0.086,0.018,0.104
4167.6,465.1,0.086,0.018,0.104
4177.2,465.6,0.086,0.018,0.105
4187.4,466.1,0.086,0.018,0.105
4197.6,466.6,0.086,0.019,0.105
4207.2,467.1,0.087,0.019,0.105
9594.6,277.3,0.039,0.001,0.04
9605.4,277.8,0.04,0.001,0.04
9616.2,278.3,0.04,0.001,0.041
9628.2,278.8,0.04,0.001,0.041
9640.2,279.3,0.039,0.002,0.041
9652.2,279.8,0.039,0.001,0.041
9664.2,280.3,0.039,0.001,0.04
9676.2,280.8,0.039,0.001,0.04
9687,281.3,0.039,0.001,0.04
9697.8,281.8,0.04,0.001,0.04
9708.6,282.3,0.04,0.001,0.04
9718.8,282.8,0.04,0.001,0.041
9729.6,283.3,0.04,0.001,0.041
9739.8,283.8,0.04,0.001,0.041
9750,284.3,0.04,0.001,0.041
9760.2,284.8,0.04,0.001,0.041
9770.4,285.3,0.04,0.001,0.041
9780.6,285.8,0.04,0.001,0.041
9790.2,286.3,0.04,0.001,0.041
9800.4,286.8,0.041,0.001,0.042
9810.6,287.3,0.041,0.001,0.042
9820.8,287.8,0.041,0.001,0.042
9830.4,288.3,0.041,0.001,0.042
9840.6,288.8,0.041,0.001,0.042
9850.8,289.3,0.041,0.001,0.042
9860.4,289.8,0.041,0.001,0.042
9870.6,290.3,0.041,0.001,0.042
9880.8,290.8,0.041,0.001,0.042
9890.4,291.3,0.041,0.001,0.042
9900.6,291.8,0.041,0.001,0.042
9910.8,292.3,0.041,0.001,0.042
9920.4,292.8,0.041,0.001,0.042
9930.6,293.3,0.041,0.001,0.042
9940.8,293.8,0.041,0.001,0.043
9950.4,294.3,0.042,0.001,0.043
9960.6,294.8,0.042,0.001,0.043
9970.8,295.3,0.042,0.001,0.043
9980.4,295.8,0.042,0.001,0.043
9990.6,296.3,0.042,0.001,0.043
10000.8,296.8,0.042,0.001,0.043
10010.4,297.3,0.042,0.001,0.043
10020.6,297.8,0.042,0.001,0.043
10030.8,298.3,0.042,0.001,0.043
10040.4,298.8,0.042,0.001,0.043
10050.6,299.3,0.042,0.001,0.043
10060.8,299.8,0.042,0.001,0.044
10070.4,300.3,0.042,0.001,0.044
10080.6,300.8,0.043,0.001,0.044
10090.8,301.3,0.043,0.001,0.044
10100.4,301.8,0.043,0.001,0.044
10110.6,302.3,0.043,0.001,0.044
10120.8,302.8,0.043,0.001,0.044
10130.4,303.3,0.043,0.001,0.044
10140.6,303.8,0.043,0.001,0.044
10150.8,304.3,0.043,0.001,0.044
10160.4,304.8,0.043,0.001,0.044
10170.6,305.3,0.043,0.001,0.045
10180.8,305.8,0.043,0.001,0.045
10190.4,306.3,0.043,0.001,0.045
10200.6,306.8,0.043,0.001,0.045
10210.8,307.3,0.044,0.001,0.045
10220.4,307.8,0.044,0.001,0.045
10230.6,308.3,0.044,0.001,0.045
10240.8,308.8,0.044,0.001,0.045
10250.4,309.3,0.044,0.001,0.045
10260.6,309.8,0.044,0.001,0.045
10270.8,310.3,0.044,0.001,0.045
10280.4,310.8,0.044,0.001,0.045
10290.6,311.3,0.044,0.001,0.046
10300.8,311.8,0.044,0.001,0.046
10310.4,312.3,0.044,0.001,0.046
10320.6,312.8,0.044,0.001,0.046
10330.8,313.3,0.044,0.001,0.046
10340.4,313.8,0.045,0.001,0.046
10350.6,314.3,0.045,0.001,0.046
10360.8,314.8,0.045,0.001,0.046
10370.4,315.3,0.045,0.001,0.046
10380.6,315.8,0.045,0.001,0.046
10390.8,316.3,0.045,0.001,0.046
10400.4,316.8,0.045,0.001,0.047
10410.6,317.3,0.045,0.001,0.047
10420.8,317.8,0.045,0.002,0.047
10430.4,318.3,0.045,0.002,0.047
10440.6,318.8,0.045,0.002,0.047
10450.8,319.3,0.046,0.002,0.047
10460.4,319.8,0.046,0.002,0.047
10470.6,320.3,0.046,0.002,0.047
10480.8,320.8,0.046,0.002,0.047
10490.4,321.3,0.046,0.002,0.047
10500.6,321.8,0.046,0.002,0.048
10510.8,322.3,0.046,0.002,0.048
10520.4,322.8,0.046,0.002,0.048
10530.6,323.3,0.046,0.002,0.048
10540.8,323.8,0.046,0.002,0.048
10550.4,324.3,0.046,0.002,0.048
10560.6,324.8,0.046,0.002,0.048
10570.8,325.3,0.047,0.002,0.048
10580.4,325.8,0.047,0.002,0.048
10590.6,326.3,0.047,0.002,0.048
10600.8,326.8,0.047,0.002,0.048
10610.4,327.3,0.047,0.002,0.049
10620.6,327.8,0.047,0.002,0.049
10630.8,328.3,0.047,0.002,0.049
10640.4,328.8,0.047,0.002,0.049
10650.6,329.3,0.047,0.002,0.049
10660.8,329.8,0.047,0.002,0.049
10670.4,330.3,0.047,0.002,0.049
10680.6,330.8,0.048,0.002,0.049
10690.8,331.3,0.048,0.002,0.049
10701,331.8,0.048,0.002,0.049
10710.6,332.3,0.048,0.002,0.049
10720.8,332.8,0.048,0.002,0.049
10731,333.3,0.048,0.002,0.05
10740.6,333.8,0.048,0.002,0.05
10750.8,334.3,0.048,0.002,0.05
10760.4,334.8,0.048,0.002,0.05
10770.6,335.3,0.048,0.002,0.05
10780.8,335.8,0.048,0.002,0.05
10790.4,336.3,0.049,0.001,0.05
10800.6,336.8,0.049,0.001,0.05
10810.8,337.3,0.049,0.001,0.05
10820.4,337.8,0.049,0.001,0.05
10830.6,338.3,0.049,0.001,0.05
10840.8,338.8,0.049,0.001,0.05
10850.4,339.3,0.049,0.001,0.05
10860.6,339.8,0.049,0.001,0.051
10870.8,340.3,0.049,0.001,0.051
10880.4,340.8,0.049,0.001,0.051
10890.6,341.3,0.05,0.001,0.051
10900.8,341.8,0.05,0.001,0.051
10910.4,342.3,0.05,0.001,0.051
10920.6,342.8,0.05,0.001,0.051
10930.8,343.3,0.05,0.001,0.051
10940.4,343.8,0.05,0.001,0.051
10950.6,344.3,0.05,0.001,0.051
10960.8,344.8,0.05,0.001,0.051
10970.4,345.3,0.05,0.001,0.051
10980.6,345.8,0.05,0.001,0.051
10990.8,346.3,0.051,0.001,0.052
11000.4,346.8,0.051,0.001,0.052
11010.6,347.3,0.051,0.001,0.052
11020.8,347.8,0.051,0.001,0.052
11030.4,348.3,0.051,0.001,0.052
11040.6,348.8,0.051,0.001,0.052
11050.8,349.3,0.051,0.001,0.052
11060.4,349.8,0.051,0.001,0.052
11070.6,350.3,0.051,0.001,0.052
11080.8,350.8,0.051,0.001,0.052
11090.4,351.3,0.052,0.001,0.052
11100.6,351.8,0.052,0.001,0.053
11110.8,352.3,0.052,0.001,0.053
11120.4,352.8,0.052,0.001,0.053
11130.6,353.3,0.052,0.001,0.053
11140.8,353.8,0.052,0.001,0.053
11150.4,354.3,0.052,0.001,0.053
11160.6,354.8,0.052,0.001,0.053
11170.8,355.3,0.052,0.001,0.053
11180.4,355.8,0.053,0.001,0.053
11190.6,356.3,0.053,0.001,0.053
11200.8,356.8,0.053,0.001,0.054
11210.4,357.3,0.053,0.001,0.054
11220.6,357.8,0.053,0.001,0.054
11230.8,358.3,0.053,0.001,0.054
11240.4,358.8,0.053,0.001,0.054
11250.6,359.3,0.053,0.001,0.054
11260.8,359.8,0.053,0.001,0.054
11270.4,360.3,0.053,0.001,0.054
11280.6,360.8,0.054,0.001,0.054
11290.8,361.3,0.054,0.001,0.055
11300.4,361.8,0.054,0.001,0.055
11310.6,362.3,0.054,0.001,0.055
11320.8,362.8,0.054,0.001,0.055
11330.4,363.3,0.054,0.001,0.055
11340.6,363.8,0.054,0.001,0.055
11350.8,364.3,0.054,0.001,0.055
11360.4,364.8,0.054,0.001,0.055
11370.6,365.3,0.054,0.001,0.056
11380.8,365.8,0.055,0.001,0.056
11390.4,366.3,0.055,0.001,0.056
11400.6,366.8,0.055,0.001,0.056
11410.8,367.3,0.055,0.001,0.056
11420.4,367.8,0.055,0.001,0.056
11430.6,368.3,0.055,0.001,0.056
11440.8,368.8,0.055,0.001,0.056
11450.4,369.3,0.055,0.001,0.056
11460.6,369.8,0.055,0.001,0.057
11470.8,370.3,0.056,0.001,0.057
11480.4,370.8,0.056,0.001,0.057
11490.6,371.3,0.056,0.001,0.057
11500.8,371.8,0.056,0.001,0.057
11510.4,372.3,0.056,0.001,0.057
11520.6,372.8,0.056,0.001,0.057
11530.8,373.3,0.056,0.001,0.057
11540.4,373.8,0.056,0.001,0.058
11550.6,374.3,0.056,0.001,0.058
11560.8,374.8,0.056,0.001,0.058
11570.4,375.3,0.056,0.001,0.058
11580.6,375.8,0.056,0.001,0.058
11590.8,376.3,0.057,0.001,0.058
11600.4,376.8,0.057,0.001,0.058
11610.6,377.3,0.057,0.001,0.058
11620.8,377.8,0.057,0.001,0.058
11630.4,378.3,0.057,0.001,0.058
11640.6,378.8,0.057,0.001,0.058
11650.8,379.3,0.057,0.001,0.058
11660.4,379.8,0.057,0.001,0.059
11670.6,380.3,0.058,0.001,0.059
11680.8,380.8,0.058,0.001,0.059
11690.4,381.3,0.058,0.001,0.059
11700.6,381.8,0.058,0.001,0.059
11710.8,382.3,0.058,0.001,0.059
11720.4,382.8,0.058,0.001,0.059
11730.6,383.3,0.058,0.001,0.06
11740.8,383.8,0.058,0.001,0.06
11750.4,384.3,0.059,0.001,0.06
11760.6,384.8,0.059,0.001,0.06
11770.8,385.3,0.059,0.001,0.06
11780.4,385.8,0.059,0.001,0.06
11790.6,386.3,0.059,0.001,0.06
11800.8,386.8,0.059,0.001,0.06
11810.4,387.3,0.059,0.001,0.061
11820.6,387.8,0.059,0.001,0.061
11830.8,388.3,0.059,0.001,0.061
11840.4,388.8,0.06,0.001,0.061
11850.6,389.3,0.06,0.001,0.061
11860.8,389.8,0.06,0.002,0.061
11871,390.3,0.06,0.002,0.061
11880.6,390.8,0.06,0.002,0.062
11890.8,391.3,0.06,0.002,0.062
11901,391.8,0.06,0.002,0.062
11910.6,392.3,0.06,0.002,0.062
11920.8,392.8,0.06,0.002,0.062
11931,393.3,0.061,0.002,0.062
11940.6,393.8,0.061,0.002,0.062
11950.8,394.3,0.061,0.002,0.063
11961,394.8,0.061,0.002,0.063
11970.6,395.3,0.061,0.002,0.063
11980.8,395.8,0.061,0.002,0.063
11991,396.3,0.061,0.002,0.063
12000.6,396.8,0.062,0.002,0.063
12010.8,397.3,0.062,0.002,0.064
12021,397.8,0.062,0.002,0.064
12030.6,398.3,0.062,0.002,0.064
12040.8,398.8,0.062,0.002,0.064
12051,399.3,0.062,0.002,0.064
12060.6,399.8,0.062,0.002,0.064
12070.8,400.3,0.063,0.002,0.065
12081,400.8,0.063,0.002,0.065
12090.6,401.3,0.063,0.002,0.065
12100.8,401.8,0.063,0.002,0.065
12111,402.3,0.063,0.002,0.065
12120.6,402.8,0.063,0.002,0.065
12130.8,403.3,0.063,0.002,0.065
12141,403.8,0.063,0.002,0.066
12150.6,404.3,0.064,0.002,0.066
12160.8,404.8,0.064,0.002,0.066
12171,405.3,0.064,0.002,0.066
12180.6,405.8,0.064,0.002,0.066
12190.8,406.3,0.064,0.002,0.066
12201,406.8,0.064,0.002,0.066
12210.6,407.3,0.064,0.002,0.066
12220.8,407.8,0.064,0.002,0.067
12231,408.3,0.064,0.002,0.067
12240.6,408.8,0.065,0.002,0.067
12250.8,409.3,0.065,0.002,0.067
12261,409.8,0.065,0.002,0.067
12270.6,410.3,0.065,0.002,0.067
12280.8,410.8,0.065,0.002,0.068
12291,411.3,0.065,0.002,0.068
12300.6,411.8,0.065,0.002,0.068
12310.8,412.3,0.065,0.003,0.068
12321,412.8,0.066,0.003,0.068
12330.6,413.3,0.066,0.003,0.068
12340.8,413.8,0.066,0.003,0.069
12351,414.3,0.066,0.003,0.069
12360.6,414.8,0.066,0.003,0.069
12370.8,415.3,0.066,0.003,0.069
12381,415.8,0.066,0.003,0.069
12390.6,416.3,0.066,0.003,0.069
12400.8,416.8,0.067,0.003,0.069
12411,417.3,0.067,0.003,0.07
12420.6,417.8,0.067,0.003,0.07
12430.8,418.3,0.067,0.003,0.07
12441,418.8,0.067,0.003,0.07
12450.6,419.3,0.067,0.003,0.07
12460.8,419.8,0.067,0.003,0.07
12471,420.3,0.067,0.003,0.071
12480.6,420.8,0.068,0.003,0.071
12490.8,421.3,0.068,0.003,0.071
12501,421.8,0.068,0.003,0.071
12510.6,422.3,0.068,0.003,0.071
12520.8,422.8,0.068,0.003,0.071
12531,423.3,0.068,0.003,0.072
12540.6,423.8,0.068,0.003,0.072
12550.8,424.3,0.068,0.004,0.072
12561,424.8,0.069,0.004,0.072
12570.6,425.3,0.069,0.004,0.072
12580.8,425.8,0.069,0.004,0.072
12591,426.3,0.069,0.004,0.073
12600.6,426.8,0.069,0.004,0.073
12610.8,427.3,0.069,0.004,0.073
12621,427.8,0.069,0.004,0.073
12630.6,428.3,0.069,0.004,0.073
12640.8,428.8,0.07,0.004,0.074
12651,429.3,0.07,0.004,0.074
12660.6,429.8,0.07,0.004,0.074
12670.8,430.3,0.07,0.004,0.074
12681,430.8,0.07,0.004,0.074
12690.6,431.3,0.07,0.004,0.074
12700.8,431.8,0.07,0.004,0.075
12711,432.3,0.07,0.004,0.075
12720.6,432.8,0.071,0.004,0.075
12730.8,433.3,0.071,0.004,0.075
12741,433.8,0.071,0.004,0.075
12750.6,434.3,0.071,0.004,0.075
12760.8,434.8,0.071,0.004,0.076
12771,435.3,0.071,0.004,0.076
12780.6,435.8,0.071,0.005,0.076
12790.8,436.3,0.072,0.005,0.076
12801,436.8,0.072,0.005,0.076
12811.2,437.3,0.072,0.005,0.076
12820.8,437.8,0.072,0.005,0.077
12831,438.3,0.072,0.005,0.077
12841.2,438.8,0.072,0.005,0.077
12850.8,439.3,0.072,0.005,0.077
12861,439.8,0.072,0.005,0.077
12871.2,440.3,0.073,0.005,0.078
12880.8,440.8,0.073,0.005,0.078
12891,441.3,0.073,0.005,0.078
