Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
1497,331.35,0.078,0.085,0.163
1507.2,331.85,0.078,0.083,0.161
1516.8,332.35,0.078,0.08,0.159
1527,332.85,0.078,0.078,0.157
1537.2,333.35,0.079,0.076,0.155
1546.8,333.85,0.079,0.074,0.153
1557,334.35,0.079,0.072,0.151
1567.2,334.85,0.08,0.069,0.149
1576.8,335.35,0.08,0.067,0.147
1587,335.85,0.08,0.065,0.145
1597.2,336.35,0.08,0.063,0.143
1606.8,336.85,0.08,0.06,0.141
1617,337.35,0.081,0.058,0.139
1626.6,337.85,0.081,0.056,0.137
1636.8,338.35,0.081,0.054,0.135
1647,338.85,0.081,0.052,0.133
1656.6,339.35,0.082,0.05,0.132
1666.8,339.85,0.082,0.048,0.13
1677,340.35,0.082,0.046,0.128
1686.6,340.85,0.083,0.044,0.127
1696.8,341.35,0.083,0.042,0.125
1707,341.85,0.083,0.04,0.123
1716.6,342.35,0.083,0.038,0.121
1726.8,342.85,0.083,0.037,0.12
1737,343.35,0.083,0.035,0.118
1746.6,343.85,0.083,0.033,0.116
1756.8,344.35,0.083,0.031,0.115
1766.4,344.85,0.084,0.03,0.113
1776.6,345.35,0.084,0.028,0.112
1786.8,345.85,0.084,0.026,0.111
1796.4,346.35,0.084,0.025,0.109
1806.6,346.85,0.085,0.023,0.108
1816.8,347.35,0.085,0.022,0.107
1826.4,347.85,0.085,0.021,0.106
1836.6,348.35,0.085,0.019,0.105
1846.8,348.85,0.086,0.018,0.104
1856.4,349.35,0.086,0.017,0.103
1866.6,349.85,0.086,0.016,0.102
1876.8,350.35,0.086,0.015,0.101
1886.4,350.85,0.087,0.014,0.1
1896.6,351.35,0.087,0.012,0.099
1906.8,351.85,0.087,0.011,0.098
1916.4,352.35,0.087,0.01,0.097
1926.6,352.85,0.087,0.009,0.096
1936.8,353.35,0.087,0.009,0.096
1946.4,353.85,0.087,0.008,0.095
1956.6,354.35,0.087,0.007,0.094
1966.8,354.85,0.087,0.006,0.093
1976.4,355.35,0.087,0.005,0.093
1986.6,355.85,0.088,0.004,0.092
1996.8,356.35,0.088,0.004,0.091
2006.4,356.85,0.088,0.003,0.091
2016.6,357.35,0.088,0.002,0.09
2026.8,357.85,0.088,0.002,0.09
2036.4,358.35,0.088,0.001,0.089
2046.6,358.85,0.088,0.001,0.089
2056.8,359.35,0.088,0,0.088
2066.4,359.85,0.088,0,0.088
2076.6,360.35,0.088,-0.001,0.088
2086.8,360.85,0.089,-0.001,0.087
2096.4,361.35,0.089,-0.001,0.087
2106.6,361.85,0.089,-0.002,0.087
2116.8,362.35,0.089,-0.002,0.087
2126.4,362.85,0.089,-0.003,0.087
2136.6,363.35,0.089,-0.003,0.086
2146.8,363.85,0.089,-0.003,0.086
2156.4,364.35,0.089,-0.003,0.086
2166.6,364.85,0.09,-0.004,0.086
2176.8,365.35,0.09,-0.004,0.086
2186.4,365.85,0.09,-0.004,0.086
2196.6,366.35,0.09,-0.004,0.086
2206.8,366.85,0.09,-0.004,0.086
2216.4,367.35,0.09,-0.004,0.086
2226.6,367.85,0.09,-0.004,0.086
2236.8,368.35,0.091,-0.005,0.086
2246.4,368.85,0.091,-0.005,0.086
2256.6,369.35,0.091,-0.005,0.086
2266.8,369.85,0.091,-0.005,0.086
2276.4,370.35,0.091,-0.005,0.086
2286.6,370.85,0.092,-0.005,0.087
2296.8,371.35,0.092,-0.005,0.087
2306.4,371.85,0.092,-0.005,0.087
2316.6,372.35,0.092,-0.005,0.087
2326.8,372.85,0.092,-0.005,0.086
2336.4,373.35,0.092,-0.005,0.086
2346.6,373.85,0.092,-0.005,0.086
2356.8,374.35,0.091,-0.005,0.086
2366.4,374.85,0.091,-0.006,0.086
2376.6,375.35,0.091,-0.006,0.086
2386.8,375.85,0.091,-0.006,0.086
2396.4,376.35,0.091,-0.006,0.086
2406.6,376.85,0.092,-0.006,0.086
2416.8,377.35,0.092,-0.006,0.086
2426.4,377.85,0.092,-0.006,0.086
2436.6,378.35,0.092,-0.006,0.086
2446.8,378.85,0.092,-0.006,0.086
2456.4,379.35,0.092,-0.006,0.086
2466.6,379.85,0.093,-0.006,0.086
2476.8,380.35,0.093,-0.006,0.086
2486.4,380.85,0.093,-0.006,0.087
2496.6,381.35,0.093,-0.006,0.087
2506.8,381.85,0.093,-0.006,0.087
2516.4,382.35,0.093,-0.006,0.087
2526.6,382.85,0.094,-0.006,0.087
2536.8,383.35,0.094,-0.006,0.087
2546.4,383.85,0.094,-0.006,0.088
2556.6,384.35,0.094,-0.006,0.088
2566.8,384.85,0.094,-0.006,0.088
2576.4,385.35,0.094,-0.006,0.088
2586.6,385.85,0.094,-0.006,0.088
2596.8,386.35,0.095,-0.006,0.088
2606.4,386.85,0.095,-0.007,0.088
2616.6,387.35,0.095,-0.007,0.088
2626.8,387.85,0.095,-0.007,0.089
2636.4,388.35,0.095,-0.007,0.089
2646.6,388.85,0.095,-0.007,0.089
2656.8,389.35,0.096,-0.006,0.089
2666.4,389.85,0.096,-0.006,0.089
2676.6,390.35,0.096,-0.006,0.089
2686.8,390.85,0.096,-0.006,0.089
2696.4,391.35,0.096,-0.006,0.09
2706.6,391.85,0.096,-0.006,0.09
2716.8,392.35,0.096,-0.006,0.09
2726.4,392.85,0.096,-0.006,0.09
2736.6,393.35,0.097,-0.006,0.09
2746.8,393.85,0.097,-0.006,0.09
2756.4,394.35,0.097,-0.006,0.09
2766.6,394.85,0.097,-0.006,0.091
2776.8,395.35,0.097,-0.007,0.091
2786.4,395.85,0.098,-0.007,0.091
2796.6,396.35,0.098,-0.007,0.091
2806.8,396.85,0.098,-0.007,0.091
2816.4,397.35,0.098,-0.007,0.092
2826.6,397.85,0.098,-0.007,0.092
2836.8,398.35,0.099,-0.007,0.092
2846.4,398.85,0.099,-0.007,0.092
2856.6,399.35,0.099,-0.007,0.092
2866.8,399.85,0.099,-0.007,0.092
2876.4,400.35,0.1,-0.007,0.092
2886.6,400.85,0.1,-0.007,0.093
2896.8,401.35,0.1,-0.007,0.093
2906.4,401.85,0.1,-0.007,0.093
2916.6,402.35,0.1,-0.007,0.093
2926.8,402.85,0.101,-0.007,0.093
2936.4,403.35,0.101,-0.007,0.093
2946.6,403.85,0.101,-0.007,0.093
2956.8,404.35,0.101,-0.007,0.093
2966.4,404.85,0.101,-0.007,0.094
2976.6,405.35,0.101,-0.007,0.094
2986.8,405.85,0.101,-0.007,0.094
2996.4,406.35,0.101,-0.007,0.094
3006.6,406.85,0.101,-0.007,0.094
3016.8,407.35,0.101,-0.007,0.094
3026.4,407.85,0.102,-0.007,0.094
3036.6,408.35,0.102,-0.007,0.095
3046.8,408.85,0.102,-0.007,0.095
3056.4,409.35,0.102,-0.007,0.095
3066.6,409.85,0.102,-0.007,0.095
3076.8,410.35,0.102,-0.007,0.096
3086.4,410.85,0.103,-0.007,0.096
3096.6,411.35,0.103,-0.007,0.096
3106.8,411.85,0.103,-0.007,0.096
3116.4,412.35,0.103,-0.007,0.097
3126.6,412.85,0.103,-0.006,0.097
3136.8,413.35,0.103,-0.006,0.097
3146.4,413.85,0.104,-0.006,0.097
3156.6,414.35,0.104,-0.006,0.097
3166.8,414.85,0.104,-0.006,0.098
3176.4,415.35,0.104,-0.006,0.098
3186.6,415.85,0.104,-0.006,0.098
3196.8,416.35,0.104,-0.006,0.098
3206.4,416.85,0.105,-0.006,0.099
3216.6,417.35,0.105,-0.006,0.099
3226.8,417.85,0.105,-0.006,0.099
3236.4,418.35,0.105,-0.006,0.099
3246.6,418.85,0.105,-0.006,0.1
3256.8,419.35,0.105,-0.005,0.1
3266.4,419.85,0.105,-0.005,0.1
3276.6,420.35,0.106,-0.005,0.1
3286.8,420.85,0.106,-0.005,0.101
3296.4,421.35,0.106,-0.005,0.101
3306.6,421.85,0.106,-0.005,0.101
3316.8,422.35,0.106,-0.005,0.101
3326.4,422.85,0.106,-0.005,0.102
3336.6,423.35,0.107,-0.005,0.102
3346.8,423.85,0.107,-0.005,0.102
3356.4,424.35,0.107,-0.005,0.102
3366.6,424.85,0.107,-0.004,0.103
3376.8,425.35,0.107,-0.004,0.103
3386.4,425.85,0.107,-0.004,0.103
3396.6,426.35,0.107,-0.004,0.103
3406.8,426.85,0.108,-0.004,0.104
3416.4,427.35,0.108,-0.004,0.104
3426.6,427.85,0.108,-0.004,0.104
3436.8,428.35,0.108,-0.004,0.104
3446.4,428.85,0.108,-0.003,0.105
3456.6,429.35,0.108,-0.003,0.105
3466.8,429.85,0.108,-0.003,0.105
3476.4,430.35,0.109,-0.003,0.105
3486.6,430.85,0.109,-0.003,0.106
3496.2,431.35,0.109,-0.003,0.106
3506.4,431.85,0.109,-0.003,0.106
3516.6,432.35,0.109,-0.003,0.107
3526.2,432.85,0.109,-0.003,0.107
3536.4,433.35,0.109,-0.002,0.107
3546.6,433.85,0.11,-0.002,0.107
3556.2,434.35,0.11,-0.002,0.108
3566.4,434.85,0.11,-0.002,0.108
3576.6,435.35,0.11,-0.002,0.108
3586.8,435.85,0.11,-0.002,0.109
3596.4,436.35,0.11,-0.001,0.109
3606.6,436.85,0.111,-0.001,0.109
3616.8,437.35,0.111,-0.001,0.11
3626.4,437.85,0.111,-0.001,0.11
3636.6,438.35,0.111,-0.001,0.11
3646.8,438.85,0.111,0,0.111
3656.4,439.35,0.111,0,0.111
3666.6,439.85,0.112,0,0.112
3676.8,440.35,0.112,0,0.112
3686.4,440.85,0.112,0.001,0.112
3696.6,441.35,0.112,0.001,0.113
3706.8,441.85,0.112,0.001,0.113
3716.4,442.35,0.112,0.001,0.113
3726.6,442.85,0.112,0.002,0.114
3736.2,443.35,0.112,0.002,0.114
3746.4,443.85,0.113,0.002,0.114
3756.6,444.35,0.113,0.002,0.115
3766.2,444.85,0.113,0.002,0.115
3776.4,445.35,0.113,0.003,0.115
3786.6,445.85,0.113,0.003,0.116
3796.2,446.35,0.113,0.003,0.116
3806.4,446.85,0.113,0.003,0.117
3816.6,447.35,0.113,0.004,0.117
3826.8,447.85,0.113,0.004,0.117
3836.4,448.35,0.114,0.004,0.118
3846.6,448.85,0.114,0.005,0.118
3856.8,449.35,0.114,0.005,0.119
3866.4,449.85,0.114,0.005,0.119
3876.6,450.35,0.114,0.005,0.119
3886.8,450.85,0.114,0.006,0.12
3896.4,451.35,0.114,0.006,0.12
3906.6,451.85,0.114,0.006,0.121
3916.8,452.35,0.115,0.006,0.121
3926.4,452.85,0.115,0.007,0.121
3936.6,453.35,0.115,0.007,0.122
3946.8,453.85,0.115,0.007,0.122
3956.4,454.35,0.115,0.007,0.123
3966.6,454.85,0.115,0.008,0.123
3976.8,455.35,0.115,0.008,0.123
3986.4,455.85,0.116,0.008,0.124
3996.6,456.35,0.116,0.009,0.124
4006.8,456.85,0.116,0.009,0.125
4016.4,457.35,0.116,0.009,0.125
4026.6,457.85,0.116,0.009,0.125
4036.8,458.35,0.116,0.01,0.126
4046.4,458.85,0.116,0.01,0.126
4056.6,459.35,0.116,0.01,0.126
4066.8,459.85,0.116,0.01,0.127
4076.4,460.35,0.116,0.011,0.127
4086.6,460.85,0.116,0.011,0.127
4096.8,461.35,0.117,0.011,0.128
4106.4,461.85,0.117,0.011,0.128
4116.6,462.35,0.117,0.012,0.128
4126.8,462.85,0.117,0.012,0.129
4136.4,463.35,0.117,0.012,0.129
4146.6,463.85,0.117,0.012,0.129
4156.8,464.35,0.117,0.013,0.13
4166.4,464.85,0.117,0.013,0.13
4176.6,465.35,0.117,0.013,0.13
4186.8,465.85,0.117,0.013,0.13
4196.4,466.35,0.117,0.013,0.131
4206.6,466.85,0.118,0.013,0.131
9595.2,277.23,0.072,-0.009,0.064
9606.6,277.73,0.073,-0.009,0.064
9618.6,278.23,0.072,-0.008,0.065
9630.6,278.73,0.072,-0.007,0.065
9642.6,279.23,0.072,-0.007,0.065
9654.6,279.73,0.071,-0.007,0.065
9666,280.23,0.071,-0.007,0.065
9677.4,280.73,0.072,-0.007,0.065
9688.2,281.23,0.072,-0.007,0.065
9698.4,281.73,0.072,-0.007,0.065
9709.2,282.23,0.072,-0.007,0.065
9719.4,282.73,0.072,-0.007,0.065
9729.6,283.23,0.072,-0.007,0.065
9739.8,283.73,0.072,-0.007,0.066
9750,284.23,0.072,-0.006,0.066
9759.6,284.73,0.072,-0.006,0.066
9769.8,285.23,0.072,-0.006,0.066
9780,285.73,0.072,-0.006,0.066
9790.2,286.23,0.072,-0.006,0.066
9800.4,286.73,0.072,-0.006,0.066
9810,287.23,0.072,-0.006,0.066
9820.2,287.73,0.072,-0.006,0.067
9830.4,288.23,0.073,-0.006,0.067
9840,288.73,0.073,-0.006,0.067
9850.2,289.23,0.073,-0.006,0.067
9860.4,289.73,0.073,-0.006,0.067
9870,290.23,0.073,-0.006,0.067
9880.2,290.73,0.073,-0.006,0.067
9890.4,291.23,0.073,-0.006,0.067
9900,291.73,0.073,-0.006,0.067
9910.2,292.23,0.073,-0.005,0.068
9920.4,292.73,0.073,-0.005,0.068
9930,293.23,0.073,-0.005,0.068
9940.2,293.73,0.073,-0.005,0.068
9950.4,294.23,0.073,-0.005,0.068
9960,294.73,0.073,-0.005,0.068
9970.2,295.23,0.073,-0.005,0.068
9980.4,295.73,0.073,-0.005,0.068
9990,296.23,0.073,-0.005,0.068
10000.2,296.73,0.074,-0.005,0.069
10010.4,297.23,0.074,-0.005,0.069
10020,297.73,0.074,-0.005,0.069
10030.2,298.23,0.074,-0.005,0.069
10040.4,298.73,0.074,-0.005,0.069
10050,299.23,0.074,-0.005,0.069
10060.2,299.73,0.074,-0.005,0.069
10070.4,300.23,0.074,-0.005,0.069
10080,300.73,0.074,-0.005,0.069
10090.2,301.23,0.074,-0.005,0.069
10100.4,301.73,0.074,-0.005,0.069
10110,302.23,0.074,-0.005,0.07
10120.2,302.73,0.074,-0.005,0.07
10130.4,303.23,0.074,-0.005,0.07
10140,303.73,0.074,-0.005,0.07
10150.2,304.23,0.074,-0.005,0.07
10160.4,304.73,0.075,-0.005,0.07
10170,305.23,0.075,-0.005,0.07
10180.2,305.73,0.075,-0.005,0.07
10190.4,306.23,0.075,-0.005,0.07
10200,306.73,0.075,-0.004,0.07
10210.2,307.23,0.075,-0.004,0.07
10220.4,307.73,0.075,-0.004,0.071
10230,308.23,0.075,-0.004,0.071
10240.2,308.73,0.075,-0.004,0.071
10250.4,309.23,0.075,-0.004,0.071
10260,309.73,0.075,-0.004,0.071
10270.2,310.23,0.075,-0.004,0.071
10280.4,310.73,0.075,-0.004,0.071
10290,311.23,0.075,-0.004,0.071
10300.2,311.73,0.075,-0.004,0.071
10310.4,312.23,0.076,-0.004,0.071
10320,312.73,0.076,-0.004,0.071
10330.2,313.23,0.076,-0.004,0.072
10340.4,313.73,0.076,-0.004,0.072
10350,314.23,0.076,-0.004,0.072
10360.2,314.73,0.076,-0.004,0.072
10370.4,315.23,0.076,-0.004,0.072
10380,315.73,0.076,-0.004,0.072
10390.2,316.23,0.076,-0.004,0.072
10400.4,316.73,0.076,-0.004,0.072
10410,317.23,0.076,-0.004,0.072
10420.2,317.73,0.076,-0.004,0.073
10430.4,318.23,0.076,-0.004,0.073
10440,318.73,0.076,-0.004,0.073
10450.2,319.23,0.076,-0.004,0.073
10460.4,319.73,0.077,-0.004,0.073
10470,320.23,0.077,-0.004,0.073
10480.2,320.73,0.077,-0.004,0.073
10490.4,321.23,0.077,-0.004,0.073
10500,321.73,0.077,-0.004,0.073
10510.2,322.23,0.077,-0.004,0.073
10520.4,322.73,0.077,-0.004,0.074
10530,323.23,0.077,-0.004,0.074
10540.2,323.73,0.077,-0.003,0.074
10550.4,324.23,0.077,-0.003,0.074
10560,324.73,0.077,-0.003,0.074
10570.2,325.23,0.078,-0.003,0.074
10580.4,325.73,0.078,-0.003,0.074
10590,326.23,0.078,-0.003,0.074
10600.2,326.73,0.078,-0.003,0.075
10610.4,327.23,0.078,-0.003,0.075
10620,327.73,0.078,-0.003,0.075
10630.2,328.23,0.078,-0.003,0.075
10640.4,328.73,0.078,-0.003,0.075
10650,329.23,0.078,-0.003,0.075
10660.2,329.73,0.078,-0.003,0.075
10670.4,330.23,0.078,-0.003,0.075
10680,330.73,0.078,-0.003,0.075
10690.2,331.23,0.079,-0.003,0.075
10699.8,331.73,0.079,-0.003,0.075
10710,332.23,0.079,-0.003,0.075
10720.2,332.73,0.079,-0.003,0.076
10729.8,333.23,0.079,-0.003,0.076
10740,333.73,0.079,-0.003,0.076
10750.2,334.23,0.079,-0.003,0.076
10759.8,334.73,0.079,-0.003,0.076
10770,335.23,0.079,-0.003,0.076
10780.2,335.73,0.079,-0.003,0.076
10789.8,336.23,0.08,-0.003,0.076
10800,336.73,0.08,-0.003,0.076
10810.2,337.23,0.08,-0.003,0.076
10820.4,337.73,0.08,-0.003,0.076
10830,338.23,0.08,-0.004,0.076
10840.2,338.73,0.08,-0.004,0.077
10850.4,339.23,0.08,-0.004,0.077
10860,339.73,0.08,-0.004,0.077
10870.2,340.23,0.08,-0.004,0.077
10880.4,340.73,0.08,-0.004,0.077
10890,341.23,0.081,-0.004,0.077
10900.2,341.73,0.081,-0.004,0.077
10909.8,342.23,0.081,-0.004,0.077
10920,342.73,0.081,-0.004,0.077
10930.2,343.23,0.081,-0.004,0.077
10939.8,343.73,0.081,-0.003,0.078
10950,344.23,0.081,-0.004,0.078
10960.2,344.73,0.081,-0.004,0.078
10969.8,345.23,0.081,-0.004,0.078
10980,345.73,0.081,-0.004,0.078
10990.2,346.23,0.082,-0.004,0.078
10999.8,346.73,0.082,-0.004,0.078
11010,347.23,0.082,-0.004,0.078
11020.2,347.73,0.082,-0.004,0.078
11029.8,348.23,0.082,-0.004,0.078
11040,348.73,0.082,-0.004,0.078
11050.2,349.23,0.082,-0.004,0.078
11059.8,349.73,0.082,-0.004,0.078
11070,350.23,0.082,-0.004,0.079
11080.2,350.73,0.082,-0.004,0.079
11089.8,351.23,0.083,-0.004,0.079
11100,351.73,0.083,-0.004,0.079
11110.2,352.23,0.083,-0.004,0.079
11119.8,352.73,0.083,-0.004,0.079
11130,353.23,0.083,-0.004,0.079
11140.2,353.73,0.083,-0.004,0.079
11149.8,354.23,0.083,-0.003,0.08
11160,354.73,0.083,-0.003,0.08
11169.6,355.23,0.083,-0.003,0.08
11179.8,355.73,0.083,-0.004,0.08
11190,356.23,0.083,-0.004,0.08
11199.6,356.73,0.084,-0.004,0.08
11209.8,357.23,0.084,-0.004,0.08
11220,357.73,0.084,-0.004,0.08
11229.6,358.23,0.084,-0.004,0.08
11239.8,358.73,0.084,-0.004,0.08
11250,359.23,0.084,-0.004,0.081
11259.6,359.73,0.084,-0.004,0.081
11269.8,360.23,0.084,-0.003,0.081
11280,360.73,0.084,-0.003,0.081
11290.2,361.23,0.084,-0.003,0.081
11299.8,361.73,0.084,-0.003,0.081
11310,362.23,0.085,-0.003,0.081
11320.2,362.73,0.085,-0.003,0.081
11329.8,363.23,0.085,-0.003,0.082
11340,363.73,0.085,-0.003,0.082
11350.2,364.23,0.085,-0.003,0.082
11359.8,364.73,0.085,-0.003,0.082
11370,365.23,0.085,-0.003,0.082
11380.2,365.73,0.085,-0.003,0.082
11389.8,366.23,0.085,-0.003,0.082
11400,366.73,0.086,-0.003,0.082
11409.6,367.23,0.086,-0.003,0.082
11419.8,367.73,0.086,-0.003,0.083
11430,368.23,0.086,-0.003,0.083
11439.6,368.73,0.086,-0.003,0.083
11449.8,369.23,0.086,-0.003,0.083
11460,369.73,0.087,-0.003,0.083
11469.6,370.23,0.087,-0.003,0.084
11479.8,370.73,0.087,-0.003,0.084
11490,371.23,0.087,-0.003,0.084
11499.6,371.73,0.087,-0.003,0.084
11509.8,372.23,0.087,-0.003,0.084
11520,372.73,0.087,-0.003,0.084
11529.6,373.23,0.087,-0.003,0.085
11539.8,373.73,0.087,-0.003,0.085
11550,374.23,0.087,-0.003,0.084
11559.6,374.73,0.087,-0.003,0.084
11569.8,375.23,0.087,-0.003,0.084
11580,375.73,0.087,-0.003,0.084
11589.6,376.23,0.087,-0.003,0.084
11599.8,376.73,0.087,-0.003,0.084
11610,377.23,0.087,-0.003,0.084
11619.6,377.73,0.087,-0.003,0.084
11629.8,378.23,0.088,-0.003,0.085
11640,378.73,0.088,-0.003,0.085
11649.6,379.23,0.088,-0.003,0.085
11659.8,379.73,0.088,-0.003,0.085
11670,380.23,0.088,-0.003,0.085
11679.6,380.73,0.089,-0.003,0.086
11689.8,381.23,0.089,-0.003,0.086
11700,381.73,0.089,-0.003,0.086
11709.6,382.23,0.089,-0.003,0.086
11719.8,382.73,0.089,-0.003,0.087
11730,383.23,0.089,-0.003,0.087
11739.6,383.73,0.09,-0.003,0.087
11749.8,384.23,0.09,-0.003,0.087
11760,384.73,0.09,-0.003,0.087
11769.6,385.23,0.09,-0.003,0.087
11779.8,385.73,0.09,-0.003,0.088
11790,386.23,0.09,-0.003,0.088
11799.6,386.73,0.09,-0.002,0.088
11809.8,387.23,0.091,-0.002,0.088
11820,387.73,0.091,-0.002,0.088
11829.6,388.23,0.091,-0.002,0.088
11839.8,388.73,0.091,-0.002,0.089
11850,389.23,0.091,-0.002,0.089
11859.6,389.73,0.091,-0.002,0.089
11869.8,390.23,0.091,-0.002,0.089
11880,390.73,0.091,-0.002,0.089
11889.6,391.23,0.091,-0.002,0.09
11899.8,391.73,0.092,-0.002,0.09
11910,392.23,0.092,-0.002,0.09
11919.6,392.73,0.092,-0.002,0.09
11929.8,393.23,0.092,-0.002,0.09
11940,393.73,0.092,-0.002,0.09
11949.6,394.23,0.092,-0.002,0.091
11959.8,394.73,0.092,-0.002,0.091
11970,395.23,0.093,-0.002,0.091
11979.6,395.73,0.093,-0.002,0.091
11989.8,396.23,0.093,-0.002,0.091
12000,396.73,0.093,-0.002,0.091
12009.6,397.23,0.094,-0.002,0.091
12019.8,397.73,0.094,-0.002,0.091
12030,398.23,0.094,-0.002,0.092
12039.6,398.73,0.094,-0.002,0.092
12049.8,399.23,0.094,-0.003,0.092
12060,399.73,0.095,-0.003,0.092
12069.6,400.23,0.095,-0.003,0.092
12079.8,400.73,0.095,-0.003,0.092
12089.4,401.23,0.095,-0.003,0.092
12099.6,401.73,0.095,-0.003,0.093
12109.8,402.23,0.096,-0.003,0.093
12119.4,402.73,0.096,-0.003,0.093
12129.6,403.23,0.096,-0.003,0.093
12139.8,403.73,0.096,-0.002,0.093
12149.4,404.23,0.096,-0.002,0.094
12159.6,404.73,0.096,-0.002,0.094
12169.8,405.23,0.096,-0.002,0.094
12179.4,405.73,0.096,-0.002,0.094
12189.6,406.23,0.096,-0.002,0.094
12199.8,406.73,0.096,-0.002,0.094
12209.4,407.23,0.096,-0.002,0.094
12219.6,407.73,0.097,-0.002,0.095
12229.8,408.23,0.097,-0.002,0.095
12239.4,408.73,0.097,-0.002,0.095
12249.6,409.23,0.097,-0.002,0.095
12259.8,409.73,0.097,-0.002,0.095
12269.4,410.23,0.097,-0.002,0.095
12279.6,410.73,0.097,-0.002,0.096
12289.8,411.23,0.098,-0.002,0.096
12299.4,411.73,0.098,-0.002,0.096
12309.6,412.23,0.098,-0.002,0.096
12319.8,412.73,0.098,-0.002,0.096
12329.4,413.23,0.098,-0.002,0.096
12339.6,413.73,0.098,-0.002,0.097
12349.8,414.23,0.099,-0.002,0.097
12359.4,414.73,0.099,-0.002,0.097
12369.6,415.23,0.099,-0.002,0.097
12379.8,415.73,0.099,-0.002,0.097
12389.4,416.23,0.099,-0.002,0.097
12399.6,416.73,0.099,-0.002,0.098
12409.8,417.23,0.099,-0.002,0.098
12419.4,417.73,0.099,-0.001,0.098
12429.6,418.23,0.099,-0.001,0.098
12439.8,418.73,0.1,-0.001,0.098
12449.4,419.23,0.1,-0.001,0.098
12459.6,419.73,0.1,-0.001,0.099
12469.8,420.23,0.1,-0.001,0.099
12479.4,420.73,0.1,-0.001,0.099
12489.6,421.23,0.1,-0.001,0.099
12499.8,421.73,0.1,-0.001,0.099
12509.4,422.23,0.1,-0.001,0.1
12519.6,422.73,0.101,-0.001,0.1
12529.8,423.23,0.101,-0.001,0.1
12539.4,423.73,0.101,-0.001,0.1
12549.6,424.23,0.101,-0.001,0.1
12559.8,424.73,0.101,-0.001,0.1
12569.4,425.23,0.101,-0.001,0.101
12579.6,425.73,0.101,-0.001,0.101
12589.8,426.23,0.102,-0.001,0.101
12599.4,426.73,0.102,-0.001,0.101
12609.6,427.23,0.102,-0.001,0.101
12619.8,427.73,0.102,-0.001,0.101
12629.4,428.23,0.102,-0.001,0.102
12639.6,428.73,0.102,-0.001,0.102
12649.8,429.23,0.102,-0.001,0.102
12659.4,429.73,0.102,0,0.102
12669.6,430.23,0.103,0,0.102
12679.8,430.73,0.103,0,0.102
