Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
1457.4,329.46,0.09,0.146,0.236
1467.6,329.96,0.09,0.145,0.235
1477.8,330.46,0.09,0.144,0.234
1487.4,330.96,0.09,0.143,0.233
1497.6,331.46,0.09,0.142,0.232
1507.8,331.96,0.09,0.14,0.231
1517.4,332.46,0.09,0.139,0.229
1527.6,332.96,0.09,0.137,0.228
1537.8,333.46,0.09,0.136,0.226
1547.4,333.96,0.09,0.134,0.224
1557.6,334.46,0.09,0.132,0.222
1567.8,334.96,0.09,0.131,0.221
1577.4,335.46,0.09,0.129,0.219
1587.6,335.96,0.09,0.127,0.217
1597.8,336.46,0.09,0.125,0.215
1607.4,336.96,0.09,0.123,0.213
1617.6,337.46,0.09,0.121,0.21
1627.8,337.96,0.09,0.118,0.208
1637.4,338.46,0.09,0.116,0.206
1647.6,338.96,0.09,0.114,0.203
1657.2,339.46,0.09,0.111,0.201
1667.4,339.96,0.09,0.109,0.199
1677.6,340.46,0.09,0.107,0.197
1687.2,340.96,0.09,0.105,0.194
1697.4,341.46,0.09,0.102,0.192
1707.6,341.96,0.09,0.1,0.19
1717.2,342.46,0.09,0.097,0.187
1727.4,342.96,0.09,0.095,0.184
1737.6,343.46,0.09,0.092,0.182
1747.2,343.96,0.09,0.09,0.179
1757.4,344.46,0.09,0.087,0.177
1767.6,344.96,0.09,0.084,0.174
1777.2,345.46,0.09,0.082,0.171
1787.4,345.96,0.09,0.079,0.169
1797.6,346.46,0.09,0.077,0.166
1807.2,346.96,0.09,0.074,0.164
1817.4,347.46,0.09,0.072,0.161
1827.6,347.96,0.09,0.069,0.159
1837.2,348.46,0.09,0.067,0.156
1847.4,348.96,0.09,0.064,0.154
1857,349.46,0.09,0.062,0.151
1867.2,349.96,0.09,0.059,0.149
1877.4,350.46,0.09,0.057,0.147
1887,350.96,0.09,0.054,0.144
1897.2,351.46,0.09,0.052,0.142
1906.8,351.96,0.09,0.05,0.14
1917,352.46,0.09,0.047,0.137
1927.2,352.96,0.09,0.045,0.135
1936.8,353.46,0.09,0.043,0.133
1947,353.96,0.09,0.041,0.131
1957.2,354.46,0.09,0.038,0.129
1966.8,354.96,0.09,0.036,0.126
1977,355.46,0.09,0.034,0.124
1987.2,355.96,0.09,0.032,0.122
1996.8,356.46,0.09,0.03,0.12
2007,356.96,0.09,0.028,0.118
2017.2,357.46,0.09,0.026,0.116
2026.8,357.96,0.09,0.024,0.114
2037,358.46,0.091,0.022,0.113
2047.2,358.96,0.091,0.02,0.111
2056.8,359.46,0.091,0.018,0.109
2067,359.96,0.091,0.016,0.107
2077.2,360.46,0.091,0.015,0.106
2086.8,360.96,0.091,0.013,0.104
2097,361.46,0.091,0.011,0.102
2107.2,361.96,0.091,0.01,0.101
2116.8,362.46,0.091,0.008,0.099
2127,362.96,0.091,0.007,0.098
2137.2,363.46,0.092,0.005,0.097
2146.8,363.96,0.092,0.004,0.095
2157,364.46,0.092,0.002,0.094
2167.2,364.96,0.092,0.001,0.093
2176.8,365.46,0.092,0,0.091
2187,365.96,0.092,-0.002,0.09
2197.2,366.46,0.092,-0.003,0.089
2206.8,366.96,0.092,-0.004,0.088
2217,367.46,0.092,-0.005,0.087
2226.6,367.96,0.092,-0.006,0.086
2236.8,368.46,0.093,-0.008,0.085
2247,368.96,0.093,-0.009,0.084
2256.6,369.46,0.093,-0.01,0.083
2266.8,369.96,0.093,-0.01,0.083
2277,370.46,0.093,-0.011,0.082
2286.6,370.96,0.094,-0.012,0.081
2296.8,371.46,0.094,-0.013,0.081
2307,371.96,0.094,-0.014,0.08
2316.6,372.46,0.094,-0.014,0.08
2326.8,372.96,0.094,-0.015,0.079
2337,373.46,0.094,-0.016,0.078
2346.6,373.96,0.094,-0.016,0.078
2356.8,374.46,0.094,-0.017,0.077
2366.4,374.96,0.094,-0.017,0.077
2376.6,375.46,0.094,-0.018,0.076
2386.8,375.96,0.094,-0.018,0.076
2396.4,376.46,0.094,-0.019,0.075
2406.6,376.96,0.094,-0.019,0.075
2416.8,377.46,0.095,-0.02,0.075
2426.4,377.96,0.095,-0.02,0.074
2436.6,378.46,0.095,-0.021,0.074
2446.8,378.96,0.095,-0.021,0.074
2456.4,379.46,0.095,-0.021,0.074
2466.6,379.96,0.095,-0.022,0.074
2476.8,380.46,0.096,-0.022,0.074
2486.4,380.96,0.096,-0.022,0.074
2496.6,381.46,0.096,-0.022,0.073
2506.8,381.96,0.096,-0.023,0.073
2516.4,382.46,0.096,-0.023,0.073
2526.6,382.96,0.096,-0.023,0.073
2536.8,383.46,0.097,-0.023,0.073
2546.4,383.96,0.097,-0.023,0.073
2556.6,384.46,0.097,-0.024,0.073
2566.8,384.96,0.097,-0.024,0.073
2576.4,385.46,0.097,-0.024,0.073
2586.6,385.96,0.097,-0.024,0.073
2596.8,386.46,0.098,-0.024,0.074
2606.4,386.96,0.098,-0.024,0.074
2616.6,387.46,0.098,-0.024,0.074
2626.8,387.96,0.098,-0.024,0.074
2636.4,388.46,0.098,-0.025,0.074
2646.6,388.96,0.098,-0.025,0.074
2656.8,389.46,0.098,-0.025,0.074
2666.4,389.96,0.098,-0.025,0.074
2676.6,390.46,0.099,-0.025,0.074
2686.8,390.96,0.099,-0.025,0.074
2696.4,391.46,0.099,-0.025,0.074
2706.6,391.96,0.099,-0.025,0.074
2716.8,392.46,0.099,-0.025,0.074
2726.4,392.96,0.099,-0.025,0.074
2736.6,393.46,0.099,-0.025,0.074
2746.8,393.96,0.099,-0.026,0.074
2756.4,394.46,0.1,-0.026,0.074
2766.6,394.96,0.1,-0.026,0.074
2776.8,395.46,0.1,-0.026,0.074
2786.4,395.96,0.1,-0.026,0.074
2796.6,396.46,0.1,-0.026,0.074
2806.8,396.96,0.1,-0.026,0.074
2816.4,397.46,0.101,-0.026,0.074
2826.6,397.96,0.101,-0.026,0.074
2836.8,398.46,0.101,-0.026,0.074
2846.4,398.96,0.101,-0.027,0.075
2856.6,399.46,0.101,-0.027,0.075
2866.8,399.96,0.101,-0.027,0.075
2876.4,400.46,0.102,-0.027,0.075
2886.6,400.96,0.102,-0.027,0.075
2896.8,401.46,0.102,-0.027,0.075
2906.4,401.96,0.102,-0.027,0.075
2916.6,402.46,0.102,-0.027,0.075
2926.8,402.96,0.102,-0.027,0.075
2936.4,403.46,0.103,-0.027,0.075
2946.6,403.96,0.103,-0.027,0.075
2956.8,404.46,0.103,-0.028,0.075
2966.4,404.96,0.103,-0.028,0.075
2976.6,405.46,0.103,-0.028,0.075
2986.8,405.96,0.103,-0.028,0.076
2996.4,406.46,0.103,-0.028,0.076
3006.6,406.96,0.103,-0.028,0.076
3016.8,407.46,0.104,-0.028,0.076
3026.4,407.96,0.104,-0.028,0.076
3036.6,408.46,0.104,-0.028,0.076
3046.8,408.96,0.104,-0.028,0.076
3056.4,409.46,0.104,-0.028,0.076
3066.6,409.96,0.104,-0.028,0.077
3076.8,410.46,0.104,-0.028,0.077
3086.4,410.96,0.105,-0.028,0.077
3096.6,411.46,0.105,-0.028,0.077
3106.8,411.96,0.105,-0.028,0.077
3116.4,412.46,0.105,-0.028,0.077
3126.6,412.96,0.105,-0.028,0.077
3136.8,413.46,0.105,-0.028,0.078
3146.4,413.96,0.105,-0.028,0.078
3156.6,414.46,0.106,-0.028,0.078
3166.8,414.96,0.106,-0.028,0.078
3176.4,415.46,0.106,-0.028,0.078
3186.6,415.96,0.106,-0.028,0.078
3196.8,416.46,0.106,-0.028,0.078
3206.4,416.96,0.106,-0.028,0.078
3216.6,417.46,0.106,-0.028,0.079
3226.8,417.96,0.106,-0.028,0.079
3236.4,418.46,0.107,-0.028,0.079
3246.6,418.96,0.107,-0.028,0.079
3256.8,419.46,0.107,-0.028,0.079
3266.4,419.96,0.107,-0.028,0.079
3276.6,420.46,0.107,-0.028,0.079
3286.8,420.96,0.107,-0.028,0.079
3296.4,421.46,0.107,-0.028,0.08
3306.6,421.96,0.107,-0.028,0.08
3316.8,422.46,0.108,-0.028,0.08
3326.4,422.96,0.108,-0.028,0.08
3336.6,423.46,0.108,-0.028,0.08
3346.8,423.96,0.108,-0.028,0.08
3356.4,424.46,0.108,-0.028,0.08
3366.6,424.96,0.108,-0.028,0.081
3376.8,425.46,0.108,-0.028,0.081
3386.4,425.96,0.109,-0.028,0.081
3396.6,426.46,0.109,-0.028,0.081
3406.8,426.96,0.109,-0.028,0.081
3416.4,427.46,0.109,-0.028,0.081
3426.6,427.96,0.109,-0.028,0.081
3436.8,428.46,0.109,-0.028,0.082
3446.4,428.96,0.109,-0.028,0.082
3456.6,429.46,0.109,-0.028,0.082
3466.8,429.96,0.11,-0.028,0.082
3476.4,430.46,0.11,-0.028,0.082
3486.6,430.96,0.11,-0.027,0.082
3496.8,431.46,0.11,-0.027,0.082
3506.4,431.96,0.11,-0.027,0.083
3516.6,432.46,0.11,-0.027,0.083
3526.8,432.96,0.11,-0.027,0.083
3536.4,433.46,0.111,-0.027,0.083
3546.6,433.96,0.111,-0.027,0.083
3556.8,434.46,0.111,-0.027,0.084
3566.4,434.96,0.111,-0.027,0.084
3576.6,435.46,0.111,-0.027,0.084
3586.8,435.96,0.111,-0.027,0.084
3596.4,436.46,0.111,-0.027,0.084
3606.6,436.96,0.111,-0.027,0.084
3616.8,437.46,0.112,-0.027,0.085
3626.4,437.96,0.112,-0.027,0.085
3636.6,438.46,0.112,-0.027,0.085
3646.8,438.96,0.112,-0.027,0.085
3656.4,439.46,0.112,-0.027,0.085
3666.6,439.96,0.112,-0.027,0.086
3676.8,440.46,0.112,-0.026,0.086
3686.4,440.96,0.112,-0.026,0.086
3696.6,441.46,0.113,-0.026,0.086
3706.8,441.96,0.113,-0.026,0.086
3716.4,442.46,0.113,-0.026,0.087
3726.6,442.96,0.113,-0.026,0.087
3736.8,443.46,0.113,-0.026,0.087
3746.4,443.96,0.113,-0.026,0.087
3756.6,444.46,0.113,-0.026,0.088
3766.8,444.96,0.113,-0.026,0.088
3776.4,445.46,0.114,-0.025,0.088
3786.6,445.96,0.114,-0.025,0.088
3796.8,446.46,0.114,-0.025,0.089
3806.4,446.96,0.114,-0.025,0.089
3816.6,447.46,0.114,-0.025,0.089
3826.8,447.96,0.114,-0.025,0.089
3836.4,448.46,0.114,-0.025,0.09
3846.6,448.96,0.114,-0.025,0.09
3856.8,449.46,0.115,-0.024,0.09
3866.4,449.96,0.115,-0.024,0.09
3876.6,450.46,0.115,-0.024,0.091
3886.8,450.96,0.115,-0.024,0.091
3896.4,451.46,0.115,-0.024,0.091
3906.6,451.96,0.115,-0.024,0.091
3916.8,452.46,0.115,-0.024,0.092
3926.4,452.96,0.115,-0.023,0.092
3936.6,453.46,0.116,-0.023,0.092
3946.8,453.96,0.116,-0.023,0.093
3956.4,454.46,0.116,-0.023,0.093
3966.6,454.96,0.116,-0.023,0.093
3976.8,455.46,0.116,-0.023,0.094
3986.4,455.96,0.116,-0.022,0.094
3996.6,456.46,0.116,-0.022,0.094
4006.8,456.96,0.116,-0.022,0.094
4016.4,457.46,0.117,-0.022,0.095
4026.6,457.96,0.117,-0.022,0.095
4036.8,458.46,0.117,-0.022,0.095
4046.4,458.96,0.117,-0.022,0.095
4056.6,459.46,0.117,-0.021,0.096
4066.8,459.96,0.117,-0.021,0.096
4076.4,460.46,0.117,-0.021,0.096
4086.6,460.96,0.117,-0.021,0.097
4096.8,461.46,0.117,-0.021,0.097
4106.4,461.96,0.117,-0.02,0.097
4116.6,462.46,0.118,-0.02,0.097
4126.8,462.96,0.118,-0.02,0.098
4136.4,463.46,0.118,-0.02,0.098
4146.6,463.96,0.118,-0.02,0.098
4156.8,464.46,0.118,-0.02,0.098
4166.4,464.96,0.118,-0.019,0.099
4176.6,465.46,0.118,-0.019,0.099
4186.8,465.96,0.118,-0.019,0.099
4196.4,466.46,0.118,-0.019,0.099
4206.6,466.96,0.118,-0.019,0.1
9595.2,277.32,0.071,-0.012,0.059
9606,277.82,0.072,-0.013,0.059
9617.4,278.32,0.072,-0.013,0.059
9628.8,278.82,0.071,-0.012,0.059
9641.4,279.32,0.071,-0.012,0.059
9653.4,279.82,0.071,-0.012,0.059
9665.4,280.32,0.07,-0.011,0.059
9676.8,280.82,0.07,-0.011,0.06
9687.6,281.32,0.071,-0.011,0.06
9698.4,281.82,0.071,-0.011,0.06
9708.6,282.32,0.071,-0.011,0.06
9719.4,282.82,0.071,-0.011,0.06
9729.6,283.32,0.071,-0.011,0.06
9739.8,283.82,0.071,-0.011,0.06
9750,284.32,0.071,-0.011,0.061
9760.2,284.82,0.071,-0.011,0.061
9770.4,285.32,0.072,-0.011,0.061
9780,285.82,0.072,-0.011,0.061
9790.2,286.32,0.072,-0.011,0.061
9800.4,286.82,0.072,-0.011,0.061
9810.6,287.32,0.072,-0.011,0.061
9820.2,287.82,0.072,-0.011,0.061
9830.4,288.32,0.072,-0.011,0.061
9840.6,288.82,0.072,-0.011,0.061
9850.2,289.32,0.072,-0.011,0.061
9860.4,289.82,0.073,-0.011,0.061
9870.6,290.32,0.073,-0.011,0.061
9880.2,290.82,0.073,-0.011,0.061
9890.4,291.32,0.073,-0.011,0.061
9900.6,291.82,0.073,-0.011,0.062
9910.2,292.32,0.073,-0.011,0.062
9920.4,292.82,0.073,-0.011,0.062
9930.6,293.32,0.073,-0.011,0.062
9940.2,293.82,0.073,-0.011,0.062
9950.4,294.32,0.073,-0.011,0.062
9960.6,294.82,0.073,-0.011,0.062
9970.2,295.32,0.074,-0.011,0.062
9980.4,295.82,0.074,-0.012,0.062
9990.6,296.32,0.074,-0.012,0.062
10000.2,296.82,0.074,-0.012,0.062
10010.4,297.32,0.074,-0.012,0.062
10020.6,297.82,0.074,-0.012,0.062
10030.2,298.32,0.074,-0.012,0.062
10040.4,298.82,0.074,-0.012,0.062
10050.6,299.32,0.074,-0.012,0.063
10060.2,299.82,0.074,-0.012,0.063
10070.4,300.32,0.074,-0.012,0.063
10080.6,300.82,0.075,-0.012,0.063
10090.2,301.32,0.075,-0.012,0.063
10100.4,301.82,0.075,-0.012,0.063
10110.6,302.32,0.075,-0.012,0.063
10120.2,302.82,0.075,-0.012,0.063
10130.4,303.32,0.075,-0.012,0.063
10140.6,303.82,0.075,-0.012,0.063
10150.2,304.32,0.075,-0.012,0.063
10160.4,304.82,0.075,-0.012,0.063
10170.6,305.32,0.076,-0.012,0.063
10180.2,305.82,0.076,-0.012,0.063
10190.4,306.32,0.076,-0.012,0.063
10200.6,306.82,0.076,-0.012,0.064
10210.2,307.32,0.076,-0.012,0.064
10220.4,307.82,0.076,-0.012,0.064
10230.6,308.32,0.076,-0.012,0.064
10240.2,308.82,0.076,-0.013,0.064
10250.4,309.32,0.076,-0.013,0.064
10260.6,309.82,0.076,-0.013,0.064
10270.2,310.32,0.076,-0.013,0.064
10280.4,310.82,0.077,-0.013,0.064
10290.6,311.32,0.077,-0.013,0.064
10300.2,311.82,0.077,-0.013,0.064
10310.4,312.32,0.077,-0.013,0.064
10320.6,312.82,0.077,-0.013,0.064
10330.2,313.32,0.077,-0.013,0.064
10340.4,313.82,0.077,-0.013,0.064
10350.6,314.32,0.077,-0.013,0.064
10360.2,314.82,0.077,-0.013,0.064
10370.4,315.32,0.077,-0.013,0.064
10380,315.82,0.078,-0.013,0.064
10390.2,316.32,0.078,-0.013,0.064
10400.4,316.82,0.078,-0.013,0.064
10410,317.32,0.078,-0.013,0.064
10420.2,317.82,0.078,-0.013,0.065
10430.4,318.32,0.078,-0.013,0.065
10440,318.82,0.078,-0.013,0.065
10450.2,319.32,0.078,-0.014,0.065
10460.4,319.82,0.078,-0.014,0.065
10470,320.32,0.078,-0.014,0.065
10480.2,320.82,0.079,-0.014,0.065
10490.4,321.32,0.079,-0.014,0.065
10500,321.82,0.079,-0.014,0.065
10510.2,322.32,0.079,-0.014,0.065
10520.4,322.82,0.079,-0.014,0.065
10530,323.32,0.079,-0.014,0.065
10540.2,323.82,0.079,-0.014,0.065
10550.4,324.32,0.079,-0.014,0.065
10560,324.82,0.079,-0.014,0.065
10570.2,325.32,0.079,-0.014,0.066
10580.4,325.82,0.08,-0.014,0.066
10590,326.32,0.08,-0.014,0.066
10600.2,326.82,0.08,-0.014,0.066
10610.4,327.32,0.08,-0.014,0.066
10620,327.82,0.08,-0.014,0.066
10630.2,328.32,0.08,-0.014,0.066
10640.4,328.82,0.08,-0.014,0.066
10650,329.32,0.08,-0.014,0.066
10660.2,329.82,0.08,-0.014,0.066
10670.4,330.32,0.08,-0.014,0.066
10680,330.82,0.081,-0.015,0.066
10690.2,331.32,0.081,-0.015,0.066
10700.4,331.82,0.081,-0.015,0.066
10710,332.32,0.081,-0.015,0.066
10720.2,332.82,0.081,-0.015,0.066
10730.4,333.32,0.081,-0.015,0.066
10740,333.82,0.081,-0.015,0.066
10750.2,334.32,0.081,-0.015,0.067
10760.4,334.82,0.081,-0.015,0.067
10770,335.32,0.081,-0.015,0.067
10780.2,335.82,0.082,-0.015,0.067
10790.4,336.32,0.082,-0.015,0.067
10800,336.82,0.082,-0.015,0.067
10810.2,337.32,0.082,-0.015,0.067
10820.4,337.82,0.082,-0.015,0.067
10830,338.32,0.082,-0.015,0.067
10840.2,338.82,0.082,-0.015,0.067
10850.4,339.32,0.082,-0.015,0.067
10860,339.82,0.082,-0.015,0.067
10870.2,340.32,0.082,-0.015,0.067
10880.4,340.82,0.082,-0.015,0.067
10890,341.32,0.083,-0.015,0.067
10900.2,341.82,0.083,-0.015,0.067
10910.4,342.32,0.083,-0.015,0.067
10920,342.82,0.083,-0.015,0.067
10930.2,343.32,0.083,-0.015,0.068
10940.4,343.82,0.083,-0.015,0.068
10950,344.32,0.083,-0.015,0.068
10960.2,344.82,0.083,-0.016,0.068
10970.4,345.32,0.083,-0.016,0.068
10980,345.82,0.083,-0.016,0.068
10990.2,346.32,0.084,-0.016,0.068
11000.4,346.82,0.084,-0.016,0.068
11010,347.32,0.084,-0.016,0.068
11020.2,347.82,0.084,-0.016,0.068
11030.4,348.32,0.084,-0.016,0.068
11040,348.82,0.084,-0.016,0.068
11050.2,349.32,0.084,-0.016,0.068
11060.4,349.82,0.084,-0.016,0.068
11070,350.32,0.084,-0.016,0.068
11080.2,350.82,0.085,-0.016,0.068
11089.8,351.32,0.085,-0.016,0.068
11100,351.82,0.085,-0.016,0.069
11110.2,352.32,0.085,-0.016,0.069
11119.8,352.82,0.085,-0.016,0.069
11130,353.32,0.085,-0.016,0.069
11140.2,353.82,0.085,-0.017,0.069
11150.4,354.32,0.085,-0.017,0.069
11160,354.82,0.085,-0.017,0.069
11170.2,355.32,0.086,-0.017,0.069
11180.4,355.82,0.086,-0.017,0.069
11190,356.32,0.086,-0.017,0.069
11200.2,356.82,0.086,-0.017,0.069
11210.4,357.32,0.086,-0.017,0.069
11220,357.82,0.086,-0.017,0.069
11230.2,358.32,0.086,-0.017,0.069
11240.4,358.82,0.086,-0.017,0.069
11250,359.32,0.086,-0.017,0.069
11260.2,359.82,0.086,-0.017,0.069
11269.8,360.32,0.087,-0.017,0.069
11280,360.82,0.087,-0.017,0.07
11290.2,361.32,0.087,-0.017,0.07
11299.8,361.82,0.087,-0.017,0.07
11310,362.32,0.087,-0.017,0.07
11320.2,362.82,0.087,-0.017,0.07
11329.8,363.32,0.087,-0.017,0.07
11340,363.82,0.087,-0.017,0.07
11350.2,364.32,0.087,-0.017,0.07
11360.4,364.82,0.087,-0.018,0.07
11370,365.32,0.088,-0.018,0.07
11380.2,365.82,0.088,-0.018,0.07
11389.8,366.32,0.088,-0.018,0.07
11400,366.82,0.088,-0.018,0.07
11410.2,367.32,0.088,-0.018,0.07
11419.8,367.82,0.088,-0.018,0.07
11430,368.32,0.088,-0.018,0.07
11440.2,368.82,0.088,-0.018,0.07
11449.8,369.32,0.088,-0.018,0.07
11460,369.82,0.089,-0.018,0.07
11470.2,370.32,0.089,-0.018,0.07
11479.8,370.82,0.089,-0.018,0.071
11490,371.32,0.089,-0.018,0.071
11500.2,371.82,0.089,-0.018,0.071
11509.8,372.32,0.089,-0.018,0.071
11520,372.82,0.089,-0.018,0.071
11530.2,373.32,0.089,-0.018,0.071
11539.8,373.82,0.089,-0.018,0.071
11550,374.32,0.089,-0.018,0.071
11560.2,374.82,0.089,-0.019,0.071
11569.8,375.32,0.089,-0.019,0.071
11580,375.82,0.089,-0.019,0.071
11590.2,376.32,0.089,-0.019,0.071
11599.8,376.82,0.089,-0.019,0.07
11610,377.32,0.09,-0.019,0.07
11620.2,377.82,0.09,-0.019,0.071
11629.8,378.32,0.09,-0.019,0.071
11640,378.82,0.09,-0.019,0.071
11650.2,379.32,0.09,-0.019,0.071
11659.8,379.82,0.09,-0.019,0.071
11670,380.32,0.09,-0.019,0.071
11680.2,380.82,0.091,-0.02,0.071
11689.8,381.32,0.091,-0.02,0.071
11700,381.82,0.091,-0.02,0.071
11710.2,382.32,0.091,-0.02,0.071
11719.8,382.82,0.091,-0.02,0.071
11730,383.32,0.091,-0.02,0.071
11739.6,383.82,0.091,-0.02,0.071
11749.8,384.32,0.091,-0.02,0.071
11760,384.82,0.092,-0.02,0.072
11769.6,385.32,0.092,-0.02,0.072
11779.8,385.82,0.092,-0.02,0.072
11790,386.32,0.092,-0.02,0.072
11800.2,386.82,0.092,-0.02,0.072
11809.8,387.32,0.092,-0.02,0.072
11820,387.82,0.092,-0.02,0.072
11830.2,388.32,0.092,-0.02,0.072
11839.8,388.82,0.092,-0.02,0.072
11850,389.32,0.092,-0.02,0.072
11859.6,389.82,0.093,-0.02,0.072
11869.8,390.32,0.093,-0.02,0.072
11880,390.82,0.093,-0.02,0.072
11889.6,391.32,0.093,-0.02,0.072
11899.8,391.82,0.093,-0.021,0.072
11910,392.32,0.093,-0.021,0.072
11920.2,392.82,0.093,-0.021,0.073
11929.8,393.32,0.093,-0.021,0.073
11940,393.82,0.093,-0.021,0.073
11950.2,394.32,0.094,-0.021,0.073
11959.8,394.82,0.094,-0.021,0.073
11970,395.32,0.094,-0.021,0.073
11980.2,395.82,0.094,-0.021,0.073
11989.8,396.32,0.094,-0.021,0.073
12000,396.82,0.094,-0.021,0.073
12010.2,397.32,0.094,-0.021,0.073
12019.8,397.82,0.095,-0.021,0.073
12030,398.32,0.095,-0.021,0.073
12040.2,398.82,0.095,-0.022,0.073
12049.8,399.32,0.095,-0.022,0.073
12060,399.82,0.095,-0.022,0.073
12070.2,400.32,0.095,-0.022,0.073
12079.8,400.82,0.095,-0.022,0.074
12090,401.32,0.096,-0.022,0.074
12100.2,401.82,0.096,-0.022,0.074
12109.8,402.32,0.096,-0.022,0.074
12120,402.82,0.096,-0.022,0.074
12129.6,403.32,0.096,-0.022,0.074
12139.8,403.82,0.096,-0.022,0.074
12150,404.32,0.096,-0.022,0.074
12159.6,404.82,0.096,-0.022,0.074
12169.8,405.32,0.096,-0.022,0.074
12180,405.82,0.097,-0.022,0.074
12189.6,406.32,0.097,-0.022,0.074
12199.8,406.82,0.097,-0.022,0.074
12210,407.32,0.097,-0.022,0.075
12219.6,407.82,0.097,-0.022,0.075
12229.8,408.32,0.097,-0.022,0.075
12240,408.82,0.098,-0.022,0.076
12249.6,409.32,0.098,-0.022,0.076
12259.8,409.82,0.098,-0.022,0.076
12270,410.32,0.098,-0.022,0.076
12279.6,410.82,0.098,-0.022,0.076
12289.8,411.32,0.099,-0.022,0.076
12300,411.82,0.099,-0.022,0.077
12309.6,412.32,0.099,-0.022,0.077
12319.8,412.82,0.099,-0.022,0.077
12330,413.32,0.099,-0.022,0.077
12339.6,413.82,0.099,-0.022,0.077
12349.8,414.32,0.099,-0.022,0.077
12360,414.82,0.1,-0.023,0.077
12369.6,415.32,0.1,-0.023,0.077
12379.8,415.82,0.1,-0.023,0.077
12390,416.32,0.1,-0.023,0.077
12399.6,416.82,0.1,-0.023,0.077
12409.8,417.32,0.1,-0.023,0.077
12420,417.82,0.1,-0.023,0.078
12429.6,418.32,0.1,-0.023,0.078
12439.8,418.82,0.1,-0.023,0.078
12450,419.32,0.101,-0.023,0.078
12459.6,419.82,0.101,-0.023,0.078
12469.8,420.32,0.101,-0.023,0.078
12480,420.82,0.101,-0.023,0.078
12489.6,421.32,0.101,-0.023,0.078
12499.8,421.82,0.101,-0.023,0.078
12510,422.32,0.101,-0.023,0.078
12519.6,422.82,0.101,-0.023,0.078
12529.8,423.32,0.102,-0.023,0.078
12540,423.82,0.102,-0.023,0.079
12550.2,424.32,0.102,-0.023,0.079
12559.8,424.82,0.102,-0.023,0.079
12570,425.32,0.102,-0.023,0.079
12580.2,425.82,0.102,-0.023,0.079
12589.8,426.32,0.102,-0.023,0.079
12600,426.82,0.102,-0.023,0.079
12610.2,427.32,0.102,-0.023,0.079
12619.8,427.82,0.103,-0.023,0.079
12630,428.32,0.103,-0.023,0.079
12639.6,428.82,0.103,-0.023,0.079
12649.8,429.32,0.103,-0.023,0.08
