Time (s),Temperature (K),Mass (mg)
1266,524.14,4.3943
1269,524.64,4.3896
1272,525.14,4.3847
1275,525.64,4.3799
1278,526.14,4.3747
1281,526.64,4.3698
1284,527.14,4.3642
1287,527.64,4.3584
1290,528.14,4.353
1293,528.64,4.3477
1296,529.14,4.3426
1299,529.64,4.3372
1302,530.14,4.3318
1305,530.64,4.3265
1308,531.14,4.3212
1311,531.64,4.3158
1314,532.14,4.3102
1317,532.64,4.3048
1320,533.14,4.2994
1323,533.64,4.2934
1326,534.14,4.2871
1329,534.64,4.2814
1332,535.14,4.2756
1335,535.64,4.2695
1338,536.14,4.2632
1341,536.64,4.2569
1344,537.14,4.2507
1347,537.64,4.2444
1350,538.14,4.238
1353,538.64,4.2316
1356,539.14,4.2252
1359,539.64,4.2187
1362,540.14,4.212
1365,540.64,4.2055
1368,541.14,4.1988
1371,541.64,4.192
1374,542.14,4.1849
1377,542.64,4.1781
1380,543.14,4.171
1383,543.64,4.1638
1386,544.14,4.1565
1389,544.64,4.1497
1392,545.14,4.1428
1395,545.64,4.1359
1398,546.14,4.1284
1401,546.64,4.1211
1404,547.14,4.113
1407,547.64,4.1053
1410,548.14,4.0974
1413,548.64,4.0896
1416,549.14,4.0814
1419,549.64,4.0736
1422,550.14,4.0655
1425,550.64,4.0571
1428,551.14,4.0485
1431,551.64,4.0402
1434,552.14,4.0313
1437,552.64,4.0229
1440,553.14,4.0141
1443,553.64,4.0049
1446,554.14,3.9959
1449,554.64,3.9872
1452,555.14,3.9781
1455,555.64,3.9692
1458,556.14,3.9598
1461,556.64,3.9507
1464,557.14,3.941
1467,557.64,3.9318
1470,558.14,3.9218
1473,558.64,3.9124
1476,559.14,3.9024
1479,559.64,3.8927
1482,560.14,3.8823
1485,560.64,3.8718
1488,561.14,3.8608
1491,561.64,3.8502
1494,562.14,3.8397
1497,562.64,3.8292
1500,563.14,3.8181
1503,563.64,3.8075
1506,564.14,3.7963
1509,564.64,3.785
1512,565.14,3.7735
1515,565.64,3.7622
1518,566.14,3.7506
1521,566.64,3.7382
1524,567.14,3.7264
1527,567.64,3.7144
1530,568.14,3.7023
1533,568.64,3.6897
1536,569.14,3.677
1539,569.64,3.6642
1542,570.14,3.648
1545,570.64,3.6274
1548,571.14,3.6172
1551,571.64,3.6067
1554,572.14,3.595
1557,572.64,3.5713
1560,573.14,3.5615
1563,573.64,3.5504
1566,574.14,3.538
1569,574.64,3.5152
1572,575.14,3.5046
1575,575.64,3.4919
1578,576.14,3.4694
1581,576.64,3.4562
1584,577.14,3.4374
1587,577.64,3.4219
1590,578.14,3.4104
1593,578.64,3.3866
1596,579.14,3.37
1599,579.64,3.3514
1602,580.14,3.3341
1605,580.64,3.3172
1608,581.14,3.2991
1611,581.64,3.2813
1614,582.14,3.2628
1617,582.64,3.2442
1620,583.14,3.2253
1623,583.64,3.2067
1626,584.14,3.1876
1629,584.64,3.1679
1632,585.14,3.1483
1635,585.64,3.1276
1638,586.14,3.1067
1641,586.64,3.0859
1644,587.14,3.065
1647,587.64,3.0423
1650,588.14,3.02
1653,588.64,2.9974
1656,589.14,2.9746
1659,589.64,2.9509
1662,590.14,2.9259
1665,590.64,2.901
1668,591.14,2.8746
1671,591.64,2.8479
1674,592.14,2.8199
1677,592.64,2.7909
1680,593.14,2.7595
1683,593.64,2.729
1686,594.14,2.6976
1689,594.64,2.6652
1692,595.14,2.6313
1695,595.64,2.5966
1698,596.14,2.5599
1701,596.64,2.522
1704,597.14,2.4832
1707,597.64,2.4435
1710,598.14,2.4022
1713,598.64,2.3606
1716,599.14,2.3141
1719,599.64,2.2698
1722,600.14,2.2252
1725,600.64,2.1801
1728,601.14,2.1351
1731,601.64,2.0904
1734,602.14,2.047
1737,602.64,2.0043
1740,603.14,1.9629
1743,603.64,1.923
1746,604.14,1.8856
1749,604.64,1.8505
1752,605.14,1.818
1755,605.64,1.7879
1758,606.14,1.7591
1761,606.64,1.7346
1764,607.14,1.712
1767,607.64,1.6914
1770,608.14,1.6733
1773,608.64,1.6561
1776,609.14,1.6458
1779,609.64,1.6357
1782,610.14,1.6244
1785,610.64,1.6138
1788,611.14,1.6024
1791,611.64,1.5918
1794,612.14,1.5818
1797,612.64,1.5719
1800,613.14,1.5627
1803,613.64,1.5541
1806,614.14,1.5461
1809,614.64,1.5381
1812,615.14,1.5306
1815,615.64,1.5234
1818,616.14,1.5165
1821,616.64,1.5096
1824,617.14,1.5031
1827,617.64,1.4971
1830,618.14,1.4912
1833,618.64,1.485
1836,619.14,1.4789
1839,619.64,1.4736
1842,620.14,1.4682
1845,620.64,1.463
1848,621.14,1.4576
1851,621.64,1.4522
1854,622.14,1.447
1857,622.64,1.4419
1860,623.14,1.4369
1863,623.64,1.4319
1866,624.14,1.4273
1869,624.64,1.4227
1872,625.14,1.418
1875,625.64,1.4136
1878,626.14,1.4093
1881,626.64,1.4049
1884,627.14,1.4002
1887,627.64,1.3961
1890,628.14,1.3916
1893,628.64,1.3874
1896,629.14,1.3829
1899,629.64,1.3785
1902,630.14,1.3739
1905,630.64,1.3695
1908,631.14,1.3654
1911,631.64,1.3609
1914,632.14,1.3556
1917,632.64,1.3511
1920,633.14,1.3468
1923,633.64,1.3428
1926,634.14,1.3389
1929,634.64,1.3348
1932,635.14,1.3308
1935,635.64,1.327
1938,636.14,1.3232
1941,636.64,1.3192
1944,637.14,1.3154
1947,637.64,1.3115
1950,638.14,1.3075
1953,638.64,1.3034
1956,639.14,1.2993
1959,639.64,1.2954
1962,640.14,1.2911
1965,640.64,1.2873
1968,641.14,1.2834
1971,641.64,1.2795
1974,642.14,1.2757
1977,642.64,1.2719
1980,643.14,1.268
1983,643.64,1.2643
1986,644.14,1.2603
1989,644.64,1.2563
1992,645.14,1.2517
1995,645.64,1.2476
1998,646.14,1.2437
2001,646.64,1.2399
2004,647.14,1.2362
2007,647.64,1.2323
2010,648.14,1.2284
2013,648.64,1.2244
2016,649.14,1.2205
2019,649.64,1.2167
2022,650.14,1.213
2025,650.64,1.2092
2028,651.14,1.205
2031,651.64,1.2008
2034,652.14,1.1968
2037,652.64,1.1929
2040,653.14,1.1892
2043,653.64,1.1852
2046,654.14,1.1817
2049,654.64,1.1778
2052,655.14,1.174
2055,655.64,1.17
2058,656.14,1.166
2061,656.64,1.1621
2064,657.14,1.158
2067,657.64,1.1541
2070,658.14,1.15
2073,658.64,1.146
2076,659.14,1.1419
2079,659.64,1.1382
2082,660.14,1.1345
2085,660.64,1.1305
2088,661.14,1.1262
2091,661.64,1.1222
2094,662.14,1.118
2097,662.64,1.1139
2100,663.14,1.1101
2103,663.64,1.106
2106,664.14,1.1017
2109,664.64,1.0976
2112,665.14,1.0932
2115,665.64,1.0891
2118,666.14,1.0852
2121,666.64,1.0812
2124,667.14,1.0771
2127,667.64,1.0732
2130,668.14,1.0693
2133,668.64,1.0651
2136,669.14,1.0611
2139,669.64,1.0569
2142,670.14,1.053
2145,670.64,1.0486
2148,671.14,1.0446
2151,671.64,1.0403
2154,672.14,1.0363
2157,672.64,1.0322
2160,673.14,1.0281
2163,673.64,1.0237
2166,674.14,1.0195
2169,674.64,1.0152
2172,675.14,1.0109
2175,675.64,1.0063
2178,676.14,1.0019
2181,676.64,0.9977
2184,677.14,0.9933
2187,677.64,0.9891
2190,678.14,0.9846
2193,678.64,0.9799
2196,679.14,0.9754
2199,679.64,0.971
2202,680.14,0.9667
2205,680.64,0.9622
2208,681.14,0.9578
2211,681.64,0.9529
2214,682.14,0.9485
2217,682.64,0.944
2220,683.14,0.9396
2223,683.64,0.9349
2226,684.14,0.9303
2229,684.64,0.9258
2232,685.14,0.9214
2235,685.64,0.9164
2238,686.14,0.9115
2241,686.64,0.9065
2244,687.14,0.9019
2247,687.64,0.8969
2250,688.14,0.892
2253,688.64,0.8868
2256,689.14,0.8824
2259,689.64,0.8775
2262,690.14,0.8726
2265,690.64,0.8674
2268,691.14,0.8624
2271,691.64,0.8571
2274,692.14,0.8518
2277,692.64,0.8465
2280,693.14,0.8411
2283,693.64,0.836
2286,694.14,0.8305
2289,694.64,0.8252
2292,695.14,0.8204
2295,695.64,0.8148
2298,696.14,0.8095
2301,696.64,0.8038
2304,697.14,0.7979
2307,697.64,0.7921
2310,698.14,0.7865
2313,698.64,0.7807
2316,699.14,0.775
2319,699.64,0.7692
2322,700.14,0.7632
2325,700.64,0.757
2328,701.14,0.7511
2331,701.64,0.7451
2334,702.14,0.7395
2337,702.64,0.7332
2340,703.14,0.727
2343,703.64,0.7203
2346,704.14,0.7143
2349,704.64,0.7079
2352,705.14,0.702
2355,705.64,0.6958
2358,706.14,0.6901
2361,706.64,0.6837
2364,707.14,0.6777
2367,707.64,0.671
2370,708.14,0.6649
2373,708.64,0.6586
2376,709.14,0.6524
2379,709.64,0.6459
2382,710.14,0.6392
2385,710.64,0.6332
2388,711.14,0.627
2391,711.64,0.6202
2394,712.14,0.6137
2397,712.64,0.6075
2400,713.14,0.6011
2403,713.64,0.5949
2406,714.14,0.5885
2409,714.64,0.5822
2412,715.14,0.5758
2415,715.64,0.5694
2418,716.14,0.5628
