Time,Temperature,Heat Flow
[s],[K],[W/g]
1417.7424,336.344,-0.5033
1417.9518,336.444,-0.50607
1418.1618,336.544,-0.50811
1418.3706,336.644,-0.51113
1418.5782,336.744,-0.51449
1418.787,336.844,-0.51494
1418.994,336.944,-0.5152
1419.201,337.044,-0.51957
1419.408,337.144,-0.52318
1419.6132,337.244,-0.52567
1419.8196,337.344,-0.52889
1420.0254,337.444,-0.53063
1420.2318,337.544,-0.53232
1420.437,337.644,-0.53389
1420.6398,337.744,-0.5375
1420.842,337.844,-0.5386
1421.0454,337.944,-0.53905
1421.2488,338.044,-0.54164
1421.4498,338.144,-0.54481
1421.6508,338.244,-0.54737
1421.8494,338.344,-0.54866
1422.0504,338.444,-0.55268
1422.2514,338.544,-0.55398
1422.4506,338.644,-0.55673
1422.6498,338.744,-0.56003
1422.8472,338.844,-0.56333
1423.0446,338.944,-0.56408
1423.2432,339.044,-0.56561
1423.4406,339.144,-0.56805
1423.6374,339.244,-0.56983
1423.8336,339.344,-0.57312
1424.0304,339.444,-0.57718
1424.2272,339.544,-0.57888
1424.4246,339.644,-0.58161
1424.6196,339.744,-0.58527
1424.8134,339.844,-0.5865
1425.0078,339.944,-0.5893
1425.201,340.044,-0.58991
1425.3942,340.144,-0.59125
1425.5886,340.244,-0.59566
1425.7818,340.344,-0.59761
1425.9744,340.444,-0.60111
1426.1664,340.544,-0.60368
1426.3578,340.644,-0.60378
1426.5492,340.744,-0.60657
1426.7394,340.844,-0.61059
1426.9308,340.944,-0.6139
1427.1216,341.044,-0.61478
1427.3118,341.144,-0.61836
1427.502,341.244,-0.62166
1427.6928,341.344,-0.6225
1427.8836,341.444,-0.6256
1428.0732,341.544,-0.62838
1428.2646,341.644,-0.63167
1428.4554,341.744,-0.63496
1428.6456,341.844,-0.63757
1428.8358,341.944,-0.63889
1429.0242,342.044,-0.63904
1429.2126,342.144,-0.63952
1429.4016,342.244,-0.64153
1429.5906,342.344,-0.64478
1429.7796,342.444,-0.64901
1429.9692,342.544,-0.65239
1430.157,342.644,-0.65419
1430.343,342.744,-0.65685
1430.5302,342.844,-0.65921
1430.718,342.944,-0.66085
1430.9028,343.044,-0.66207
1431.0876,343.144,-0.66207
1431.273,343.244,-0.66416
1431.4578,343.344,-0.66731
1431.6444,343.444,-0.67117
1431.8292,343.544,-0.67351
1432.0122,343.644,-0.67564
1432.1946,343.744,-0.67939
1432.3776,343.844,-0.6824
1432.5606,343.944,-0.68328
1432.7442,344.044,-0.68519
1432.929,344.144,-0.6886
1433.1126,344.244,-0.68989
1433.2962,344.344,-0.69137
1433.481,344.444,-0.69336
1433.664,344.544,-0.69706
1433.8458,344.644,-0.70067
1434.0294,344.744,-0.70263
1434.2112,344.844,-0.70448
1434.3924,344.944,-0.70627
1434.576,345.044,-0.70719
1434.7584,345.144,-0.70967
1434.9402,345.244,-0.71384
1435.1202,345.344,-0.71575
1435.3008,345.444,-0.71785
1435.4808,345.544,-0.72134
1435.6608,345.644,-0.72306
1435.8396,345.744,-0.72532
1436.0166,345.844,-0.7261
1436.1948,345.944,-0.72787
1436.3724,346.044,-0.73176
1436.5494,346.144,-0.73508
1436.7276,346.244,-0.73734
1436.9058,346.344,-0.73857
1437.0816,346.444,-0.74102
1437.2568,346.544,-0.74196
1437.4344,346.644,-0.74493
1437.612,346.744,-0.74733
1437.7878,346.844,-0.74968
1437.9624,346.944,-0.75209
1438.1376,347.044,-0.7534
1438.311,347.144,-0.75573
1438.4862,347.244,-0.75663
1438.6602,347.344,-0.76047
1438.8336,347.444,-0.76231
1439.0088,347.544,-0.76395
1439.1834,347.644,-0.7672
1439.3556,347.744,-0.7693
1439.5278,347.844,-0.7708
1439.7018,347.944,-0.77481
1439.8746,348.044,-0.77718
1440.0456,348.144,-0.77983
1440.2166,348.244,-0.78303
1440.3894,348.344,-0.78484
1440.5628,348.444,-0.78537
1440.735,348.544,-0.78641
1440.909,348.644,-0.78829
1441.0818,348.744,-0.79113
1441.254,348.844,-0.79536
1441.4256,348.944,-0.79727
1441.5966,349.044,-0.79849
1441.767,349.144,-0.80032
1441.938,349.244,-0.8015
1442.1096,349.344,-0.80329
1442.2794,349.444,-0.80722
1442.451,349.544,-0.80905
1442.6214,349.644,-0.81211
1442.7912,349.744,-0.81386
1442.961,349.844,-0.81453
1443.1296,349.944,-0.8185
1443.2988,350.044,-0.82355
1443.4656,350.144,-0.82483
1443.633,350.244,-0.82627
1443.8022,350.344,-0.82887
1443.9708,350.444,-0.83081
1444.1394,350.544,-0.83225
1444.3074,350.644,-0.83487
1444.4748,350.744,-0.83776
1444.6434,350.844,-0.83965
1444.8102,350.944,-0.84028
1444.9758,351.044,-0.84153
1445.1426,351.144,-0.84452
1445.31,351.244,-0.84685
1445.4762,351.344,-0.84654
1445.6424,351.444,-0.84968
1445.808,351.544,-0.85439
1445.9736,351.644,-0.85787
1446.1392,351.744,-0.86021
1446.3036,351.844,-0.86224
1446.4698,351.944,-0.86416
1446.6342,352.044,-0.86598
1446.798,352.144,-0.86902
1446.9624,352.244,-0.87136
1447.1262,352.344,-0.87291
1447.2888,352.444,-0.87729
1447.4538,352.544,-0.88124
1447.6182,352.644,-0.88249
1447.7814,352.744,-0.8837
1447.9446,352.844,-0.88589
1448.1078,352.944,-0.88775
1448.2716,353.044,-0.89051
1448.4354,353.144,-0.89328
1448.5992,353.244,-0.89461
1448.7624,353.344,-0.89693
1448.925,353.444,-0.9005
1449.0858,353.544,-0.90184
1449.2484,353.644,-0.90421
1449.4104,353.744,-0.90596
