Time (s),Mass (g),HRR (kW/m2),TC Top (K),TC back 1 (K),TC back 2 (K)
168,59.576238,78.30111385,1000.57,388.332,299.006
169,59.509669,78.39125888,1000.84,389.057,299.183
170,59.452966,77.21222442,999.312,389.556,299.298
171,59.391049,78.4962174,997.002,390.074,299.362
172,59.339317,77.81527024,995.604,390.763,299.475
173,59.259598,77.81062863,1004.617,391.507,299.654
174,59.168346,78.39052126,1006.382,392.242,299.809
175,59.115526,79.36614092,1007.256,392.945,299.958
176,59.072143,78.52371366,1009.733,393.265,300.034
177,59.071768,79.45664064,1002.861,393.712,300.169
178,59.069396,79.73913542,998.871,394.45,300.342
179,59.065285,78.68679388,1005.453,395.187,300.509
180,59.095588,78.02238833,1009.25,395.997,300.706
181,59.151189,78.61744027,1008.915,396.306,300.779
182,59.196259,76.02067338,1005.917,396.726,300.875
183,59.172617,76.31865048,1006.506,397.468,301.021
184,59.129738,78.246978,1005.878,398.29,301.205
185,59.076121,78.49986986,1003.45,399.088,301.442
186,59.007147,78.96133596,1003.175,399.37,301.53
187,58.934926,79.66738077,1004.466,399.789,301.637
188,58.894053,78.21641564,1006.557,400.435,301.837
189,58.860587,76.42953235,1008.667,401.249,302.009
190,58.820022,77.17117094,1006.851,402.184,302.21
191,58.778219,76.66970906,1005.218,402.493,302.291
192,58.670615,75.65759024,1017.768,402.978,302.427
193,58.590764,76.81314597,1022.557,403.696,302.624
194,58.57986,78.22491695,1016.558,404.458,302.837
195,58.537138,76.39569814,1017.395,405.237,303.02
196,58.46013,77.21828601,1020.731,405.576,303.086
197,58.404386,78.20035176,1012.104,405.986,303.233
198,58.355681,78.53588919,1007.99,406.799,303.465
199,58.285507,78.56438924,1017.477,407.583,303.66
200,58.231858,78.89193538,1016.659,408.368,303.887
201,58.157874,78.63746022,1012.7,408.731,303.996
202,58.087099,75.44495518,1015.787,409.13,304.094
203,58.054646,77.8435838,1013.704,409.91,304.315
204,58.017407,78.49037005,1008.02,410.77,304.549
205,57.984697,76.91675702,1007.884,411.538,304.767
206,57.941453,76.14136671,1007.588,412.25,305.012
207,57.883642,75.33985136,1006.446,412.589,305.134
208,57.84685,74.0239979,1008.265,413.179,305.243
209,57.797457,75.42675307,1014.508,413.924,305.452
210,57.697377,78.29526374,1013.963,414.694,305.701
211,57.646753,77.84473947,1011.934,415.361,305.91
212,57.647816,77.86987079,1012.737,415.81,306.063
213,57.640364,78.02300918,1013.113,415.92,306.09
214,57.590776,76.4617297,1018.739,417.059,306.383
215,57.498319,77.13707476,1021.834,417.911,306.635
216,57.438249,77.52502063,1031.724,418.718,306.9
217,57.372043,75.87764397,1038.806,419.043,307.01
218,57.331991,77.22681396,1032.543,419.529,307.162
219,57.285387,78.66846597,1032.514,420.385,307.404
220,57.212326,78.50910465,1030.207,421.225,307.64
221,57.131273,76.0414133,1026.204,422.121,307.879
222,57.078061,75.95426522,1025.992,422.452,307.961
223,57.038012,75.22318714,1028.842,422.901,308.119
224,57.027023,74.66099393,1026.516,423.758,308.402
225,56.97893,77.14996076,1025.063,424.644,308.576
226,56.900844,77.24293697,1028.772,425.508,308.856
227,56.845771,76.00039784,1030.34,425.86,309.026
228,56.762866,78.10636099,1031.305,426.357,309.177
229,56.670314,77.3858281,1034.409,427.274,309.459
230,56.619431,76.25795645,1037.455,428.187,309.744
231,56.571367,75.40882975,1029.582,429.074,309.989
232,56.502947,76.46117945,1023.433,429.466,310.088
233,56.464237,76.68076902,1023.737,430.014,310.261
234,56.445336,77.55598717,1016.276,430.915,310.526
235,56.413009,79.29973847,1014.216,431.778,310.802
236,56.337033,79.16396003,1020.189,432.684,311.055
237,56.248892,77.97124397,1023.217,433.088,311.147
238,56.220623,78.3060092,1026.814,433.474,311.341
239,56.181057,76.52658007,1022.307,434.502,311.671
240,56.100366,75.0079342,1024.771,435.535,311.915
241,56.003999,77.75755736,1036.268,436.443,312.198
242,55.923941,78.46361766,1042.559,436.934,312.474
243,55.857701,77.10820886,1031.627,437.461,312.563
244,55.813062,77.56190712,1022.751,438.579,312.723
245,55.803556,79.36062019,1022.243,439.521,313.045
246,55.778758,77.98658881,1029.641,440.412,313.312
247,55.723511,76.61313343,1036.462,441.432,313.59
248,55.660893,76.5147645,1037.623,441.858,313.732
249,55.620468,76.30497249,1033.873,442.404,313.875
250,55.61627,77.12438948,1031.97,443.466,314.171
251,55.620614,78.99046358,1026.27,444.482,314.445
252,55.580478,76.40637088,1022.459,445.507,314.73
253,55.541134,74.79481329,1023.501,445.977,314.869
254,55.503478,74.91001155,1029.118,446.488,315.014
255,55.407128,75.53712812,1034.487,447.506,315.32
256,55.316236,75.99015567,1037.771,448.543,315.613
257,55.224447,78.00307099,1033.33,449.59,315.935
258,55.126966,77.22394992,1027.156,450.071,316.106
259,55.053186,77.93150045,1032.31,450.637,316.293
260,55.006243,75.8751502,1036.703,451.7,316.61
261,54.97875,73.02474444,1030.998,452.792,316.882
262,54.927462,73.94443994,1034.371,453.78,317.199
263,54.90824,75.52711792,1038.672,454.171,317.347
264,54.875212,75.14193358,1030.585,454.744,317.503
265,54.791742,75.46346156,1023.222,455.787,317.833
266,54.704208,77.33814917,1026.91,456.797,318.13
267,54.613317,78.55209264,1026.773,458.036,318.459
268,54.509038,76.70647681,1024.832,458.535,318.594
269,54.462401,75.68146665,1033.306,458.966,318.793
270,54.465394,74.31669954,1041.608,459.889,319.136
271,54.414749,71.91779523,1041.279,460.89,319.468
272,54.384,72.04550214,1042.55,461.89,319.77
273,54.37093,72.59626578,1044.072,462.307,319.888
274,54.334742,73.08682021,1036.753,462.868,320.085
275,54.299163,74.88423364,1034.87,463.869,320.433
276,54.246969,76.23483372,1037.278,464.837,320.734
277,54.168295,76.24469822,1033.562,465.781,321.029
278,54.095254,77.15101786,1029.788,466.815,321.391
279,54.033468,74.93534958,1037.649,467.288,321.562
280,53.997932,73.10669317,1039.981,467.825,321.747
281,53.959975,73.97467311,1034.113,468.809,322.078
282,53.892329,75.52570363,1028.401,469.879,322.437
283,53.836076,72.98869134,1027.894,470.902,322.771
284,53.778687,73.01403256,1029.511,471.35,322.912
285,53.729499,75.56709452,1027.872,471.928,323.135
286,53.697786,76.9758096,1029.345,472.949,323.488
287,53.685312,76.83074705,1030.777,473.791,323.81
288,53.664231,76.15325305,1036.311,474.784,324.187
289,53.643583,75.55494607,1042.033,475.41,324.402
290,53.62083,77.14484749,1038.22,476.04,324.618
291,53.609053,77.30327496,1036.23,476.981,324.927
292,53.581132,76.50795431,1037.201,477.992,325.249
293,53.539837,77.68790028,1032.734,479.224,325.612
294,53.579473,77.47266024,1028.993,479.774,325.765
295,53.676782,76.89063679,1034.882,480.176,325.958
296,53.694991,78.05166707,1036.712,481.048,326.322
297,53.640983,77.30550567,1037.115,482.091,326.674
298,53.626158,76.3663629,1034.365,483.099,327.012
299,53.529206,74.88228212,1031.473,483.51,327.159
300,53.448349,72.95368161,1038.495,484.014,327.38
301,53.438258,73.37047404,1041.842,485.034,327.779
302,53.370369,73.62168744,1040.515,486.04,328.156
303,53.288198,75.86195579,1040.865,487.088,328.531
304,53.290202,74.06666739,1039.833,487.567,328.686
305,53.313077,74.29194689,1037.482,488.149,328.921
306,53.261615,74.95743225,1043.043,489.11,329.293
307,53.105137,73.63711445,1034.283,490.11,329.687
308,52.954017,73.85807732,1037.424,491.071,330.016
309,52.888761,74.75297079,1047.953,491.542,330.155
310,52.87621,74.83713102,1048.921,492.041,330.391
311,52.865994,77.99144401,1049.277,493.033,330.833
312,52.828948,77.88018311,1043.907,494.068,331.236
313,52.72595,73.76516012,1039.275,494.84,331.526
314,52.635936,75.17407557,1037.364,495.476,331.772
315,52.585998,75.95603329,1043.282,496.5,332.207
316,52.428077,73.30282795,1044.681,497.016,332.411
317,52.425691,73.99030846,1053.059,497.997,332.821
318,52.403479,75.83934872,1042.226,498.981,333.167
319,52.362524,74.84239251,1035.001,499.933,333.541
320,52.286465,75.60455313,1039.232,500.411,333.768
321,52.228632,77.11711402,1039.093,500.897,333.987
322,52.180622,77.45288657,1036.403,501.927,334.421
323,52.096122,76.03896189,1039.094,502.943,334.817
324,52.037807,74.22960947,1047.733,503.936,335.2
325,52.02641,74.68251569,1051.773,504.445,335.395
326,51.998466,76.51421398,1045.928,504.996,335.62
327,51.959744,78.13411021,1047.033,505.97,336.018
328,51.894644,76.61357093,1048.867,506.967,336.408
329,51.86098,77.38306994,1045.109,508.033,336.815
330,51.833943,77.63851139,1044.088,508.44,336.971
331,51.766787,76.8347494,1037.12,508.82,337.167
332,51.698625,76.59061012,1039.533,509.84,337.579
333,51.648854,77.30939056,1053.024,510.956,338.001
334,51.640571,75.69828729,1048.721,511.956,338.402
335,51.63485,75.85648882,1042.203,512.394,338.574
336,51.538838,77.47705646,1044.516,512.999,338.807
337,51.413054,74.89112943,1059.445,513.999,339.2
338,51.351558,72.82006329,1067.791,514.941,339.6
339,51.330756,75.06399984,1054.955,516.004,340.029
340,51.3002,75.28242152,1046.374,517.167,340.408
341,51.25754,74.4929781,1042.063,517.797,340.598
342,51.191717,74.23984502,1035.591,518.202,340.864
343,51.137652,72.73274864,1037.391,519.11,341.327
344,51.139392,73.43035051,1047.713,519.995,341.706
345,51.150953,75.65933835,1055.043,520.436,342.078
346,51.13291,74.61109269,1055.301,521.056,342.283
347,51.102682,75.40632618,1048.758,522.117,342.532
348,51.154213,76.45116831,1045.084,523.042,342.921
349,51.262257,75.89188358,1053.965,523.983,343.311
350,51.316141,74.41954727,1060.539,524.925,343.684
351,51.238056,74.71415576,1060.829,525.335,343.841
352,51.126085,75.33205809,1048.872,525.825,344.081
353,51.036548,75.45580142,1051.134,526.782,344.52
354,50.928517,77.00206232,1054.955,527.778,344.94
355,50.827483,75.0824302,1051.067,528.7,345.337
356,50.768364,72.61433768,1052.972,529.113,345.519
357,50.71281,73.0567075,1045.972,529.727,345.753
358,50.672186,74.05464008,1035.088,530.669,346.153
359,50.626735,72.86674222,1032.758,531.61,346.569
360,50.56566,74.21579898,1043.665,532.578,346.968
361,50.479663,75.73740179,1050.349,532.968,347.124
362,50.422557,74.7473749,1051.337,533.454,347.344
363,50.380291,75.9628073,1048.417,534.455,347.813
364,50.318778,78.28923183,1049.366,535.336,348.224
365,50.227563,77.07094824,1051.253,536.248,348.629
366,50.1382,76.23247916,1049.854,536.671,348.815
367,50.067065,75.34567933,1061.104,537.147,349.015
368,50.024093,74.69449565,1058.84,538.019,349.383
369,49.997638,75.13721983,1047.403,538.957,349.793
370,49.93178,77.02218666,1053.603,539.91,350.199
371,49.87506,77.53387305,1056.324,540.337,350.372
372,49.817981,78.3156954,1051.409,540.821,350.541
373,49.754748,77.41646949,1040.657,541.805,350.976
374,49.687356,75.51127032,1045.206,542.703,351.405
375,49.625271,75.23981376,1061.341,543.552,351.781
376,49.584923,76.90448646,1070.102,543.986,351.974
377,49.519599,78.41646945,1065.592,544.547,352.197
378,49.465658,77.89661778,1059.205,545.447,352.576
379,49.43669,77.460455,1052.042,546.345,352.966
380,49.390806,77.25085684,1053.548,547.234,353.353
381,49.321896,78.57562973,1055.486,548.148,353.722
382,49.289658,79.95728679,1052.28,548.59,353.884
383,49.265215,79.43006349,1060.069,549.059,354.116
384,49.185983,77.07642002,1057.378,549.933,354.516
385,49.101011,77.13066039,1060.094,550.839,354.884
386,49.02528,79.47207846,1060.916,551.715,355.261
387,48.977571,77.66310129,1053.41,552.098,355.436
388,48.91345,77.93468719,1056.815,552.588,355.639
389,48.794863,76.59284404,1059.826,553.476,356.034
390,48.723572,75.8537951,1073.702,554.364,356.413
391,48.699362,76.89903177,1073.474,555.188,356.773
392,48.632758,76.24967559,1063.315,555.619,356.98
393,48.54803,75.66061016,1057.797,556.104,357.178
394,48.506281,78.54678965,1056.637,557.022,357.527
395,48.458201,82.95943983,1062.909,557.882,357.899
396,48.401702,80.49488081,1065.893,558.485,358.207
397,48.369269,77.16606556,1065.71,559.033,358.445
398,48.328432,78.74203288,1068.242,559.433,358.854
399,48.167072,77.10642701,1064.467,560.375,359.004
400,48.113022,76.48397421,1059.131,561.257,359.377
401,48.047904,79.3152453,1057.995,562.145,359.755
402,47.965069,78.80979727,1053.268,562.573,359.931
403,47.903356,77.74639809,1049.222,563.082,360.112
404,47.879679,78.28243184,1050.034,563.935,360.467
405,47.839654,76.35061471,1055.798,564.83,360.83
406,47.861633,75.85721967,1060.967,565.742,361.19
407,47.890786,78.28824689,1063.575,566.114,361.352
408,47.879711,77.93460034,1059.74,566.543,361.52
409,47.888077,77.36523995,1055.083,567.479,361.893
410,47.94051,79.56656041,1052.046,568.39,362.249
411,48.057733,79.79200095,1056.645,569.258,362.591
412,48.082467,78.20949394,1062.457,569.658,362.754
413,47.958052,79.20714692,1054.767,570.126,362.927
414,47.852818,79.00656314,1059.197,570.826,363.29
415,47.780732,78.08389927,1061.689,571.663,363.663
416,47.686433,78.77532339,1057.227,572.65,363.974
417,47.608624,79.62904043,1063.277,573.54,364.277
418,47.530971,80.15458677,1067.598,574.002,364.456
419,47.443569,81.14442122,1059.876,574.434,364.628
420,47.356341,81.25105884,1052.919,575.255,364.939
421,47.265624,79.7496325,1056.641,576.112,365.211
422,47.170718,79.65703715,1061.18,576.966,365.53
423,47.099234,79.26769502,1062.107,577.382,365.725
424,47.017632,78.6044961,1056.182,577.981,365.899
425,46.960763,79.87249883,1054.158,578.86,366.28
426,46.906323,81.67780781,1059.844,579.549,366.598
427,46.809774,81.15651991,1061.906,580.403,366.924
428,46.700673,80.54317841,1061.146,580.796,367.09
429,46.576716,80.82852766,1059.09,581.297,367.255
430,46.496459,79.27821255,1066.856,582.233,367.558
431,46.421917,77.75493722,1065.048,583.073,367.92
432,46.351187,78.84586991,1048.555,583.842,368.253
433,46.313142,79.09041127,1043.366,584.226,368.378
434,46.257118,77.52670242,1060.662,584.694,368.528
435,46.196184,79.20253831,1081.667,585.473,368.821
436,46.160813,81.30686459,1072.65,586.309,369.13
437,46.135945,78.86195236,1055.322,587.167,369.392
438,46.052826,79.1050293,1054.85,587.569,369.514
439,45.976766,81.064414,1053.847,588.077,369.714
440,45.945784,79.06362143,1056.183,588.916,370.027
441,45.885378,76.66700505,1053.808,589.74,370.3
442,45.827411,79.60855286,1057.894,590.526,370.581
443,45.784357,80.26513747,1065.785,590.918,370.736
444,45.711807,79.33217732,1060.15,591.435,370.851
445,45.63297,79.71229147,1057.354,592.251,371.14
446,45.572563,78.98144293,1060.844,592.993,371.47
447,45.49813,77.88904324,1066.832,593.779,371.733
448,45.405044,80.4005757,1073.536,594.18,371.887
449,45.361643,80.9263304,1068.022,594.653,372.04
450,45.308894,80.32500083,1062.499,595.509,372.341
451,45.219007,82.80987027,1056.44,596.334,372.568
452,45.151687,80.92416829,1057.402,597.095,372.812
453,45.116187,79.02148581,1066.287,597.875,373.107
454,45.083246,79.0793917,1071.288,598.32,373.253
455,45.004954,78.48725219,1074.571,598.785,373.406
456,44.951925,80.48617541,1072.232,599.564,373.665
457,44.931235,81.0540608,1063.99,600.354,373.925
458,44.913071,77.64868778,1075.17,601.21,374.198
459,44.889139,77.14592536,1086.903,601.585,374.318
460,44.824285,77.74068061,1070.178,602.163,374.446
461,44.737983,77.14813224,1055.696,603.046,374.702
462,44.682336,77.18654301,1062.661,603.745,374.941
463,44.609136,78.00780285,1065.783,604.711,375.188
464,44.547342,77.55769944,1063.331,605.216,375.295
465,44.478985,77.14195338,1053.973,605.555,375.47
466,44.399436,76.4716547,1061.719,606.29,375.742
467,44.332416,75.63715404,1071.345,607.167,375.963
468,44.278529,76.884855,1069.391,607.984,376.169
469,44.195432,77.31542028,1071.06,608.342,376.263
470,44.127926,77.15114033,1070.937,608.788,376.366
471,44.098682,78.00489699,1069.853,609.687,376.583
472,44.047568,78.28420205,1068.511,610.363,376.751
473,43.982992,77.07087762,1067.495,610.886,376.879
474,43.914275,78.21913497,1065.153,611.658,377.089
475,43.835357,77.40760891,1075.01,612.586,377.275
476,43.772212,75.97600958,1072.147,613.025,377.359
477,43.761223,77.340204,1075.072,613.86,377.58
478,43.722557,77.50817987,1074.368,614.69,377.734
479,43.656545,76.97505367,1068.912,615.19,377.773
480,43.620705,78.3261002,1071.298,615.599,377.905
481,43.587599,76.66147772,1075.546,616.474,378.111
482,43.501719,75.84572119,1072.275,617.405,378.298
483,43.430713,78.65103173,1071.069,618.287,378.462
484,43.395636,76.99580548,1074.425,619.181,378.635
485,43.37391,76.01701208,1076.049,619.629,378.747
486,43.337027,76.6651901,1078.371,620.076,378.801
487,43.256805,77.02540011,1072.859,620.995,378.977
488,43.213862,75.20186021,1072.463,621.89,379.157
489,43.187658,75.66853388,1071.181,622.788,379.313
490,43.140013,76.99502415,1062.397,623.289,379.417
491,43.086881,78.57454161,1064.973,623.859,379.483
492,43.037485,78.55536982,1064.046,624.823,379.634
493,43.005097,75.93336861,1063.469,625.68,379.793
494,42.970712,78.06331405,1068.986,626.62,379.94
495,42.924042,79.04910538,1072.525,627.08,380.002
496,42.838373,76.61555654,1080.133,627.563,380.091
497,42.768827,77.25154207,1075.912,628.526,380.247
498,42.702793,79.46419428,1060.486,629.462,380.432
499,42.617045,77.9946712,1054.206,630.439,380.613
500,42.554079,77.04171739,1052.95,630.958,380.668
501,42.489664,75.74855276,1054.474,631.458,380.74
502,42.442507,76.94536692,1056.01,632.468,380.897
503,42.423589,80.56920856,1070.194,633.52,381.075
504,42.400409,79.54731278,1081.123,634.647,381.242
505,42.399488,78.51495475,1080.272,635.198,381.315
506,42.365425,79.92027956,1071.78,635.562,381.39
507,42.329229,78.74510354,1066.985,636.43,381.568
508,42.348647,77.94559337,1070.853,637.41,381.733
509,42.423853,80.15758002,1079.484,638.37,381.923
510,42.543099,79.52507127,1088.57,638.915,382.066
511,42.636109,79.06007725,1083.12,639.463,382.141
512,42.642068,77.13028532,1081.273,640.395,382.294
513,42.553079,75.31044642,1075.276,641.415,382.478
514,42.459632,76.93679403,1069.782,642.563,382.682
515,42.390669,78.05407226,1074.951,643.099,382.779
516,42.295856,77.11410352,1077.921,643.54,382.865
517,42.187877,79.58915086,1082.968,644.576,383.062
518,42.13681,82.29341123,1086.974,645.668,383.264
519,42.09187,80.52841393,1086.116,646.743,383.45
520,42.043537,79.99570479,1074.37,647.831,383.672
521,42.020424,80.65215139,1066.659,648.348,383.793
522,41.95001,81.02962122,1067.101,648.925,383.905
523,41.856622,82.98656402,1075.895,649.944,384.101
524,41.822741,81.28661652,1082.732,651.05,384.31
525,41.808236,78.37976608,1077.174,652.193,384.527
526,41.772958,79.20723746,1072.972,652.785,384.643
527,41.745399,82.02585744,1068.096,653.354,384.761
528,41.678978,81.89162123,1061.189,654.519,384.989
529,41.597572,81.09120224,1069.901,655.7,385.23
530,41.518152,80.23529573,1073.652,656.766,385.463
531,41.411659,80.65615426,1069.11,657.312,385.58
532,41.317376,80.95766679,1069.424,657.855,385.708
533,41.279535,80.14323528,1063.03,659.041,385.962
534,41.262415,79.58232305,1072.943,660.188,386.193
535,41.201813,81.98688795,1091.615,661.339,386.419
536,41.10094,82.73334579,1094.619,662,386.537
537,40.998439,81.78054628,1079.87,662.568,386.648
538,40.935494,79.57239963,1064.707,663.722,386.887
539,40.895957,78.7945442,1065.062,664.862,387.117
540,40.850916,80.30134982,1062.839,666.246,387.36
541,40.76658,77.19906347,1060.094,666.999,387.49
