Time (s),Temperature (K),Mass (mg),Heat Flow Rate(W/g)
610.8,356,8.0505,0.3557
616.6,356.5,8.048,0.352
622.6,357,8.0452,0.3483
628.4,357.5,8.0427,0.3445
634.2,358,8.0404,0.3406
640.2,358.5,8.0377,0.3368
646.2,359,8.0354,0.3329
652.2,359.5,8.0331,0.3289
657.9,360,8.0311,0.3257
663.6,360.5,8.0291,0.3221
669.6,361,8.027,0.3188
675.6,361.5,8.025,0.3159
681.4,362,8.0231,0.3124
687.2,362.5,8.0213,0.3093
693.2,363,8.0194,0.3061
699,363.5,8.0175,0.3031
704.8,364,8.016,0.3
710.5,364.5,8.0145,0.2971
716.2,365,8.0131,0.2944
722.2,365.5,8.0115,0.2904
728.2,366,8.0101,0.2877
734.2,366.5,8.0088,0.2846
740.2,367,8.0075,0.2822
746.2,367.5,8.0062,0.2792
752.2,368,8.0051,0.2773
758.2,368.5,8.004,0.2746
764,369,8.003,0.2719
769.8,369.5,8.0018,0.2698
775.8,370,8.0008,0.2669
781.8,370.5,7.9998,0.2651
787.8,371,7.9988,0.263
793.6,371.5,7.9979,0.2615
799.4,372,7.9971,0.2593
805.4,372.5,7.9964,0.2577
811.4,373,7.9956,0.2557
817.4,373.5,7.9948,0.2537
823.1,374,7.9941,0.2522
828.8,374.5,7.9934,0.2502
834.6,375,7.9926,0.2486
840.4,375.5,7.9919,0.2476
846.4,376,7.9913,0.2462
852.2,376.5,7.9906,0.2451
858,377,7.9899,0.244
864,377.5,7.9892,0.243
870,378,7.989,0.2428
875.7,378.5,7.9884,0.2425
881.4,379,7.9879,0.2419
887.2,379.5,7.9873,0.2411
893,380,7.9865,0.241
899,380.5,7.9861,0.2408
904.8,381,7.9857,0.2406
910.6,381.5,7.9853,0.2401
916.6,382,7.9847,0.2398
922.3,382.5,7.9842,0.2401
928,383,7.984,0.2401
933.8,383.5,7.9834,0.2396
939.6,384,7.9829,0.2398
945.4,384.5,7.9824,0.2404
951.2,385,7.9821,0.2405
956.9,385.5,7.9817,0.2406
962.6,386,7.9814,0.2414
968.4,386.5,7.9809,0.2417
974.2,387,7.9806,0.2421
980.2,387.5,7.9802,0.2431
986.2,388,7.9798,0.2436
992.2,388.5,7.9793,0.2445
998,389,7.9788,0.2455
1003.8,389.5,7.9786,0.2465
1009.8,390,7.9778,0.2476
1015.8,390.5,7.9776,0.2489
1021.5,391,7.9774,0.2501
1027.2,391.5,7.9771,0.2523
1033,392,7.9767,0.2529
1038.8,392.5,7.9762,0.2549
1044.8,393,7.9759,0.256
1050.8,393.5,7.9755,0.2581
1056.6,394,7.9753,0.2591
1062.4,394.5,7.975,0.2607
1068.1,395,7.9745,0.2615
1073.8,395.5,7.9742,0.2635
1079.6,396,7.9739,0.2643
1085.4,396.5,7.9737,0.2659
1091.2,397,7.9733,0.2674
1097,397.5,7.9728,0.2686
1103,398,7.9725,0.2696
1108.7,398.5,7.9721,0.2715
1114.4,399,7.9716,0.2733
1120.2,399.5,7.9714,0.2746
1126,400,7.9711,0.276
1131.8,400.5,7.9706,0.2778
1137.6,401,7.9703,0.2792
1143.6,401.5,7.97,0.2809
1149.3,402,7.9694,0.2817
1154.8,402.5,7.969,0.2838
1160.6,403,7.9686,0.2852
1166.4,403.5,7.9681,0.2865
1172.2,404,7.968,0.2884
1177.9,404.5,7.9677,0.2904
1183.4,405,7.9673,0.2912
1189.2,405.5,7.9671,0.2932
1195,406,7.9667,0.2945
1200.5,406.5,7.9662,0.296
1206.2,407,7.9658,0.2973
1212,407.5,7.9653,0.2989
1217.8,408,7.9651,0.2997
1223.6,408.5,7.9647,0.3013
1229.1,409,7.9646,0.3022
1234.8,409.5,7.9641,0.3037
1240.6,410,7.9638,0.3053
1246.1,410.5,7.9632,0.3069
1251.9,411,7.963,0.3077
1257.9,411.5,7.9627,0.3094
1263.6,412,7.9622,0.3107
1269.1,412.5,7.9619,0.3111
1274.6,413,7.9615,0.3119
1280.4,413.5,7.9612,0.3131
1286.1,414,7.9608,0.3138
1291.6,414.5,7.9603,0.3152
1297.4,415,7.9599,0.3155
1303.2,415.5,7.9596,0.3169
1308.7,416,7.9592,0.3189
1314.2,416.5,7.9588,0.3204
1319.7,417,7.9583,0.3212
1325.5,417.5,7.958,0.323
1331.5,418,7.9574,0.325
1337.2,418.5,7.957,0.3265
1342.9,419,7.9566,0.3275
1348.7,419.5,7.9559,0.33
1354.2,420,7.9555,0.3314
1360,420.5,7.9549,0.3323
1365.7,421,7.9545,0.3338
1371.4,421.5,7.9539,0.3352
1377.2,422,7.9534,0.3364
1382.7,422.5,7.9531,0.3378
1388.2,423,7.9524,0.3393
1393.9,423.5,7.9519,0.3396
1399.7,424,7.9515,0.341
1405.5,424.5,7.9509,0.3421
1411.3,425,7.9505,0.3435
1416.8,425.5,7.9501,0.3441
1422.3,426,7.9494,0.3448
1428.1,426.5,7.9488,0.3456
1433.9,427,7.9481,0.346
1439.7,427.5,7.9475,0.3467
1445.4,428,7.9471,0.3472
1450.9,428.5,7.9466,0.3483
1456.4,429,7.946,0.3488
1462.2,429.5,7.9456,0.3495
1468.2,430,7.9452,0.3506
1473.9,430.5,7.9444,0.3509
1479.4,431,7.9439,0.3512
1484.9,431.5,7.9432,0.3525
1490.4,432,7.9428,0.3533
1496.1,432.5,7.9424,0.3538
1501.9,433,7.9417,0.3547
1507.4,433.5,7.941,0.357
1513.2,434,7.9406,0.3575
1518.9,434.5,7.9398,0.3588
1524.4,435,7.9392,0.3597
1530.2,435.5,7.9388,0.3605
1536,436,7.9381,0.3619
1541.5,436.5,7.9373,0.3639
1547,437,7.9368,0.3647
1552.8,437.5,7.9361,0.3662
1558.6,438,7.9355,0.3675
1564.4,438.5,7.9349,0.368
1570.1,439,7.9342,0.3697
1575.6,439.5,7.9335,0.3707
1581.4,440,7.9328,0.3719
1587.2,440.5,7.9322,0.373
1592.7,441,7.9315,0.374
1598.4,441.5,7.9308,0.3756
1604.2,442,7.93,0.376
1609.7,442.5,7.9293,0.3777
1615.2,443,7.9287,0.3781
1620.9,443.5,7.9279,0.3798
1626.7,444,7.927,0.3804
1632.2,444.5,7.9263,0.3815
1637.7,445,7.9254,0.3825
1643.4,445.5,7.9245,0.3842
1649.2,446,7.9238,0.3861
1654.7,446.5,7.923,0.3872
1660.5,447,7.9223,0.3891
1666,447.5,7.9212,0.3904
1671.5,448,7.9204,0.3904
1677.3,448.5,7.9195,0.3917
1682.8,449,7.9185,0.3922
1688.5,449.5,7.9178,0.3935
1694.3,450,7.9165,0.3938
1699.8,450.5,7.9157,0.3952
1705.3,451,7.9146,0.3967
1711,451.5,7.9136,0.3987
1716.8,452,7.9125,0.3999
1722.3,452.5,7.9113,0.4019
1727.8,453,7.9104,0.403
1733.3,453.5,7.9095,0.4054
1738.8,454,7.9084,0.4068
1744.6,454.5,7.9072,0.4082
1750.3,455,7.9059,0.4103
1755.8,455.5,7.9049,0.4121
1761.3,456,7.9039,0.414
1767.1,456.5,7.9027,0.4147
1772.8,457,7.9014,0.4171
1778.3,457.5,7.8999,0.4188
1784.1,458,7.8988,0.4206
1789.9,458.5,7.8975,0.4226
1795.4,459,7.8962,0.4237
1800.9,459.5,7.8947,0.4259
1806.7,460,7.8934,0.4272
1812.5,460.5,7.8919,0.4288
1818,461,7.8904,0.4313
1823.7,461.5,7.8891,0.4322
1829.2,462,7.8874,0.4334
1834.7,462.5,7.886,0.4353
1840.4,463,7.8843,0.4371
1845.9,463.5,7.883,0.4384
1851.4,464,7.8814,0.4398
1856.9,464.5,7.8796,0.4425
1862.6,465,7.878,0.4439
1868.4,465.5,7.876,0.446
1873.9,466,7.8744,0.4475
1879.4,466.5,7.8726,0.4492
1884.9,467,7.8712,0.4507
1890.4,467.5,7.8692,0.452
1895.9,468,7.8674,0.4535
1901.6,468.5,7.8656,0.4545
1907.4,469,7.8638,0.4565
1912.9,469.5,7.8617,0.4574
1918.4,470,7.8598,0.4582
1923.9,470.5,7.8578,0.4586
1929.4,471,7.8558,0.4594
1934.9,471.5,7.8539,0.4616
1940.4,472,7.8517,0.4637
1945.9,472.5,7.8497,0.4648
1951.4,473,7.8476,0.4662
1956.9,473.5,7.8456,0.4675
1962.4,474,7.8432,0.4688
1967.9,474.5,7.8411,0.4695
1973.4,475,7.8388,0.4707
1978.9,475.5,7.8367,0.472
1984.7,476,7.8345,0.4735
1990.4,476.5,7.8319,0.4751
1995.9,477,7.8298,0.4756
2001.4,477.5,7.8274,0.4764
2006.9,478,7.8253,0.4778
2012.6,478.5,7.8228,0.4792
2018.4,479,7.82,0.4807
2023.9,479.5,7.8179,0.4812
2029.4,480,7.8155,0.4822
2035.1,480.5,7.8131,0.4825
2040.9,481,7.8105,0.4836
2046.4,481.5,7.8079,0.485
2052.2,482,7.8055,0.485
2057.9,482.5,7.8028,0.4861
2063.4,483,7.8001,0.4867
2068.9,483.5,7.7977,0.4875
2074.4,484,7.7951,0.4882
2080.1,484.5,7.7925,0.4884
2085.9,485,7.7898,0.4886
2091.4,485.5,7.7872,0.4892
2097.2,486,7.7845,0.4902
2102.9,486.5,7.7818,0.4912
2108.4,487,7.779,0.4924
2113.9,487.5,7.7763,0.492
2119.7,488,7.7738,0.4929
2125.4,488.5,7.7708,0.4935
2130.9,489,7.768,0.495
2136.4,489.5,7.7654,0.4957
2142.2,490,7.7627,0.4968
2147.9,490.5,7.7597,0.4974
2153.4,491,7.757,0.4994
2158.9,491.5,7.7543,0.5006
2164.7,492,7.7514,0.5037
2170.4,492.5,7.7483,0.5059
2175.9,493,7.7453,0.5074
2181.4,493.5,7.7427,0.5084
2186.9,494,7.7398,0.5101
2192.4,494.5,7.737,0.5113
2198.2,495,7.7343,0.5135
2204,495.5,7.731,0.5154
2209.5,496,7.728,0.5162
2215,496.5,7.725,0.5169
2220.5,497,7.7219,0.5185
2226,497.5,7.7188,0.5192
2231.7,498,7.7156,0.5203
2237.5,498.5,7.7123,0.5217
2243,499,7.7091,0.5232
2248.5,499.5,7.7059,0.5243
2254,500,7.7028,0.5254
2259.5,500.5,7.6995,0.5262
2265,501,7.6962,0.5272
2270.5,501.5,7.693,0.5274
2276,502,7.6897,0.5291
2281.8,502.5,7.6861,0.5301
2287.5,503,7.6825,0.5303
2293,503.5,7.679,0.5312
2298.8,504,7.6754,0.5324
2304.6,504.5,7.6715,0.5337
2310.1,505,7.6681,0.5337
2315.8,505.5,7.6644,0.5362
2321.6,506,7.6604,0.5362
2327.1,506.5,7.6567,0.5389
2332.6,507,7.6529,0.5411
2338.3,507.5,7.6489,0.5401
2344.1,508,7.6446,0.5425
2349.6,508.5,7.6405,0.5444
2355.4,509,7.6365,0.545
2361.1,509.5,7.6321,0.5474
2366.6,510,7.628,0.5485
2372.1,510.5,7.6236,0.5497
2377.9,511,7.6194,0.5492
2383.6,511.5,7.6146,0.5501
2389.1,512,7.6102,0.5519
2394.6,512.5,7.6058,0.5516
2400.1,513,7.6011,0.5538
2405.6,513.5,7.5967,0.5533
2411.1,514,7.5922,0.5547
2416.9,514.5,7.5876,0.5552
2422.6,515,7.5824,0.5566
2428.1,515.5,7.5777,0.5565
2433.6,516,7.5728,0.5573
2439.1,516.5,7.5682,0.5592
2444.8,517,7.5632,0.5593
2450.6,517.5,7.5576,0.5613
2456.1,518,7.5526,0.5625
2461.6,518.5,7.5477,0.5638
2467.1,519,7.5426,0.5644
2472.6,519.5,7.5375,0.5663
2478.1,520,7.5323,0.5676
2483.8,520.5,7.5272,0.5679
2489.6,521,7.5212,0.5701
2495.1,521.5,7.5157,0.5718
2500.6,522,7.5104,0.5735
2506.1,522.5,7.5049,0.5743
2511.6,523,7.4992,0.5751
2517.1,523.5,7.4936,0.5772
2522.6,524,7.4878,0.5787
2528.1,524.5,7.4824,0.5809
2533.9,525,7.4767,0.5818
2539.6,525.5,7.4702,0.5826
2545.1,526,7.4643,0.5845
2550.6,526.5,7.4582,0.5859
2556.1,527,7.4521,0.5857
2561.6,527.5,7.4459,0.587
2567.1,528,7.4395,0.5874
2572.6,528.5,7.433,0.5883
2578.3,529,7.4264,0.5897
2584.1,529.5,7.4194,0.5904
2589.6,530,7.4129,0.5918
2595.4,530.5,7.4064,0.5926
2601.1,531,7.3987,0.5941
2606.6,531.5,7.3918,0.5955
2612.1,532,7.3847,0.5967
2617.9,532.5,7.3775,0.5974
2623.6,533,7.3696,0.5989
2629.1,533.5,7.3626,0.6008
2634.6,534,7.3553,0.5996
2640.4,534.5,7.3477,0.6012
2646.1,535,7.3394,0.6044
2651.6,535.5,7.3317,0.6061
2657.4,536,7.3243,0.6066
2663.2,536.5,7.3159,0.6088
2668.7,537,7.3079,0.6083
2674.4,537.5,7.2998,0.6094
2680.2,538,7.2911,0.6117
2685.7,538.5,7.2831,0.6125
2691.5,539,7.2748,0.6144
2697.2,539.5,7.2656,0.6153
2702.9,540,7.2572,0.6165
2708.7,540.5,7.2479,0.6179
2714.5,541,7.2389,0.6189
2720.3,541.5,7.2293,0.622
2725.8,542,7.2206,0.6227
2731.5,542.5,7.2116,0.6224
2737.3,543,7.2018,0.6237
2742.8,543.5,7.1924,0.6243
2748.6,544,7.1832,0.6262
2754.3,544.5,7.173,0.6283
2759.8,545,7.1637,0.6292
2765.3,545.5,7.1539,0.6302
2771.1,546,7.1442,0.6315
2776.8,546.5,7.1338,0.63
2782.5,547,7.1238,0.6313
2788.3,547.5,7.113,0.632
2793.8,548,7.1027,0.6342
2799.6,548.5,7.0926,0.6331
2805.3,549,7.0813,0.6336
2811,549.5,7.0709,0.6338
2816.8,550,7.0592,0.633
2822.6,550.5,7.0486,0.6334
2828.4,551,7.0369,0.635
2833.9,551.5,7.0258,0.6361
2839.4,552,7.0149,0.6368
2845.2,552.5,7.0038,0.6384
2851,553,6.9915,0.6396
2856.5,553.5,6.9803,0.6405
2862,554,6.9689,0.6425
2867.8,554.5,6.9574,0.6432
2873.6,555,6.9446,0.6447
2879.1,555.5,6.9331,0.6461
2884.6,556,6.921,0.6466
2890.1,556.5,6.9093,0.6489
2895.6,557,6.8974,0.6492
2901.3,557.5,6.8851,0.6495
2907.1,558,6.8717,0.6498
2912.6,558.5,6.8593,0.6519
2918.1,559,6.8468,0.6532
2923.6,559.5,6.8344,0.6554
2929.1,560,6.8216,0.6583
2934.9,560.5,6.8086,0.6604
2940.6,561,6.7945,0.663
2946.1,561.5,6.7814,0.665
2951.6,562,6.7682,0.6655
2957.1,562.5,6.7549,0.6676
2962.6,563,6.7413,0.6697
2968.4,563.5,6.7278,0.6702
2974.2,564,6.7126,0.6706
2980,564.5,6.6987,0.6714
2985.7,565,6.6833,0.6721
2991.2,565.5,6.6693,0.6724
2996.7,566,6.655,0.6737
3002.5,566.5,6.6407,0.6746
3008.2,567,6.625,0.6755
3013.7,567.5,6.6103,0.6759
3019.2,568,6.5955,0.6774
3025,568.5,6.5805,0.6789
3030.7,569,6.5641,0.6804
3036.4,569.5,6.5489,0.682
3042.2,570,6.5322,0.6819
3047.7,570.5,6.5168,0.6833
3053.2,571,6.5011,0.6837
3058.9,571.5,6.4854,0.6841
3064.7,572,6.4681,0.6862
3070.2,572.5,6.4521,0.686
3076,573,6.4358,0.6871
3081.7,573.5,6.4181,0.6883
3087.4,574,6.4014,0.688
3093.2,574.5,6.383,0.6898
3098.7,575,6.3663,0.6916
3104.5,575.5,6.3492,0.6931
3110.2,576,6.3305,0.6951
3115.7,576.5,6.3131,0.6967
3121.5,577,6.2958,0.6975
3127.3,577.5,6.2767,0.698
3133.1,578,6.2586,0.6991
3138.8,578.5,6.2393,0.7014
3144.5,579,6.2211,0.7025
3150.3,579.5,6.2013,0.7031
3156.1,580,6.1828,0.7032
3161.9,580.5,6.1623,0.7045
3167.7,581,6.1434,0.7053
3173.4,581.5,6.1227,0.7059
3179.1,582,6.1036,0.7058
3184.9,582.5,6.0825,0.7063
3190.4,583,6.063,0.7081
3196.2,583.5,6.0432,0.7087
3201.9,584,6.0218,0.7093
3207.6,584.5,6.0021,0.7112
3213.4,585,5.9799,0.7133
3219.2,585.5,5.9597,0.7151
3225,586,5.9373,0.7162
3230.8,586.5,5.9168,0.7168
3236.5,587,5.8942,0.7181
3242,587.5,5.8735,0.7185
3247.8,588,5.8523,0.7197
3253.8,588.5,5.8295,0.7181
3259.6,589,5.8062,0.719
3265.4,589.5,5.7849,0.7188
3271.1,590,5.7616,0.7184
3276.8,590.5,5.7403,0.7186
3282.8,591,5.7164,0.7181
3288.6,591.5,5.6924,0.7188
3294.1,592,5.6707,0.7192
3299.9,592.5,5.6486,0.7192
3305.6,593,5.6245,0.7204
3311.1,593.5,5.6023,0.7202
3316.6,594,5.58,0.7195
3322.4,594.5,5.5576,0.7205
3328.1,595,5.5331,0.7192
3333.8,595.5,5.5108,0.7187
3339.6,596,5.4861,0.718
3345.4,596.5,5.4633,0.7173
3351.2,597,5.4386,0.7178
3357,597.5,5.4156,0.7182
3362.7,598,5.3905,0.7184
3368.4,598.5,5.3674,0.7199
3374.2,599,5.3423,0.7197
3380,599.5,5.3191,0.7216
3385.8,600,5.2937,0.7214
3391.3,600.5,5.2704,0.7229
3397,601,5.2469,0.7226
3402.8,601.5,5.2212,0.7243
3408.3,602,5.1977,0.7236
3413.8,602.5,5.1739,0.7226
3419.5,603,5.1503,0.7218
3425.3,603.5,5.1242,0.7228
3431.1,604,5.1003,0.7225
3436.9,604.5,5.0739,0.7237
3442.7,605,5.0496,0.7243
3448.4,605.5,5.0231,0.724
3453.9,606,4.9984,0.7238
3459.7,606.5,4.9738,0.7241
3465.5,607,4.9466,0.7241
3471.3,607.5,4.9215,0.7255
3477,608,4.8943,0.7263
3482.7,608.5,4.869,0.7262
3488.5,609,4.8411,0.727
3494.3,609.5,4.8153,0.7273
3500.1,610,4.7871,0.7293
3505.6,610.5,4.7611,0.7312
3511.3,611,4.7346,0.7326
3517.1,611.5,4.7058,0.7341
3522.6,612,4.6787,0.7353
3528.4,612.5,4.6516,0.736
3534.1,613,4.6217,0.7379
3539.8,613.5,4.594,0.7413
3545.6,614,4.5632,0.7429
3551.4,614.5,4.5351,0.7456
3557.4,615,4.5037,0.7496
3563.2,615.5,4.472,0.7525
3568.7,616,4.4426,0.7558
3574.4,616.5,4.4127,0.7586
3580.4,617,4.3799,0.7617
3586.2,617.5,4.3466,0.7637
3592,618,4.3157,0.7671
3598,618.5,4.2816,0.7719
3603.8,619,4.2467,0.777
3609.6,619.5,4.2144,0.7809
3615.6,620,4.1789,0.7876
3621.3,620.5,4.1429,0.7925
3626.8,621,4.1092,0.7983
3632.6,621.5,4.0748,0.8035
3638.6,622,4.0372,0.811
3644.6,622.5,3.9992,0.8153
3650.4,623,3.9605,0.8212
3656.2,623.5,3.9246,0.8261
3662.2,624,3.885,0.8324
3667.9,624.5,3.8447,0.8379
3673.6,625,3.8077,0.8421
3679.6,625.5,3.7664,0.847
3685.4,626,3.7251,0.8524
3691.2,626.5,3.686,0.8564
3697.2,627,3.6446,0.861
3703,627.5,3.6013,0.8634
3708.8,628,3.5627,0.8658
3714.8,628.5,3.5195,0.8685
3720.5,629,3.4762,0.8726
3726.2,629.5,3.4365,0.8763
3732,630,3.3922,0.8789
3737.8,630.5,3.3529,0.8806
3743.6,631,3.3086,0.8805
3749.4,631.5,3.2685,0.8797
3755.1,632,3.2257,0.8788
3760.6,632.5,3.185,0.877
3766.4,633,3.1456,0.8745
3772.2,633.5,3.103,0.8708
3777.7,634,3.0643,0.8668
3783.2,634.5,3.026,0.8632
3789,635,2.988,0.8572
3794.8,635.5,2.9476,0.8495
3800.3,636,2.9113,0.8422
3805.8,636.5,2.8755,0.8359
3811.3,637,2.8406,0.8283
3817.1,637.5,2.8065,0.819
3822.8,638,2.7707,0.809
3828.3,638.5,2.7389,0.7989
3833.8,639,2.7081,0.79
3839.6,639.5,2.6787,0.7778
3845.3,640,2.6476,0.7637
3851,640.5,2.6204,0.7497
3856.8,641,2.5924,0.7336
3862.3,641.5,2.5682,0.716
3868.1,642,2.545,0.7007
3873.8,642.5,2.5213,0.6832
3879.3,643,2.5011,0.6688
3885.1,643.5,2.482,0.654
3890.9,644,2.4624,0.636
3896.4,644.5,2.446,0.6219
3902.1,645,2.4306,0.6065
3907.9,645.5,2.4155,0.5899
3913.4,646,2.4027,0.5742
3918.9,646.5,2.3907,0.5593
3924.4,647,2.3797,0.5462
3929.9,647.5,2.3698,0.5335
3935.7,648,2.3606,0.5205
3941.4,648.5,2.3516,0.5073
3946.9,649,2.3437,0.4957
3952.4,649.5,2.3366,0.4878
3957.9,650,2.3302,0.4796
3963.6,650.5,2.3238,0.4733
3969.4,651,2.3174,0.4679
3975.2,651.5,2.3121,0.4635
3981,652,2.3067,0.4607
3986.5,652.5,2.302,0.4585
3992,653,2.2975,0.4576
3997.8,653.5,2.2931,0.4552
4003.8,654,2.2886,0.4531
4009.6,654.5,2.2843,0.4517
4015.4,655,2.2806,0.4497
4021.1,655.5,2.2766,0.4477
4026.8,656,2.2727,0.4451
4032.8,656.5,2.2687,0.4429
4038.6,657,2.2648,0.4402
4044.4,657.5,2.2612,0.4377
4050.4,658,2.2575,0.4358
4056.2,658.5,2.2538,0.4341
4062,659,2.2503,0.4328
4068,659.5,2.2468,0.4328
4073.7,660,2.243,0.4313
4079.4,660.5,2.2395,0.4305
4085.4,661,2.2357,0.4278
4091.2,661.5,2.232,0.426
4097,662,2.2287,0.4244
4102.8,662.5,2.2252,0.422
4108.6,663,2.222,0.4203
4114.6,663.5,2.2185,0.4193
4120.3,664,2.2149,0.4185
4126,664.5,2.2116,0.4176
4131.8,665,2.2083,0.4154
4137.6,665.5,2.2049,0.4148
4143.6,666,2.2015,0.4122
4149.4,666.5,2.1981,0.4106
4155.2,667,2.195,0.4081
4160.9,667.5,2.1915,0.4058
4166.6,668,2.1883,0.4039
4172.6,668.5,2.1849,0.4027
4178.4,669,2.1815,0.4021
4184.2,669.5,2.1786,0.401
4190.2,670,2.1752,0.3994
4196.2,670.5,2.1717,0.396
4202.2,671,2.1682,0.3937
4208,671.5,2.1648,0.3913
4213.8,672,2.1616,0.3906
4219.8,672.5,2.1581,0.3895
4225.8,673,2.1545,0.388
4231.5,673.5,2.1511,0.3859
4237.2,674,2.1481,0.3854
4243.2,674.5,2.1446,0.3834
4249.2,675,2.1413,0.3835
4255,675.5,2.138,0.3827
4260.8,676,2.1349,0.3828
4266.8,676.5,2.1315,0.3812
4272.8,677,2.128,0.3801
4278.6,677.5,2.1246,0.3807
4284.4,678,2.1214,0.3807
4290.4,678.5,2.118,0.381
4296.4,679,2.1146,0.3801
4302.1,679.5,2.1111,0.3784
4307.8,680,2.1078,0.3772
4313.8,680.5,2.1045,0.3775
4319.6,681,2.101,0.3768
4325.6,681.5,2.0978,0.3759
4331.8,682,2.094,0.3764
4337.8,682.5,2.0905,0.3753
4343.6,683,2.0873,0.3749
4349.4,683.5,2.0842,0.3743
4355.4,684,2.0809,0.3735
4361.4,684.5,2.0773,0.3741
4367.4,685,2.074,0.3743
4373.4,685.5,2.0704,0.3723
4379.2,686,2.0671,0.3718
4385,686.5,2.064,0.372
4391,687,2.0606,0.3723
4397,687.5,2.0571,0.3731
4402.7,688,2.0538,0.3722
4408.4,688.5,2.0506,0.372
4414.4,689,2.0471,0.3702
4420.4,689.5,2.0437,0.3683
4426.4,690,2.0402,0.3662
4432.2,690.5,2.037,0.3644
4438,691,2.034,0.3624
4444,691.5,2.0305,0.3597
4449.8,692,2.0272,0.3578
4455.6,692.5,2.0239,0.3547
4461.6,693,2.0206,0.3514
4467.6,693.5,2.0172,0.3441
4473.6,694,2.0139,0.3418
4479.3,694.5,2.0106,0.3406
4485,695,2.0075,0.34
4491,695.5,2.0041,0.3381
4496.8,696,2.001,0.3358
4502.6,696.5,1.9979,0.3344
4508.6,697,1.9947,0.3321
4514.6,697.5,1.9916,0.3323
4520.6,698,1.9884,0.3321
4526.4,698.5,1.9853,0.3314
4532.2,699,1.9822,0.3297
4538.2,699.5,1.9791,0.3296
4543.9,700,1.976,0.3298
4549.6,700.5,1.9732,0.3299
4555.6,701,1.9701,0.3317
4561.4,701.5,1.9672,0.3336
4567.2,702,1.9643,0.3356
4573.2,702.5,1.9612,0.3359
4579.2,703,1.9581,0.338
4585.2,703.5,1.9552,0.3386
4591.2,704,1.9522,0.3396
4597.2,704.5,1.9492,0.3401
4603.2,705,1.9462,0.3381
4609,705.5,1.9433,0.3372
4614.8,706,1.9408,0.3356
4620.8,706.5,1.938,0.3366
4626.8,707,1.9351,0.3385
4632.8,707.5,1.9322,0.339
4638.5,708,1.9296,0.3391
4644.2,708.5,1.9271,0.3402
4650.2,709,1.9243,0.3422
