Time (s),Temperature (K),Mass (mg),Heat Flow Rate(W/g)
251.5,378.5,6.9815,1.3548
253,379,6.9803,1.3469
254.5,379.5,6.9786,1.335
256,380,6.9768,1.323
257.5,380.5,6.9751,1.3107
259,381,6.9741,1.3027
260.5,381.5,6.9725,1.2907
262,382,6.971,1.279
263.5,382.5,6.97,1.2712
265,383,6.9686,1.2592
266.5,383.5,6.9672,1.2474
268,384,6.9659,1.2359
269.5,384.5,6.9651,1.2283
271,385,6.9638,1.217
272.5,385.5,6.9626,1.2054
274,386,6.9617,1.1977
275.5,386.5,6.9606,1.186
277,387,6.9594,1.1746
278.5,387.5,6.9584,1.1634
280,388,6.9573,1.1525
281.5,388.5,6.9566,1.1454
283,389,6.9555,1.1349
284.5,389.5,6.9544,1.1245
286,390,6.9535,1.1145
287.5,390.5,6.9529,1.1079
289,391,6.952,1.0983
290.5,391.5,6.9512,1.0891
292,392,6.9504,1.0801
293.5,392.5,6.9499,1.0744
295,393,6.949,1.0658
296.5,393.5,6.9482,1.0576
298,394,6.9473,1.0499
299.5,394.5,6.9466,1.0428
301,395,6.9461,1.0384
302.5,395.5,6.9455,1.0324
304,396,6.9448,1.0267
305.5,396.5,6.9441,1.0211
307,397,6.9437,1.0177
308.5,397.5,6.9429,1.0125
310,398,6.9423,1.0079
311.5,398.5,6.9417,1.0034
313,399,6.9411,0.9992
314.5,399.5,6.9407,0.9966
316,400,6.94,0.9932
317.5,400.5,6.9393,0.99
319,401,6.9388,0.987
320.5,401.5,6.9382,0.9839
322,402,6.9379,0.9818
323.5,402.5,6.9373,0.979
325,403,6.9367,0.9767
326.5,403.5,6.9361,0.9749
328,404,6.9357,0.9739
329.5,404.5,6.9352,0.9727
331,405,6.9346,0.9713
332.5,405.5,6.9341,0.9698
334,406,6.9335,0.9683
335.5,406.5,6.9331,0.9677
337,407,6.9326,0.967
338.5,407.5,6.9321,0.9664
340,408,6.9317,0.9658
341.5,408.5,6.9313,0.9655
343,409,6.9308,0.9651
344.5,409.5,6.9303,0.965
346,410,6.9297,0.965
347.5,410.5,6.9293,0.9653
349,411,6.929,0.9656
350.5,411.5,6.9286,0.9662
352,412,6.9282,0.9667
353.5,412.5,6.9278,0.9675
355,413,6.9275,0.9681
356.5,413.5,6.927,0.9692
358,414,6.9265,0.9702
359.5,414.5,6.926,0.9711
361,415,6.9257,0.9716
362.5,415.5,6.9252,0.9726
364,416,6.9248,0.9738
365.5,416.5,6.9243,0.9752
367,417,6.924,0.9764
368.5,417.5,6.9235,0.9781
370,418,6.9231,0.9805
371.5,418.5,6.9226,0.9838
373,419,6.9221,0.9886
374.5,419.5,6.9218,0.9921
376,420,6.9213,0.9969
377.5,420.5,6.9208,1.0009
379,421,6.9203,1.0038
380.5,421.5,6.9198,1.007
382,422,6.9195,1.009
383.5,422.5,6.9191,1.0125
385,423,6.9186,1.0159
386.5,423.5,6.9181,1.019
388,424,6.9178,1.0212
389.5,424.5,6.9173,1.0244
391,425,6.9169,1.0281
392.5,425.5,6.9165,1.032
394,426,6.9161,1.0359
395.5,426.5,6.9158,1.0385
397,427,6.9153,1.0423
398.5,427.5,6.915,1.0463
400,428,6.9145,1.0506
401.5,428.5,6.9142,1.0535
403,429,6.9137,1.058
404.5,429.5,6.9133,1.0629
406,430,6.9128,1.068
407.5,430.5,6.9124,1.0711
409,431,6.9121,1.0764
410.5,431.5,6.9116,1.0806
412,432,6.9112,1.0855
413.5,432.5,6.9108,1.0899
415,433,6.9105,1.0932
416.5,433.5,6.9101,1.0988
418,434,6.9097,1.1041
419.5,434.5,6.9092,1.1088
421,435,6.9089,1.112
422.5,435.5,6.9086,1.1167
424,436,6.9081,1.121
425.5,436.5,6.9077,1.1255
427,437,6.9073,1.1284
428.5,437.5,6.9068,1.1329
430,438,6.9063,1.1369
431.5,438.5,6.9059,1.1399
433,439,6.9056,1.1421
434.5,439.5,6.9052,1.1451
436,440,6.9047,1.1482
437.5,440.5,6.9043,1.1515
439,441,6.9038,1.1552
440.5,441.5,6.9033,1.1592
442,442,6.903,1.1619
443.5,442.5,6.9025,1.1655
445,443,6.902,1.1692
446.5,443.5,6.9015,1.1733
448,444,6.9012,1.1765
449.5,444.5,6.9008,1.1803
451,445,6.9003,1.1844
452.5,445.5,6.8999,1.1886
454,446,6.8996,1.1912
455.5,446.5,6.8991,1.1952
457,447,6.8985,1.1991
458.5,447.5,6.8979,1.2036
460,448,6.8975,1.207
461.5,448.5,6.8969,1.2117
463,449,6.8963,1.2162
464.5,449.5,6.8958,1.221
466,450,6.8955,1.2242
467.5,450.5,6.895,1.2291
469,451,6.8945,1.2338
470.5,451.5,6.8939,1.2382
472,452,6.8935,1.2415
473.5,452.5,6.893,1.2458
475,453,6.8923,1.2504
476.5,453.5,6.8918,1.2552
478,454,6.8911,1.2599
479.5,454.5,6.8908,1.2633
481,455,6.8901,1.2681
482.5,455.5,6.8895,1.2728
484,456,6.889,1.276
485.5,456.5,6.8883,1.2802
487,457,6.8877,1.2852
488.5,457.5,6.8871,1.2899
490,458,6.8866,1.2928
491.5,458.5,6.8859,1.2974
493,459,6.8852,1.3023
494.5,459.5,6.8845,1.3071
496,460,6.8841,1.3106
497.5,460.5,6.8834,1.3156
499,461,6.8825,1.3202
500.5,461.5,6.8818,1.3249
502,462,6.8811,1.3293
503.5,462.5,6.8806,1.3323
505,463,6.8799,1.3369
506.5,463.5,6.8791,1.3411
508,464,6.8786,1.3446
509.5,464.5,6.8778,1.3489
511,465,6.877,1.3536
512.5,465.5,6.8762,1.3581
514,466,6.8756,1.361
515.5,466.5,6.8748,1.3654
517,467,6.8738,1.3698
518.5,467.5,6.8733,1.3726
520,468,6.8724,1.3765
521.5,468.5,6.8714,1.3802
523,469,6.8705,1.3839
524.5,469.5,6.8698,1.3865
526,470,6.8687,1.3904
527.5,470.5,6.8678,1.3942
529,471,6.8671,1.3966
530.5,471.5,6.8661,1.4002
532,472,6.8652,1.404
533.5,472.5,6.8643,1.4079
535,473,6.8636,1.4106
536.5,473.5,6.8625,1.4146
538,474,6.8614,1.419
539.5,474.5,6.8606,1.4218
541,475,6.8595,1.4262
542.5,475.5,6.8583,1.4305
544,476,6.857,1.4347
545.5,476.5,6.8561,1.4377
547,477,6.8549,1.4418
548.5,477.5,6.8536,1.4455
550,478,6.8528,1.4479
551.5,478.5,6.8515,1.4516
553,479,6.8501,1.4554
554.5,479.5,6.8488,1.4591
556,480,6.8479,1.4614
557.5,480.5,6.8465,1.4645
559,481,6.8451,1.4674
560.5,481.5,6.8437,1.47
562,482,6.8427,1.4717
563.5,482.5,6.8413,1.4744
565,483,6.8398,1.4767
566.5,483.5,6.8382,1.479
568,484,6.8371,1.4803
569.5,484.5,6.8355,1.4824
571,485,6.834,1.4847
572.5,485.5,6.833,1.4863
574,486,6.8314,1.4886
575.5,486.5,6.8297,1.4911
577,487,6.8281,1.4937
578.5,487.5,6.827,1.4954
580,488,6.8254,1.4984
581.5,488.5,6.8237,1.5015
583,489,6.8219,1.5046
584.5,489.5,6.8208,1.5065
586,490,6.8189,1.509
587.5,490.5,6.8171,1.5113
589,491,6.8158,1.5128
590.5,491.5,6.8139,1.5157
592,492,6.812,1.5183
593.5,492.5,6.81,1.5218
595,493,6.8087,1.5241
596.5,493.5,6.8067,1.5276
598,494,6.8046,1.5312
599.5,494.5,6.8026,1.5344
601,495,6.8012,1.537
602.5,495.5,6.7991,1.5396
604,496,6.797,1.5427
605.5,496.5,6.7956,1.5453
607,497,6.7935,1.5481
608.5,497.5,6.7913,1.5518
610,498,6.7897,1.5539
611.5,498.5,6.7875,1.5569
613,499,6.7853,1.5606
614.5,499.5,6.7831,1.5642
616,500,6.7816,1.5664
617.5,500.5,6.7794,1.5696
619,501,6.777,1.5727
620.5,501.5,6.7755,1.5748
622,502,6.7731,1.5786
623.5,502.5,6.7707,1.5814
625,503,6.7691,1.5835
626.5,503.5,6.7667,1.5868
628,504,6.7643,1.5895
629.5,504.5,6.7618,1.592
631,505,6.7603,1.5931
632.5,505.5,6.7578,1.5969
634,506,6.7553,1.5998
635.5,506.5,6.7528,1.6021
637,507,6.7512,1.6036
638.5,507.5,6.7487,1.6059
640,508,6.7463,1.6087
641.5,508.5,6.7438,1.6105
643,509,6.7421,1.6122
644.5,509.5,6.7396,1.6149
646,510,6.737,1.6172
647.5,510.5,6.7344,1.6189
649,511,6.7327,1.621
650.5,511.5,6.73,1.6234
652,512,6.7273,1.6254
653.5,512.5,6.7255,1.6272
655,513,6.7227,1.6297
656.5,513.5,6.72,1.6325
658,514,6.7171,1.6358
659.5,514.5,6.7153,1.637
661,515,6.7125,1.6391
662.5,515.5,6.7097,1.6413
664,516,6.7077,1.6424
665.5,516.5,6.7049,1.644
667,517,6.7019,1.6465
668.5,517.5,6.699,1.6491
670,518,6.697,1.6511
671.5,518.5,6.694,1.6529
673,519,6.6909,1.6553
674.5,519.5,6.6888,1.6564
676,520,6.6856,1.6583
677.5,520.5,6.6826,1.6604
679,521,6.6804,1.6617
680.5,521.5,6.6772,1.664
682,522,6.674,1.6666
683.5,522.5,6.6717,1.6679
685,523,6.6684,1.6696
686.5,523.5,6.665,1.671
688,524,6.6615,1.6735
689.5,524.5,6.6592,1.6749
691,525,6.6557,1.6766
692.5,525.5,6.6534,1.6782
694,526,6.6498,1.6801
695.5,526.5,6.6462,1.6813
697,527,6.6437,1.6829
698.5,527.5,6.64,1.6846
700,528,6.6362,1.6865
701.5,528.5,6.6324,1.6881
703,529,6.6298,1.6886
704.5,529.5,6.6259,1.69
706,530,6.6219,1.692
707.5,530.5,6.6192,1.6925
709,531,6.6151,1.6939
710.5,531.5,6.611,1.6952
712,532,6.6082,1.6959
713.5,532.5,6.6041,1.6971
715,533,6.5998,1.6983
716.5,533.5,6.5955,1.6998
718,534,6.5925,1.7006
719.5,534.5,6.5881,1.7019
721,535,6.5837,1.7031
722.5,535.5,6.5807,1.704
724,536,6.5763,1.7048
725.5,536.5,6.5717,1.7057
727,537,6.5686,1.7061
728.5,537.5,6.5639,1.7066
730,538,6.5591,1.7082
731.5,538.5,6.5559,1.7091
733,539,6.5511,1.7105
734.5,539.5,6.5463,1.7115
736,540,6.5413,1.712
737.5,540.5,6.5379,1.7127
739,541,6.5328,1.7135
740.5,541.5,6.5276,1.7146
742,542,6.5242,1.7157
743.5,542.5,6.519,1.7174
745,543,6.5138,1.7192
746.5,543.5,6.5103,1.7206
748,544,6.5049,1.7226
749.5,544.5,6.4995,1.7248
751,545,6.4958,1.7266
752.5,545.5,6.4903,1.7293
754,546,6.4846,1.7324
755.5,546.5,6.4808,1.7342
757,547,6.475,1.7369
758.5,547.5,6.4691,1.739
760,548,6.4631,1.7412
761.5,548.5,6.4591,1.7428
763,549,6.4532,1.7448
764.5,549.5,6.4471,1.7469
766,550,6.4409,1.7491
767.5,550.5,6.4367,1.7508
769,551,6.4303,1.7537
770.5,551.5,6.4238,1.7565
772,552,6.4173,1.7592
773.5,552.5,6.4129,1.7611
775,553,6.4063,1.7641
776.5,553.5,6.3995,1.7669
778,554,6.395,1.7688
779.5,554.5,6.3882,1.7714
781,555,6.3813,1.7741
782.5,555.5,6.3765,1.7758
784,556,6.3694,1.7783
785.5,556.5,6.3621,1.7816
787,557,6.3547,1.7849
788.5,557.5,6.3497,1.7868
790,558,6.3422,1.7897
791.5,558.5,6.3347,1.7922
793,559,6.3296,1.7942
794.5,559.5,6.3219,1.7976
796,560,6.3141,1.8008
797.5,560.5,6.3088,1.8028
799,561,6.3009,1.8058
800.5,561.5,6.2929,1.8084
802,562,6.2875,1.81
803.5,562.5,6.2793,1.8125
805,563,6.271,1.815
806.5,563.5,6.2653,1.817
808,564,6.2569,1.8196
809.5,564.5,6.2482,1.8225
811,565,6.2425,1.8248
812.5,565.5,6.2337,1.8285
814,566,6.2249,1.8325
815.5,566.5,6.216,1.8361
817,567,6.2099,1.8381
818.5,567.5,6.2008,1.8407
820,568,6.1916,1.8433
821.5,568.5,6.1853,1.8451
823,569,6.176,1.8478
824.5,569.5,6.1664,1.8506
826,570,6.1599,1.8523
827.5,570.5,6.1502,1.8549
829,571,6.1404,1.8573
830.5,571.5,6.1339,1.859
832,572,6.1239,1.8611
833.5,572.5,6.1137,1.8626
835,573,6.1035,1.8641
836.5,573.5,6.0965,1.8648
838,574,6.0862,1.8655
839.5,574.5,6.0756,1.8663
841,575,6.0685,1.8668
842.5,575.5,6.0579,1.8678
844,576,6.0469,1.8693
845.5,576.5,6.036,1.8707
847,577,6.0286,1.8709
848.5,577.5,6.0174,1.8714
850,578,6.0062,1.8714
851.5,578.5,5.9986,1.8714
853,579,5.9871,1.872
854.5,579.5,5.9755,1.8721
856,580,5.9638,1.8718
857.5,580.5,5.9559,1.8713
859,581,5.944,1.8699
860.5,581.5,5.932,1.8685
862,582,5.9238,1.8677
863.5,582.5,5.9115,1.8665
865,583,5.899,1.8654
866.5,583.5,5.8905,1.8648
868,584,5.8777,1.8637
869.5,584.5,5.8649,1.8629
871,585,5.8563,1.8621
872.5,585.5,5.8434,1.8607
874,586,5.8302,1.8592
875.5,586.5,5.8213,1.8581
877,587,5.808,1.8567
878.5,587.5,5.7945,1.8552
880,588,5.7856,1.8541
881.5,588.5,5.772,1.8526
883,589,5.7582,1.8511
884.5,589.5,5.7443,1.8501
886,590,5.7349,1.8492
887.5,590.5,5.7208,1.8473
889,591,5.7065,1.8454
890.5,591.5,5.6969,1.8441
892,592,5.6824,1.843
893.5,592.5,5.6676,1.8425
895,593,5.6527,1.842
896.5,593.5,5.6428,1.8417
898,594,5.6277,1.842
899.5,594.5,5.6126,1.8426
901,595,5.6022,1.8432
902.5,595.5,5.5866,1.8446
904,596,5.571,1.8458
905.5,596.5,5.555,1.847
907,597,5.5444,1.8479
908.5,597.5,5.5282,1.849
910,598,5.5118,1.8506
911.5,598.5,5.5009,1.8518
913,599,5.4842,1.8537
914.5,599.5,5.4675,1.8559
916,600,5.4562,1.8571
917.5,600.5,5.4392,1.8586
919,601,5.4221,1.8592
920.5,601.5,5.4047,1.8595
922,602,5.3931,1.8599
923.5,602.5,5.3754,1.8613
925,603,5.3576,1.863
926.5,603.5,5.3457,1.8644
928,604,5.3275,1.8663
929.5,604.5,5.3093,1.8683
931,605,5.291,1.8704
932.5,605.5,5.2785,1.8715
934,606,5.2599,1.8731
935.5,606.5,5.241,1.8745
937,607,5.2284,1.8754
938.5,607.5,5.2094,1.8769
940,608,5.1902,1.8789
941.5,608.5,5.1774,1.8801
943,609,5.1579,1.8817
944.5,609.5,5.1382,1.8834
946,610,5.1186,1.8848
947.5,610.5,5.1053,1.8854
949,611,5.0854,1.8866
950.5,611.5,5.0654,1.8873
952,612,5.0519,1.8877
953.5,612.5,5.0318,1.8888
955,613,5.0114,1.8893
956.5,613.5,4.991,1.8896
958,614,4.9774,1.8893
959.5,614.5,4.9567,1.8887
961,615,4.9361,1.8883
962.5,615.5,4.9222,1.8882
964,616,4.9013,1.8881
965.5,616.5,4.8804,1.8877
967,617,4.8593,1.8867
968.5,617.5,4.8453,1.8861
970,618,4.8242,1.8851
971.5,618.5,4.803,1.8844
973,619,4.7819,1.8831
974.5,619.5,4.7676,1.8822
976,620,4.7463,1.8813
977.5,620.5,4.7248,1.8803
979,621,4.7104,1.8796
980.5,621.5,4.689,1.8781
982,622,4.6674,1.8765
983.5,622.5,4.6458,1.8746
985,623,4.6314,1.8735
986.5,623.5,4.6096,1.8718
988,624,4.5878,1.8706
989.5,624.5,4.5659,1.8697
991,625,4.544,1.8686
992.5,625.5,4.5295,1.868
994,626,4.5075,1.8671
995.5,626.5,4.4854,1.8662
997,627,4.4634,1.866
998.5,627.5,4.4485,1.8657
1000,628,4.4263,1.8659
1001.5,628.5,4.404,1.8663
1003,629,4.3814,1.8669
1004.5,629.5,4.3665,1.8675
1006,630,4.3438,1.8681
1007.5,630.5,4.3211,1.8688
1009,631,4.2983,1.87
1010.5,631.5,4.2828,1.8704
1012,632,4.2597,1.8716
1013.5,632.5,4.2363,1.8731
1015,633,4.2206,1.8743
1016.5,633.5,4.1971,1.8772
1018,634,4.1732,1.8806
1019.5,634.5,4.1492,1.885
1021,635,4.125,1.8905
1022.5,635.5,4.1086,1.895
1024,636,4.0842,1.9023
1025.5,636.5,4.0593,1.9107
1027,637,4.0426,1.9169
1028.5,637.5,4.0173,1.9267
1030,638,3.9917,1.938
1031.5,638.5,3.9659,1.9507
1033,639,3.9398,1.9655
1034.5,639.5,3.9222,1.9762
1036,640,3.8957,1.9935
1037.5,640.5,3.8687,2.0123
1039,641,3.8413,2.0322
1040.5,641.5,3.8138,2.054
1042,642,3.7858,2.0766
1043.5,642.5,3.7669,2.0922
1045,643,3.7383,2.1161
1046.5,643.5,3.7093,2.1407
1048,644,3.6798,2.1668
1049.5,644.5,3.65,2.1946
1051,645,3.6198,2.2229
1052.5,645.5,3.5996,2.2423
1054,646,3.5688,2.271
1055.5,646.5,3.5376,2.3006
1057,647,3.5062,2.332
1058.5,647.5,3.4742,2.364
1060,648,3.4416,2.3969
1061.5,648.5,3.4089,2.4302
1063,649,3.3866,2.4524
1064.5,649.5,3.3532,2.4869
1066,650,3.3196,2.5212
1067.5,650.5,3.2854,2.5546
1069,651,3.251,2.5868
1070.5,651.5,3.2163,2.618
1072,652,3.1929,2.6383
1073.5,652.5,3.1579,2.6681
1075,653,3.1223,2.6965
1076.5,653.5,3.0866,2.7235
1078,654,3.0509,2.7487
1079.5,654.5,3.0148,2.7721
1081,655,2.9786,2.7933
1082.5,655.5,2.9546,2.8063
1084,656,2.9183,2.8225
1085.5,656.5,2.8823,2.8349
1087,657,2.8462,2.8438
1088.5,657.5,2.8103,2.8483
1090,658,2.7748,2.8491
1091.5,658.5,2.7511,2.847
1093,659,2.7159,2.8393
1094.5,659.5,2.6813,2.8273
1096,660,2.647,2.8107
1097.5,660.5,2.6245,2.7969
1099,661,2.5911,2.7721
1100.5,661.5,2.5583,2.7416
1102,662,2.5265,2.7051
1103.5,662.5,2.5056,2.6783
1105,663,2.4752,2.6342
1106.5,663.5,2.4457,2.5869
1108,664,2.4169,2.5377
1109.5,664.5,2.3985,2.5025
1111,665,2.3715,2.447
1112.5,665.5,2.3455,2.388
1114,666,2.3289,2.3474
1115.5,666.5,2.3049,2.2872
1117,667,2.2821,2.2276
1118.5,667.5,2.2676,2.1875
1120,668,2.2469,2.125
1121.5,668.5,2.2275,2.0466
1123,669,2.2153,1.9766
1124.5,669.5,2.2036,1.8902
1126,670,2.1872,1.7336
1127.5,670.5,2.1769,1.6173
1129,671,2.1622,1.4453
1130.5,671.5,2.1532,1.3353
1132,672,2.1404,1.1812
1133.5,672.5,2.1325,1.0859
1135,673,2.1216,0.9535
1136.5,673.5,2.1148,0.8736
1138,674,2.1054,0.7628
1139.5,674.5,2.0995,0.695
1141,675,2.0913,0.5999
1142.5,675.5,2.0838,0.5122
1144,676,2.0792,0.4569
1145.5,676.5,2.0728,0.3783
1147,677,2.0669,0.3046
1148.5,677.5,2.0615,0.2334
1150,678,2.0581,0.1873
1151.5,678.5,2.0533,0.121
1153,679,2.0489,0.0585
1154.5,679.5,2.0447,0.0008
1156,680,2.0406,-0.0528
1157.5,680.5,2.0367,-0.1031
1159,681,2.0342,-0.1351
1160.5,681.5,2.0305,-0.1803
1162,682,2.027,-0.2226
1163.5,682.5,2.0236,-0.2615
1165,683,2.0202,-0.2983
1166.5,683.5,2.018,-0.3213
1168,684,2.0147,-0.3536
1169.5,684.5,2.0115,-0.3827
1171,685,2.0084,-0.4088
1172.5,685.5,2.0054,-0.4327
1174,686,2.0023,-0.4546
1175.5,686.5,1.9993,-0.4749
1177,687,1.9974,-0.4875
1178.5,687.5,1.9945,-0.505
1180,688,1.9916,-0.5209
1181.5,688.5,1.9888,-0.5354
1183,689,1.9859,-0.5491
1184.5,689.5,1.9831,-0.5624
1186,690,1.9803,-0.5751
1187.5,690.5,1.9785,-0.5835
1189,691,1.9758,-0.596
1190.5,691.5,1.9731,-0.6084
1192,692,1.9704,-0.6204
1193.5,692.5,1.9676,-0.6325
1195,693,1.9649,-0.6444
1196.5,693.5,1.9632,-0.6522
1198,694,1.9606,-0.664
1199.5,694.5,1.9581,-0.6756
1201,695,1.9555,-0.6876
1202.5,695.5,1.9529,-0.6999
1204,696,1.9503,-0.7121
1205.5,696.5,1.9477,-0.7239
1207,697,1.946,-0.7321
1208.5,697.5,1.9435,-0.7435
1210,698,1.941,-0.7546
1211.5,698.5,1.9385,-0.7655
1213,699,1.936,-0.7763
1214.5,699.5,1.9334,-0.7863
1216,700,1.9318,-0.7925
1217.5,700.5,1.9293,-0.8007
1219,701,1.9268,-0.8078
1220.5,701.5,1.9243,-0.8138
1222,702,1.9218,-0.8183
1223.5,702.5,1.9194,-0.8232
1225,703,1.917,-0.8291
1226.5,703.5,1.9154,-0.8341
1228,704,1.913,-0.843
1229.5,704.5,1.9106,-0.8516
1231,705,1.9082,-0.8589
1232.5,705.5,1.9058,-0.8647
1234,706,1.9034,-0.8694
1235.5,706.5,1.901,-0.8735
1237,707,1.8986,-0.8774
1238.5,707.5,1.8971,-0.8798
1240,708,1.8947,-0.8828
1241.5,708.5,1.8923,-0.8855
1243,709,1.8898,-0.8884
1244.5,709.5,1.8873,-0.8911
1246,710,1.8849,-0.8938
1247.5,710.5,1.8825,-0.8957
1249,711,1.8801,-0.8975
1250.5,711.5,1.8777,-0.8998
1252,712,1.8753,-0.9029
1253.5,712.5,1.873,-0.9057
1255,713,1.8715,-0.9076
1256.5,713.5,1.8692,-0.91
1258,714,1.8668,-0.9116
1259.5,714.5,1.8645,-0.9131
1261,715,1.8621,-0.9145
1262.5,715.5,1.8597,-0.9161
1264,716,1.8573,-0.9183
1265.5,716.5,1.8549,-0.9202
1267,717,1.8526,-0.9214
1268.5,717.5,1.8502,-0.9217
1270,718,1.8479,-0.9217
1271.5,718.5,1.8456,-0.9218
1273,719,1.8433,-0.9214
1274.5,719.5,1.8418,-0.9212
1276,720,1.8395,-0.9206
1277.5,720.5,1.8373,-0.9203
1279,721,1.8351,-0.9205
1280.5,721.5,1.8329,-0.9197
1282,722,1.8307,-0.9181
1283.5,722.5,1.8284,-0.9148
1285,723,1.8263,-0.9101
1286.5,723.5,1.8241,-0.9042
1288,724,1.8219,-0.8971
1289.5,724.5,1.8197,-0.8896
1291,725,1.8175,-0.8823
1292.5,725.5,1.8154,-0.875
1294,726,1.8132,-0.8677
1295.5,726.5,1.8111,-0.8602
1297,727,1.809,-0.8531
1298.5,727.5,1.8069,-0.846
1300,728,1.8055,-0.8416
1301.5,728.5,1.8034,-0.8352
1303,729,1.8013,-0.8286
1304.5,729.5,1.7992,-0.8227
1306,730,1.797,-0.8166
1307.5,730.5,1.7949,-0.8105
1309,731,1.7928,-0.8045
1310.5,731.5,1.7908,-0.7983
1312,732,1.7888,-0.7921
1313.5,732.5,1.7869,-0.786
1315,733,1.7849,-0.7794
1316.5,733.5,1.783,-0.7724
1318,734,1.7811,-0.7655
1319.5,734.5,1.7792,-0.7583
1321,735,1.7773,-0.7511
1322.5,735.5,1.7754,-0.7434
