Time,Mass,HRR,T_1,T_3,T_4
267,0.73482,58.77888182,837.952,908.829,600.694
268,0.7204,53.48696135,822.802,851.896,597.773
269,0.720085,46.62757051,814.878,818.396,595.105
270,0.631924,44.7811673,810.792,824.879,593.102
271,0.534943,43.94165497,810.172,771.654,591.507
272,0.429491,41.20240498,806.355,777.104,589.743
273,0.334399,36.22265348,802.975,770.197,587.909
274,0.49194,32.87599073,804.22,746.213,587.065
275,0.519408,29.18634393,805.013,716.681,586.255
276,0.603036,27.02552364,807.186,732.703,585.469
277,0.704344,24.58646585,809.022,694.997,585
278,0.80712,22.75945213,807.853,706.108,584.481
279,0.64648,22.05541463,804.253,728.164,583.481
280,0.533727,18.93909775,800.456,713.516,582.823
281,0.430252,17.98099202,799.349,718.342,582.354
282,0.505519,16.55400531,799.12,720.482,582.11
283,0.430568,16.01289613,798.371,718.522,581.799
284,0.244639,15.68276702,800.148,700.113,582.142
285,0.305315,15.27893848,799.266,693.453,582.103
286,0.489232,15.29061907,798.867,702.417,582.33
287,0.520184,14.06542888,800.12,697.954,582.403
288,0.52028,11.7674658,800.538,679.858,582.517
289,0.603215,10.47355163,804.089,683.541,583.054
290,0.705356,10.01669886,803.153,711.508,583.208
291,0.630866,8.213393063,802.943,702.977,583.51
292,0.532875,8.188906629,800.174,673.329,583.38
293,0.520154,7.01676706,798.888,691.138,583.401
294,0.43005,7.207285512,797.579,699.134,583.476
295,0.332232,6.997091144,795.744,673.894,583.956
296,0.400986,5.476390254,797.89,675.817,584.214
297,0.331428,4.883153211,795.153,655.225,584.574
298,0.490982,4.960950576,794.419,662.695,584.638
299,0.602213,3.7918305,797.662,663.762,585.109
300,0.533097,2.615514949,798.215,671.07,585.375
301,0.691576,2.326109009,799.811,684.549,585.577
302,0.630281,2.078621668,803.241,678.27,586.064
303,0.44334,0.500075897,804.07,654.266,587.063
304,0.414874,-0.098031045,806.251,630.812,587.75
305,0.414752,-0.542307659,806.051,647.476,588.237
306,0.332343,-0.031293081,807.439,656.518,588.819
307,0.231369,-0.269855956,805.802,665.108,589.666
308,0.30369,-0.152723159,804.918,658.864,590.126
309,0.401539,-0.143073229,805.735,655.988,590.518
310,0.414608,-0.011513993,800.375,675.362,590.692
311,0.414799,-0.384875659,797.651,655.442,591.143
312,0.587375,-1.21483139,795.676,674.179,591.34
313,0.61522,-1.365240914,797.852,675.029,591.882
314,0.445517,-1.792039612,801.921,695.698,592.19
315,0.331933,-2.043946133,804.609,702.638,592.574
316,0.401207,-2.198412352,807.739,687.494,593.12
317,0.332044,-2.047213324,809.06,690.036,593.555
318,0.230433,-2.907930565,811.374,703.979,593.904
319,0.304004,-2.90082808,810.559,717.43,594.111
320,0.401728,-2.937139087,813.818,696.52,594.844
321,0.503431,-2.49937632,815.384,670.445,595.588
322,0.519428,-3.494147989,811.432,657.329,596.114
323,0.51969,-3.225107378,809.115,662.538,596.065
324,0.519174,-3.601646218,810.045,654.374,596.699
325,0.602166,-3.100532576,810.999,640.8,597.539
326,0.61533,-3.543721332,812.727,648.352,598.242
327,0.615632,-2.443453053,812.762,640.995,598.902
328,0.190396,-2.63516168,814.294,627.897,599.581
329,0.201585,-2.43892284,815.031,641.49,600.202
330,0.215545,-2.62146087,814.541,676.312,600.478
331,0.215275,-2.395388926,811.383,698.929,600.596
332,0.215492,-2.178862499,811.745,700.079,600.639
333,0.215922,-3.109409495,811.513,709.181,601.024
334,0.215227,-3.138900831,810.27,673.76,601.843
335,0.389472,-2.945639195,815.707,662.653,602.632
336,0.415036,-3.149359428,812.646,654.589,603.22
337,0.505836,-3.312020484,811.149,674.78,603.41
338,0.428875,-3.154573021,809.724,698.196,603.466
339,0.415883,-3.308191918,812.207,670.569,603.634
340,0.587924,-3.147202414,811.438,695.082,604.153
341,0.616214,-3.248140507,805.946,712.828,604.483
342,0.443987,-2.905037071,802.024,739.022,604.668
343,0.415826,-3.06844488,799.883,731.779,604.714
344,0.332918,-3.147810615,798.013,708.861,604.974
345,0.319082,-3.280910077,797.826,702.21,605.08
346,0.230605,-3.477422177,798.714,684.464,605.965
347,0.216656,-4.091290386,798.819,704.211,606.369
348,0.215508,-4.196543098,800.112,690.991,607.16
349,0.387822,-4.089414629,798.584,705.267,607.58
350,0.415619,-3.730573692,796.626,708.591,607.948
351,0.505345,-4.020656085,799.022,681.365,608.218
352,0.520168,-3.680567875,799.363,693.715,608.591
353,0.519804,-4.087764404,799.638,681.059,609.276
354,0.60418,-3.94080149,803.136,655.628,609.761
355,0.617133,-4.101508912,801.261,644.175,609.983
356,0.532995,-3.968165139,800.667,634.552,610.22
357,0.346811,-4.144831186,804.666,649.601,610.763
358,0.318214,-3.846382476,806.136,647.356,611.67
359,0.319181,-4.12783551,802.843,634.606,612.054
360,0.31905,-3.901399181,803.603,620.437,612.451
361,0.229458,-4.148051889,805.038,618.487,612.989
362,0.305054,-3.781040367,808.357,622.315,613.6
363,0.402802,-4.061999454,808.053,655.243,613.843
364,0.415634,-3.751204311,813.018,674.39,614.615
365,0.505847,-4.219336508,814.386,671.909,614.804
366,0.520404,-3.96721397,810.808,676.096,613.414
367,0.430868,-4.124189917,806.905,685.275,612.125
368,0.333559,-4.052695096,804.408,668.788,611.115
369,0.232805,-4.087881321,799.158,665.168,610.047
370,0.216962,-4.011286446,800.013,649.185,609.22
371,0.216885,-3.847303319,800.482,657.115,608.737
372,0.216395,-3.682941967,798.383,659.917,608.647
373,0.387422,-3.933889832,797.93,664.268,608.341
374,0.415224,-3.661200801,795.33,657.817,608.265
375,0.504998,-3.898245808,795.226,672.993,608.093
376,0.602545,-3.944293522,797.076,687.659,608.172
377,0.535011,-3.984490287,796.617,687.842,608.213
378,0.263744,-3.962581683,797.104,700.902,608.558
379,0.303958,-3.615161227,794.874,709.936,608.739
380,0.230844,-3.953850814,794.336,705.705,609.168
381,0.216332,-3.512639525,794.233,696.597,609.507
382,0.215558,-3.957649664,795.244,666.988,610.043
383,0.303746,-3.523559256,789.213,666.674,610.496
384,0.399658,-3.955033288,787.397,678.086,610.946
385,0.332312,-3.542262516,787.742,687.575,611.224
386,0.488934,-3.977964705,787.744,676.904,611.694
387,0.519881,-3.852792001,786.546,669.584,612.293
388,0.346878,-3.960450725,784.584,649.082,612.8
389,0.319657,-3.881802684,788.654,666.339,613.196
390,0.319008,-3.860032315,788.747,674.947,613.586
391,0.230267,-3.629549337,792.496,697.44,614.046
392,0.216265,-3.929014133,796.507,713.26,614.809
393,0.216702,-3.480727738,797.051,719.764,615.46
394,0.305766,-3.826543195,795.327,691.935,615.975
395,0.402342,-3.351467513,798.582,671.025,616.729
396,0.50642,-3.774342062,793.749,657.372,617.174
397,0.521667,-3.608946086,794.323,657.878,617.519
398,0.429966,-3.843791521,796.699,660.174,617.843
399,0.333977,-3.507229113,792.533,638.995,618.312
400,0.319901,-3.687318861,788.718,628.967,618.912
401,0.231194,-3.502715837,786.13,625.389,619.399
402,0.216973,-3.633849986,786.748,633.305,619.742
403,0.305157,-3.506687301,784.195,609.091,620.146
404,0.49229,-3.727670163,782.656,607.634,620.556
405,0.430994,-3.683005503,783.456,632.327,620.742
406,0.505628,-3.79785706,781.61,629.932,621.193
407,0.520481,-3.699754583,782.045,645.612,621.476
408,0.521083,-3.351045599,783.993,650.467,622.189
