Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
304,81.084,143,331.643
305,81.024,142.1,329.71
306,80.944,143.7,331.818
307,80.844,140,330.219
308,80.764,144,333.205
309,80.724,143.9,331.111
310,80.614,145.1,333.081
311,80.524,144.4,332.416
312,80.474,141,329.784
313,80.394,143.7,333.454
314,80.324,141.3,331.713
315,80.234,144.7,333.58
316,80.174,138.6,332.876
317,80.104,142.1,333.725
318,79.994,138.9,333.177
319,79.944,139.5,334.29
320,79.814,139.5,335.011
321,79.754,139.4,332.645
322,79.684,139.7,334.571
323,79.584,141.7,334.739
324,79.514,144.2,333.836
325,79.424,139.5,333.682
326,79.364,139.7,335.087
327,79.314,141.8,334.122
328,79.154,140.4,336.145
329,79.134,139.9,334.686
330,79.074,142.1,333.765
331,79.004,141.5,336.291
332,78.894,139.8,335.738
333,78.784,138.1,334.002
334,78.734,140.1,336.772
335,78.664,139.6,335.694
336,78.604,140.3,336.722
337,78.524,141.1,337.858
338,78.414,139.4,338.032
339,78.354,142.8,337.822
340,78.274,141.8,338.691
341,78.194,144.3,337.282
342,78.084,141.6,338.833
343,78.024,140.3,336.833
344,77.954,139.5,339.336
345,77.944,141.3,338.661
346,77.834,140.3,340.565
347,77.774,141.1,339.257
348,77.714,140.8,338.153
349,77.554,139.3,342.069
350,77.504,138.6,340.106
351,77.454,139.4,341.116
352,77.344,141.7,338.769
353,77.254,139.3,341.33
354,77.174,139.4,340.391
355,77.134,137.1,342.639
356,77.054,139.1,342.144
357,76.994,139.6,341.085
358,76.894,139.3,340.716
359,76.794,139.6,342.874
360,76.734,140.3,341.032
361,76.704,141.4,341.009
362,76.583,141.3,344.697
363,76.503,141.5,342.821
364,76.393,143.8,343.617
365,76.333,137.2,346.132
366,76.233,140.2,344.492
367,76.173,139.7,344.419
368,76.143,143.2,343.464
369,76.073,140.5,346.032
370,75.993,141.3,345.682
371,75.883,142.7,345.576
372,75.813,141.2,348.016
373,75.723,143.5,346.156
374,75.603,141.4,348.32
375,75.543,140.5,347.499
376,75.463,141.5,346.443
377,75.363,143.3,348.133
378,75.303,140.5,347.35
379,75.213,142.5,347.425
380,75.113,142.4,348.788
381,75.063,141.2,347.186
382,74.983,143.5,349.63
383,74.893,141.8,349.626
384,74.793,140.4,346.841
385,74.793,140.7,349.933
386,74.693,144.8,351.379
387,74.593,141.9,349.835
388,74.543,141.2,349.618
389,74.473,141.3,349.317
390,74.393,140.6,351.67
391,74.293,143.5,352.963
392,74.233,138.8,352.753
393,74.123,140.2,352.956
394,74.063,141.9,351.694
395,73.963,141.1,353.67
396,73.893,143.7,353.675
397,73.803,143.1,354.224
398,73.723,144.4,353.195
399,73.643,143.7,352.58
400,73.553,143.5,355.505
401,73.483,142.8,355.113
402,73.423,140.6,354.02
403,73.353,142.9,353.15
404,73.263,142.3,355.501
405,73.193,143.1,354.989
406,73.133,140.8,354.683
407,73.093,140,355.821
408,73.003,140.5,356.897
409,72.873,141.1,357.06
410,72.773,138.1,358.123
411,72.713,138.5,357.089
412,72.623,139.6,357.703
413,72.623,140.9,356.862
414,72.503,140.2,358.513
415,72.423,141.5,358.389
416,72.313,140.1,359.944
417,72.263,139.2,358.893
418,72.203,142.1,360.358
419,72.113,141.4,360.055
420,72.053,139.9,361.141
421,71.943,140.7,360.443
422,71.833,140.5,361
423,71.803,140.3,361.375
424,71.673,140.2,359.99
425,71.603,139.9,361.061
426,71.513,139.7,362.136
427,71.443,139.9,360.183
428,71.402,139.3,362.242
429,71.333,140.1,363.484
430,71.262,140.6,363.861
431,71.142,139.5,364.126
432,71.072,137.4,363.478
433,70.982,139.8,363.695
434,70.922,142.7,363.776
435,70.832,141.8,364.091
436,70.792,142.1,363.606
437,70.712,144.1,367.859
438,70.622,141.9,363.765
439,70.552,141.4,365.511
440,70.442,141.7,363.105
441,70.452,141.1,364.631
442,70.372,141.9,363.491
443,70.262,139.9,365.601
444,70.182,140.4,367.641
445,70.062,142.4,366.062
446,70.022,144,367.494
447,69.922,142.6,367.431
448,69.802,143.8,367.445
449,69.712,141.2,366.693
450,69.652,143.1,366.52
451,69.572,141.9,367.496
452,69.492,142.4,367.397
453,69.412,141.5,368.038
454,69.342,142,365.855
455,69.312,140.9,366.495
456,69.212,141.3,367.589
457,69.112,141,366.852
458,69.082,142.8,368.642
459,68.992,141.1,367.799
460,68.892,140.1,367.654
461,68.792,143.6,368.269
462,68.742,141.3,363.514
463,68.692,141.8,369.734
464,68.612,142,367.185
465,68.472,142.2,367.872
466,68.422,143.2,370.791
467,68.342,142.9,367.829
468,68.272,143.1,370.052
469,68.162,145,369.114
470,68.092,145.2,373.074
471,68.042,141.7,371.632
472,67.952,144.4,368.47
473,67.872,143.4,367.617
474,67.772,141.7,369.786
475,67.682,142.8,372.737
476,67.592,141.3,371.039
477,67.562,146.7,371.882
478,67.422,141.5,369.23
479,67.362,140.9,373.63
480,67.272,143.5,373.32
481,67.222,143.5,372.332
482,67.132,143.6,373.92
483,67.012,140.5,374.08
484,66.962,141.3,373.51
485,66.902,141.7,374.02
486,66.832,143.1,370.006
487,66.732,141.8,369.464
488,66.672,142.4,369.884
489,66.622,142.8,374.73
490,66.542,143.7,368.051
491,66.422,146.8,374.88
492,66.322,143.2,374.61
493,66.161,144.7,373.3
494,66.112,143.4,380.15
495,66.061,143.2,372.817
496,65.981,142.6,372.44
497,65.881,143.2,374.09
498,65.811,141,368.758
499,65.751,142.3,372.297
500,65.701,142.7,376.59
501,65.581,142.5,369.689
502,65.481,143.7,373.073
503,65.391,144.5,371.365
504,65.391,142.2,377.32
505,65.281,143.7,376.76
506,65.201,143.5,376.66
507,65.191,144.6,376.66
508,65.081,143.7,378.59
509,64.981,142.3,379.11
510,64.871,142,377.92
511,64.821,143.5,378.35
512,64.791,141.7,377.57
513,64.691,142.7,378.45
514,64.541,143.1,376.68
515,64.461,143.7,378.14
516,64.451,145,377.2
517,64.351,145.5,371.124
518,64.311,144.8,379.66
519,64.191,143.2,374.67
520,64.161,145.5,377.72
521,64.051,142,378.99
522,63.921,142.5,377.79
523,63.841,142.9,379.2
524,63.751,142.5,381.03
525,63.661,143,379.35
526,63.601,142.8,378.37
527,63.521,141.8,380.44
528,63.461,144.4,379.29
529,63.401,144.2,381.69
530,63.311,142.6,378.61
531,63.241,143,380.54
532,63.121,143.8,382.85
533,63.021,141.9,377.01
534,62.931,140.3,380.48
535,62.901,140.9,381.06
536,62.821,145.2,383.09
537,62.771,145.8,388.28
538,62.641,143.4,380.66
539,62.581,145.9,380.32
540,62.491,144.2,381.81
541,62.421,144,383.87
542,62.371,144,378.93
543,62.251,145.1,381.73
544,62.121,144.2,382.02
545,62.071,145.4,383.42
546,62.001,146.3,383.83
547,61.901,147.2,381.97
548,61.831,144.2,382.43
549,61.771,145.3,384.78
550,61.671,144.6,384.69
551,61.591,144.3,381.22
552,61.491,144.1,383.12
553,61.401,143.6,379.34
554,61.351,144.6,384.92
555,61.291,143.4,381.38
556,61.201,143.7,383.88
557,61.111,144.9,381.94
558,61.041,142.8,377.87
559,60.951,144.5,383.77
560,60.881,143.7,384.62
561,60.78,144.8,382.78
562,60.66,142.7,382.97
563,60.58,143.4,385.94
564,60.59,143.3,383.36
565,60.52,143.8,384.23
566,60.43,146,385.06
567,60.33,144.8,384.84
568,60.26,146.3,385.3
569,60.13,146.2,386.22
570,60.1,148.5,385.6
571,60.02,147.1,386.14
572,59.92,145,385
573,59.84,143.6,385.47
574,59.74,141.3,384.23
575,59.7,142,384.79
576,59.66,142.8,385.07
577,59.59,143.9,381.07
578,59.49,144.2,383.96
579,59.39,145.7,385.26
580,59.33,143,385.53
581,59.23,145.7,387.23
582,59.15,143.3,385.16
583,59.02,143.3,383.4
584,58.96,146.3,384.66
585,58.88,144.6,388.49
586,58.81,148.1,385.81
587,58.69,145.4,390.51
588,58.61,146.6,387.65
589,58.52,143.8,387.64
590,58.46,142.3,387.39
591,58.36,143.7,387.45
592,58.28,143.6,387.51
593,58.26,144.7,385.12
594,58.13,143.1,383.09
595,58.07,145.8,390.89
596,58.01,146.4,388.64
597,57.9,146.4,387.23
598,57.88,146.4,385.73
599,57.76,144.5,387.75
600,57.67,142.6,389.38
601,57.56,141.3,387.14
602,57.48,143,387.61
603,57.45,143.4,388.03
604,57.34,144.5,391.65
605,57.28,146.4,388.67
606,57.21,145,390.93
607,57.1,145,388.83
608,57.04,144.2,391.02
609,56.96,144.6,388.01
610,56.85,141.5,392.38
611,56.78,143.2,393.64
612,56.7,144.4,391.5
613,56.68,145.5,388.82
614,56.59,146.1,393.29
615,56.51,145.4,390.24
616,56.4,144,388.71
617,56.31,142.7,390.13
618,56.25,140.6,392.38
619,56.13,144.1,391.79
620,56.05,143.7,394.63
621,56.01,145.2,389.7
622,55.91,144.1,391.39
623,55.81,145.6,393.43
624,55.76,145.4,392.6
625,55.68,144.8,392.33
626,55.559,145.9,392.45
627,55.469,143.2,391.92
628,55.399,146.5,393.17
629,55.319,145.5,393.85
630,55.239,145.7,394.34
631,55.179,143.7,395.05
632,55.069,143.9,394.3
633,54.999,142.5,393.57
634,54.919,145.7,394.08
635,54.879,142.6,392.5
636,54.819,141.2,393.2
637,54.709,144,393.38
638,54.649,143.1,393.91
639,54.549,143.6,396.98
640,54.509,144,395.29
641,54.419,143.4,394.5
642,54.389,142.1,396.69
643,54.229,143.1,395.65
644,54.189,144.6,396.76
645,54.029,143.5,394.27
646,53.959,141.7,396.05
647,53.889,142.4,397.72
648,53.869,143.3,396.3
649,53.729,143.1,395.19
650,53.619,141.2,396.22
651,53.569,141.4,395.54
652,53.469,143.1,396.62
653,53.459,140.2,396.72
654,53.359,141,398.62
655,53.269,138.6,398.84
656,53.199,140.8,399.41
657,53.109,137.9,397.11
658,53.079,140.4,399.22
659,52.929,140.6,399.31
660,52.869,140.5,401.43
661,52.819,139.6,400.63
662,52.719,140.4,401.64
663,52.639,140.1,400.41
664,52.499,138.4,399.71
665,52.449,142.7,399.1
666,52.399,141.1,399.59
667,52.299,138.1,398.37
668,52.219,139.5,403.26
669,52.139,141.8,401.28
670,52.059,139.3,401.52
671,51.959,141.2,402.55
672,51.869,143.5,401.97
673,51.849,140.3,403.03
674,51.709,138.4,402.54
675,51.679,138.4,402.31
676,51.569,138.9,403.52
677,51.469,137.7,403.14
678,51.439,137.4,404.97
679,51.329,138.5,405.09
680,51.269,138.4,402.53
681,51.139,139,404.87
682,51.089,140.1,402.12
683,51.049,142,404.65
684,50.979,138.1,402.78
685,50.909,137.6,406.6
686,50.849,137,405.37
687,50.749,138.5,406.08
688,50.689,135.9,405.98
689,50.569,137.5,405.47
690,50.499,138.8,403.59
691,50.419,139.9,404.58
692,50.379,137.3,404.55
693,50.319,138.3,407.54
694,50.238,138,406.84
695,50.158,140.3,406.97
696,50.068,137.6,406.85
697,49.958,137.2,408.01
698,49.908,138.9,407
699,49.838,135.4,407.95
700,49.748,135,408.6
701,49.668,135.4,408.77
702,49.598,132.8,410.4
703,49.488,136.5,410.32
704,49.438,133.9,408.98
705,49.308,135.3,409.42
706,49.288,133.4,406.51
707,49.268,133.5,411.74
708,49.188,134.4,412.49
709,49.108,133.2,408.74
710,48.978,132.9,412.86
711,48.938,133.1,411.16
712,48.848,132.4,410.32
713,48.808,131.8,411.87
714,48.698,131.5,409.28
715,48.598,134,413.36
716,48.508,133.5,413.18
717,48.458,134.3,413.8
718,48.388,132.2,412.68
719,48.298,132.3,414.32
720,48.238,131.7,412.94
721,48.168,132.3,414.58
722,48.138,132.3,414.84
723,48.068,134.2,413.59
724,47.988,135.1,414.98
725,47.928,132.7,416.39
726,47.808,133,414.83
727,47.738,131.4,420.98
728,47.678,131.7,418.55
729,47.588,131.3,416.42
730,47.528,136.4,417.31
731,47.438,132.2,415.82
732,47.408,129.8,418.81
733,47.288,132.1,416.66
734,47.208,130.1,418.73
735,47.198,130.5,416.07
736,47.088,129.5,417.49
737,46.998,129.9,419.1
738,46.918,130.3,421.99
739,46.858,129.6,418.98
740,46.758,126.3,420.72
741,46.658,127.6,417.21
742,46.598,128.2,417.14
743,46.548,128.3,421.77
744,46.428,127.2,420.75
745,46.388,127.6,422
746,46.258,125.5,421.75
747,46.258,126.7,421.86
748,46.198,128.7,421.61
749,46.138,128.4,423.24
750,46.048,129.5,422.85
751,45.988,129.3,424.13
752,45.898,125.5,424.08
753,45.838,127.9,421.3
754,45.738,123.7,423.99
755,45.678,126.3,424.94
756,45.598,125.9,425.73
757,45.508,126.2,425.77
758,45.448,124.7,426.45
759,45.428,125.2,426.09
760,45.348,124.8,423.81
761,45.288,125,430.36
762,45.178,122.9,427.32
763,45.108,123.6,427.09
764,45.038,122.7,428.14
765,45.008,124.5,428.27
766,44.897,123.8,430.14
767,44.807,124.9,429.55
768,44.727,123.8,428.49
769,44.697,122.6,430.69
770,44.637,123.2,429.82
771,44.587,121.4,431.5
772,44.487,122.1,429.45
773,44.407,120.9,431.59
774,44.327,120.8,429.64
775,44.287,122.1,425.42
776,44.207,123,423.38
777,44.117,121.9,431.88
778,44.087,124.1,440.25
779,43.997,122.8,434.84
780,43.937,124.6,431.51
781,43.857,122.6,433.54
782,43.787,121.3,432.71
783,43.737,121.5,433.68
784,43.647,122.1,433.72
785,43.617,122.3,435.2
786,43.557,120.1,433.39
787,43.517,120.5,437.03
788,43.467,119.2,435.06
789,43.387,120.4,436.72
790,43.277,120.2,442.16
791,43.207,121.3,439.09
792,43.147,120.9,427.36
793,43.057,121.3,436.53
794,42.967,121.9,440.64
795,42.917,120.8,439.54
796,42.807,122.9,439.81
797,42.807,121.2,442.69
798,42.737,122.2,438.55
799,42.657,121.5,438.22
800,42.597,120.7,438.19
801,42.567,119,438.4
802,42.507,120.5,446.36
803,42.437,119.6,435.81
804,42.347,118.9,447.48
805,42.297,120.7,443.35
806,42.207,118.9,446.75
807,42.127,119.2,444.53
808,42.077,118.6,446.9
809,41.997,117.2,435.88
810,41.937,118.3,444.93
811,41.837,117.3,444.78
812,41.757,117.3,443.03
813,41.697,119,450.68
814,41.647,119.6,445.56
815,41.507,120.9,450.04
816,41.497,120.7,452.25
817,41.457,120.2,446.17
818,41.337,119.4,445.54
819,41.287,119.2,449.69
820,41.187,119,455.96
821,41.147,119.7,452.21
822,41.117,120.9,455.26
823,41.047,121.1,454.97
824,40.977,120.1,457.84
825,40.927,121.6,455.65
826,40.837,120.4,449.96
827,40.747,119.3,451.84
828,40.657,118.6,452.52
829,40.627,118.8,457.05
830,40.547,117.5,467.58
831,40.497,118.4,458.25
832,40.417,119.2,454.1
833,40.337,120.2,457.92
834,40.297,121.8,459.73
835,40.237,119.2,457.53
836,40.167,120.6,436.14
837,40.067,120.3,459.91
838,40.007,121.3,453.05
839,39.907,121.3,457.74
840,39.827,121.2,462.05
841,39.807,119.3,458.06
842,39.737,119.2,471.67
843,39.676,120.2,462.19
844,39.616,121.3,467.82
845,39.546,118.2,463.59
846,39.496,118.3,460.63
847,39.456,118.7,459.89
848,39.366,121.2,465.51
849,39.336,117.9,472.02
850,39.256,121.7,465.36
851,39.186,120.4,465.14
852,39.096,119.4,469.28
853,39.006,121.9,469.81
854,38.906,119.5,467.65
855,38.846,119.6,472.62
856,38.786,121.1,467.17
857,38.676,120.6,473.34
858,38.636,120.5,464.43
859,38.626,120.4,471.52
860,38.556,118.9,476.39
861,38.506,120,469.85
862,38.396,116.9,467.48
863,38.356,122.2,472.74
864,38.316,123.9,471.79
