Time,Mass,HRR
[s],[g],[kW/m2]
146,30.719641,919.6525713
147,30.254341,924.0653123
148,29.80359,929.6407859
149,29.408569,908.346044
150,29.022214,968.2847813
151,28.688125,917.2300708
152,28.253358,965.3700583
153,27.801347,985.4607951
154,27.355984,951.4959959
155,26.848498,1023.203456
156,26.471287,1000.881576
157,26.091423,973.9753053
158,25.704217,1020.043034
159,25.138894,1034.180359
160,24.721724,1111.325877
161,24.279549,1105.052616
162,23.815647,1007.793439
163,23.452382,1019.730574
164,22.969964,1031.407343
165,22.533298,1080.974677
166,22.109483,1115.677704
167,21.591237,1137.465866
168,21.198701,1124.074056
169,20.798393,1048.184292
170,20.354758,988.5376217
171,19.8622,1094.12432
172,19.434601,1083.113543
173,18.922826,1063.189367
174,18.448925,1026.199521
175,18.070112,1126.656262
176,17.616487,1117.416619
177,17.148032,1082.6208
178,16.653629,1035.3707
179,16.248142,1054.696319
180,15.786013,1067.184707
181,15.360212,998.4691098
182,14.884018,1044.199094
183,14.397434,1112.836852
184,13.917407,1171.89256
185,13.461669,1153.926592
186,12.907355,1040.87176
187,12.367352,1090.741713
188,11.874651,1156.009119
189,11.356211,1172.83078
190,10.797499,1198.952096
191,10.295402,1152.67994
192,9.749527,1093.205681
193,9.199726,1252.663875
194,8.670719,1384.287791
195,8.20739,1403.28832
196,7.681522,1310.418485
197,7.21074,1239.33193
198,6.679357,1224.93799
199,6.116598,1195.806414
200,5.554901,1385.661825
201,5.085762,1448.27465
202,4.617485,1410.805372
203,4.160808,1279.836382
204,3.654384,1267.691194
205,3.151043,1358.895513
206,2.747216,1469.69949
207,2.39296,1364.069212
208,2.117538,1359.239632
209,1.872529,1352.097917
210,1.620467,1325.804028
211,1.332841,1298.632574
212,1.132577,1257.066084
213,0.978075,1153.256843
214,0.878624,1095.911483
215,0.775999,987.3837647
216,0.640087,838.882733
217,0.52741,744.848673
218,0.474859,632.3327486
219,0.373953,559.3381975
220,0.366744,497.0334098
221,0.287231,412.3269318
222,0.176012,371.8593245
223,0.18175,329.1443614
224,0.152677,274.9053824
225,0.063755,251.0635926
226,0.06828,216.9227476
227,0.013273,189.9008801
228,-0.0041,167.7541527
229,-0.010255,140.9295713
230,-0.002452,126.2133049
231,-0.056646,109.3585609
232,-0.024983,96.62503257
233,-0.04228,88.32091877
234,-0.072243,75.48351954
235,-0.107077,67.15097922
236,-0.081461,61.45766285
237,-0.088859,54.64144392
238,-0.089998,51.07124164
239,-0.100655,44.6630788
240,-0.126263,39.34439076
241,-0.126348,34.35300114
242,-0.26565,30.58552455
243,-0.16582,28.46627829
244,-0.067615,23.80563257
245,-0.067758,20.56907256
246,-0.114179,20.48876007
247,-0.138866,18.3636183
248,-0.210678,15.05975926
249,-0.180482,12.7562006
250,-0.110733,12.64055059
251,-0.094838,13.33494098
252,-0.195159,11.10422532
253,-0.153512,8.630451547
254,-0.094476,8.176981868
255,-0.079811,8.202677495
256,-0.126079,6.854135821
257,-0.047684,4.597213876
258,-0.046957,5.025492029
259,-0.101537,6.926929549
260,-0.09485,6.587528014
261,-0.066647,4.848891766
262,-0.10304,4.015476558
263,-0.105889,4.602377626
264,-0.0762,5.952612655
265,-0.064727,5.923395078
266,-0.072637,4.25906236
267,-0.121939,2.909150204
268,-0.17247,4.526587313
269,-0.110743,4.858767588
270,-0.083234,2.542957249
271,-0.063487,1.460152533
272,-0.091533,2.833978011
273,-0.071501,3.129454789
274,-0.103331,1.616126948
275,-0.117004,0.748138673
276,-0.107619,1.901039473
277,-0.086061,3.609950165
278,-0.084467,3.724551637
279,-0.112195,2.103249756
280,-0.096595,0.912315499
281,-0.071835,1.650046471
282,-0.054071,3.141108475
283,-0.085707,3.630876875
284,-0.087444,1.463732815
285,-0.11487,0.189006726
286,-0.109444,0.055489617
287,-0.095676,1.24932211
288,-0.077422,0.889512818
289,-0.108456,-1.068223011
290,-0.055043,-1.538418385
291,-0.098649,0.300648233
292,-0.107513,0.058370425
293,-0.102311,-1.340782093
294,-0.088628,-2.26973251
295,-0.07045,-1.038786569
296,-0.098615,0.495168353
297,-0.100953,-0.672978678
298,-0.143869,-1.889428814
299,-0.165571,-0.48268439
300,-0.080551,1.096308584
301,-0.088598,-0.202266043
302,-0.065496,-1.10803538
303,-0.112393,-0.411437244
304,-0.114321,1.516506791
305,-0.08492,0.903107194
306,-0.101424,-0.5409707
307,-0.127344,-0.521520695
308,-0.098279,1.030054779
309,-0.145242,2.341654292
310,-0.180094,1.726068436
311,-0.14136,0.15496813
312,-0.108234,-1.113843093
313,-0.118998,0.562428371
314,-0.190436,2.562996146
315,-0.202364,1.886613337
316,-0.168061,0.329173362
317,-0.147286,-0.195987872
318,-0.163782,1.081896253
319,-0.165903,2.585590576
320,-0.149902,1.413292082
321,-0.112541,-0.166609281
322,-0.153483,0.144304989
323,-0.1941,2.200720135
324,-0.194613,0.783123826
325,-0.12969,-0.617928966
326,-0.132695,0.036226578
327,-0.147475,0.924111669
328,-0.14343,1.347872385
329,-0.135331,0.429579493
330,-0.142862,0.162780772
331,-0.140873,1.829401772
332,-0.145078,3.301004381
333,-0.163177,2.019747504
334,-0.156035,0.698504224
335,-0.165484,0.517369547
336,-0.240715,1.456024338
337,-0.210543,3.082272778
338,-0.158211,1.944867445
339,-0.145768,-0.044768451
340,-0.163865,-0.023396027
