Time,Temperature,HRR,HRR error
39.002,369.665,0.857464597,0.203272619
39.502,370.029,0.879685542,0.267644243
40.001,370.422,0.918905108,0.324395611
40.5,370.795,0.933129708,0.333835482
41,371.174,0.965608867,0.417526269
41.5,371.535,0.983329811,0.434307952
42,371.959,0.965800518,0.424391827
42.5,372.308,0.957777351,0.424663273
43,372.718,0.927004421,0.431690247
43.5,373.108,0.970475365,0.409470043
44.001,373.499,0.977696217,0.417996755
44.502,373.899,0.924425284,0.371550972
45.001,374.27,0.954399027,0.387733828
45.5,374.716,0.897870683,0.452744472
46.002,375.098,0.88385222,0.471370133
46.502,375.52,0.88432929,0.50419057
47.001,375.909,0.918047763,0.479594436
47.501,376.325,0.921771652,0.558320763
48,376.746,0.956241219,0.590675465
48.5,377.124,0.977712163,0.579559788
49.001,377.591,0.951441467,0.593299454
49.501,377.982,0.992415355,0.576295334
50.001,378.429,0.970889006,0.565271745
50.501,378.832,1.048359714,0.553509759
51,379.269,1.032081606,0.547090501
51.501,379.711,0.969313854,0.545410455
52.001,380.115,1.026784561,0.486556961
52.5,380.587,1.00575009,0.532913352
53,380.978,1.051976068,0.487124081
53.5,381.455,1.069949956,0.582654771
54,381.884,1.123921756,0.561982217
54.5,382.312,1.063395645,0.58821637
55,382.778,1.078869533,0.565708996
55.5,383.194,1.105845511,0.586382685
56.001,383.689,1.129071633,0.568171623
56.502,384.109,1.109302029,0.628427554
57.002,384.57,1.096280951,0.622591071
57.501,385.036,1.10775555,0.601259115
58.001,385.48,1.110721224,0.649536712
58.501,385.964,1.162692169,0.643533673
59.001,386.383,1.17642109,0.636716321
59.501,386.905,1.226894979,0.585966748
60,387.326,1.307866871,0.617573397
60.5,387.816,1.32784076,0.544018154
61,388.282,1.320061467,0.520094968
61.501,388.733,1.363784407,0.553989336
62.001,389.239,1.367506208,0.516832884
62.5,389.663,1.451727863,0.547847518
63,390.2,1.42620384,0.554242392
63.5,390.644,1.52218091,0.618233557
64,391.16,1.526157743,0.651856961
64.5,391.616,1.53587845,0.59202874
65,392.082,1.566099394,0.561553419
65.5,392.611,1.613323283,0.515562723
66,393.042,1.604048265,0.504678061
66.501,393.582,1.616026475,0.45000415
67.001,394.043,1.642750364,0.410114705
67.5,394.541,1.664226056,0.432434125
68.001,395.029,1.720451085,0.502234987
68.501,395.516,1.81817203,0.523646199
69,396.045,1.891143685,0.499445492
69.5,396.489,1.983617573,0.528601055
70.001,397.055,2.085841607,0.573411217
70.501,397.513,2.134065496,0.582639602
71,398.032,2.201037151,0.623516935
71.501,398.538,2.241016217,0.600144679
72.001,399.018,2.29374305,0.668006273
72.501,399.538,2.381713757,0.680395603
73.001,400.003,2.457934701,0.680327124
73.501,400.567,2.556660916,0.679632938
74.002,401.024,2.628893164,0.605327566
74.502,401.566,2.687611782,0.629588761
75.002,402.073,2.753832726,0.631857742
75.502,402.569,2.804558704,0.624827796
76,403.119,2.853024944,0.632190281
76.5,403.592,2.921748833,0.597129564
77,404.161,2.957970633,0.639475983
77.5,404.624,3.051447703,0.664965006
78.001,405.17,3.108929951,0.658996965
78.501,405.696,3.190153839,0.721937066
79.001,406.207,3.279876872,0.771369683
79.502,406.735,3.362849813,0.750948405
80.002,407.211,3.389068431,0.768443808
80.502,407.803,3.427545501,0.792653961
81.001,408.286,3.500769245,0.806725637
81.501,408.84,3.525489952,0.797162105
82.001,409.349,3.603461752,0.812423295
82.5,409.868,3.651433407,0.802676706
83,410.434,3.735412566,0.744349471
83.5,410.919,3.759636455,0.76321149
84,411.517,3.796107162,0.793478205
84.5,412.005,3.902828962,0.839578388
85.001,412.557,3.953307172,0.80766697
85.501,413.073,4.011281061,0.848459518
86,413.597,4.071255898,0.869171738
86.501,414.165,4.148229931,0.883152253
87.001,414.656,4.206206527,0.925622309
87.5,415.255,4.287928182,0.965465523
88.001,415.75,4.397900504,0.951094607
88.501,416.335,4.486880519,0.928287261
89,416.839,4.560350085,0.955321006
89.5,417.368,4.642067848,0.967040041
90,417.936,4.703291737,0.952110672
90.501,418.436,4.787770803,0.975630312
91.001,419.042,4.823500817,0.930521628
91.5,419.531,4.90572271,0.933312723
92,420.097,4.954446598,0.912066211
92.501,420.625,5.091675665,0.967879673
93.002,421.154,5.13189775,1.029073826
93.502,421.753,5.296371875,1.023327027
94.001,422.235,5.387346475,0.994600716
94.501,422.835,5.516564,1.066705896
95.001,423.32,5.6940358,1.110744094
95.501,423.89,5.808759689,1.134860356
96.001,424.427,5.975983578,1.179956206
96.501,424.963,6.079460648,1.20486028
97.001,425.516,6.302184536,1.197162042
97.501,426.04,6.454408425,1.276287756
98.001,426.65,6.576882314,1.343185702
98.501,427.142,6.712609384,1.323212692
99.001,427.713,6.844083272,1.322265109
99.501,428.27,6.99355398,1.25827007
100.001,428.799,7.042277868,1.275460557
100.501,429.359,7.190501757,1.34578473
101.001,429.861,7.320225645,1.253332689
101.501,430.486,7.448449534,1.244843794
102.001,430.985,7.523173423,1.233428987
102.501,431.564,7.645647311,1.296355244
103.001,432.084,7.7416212,1.271763724
103.501,432.614,7.800095089,1.301945977
104.001,433.189,7.958318977,1.29451366
104.501,433.695,8.084792866,1.28400542
105.001,434.306,8.275766754,1.291611742
105.501,434.801,8.451242732,1.264502416
106.001,435.378,8.59096662,1.229241314
106.501,435.911,8.79468842,1.232337925
107.001,436.445,8.991162309,1.284205113
107.501,437.026,9.106386197,1.235935788
108.001,437.501,9.235860086,1.226677417
108.501,438.129,9.342083975,1.23718668
109.001,438.621,9.521807863,1.199337027
109.501,439.203,9.665531752,1.171467588
110.001,439.731,9.800755641,1.163103538
110.501,440.25,9.865731618,1.131884789
111.001,440.833,10.04345551,1.146642021
111.501,441.311,10.14567731,1.156685222
112.001,441.927,10.27140119,1.076380276
112.501,442.432,10.39112508,1.012846906
113.001,443.015,10.50385106,0.947975529
113.501,443.53,10.58257286,0.896467214
114.001,444.058,10.64079675,0.859873869
114.501,444.639,10.73952064,0.773252466
115.001,445.14,10.87024453,0.757498563
115.501,445.754,10.93271842,0.640870507
116.001,446.236,11.02144439,0.621183501
116.501,446.799,11.13216828,0.591616748
117.001,447.334,11.17064217,0.530388753
117.501,447.879,11.25361397,0.485208426
118.001,448.428,11.32558786,0.427457795
118.501,448.919,11.39581384,0.415752592
119.001,449.546,11.41753564,0.351250681
119.501,450.034,11.50500952,0.378160349
120.001,450.594,11.48348341,0.301504895
120.501,451.123,11.49845939,0.308821045
121.001,451.649,11.51918119,0.30117333
121.501,452.224,11.54890508,0.244658996
122.001,452.7,11.53012897,0.217943753
122.5,453.311,11.51610062,0.269789183
123,453.804,11.53607451,0.28295056
123.5,454.369,11.5495484,0.35160304
124.001,454.899,11.50052452,0.43907493
124.501,455.429,11.42774841,0.476385977
125,455.964,11.42247007,0.611441102
125.501,456.468,11.45669937,0.652978236
126.001,457.07,11.33267326,0.714548308
126.501,457.554,11.26614396,0.779167065
127.001,458.126,11.19636785,0.759863306
127.5,458.648,11.11408951,0.795237878
128,459.178,11.0338134,0.78564374
128.5,459.735,10.97678729,0.84936872
129,460.24,10.91851117,0.852778277
129.501,460.822,10.8599873,0.929325105
130.001,461.305,10.74171119,0.981290794
130.5,461.889,10.63993284,0.994998198
131.001,462.407,10.48016105,1.004004042
131.501,462.933,10.40788285,1.065837656
132,463.499,10.25885451,1.131448249
132.5,463.974,10.12907839,1.11905024
133.001,464.58,9.926804517,1.159939525
133.501,465.056,9.782528406,1.207883301
134.001,465.614,9.625502294,1.284864567
134.501,466.149,9.439976183,1.34196984
135.001,466.671,9.266450071,1.489439397
135.501,467.229,9.10517396,1.543288891
136,467.713,8.924395615,1.548761468
136.501,468.308,8.707871737,1.569325824
137.001,468.792,8.492345626,1.51321665
137.5,469.344,8.286570463,1.523592133
138,469.882,8.100294351,1.558651529
138.5,470.398,7.899015058,1.540020637
139,470.949,7.754242128,1.580693834
139.5,471.439,7.520216017,1.612104995
140,472.029,7.317188813,1.672140265
140.5,472.52,7.114162701,1.650412723
141,473.079,6.95388659,1.63139206
141.501,473.597,6.733365894,1.639499151
142.001,474.105,6.559086601,1.564684699
142.5,474.64,6.302811437,1.539614372
143.001,475.124,6.074037559,1.518168429
143.501,475.695,5.858511448,1.446012013
144.001,476.168,5.635233248,1.481713444
144.501,476.713,5.478703955,1.412943669
145,477.235,5.29792561,1.415832681
145.501,477.734,5.129901732,1.42116717
146.001,478.293,5.02262771,1.438914246
146.5,478.763,4.953849365,1.342119762
147,479.328,4.802826435,1.33825625
147.5,479.805,4.699795053,1.279580509
148,480.349,4.576521031,1.26358472
148.5,480.863,4.489994919,1.233084514
149,481.356,4.333719901,1.21637287
149.501,481.888,4.197192841,1.186176018
150.001,482.356,4.11891673,1.202639472
150.501,482.928,3.988890618,1.187423164
151,483.407,3.963864362,1.120162572
151.5,483.946,3.883088251,1.06516306
152.001,484.455,3.765565466,0.987145382
152.501,484.951,3.662288262,0.906042691
153,485.501,3.560259917,0.822499535
153.501,485.955,3.446986039,0.734929538
154.001,486.533,3.316207839,0.720265377
154.5,486.99,3.151429494,0.690705358
155,487.54,3.092655471,0.647953208
155.501,488.047,3.020131593,0.632428465
156.001,488.54,3.003353393,0.650396119
156.5,489.053,2.976827137,0.657160125
157.001,489.523,2.966303259,0.633710746
157.501,490.103,2.912275059,0.633323834
158.001,490.572,2.909998948,0.59080324
158.501,491.104,2.925222836,0.524867217
159,491.606,2.86569658,0.533863244
159.5,492.108,2.88217365,0.49247438
160,492.65,2.846394357,0.500333305
160.501,493.085,2.852120479,0.47719045
161.001,493.656,2.877594368,0.457468596
161.501,494.107,2.854818257,0.422591279
162.001,494.667,2.873042145,0.446183354
162.501,495.166,2.882016034,0.424259533
163,495.654,2.852737689,0.43573346
163.501,496.186,2.854713811,0.42400622
164.001,496.642,2.882690881,0.471283312
164.5,497.227,2.925660448,0.446750537
165,497.663,2.934383244,0.415016316
165.501,498.189,3.021109366,0.359917248
166.001,498.693,3.032581166,0.371813257
166.501,499.185,3.022555054,0.355843001
167.001,499.723,3.008281031,0.448708835
167.501,500.169,3.00950492,0.413175979
168,500.729,3.097726575,0.408342617
168.5,501.192,3.119948375,0.454033306
169,501.711,3.105177534,0.438395064
169.5,502.202,3.130148241,0.468310125
170,502.695,3.162620041,0.441305865
170.501,503.23,3.134099345,0.413269525
171.001,503.695,3.202820052,0.366144622
171.5,504.26,3.185543796,0.375691229
172,504.712,3.239267684,0.316473592
172.5,505.233,3.269491573,0.296669548
173,505.732,3.294715461,0.233894485
173.5,506.212,3.30793935,0.277981821
174.001,506.755,3.332663383,0.311967341
174.501,507.196,3.342137272,0.251547663
175,507.76,3.393361016,0.257737876
175.5,508.217,3.405334905,0.314642908
176,508.754,3.418306705,0.380835879
176.5,509.242,3.493780593,0.371571548
177,509.727,3.515507663,0.396361309
177.5,510.24,3.517981552,0.436586155
178,510.709,3.575452259,0.469813278
178.5,511.28,3.50843118,0.494682328
179,511.724,3.548152125,0.467197172
179.5,512.244,3.535379195,0.429393625
180.001,512.742,3.576605317,0.462169409
180.501,513.221,3.584326024,0.41396541
181.001,513.753,3.632549913,0.387874603
181.501,514.203,3.643023801,0.468552418
182.001,514.769,3.65274769,0.422509572
182.5,515.225,3.707219345,0.461308905
183,515.756,3.761443234,0.41298501
183.5,516.24,3.771667122,0.439303965
184,516.72,3.778641011,0.363973993
184.5,517.241,3.7963649,0.43110148
185.001,517.71,3.836091022,0.384046784
185.501,518.257,3.886062822,0.364607209
186,518.687,3.936534477,0.419755442
186.5,519.217,4.012258366,0.406507531
187,519.7,4.055982254,0.444754048
187.5,520.201,4.124459324,0.427224787
188,520.729,4.17443212,0.443701144
188.5,521.159,4.241656009,0.444367157
189,521.71,4.262883079,0.467255427
189.5,522.174,4.306603786,0.454320459
190.001,522.71,4.350829908,0.447565053
190.501,523.191,4.411803796,0.47415346
191,523.683,4.448275452,0.532925659
191.5,524.199,4.46749934,0.523221936
192.001,524.649,4.483473374,0.548327544
192.501,525.185,4.564447262,0.544591009
193.001,525.653,4.615921151,0.644844978
193.501,526.183,4.70639504,0.596258377
194.001,526.656,4.741118928,0.629615301
194.501,527.161,4.793092817,0.639853593
195,527.666,4.822067654,0.63806007
195.5,528.134,4.898040449,0.656170475
196,528.698,4.977012249,0.686491697
196.5,529.128,5.049986138,0.768909963
197.001,529.657,5.07221226,0.806946519
197.501,530.146,5.128936148,0.821141098
198.001,530.627,5.181910037,0.862189956
198.501,531.143,5.231383926,0.898726786
199,531.593,5.352855581,0.866068888
199.501,532.14,5.395331703,0.880848972
200.001,532.615,5.522555592,0.898747372
200.5,533.109,5.596527247,0.913451412
201,533.582,5.743751135,0.953846579
201.5,534.087,5.833225024,0.926840556
202,534.607,5.875448913,0.984177258
202.501,535.052,5.936925035,1.018272917
203.002,535.6,6.028151157,1.040585931
203.501,536.055,6.033375756,1.026873605
204.001,536.583,6.112849645,1.086836951
204.501,537.055,6.255322678,1.051747722
205.001,537.547,6.311044478,1.037746293
205.501,538.07,6.463268366,1.092154691
206.001,538.513,6.587492255,1.110162536
206.501,539.071,6.806966144,1.174600792
207.001,539.522,6.948690032,1.216646809
207.501,540.052,7.084913921,1.245944235
208.001,540.537,7.218140991,1.247127665
208.501,541.023,7.345861698,1.285528179
209.001,541.529,7.442335587,1.264559565
209.501,542.001,7.614809475,1.288822816
210.001,542.538,7.767535453,1.325498419
210.501,543,7.979759341,1.334517629
211.001,543.512,8.115231141,1.350659982
211.501,544.011,8.27845503,1.38052285
212.001,544.493,8.464431863,1.436692141
212.501,545.012,8.604655751,1.468066498
213.001,545.467,8.772626696,1.527588571
213.501,546.011,9.004350584,1.574964163
214.001,546.47,9.148077654,1.588591518
214.501,546.985,9.361801543,1.564373427
215.001,547.462,9.55927225,1.576980886
215.501,547.952,9.801246139,1.56778987
216.001,548.477,9.966722116,1.615709132
216.501,548.944,10.16994392,1.642151415
217.001,549.475,10.3889178,1.686500054
217.501,549.941,10.53239169,1.721945037
218.001,550.447,10.72261558,1.789244329
218.501,550.949,10.97508947,1.812362558
219.001,551.439,11.20681336,1.858270139
219.501,551.948,11.45278725,1.877902052
220.001,552.406,11.69426114,1.908200729
220.501,552.966,11.97948502,1.972443532
221.001,553.424,12.19870891,1.990327593
221.501,553.948,12.43843489,2.093267328
222.001,554.444,12.74865669,2.16246948
222.501,554.925,13.01888058,2.211651993
223.001,555.436,13.32960447,2.310677492
223.501,555.91,13.62632836,2.38655835
224.001,556.465,13.92905225,2.431627774
224.501,556.914,14.23527613,2.391549297
225.001,557.442,14.54375002,2.522042172
225.501,557.928,14.89997391,2.532503788
226.001,558.402,15.1964478,2.684071748
226.501,558.925,15.55217169,2.788026716
227.001,559.393,15.84914558,2.910893581
227.501,559.934,16.24712155,2.986527191
228.001,560.416,16.62209544,3.075176802
228.501,560.937,16.98706724,3.211103887
229.001,561.413,17.34929113,3.259478698
229.501,561.895,17.74251502,3.352903088
230.001,562.428,18.13198891,3.463307587
230.501,562.879,18.5857128,3.558234415
231.001,563.46,19.00043669,3.711927701
231.501,563.91,19.42266057,3.787679189
232.001,564.44,19.85463741,3.911884065
232.501,564.936,20.33935835,4.007867452
233.001,565.422,20.77833224,4.132169351
233.501,565.955,21.31855613,4.249001035
234.001,566.412,21.78228002,4.350200938
234.501,566.967,22.25975391,4.451862783
235.001,567.415,22.78447779,4.591586872
235.501,567.947,23.28720168,4.77093147
236.001,568.444,23.78517557,4.939561591
236.501,568.93,24.38490155,5.120185137
237.001,569.453,24.94487544,5.247301632
237.501,569.898,25.53434724,5.443247979
238.001,570.494,26.12757113,5.621903135
238.501,570.933,26.7987971,5.779279955
239.001,571.466,27.4797689,6.009256183
239.501,571.956,28.13674279,6.149073501
240.001,572.451,28.76921668,6.342098014
240.501,572.985,29.44744057,6.532814358
241.001,573.458,30.14091446,6.665047084
241.501,573.983,30.89113835,6.817541362
242.001,574.443,31.62011224,7.008564585
242.501,574.967,32.36083612,7.21745591
243.001,575.481,33.17481001,7.468448264
243.501,575.958,33.9845339,7.686863569
244.001,576.488,34.87175779,7.924913462
244.501,576.939,35.68423168,8.206691432
245.001,577.51,36.56770557,8.444855567
245.501,577.977,37.46368264,8.638464746
246.001,578.508,38.31240334,8.859014644
246.501,578.989,39.23087723,9.106351951
247.001,579.478,40.13385112,9.345617437
247.501,580.019,41.11782501,9.630830611
248.001,580.483,42.1417989,9.892846186
248.501,581.042,43.18327488,10.24065648
249.001,581.498,44.30874668,10.50746286
249.501,582.021,45.42747056,10.76011558
250.001,582.531,46.55444445,11.09987304
250.501,583.018,47.69991834,11.42309058
251.001,583.534,48.88639223,11.7129582
251.501,584.008,50.12461612,11.99296884
252.001,584.571,51.48259001,12.24636876
252.501,585.025,52.7763139,12.50626345
253.001,585.542,54.09778778,12.85417201
253.501,586.034,55.49901167,13.22142789
254.001,586.537,56.88898556,13.49710635
254.501,587.065,58.40070945,13.8001718
255.001,587.516,59.83418334,14.1059228
255.501,588.086,61.38965723,14.40148954
256.001,588.542,62.91763112,14.74566305
256.501,589.076,64.42085709,15.0120685
257.001,589.556,66.09682889,15.29384662
257.501,590.059,67.69080278,15.56189737
258.001,590.602,69.40277667,15.84039684
258.501,591.057,71.01325056,16.0888236
259.001,591.612,72.80172445,16.46775878
259.501,592.049,74.65494834,16.70109941
260.001,592.609,76.49417223,16.9870775
260.501,593.092,78.44789611,17.23393059
261.001,593.58,80.42562209,17.49424945
261.501,594.109,82.47659598,17.72476873
262.001,594.572,84.46606778,17.94221297
262.501,595.125,86.54829167,18.23238175
263.001,595.585,88.64526556,18.53456034
263.501,596.114,90.71898945,18.7965064
264.001,596.6,92.91671333,19.08268681
264.501,597.078,95.07593722,19.35993862
265.001,597.598,97.29016111,19.60556245
265.501,598.071,99.541135,19.83873578
266.001,598.645,101.9446089,20.10591307
266.501,599.087,104.2985828,20.26317854
267.001,599.586,106.7033067,20.4559929
267.501,600.09,109.1987806,20.56462407
268.001,600.597,111.6172544,20.74529283
268.501,601.114,114.1399804,20.91428063
269.001,601.56,116.5779522,21.02304897
269.501,602.128,119.2429261,21.22859239
270.001,602.58,121.82465,21.373646
270.501,603.113,124.4111239,21.52615629
271.001,603.595,127.1113478,21.62292225
271.501,604.094,129.7820746,21.69578644
272.001,604.603,132.6237956,21.8716396
272.501,605.066,135.3027694,21.94644838
273.001,605.624,138.1597433,22.25626442
273.501,606.089,141.0402172,22.20068287
274.001,606.612,143.8624411,22.38288949
274.501,607.107,146.857665,22.49467228
275.001,607.576,149.6983889,22.57925759
275.501,608.118,152.683116,22.75921931
276.001,608.568,155.6170867,22.79652933
276.501,609.13,158.6803105,23.007206
277.001,609.592,161.6607844,22.9649453
277.501,610.106,164.6112583,23.14976971
278.001,610.6,167.7117322,23.18757227
278.501,611.096,170.6917061,23.22918266
279.001,611.612,173.85668,23.31191013
279.501,612.063,176.9266539,23.22418525
280.001,612.628,180.0923778,23.41356345
280.501,613.082,183.2603517,23.3198427
281.001,613.613,186.3455755,23.4349286
281.501,614.107,189.5742994,23.33638966
282.001,614.583,192.6552733,23.37868661
282.501,615.108,195.9194972,23.44196025
283.001,615.559,199.0229711,23.33911547
283.501,616.135,202.183195,23.47024578
284.001,616.568,205.3089189,23.39473738
284.501,617.088,208.3766428,23.391108
285.001,617.569,211.4453667,23.25476985
285.501,618.071,214.3788405,23.17924109
286.001,618.596,217.4238144,23.04623949
286.501,619.043,220.3420383,22.8117275
287.001,619.607,223.4440122,22.82546867
287.501,620.067,226.4009861,22.52233091
288.001,620.577,229.34146,22.39879467
288.501,621.059,232.3226839,22.15240915
289.001,621.539,235.1546578,21.90111261
289.501,622.069,238.0198817,21.70171265
290.001,622.529,240.7531055,21.34356298
290.501,623.094,243.5213294,21.10474182
291.001,623.539,246.3043033,20.54067503
291.501,624.066,248.9532772,20.22856715
292.001,624.544,251.6347511,19.75440909
292.501,625.032,254.177975,19.30107911
293.001,625.553,256.7716989,18.91542002
293.501,626.008,259.2209228,18.26508436
294.001,626.573,261.5063967,17.87154209
294.501,627.012,263.8223726,17.06487434
295.001,627.537,265.9230944,16.53329223
295.501,628.025,268.0905683,15.85551506
296.001,628.519,270.1725422,15.31364924
296.501,629.035,272.2470161,14.84117013
297.001,629.506,274.26724,14.22735464
297.501,630.036,276.0932139,13.83474239
298.001,630.505,277.8809378,13.07348304
298.501,631.032,279.5271616,12.64321649
299.001,631.515,281.0531376,11.93770756
299.501,632.002,282.5143594,11.35547659
300.001,632.517,283.9513333,10.76804964
300.501,632.965,285.2293072,10.00948509
301.001,633.515,286.3867811,9.384878052
301.501,633.969,287.375255,8.43284407
302.001,634.479,288.2947289,7.825623145
302.501,634.964,289.1232028,7.143134826
303.001,635.436,289.9371766,6.696952104
303.501,635.959,290.8269005,6.299368781
304.001,636.411,291.5173744,6.047961828
304.501,636.984,292.0933483,6.004569195
305.001,637.431,292.5773222,5.982426067
305.501,637.946,292.9275461,5.911373595
306.001,638.416,293.30727,5.80963911
306.501,638.902,293.7929939,5.510151513
307.001,639.436,294.4057178,5.21391066
307.501,639.888,295.0411916,5.215387886
308.001,640.42,295.4596655,5.382961742
308.501,640.883,295.6858894,6.019580458
309.001,641.402,295.7321133,6.506288623
309.501,641.875,295.5668372,6.913832014
310.001,642.358,295.4318111,7.109527662
310.501,642.886,295.459285,6.984714269
311.001,643.337,295.5420089,6.667228642
311.501,643.879,295.5002328,6.427730899
312.001,644.337,295.1829566,6.551642048
312.501,644.842,294.5804305,6.942629059
313.001,645.342,293.8489044,7.480247869
313.501,645.814,293.1611283,8.029767548
314.001,646.34,292.5811022,8.391693782
314.501,646.79,292.2545761,8.773279206
315.001,647.343,292.22305,9.001321028
315.501,647.801,292.4205239,9.196583379
316.001,648.314,292.6072478,9.204963301
316.501,648.811,292.6709716,8.917547803
317.001,649.281,292.7666955,8.585557536
317.501,649.811,292.8879194,8.012030374
318.001,650.251,293.0688954,7.490248655
318.501,650.784,293.2518693,7.091668681
319.001,651.252,293.5403411,6.933288737
319.501,651.766,293.613565,7.22184863
320.001,652.252,293.5797889,7.694789081
320.501,652.733,293.3840127,8.13539569
321.001,653.243,293.1349866,8.52262008
321.501,653.703,292.8267105,8.872378816
322.001,654.276,292.4691844,9.053119731
322.501,654.697,291.8764083,8.968321803
323.001,655.219,290.8641322,8.815841668
323.501,655.709,289.7106061,8.806428541
324.001,656.186,288.72408,9.180744911
324.501,656.708,288.0658039,9.969311981
325.001,657.164,287.5640298,10.60992031
325.501,657.709,287.0802537,10.90505709
326.001,658.169,286.3404755,10.80455706
326.501,658.693,285.6264494,10.22094899
327.001,659.175,285.2464233,9.376479084
327.501,659.663,285.0801472,8.623183237
328.001,660.177,284.9213711,8.018439041
328.501,660.622,284.862345,7.675849417
329.001,661.175,284.6545689,7.551084866
329.501,661.636,284.5595427,8.021905104
330.001,662.143,284.2010166,8.680279722
330.501,662.646,283.6634905,9.6409828
331.001,663.147,282.6869644,10.36347223
331.502,663.649,281.2531905,10.92633135
332.001,664.096,279.4659122,11.5504039
332.501,664.664,277.2868861,12.26703871
333.001,665.113,275.04486,13.17731352
333.501,665.643,272.8048339,14.3286624
334.001,666.127,270.5253077,15.63720486
334.501,666.615,268.1797816,17.05047454
335.001,667.136,265.4795055,18.36220399
335.501,667.597,262.5922315,19.62709783
336.001,668.143,259.3429554,20.6933534
336.501,668.586,256.0231772,21.44817427
337.001,669.139,252.6904011,22.14890698
337.501,669.613,249.096375,22.75075415
338.001,670.1,245.5795988,23.20759182
338.501,670.621,241.8163227,23.55364895
339.001,671.078,238.2367966,23.76771691
339.501,671.65,234.5820205,24.17717039
340.001,672.115,231.1042444,24.37884569
340.501,672.627,227.6284683,24.83320218
341.001,673.128,223.9621943,25.01672351
341.501,673.613,220.3071661,25.24905228
342.001,674.159,216.396642,25.50743319
342.501,674.615,212.5126159,25.62250948
343.001,675.165,208.4615877,26.04602939
343.501,675.643,204.3498137,26.22368492
344.001,676.185,200.2602855,26.81537758
344.501,676.682,195.9792594,27.29104967
345.001,677.163,191.7759833,27.95045981
345.501,677.703,187.3142072,28.66600155
346.001,678.179,183.0499311,29.11074307
346.501,678.732,178.471905,29.80869848
347.001,679.202,174.0886288,30.02755279
347.501,679.739,169.8856059,30.39146336
348.001,680.247,165.5788266,30.39048073
348.501,680.747,161.4950505,30.43661052
349.001,681.279,157.2510265,30.35365144
349.501,681.753,153.1712483,29.91894346
350.001,682.329,148.8847222,29.89887933
350.501,682.793,144.6066961,29.34133526
351.001,683.357,140.383922,29.22033057
351.501,683.854,135.9406459,28.9476708
352.001,684.365,131.6773677,28.8659696
352.501,684.891,127.2090916,28.95917638
