Time,Temperature,Mass fraction,Error
388.8828,377.128,0.9997,0.001154746
393.3306,378.13,0.9998,0.001159802
397.782,379.132,0.9996,0.001257354
402.2388,380.134,0.9997,0.001291768
406.7004,381.136,0.9998,0.001265686
411.1668,382.138,0.9996,0.001709567
415.641,383.14,0.9994,0.001380382
420.1194,384.142,0.9996,0.001156701
424.6044,385.144,0.9995,0.001252448
429.0996,386.146,0.9997,0.001300123
433.6074,387.148,0.9997,0.00119828
438.1254,388.15,1,0.001499448
442.6548,389.152,0.9997,0.001623725
447.1902,390.154,0.9996,0.001453374
451.74,391.156,0.9995,0.001404444
456.3012,392.158,0.9994,0.001392474
460.8756,393.16,0.9996,0.001446118
465.4638,394.162,0.9995,0.001572742
470.0682,395.164,0.9989,0.001438119
474.6864,396.166,0.9992,0.001477433
479.3172,397.168,0.9995,0.001566402
483.963,398.17,0.9998,0.001664347
488.6268,399.172,0.9996,0.001665496
493.3068,400.174,0.9993,0.001412504
498.0054,401.176,0.999,0.001311392
502.7208,402.178,0.9989,0.001384835
507.453,403.18,0.9991,0.001419695
512.2044,404.182,0.9989,0.001661757
516.975,405.184,0.9988,0.001470763
521.7642,406.186,0.9988,0.001439498
526.5732,407.188,0.9988,0.001270898
531.3984,408.19,0.9988,0.001532537
536.2428,409.192,0.9986,0.001482853
541.11,410.194,0.9986,0.001634477
546.0012,411.196,0.9987,0.001500944
550.9146,412.198,0.9986,0.001456627
555.8508,413.2,0.9985,0.001550034
560.808,414.202,0.9988,0.001749692
565.7856,415.204,0.9987,0.001728306
570.789,416.206,0.9984,0.001644888
575.8182,417.208,0.9981,0.001621352
580.8714,418.21,0.9979,0.001441019
585.9492,419.212,0.998,0.001404917
591.051,420.214,0.9979,0.001565579
596.178,421.216,0.9975,0.001401823
601.3278,422.218,0.9976,0.001547739
606.5046,423.22,0.9977,0.001564235
611.706,424.222,0.9974,0.001480101
616.9332,425.224,0.9973,0.001532047
622.1832,426.226,0.997,0.001432831
627.4626,427.228,0.9968,0.001388719
632.772,428.23,0.9971,0.001526884
638.103,429.232,0.9968,0.001468175
643.4634,430.234,0.9967,0.001435923
648.8544,431.236,0.9962,0.001425998
654.27,432.238,0.9962,0.001493874
659.7114,433.24,0.9961,0.001433161
665.175,434.242,0.9958,0.001329923
670.6656,435.244,0.9957,0.001707643
676.1814,436.246,0.9957,0.001388194
681.726,437.248,0.9955,0.00153836
687.2982,438.25,0.9952,0.001529573
692.9016,439.252,0.9951,0.001504347
698.5272,440.254,0.9948,0.001524141
704.178,441.256,0.9945,0.001423738
709.8552,442.258,0.994,0.001293219
715.5558,443.26,0.994,0.001404607
721.281,444.262,0.9936,0.00130679
727.0296,445.264,0.9933,0.001458704
732.8034,446.266,0.9929,0.001664168
738.6012,447.268,0.9927,0.001507455
744.4248,448.27,0.9923,0.001479339
750.2676,449.272,0.9918,0.001547753
756.1302,450.274,0.9915,0.001494963
762.0156,451.276,0.991,0.001560247
767.9178,452.278,0.9905,0.001380346
773.8404,453.28,0.9902,0.001299803
779.7858,454.282,0.9896,0.001211067
785.7522,455.284,0.9891,0.001256126
791.736,456.286,0.9886,0.001313855
797.733,457.288,0.9879,0.00140765
803.7456,458.29,0.9868,0.001279076
809.781,459.292,0.9865,0.001359962
815.829,460.294,0.9861,0.00140737
821.8914,461.296,0.9854,0.001327356
827.9682,462.298,0.9849,0.001573749
834.054,463.3,0.984,0.001435021
840.1476,464.302,0.9831,0.001177197
846.2556,465.304,0.9827,0.001238888
852.3768,466.306,0.982,0.001488639
858.5058,467.308,0.9816,0.001295756
864.6408,468.31,0.9807,0.001092303
870.7836,469.312,0.9805,0.001189875
876.9312,470.314,0.9799,0.001222461
883.0806,471.316,0.9795,0.001191368
889.2384,472.318,0.9792,0.001140189
895.4028,473.32,0.979,0.001148752
901.5708,474.322,0.9786,0.001469051
907.7406,475.324,0.9783,0.001104934
913.911,476.326,0.9782,0.001079075
920.0838,477.328,0.9777,0.001005178
926.2578,478.33,0.9775,0.0009706
932.4414,479.332,0.9772,0.001291039
938.6238,480.334,0.977,0.001257731
944.8026,481.336,0.977,0.001027656
950.976,482.338,0.9771,0.001106915
957.1488,483.34,0.9769,0.001231744
963.3258,484.342,0.9767,0.001050695
969.4938,485.344,0.9763,0.001157926
975.6588,486.346,0.9764,0.001104447
981.8202,487.348,0.9759,0.001285023
987.9762,488.35,0.9759,0.001190575
994.1322,489.352,0.9754,0.001234848
1000.2894,490.354,0.9755,0.001121144
1006.4412,491.356,0.9751,0.001127937
1012.59,492.358,0.9754,0.001072442
1018.7358,493.36,0.9754,0.00105389
1024.8774,494.362,0.9752,0.001101282
1031.0166,495.364,0.9751,0.00110553
1037.145,496.366,0.9747,0.001142658
1043.2662,497.368,0.9746,0.001011854
1049.3796,498.37,0.9744,0.001045545
1055.4846,499.372,0.974,0.001453974
1061.5848,500.374,0.9743,0.001218525
1067.6808,501.376,0.9743,0.001390372
1073.7744,502.378,0.9741,0.001160313
1079.856,503.38,0.974,0.001110095
1085.9292,504.382,0.9741,0.001151465
1091.9958,505.384,0.974,0.001123213
1098.054,506.386,0.9737,0.000980362
1104.1062,507.388,0.9736,0.00104544
1110.1542,508.39,0.9736,0.001262976
1116.1974,509.392,0.9735,0.001336355
1122.2286,510.394,0.9733,0.001183833
1128.2496,511.396,0.9729,0.001105022
1134.264,512.398,0.9729,0.001262266
1140.2712,513.4,0.9728,0.001147443
1146.2736,514.402,0.973,0.001352142
1152.2652,515.404,0.9731,0.001146771
1158.249,516.406,0.9728,0.000962148
1164.231,517.408,0.9726,0.000878463
1170.207,518.41,0.9726,0.001036194
1176.1716,519.412,0.9724,0.001245503
1182.1266,520.414,0.9721,0.001095573
1188.0786,521.416,0.9721,0.001408383
1194.0246,522.418,0.9725,0.001397048
1199.9616,523.42,0.9721,0.001327472
1205.8932,524.422,0.9719,0.001238996
1211.8188,525.424,0.9719,0.001188231
1217.736,526.426,0.9721,0.00091774
1223.646,527.428,0.9717,0.001170392
1229.5506,528.43,0.9713,0.001113609
1235.4504,529.432,0.9713,0.001397513
1241.3442,530.434,0.9711,0.001448932
1247.2344,531.436,0.9708,0.001399202
1253.121,532.438,0.971,0.001414703
1259.004,533.44,0.9708,0.001469121
1264.8786,534.442,0.9705,0.001269426
1270.7502,535.444,0.9707,0.001259738
1276.6206,536.446,0.9702,0.001322824
1282.4832,537.448,0.9702,0.001129181
1288.341,538.45,0.97,0.001289868
1294.197,539.452,0.9698,0.001324409
1300.05,540.454,0.9693,0.001116661
1305.9,541.456,0.969,0.001064544
1311.7494,542.458,0.9687,0.001247788
1317.5994,543.46,0.9685,0.00125881
1323.4428,544.462,0.9684,0.001174782
1329.2796,545.464,0.9683,0.001402379
1335.114,546.466,0.9677,0.001285864
1340.9496,547.468,0.9671,0.001376242
1346.7792,548.47,0.9666,0.001156772
1352.6064,549.472,0.9666,0.001138603
1358.4372,550.474,0.9663,0.001354825
1364.268,551.476,0.9662,0.001339772
1370.091,552.478,0.9657,0.001368525
1375.9038,553.48,0.9652,0.001331467
1381.7184,554.482,0.9649,0.001316781
1387.5348,555.484,0.9644,0.001728955
1393.35,556.486,0.9632,0.001282277
1399.164,557.488,0.9631,0.001161015
1404.9774,558.49,0.9627,0.001160806
1410.7926,559.492,0.9622,0.001237761
1416.6054,560.494,0.9615,0.001451568
1422.4164,561.496,0.9611,0.001595475
1428.2262,562.498,0.9601,0.001397324
1434.036,563.5,0.9591,0.001421055
1439.8446,564.502,0.9584,0.001532251
1445.6496,565.504,0.958,0.001766736
1451.457,566.506,0.9568,0.001259155
1457.2656,567.508,0.9558,0.00134043
1463.0784,568.51,0.955,0.001357197
1468.8822,569.512,0.9546,0.00180439
1474.686,570.514,0.9534,0.001541465
1480.4934,571.516,0.9524,0.001727496
1486.3008,572.518,0.9517,0.001500109
1492.1058,573.52,0.9505,0.001735098
1497.9114,574.522,0.9496,0.001462541
1503.7158,575.524,0.9481,0.002086145
1509.525,576.526,0.9472,0.001395456
1515.3348,577.528,0.9462,0.001691137
1521.1476,578.53,0.9452,0.001999049
1526.9616,579.532,0.9442,0.001594364
1532.7738,580.534,0.9433,0.001652834
1538.5848,581.536,0.9422,0.001976084
1544.3982,582.538,0.941,0.001684917
1550.2146,583.54,0.9396,0.001889877
1556.0406,584.542,0.9384,0.001907664
1561.863,585.544,0.9374,0.002389361
1567.6854,586.546,0.9358,0.001997798
1573.5102,587.548,0.934,0.001830164
1579.3386,588.55,0.9324,0.001731348
1585.1718,589.552,0.9311,0.002023874
1591.0092,590.554,0.9289,0.001425948
1596.8514,591.556,0.9272,0.002003738
1602.6948,592.558,0.9252,0.001781499
1608.537,593.56,0.9234,0.002042449
1614.3822,594.562,0.9206,0.002445612
1620.228,595.564,0.9186,0.002138393
1626.0786,596.566,0.9161,0.002549243
1631.9334,597.568,0.9122,0.003024609
1637.7942,598.57,0.9091,0.002984408
1643.6574,599.572,0.9062,0.002772381
1649.526,600.574,0.9029,0.002748705
1655.3934,601.576,0.8987,0.00308442
1661.2602,602.578,0.8948,0.003143529
1667.133,603.58,0.8896,0.003690708
1673.0088,604.582,0.8852,0.003559111
1678.8906,605.584,0.8804,0.003625264
1684.7706,606.586,0.8759,0.004109279
1690.6476,607.588,0.869,0.00485152
1696.5282,608.59,0.8628,0.004767508
1702.413,609.592,0.8564,0.004989718
1708.2984,610.594,0.8497,0.005365622
1714.1844,611.596,0.842,0.00576092
1720.0734,612.598,0.8347,0.006163387
1725.9678,613.6,0.8265,0.006483893
1731.8634,614.602,0.8185,0.007133848
1737.7566,615.604,0.8093,0.007590087
1743.6528,616.606,0.8003,0.007456141
1749.5442,617.608,0.7898,0.007881365
1755.435,618.61,0.7792,0.00865124
1761.3306,619.612,0.7685,0.008618026
1767.2268,620.614,0.7571,0.008733438
1773.1188,621.616,0.7454,0.009809563
1779.012,622.618,0.7326,0.009857521
1784.9058,623.62,0.72,0.010124998
1790.7966,624.622,0.7073,0.011202459
1796.6838,625.624,0.6936,0.010469182
1802.5692,626.626,0.6789,0.011188777
1808.4528,627.628,0.6657,0.011656608
1814.3334,628.63,0.6502,0.012414011
1820.214,629.632,0.6362,0.012949887
1826.0868,630.634,0.6203,0.013088727
1831.9542,631.636,0.6042,0.013198824
1837.8246,632.638,0.5886,0.013462445
1843.6944,633.64,0.5726,0.014005805
1849.563,634.642,0.5559,0.01409893
1855.4274,635.644,0.5392,0.014779279
1861.2924,636.646,0.5231,0.014959041
1867.1526,637.648,0.5047,0.015915269
1873.0098,638.65,0.4883,0.015522194
1878.8652,639.652,0.4706,0.015758459
1884.7152,640.654,0.4529,0.016213372
1890.5592,641.656,0.4351,0.016908857
1896.3996,642.658,0.4178,0.017406859
1902.2304,643.66,0.4007,0.016964291
1908.0456,644.662,0.3837,0.017008812
1913.8518,645.664,0.3662,0.017435467
1919.6538,646.666,0.3504,0.017282579
1925.4594,647.668,0.3345,0.017605998
1931.2638,648.67,0.3186,0.017378647
1937.0724,649.672,0.3027,0.017168915
1942.8828,650.674,0.287,0.017581126
1948.6968,651.676,0.2718,0.017713388
1954.5174,652.678,0.2556,0.018083459
1960.3464,653.68,0.2409,0.017847504
1966.1748,654.682,0.2258,0.018155112
1972.0008,655.684,0.2123,0.018117303
1977.8178,656.686,0.1971,0.017591811
1983.6276,657.688,0.1834,0.017432119
1989.4266,658.69,0.1684,0.016872494
1995.2172,659.692,0.1562,0.015909504
2001.0054,660.694,0.1445,0.014968833
2006.799,661.696,0.1325,0.014195351
2012.5956,662.698,0.1212,0.01341973
2018.3892,663.7,0.1114,0.012681468
2024.1834,664.702,0.1018,0.01171515
2029.9854,665.704,0.0933,0.011108215
2035.791,666.706,0.0838,0.010005285
2041.5984,667.708,0.0763,0.00928931
2047.4124,668.71,0.0694,0.008913463
2053.2372,669.712,0.0633,0.008403459
2059.0716,670.714,0.0568,0.007208919
2064.9084,671.716,0.0514,0.006868098
2070.7554,672.718,0.0467,0.006193951
2076.6138,673.72,0.0419,0.005512037
2082.4776,674.722,0.0374,0.005182201
2088.3486,675.724,0.0342,0.005324656
2094.2328,676.726,0.0305,0.004131409
2100.1266,677.728,0.0276,0.004620792
2106.027,678.73,0.0247,0.004382322
2111.9346,679.732,0.0217,0.003785804
2117.85,680.734,0.0196,0.003700085
2123.7768,681.736,0.0178,0.003489974
2129.715,682.738,0.0159,0.003350946
2135.6604,683.74,0.0145,0.003100762
2141.6184,684.742,0.0132,0.003084955
2147.5854,685.744,0.0118,0.003204962
2153.5608,686.746,0.0108,0.003064071
2159.55,687.748,0.0095,0.002862296
2165.5482,688.75,0.0088,0.00275586
2171.55,689.752,0.0079,0.002825529
2177.5578,690.754,0.0071,0.002666116
2183.586,691.756,0.0066,0.002808031
2189.6214,692.758,0.0059,0.002607196
2195.6652,693.76,0.0054,0.002613106
2201.715,694.762,0.0048,0.002672327
2207.769,695.764,0.0042,0.002670496
2213.8362,696.766,0.0039,0.002772982
2219.9154,697.768,0.0036,0.002486648
2225.997,698.77,0.0033,0.002293498
2232.078,699.772,0.0029,0.002859799
2238.174,700.774,0.0026,0.002510934
2244.2826,701.776,0.0025,0.002195895
2250.3954,702.778,0.0024,0.002380177
2256.5076,703.78,0.0025,0.002631677
2262.6132,704.782,0.0019,0.002279126
2268.717,705.784,0.0018,0.002200847
2274.8352,706.786,0.0021,0.002146255
2280.972,707.788,0.0019,0.002308455
2287.1274,708.79,0.0018,0.002473528
2293.296,709.792,0.0015,0.002271543
2299.4736,710.794,0.0016,0.002521862
2305.6656,711.796,0.0014,0.002142939
2311.8804,712.798,0.0018,0.002127122
2318.1042,713.8,0.0016,0.002139331
2324.325,714.802,0.0012,0.002491235
2330.5422,715.804,0.0013,0.002545239
2336.7588,716.806,0.0013,0.002300879
2342.976,717.808,0.0016,0.002476497
2349.204,718.81,0.0011,0.002325929
2355.4416,719.812,0.0014,0.002399876
2361.6822,720.814,0.0014,0.002324552
2367.9282,721.816,0.0016,0.002351106
2374.1796,722.818,0.0015,0.002127291
2380.4262,723.82,0.0014,0.002289224
2386.677,724.822,0.0013,0.002544807
2392.9458,725.824,0.001,0.002390184
2399.2158,726.826,0.0016,0.002157982
2405.4864,727.828,0.0016,0.002391217
2411.7672,728.83,0.0015,0.00217683
2418.0492,729.832,0.001,0.002306628
2424.3234,730.834,0.0015,0.002387159
2430.6054,731.836,0.0011,0.002483701
2436.8946,732.838,0.0013,0.002405194
2443.1826,733.84,0.0013,0.002428198
2449.4706,734.842,0.0011,0.002425888
2455.7538,735.844,0.001,0.002387971
2462.037,736.846,0.0012,0.002267374
2468.3256,737.848,0.0012,0.00234265
2474.6166,738.85,0.0016,0.002359532
2480.9052,739.852,0.0009,0.002376626
2487.195,740.854,0.0011,0.002311103
2493.4878,741.856,0.0012,0.002265934
2499.78,742.858,0.001,0.002273282
2506.0662,743.86,0.0012,0.00204378
2512.3548,744.862,0.0011,0.00233676
2518.6434,745.864,0.0008,0.002549349
2524.9254,746.866,0.0008,0.002554681
2531.2152,747.868,0.001,0.002564231
2537.5056,748.87,0.0011,0.002413036
2543.7804,749.872,0.0013,0.00242911
2550.0558,750.874,0.0011,0.002322905
2556.3396,751.876,0.0011,0.002324925
2562.6252,752.878,0.001,0.002189991
2568.9108,753.88,0.0009,0.002337488
2575.1922,754.882,0.0009,0.002375721
2581.4712,755.884,0.0005,0.002345988
2587.7436,756.886,0.001,0.002337487
2594.0148,757.888,0.0009,0.0023039
2600.2914,758.89,0.001,0.002307299
2606.5626,759.892,0.0009,0.002260249
2612.8254,760.894,0.0012,0.002235198
2619.0912,761.896,0.0011,0.0021231
2625.354,762.898,0.0013,0.002227155
2631.6084,763.9,0.0011,0.0021852
2637.861,764.902,0.0009,0.002035288
2644.116,765.904,0.0007,0.002121408
2650.3734,766.906,0.0006,0.002189066
2656.6248,767.908,0.0011,0.002315356
2662.8702,768.91,0.0006,0.002457977
2669.1198,769.912,0.0007,0.002440993
2675.3664,770.914,0.0008,0.002411618
2681.6088,771.916,0.0008,0.002182105
2687.8548,772.918,0.001,0.002259118
2694.093,773.92,0.0009,0.002497268
2700.324,774.922,0.0008,0.002447094
2706.558,775.924,0.0007,0.002327984
2712.7914,776.926,0.0005,0.002230607
2719.0242,777.928,0.001,0.002489984
2725.254,778.93,0.001,0.002394163
2731.4814,779.932,0.0009,0.002475817
2737.704,780.934,0.0007,0.002394552
2743.9242,781.936,0.0005,0.002455161
2750.139,782.938,0.0007,0.002376079
2756.3496,783.94,0.0007,0.002472607
2762.562,784.942,0.0007,0.002451543
2768.7762,785.944,0.0005,0.002436769
2774.9814,786.946,0.0012,0.002341678
2781.1842,787.948,0.0005,0.002497211
2787.393,788.95,0.0009,0.002566791
2793.5994,789.952,0.0006,0.002326771
2799.8028,790.954,0.0006,0.002526657
2805.9996,791.956,0.0005,0.002620481
2812.1922,792.958,0.0007,0.002778886
2818.3878,793.96,0.0004,0.002445971
2824.5762,794.962,0.0009,0.002487488
2830.7568,795.964,0.001,0.002341339
2836.9434,796.966,0.0009,0.002417294
2843.1288,797.968,0.001,0.002564797
2849.3112,798.97,0.0005,0.002414254
2855.4936,799.972,0.0005,0.002599377
2861.6688,800.974,0.0007,0.002408411
2867.8458,801.976,0.0006,0.002373425
2874.0234,802.978,0.0006,0.002418613
2880.1908,803.98,0.0009,0.002473859
2886.3528,804.982,0.0007,0.002414288
2892.519,805.984,0.0007,0.002351028
2898.6888,806.986,0.0007,0.002441878
2904.8574,807.988,0.0009,0.002544615
2911.0248,808.99,0.001,0.002716988
2917.1814,809.992,0.0007,0.002758066
2923.3302,810.994,0.0007,0.002630218
2929.4814,811.996,0.0007,0.002597848
2935.6362,812.998,0.0006,0.00238721
2941.7946,814,0.0005,0.002281053
2947.9446,815.002,0.0004,0.002476881
2954.0892,816.004,0.0006,0.00249708
2960.2374,817.006,0.0006,0.002566893
2966.391,818.008,0.0007,0.00246183
2972.5374,819.01,0.0008,0.002432625
2978.6808,820.012,0.0007,0.002627866
2984.8254,821.014,0.0006,0.002436121
2990.9664,822.016,0.0008,0.002281159
2997.1068,823.018,0.0006,0.00248934
3003.2472,824.02,0.0007,0.00244976
3009.3834,825.022,0.0006,0.002387508
3015.5178,826.024,0.0007,0.002324163
3021.6534,827.026,0.001,0.002398401
3027.7878,828.028,0.0011,0.002431746
3033.921,829.03,0.001,0.002410277
3040.0578,830.032,0.0012,0.002718363
3046.1868,831.034,0.001,0.002547111
3052.3122,832.036,0.0009,0.002601462
3058.4454,833.038,0.0008,0.002468978
3064.575,834.04,0.0008,0.002411965
3070.7064,835.042,0.0007,0.002366384
3076.842,836.044,0.0006,0.002392278
3082.9716,837.046,0.0005,0.002516921
3089.0964,838.048,0.0007,0.002593659
3095.2182,839.05,0.0007,0.002473774
3101.3418,840.052,0.0007,0.002611441
3107.4648,841.054,0.0008,0.002680863
3113.5896,842.056,0.0009,0.002439358
3119.7186,843.058,0.0008,0.002585168
3125.8422,844.06,0.0007,0.00267121
3131.9622,845.062,0.0008,0.002616526
3138.0858,846.064,0.0009,0.002676944
3144.2064,847.066,0.0009,0.002677768
3150.3276,848.068,0.0008,0.002462772
3156.4554,849.07,0.0007,0.002511861
3162.5796,850.072,0.0007,0.002467097
3168.7026,851.074,0.0007,0.002632205
3174.8268,852.076,0.0007,0.00262246
3180.9498,853.078,0.0008,0.002482338
3187.083,854.08,0.0005,0.002635925
3193.2072,855.082,0.0005,0.002554555
3199.3254,856.084,0.0008,0.002334484
3205.4502,857.086,0.0009,0.002420969
3211.5774,858.088,0.0007,0.002330347
3217.7034,859.09,0.0006,0.002338983
3223.8294,860.092,0.0008,0.002554441
3229.9536,861.094,0.0005,0.002712066
3236.0778,862.096,0.0005,0.00263104
3242.2068,863.098,0.0008,0.002502744
3248.3352,864.1,0.0009,0.002673003
3254.4594,865.102,0.0007,0.002581385
3260.5824,866.104,0.0009,0.002563073
3266.7036,867.106,0.0009,0.00270253
3272.8254,868.108,0.0008,0.002675361
3278.9514,869.11,0.0008,0.002711199
