time (s),Temperature (K),Mass (mg)
960.4,652,1.988
961.8,652.5,1.944
963.2,653,1.901
964.7,653.5,1.857
966.1,654,1.814
967.5,654.5,1.771
969,655,1.728
970.4,655.5,1.685
971.8,656,1.643
973.3,656.5,1.601
974.7,657,1.559
976.1,657.5,1.517
977.5,658,1.476
979,658.5,1.436
980.4,659,1.395
981.8,659.5,1.356
983.3,660,1.317
984.7,660.5,1.278
986.1,661,1.240
987.5,661.5,1.202
988.9,662,1.165
990.4,662.5,1.129
991.8,663,1.093
993.2,663.5,1.058
994.6,664,1.023
996.1,664.5,0.989
997.5,665,0.956
998.9,665.5,0.924
1000.3,666,0.892
1001.7,666.5,0.860
1003.1,667,0.830
1004.5,667.5,0.800
1005.9,668,0.771
1007.4,668.5,0.743
1008.8,669,0.715
1010.2,669.5,0.688
1011.6,670,0.662
1013,670.5,0.637
1014.4,671,0.612
1015.8,671.5,0.588
1017.2,672,0.564
1018.7,672.5,0.541
1020.1,673,0.520
1021.5,673.5,0.498
1022.9,674,0.478
1024.3,674.5,0.457
1025.7,675,0.438
1027.1,675.5,0.419
1028.5,676,0.401
1029.9,676.5,0.383
1031.3,677,0.366
1032.7,677.5,0.349
1034.2,678,0.333
1035.6,678.5,0.317
1037,679,0.302
1038.4,679.5,0.287
1039.8,680,0.274
1041.2,680.5,0.260
1042.6,681,0.247
1044,681.5,0.235
1045.4,682,0.223
1046.9,682.5,0.212
1048.3,683,0.201
1049.7,683.5,0.191
1051.1,684,0.181
1052.5,684.5,0.171
1053.9,685,0.162
1055.3,685.5,0.153
1056.7,686,0.145
1058.1,686.5,0.137
1059.6,687,0.129
1061,687.5,0.122
1062.4,688,0.115
1063.8,688.5,0.108
1065.2,689,0.102
1066.6,689.5,0.096
1068,690,0.090
1069.4,690.5,0.085
1070.9,691,0.080
1072.3,691.5,0.075
1073.7,692,0.070
1075.1,692.5,0.066
1076.5,693,0.062
1077.9,693.5,0.058
1079.4,694,0.054
1080.8,694.5,0.051
1082.2,695,0.048
1083.6,695.5,0.044
1085.1,696,0.041
1086.5,696.5,0.038
1087.9,697,0.035
1089.4,697.5,0.033
1090.8,698,0.030
1092.2,698.5,0.028
1093.7,699,0.026
1095.1,699.5,0.024
1096.5,700,0.022
1098,700.5,0.020
1099.4,701,0.018
1100.8,701.5,0.017
1102.3,702,0.015
1103.7,702.5,0.014
1105.1,703,0.012
1106.6,703.5,0.011
1108,704,0.010
1109.4,704.5,0.009
1110.9,705,0.008
1112.3,705.5,0.007
1113.7,706,0.006
1115.2,706.5,0.005
1116.6,707,0.004
1118,707.5,0.004
1119.5,708,0.003
1120.9,708.5,0.002
1122.4,709,0.002
1123.8,709.5,0.002
1125.2,710,0.001
1126.7,710.5,0.001
1128.1,711,0.000
1129.5,711.5,0.000
1131,712,0.000
1132.4,712.5,-0.001
1133.9,713,-0.001
1135.3,713.5,-0.002
1136.7,714,-0.002
1138.2,714.5,-0.003
1139.6,715,-0.003
1141.1,715.5,-0.004
1142.5,716,-0.004
1143.9,716.5,-0.005
1145.4,717,-0.005
1146.8,717.5,-0.005
1148.3,718,-0.006
1149.7,718.5,-0.006
1151.1,719,-0.006
1152.6,719.5,-0.006
1154,720,-0.006
1155.5,720.5,-0.006
1156.9,721,-0.006
1158.4,721.5,-0.006
1159.8,722,-0.006
1161.3,722.5,-0.007
1162.7,723,-0.007
1164.2,723.5,-0.007
1165.6,724,-0.007
1167.1,724.5,-0.007
1168.5,725,-0.008
1170,725.5,-0.008
1171.4,726,-0.008
1172.9,726.5,-0.009
1174.3,727,-0.009
1175.8,727.5,-0.009
1177.2,728,-0.009
1178.7,728.5,-0.008
1180.1,729,-0.008
1181.6,729.5,-0.008
1183,730,-0.008
1184.5,730.5,-0.008
1185.9,731,-0.007
1187.4,731.5,-0.007
1188.9,732,-0.007
1190.3,732.5,-0.007
1191.8,733,-0.008
1193.2,733.5,-0.008
1194.7,734,-0.008
1196.1,734.5,-0.008
1197.6,735,-0.008
1199,735.5,-0.009
1200.5,736,-0.009
1201.9,736.5,-0.009
1203.4,737,-0.009
1204.8,737.5,-0.009
1206.3,738,-0.009
1207.8,738.5,-0.009
1209.2,739,-0.009
1210.7,739.5,-0.009
1212.1,740,-0.010
1213.6,740.5,-0.010
1215,741,-0.010
1216.5,741.5,-0.010
1217.9,742,-0.010
1219.4,742.5,-0.010
1220.9,743,-0.010
1222.3,743.5,-0.010
1223.8,744,-0.010
1225.2,744.5,-0.010
1226.7,745,-0.010
1228.1,745.5,-0.010
1229.6,746,-0.010
1231.1,746.5,-0.010
1232.5,747,-0.010
1234,747.5,-0.010
1235.4,748,-0.011
1236.9,748.5,-0.011
1238.3,749,-0.011
1239.8,749.5,-0.011
1241.3,750,-0.011
1242.7,750.5,-0.011
1244.2,751,-0.011
1245.6,751.5,-0.011
1247.1,752,-0.011
1248.5,752.5,-0.011
1250,753,-0.011
1251.4,753.5,-0.011
1252.9,754,-0.011
1254.4,754.5,-0.012
1255.8,755,-0.012
1257.3,755.5,-0.012
1258.8,756,-0.012
1260.2,756.5,-0.012
1261.7,757,-0.012
1263.2,757.5,-0.012
1264.6,758,-0.012
1266.1,758.5,-0.011
1267.5,759,-0.011
1269,759.5,-0.011
1270.5,760,-0.011
1271.9,760.5,-0.011
1273.4,761,-0.011
1274.8,761.5,-0.011
1276.3,762,-0.011
1277.8,762.5,-0.010
1279.2,763,-0.010
1280.7,763.5,-0.010
1282.2,764,-0.010
1283.6,764.5,-0.011
1285.1,765,-0.010
1286.5,765.5,-0.010
1288,766,-0.010
1289.5,766.5,-0.010
1290.9,767,-0.010
1292.4,767.5,-0.010
1293.9,768,-0.010
1295.3,768.5,-0.010
1296.8,769,-0.010
1298.3,769.5,-0.010
1299.7,770,-0.010
1301.2,770.5,-0.010
1302.7,771,-0.010
1304.1,771.5,-0.010
1305.6,772,-0.010
1307.1,772.5,-0.010
1308.5,773,-0.010
1310,773.5,-0.010
1311.5,774,-0.011
1312.9,774.5,-0.011
1314.4,775,-0.011
1315.8,775.5,-0.011
1317.3,776,-0.011
1318.8,776.5,-0.010
1320.3,777,-0.010
1321.7,777.5,-0.010
1323.2,778,-0.010
1324.7,778.5,-0.010
1326.1,779,-0.010
1327.6,779.5,-0.010
1329.1,780,-0.010
1330.5,780.5,-0.010
1332,781,-0.010
1333.5,781.5,-0.010
1334.9,782,-0.010
1336.4,782.5,-0.010
1337.9,783,-0.010
1339.3,783.5,-0.010
1340.8,784,-0.010
1342.3,784.5,-0.010
1343.7,785,-0.010
1345.2,785.5,-0.010
1346.7,786,-0.010
1348.2,786.5,-0.010
1349.6,787,-0.010
1351.1,787.5,-0.010
1352.6,788,-0.010
1354,788.5,-0.010
1355.5,789,-0.010
1357,789.5,-0.011
1358.4,790,-0.011
1359.9,790.5,-0.011
1361.4,791,-0.011
1362.8,791.5,-0.011
1364.3,792,-0.011
1365.8,792.5,-0.011
1367.2,793,-0.011
1368.7,793.5,-0.011
1370.2,794,-0.011
1371.7,794.5,-0.011
1373.1,795,-0.011
1374.6,795.5,-0.011
1376.1,796,-0.011
1377.5,796.5,-0.011
1379,797,-0.011
1380.5,797.5,-0.011
1382,798,-0.011
1383.4,798.5,-0.011
1384.9,799,-0.010
1386.4,799.5,-0.010
1387.8,800,-0.010
1389.3,800.5,-0.010
1390.8,801,-0.010
1392.3,801.5,-0.010
1393.7,802,-0.010
1395.2,802.5,-0.010
1396.7,803,-0.010
1398.2,803.5,-0.010
1399.6,804,-0.011
1401.1,804.5,-0.011
1402.6,805,-0.011
1404,805.5,-0.011
1405.5,806,-0.011
1407,806.5,-0.011
1408.4,807,-0.011
1409.9,807.5,-0.011
1411.4,808,-0.011
1412.9,808.5,-0.011
1414.3,809,-0.011
1415.8,809.5,-0.011
1417.3,810,-0.011
1418.8,810.5,-0.011
1420.2,811,-0.011
1421.7,811.5,-0.011
