time (s),Temperature (K),Heat Flow Rate (mW/mg)
450.1,396,0.357
453,396.5,0.360
455.9,397,0.362
458.9,397.5,0.364
461.8,398,0.366
464.7,398.5,0.368
467.6,399,0.370
470.5,399.5,0.372
473.4,400,0.374
476.4,400.5,0.375
479.3,401,0.377
482.2,401.5,0.378
485.1,402,0.379
488,402.5,0.381
490.9,403,0.382
493.8,403.5,0.383
496.7,404,0.384
499.6,404.5,0.385
502.6,405,0.386
505.5,405.5,0.386
508.4,406,0.387
511.2,406.5,0.387
514.1,407,0.388
517.1,407.5,0.388
520,408,0.389
522.9,408.5,0.389
525.9,409,0.390
528.8,409.5,0.390
531.7,410,0.391
534.6,410.5,0.392
537.4,411,0.392
540.3,411.5,0.393
543.2,412,0.393
546.1,412.5,0.394
549.1,413,0.394
552,413.5,0.395
554.9,414,0.395
557.8,414.5,0.395
560.7,415,0.396
563.6,415.5,0.396
566.5,416,0.397
569.4,416.5,0.398
572.3,417,0.398
575.2,417.5,0.398
578.1,418,0.399
581,418.5,0.399
583.9,419,0.400
586.8,419.5,0.401
589.7,420,0.401
592.6,420.5,0.402
595.5,421,0.402
598.4,421.5,0.403
601.2,422,0.404
604.1,422.5,0.405
607,423,0.406
609.9,423.5,0.407
612.8,424,0.408
615.7,424.5,0.409
618.6,425,0.409
621.5,425.5,0.411
624.3,426,0.412
627.2,426.5,0.413
630.1,427,0.414
633,427.5,0.415
635.9,428,0.416
638.8,428.5,0.417
641.6,429,0.418
644.5,429.5,0.419
647.4,430,0.420
650.3,430.5,0.421
653.2,431,0.422
656,431.5,0.423
658.9,432,0.424
661.8,432.5,0.425
664.7,433,0.427
667.6,433.5,0.428
670.5,434,0.429
673.4,434.5,0.430
676.3,435,0.432
679.1,435.5,0.433
682,436,0.435
684.9,436.5,0.436
687.8,437,0.438
690.7,437.5,0.439
693.6,438,0.440
696.5,438.5,0.442
699.3,439,0.444
702.2,439.5,0.445
705.1,440,0.447
708,440.5,0.449
710.9,441,0.450
713.8,441.5,0.452
716.6,442,0.454
719.5,442.5,0.456
722.4,443,0.458
725.3,443.5,0.460
728.2,444,0.462
731,444.5,0.464
733.9,445,0.466
736.8,445.5,0.468
739.7,446,0.470
742.6,446.5,0.472
745.4,447,0.474
748.3,447.5,0.476
751.2,448,0.478
754.1,448.5,0.479
757,449,0.481
759.8,449.5,0.483
762.7,450,0.485
765.6,450.5,0.486
768.5,451,0.488
771.3,451.5,0.490
774.2,452,0.491
777.1,452.5,0.493
780,453,0.494
782.9,453.5,0.496
785.8,454,0.497
788.7,454.5,0.498
791.5,455,0.500
794.4,455.5,0.501
797.3,456,0.502
800.2,456.5,0.503
803,457,0.505
805.9,457.5,0.506
808.8,458,0.507
811.6,458.5,0.508
814.5,459,0.508
817.4,459.5,0.509
820.2,460,0.510
823.1,460.5,0.510
826,461,0.510
828.8,461.5,0.510
831.7,462,0.510
834.6,462.5,0.509
837.4,463,0.509
840.3,463.5,0.508
843.2,464,0.507
846,464.5,0.506
848.9,465,0.505
851.8,465.5,0.504
854.7,466,0.503
857.6,466.5,0.502
860.4,467,0.500
863.3,467.5,0.499
866.2,468,0.498
869,468.5,0.497
871.9,469,0.496
874.8,469.5,0.496
877.7,470,0.495
880.5,470.5,0.494
883.4,471,0.494
886.3,471.5,0.494
889.1,472,0.494
892,472.5,0.494
894.9,473,0.494
897.7,473.5,0.494
900.6,474,0.495
903.5,474.5,0.495
906.3,475,0.496
909.2,475.5,0.496
912.1,476,0.497
915,476.5,0.498
917.8,477,0.499
920.7,477.5,0.499
923.6,478,0.500
926.4,478.5,0.501
929.3,479,0.502
932.2,479.5,0.503
935,480,0.504
937.9,480.5,0.505
940.8,481,0.506
943.7,481.5,0.507
946.5,482,0.508
949.4,482.5,0.510
952.3,483,0.510
955.2,483.5,0.511
958,484,0.511
960.9,484.5,0.512
963.8,485,0.512
966.6,485.5,0.512
969.5,486,0.512
972.4,486.5,0.512
975.2,487,0.512
978.1,487.5,0.512
981,488,0.511
983.8,488.5,0.510
986.7,489,0.509
989.5,489.5,0.508
992.4,490,0.507
995.3,490.5,0.505
998.1,491,0.503
1001,491.5,0.501
1003.9,492,0.499
1006.7,492.5,0.497
1009.6,493,0.495
1012.5,493.5,0.492
1015.3,494,0.490
1018.2,494.5,0.488
1021,495,0.486
1023.9,495.5,0.484
1026.8,496,0.482
1029.6,496.5,0.480
1032.5,497,0.479
1035.3,497.5,0.477
1038.2,498,0.476
1041,498.5,0.475
1043.9,499,0.474
1046.7,499.5,0.473
1049.6,500,0.472
1052.4,500.5,0.472
1055.3,501,0.471
1058.2,501.5,0.470
1061,502,0.469
1063.9,502.5,0.468
1066.7,503,0.468
1069.6,503.5,0.467
1072.4,504,0.467
1075.3,504.5,0.466
1078.2,505,0.466
1081,505.5,0.466
1083.9,506,0.466
1086.8,506.5,0.466
1089.6,507,0.466
1092.5,507.5,0.466
1095.4,508,0.467
1098.2,508.5,0.467
1101.1,509,0.467
1104,509.5,0.467
1106.8,510,0.467
1109.7,510.5,0.468
1112.6,511,0.468
1115.4,511.5,0.469
1118.3,512,0.469
1121.2,512.5,0.470
1124,513,0.470
1126.9,513.5,0.471
1129.8,514,0.472
1132.6,514.5,0.473
1135.5,515,0.474
1138.4,515.5,0.475
1141.2,516,0.476
1144.1,516.5,0.477
1146.9,517,0.478
1149.8,517.5,0.479
1152.7,518,0.481
1155.5,518.5,0.482
1158.4,519,0.483
1161.3,519.5,0.485
1164.1,520,0.486
1167,520.5,0.487
1169.9,521,0.488
1172.7,521.5,0.489
1175.6,522,0.490
1178.4,522.5,0.490
1181.3,523,0.491
1184.2,523.5,0.493
1187,524,0.493
1189.9,524.5,0.495
1192.8,525,0.496
1195.6,525.5,0.497
1198.5,526,0.498
1201.3,526.5,0.499
1204.2,527,0.501
1207,527.5,0.502
1209.9,528,0.503
1212.8,528.5,0.504
1215.6,529,0.505
1218.5,529.5,0.506
1221.4,530,0.507
1224.2,530.5,0.508
1227.1,531,0.509
1229.9,531.5,0.510
1232.8,532,0.511
1235.7,532.5,0.513
1238.6,533,0.514
1241.4,533.5,0.515
1244.3,534,0.517
1247.2,534.5,0.518
1250,535,0.520
1252.9,535.5,0.522
1255.8,536,0.524
1258.6,536.5,0.526
1261.5,537,0.528
1264.4,537.5,0.530
1267.2,538,0.532
1270.1,538.5,0.533
1273,539,0.536
1275.9,539.5,0.537
1278.7,540,0.540
1281.6,540.5,0.542
1284.5,541,0.544
1287.3,541.5,0.546
1290.2,542,0.548
1293.1,542.5,0.550
1296,543,0.552
1298.8,543.5,0.554
1301.7,544,0.556
1304.6,544.5,0.558
1307.4,545,0.561
1310.3,545.5,0.563
1313.2,546,0.566
1316.1,546.5,0.568
1319,547,0.571
1321.8,547.5,0.573
1324.7,548,0.576
1327.6,548.5,0.578
1330.4,549,0.580
1333.3,549.5,0.583
1336.2,550,0.585
1339.1,550.5,0.588
1341.9,551,0.591
1344.8,551.5,0.594
1347.7,552,0.596
1350.5,552.5,0.599
1353.4,553,0.602
1356.2,553.5,0.605
1359.1,554,0.607
1362,554.5,0.610
1364.8,555,0.612
1367.7,555.5,0.614
1370.6,556,0.615
1373.5,556.5,0.617
1376.3,557,0.619
1379.2,557.5,0.621
1382.1,558,0.623
1385,558.5,0.625
1387.9,559,0.626
1390.8,559.5,0.628
1393.6,560,0.630
1396.5,560.5,0.632
1399.4,561,0.634
1402.3,561.5,0.636
1405.1,562,0.638
1408,562.5,0.640
1410.9,563,0.642
1413.7,563.5,0.644
1416.6,564,0.647
1419.5,564.5,0.649
1422.4,565,0.651
1425.3,565.5,0.654
1428.2,566,0.656
1431,566.5,0.658
1433.9,567,0.660
1436.8,567.5,0.663
1439.7,568,0.665
1442.6,568.5,0.666
1445.4,569,0.668
1448.3,569.5,0.669
1451.2,570,0.671
1454.1,570.5,0.673
1456.9,571,0.674
1459.8,571.5,0.676
1462.7,572,0.678
1465.5,572.5,0.680
1468.4,573,0.682
1471.3,573.5,0.684
1474.2,574,0.686
1477.1,574.5,0.688
1480,575,0.689
1482.9,575.5,0.690
1485.7,576,0.690
1488.6,576.5,0.690
1491.5,577,0.690
1494.4,577.5,0.688
1497.3,578,0.686
1500.1,578.5,0.684
1503,579,0.681
1505.9,579.5,0.677
1508.7,580,0.675
1511.6,580.5,0.672
1514.5,581,0.670
1517.4,581.5,0.669
1520.2,582,0.669
1523.1,582.5,0.671
1526,583,0.675
1528.8,583.5,0.679
1531.7,584,0.685
1534.6,584.5,0.692
1537.4,585,0.700
1540.3,585.5,0.709
1543.2,586,0.718
1546,586.5,0.729
1548.9,587,0.739
1551.8,587.5,0.750
1554.7,588,0.761
1557.5,588.5,0.773
1560.4,589,0.785
1563.3,589.5,0.797
1566.1,590,0.810
1569,590.5,0.823
1571.9,591,0.835
1574.8,591.5,0.848
1577.7,592,0.862
1580.6,592.5,0.875
1583.5,593,0.888
1586.4,593.5,0.901
1589.3,594,0.915
1592.2,594.5,0.928
1595.1,595,0.941
1598,595.5,0.955
1600.9,596,0.969
1603.8,596.5,0.982
1606.7,597,0.997
1609.6,597.5,1.011
1612.5,598,1.026
1615.4,598.5,1.041
1618.3,599,1.057
1621.2,599.5,1.073
1624.1,600,1.089
1627,600.5,1.106
1629.9,601,1.123
1632.8,601.5,1.141
1635.7,602,1.159
1638.7,602.5,1.178
1641.6,603,1.197
1644.5,603.5,1.217
1647.4,604,1.237
1650.3,604.5,1.258
1653.2,605,1.279
1656.2,605.5,1.302
1659.1,606,1.325
1662,606.5,1.348
1664.9,607,1.372
1667.8,607.5,1.397
1670.7,608,1.422
1673.7,608.5,1.449
1676.6,609,1.476
1679.5,609.5,1.503
1682.4,610,1.531
1685.3,610.5,1.560
1688.2,611,1.589
1691.2,611.5,1.619
1694.1,612,1.649
1697,612.5,1.680
1699.9,613,1.711
1702.8,613.5,1.743
1705.8,614,1.776
1708.7,614.5,1.809
1711.7,615,1.842
1714.6,615.5,1.875
1717.5,616,1.909
1720.4,616.5,1.943
1723.3,617,1.978
1726.2,617.5,2.013
1729.2,618,2.048
1732.1,618.5,2.083
1735,619,2.119
1738,619.5,2.154
1740.9,620,2.189
1743.8,620.5,2.224
1746.8,621,2.260
1749.7,621.5,2.295
1752.7,622,2.330
1755.7,622.5,2.364
1758.6,623,2.398
1761.6,623.5,2.432
1764.5,624,2.466
1767.5,624.5,2.500
1770.4,625,2.533
1773.4,625.5,2.565
1776.3,626,2.597
1779.2,626.5,2.628
1782.2,627,2.658
1785.1,627.5,2.688
1788,628,2.716
1790.9,628.5,2.743
1793.9,629,2.768
1796.8,629.5,2.792
1799.8,630,2.815
1802.7,630.5,2.836
1805.6,631,2.855
1808.6,631.5,2.872
1811.5,632,2.888
1814.4,632.5,2.901
1817.4,633,2.914
1820.3,633.5,2.924
1823.3,634,2.933
1826.2,634.5,2.939
1829.1,635,2.943
1832.1,635.5,2.945
1835,636,2.944
1838,636.5,2.941
1840.9,637,2.937
1843.8,637.5,2.931
1846.8,638,2.923
1849.7,638.5,2.914
1852.6,639,2.905
1855.6,639.5,2.894
1858.5,640,2.883
1861.4,640.5,2.873
1864.3,641,2.865
1867.3,641.5,2.857
1870.2,642,2.844
1873.1,642.5,2.834
1876,643,2.820
1878.9,643.5,2.807
1881.8,644,2.790
1884.7,644.5,2.772
1887.6,645,2.749
1890.5,645.5,2.725
1893.4,646,2.697
1896.3,646.5,2.670
1899.3,647,2.639
1902.2,647.5,2.608
1905.1,648,2.574
1908,648.5,2.539
1910.9,649,2.503
1913.8,649.5,2.468
1916.7,650,2.431
1919.6,650.5,2.392
1922.5,651,2.355
1925.4,651.5,2.315
1928.3,652,2.275
1931.2,652.5,2.234
1934.1,653,2.193
1937,653.5,2.151
1939.9,654,2.110
1942.8,654.5,2.067
1945.7,655,2.026
1948.6,655.5,1.983
1951.5,656,1.940
1954.4,656.5,1.898
1957.3,657,1.854
1960.2,657.5,1.811
1963.1,658,1.767
1966,658.5,1.723
1968.9,659,1.678
1971.7,659.5,1.631
1974.6,660,1.586
1977.5,660.5,1.540
1980.4,661,1.493
1983.2,661.5,1.448
1986.1,662,1.404
1989,662.5,1.360
1991.9,663,1.317
1994.8,663.5,1.275
1997.7,664,1.234
2000.6,664.5,1.193
2003.5,665,1.153
2006.4,665.5,1.115
2009.3,666,1.077
2012.2,666.5,1.040
2015.1,667,1.004
2018,667.5,0.968
2020.9,668,0.934
2023.8,668.5,0.900
2026.8,669,0.867
2029.7,669.5,0.835
2032.6,670,0.804
2035.5,670.5,0.773
2038.4,671,0.743
2041.3,671.5,0.714
2044.2,672,0.686
2047.1,672.5,0.658
2050,673,0.632
2052.9,673.5,0.606
2055.8,674,0.581
2058.7,674.5,0.557
2061.6,675,0.533
2064.5,675.5,0.511
2067.4,676,0.489
2070.3,676.5,0.468
2073.3,677,0.448
2076.2,677.5,0.428
2079.1,678,0.408
2082,678.5,0.390
2084.9,679,0.373
2087.9,679.5,0.356
2090.8,680,0.340
2093.7,680.5,0.325
2096.6,681,0.311
2099.5,681.5,0.298
2102.5,682,0.286
2105.4,682.5,0.275
2108.3,683,0.265
2111.2,683.5,0.256
2114.1,684,0.248
2117,684.5,0.242
2119.9,685,0.236
2122.8,685.5,0.231
2125.7,686,0.226
2128.6,686.5,0.222
2131.5,687,0.219
2134.4,687.5,0.216
2137.4,688,0.213
2140.3,688.5,0.210
2143.2,689,0.207
2146.1,689.5,0.205
2149.1,690,0.203
2152,690.5,0.202
2154.9,691,0.200
2157.8,691.5,0.199
2160.7,692,0.198
2163.7,692.5,0.198
2166.6,693,0.197
2169.5,693.5,0.195
2172.4,694,0.193
2175.3,694.5,0.190
2178.3,695,0.187
2181.2,695.5,0.183
2184.1,696,0.178
2187.1,696.5,0.172
2190,697,0.165
2193,697.5,0.158
2196,698,0.151
2198.9,698.5,0.143
2201.9,699,0.136
2204.8,699.5,0.129
2207.8,700,0.121
2210.7,700.5,0.113
2213.7,701,0.106
2216.6,701.5,0.097
2219.6,702,0.089
2222.5,702.5,0.080
2225.5,703,0.070
2228.5,703.5,0.059
2231.4,704,0.048
2234.4,704.5,0.036
2237.3,705,0.024
2240.3,705.5,0.012
2243.3,706,0.002
2246.2,706.5,-0.008
2249.2,707,-0.016
2252.2,707.5,-0.022
2255.1,708,-0.026
2258.1,708.5,-0.027
2261.1,709,-0.025
2264,709.5,-0.022
2267,710,-0.017
2269.9,710.5,-0.011
2272.9,711,-0.005
2275.9,711.5,0.001
2278.8,712,0.008
2281.8,712.5,0.014
2284.8,713,0.018
2287.7,713.5,0.022
2290.7,714,0.026
2293.7,714.5,0.028
2296.6,715,0.030
2299.6,715.5,0.032
2302.5,716,0.033
2305.5,716.5,0.034
2308.5,717,0.035
2311.4,717.5,0.036
2314.4,718,0.036
2317.3,718.5,0.037
2320.3,719,0.038
2323.3,719.5,0.038
2326.3,720,0.039
2329.2,720.5,0.040
2332.2,721,0.041
2335.1,721.5,0.041
2338.1,722,0.041
2341,722.5,0.041
2344,723,0.041
2347,723.5,0.042
2349.9,724,0.042
2352.9,724.5,0.041
2355.8,725,0.042
2358.8,725.5,0.042
2361.7,726,0.042
2364.7,726.5,0.043
2367.6,727,0.043
2370.6,727.5,0.044
2373.5,728,0.044
2376.5,728.5,0.045
2379.4,729,0.045
2382.4,729.5,0.046
2385.3,730,0.046
2388.3,730.5,0.047
2391.3,731,0.047
2394.2,731.5,0.047
2397.2,732,0.048
2400.1,732.5,0.048
2403.1,733,0.048
2406,733.5,0.048
2409,734,0.048
2412,734.5,0.048
2414.9,735,0.048
2417.9,735.5,0.048
2420.9,736,0.048
2423.8,736.5,0.048
2426.8,737,0.049
2429.7,737.5,0.049
2432.7,738,0.049
2435.6,738.5,0.050
2438.6,739,0.050
2441.5,739.5,0.051
2444.5,740,0.051
2447.4,740.5,0.052
2450.4,741,0.052
2453.4,741.5,0.052
2456.3,742,0.053
2459.3,742.5,0.053
2462.2,743,0.052
2465.2,743.5,0.053
2468.2,744,0.054
2471.1,744.5,0.054
2474.1,745,0.054
2477,745.5,0.055
2479.9,746,0.055
2482.9,746.5,0.056
2485.9,747,0.056
2488.8,747.5,0.056
2491.8,748,0.056
2494.8,748.5,0.057
2497.7,749,0.057
2500.7,749.5,0.057
2503.6,750,0.058
2506.6,750.5,0.058
2509.5,751,0.058
2512.5,751.5,0.059
2515.4,752,0.060
2518.4,752.5,0.060
2521.4,753,0.061
2524.3,753.5,0.062
2527.3,754,0.063
2530.2,754.5,0.063
2533.2,755,0.064
2536.1,755.5,0.064
2539.1,756,0.064
2542,756.5,0.065
2545,757,0.065
2548,757.5,0.065
2550.9,758,0.065
2553.9,758.5,0.065
2556.8,759,0.066
2559.8,759.5,0.066
2562.7,760,0.066
2565.7,760.5,0.066
2568.6,761,0.067
2571.6,761.5,0.067
2574.5,762,0.067
2577.5,762.5,0.067
2580.5,763,0.068
2583.4,763.5,0.068
2586.4,764,0.069
2589.4,764.5,0.069
2592.4,765,0.070
2595.3,765.5,0.070
2598.3,766,0.071
2601.3,766.5,0.072
2604.3,767,0.072
2607.3,767.5,0.072
2610.2,768,0.073
2613.2,768.5,0.073
2616.2,769,0.073
2619.1,769.5,0.073
2622.1,770,0.074
2625,770.5,0.074
2628,771,0.074
2631,771.5,0.075
2633.9,772,0.075
2636.9,772.5,0.075
2639.9,773,0.076
2642.9,773.5,0.077
2645.9,774,0.077
2648.9,774.5,0.078
2651.8,775,0.078
2654.8,775.5,0.079
2657.8,776,0.079
2660.8,776.5,0.079
2663.8,777,0.079
2666.7,777.5,0.080
2669.7,778,0.080
2672.7,778.5,0.080
2675.7,779,0.080
2678.7,779.5,0.080
2681.6,780,0.080
2684.6,780.5,0.081
2687.6,781,0.081
2690.6,781.5,0.082
2693.5,782,0.082
2696.5,782.5,0.083
2699.5,783,0.083
2702.5,783.5,0.084
2705.4,784,0.085
2708.4,784.5,0.085
2711.4,785,0.085
2714.4,785.5,0.086
2717.4,786,0.087
2720.4,786.5,0.087
2723.4,787,0.088
2726.3,787.5,0.088
2729.3,788,0.089
2732.3,788.5,0.090
2735.3,789,0.090
2738.3,789.5,0.091
2741.2,790,0.091
2744.2,790.5,0.092
2747.2,791,0.093
2750.1,791.5,0.094
2753.1,792,0.094
2756.1,792.5,0.095
2759,793,0.095
2762,793.5,0.096
2765,794,0.097
2767.9,794.5,0.097
2770.9,795,0.098
2773.9,795.5,0.098
2776.8,796,0.099
2779.8,796.5,0.100
2782.8,797,0.100
2785.8,797.5,0.101
2788.8,798,0.101
2791.8,798.5,0.102
2794.8,799,0.103
2797.7,799.5,0.103
2800.7,800,0.104
2803.7,800.5,0.104
2806.6,801,0.105
2809.6,801.5,0.106
2812.6,802,0.106
2815.5,802.5,0.107
2818.5,803,0.107
2821.5,803.5,0.107
2824.5,804,0.107
2827.4,804.5,0.108
2830.4,805,0.108
2833.4,805.5,0.108
2836.4,806,0.108
2839.3,806.5,0.108
2842.3,807,0.108
2845.3,807.5,0.108
2848.3,808,0.108
2851.2,808.5,0.108
2854.2,809,0.109
2857.2,809.5,0.109
2860.2,810,0.110
2863.1,810.5,0.110
2866.1,811,0.110
2869.1,811.5,0.111
2872.1,812,0.111
2875.1,812.5,0.111
2878.1,813,0.111
2881.1,813.5,0.111
2884.1,814,0.112
2887,814.5,0.112
2890,815,0.112
2893,815.5,0.112
2896,816,0.112
2899,816.5,0.112
2902,817,0.112
2905,817.5,0.112
2908,818,0.112
2911,818.5,0.112
2914.1,819,0.113
2917.1,819.5,0.112
2920.1,820,0.112
2923.1,820.5,0.112
2926.1,821,0.112
2929.1,821.5,0.112
2932.1,822,0.112
