time (s),Mass (g),T_back (K)
266,63.672,442.49
267,63.709,442.58
268,63.520,442.73
269,63.430,442.97
270,63.565,443.23
271,63.425,443.51
272,63.349,443.82
273,63.293,444.09
274,63.266,444.44
275,63.255,444.78
276,63.118,445.08
277,63.005,445.43
278,62.933,445.78
279,62.881,446.12
280,62.808,446.41
281,62.943,446.78
282,62.744,447.08
283,62.634,447.41
284,62.757,447.68
285,62.444,448.02
286,62.466,448.30
287,62.516,448.69
288,62.311,448.97
289,62.370,449.31
290,62.252,449.60
291,62.186,449.89
292,62.182,450.24
293,62.055,450.54
294,62.073,450.81
295,61.956,451.15
296,61.777,451.41
297,61.746,451.71
298,61.731,452.02
299,61.615,452.21
300,61.593,452.58
301,61.534,452.84
302,61.358,453.14
303,61.485,453.44
304,61.446,453.74
305,61.170,454.06
306,61.392,454.33
307,61.133,454.61
308,61.036,454.83
309,61.084,455.16
310,60.909,455.49
311,60.879,455.72
312,60.772,456.04
313,60.857,456.27
314,60.779,456.63
315,60.441,456.82
316,60.729,457.05
317,60.461,457.26
318,60.521,457.61
319,60.511,457.86
320,60.470,458.11
321,60.293,458.38
322,60.266,458.63
323,60.199,458.74
324,60.058,459.11
325,60.046,459.40
326,59.904,459.66
327,59.904,459.98
328,59.880,460.23
329,59.697,460.45
330,59.614,460.71
331,59.670,460.97
332,59.555,461.30
333,59.415,461.54
334,59.318,461.86
335,59.273,462.07
336,59.219,462.30
337,59.190,462.56
338,59.162,462.86
339,58.969,463.10
340,58.985,463.33
341,58.922,463.56
342,58.776,463.82
343,58.814,464.01
344,58.722,464.29
345,58.573,464.59
346,58.440,464.85
347,58.410,465.00
348,58.340,465.22
349,58.131,465.44
350,58.217,465.71
351,58.207,465.96
352,58.057,466.22
353,57.883,466.41
354,57.902,466.69
355,57.950,466.88
356,57.668,467.20
357,57.608,467.43
358,57.587,467.67
359,57.389,467.94
360,57.406,468.11
361,57.414,468.31
362,57.270,468.55
363,57.145,468.78
364,57.067,468.97
365,57.015,469.17
366,56.817,469.32
367,56.878,469.55
368,56.773,469.79
369,56.587,470.02
370,56.700,470.18
371,56.443,470.43
372,56.455,470.62
373,56.428,470.86
374,56.201,471.03
375,56.302,471.14
376,56.021,471.35
377,56.127,471.60
378,56.009,471.78
379,55.892,471.91
380,55.911,472.15
381,55.646,472.35
382,55.670,472.56
383,55.479,472.78
384,55.448,472.95
385,55.449,473.12
386,55.296,473.35
387,55.333,473.54
388,55.037,473.79
389,55.161,473.95
390,54.982,474.21
391,54.992,474.41
392,54.862,474.76
393,54.740,474.86
394,54.596,475.01
395,54.554,475.21
396,54.433,475.39
397,54.342,475.60
398,54.328,475.86
399,54.271,476.09
400,54.140,476.26
401,54.165,476.44
402,54.054,476.63
403,53.744,476.76
404,53.776,477.02
405,53.806,477.19
406,53.533,477.30
407,53.520,477.48
408,53.480,477.57
409,53.289,477.79
410,53.330,477.98
411,53.261,478.16
412,53.110,478.36
413,53.048,478.49
414,53.029,478.66
415,52.833,478.78
416,52.638,478.95
417,52.744,479.00
418,52.640,479.10
419,52.480,479.31
420,52.488,479.56
421,52.294,479.73
422,52.333,480.04
423,52.189,480.23
424,52.241,480.44
425,51.873,480.66
426,52.042,480.80
427,51.874,480.98
428,51.720,481.26
429,51.765,481.33
430,51.516,481.65
431,51.530,481.74
432,51.354,481.87
433,51.468,482.01
434,51.232,482.24
435,51.050,482.49
436,51.245,482.76
437,51.045,482.95
438,50.979,483.07
439,50.773,483.31
440,50.792,483.41
441,50.645,483.58
442,50.495,483.65
443,50.438,483.85
444,50.216,483.95
445,50.262,484.17
446,50.200,484.30
447,49.987,484.51
448,50.008,484.65
449,49.762,484.71
450,49.830,485.08
451,49.764,485.19
452,49.609,485.42
453,49.578,485.46
454,49.327,485.64
455,49.438,485.77
456,49.212,485.97
457,49.184,486.09
458,49.171,486.25
459,48.877,486.34
460,48.908,486.41
461,48.834,486.57
462,48.822,486.71
463,48.659,486.82
464,48.582,486.80
465,48.522,487.03
466,48.429,487.18
467,48.256,487.31
468,48.050,487.50
469,48.015,487.66
470,48.142,487.81
471,47.777,488.07
472,47.803,488.05
473,47.681,488.13
474,47.709,488.32
475,47.387,488.45
476,47.462,488.60
477,47.251,488.71
478,47.207,488.95
479,47.227,489.18
480,47.050,489.34
481,46.913,489.45
482,46.776,489.50
483,46.792,489.66
484,46.713,489.75
485,46.357,489.90
486,46.483,490.14
487,46.255,490.22
488,46.301,490.29
489,46.190,490.48
490,46.176,490.64
491,46.062,490.74
492,45.924,490.84
493,45.959,490.93
494,45.654,491.14
495,45.767,491.20
496,45.503,491.31
497,45.415,491.42
498,45.291,491.55
499,45.410,491.56
500,45.132,491.67
501,44.941,491.87
502,45.032,491.97
503,44.943,492.08
504,44.689,492.21
505,44.826,492.25
506,44.698,492.32
507,44.430,492.44
508,44.340,492.53
509,44.325,492.71
510,44.226,492.96
511,44.110,493.05
512,43.955,493.10
513,43.879,493.25
514,43.882,493.46
515,43.620,493.68
516,43.634,493.76
517,43.497,493.71
518,43.512,493.95
519,43.354,494.14
520,43.140,494.23
521,43.203,494.36
522,42.916,494.48
523,42.961,494.66
524,42.730,494.82
525,42.871,494.99
526,42.534,495.01
527,42.560,495.14
528,42.326,495.34
529,42.295,495.41
530,42.332,495.63
531,42.089,495.74
532,42.140,495.84
533,41.960,496.00
534,41.768,496.15
535,41.738,496.25
536,41.534,496.40
537,41.593,496.52
538,41.393,496.59
539,41.333,496.68
540,41.392,496.88
541,41.085,497.02
542,41.130,497.02
543,40.883,497.13
544,40.892,497.29
545,40.651,497.42
546,40.645,497.64
547,40.469,497.69
548,40.357,497.83
549,40.274,497.96
550,40.078,498.10
551,40.093,498.16
552,40.024,498.36
553,39.869,498.46
554,39.817,498.47
555,39.751,498.74
556,39.503,498.94
557,39.556,498.98
558,39.421,499.19
559,39.245,499.29
560,39.306,499.49
561,39.075,499.64
562,38.934,499.83
563,38.857,499.95
564,38.766,499.97
565,38.646,500.05
566,38.562,500.20
567,38.463,500.41
568,38.332,500.48
569,38.333,500.61
570,38.168,500.94
571,38.087,501.05
572,37.937,500.99
573,37.906,501.04
574,37.772,501.14
575,37.621,501.50
576,37.681,501.65
577,37.387,501.67
578,37.198,501.82
579,37.243,501.92
580,37.196,502.08
581,36.943,501.99
582,36.921,502.11
583,36.822,502.24
584,36.763,502.37
585,36.623,502.49
586,36.573,502.62
587,36.323,502.64
588,36.186,502.83
589,36.288,503.07
590,36.291,503.15
591,35.960,503.22
592,36.040,503.44
593,35.839,503.62
594,35.712,503.81
595,35.756,504.01
596,35.388,504.05
597,35.405,504.25
598,35.406,504.33
599,35.126,504.44
600,35.077,504.53
601,35.137,504.63
602,34.886,504.87
603,34.824,504.94
604,34.755,505.10
605,34.695,505.27
606,34.451,505.38
607,34.459,505.61
608,34.303,505.83
609,34.003,505.91
610,34.034,506.01
611,33.922,506.20
612,33.823,506.34
613,33.673,506.46
614,33.508,506.58
615,33.627,506.67
616,33.529,506.83
617,33.289,506.96
618,33.148,507.10
619,33.202,507.31
620,32.958,507.39
621,32.837,507.62
622,32.968,507.73
623,32.659,507.66
624,32.586,507.99
625,32.646,508.02
626,32.298,508.26
627,32.214,508.50
628,32.152,508.45
629,32.118,508.73
630,31.947,508.92
631,31.757,509.04
632,31.782,509.20
633,31.593,509.40
634,31.342,509.48
635,31.472,509.61
636,31.333,509.82
637,31.193,509.92
638,31.080,510.15
639,30.905,510.16
640,30.868,510.29
641,30.778,510.53
642,30.705,510.66
643,30.476,510.68
644,30.382,510.82
645,30.290,511.08
646,30.147,511.26
647,30.003,511.36
648,29.816,511.46
649,29.940,511.54
650,29.870,511.70
651,29.786,511.86
652,29.646,511.91
653,29.529,512.09
654,29.254,512.08
655,29.192,512.28
656,29.100,512.28
657,29.005,512.49
658,28.958,512.69
659,28.777,512.82
660,28.661,512.77
661,28.412,512.94
662,28.553,513.28
663,28.319,513.33
664,28.256,513.50
665,28.139,513.55
666,28.042,513.84
667,27.872,513.94
668,27.734,514.02
669,27.860,514.20
670,27.547,514.47
671,27.579,514.79
672,27.260,514.87
673,27.199,514.94
674,27.158,514.99
675,27.070,515.05
676,27.009,515.19
677,26.683,515.38
678,26.764,515.51
679,26.603,515.58
680,26.420,515.88
681,26.472,515.94
682,26.062,516.17
683,25.951,516.23
684,26.106,516.36
685,25.834,516.46
686,25.782,516.62
687,25.707,516.69
688,25.634,516.91
689,25.502,516.88
690,25.474,517.12
691,25.333,517.17
692,25.170,517.33
693,25.165,517.49
694,25.083,517.78
695,24.805,517.88
696,24.784,518.05
697,24.702,518.13
698,24.545,518.16
699,24.478,518.24
700,24.429,518.33
701,24.104,518.34
702,24.127,518.68
703,24.110,518.88
704,23.910,518.87
705,23.865,518.95
706,23.611,519.23
707,23.646,519.41
708,23.465,519.29
709,23.391,519.40
710,23.269,519.52
711,23.155,519.83
712,23.176,519.97
713,22.974,520.09
714,22.834,520.27
715,22.870,520.51
716,22.632,520.66
717,22.634,520.82
718,22.429,520.95
719,22.215,521.11
720,22.298,521.18
721,22.173,521.26
722,21.890,521.39
723,21.846,521.43
724,21.727,521.78
725,21.633,521.93
726,21.403,522.01
727,21.274,522.23
728,21.361,522.31
729,21.170,522.32
730,21.016,522.49
731,21.123,522.71
732,20.838,522.85
733,20.717,522.89
734,20.580,523.14
735,20.368,523.15
736,20.442,523.38
737,20.339,523.44
738,20.234,523.66
739,20.160,523.71
740,19.842,523.74
741,19.793,523.89
742,19.881,523.99
743,19.713,524.05
744,19.520,524.45
745,19.448,524.58
746,19.259,524.77
747,19.247,524.75
748,19.073,524.97
749,18.775,525.18
750,18.873,525.13
751,18.742,525.35
752,18.770,525.51
753,18.484,525.59
754,18.263,525.79
755,18.446,526.03
756,18.276,526.14
757,18.003,526.00
758,17.981,526.12
759,17.843,526.32
760,17.742,526.38
761,17.689,526.52
762,17.667,526.59
763,17.559,526.82
764,17.323,527.14
765,17.273,527.23
766,17.177,527.47
767,17.204,527.61
768,17.033,527.81
769,16.752,527.92
770,16.911,528.05
771,16.646,528.09
772,16.614,528.32
773,16.651,528.37
774,16.274,528.61
775,16.369,528.77
776,16.222,528.87
777,15.987,529.04
778,16.088,529.12
779,15.839,529.26
780,15.616,529.24
781,15.759,529.35
782,15.659,529.56
783,15.533,529.53
784,15.321,529.59
785,15.403,529.73
786,15.198,529.95
787,15.171,530.26
788,15.260,530.42
789,14.858,530.58
790,14.738,530.68
791,14.852,530.79
792,14.536,530.92
793,14.575,530.96
794,14.647,531.05
795,14.521,531.17
796,14.195,531.40
797,14.335,531.63
798,14.212,531.74
799,14.014,531.78
800,14.123,531.92
801,13.913,532.09
802,13.857,532.23
803,13.875,532.53
804,13.616,532.52
805,13.756,532.62
806,13.577,532.78
807,13.496,532.89
808,13.502,532.96
809,13.268,533.03
810,13.302,533.20
811,13.296,533.41
812,13.074,533.66
813,13.117,533.58
814,12.959,533.84
815,12.902,533.99
816,12.986,534.00
817,12.960,534.31
818,12.819,534.46
819,12.737,534.55
820,12.768,534.65
821,12.562,534.79
822,12.361,534.76
823,12.449,534.95
824,12.397,535.01
825,12.276,535.28
826,12.145,535.40
827,12.092,535.61
828,12.231,535.76
829,12.129,535.69
830,12.068,535.98
831,11.970,536.11
832,11.752,536.25
833,11.849,536.27
834,11.779,536.36
835,11.568,536.37
836,11.664,536.33
837,11.575,536.40
838,11.494,536.50
839,11.490,536.71
840,11.409,536.94
841,11.256,537.07
842,11.216,537.18
843,11.210,537.07
844,11.043,537.25
845,11.062,537.56
846,11.175,537.68
847,10.887,537.82
848,10.860,537.77
849,10.978,537.87
850,10.818,537.95
851,10.681,538.04
852,10.619,538.19
853,10.613,538.33
854,10.553,538.23
855,10.533,538.41
856,10.617,538.52
857,10.283,538.85
858,10.331,538.90
859,10.355,539.10
860,10.188,539.10
861,10.114,539.16
862,10.106,539.31
863,10.069,539.34
864,10.070,539.39
865,9.932,539.48
866,10.073,539.78
867,9.922,540.03
868,9.784,540.28
869,9.820,540.22
870,9.711,540.26
871,9.603,540.28
872,9.613,540.39
873,9.504,540.48
874,9.511,540.78
875,9.339,540.70
876,9.359,540.87
877,9.380,541.01
878,9.334,540.98
879,9.370,541.03
880,9.095,541.06
881,9.088,541.19
882,9.209,541.29
883,9.087,541.33
884,8.954,541.28
885,9.013,541.54
886,8.856,541.75
887,8.765,541.87
888,8.825,542.03
889,8.828,542.14
890,8.785,542.34
891,8.608,542.18
892,8.757,542.37
893,8.572,542.50
894,8.656,542.59
895,8.634,542.59
896,8.271,542.45
897,8.517,542.55
898,8.264,542.70
899,8.397,542.93
900,8.267,542.99
901,8.260,542.92
902,8.205,543.21
903,8.182,543.36
904,8.104,543.62
905,8.111,543.60
906,8.057,543.59
907,8.075,543.82
908,7.901,543.94
909,7.974,543.92
910,7.798,543.90
911,7.756,544.12
912,7.853,544.24
913,7.740,544.29
914,7.796,544.64
915,7.726,544.73
916,7.813,544.84
917,7.679,544.81
918,7.599,544.76
919,7.723,544.82
920,7.523,545.04
921,7.591,545.20
922,7.638,545.23
923,7.489,545.12
924,7.346,545.34
925,7.373,545.37
926,7.361,545.38
927,7.200,545.42
928,7.322,545.51
929,7.227,545.41
930,7.072,545.46
931,7.130,545.72
932,7.025,545.81
933,6.950,545.74
934,7.156,545.58
935,7.118,545.93
936,6.861,545.86
937,6.842,545.73
938,6.776,545.98
939,6.865,546.01
940,6.865,546.17
941,6.771,546.27
942,6.717,546.14
943,6.648,546.38
944,6.692,546.41
945,6.744,546.57
946,6.543,546.52
947,6.590,546.69
948,6.653,546.69
949,6.476,546.68
950,6.459,546.67
951,6.412,546.61
952,6.448,546.83
953,6.339,546.79
954,6.206,547.11
955,6.407,547.23
956,6.155,547.42
957,6.215,547.53
958,6.315,547.62
959,6.069,547.88
960,6.196,548.23
961,6.057,548.53
962,6.002,548.68
963,6.090,548.93
964,5.881,549.03
965,6.059,549.12
966,6.009,548.94
967,5.860,549.09
968,5.872,549.32
969,5.774,549.51
970,5.771,549.66
971,5.626,549.83
972,5.806,549.85
973,5.665,550.04
974,5.636,550.25
975,5.547,550.26
976,5.546,550.37
977,5.604,550.61
978,5.484,550.75
979,5.522,551.02
980,5.544,551.14
981,5.440,551.07
982,5.410,551.37
983,5.310,551.64
984,5.428,551.95
985,5.237,552.22
986,5.281,552.56
987,5.288,552.71
988,5.053,552.66
989,5.173,553.06
990,5.140,553.23
991,5.060,553.24
992,5.001,553.49
993,5.019,553.66
994,5.070,553.82
995,5.006,553.92
996,4.980,553.96
997,4.934,553.87
998,4.883,554.14
999,4.979,553.93
1000,4.704,554.23
1001,4.787,554.08
1002,4.942,554.13
1003,4.809,554.33
1004,4.715,554.76
1005,4.642,555.13
1006,4.597,555.37
1007,4.727,555.39
1008,4.605,555.53
1009,4.573,555.89
1010,4.649,556.04
1011,4.500,555.75
1012,4.502,556.11
1013,4.546,556.57
1014,4.564,556.69
1015,4.439,557.10
1016,4.299,557.24
1017,4.522,557.12
1018,4.316,557.69
1019,4.146,558.03
1020,4.418,558.34
1021,4.256,558.58
1022,4.176,558.51
1023,4.436,558.84
1024,4.234,559.36
1025,4.180,559.63
1026,4.222,559.68
1027,4.083,560.03
1028,4.093,560.19
1029,4.126,560.47
1030,4.158,560.71
1031,4.058,560.67
1032,3.963,561.02
1033,3.899,561.04
1034,3.987,561.40
1035,3.987,561.53
1036,3.979,561.76
1037,4.011,561.86
1038,3.776,562.04
1039,3.879,562.25
1040,3.912,562.44
1041,3.702,562.41
1042,3.901,562.65
1043,3.707,562.91
1044,3.669,563.19
1045,3.804,563.30
1046,3.706,563.45
1047,3.693,563.86
1048,3.747,564.03
1049,3.733,564.10
1050,3.655,564.29
1051,3.585,564.55
1052,3.640,564.72
1053,3.631,564.73
1054,3.520,564.74
1055,3.427,565.24
1056,3.477,565.47
1057,3.589,566.02
1058,3.503,566.83
1059,3.252,567.47
1060,3.402,567.74
1061,3.522,568.33
1062,3.286,568.86
1063,3.311,569.15
1064,3.430,569.50
1065,3.383,569.95
1066,3.280,570.05
1067,3.210,570.03
1068,3.314,570.28
1069,3.152,570.92
1070,3.200,571.24
1071,3.235,571.09
1072,3.180,571.18
1073,3.150,571.72
1074,2.920,571.94
1075,3.157,572.37
1076,3.171,572.42
1077,2.953,572.96
1078,3.161,573.26
1079,2.848,573.50
1080,3.040,573.92
1081,2.942,574.13
1082,2.916,574.34
1083,3.034,574.70
1084,2.871,574.87
1085,3.009,574.99
1086,2.803,575.40
1087,2.909,575.54
1088,2.798,575.57
1089,2.832,575.79
1090,2.921,576.38
1091,2.728,576.31
1092,2.706,576.18
1093,2.792,576.41
1094,2.666,576.73
1095,2.790,576.87
1096,2.702,577.25
1097,2.813,577.19
1098,2.522,577.59
1099,2.708,577.92
1100,2.516,578.43
1101,2.643,578.57
1102,2.604,578.80
1103,2.622,579.09
1104,2.524,579.53
1105,2.540,579.85
1106,2.547,579.84
1107,2.312,579.89
1108,2.574,579.88
1109,2.539,580.08
1110,2.293,580.13
1111,2.573,580.54
1112,2.372,580.85
1113,2.367,580.72
1114,2.474,580.87
1115,2.283,581.17
1116,2.422,581.43
1117,2.370,581.68
1118,2.425,581.78
1119,2.344,582.17
1120,2.302,582.19
1121,2.401,582.29
1122,2.234,582.57
1123,2.240,582.90
1124,2.455,583.03
1125,2.333,583.33
1126,2.248,583.88
1127,2.254,584.16
1128,2.117,584.02
1129,2.101,584.13
1130,2.211,584.62
1131,2.216,584.93
1132,2.158,585.39
1133,2.295,585.64
1134,2.039,586.16
1135,2.020,586.20
1136,2.281,586.42
1137,2.015,587.03
1138,2.034,587.37
1139,2.263,587.54
1140,2.029,587.81
1141,1.948,587.83
1142,2.102,588.26
1143,1.985,588.34
1144,1.904,588.53
1145,2.113,588.95
1146,2.084,588.80
1147,1.853,589.09
1148,2.047,589.23
1149,2.042,589.37
1150,1.851,589.73
1151,2.063,590.20
1152,1.873,590.36
1153,1.982,590.98
1154,1.981,590.88
1155,1.817,590.94
1156,2.058,590.93
1157,1.837,591.05
1158,1.806,591.45
1159,1.850,591.43
1160,1.739,591.80
1161,1.914,592.05
1162,1.622,592.25
1163,1.858,592.73
1164,1.712,592.94
1165,1.753,592.81
1166,1.700,593.47
1167,1.630,593.51
1168,1.845,593.98
1169,1.668,594.22
1170,1.771,594.79
1171,1.592,595.33
1172,1.699,595.80
1173,1.674,596.18
1174,1.606,596.09
1175,1.627,596.60
1176,1.657,597.08
1177,1.651,597.50
1178,1.541,597.76
1179,1.540,597.94
1180,1.596,598.49
1181,1.511,598.68
1182,1.412,599.30
1183,1.476,599.57
1184,1.393,600.12
1185,1.611,600.12
1186,1.508,600.41
1187,1.508,600.76
1188,1.396,601.11
1189,1.477,601.32
1190,1.349,601.38
1191,1.494,601.71
1192,1.340,602.08
1193,1.403,602.47
1194,1.453,602.42
1195,1.321,602.56
1196,1.374,603.03
1197,1.307,602.75
1198,1.458,603.09
1199,1.325,603.22
1200,1.365,603.09
1201,1.418,603.23
1202,1.117,603.38
1203,1.357,603.98
1204,1.373,604.84
1205,1.102,604.80
1206,1.400,605.05
1207,1.320,605.39
1208,1.083,605.81
1209,1.225,606.26
1210,1.220,606.53
1211,1.191,606.63
1212,1.143,606.91
1213,1.239,607.02
1214,1.199,607.24
1215,0.978,607.68
1216,1.171,607.59
1217,1.202,607.85
1218,1.126,607.93
1219,1.221,608.31
1220,1.205,608.47
1221,1.165,608.86
1222,1.211,609.27
1223,0.892,609.37
1224,1.100,609.60
1225,1.177,609.76
1226,0.965,610.06
1227,1.119,610.16
1228,1.136,610.81
1229,1.028,610.84
1230,1.058,610.98
1231,1.119,611.41
1232,1.105,611.65
1233,1.043,611.74
1234,0.993,612.46
1235,1.129,612.48
1236,0.968,612.77
1237,1.042,613.16
1238,1.092,613.47
1239,0.870,613.77
1240,0.987,614.13
1241,0.934,614.33
1242,1.061,614.28
1243,0.851,614.23
1244,0.966,614.46
1245,0.808,615.00
1246,1.088,614.82
1247,0.925,615.23
1248,1.043,615.67
1249,0.805,615.85
1250,0.928,616.08
1251,0.816,616.41
1252,0.902,616.87
1253,0.899,616.86
1254,0.980,616.85
1255,0.843,617.08
1256,0.785,617.68
1257,0.834,617.83
1258,0.865,618.09
1259,0.693,618.13
1260,0.806,618.53
1261,0.770,618.83
1262,0.912,618.82
1263,0.697,619.25
1264,0.805,619.20
1265,0.694,619.66
1266,0.725,620.26
1267,0.769,620.65
1268,0.725,620.73
1269,0.699,621.18
1270,0.708,620.98
1271,0.776,621.36
1272,0.734,621.49
1273,0.668,622.00
1274,0.789,622.47
1275,0.701,622.44
1276,0.666,622.65
1277,0.619,623.20
1278,0.602,623.15
1279,0.660,623.39
1280,0.540,623.98
1281,0.662,624.27
1282,0.578,624.62
1283,0.565,625.12
1284,0.560,625.31
1285,0.548,625.06
1286,0.543,625.63
1287,0.519,625.64
1288,0.566,625.64
1289,0.687,626.39
1290,0.611,626.60
1291,0.594,626.59
1292,0.458,627.26
1293,0.631,627.43
1294,0.411,627.30
1295,0.590,627.57
1296,0.541,627.66
1297,0.502,627.89
1298,0.493,628.10
1299,0.405,628.20
1300,0.563,628.97
1301,0.421,629.47
1302,0.464,629.83
1303,0.425,629.94
1304,0.357,629.97
1305,0.494,630.01
1306,0.329,629.95
1307,0.430,630.09
1308,0.517,630.57
1309,0.455,630.63
1310,0.433,631.21
1311,0.529,631.35
1312,0.408,631.51
1313,0.292,631.52
1314,0.330,631.50
1315,0.507,631.61
1316,0.414,632.37
1317,0.489,632.52
1318,0.494,632.75
1319,0.320,633.28
1320,0.397,633.69
1321,0.419,634.02
1322,0.380,634.14
1323,0.414,634.22
1324,0.400,634.41
1325,0.436,634.75
1326,0.332,634.95
1327,0.414,635.02
1328,0.460,635.13
1329,0.188,635.43
1330,0.475,635.68
1331,0.384,635.76
1332,0.359,635.70
1333,0.480,636.27
1334,0.231,637.01
1335,0.383,637.17
1336,0.225,637.05
1337,0.275,637.12
1338,0.290,636.87
1339,0.229,637.06
1340,0.330,637.71
1341,0.207,637.87
1342,0.264,638.20
1343,0.277,638.50
1344,0.125,638.73
1345,0.198,638.88
1346,0.120,638.81
1347,0.195,639.39
1348,0.185,639.47
1349,0.122,639.36
1350,0.366,639.69
1351,0.118,639.97
1352,0.310,640.03
1353,0.133,640.57
1354,0.336,640.67
1355,0.087,640.42
1356,0.321,640.87
1357,0.128,641.13
1358,0.190,641.54
1359,0.227,642.18
