time (s),Mass (g),T_back K(),T_front (K)
125,169.828,372.09,629.75
126,169.772,372.84,630.16
127,169.779,373.56,631.02
128,169.756,374.27,631.87
129,169.748,374.96,632.68
130,169.729,375.61,632.96
131,169.733,376.33,633.51
132,169.692,376.98,634.34
133,169.690,377.68,635.46
134,169.679,378.31,636.51
135,169.708,378.96,637.00
136,169.674,379.54,638.05
137,169.686,380.08,638.96
138,169.678,380.46,638.85
139,169.730,381.23,639.23
140,169.691,381.80,639.88
141,169.695,382.38,639.56
142,169.660,382.89,641.63
143,169.624,383.45,641.44
144,169.643,383.97,643.34
145,169.636,384.51,642.55
146,169.651,385.06,641.80
147,169.636,385.55,643.38
148,169.634,386.08,644.99
149,169.598,386.69,645.10
150,169.575,387.28,645.68
151,169.566,387.85,645.14
152,169.567,388.47,646.25
153,169.541,389.03,646.38
154,169.521,389.63,645.79
155,169.526,390.16,646.46
156,169.518,390.74,645.38
157,169.469,391.26,648.01
158,169.493,391.86,648.13
159,169.467,392.45,648.50
160,169.419,393.04,648.88
161,169.413,393.67,650.91
162,169.371,394.26,648.94
163,169.361,394.84,648.62
164,169.309,395.44,649.88
165,169.305,395.98,650.80
166,169.263,396.60,652.53
167,169.246,397.23,650.23
168,169.220,397.85,652.21
169,169.198,398.47,651.69
170,169.152,399.07,651.42
171,169.125,399.68,650.96
172,169.081,400.22,649.12
173,169.054,400.76,650.86
174,169.014,401.33,651.44
175,168.991,401.81,651.67
176,168.960,402.38,651.30
177,168.914,402.89,654.62
178,168.890,403.39,652.07
179,168.878,403.96,649.25
180,168.837,404.46,651.52
181,168.805,404.95,652.40
182,168.760,405.43,653.64
183,168.734,406.01,654.00
184,168.682,406.50,653.55
185,168.628,406.91,651.54
186,168.616,407.41,655.18
187,168.562,407.99,652.88
188,168.556,408.46,652.91
189,168.515,408.99,656.31
190,168.459,409.50,656.59
191,168.406,410.03,654.01
192,168.377,410.55,654.34
193,168.348,411.07,656.53
194,168.288,411.61,658.05
195,168.248,412.15,657.07
196,168.210,412.67,652.94
197,168.165,413.14,654.72
198,168.117,413.64,657.39
199,168.089,414.15,658.60
200,168.059,414.69,655.57
201,167.994,415.16,659.94
202,167.946,415.69,658.51
203,167.886,416.14,652.66
204,167.861,416.65,654.37
205,167.797,417.15,662.05
206,167.753,417.65,659.76
207,167.699,418.16,656.93
208,167.670,418.66,654.09
209,167.611,419.13,659.57
210,167.576,419.46,662.36
211,167.516,420.00,663.90
212,167.481,420.50,657.49
213,167.417,421.02,655.84
214,167.386,421.49,662.31
215,167.327,421.98,661.78
216,167.279,422.47,658.55
217,167.238,422.89,657.37
218,167.194,423.34,661.43
219,167.141,423.77,662.45
220,167.106,424.25,659.46
221,167.034,424.70,660.85
222,167.011,425.15,659.21
223,166.953,425.57,658.15
224,166.889,426.08,660.99
225,166.842,426.48,658.58
226,166.801,426.92,664.49
227,166.762,427.35,665.30
228,166.681,427.78,666.88
229,166.692,428.22,667.73
230,166.625,428.64,668.53
231,166.587,429.03,664.11
232,166.506,429.50,666.75
233,166.469,429.94,666.50
234,166.390,430.39,665.33
235,166.339,430.76,665.85
236,166.284,431.22,667.13
237,166.223,431.64,670.80
238,166.181,432.03,668.81
239,166.148,432.49,669.03
240,166.103,432.90,668.94
241,166.048,433.34,670.33
242,166.009,433.73,668.88
243,165.962,434.12,668.19
244,165.905,434.55,670.96
245,165.850,434.97,673.06
246,165.805,435.33,669.29
247,165.739,435.72,666.08
248,165.695,436.14,668.02
249,165.620,436.54,668.94
250,165.580,436.90,671.46
251,165.525,437.22,671.38
252,165.415,437.58,671.04
253,165.405,437.97,670.74
254,165.372,438.35,670.44
255,165.327,438.73,672.15
256,165.295,439.07,672.76
257,165.244,439.43,667.70
258,165.172,439.72,671.30
259,165.134,440.16,669.36
260,165.083,440.51,671.35
261,165.070,440.82,675.79
262,165.026,441.12,673.51
263,164.997,441.35,675.31
264,164.914,441.66,675.09
265,164.868,442.04,670.93
266,164.790,442.33,670.78
267,164.737,442.49,670.52
268,164.682,442.58,671.44
269,164.635,442.73,672.57
270,164.565,442.97,677.57
271,164.493,443.23,674.89
272,164.468,443.51,673.72
273,164.399,443.82,676.55
274,164.375,444.09,677.49
275,164.295,444.44,674.72
276,164.241,444.78,671.75
277,164.158,445.08,671.05
278,164.145,445.43,672.59
279,164.062,445.78,676.06
280,163.990,446.12,675.10
281,163.932,446.41,678.40
282,163.856,446.78,675.34
283,163.816,447.08,670.32
284,163.734,447.41,669.09
285,163.663,447.68,670.98
286,163.607,448.02,676.36
287,163.533,448.30,676.49
288,163.494,448.69,672.56
289,163.421,448.97,673.73
290,163.350,449.31,672.11
291,163.310,449.60,669.18
292,163.252,449.89,674.47
293,163.152,450.24,675.31
294,163.083,450.54,673.56
295,163.024,450.81,671.74
296,162.944,451.15,673.03
297,162.852,451.41,670.23
298,162.794,451.71,673.93
299,162.722,452.02,675.88
300,162.636,452.21,676.32
301,162.636,452.58,675.41
302,162.567,452.84,677.26
303,162.512,453.14,672.28
304,162.431,453.44,670.42
305,162.372,453.74,676.74
306,162.337,454.06,680.25
307,162.299,454.33,680.75
308,162.246,454.61,679.00
309,162.163,454.83,669.14
310,162.066,455.16,672.59
311,162.026,455.49,675.30
312,161.932,455.72,678.71
313,161.896,456.04,677.12
314,161.808,456.27,679.06
315,161.742,456.63,677.05
316,161.686,456.82,678.36
317,161.615,457.05,676.23
318,161.513,457.26,675.37
319,161.465,457.61,677.53
320,161.402,457.86,678.57
321,161.331,458.11,679.33
322,161.257,458.38,679.45
323,161.178,458.63,677.28
324,161.115,458.74,673.86
325,161.037,459.11,676.16
326,160.966,459.40,679.52
327,160.907,459.66,681.58
328,160.832,459.98,680.54
329,160.762,460.23,669.79
330,160.695,460.45,670.50
331,160.618,460.71,676.40
332,160.555,460.97,673.82
333,160.489,461.30,673.33
334,160.409,461.54,677.35
335,160.311,461.86,676.24
336,160.234,462.07,676.13
337,160.153,462.30,676.48
338,160.098,462.56,673.47
339,159.974,462.86,670.00
340,159.900,463.10,672.67
341,159.833,463.33,677.68
342,159.756,463.56,676.70
343,159.682,463.82,677.70
344,159.609,464.01,677.90
345,159.527,464.29,677.15
346,159.434,464.59,678.23
347,159.346,464.85,676.90
348,159.279,465.00,680.34
349,159.207,465.22,676.02
350,159.142,465.44,675.44
351,159.055,465.71,673.13
352,158.977,465.96,671.42
353,158.894,466.22,678.90
354,158.843,466.41,678.50
355,158.728,466.69,678.98
356,158.661,466.88,678.81
357,158.592,467.20,669.95
358,158.524,467.43,674.37
359,158.429,467.67,675.69
360,158.350,467.94,676.98
361,158.277,468.11,679.49
362,158.176,468.31,676.56
363,158.109,468.55,678.16
364,158.040,468.78,678.25
365,157.921,468.97,678.91
366,157.861,469.17,678.88
367,157.755,469.32,678.63
368,157.681,469.55,677.70
369,157.617,469.79,677.67
370,157.538,470.02,676.66
371,157.460,470.18,675.78
372,157.377,470.43,674.90
373,157.320,470.62,668.73
374,157.212,470.86,673.06
375,157.119,471.03,675.02
376,157.065,471.14,675.81
377,156.993,471.35,673.58
378,156.901,471.60,670.93
379,156.843,471.78,673.18
380,156.769,471.91,678.33
381,156.693,472.15,680.27
382,156.628,472.35,674.09
383,156.541,472.56,674.35
384,156.466,472.78,676.55
385,156.410,472.95,677.55
386,156.312,473.12,674.99
387,156.213,473.35,669.96
388,156.133,473.54,673.06
389,156.027,473.79,675.01
390,155.955,473.95,672.32
391,155.872,474.21,670.70
392,155.792,474.41,672.66
393,155.710,474.76,677.65
394,155.618,474.86,678.36
395,155.560,475.01,678.01
396,155.460,475.21,675.92
397,155.360,475.39,674.57
398,155.299,475.60,678.16
399,155.171,475.86,679.47
400,155.120,476.09,679.93
401,155.015,476.26,676.01
402,154.955,476.44,677.54
403,154.837,476.63,676.92
404,154.747,476.76,679.41
405,154.677,477.02,677.93
406,154.596,477.19,674.88
407,154.492,477.30,674.90
408,154.446,477.48,677.75
409,154.313,477.57,671.37
410,154.261,477.79,672.28
411,154.178,477.98,668.22
412,154.097,478.16,665.00
413,153.991,478.36,666.34
414,153.899,478.49,653.67
415,153.822,478.66,661.54
416,153.725,478.78,670.84
417,153.647,478.95,673.87
418,153.572,479.00,675.66
419,153.469,479.10,675.93
420,153.414,479.31,675.77
421,153.280,479.56,672.89
422,153.229,479.73,670.55
423,153.138,480.04,668.18
424,153.075,480.23,672.25
425,152.980,480.44,673.15
426,152.931,480.66,673.10
427,152.847,480.80,666.03
428,152.745,480.98,651.86
429,152.656,481.26,661.43
430,152.564,481.33,668.82
431,152.480,481.65,668.51
432,152.374,481.74,669.45
433,152.320,481.87,674.95
434,152.216,482.01,668.51
435,152.133,482.24,663.42
436,152.042,482.49,664.46
437,151.954,482.76,665.02
438,151.876,482.95,663.81
439,151.788,483.07,653.20
440,151.689,483.31,648.51
441,151.580,483.41,663.24
442,151.465,483.58,651.43
443,151.395,483.65,654.22
444,151.270,483.85,659.00
445,151.197,483.95,655.83
446,151.088,484.17,655.67
447,150.989,484.30,654.33
448,150.902,484.51,655.56
449,150.826,484.65,657.14
450,150.717,484.71,650.05
451,150.602,485.08,667.47
452,150.516,485.19,671.89
453,150.457,485.42,669.49
454,150.340,485.46,665.03
455,150.234,485.64,661.66
456,150.154,485.77,667.11
457,150.050,485.97,672.01
458,149.952,486.09,674.63
459,149.846,486.25,663.68
460,149.754,486.34,663.85
461,149.680,486.41,670.57
462,149.574,486.57,668.59
463,149.503,486.71,667.90
464,149.349,486.82,677.66
465,149.270,486.80,675.72
466,149.208,487.03,670.63
467,149.080,487.18,670.31
468,149.000,487.31,663.58
469,148.902,487.50,660.08
470,148.816,487.66,661.29
471,148.709,487.81,667.62
472,148.593,488.07,663.20
473,148.505,488.05,655.20
474,148.406,488.13,641.73
475,148.336,488.32,649.75
476,148.227,488.45,654.35
477,148.127,488.60,657.94
478,148.050,488.71,665.07
479,147.973,488.95,668.16
480,147.814,489.18,668.21
481,147.742,489.34,664.11
482,147.657,489.45,664.90
483,147.555,489.50,660.59
484,147.434,489.66,663.80
485,147.318,489.75,662.81
486,147.197,489.90,660.43
487,147.178,490.14,660.40
488,147.075,490.22,665.02
489,146.937,490.29,668.43
490,146.805,490.48,661.46
491,146.753,490.64,662.60
492,146.644,490.74,655.30
493,146.516,490.84,647.20
494,146.431,490.93,658.39
495,146.348,491.14,658.67
496,146.197,491.20,648.32
497,146.053,491.31,660.05
498,146.017,491.42,650.28
499,145.934,491.55,644.74
500,145.784,491.56,656.11
501,145.660,491.67,658.18
502,145.568,491.87,671.09
503,145.450,491.97,665.12
504,145.366,492.08,656.01
505,145.294,492.21,653.41
506,145.197,492.25,650.38
507,145.049,492.32,651.82
508,144.919,492.44,645.38
509,144.868,492.53,646.22
510,144.797,492.71,637.66
511,144.635,492.96,630.85
512,144.551,493.05,642.98
513,144.439,493.10,660.95
514,144.302,493.25,661.48
515,144.196,493.46,655.59
516,144.158,493.68,646.86
517,144.028,493.76,644.87
518,143.879,493.71,639.25
519,143.749,493.95,641.17
520,143.671,494.14,642.46
521,143.564,494.23,634.09
522,143.443,494.36,633.29
523,143.351,494.48,641.37
524,143.255,494.66,642.09
525,143.096,494.82,638.03
526,142.982,494.99,637.91
527,142.923,495.01,637.77
528,142.825,495.14,638.54
529,142.685,495.34,627.79
530,142.545,495.41,632.87
531,142.426,495.63,645.34
532,142.307,495.74,636.54
533,142.204,495.84,641.45
534,142.142,496.00,641.56
535,142.028,496.15,647.97
536,141.878,496.25,642.36
537,141.723,496.40,639.20
538,141.637,496.52,642.73
539,141.553,496.59,636.70
540,141.430,496.68,626.31
541,141.280,496.88,634.62
542,141.206,497.02,639.97
543,141.028,497.02,638.64
544,140.915,497.13,634.58
545,140.871,497.29,644.02
546,140.735,497.42,641.42
547,140.585,497.64,643.54
548,140.454,497.69,644.90
549,140.385,497.83,650.09
550,140.302,497.96,642.25
551,140.134,498.10,630.12
552,140.042,498.16,624.01
553,139.941,498.36,627.82
554,139.760,498.46,643.60
555,139.633,498.47,640.21
556,139.583,498.74,642.64
557,139.440,498.94,633.78
558,139.314,498.98,625.25
559,139.149,499.19,628.86
560,139.061,499.29,633.51
561,138.923,499.49,630.06
562,138.785,499.64,631.23
563,138.738,499.83,634.65
564,138.617,499.95,631.54
565,138.422,499.97,631.95
566,138.317,500.05,633.00
567,138.227,500.20,630.90
568,138.141,500.41,634.70
569,137.991,500.48,639.39
570,137.895,500.61,629.73
571,137.766,500.94,627.85
572,137.594,501.05,626.92
573,137.480,500.99,631.35
574,137.418,501.04,622.56
575,137.293,501.14,625.06
576,137.138,501.50,629.48
577,136.999,501.65,631.38
578,136.898,501.67,625.70
579,136.824,501.82,621.69
580,136.661,501.92,619.18
581,136.560,502.08,618.16
582,136.431,501.99,623.88
583,136.253,502.11,623.63
584,136.133,502.24,626.12
585,136.034,502.37,631.23
586,135.927,502.49,632.58
587,135.787,502.62,633.21
588,135.623,502.64,631.79
589,135.509,502.83,628.86
590,135.388,503.07,638.54
591,135.274,503.15,639.16
592,135.195,503.22,637.99
593,135.072,503.44,640.49
594,134.885,503.62,639.24
595,134.765,503.81,631.88
596,134.692,504.01,634.56
597,134.584,504.05,635.02
598,134.449,504.25,627.03
599,134.289,504.33,630.54
600,134.199,504.44,626.77
601,134.029,504.53,629.40
602,133.890,504.63,627.38
603,133.811,504.87,629.62
604,133.715,504.94,632.72
605,133.558,505.10,633.21
606,133.420,505.27,627.75
607,133.344,505.38,637.79
608,133.208,505.61,638.19
609,133.058,505.83,632.28
610,132.968,505.91,633.07
611,132.823,506.01,641.19
612,132.697,506.20,626.05
613,132.589,506.34,619.48
614,132.454,506.46,628.39
615,132.318,506.58,628.38
616,132.207,506.67,633.63
617,132.075,506.83,634.62
618,131.955,506.96,623.96
619,131.828,507.10,625.76
620,131.718,507.31,621.34
621,131.586,507.39,613.36
622,131.476,507.62,628.59
623,131.353,507.73,619.31
624,131.227,507.66,615.19
625,131.114,507.99,621.79
626,130.969,508.02,627.00
627,130.851,508.26,624.48
628,130.736,508.50,624.30
629,130.607,508.45,623.35
630,130.493,508.73,620.39
631,130.393,508.92,627.91
632,130.238,509.04,622.12
633,130.099,509.20,622.77
634,129.998,509.40,630.45
635,129.874,509.48,635.36
636,129.762,509.61,642.35
637,129.638,509.82,634.25
638,129.512,509.92,632.22
639,129.408,510.15,615.79
640,129.291,510.16,641.08
641,129.182,510.29,645.82
642,129.055,510.53,644.48
643,128.940,510.66,647.00
644,128.841,510.68,648.69
645,128.726,510.82,649.55
646,128.608,511.08,634.83
647,128.478,511.26,646.57
648,128.381,511.36,642.36
649,128.272,511.46,649.76
650,128.162,511.54,656.58
651,128.071,511.70,660.78
652,127.947,511.86,648.26
653,127.852,511.91,645.99
654,127.785,512.09,654.78
655,127.669,512.08,673.93
656,127.587,512.28,675.49
657,127.497,512.28,680.37
658,127.419,512.49,692.26
659,127.315,512.69,707.61
660,127.245,512.82,714.73
661,127.191,512.77,710.57
662,127.126,512.94,706.54
663,127.072,513.28,717.88
664,126.996,513.33,711.34
665,126.926,513.50,722.65
666,126.891,513.55,730.68
667,126.820,513.84,711.65
668,126.774,513.94,716.00
669,126.708,514.02,724.95
670,126.657,514.20,728.16
671,126.615,514.47,731.63
672,126.546,514.79,738.18
673,126.488,514.87,743.02
674,126.473,514.94,743.91
675,126.429,514.99,744.79
676,126.386,515.05,745.92
677,126.369,515.19,742.43
678,126.313,515.38,742.59
679,126.287,515.51,747.89
680,126.252,515.58,750.77
681,126.245,515.88,750.44
682,126.192,515.94,747.04
683,126.177,516.17,749.34
684,126.156,516.23,753.94
685,126.115,516.36,754.98
686,126.100,516.46,751.39
687,126.069,516.62,756.81
688,126.050,516.69,757.06
689,126.015,516.91,760.74
690,126.008,516.88,762.96
691,125.970,517.12,762.19
692,125.960,517.17,765.05
693,125.948,517.33,764.52
694,125.928,517.49,763.26
695,125.923,517.78,765.20
696,125.899,517.88,767.61
697,125.870,518.05,765.02
698,125.855,518.13,760.38
699,125.847,518.16,764.43
700,125.837,518.24,767.48
701,125.834,518.33,765.43
702,125.805,518.34,768.25
703,125.796,518.68,767.14
704,125.781,518.88,772.27
705,125.801,518.87,769.62
706,125.747,518.95,770.91
707,125.742,519.23,774.84
708,125.753,519.41,773.26
709,125.750,519.29,771.12
710,125.729,519.40,770.28
711,125.683,519.52,774.29
712,125.694,519.83,775.54
713,125.685,519.97,773.54
714,125.687,520.09,776.65
715,125.676,520.27,777.49
716,125.686,520.51,778.74
717,125.660,520.66,778.60
718,125.658,520.82,778.86
719,125.641,520.95,777.71
720,125.625,521.11,779.77
721,125.640,521.18,781.55
722,125.627,521.26,781.70
723,125.623,521.39,782.04
724,125.606,521.43,781.71
725,125.617,521.78,778.30
726,125.624,521.93,780.31
727,125.620,522.01,781.98
728,125.601,522.23,784.36
729,125.574,522.31,782.44
730,125.586,522.32,780.18
731,125.567,522.49,780.46
732,125.571,522.71,782.87
733,125.573,522.85,780.66
734,125.575,522.89,780.56
735,125.574,523.14,781.36
736,125.594,523.15,779.91
737,125.576,523.38,783.50
738,125.560,523.44,782.73
739,125.575,523.66,782.56
740,125.557,523.71,783.67
741,125.558,523.74,783.84
742,125.576,523.89,782.12
743,125.552,523.99,782.82
744,125.558,524.05,783.79
745,125.543,524.45,784.00
746,125.540,524.58,784.98
747,125.538,524.77,785.49
748,125.538,524.75,783.43
749,125.541,524.97,782.34
