Time,Temperature (K),Mass (mg),Heat Flow Rate (W/g)
33.604465,356.00744499999996,4.99999615,2.6751642
34.201462,357.002432,4.99999585,2.6759131
34.803692,358.006155,4.9999955499999995,2.676687
35.400684,359.00114299999996,4.99999525,2.6774607
36.002914,360.00485799999996,4.99999465,2.6782343
36.605148,361.008582,4.99999435,2.6790082
37.202141,362.00356899999997,4.99999405,2.6797819
37.804371,363.00728499999997,4.99999345,2.6805556
38.401363,364.00227199999995,4.99999285,2.681329
39.003597,365.005995,4.99999225,2.6820776
39.60059,366.00098299999996,4.99999165,2.6828511
40.20282,367.00469799999996,4.99999105,2.6836245
40.80505,368.00841399999996,4.999990449999999,2.6843979
41.402042,369.003409,4.99998985,2.6851714
42.004276,370.007124,4.99998895,2.6859446
42.601269,371.002112,4.9999881,2.6867177
43.203499,372.005835,4.9999872,2.6874659
43.800491,373.00082199999997,4.9999863,2.6882389
44.402725,374.00453999999996,4.9999854,2.6890118
45.004955,375.00825,4.9999842,2.6897848
45.601948,376.00325,4.999983,2.6905575
46.204178,377.00696,4.9999818000000005,2.6913302
46.801174,378.00194999999997,4.9999806499999995,2.6921029
47.403404,379.00567,4.99997915,2.6928754
48.000397,380.00066,4.99997765,2.6936228
48.602627,381.00437999999997,4.99997615,2.6943951
49.204857,382.00809,4.99997435,2.6951671
49.801853,383.00309,4.9999725999999995,2.6959391
50.404083,384.0068,4.9999708,2.6967111
51.001076,385.00178999999997,4.9999687,2.6974826
51.603306,386.00550999999996,4.9999666,2.6982543
52.200302,387.0005,4.99996455,2.6990006
52.802532,388.00422,4.99996185,2.6997719
53.404762,389.00793,4.99995945,2.7005429
54.001755,390.00293,4.9999565,2.7013137
54.603985,391.00663999999995,4.9999538,2.7020843
55.200981,392.00163,4.99995055,2.7028549
55.803211,393.00534999999996,4.99994725,2.703625
56.400204,394.00034,4.99994395,2.70437
57.002434,395.00406,4.9999401,2.7051396
57.604664,396.00777,4.9999362000000005,2.7059093
58.20166,397.00277,4.99993205,2.7066784
58.80389,398.00648,4.9999275999999995,2.7074473
59.400883,399.00147,4.9999231,2.7082157
60.003113,400.00518999999997,4.99991805,2.7089841
60.600109,401.00018,4.999913,2.7097521
61.202339,402.0039,4.9999073,2.7104945
61.804569,403.00762,4.99990165,2.7112617
62.401562,404.0026,4.9998954,2.7120285
63.003796,405.00631999999996,4.99988885,2.712795
63.600788,406.00131999999996,4.9998819999999995,2.7135608
64.203018,407.00503,4.99987455,2.7143264
64.800011,408.00001999999995,4.9998668,2.7150915
65.402245,409.00374,4.9998587500000005,2.715831
66.004471,410.00744999999995,4.9998501,2.7165949
66.601471,411.00244999999995,4.99984085,2.7173584
67.203697,412.00615999999997,4.9998313,2.7181213
67.80069,413.00114999999994,4.9998211999999995,2.7188838
68.402924,414.00487,4.99981045,2.7196453
69.00515,415.00857999999994,4.99979915,2.7204063
69.60215,416.00357999999994,4.9997872,2.7211416
70.204376,417.0073,4.9997747,2.7219012
70.801369,418.00228,4.9997616,2.7226601
71.403603,419.006,4.99974755,2.723418
72.000595,420.001,4.99973295,2.7241755
72.602829,421.00471,4.99971745,2.7249317
73.205055,422.00843,4.9997011,2.725687
73.802048,423.00342,4.9996841,2.7264416
74.404282,424.00712999999996,4.9996659,2.72717
75.001274,425.00212999999997,4.99964715,2.7279227
75.603508,426.00582999999995,4.99962685,2.7286739
76.2005,427.00082999999995,4.999606,2.7390118
76.802727,428.00455,4.99958395,2.751085
77.404961,429.00825999999995,4.9995607,2.7631574
78.001953,430.00325999999995,4.9995363,2.7752285
78.604187,431.00698,4.9995106499999995,2.7869074
79.20118,432.00195999999994,4.9994838,2.7989755
79.803406,433.00568,4.9994555,2.8110418
80.400406,434.00068,4.999426,2.8231068
81.002632,435.00438999999994,4.9993947,2.8351696
81.604866,436.00811,4.99936195,2.8472304
82.201859,437.0031,4.99932795,2.8592899
82.804085,438.00681,4.9992919,2.8709567
83.401085,439.00181,4.999254349999999,2.8830121
84.003311,440.00550999999996,4.9992147,2.8950648
84.600304,441.00050999999996,4.9991733,2.9071157
85.202538,442.00423,4.99912975,2.9191639
85.804771,443.00793999999996,4.99908415,2.9312098
86.401764,444.00293999999997,4.9990365,2.9432533
87.00399,445.00666,4.9989864,2.9552939
87.600983,446.00163999999995,4.9989345499999995,2.9669416
88.203217,447.00536,4.9988794500000004,2.9789765
88.800209,448.00036,4.998822499999999,2.9910085
89.402443,449.00406,4.9987623,3.003037
90.004669,450.00779,4.99869945,3.0150623
90.601669,451.00278,4.99863415,3.0270846
91.203896,452.00649,4.9985653,3.0391028
91.800888,453.00149,4.9984938,3.0507278
92.403122,454.00518999999997,4.9984184,3.0627382
93.000114,455.00019,4.998340600000001,3.0747454
93.602348,456.00391,4.99825835,3.0867479
94.204575,457.00762,4.9981722,3.0987456
94.801567,458.00262,4.9980834000000005,3.1107399
95.403801,459.00633999999997,4.99798955,3.1227286
96.000793,460.00131999999996,4.9978927,3.1347127
96.603027,461.00504,4.99779045,3.1463017
97.20002,462.00004,4.99768465,3.1481359
97.802246,463.00374,4.9975735,3.1480107
98.40448,464.00747,4.99745755,3.1478794
99.001472,465.00246,4.99733745,3.1477442
99.603706,466.00617,4.9972111,3.1476018
100.2007,467.00117,4.99708055,3.1474552
100.80293,468.00487,4.99694345,3.1473012
101.40516,469.0086,4.9968001,3.1471412
102.00215,470.00359,4.9966523,3.146976
102.60439,471.0073,4.99649705,3.1468029
103.20138,472.00229,4.9963367,3.1466246
103.8036,473.00602,4.996168,3.1464374
104.4006,474.001,4.99599395,3.1462445
105.00283,475.00471999999996,4.9958113,3.1460426
105.60506,476.00843999999995,4.99562115,3.1458328
106.20206,477.00342,4.99542475,3.1456168
106.80429,478.00714999999997,4.9952188,3.1453905
107.40128,479.00213999999994,4.9950063,3.1451576
108.00351,480.00585,4.9947834,3.1449137
108.6005,481.00085,4.99455335,3.1446626
109.20274,482.00455,4.9943124999999995,3.1444001
109.80497,483.00828,4.9940616,3.1441276
110.40196,484.00327,4.993803499999999,3.1438475
111.00419,485.00698,4.9935326,3.1435544
111.60118,486.00197,4.99325395,3.1432533
112.20341,487.0057,4.9929616,3.1429381
112.80041,488.00068,4.9926609,3.1426146
113.40264,489.0044,4.9923455500000005,3.1422765
114.00487,490.00811999999996,4.9920183499999995,3.1419261
114.60187,491.0031,4.991681600000001,3.141566
115.20409,492.00683,4.991329,3.1411901
115.80109,493.00181,4.9909663,3.1408043
116.40332,494.00552999999996,4.99058665,3.1404014
117.00031,495.00051999999994,4.99019625,3.1399879
117.60255,496.00423,4.98978795,3.1395564
118.20477,497.00795999999997,4.98936445,3.1391098
118.80177,498.00294999999994,4.98892905,3.1386521
119.404,499.00666,4.9884736499999995,3.1381745
120.00099,500.00165,4.98800605,3.1376851
120.60323,501.00537999999995,4.9875173,3.1371744
121.20022,502.00036,4.9870151499999995,3.1366601
121.80244,503.00408,4.9864906,3.1361229
122.40468,504.0078,4.985947299999999,3.1355684
123.00167,505.00278,4.9853894,3.1349998
123.6039,506.00650999999993,4.9848068,3.1344078
124.2009,507.00149,4.98420925,3.1338007
124.80312,508.00521,4.9835852,3.1331694
125.40012,509.00019999999995,4.982945,3.1325223
126.00235,510.00391,4.98227685,3.1318495
126.60458,511.00764,4.98158575,3.1311543
127.20158,512.00263,4.98087735,3.130444
127.8038,513.0063399999999,4.98013825,3.1297045
128.4008,514.0013299999999,4.97938095,3.1289492
129.00304,515.00506,4.9785912,3.1281629
129.60002,516.00004,4.97778205,3.1273606
130.20226,517.0037599999999,4.97693865,3.1265256
130.80449,518.00748,4.97606755,3.1256661
131.40147,519.0024599999999,4.97517525,3.1247883
132.00371,520.00619,4.97424575,3.1238768
132.60071,521.00117,4.97329445,3.1229465
133.20294,522.0048899999999,4.9723035,3.1219814
133.80516,523.00861,4.971280699999999,3.1209877
134.40216,524.00359,4.97023435,3.1199753
135.00439,525.0073199999999,4.96914535,3.1189244
135.60138,526.00231,4.96803165,3.1178544
136.20361,527.00602,4.96687265,3.1167448
136.80061,528.00101,4.9656877,3.1156154
137.40283,529.00474,4.96445535,3.1144445
138.00507,530.00846,4.9631846,3.1132429
138.60207,531.00342,4.9618864,3.11202
139.2043,532.0071499999999,4.96053665,3.1107547
139.80128,533.00214,4.9591577,3.1094677
140.40352,534.00587,4.9577251,3.1081371
141.00052,535.00086,4.9562618,3.1067843
141.60274,536.00458,4.9547419,3.1053867
142.20497,537.00828,4.9531764,3.1039543
142.80197,538.0032699999999,4.95157895,3.1025012
143.40419,539.00699,4.9499199,3.1009996
144.00119,540.00199,4.9482273999999995,3.0994775
144.60342,541.0057099999999,4.94647025,3.0979064
145.20041,542.00068,4.94467825,3.0963144
145.80264,543.0044,4.9428186,3.0946724
146.40488,544.00812,4.94090555,3.0929956
147.00188,545.00312,4.938955,3.0912974
147.6041,546.00684,4.93693205,3.0895491
148.2011,547.0018399999999,4.9348703,3.0877802
148.80333,548.0055299999999,4.9327323,3.0859611
149.40031,549.00052,4.93055405,3.0841219
150.00255,550.00425,4.9282959,3.0822322
150.60478,551.00797,4.9259752,3.0803068
151.20177,552.00297,4.9236116,3.0783644
151.804,553.00666,4.921162150000001,3.07637
152.401,554.0016499999999,4.91866825,3.0743604
153.00323,555.0053800000001,4.9160844,3.072299
153.60022,556.00037,4.91345435,3.0702238
154.20245,557.0041,4.91072985,3.0680981
154.80469,558.00782,4.9079326000000005,3.0659413
155.40167,559.00278,4.90508555,3.0637729
156.00391,560.0065099999999,4.9021378,3.0615568
156.60091,561.0015,4.8991382,3.0593314
157.20314,562.00522,4.8960327999999995,3.0570598
157.80013,563.0002199999999,4.892873750000001,3.0547819
158.40236,564.0039400000001,4.88960355,3.05246
159.00459,565.00764,4.8862475,3.0501144
159.60158,566.00263,4.88283365,3.0477691
160.20381,567.00635,4.8793006,3.0453825
160.80081,568.00135,4.87570735,3.043
161.40303,569.0050699999999,4.8719886,3.0405803
162.00003,570.0000399999999,4.8682064,3.0381689
162.60226,571.00376,4.86429245,3.0357244
163.2045,572.00748,4.8602766,3.0332716
163.80148,573.00248,4.85619275,3.0308335
164.40372,574.0062,4.851966200000001,3.0283713
165.00072,575.0011999999999,4.8476678,3.0259297
165.60294,576.0048899999999,4.8432192,3.0234697
166.20517,577.00861,4.838654399999999,3.0210152
166.80217,578.00361,4.8340115,3.0185924
167.40439,579.0073299999999,4.829205549999999,3.016161
168.00139,580.00233,4.8243171,3.0137684
168.60362,581.00602,4.81925635,3.0113754
169.20061,582.00101,4.8141074,3.0090299
169.80284,583.00474,4.8087761,3.0066934
170.40508,584.00846,4.8033032,3.0043931
171.00208,585.0034499999999,4.79773345,3.0021527
171.60429,586.0071800000001,4.7919646,2.9999392
172.20129,587.00214,4.7860923500000006,2.9977963
172.80353,588.00587,4.7800091,2.9956932
173.40051,589.00086,4.773815,2.9936719
174.00275,590.00458,4.76739645,2.9917052
174.60498,591.0083099999999,4.7608014999999995,2.9898171
175.20197,592.0033,4.7540840499999995,2.9880326
175.8042,593.00699,4.74712015,2.9863267
176.4012,594.00199,4.7400245000000005,2.9847395
177.00343,595.0057099999999,4.7326663,2.9832511
177.60042,596.00071,4.72516715,2.9818985
178.20265,597.00443,4.7173884500000005,2.9806676
178.80489,598.00812,4.709387400000001,2.9795837
179.40187,599.00312,4.70122935,2.9786651
180.0041,600.00684,4.6927634000000005,2.9779103
180.6011,601.0018399999999,4.68412905,2.9773448
181.20334,602.0055600000001,4.6751666,2.9769752
181.80032,603.00056,4.66602355,2.9768229
182.40256,604.00425,4.6565309,2.9769039
183.00479,605.00797,4.64675875,2.9772382
183.60178,606.00297,4.6367869,2.9778411
184.20401,607.0066899999999,4.62643115,2.9787438
184.80101,608.00168,4.6158620500000005,2.9799554
185.40323,609.0053800000001,4.604885,2.9815211
186.00023,610.00037,4.5936808000000005,2.9834425
186.60246,611.0041,4.5820435999999996,2.9857814
187.2047,612.00782,4.57006005,2.9885564
187.80168,613.00281,4.5578289,2.9917707
188.40392,614.00654,4.54512535,2.9955196
189.00092,615.0015,4.53216105,2.9997759
189.60313,616.00522,4.518697850000001,3.0046594
190.20013,617.0002199999999,4.5049602,3.0101299
190.80237,618.0039400000001,4.4906974,3.0163345
191.40459,619.00767,4.47601795,3.0232811
192.00159,620.00266,4.46104585,3.0309587
192.60382,621.00635,4.4455086999999995,3.0395615
193.20081,622.00135,4.4296679,3.0490074
193.80304,623.0050699999999,4.4132361,3.0595305
194.40004,624.00007,4.39649105,3.0710237
195.00227,625.00379,4.3791306,3.0837662
195.60449,626.00748,4.36129125,3.0977488
196.20149,627.00248,4.3431273,3.1129203
196.80373,628.0062,4.3243127999999995,3.1296422
197.40071,629.0011999999999,4.3051687,3.1477194
198.00294,630.00492,4.28535285,3.1675739
198.60518,631.00864,4.26502525,3.1891599
199.20216,632.00361,4.2443645000000005,3.2123802
199.8044,633.0073299999999,4.2230037,3.2377546
200.4014,634.00233,4.201309999999999,3.264962
201.00363,635.00605,4.17889955,3.2945979
201.60062,636.00104,4.15615945,3.3262725
202.20285,637.00474,4.1326880500000005,3.3606627
202.80508,638.00846,4.1086808,3.3976309
203.40207,639.0034499999999,4.08435165,3.4369423
204.0043,640.0071800000001,4.059273,3.4794133
204.6013,641.00217,4.03388025,3.5244205
205.20354,642.0059,4.007727200000001,3.5728724
205.80052,643.00086,3.9812693,3.6240313
206.40276,644.00458,3.9540419,3.6789005
207.00499,645.0083099999999,3.92627505,3.7371335
207.60197,646.0033,3.8982174,3.7982655
208.20421,647.00703,3.8693771,3.8634295
208.80121,648.00199,3.84025575,3.9315495
209.40343,649.0057099999999,3.81034225,4.0038462
210.00043,650.00071,3.78015665,4.079082
210.60266,651.00443,3.7491685,4.1585584
211.2049,652.00815,3.71763945,4.2416034
211.80188,653.00315,3.685849,4.3273773
212.40411,654.00684,3.6532375,4.4173012
213.00111,655.0018399999999,3.62036975,4.5096774
213.60333,656.0055600000001,3.5866663,4.605978
214.20033,657.00056,3.5527101,4.7043242
214.80257,658.00428,3.5179016,4.8062205
215.40479,659.008,3.4825318999999997,4.9105306
216.00179,660.00297,3.44691215,5.0160213
216.60402,661.0066899999999,3.41041325,5.1241751
217.201,662.00168,3.3736652,5.2327399
217.80324,663.00541,3.3360198000000003,5.3431673
218.40024,664.0003999999999,3.2981285500000004,5.4530878
219.00247,665.0041,3.25932385,5.5638952
219.60469,666.00782,3.2199347,5.6740909
220.20169,667.00281,3.18031075,5.7821236
220.80392,668.00654,3.1397589999999997,5.8892875
221.40091,669.00153,3.09898885,5.9930534
222.00314,670.0052599999999,3.0572909,6.0945859
222.60014,671.0002199999999,3.0154007500000004,6.1914039
223.20236,672.0039400000001,2.9725957,6.2845097
223.8046,673.00767,2.92925775,6.3722696
224.4016,674.00266,2.8857916500000003,6.4532866
225.00383,675.00638,2.8414595,6.528204
225.60081,676.00135,2.797063,6.5950193
226.20305,677.0050699999999,2.75185795,6.6541328
226.80005,678.00007,2.70667075,6.7038484
227.40227,679.00379,2.6607555,6.7443004
228.0045,680.0075099999999,2.6145592499999997,6.7743835
228.6015,681.00251,2.56854505,6.7933078
229.20374,682.0062,2.5219690999999997,6.800858
229.80072,683.0011999999999,2.4757102,6.7963333
230.40295,684.00492,2.4290322,6.7792187
231.00519,685.00864,2.38242105,6.7490382
231.60217,686.0036399999999,2.3363662,6.7059398
232.20441,687.0073600000001,2.2901492,6.6488481
232.80141,688.00233,2.24466635,6.5786438
233.40363,689.00605,2.19921665,6.4939508
234.00063,690.00104,2.15468885,6.3963242
234.60286,691.00477,2.11040275,6.2841053
235.20509,692.0084899999999,2.0668541,6.1583905
235.80208,693.0034499999999,2.0245129,6.0207305
236.40431,694.0071800000001,1.9827367500000002,5.8692331
237.00131,695.00217,1.94234925,5.7070475
237.60353,696.0059,1.9027367000000002,5.5320911
238.20053,697.00089,1.8646778,5.3481526
238.80276,698.00461,1.82758925,5.1530027
239.40498,699.0083099999999,1.7918896500000001,4.9491892
240.00198,700.0033,1.7579411,4.73981
240.60422,701.00703,1.72521025,4.5223417
241.2012,702.0020199999999,1.6943182,4.3019538
241.80344,703.0057400000001,1.6647656499999999,4.0760713
242.40044,704.00071,1.6370973,3.8501258
243.00267,705.00443,1.6108486,3.6215219
243.60489,706.00815,1.58627795,3.3938029
244.20189,707.00315,1.5635742,3.1703038
244.80412,708.0068699999999,1.5423244,2.9486043
245.40111,709.00187,1.52287245,2.733835
246.00334,710.0055600000001,1.50483965,2.5235932
246.60034,711.00056,1.48849325,2.3226321
247.20256,712.00428,1.4734894,2.1285715
247.80479,713.008,1.45991235,1.944062
248.40179,714.0029999999999,1.4477894999999998,1.7714475
249.00403,715.0066899999999,1.43682925,1.6082143
249.60101,716.00168,1.4271393499999998,1.4577398
250.20325,717.00541,1.4184627,1.3175555
250.80025,718.0003999999999,1.4108615999999998,1.1902989
251.40247,719.00413,1.404113,1.0735716
252.0047,720.00785,1.39819785,0.9684158
252.6017,721.00281,1.3930696,0.8751511
253.20393,722.00654,1.38855385,0.79173583
253.80092,723.00153,1.3846493000000002,0.71895361
254.40315,724.0052599999999,1.38121145,0.65493238
255.00014,725.00025,1.3782301499999998,0.59997326
255.60237,726.00397,1.37558835,0.55241394
256.20462,727.00767,1.37325465,0.51188189
256.80161,728.00266,1.3711931,0.47794288
257.40384,729.00638,1.3693212,0.44912097
258.00082,730.0013799999999,1.3676314,0.42528248
258.60306,731.0051,1.3660595,0.40520978
259.20004,732.00007,1.3646032,0.38871849
259.80228,733.00379,1.3632126,0.37483835
260.40451,734.0075099999999,1.36188015,0.36330682
261.0015,735.00251,1.3606003,0.35366485
261.60373,736.00623,1.3593374,0.34544209
262.20071,737.00123,1.3581029999999998,0.33838326
262.80295,738.00492,1.35686725,0.33218047
263.40518,739.00864,1.35563495,0.32659787
264.0022,740.0036399999999,1.35441215,0.32160145
264.6044,741.0073600000001,1.3531738500000001,0.31686962
265.20142,742.00236,1.3519393,0.31248403
265.80365,743.00605,1.3506849,0.30819094
266.40063,744.00104,1.3494313,0.3041096
267.00287,745.00477,1.3481557499999999,0.300028
267.6051,746.0084899999999,1.34686855,0.29604962
268.20209,747.00349,1.34558065,0.29210469
268.80432,748.00721,1.3442694999999998,0.28819212
269.40131,749.00217,1.3429574499999999,0.28429264
270.00354,750.0059,1.3416216,0.28041363
270.60052,751.00089,1.3402851,0.27654067
271.20276,752.00461,1.33892445,0.27268508
271.80499,753.00834,1.3375514499999999,0.268796
272.40198,754.00333,1.33617835,0.26500183
273.00421,755.00703,1.33478075,0.26113734
273.60123,756.0020199999999,1.3333833,0.25736943
274.20346,757.0057400000001,1.3319614499999999,0.25353396
274.80045,758.00074,1.33054005,0.24979734
275.40268,759.00446,1.329094,0.24599628
276.00491,760.00815,1.3276361,0.24225904
276.6019,761.00315,1.3261789,0.23853554
277.20413,762.0068699999999,1.3246973,0.23484129
277.80112,763.00187,1.3232169999999999,0.23116344
278.40335,764.00559,1.3217119999999998,0.22751819
279.00034,765.00059,1.3202086,0.22389202
279.60257,766.00428,1.3186806500000001,0.22030187
280.2048,767.008,1.31714135,0.21669768
280.80179,768.0029999999999,1.3156043,0.21320465
281.40402,769.00672,1.31404265,0.20966506
282.00104,770.00172,1.3124837,0.2062391
282.60324,771.00541,1.3109001500000002,0.20277046
283.20026,772.0003999999999,1.30931975,0.1994179
283.80249,773.00413,1.3077149,0.19602665
284.40469,774.00785,1.30609945,0.1927204
285.00171,775.00284,1.3044879,0.18944654
285.60394,776.00657,1.3028520499999998,0.18622734
286.20093,777.00153,1.30122035,0.18304312
286.80316,778.0052599999999,1.29956455,0.17991754
287.40015,779.00025,1.29791335,0.17682949
288.00238,780.00397,1.2962383,0.1738041
288.60461,781.0077,1.2945537500000002,0.17078821
289.2016,782.00266,1.2928748,0.16790012
289.80383,783.00638,1.2911719,0.16499443
290.40082,784.0013799999999,1.2894752500000002,0.1622187
291.00305,785.0051,1.2877549,0.15942977
291.60007,786.0001,1.2860413000000002,0.1567729
292.20227,787.00382,1.2843044000000001,0.15410724
292.8045,788.00754,1.2825593499999999,0.15154883
293.40152,789.00254,1.2808217,0.14903972
294.00375,790.00626,1.27906115,0.14661413
294.60074,791.0011999999999,1.2773086,0.14423995
295.20297,792.00492,1.2755334500000002,0.14195351
295.80521,793.00864,1.2737514,0.13969672
296.40219,794.00364,1.2719781499999998,0.1375794
297.00443,795.00736,1.2701829,0.13547115
297.60141,796.00236,1.2683971,0.13350396
298.20364,797.00608,1.2665895999999999,0.13155027
298.80063,798.00107,1.2647921000000002,0.12973906
299.40286,799.0047999999999,1.2629734000000001,0.12794575
300.0051,800.00852,1.2611495000000001,0.12627731
300.60208,801.00352,1.2593364500000002,0.12466895
301.20432,802.00718,1.25750275,0.12316916
301.80133,803.00217,1.25568075,0.12173074
302.40353,804.0059,1.2538385499999998,0.12040491
303.00055,805.00089,1.25200855,0.11914158
303.60278,806.00461,1.25015885,0.11799476
304.20502,807.00834,1.2483059,0.1168979
304.802,808.00333,1.24646605,0.11594836
305.40424,809.00706,1.2446073500000001,0.1150377
306.00122,810.0020499999999,1.2427624499999999,0.11427478
306.60345,811.00577,1.2408992,0.11355465
307.20044,812.00077,1.2390503499999999,0.11298247
307.80267,813.00443,1.23718375,0.11245685
308.40491,814.00815,1.23531585,0.11207162
309.00189,815.00315,1.23346345,0.11175172
309.60413,816.0068699999999,1.2315941499999998,0.11156619
310.20111,817.0018699999999,1.22974085,0.11144593
310.80334,818.00559,1.22787125,0.11146315
311.40036,819.00059,1.2260183,0.11154535
312.00259,820.00431,1.22414975,0.11176798
312.6048,821.00803,1.2222822999999998,0.11205374
313.20181,822.00303,1.2204323000000001,0.11248533
313.80405,823.00675,1.2185677,0.11297978
314.40103,824.00168,1.21672125,0.11361892
315.00327,825.00541,1.2148609000000001,0.11432359
315.60025,826.0004,1.21301935,0.11517158
316.20248,827.00413,1.2111646,0.11608756
316.80472,828.00785,1.20931305,0.11715033
317.4017,829.00284,1.20748125,0.11827303
318.00394,830.00657,1.2056372499999999,0.11954765
318.60092,831.0015599999999,1.2038134,0.12088042
319.20316,832.00529,1.20197825,0.12236667
319.80017,833.00028,1.2001638000000001,0.12390907
320.40237,834.004,1.1983386999999999,0.12560625
321.00461,835.0077299999999,1.1965191499999999,0.12736891
321.60162,836.00266,1.19472125,0.12926418
322.20386,837.0063799999999,1.19291365,0.13123581
322.80084,838.0013799999999,1.19112825,0.13333714
323.40308,839.0051,1.189334,0.13551569
324.00006,840.0001,1.1875624,0.13782077
324.60229,841.00382,1.1857827,0.14020362
325.20453,842.00754,1.18401075,0.14272751
325.80151,843.00254,1.18226215,0.14529361
326.40375,844.00626,1.18050655,0.14801674
327.00073,845.00126,1.1787747499999999,0.15077853
327.60297,846.0049799999999,1.1770367499999999,0.15369692
328.2052,847.00864,1.175308,0.15667239
328.80219,848.00364,1.1736037000000001,0.15975933
329.40442,849.00736,1.1718942,0.16292316
330.00143,850.00236,1.17020955,0.16619413
330.60364,851.00608,1.16852055,0.16954102
331.20065,852.00107,1.16685665,0.17299047
331.80289,853.0047999999999,1.16518905,0.17651455
332.40509,854.00852,1.16353265,0.18016416
333.00211,855.00352,1.1619019499999999,0.18383138
333.60434,856.00724,1.16026855,0.18764834
334.20132,857.0022299999999,1.1586611,0.19147809
334.80356,858.0059,1.1570517,0.1954553
335.40054,859.00089,1.1554685,0.19944033
336.00278,860.00461,1.1538841,0.20357026
336.60501,861.00834,1.15231245,0.20773537
337.202,862.00333,1.15076735,0.21197751
337.80423,863.00706,1.1492219,0.21628328
338.40121,864.0020499999999,1.14770315,0.22066054
339.00345,865.00577,1.14618475,0.22509836
339.60046,866.00077,1.1446931,0.22960199
340.20267,867.00449,1.1432024,0.2341629
340.8049,868.0082199999999,1.1417258499999998,0.2388203
341.40192,869.00315,1.14027635,0.24345855
342.00415,870.0068699999999,1.13882855,0.24822484
342.60114,871.0018699999999,1.1374077,0.25296628
343.20337,872.00559,1.1359893,0.25783169
343.80035,873.00059,1.1345977999999999,0.26266658
344.40259,874.00431,1.1332091,0.2676211
345.00482,875.00803,1.1318356,0.27257869
345.60181,876.00303,1.1304891000000001,0.27757278
346.20404,877.00675,1.1291460500000001,0.28260416
346.80103,878.00175,1.1278299999999999,0.28766611
347.40326,879.00547,1.1265178,0.29276082
348.00024,880.0004,1.1252325,0.2978802
348.60248,881.00413,1.1239515,0.30302766
349.20471,882.00785,1.1226862,0.30823511
349.80173,883.00284,1.12144755,0.31338352
350.40393,884.00657,1.1202136999999999,0.31862763
351.00095,885.0015599999999,1.11900635,0.32380715
351.60318,886.00529,1.1178040999999999,0.32907724
352.20016,887.00028,1.11662815,0.33427736
352.8024,888.004,1.11545755,0.33956283
353.40463,889.0077299999999,1.11430295,0.34481478
354.00162,890.00272,1.11317405,0.35006329
354.60385,891.0063799999999,1.1120511,0.35531494
355.20084,892.0013799999999,1.11095355,0.36055791
355.80307,893.0051,1.1098621,0.36579889
356.40005,894.0001,1.1087957,0.37102616
357.00229,895.00382,1.10773565,0.37624633
357.60452,896.00754,1.1066912,0.38148934
358.20151,897.00254,1.1056713,0.38663751
