Time,Temperature,Mass,,,,
13,446.497,5.1821,,,,
13.1,447.497,5.1814,,,,
13.2,448.497,5.18,,,,
13.3,449.497,5.1797,,,,
13.4,450.497,5.1789,,,,
13.5,451.497,5.1777,,,,
13.6,452.497,5.1771,,,,
13.7,453.497,5.1775,,,,
13.8,454.497,5.1785,,,,
13.9,455.497,5.1773,,,,
14,456.497,5.1773,,,,
14.1,457.497,5.1775,,,,
14.2,458.497,5.1779,,,,
14.3,459.497,5.1782,,,,
14.4,460.497,5.1782,,,,
14.5,461.497,5.1781,,,,
14.6,462.497,5.177,,,,
14.7,463.497,5.1763,,,,
14.8,464.497,5.1763,,,,
14.9,465.497,5.1763,,,,
15,466.497,5.1762,,,,
15.1,467.497,5.176,,,,
15.2,468.497,5.1749,,,,
15.3,469.497,5.174,,,,
15.4,470.497,5.1734,,,,
15.5,471.497,5.1736,,,,
15.6,472.497,5.1743,,,,
15.7,473.497,5.1753,,,,
15.8,474.497,5.1757,,,,
15.9,475.497,5.176,,,,
16,476.497,5.1764,,,,
16.1,477.497,5.1766,,,,
16.2,478.497,5.1764,,,,
16.3,479.497,5.1762,,,,
16.4,480.497,5.1757,,,,
16.5,481.497,5.1754,,,,
16.6,482.497,5.1763,,,,
16.7,483.497,5.1767,,,,
16.8,484.497,5.1766,,,,
16.9,485.497,5.1763,,,,
17,486.497,5.1763,,,,
17.1,487.497,5.1764,,,,
17.2,488.497,5.1749,,,,
17.3,489.497,5.1744,,,,
17.4,490.497,5.174,,,,
17.5,491.497,5.1741,,,,
17.6,492.497,5.1743,,,,
17.7,493.497,5.1744,,,,
17.8,494.497,5.1744,,,,
17.9,495.497,5.1744,,,,
18,496.497,5.1741,,,,
18.1,497.497,5.175,,,,
18.2,498.497,5.1756,,,,
18.3,499.497,5.1766,,,,
18.4,500.497,5.1771,,,,
18.5,501.497,5.1767,,,,
18.6,502.497,5.1761,,,,
18.7,503.497,5.176,,,,
18.8,504.497,5.1763,,,,
18.9,505.497,5.1765,,,,
19,506.497,5.1767,,,,
19.1,507.497,5.1768,,,,
19.2,508.497,5.1767,,,,
19.3,509.497,5.1765,,,,
19.4,510.497,5.1764,,,,
19.5,511.497,5.1758,,,,
19.6,512.497,5.1755,,,,
19.7,513.497,5.1756,,,,
19.8,514.497,5.1757,,,,
19.9,515.497,5.1754,,,,
20,516.497,5.1739,,,,
20.1,517.497,5.1722,,,,
20.2,518.497,5.1716,,,,
20.3,519.497,5.1716,,,,
20.4,520.497,5.1716,,,,
20.5,521.497,5.1716,,,,
20.6,522.497,5.1716,,,,
20.7,523.497,5.1708,,,,
20.8,524.497,5.1698,,,,
20.9,525.497,5.1697,,,,
21,526.497,5.1697,,,,
21.1,527.497,5.1695,,,,
21.2,528.497,5.1675,,,,
21.3,529.497,5.1664,,,,
21.4,530.497,5.1655,,,,
21.5,531.497,5.1635,,,,
21.6,532.497,5.1611,,,,
21.7,533.497,5.1585,,,,
21.8,534.497,5.1547,,,,
21.9,535.497,5.1524,,,,
22,536.497,5.1492,,,,
22.1,537.497,5.1446,,,,
22.2,538.497,5.1405,,,,
22.3,539.497,5.1354,,,,
22.4,540.497,5.1305,,,,
22.5,541.497,5.1239,,,,
22.6,542.497,5.1171,,,,
22.7,543.497,5.1087,,,,
22.8,544.497,5.1035,,,,
22.9,545.497,5.0955,,,,
23,546.497,5.0868,,,,
23.1,547.497,5.0765,,,,
23.2,548.497,5.0656,,,,
23.3,549.497,5.056,,,,
23.4,550.497,5.0462,,,,
23.5,551.497,5.0382,,,,
23.6,552.497,5.0301,,,,
23.7,553.497,5.0195,,,,
23.8,554.497,5.0096,,,,
23.9,555.497,4.998,,,,
24,556.497,4.9892,,,,
24.1,557.497,4.9794,,,,
24.2,558.497,4.9701,,,,
24.3,559.497,4.9592,,,,
24.4,560.497,4.9467,,,,
24.5,561.497,4.9321,,,,
24.6,562.497,4.9161,,,,
24.7,563.497,4.8979,,,,
24.8,564.497,4.883,,,,
24.9,565.497,4.8689,,,,
25,566.497,4.8519,,,,
25.1,567.497,4.8275,,,,
25.2,568.497,4.805,,,,
25.3,569.497,4.7805,,,,
25.4,570.497,4.7549,,,,
25.5,571.497,4.7152,,,,
25.6,572.497,4.6816,,,,
25.7,573.497,4.6438,,,,
25.8,574.497,4.6026,,,,
25.9,575.497,4.5547,,,,
26,576.497,4.4985,,,,
26.1,577.497,4.4367,,,,
26.2,578.497,4.3704,,,,
26.3,579.497,4.2992,,,,
26.4,580.497,4.2322,,,,
26.5,581.497,4.1595,,,,
26.6,582.497,4.0882,,,,
26.7,583.497,4.0164,,,,
26.8,584.497,3.9428,,,,
26.9,585.497,3.8618,,,,
27,586.497,3.7766,,,,
27.1,587.497,3.6921,,,,
27.2,588.497,3.6165,,,,
27.3,589.497,3.5391,,,,
27.4,590.497,3.4433,,,,
27.5,591.497,3.3648,,,,
27.6,592.497,3.2787,,,,
27.7,593.497,3.1965,,,,
27.8,594.497,3.1189,,,,
27.9,595.497,3.0281,,,,
28,596.497,2.9181,,,,
28.1,597.497,2.8098,,,,
28.2,598.497,2.6886,,,,
28.3,599.497,2.5728,,,,
28.4,600.497,2.4545,,,,
28.5,601.497,2.3341,,,,
28.6,602.497,2.2273,,,,
28.7,603.497,2.1128,,,,
28.8,604.497,2.0028,,,,
28.9,605.497,1.894,,,,
29,606.497,1.7861,,,,
29.1,607.497,1.6863,,,,
29.2,608.497,1.5896,,,,
29.3,609.497,1.4947,,,,
29.4,610.497,1.4099,,,,
29.5,611.497,1.3363,,,,
29.6,612.497,1.2606,,,,
29.7,613.497,1.1908,,,,
29.8,614.497,1.1246,,,,
29.9,615.497,1.0588,,,,
30,616.497,0.995,,,,
30.1,617.497,0.9354,,,,
30.2,618.497,0.8819,,,,
30.3,619.497,0.8287,,,,
30.4,620.497,0.7849,,,,
30.5,621.497,0.7423,,,,
30.6,622.497,0.7007,,,,
30.7,623.497,0.6622,,,,
30.8,624.497,0.627,,,,
30.9,625.497,0.5946,,,,
31,626.497,0.5665,,,,
31.1,627.497,0.5356,,,,
31.2,628.497,0.5128,,,,
31.3,629.497,0.4831,,,,
31.4,630.497,0.4592,,,,
31.5,631.497,0.4401,,,,
31.6,632.497,0.4195,,,,
31.7,633.497,0.3983,,,,
31.8,634.497,0.3812,,,,
31.9,635.497,0.3602,,,,
32,636.497,0.3413,,,,
32.1,637.497,0.3228,,,,
32.2,638.497,0.3067,,,,
32.3,639.497,0.2894,,,,
32.4,640.497,0.2755,,,,
32.5,641.497,0.2631,,,,
32.6,642.497,0.2495,,,,
32.7,643.497,0.2357,,,,
32.8,644.497,0.2224,,,,
32.9,645.497,0.2127,,,,
33,646.497,0.2023,,,,
33.1,647.497,0.1917,,,,
33.2,648.497,0.1829,,,,
33.3,649.497,0.1747,,,,
33.4,650.497,0.1651,,,,
33.5,651.497,0.1562,,,,
33.6,652.497,0.1477,,,,
33.7,653.497,0.1396,,,,
33.8,654.497,0.1339,,,,
33.9,655.497,0.1273,,,,
34,656.497,0.1214,,,,
34.1,657.497,0.1119,,,,
34.2,658.497,0.1042,,,,
34.3,659.497,0.0976,,,,
34.4,660.497,0.0919,,,,
34.5,661.497,0.0867,,,,
34.6,662.497,0.0803,,,,
34.7,663.497,0.0761,,,,
34.8,664.497,0.0718,,,,
34.9,665.497,0.067,,,,
35,666.497,0.0627,,,,
35.1,667.497,0.0579,,,,
35.2,668.497,0.053,,,,
35.3,669.497,0.0491,,,,
35.4,670.497,0.0455,,,,
35.5,671.497,0.0414,,,,
35.6,672.497,0.0363,,,,
35.7,673.497,0.0323,,,,
35.8,674.497,0.0282,,,,
35.9,675.497,0.0263,,,,
36,676.497,0.0234,,,,
36.1,677.497,0.0227,,,,
36.2,678.497,0.02,,,,
36.3,679.497,0.0194,,,,
36.4,680.497,0.0177,,,,
36.5,681.497,0.0142,,,,
36.6,682.497,0.0125,,,,
36.7,683.497,0.0134,,,,
36.8,684.497,0.0128,,,,
36.9,685.497,0.0119,,,,
37,686.497,0.0118,,,,
37.1,687.497,0.0105,,,,
37.2,688.497,0.0101,,,,
37.3,689.497,0.0098,,,,
37.4,690.497,0.0092,,,,
37.5,691.497,0.0089,,,,
37.6,692.497,0.0085,,,,
37.7,693.497,0.0077,,,,
37.8,694.497,0.0062,,,,
37.9,695.497,0.0057,,,,
38,696.497,0.0057,,,,
38.1,697.497,0.0056,,,,
38.2,698.497,0.0054,,,,
38.3,699.497,0.0068,,,,
38.4,700.497,0.0071,,,,
38.5,701.497,0.0074,,,,
38.6,702.497,0.0075,,,,
38.7,703.497,0.0077,,,,
38.8,704.497,0.0069,,,,
38.9,705.497,0.0063,,,,
39,706.497,0.0062,,,,
39.1,707.497,0.0054,,,,
39.2,708.497,0.0045,,,,
39.3,709.497,0.0029,,,,
39.4,710.497,0.0019,,,,
39.5,711.497,0.0035,,,,
39.6,712.497,0.0069,,,,
39.7,713.497,0.0076,,,,
39.8,714.497,0.0066,,,,
39.9,715.497,0.0057,,,,
40,716.497,0.0053,,,,
40.1,717.497,0.0052,,,,
40.2,718.497,0.0052,,,,
40.3,719.497,0.0052,,,,
40.4,720.497,0.004,,,,
40.5,721.497,0.0037,,,,
40.6,722.497,0.0037,,,,
40.7,723.497,0.0036,,,,
40.8,724.497,0.0036,,,,
40.9,725.497,0.0036,,,,
41,726.497,0.0035,,,,
41.1,727.497,0.0035,,,,
41.2,728.497,0.0048,,,,
41.3,729.497,0.005,,,,
41.4,730.497,0.0031,,,,
41.5,731.497,0.0005,,,,
41.6,732.497,0,,,,
41.7,733.497,0.0012,,,,
41.8,734.497,0.0026,,,,
41.9,735.497,0.0054,,,,
42,736.497,0.0054,,,,
42.1,737.497,0.0062,,,,
42.2,738.497,0.0055,,,,
42.3,739.497,0.0048,,,,
42.4,740.497,0.0041,,,,
42.5,741.497,0.0038,,,,
42.6,742.497,0.0038,,,,
42.7,743.497,0.0038,,,,
42.8,744.497,0.0038,,,,
42.9,745.497,0.0038,,,,
43,746.497,0.0038,,,,
43.1,747.497,0.0037,,,,
43.2,748.497,0.0036,,,,
43.3,749.497,0.0035,,,,
43.4,750.497,0.0033,,,,
