s,[K],[mg],[W/g]
 3.6000000E+002, 3.5959607E+002, 4.9999997E+000, 3.0618131E-001
 3.6600000E+002, 3.6059513E+002, 4.9999997E+000, 3.0404513E-001
 3.7200000E+002, 3.6159519E+002, 4.9999996E+000, 3.0824729E-001
 3.7800000E+002, 3.6259490E+002, 4.9999995E+000, 3.0319382E-001
 3.8400000E+002, 3.6359342E+002, 4.9999995E+000, 3.0372474E-001
 3.9000000E+002, 3.6459417E+002, 4.9999994E+000, 3.0471115E-001
 3.9600000E+002, 3.6559271E+002, 4.9999993E+000, 3.0512275E-001
 4.0200000E+002, 3.6659371E+002, 4.9999992E+000, 3.1593504E-001
 4.0800000E+002, 3.6759278E+002, 4.9999990E+000, 3.1372857E-001
 4.1400000E+002, 3.6859281E+002, 4.9999989E+000, 3.1804716E-001
 4.2000000E+002, 3.6959255E+002, 4.9999987E+000, 3.1292932E-001
 4.2600000E+002, 3.7059107E+002, 4.9999985E+000, 3.1343471E-001
 4.3200000E+002, 3.7159182E+002, 4.9999982E+000, 3.1444725E-001
 4.3800000E+002, 3.7259037E+002, 4.9999979E+000, 3.1480412E-001
 4.4400000E+002, 3.7359134E+002, 4.9999976E+000, 3.2569550E-001
 4.5000000E+002, 3.7459043E+002, 4.9999972E+000, 3.2342359E-001
 4.5600000E+002, 3.7559044E+002, 4.9999968E+000, 3.2784855E-001
 4.6200000E+002, 3.7659020E+002, 4.9999963E+000, 3.2266510E-001
 4.6800000E+002, 3.7758875E+002, 4.9999958E+000, 3.2302341E-001
 4.7400000E+002, 3.7858946E+002, 4.9999951E+000, 3.2418286E-001
 4.8000000E+002, 3.7958803E+002, 4.9999943E+000, 3.2449002E-001
 4.8600000E+002, 3.8058898E+002, 4.9999935E+000, 3.3544976E-001
 4.9200000E+002, 3.8158809E+002, 4.9999925E+000, 3.3311646E-001
 4.9800000E+002, 3.8258806E+002, 4.9999914E+000, 3.3764916E-001
 5.0400000E+002, 3.8358784E+002, 4.9999901E+000, 3.3240840E-001
 5.1000000E+002, 3.8458640E+002, 4.9999886E+000, 3.3272416E-001
 5.1600000E+002, 3.8558711E+002, 4.9999869E+000, 3.3391414E-001
 5.2200000E+002, 3.8658569E+002, 4.9999850E+000, 3.3418458E-001
 5.2800000E+002, 3.8758662E+002, 4.9999828E+000, 3.4522287E-001
 5.3400000E+002, 3.8858573E+002, 4.9999803E+000, 3.4282437E-001
 5.4000000E+002, 3.8958572E+002, 4.9999774E+000, 3.4732883E-001
 5.4600000E+002, 3.9058548E+002, 4.9999742E+000, 3.4215767E-001
 5.5200000E+002, 3.9158405E+002, 4.9999705E+000, 3.4245548E-001
 5.5800000E+002, 3.9258475E+002, 4.9999663E+000, 3.4367885E-001
 5.6400000E+002, 3.9358334E+002, 4.9999615E+000, 3.4389715E-001
 5.7000000E+002, 3.9458425E+002, 4.9999561E+000, 3.5501487E-001
 5.7600000E+002, 3.9558338E+002, 4.9999499E+000, 3.5254173E-001
 5.8200000E+002, 3.9658350E+002, 4.9999429E+000, 3.5649753E-001
 5.8800000E+002, 3.9758347E+002, 4.9999350E+000, 3.5046022E-001
 5.9400000E+002, 3.9858223E+002, 4.9999260E+000, 3.4996882E-001
 6.0000000E+002, 3.9958313E+002, 4.9999159E+000, 3.5037405E-001
 6.0600000E+002, 4.0058192E+002, 4.9999044E+000, 3.4977449E-001
 6.1200000E+002, 4.0158304E+002, 4.9998914E+000, 3.6003934E-001
 6.1800000E+002, 4.0258234E+002, 4.9998767E+000, 3.5682364E-001
 6.2400000E+002, 4.0358248E+002, 4.9998601E+000, 3.6068590E-001
 6.3000000E+002, 4.0458246E+002, 4.9998414E+000, 3.5464798E-001
 6.3600000E+002, 4.0558122E+002, 4.9998203E+000, 3.5415791E-001
 6.4200000E+002, 4.0658211E+002, 4.9997965E+000, 3.5458867E-001
 6.4800000E+002, 4.0758090E+002, 4.9997697E+000, 3.5397846E-001
 6.5400000E+002, 4.0858201E+002, 4.9997396E+000, 3.6429210E-001
 6.6000000E+002, 4.0958132E+002, 4.9997056E+000, 3.6106190E-001
 6.6600000E+002, 4.1058144E+002, 4.9996675E+000, 3.6497882E-001
 6.7200000E+002, 4.1158142E+002, 4.9996246E+000, 3.5895885E-001
 6.7800000E+002, 4.1258017E+002, 4.9995765E+000, 3.5848293E-001
 6.8400000E+002, 4.1358107E+002, 4.9995224E+000, 3.5890839E-001
 6.9000000E+002, 4.1457984E+002, 4.9994618E+000, 3.5835374E-001
 6.9600000E+002, 4.1558094E+002, 4.9993939E+000, 3.6873070E-001
 7.0200000E+002, 4.1658024E+002, 4.9993179E+000, 3.6550604E-001
 7.0800000E+002, 4.1758034E+002, 4.9992327E+000, 3.6949800E-001
 7.1400000E+002, 4.1858031E+002, 4.9991374E+000, 3.6352136E-001
 7.2000000E+002, 4.1957906E+002, 4.9990309E+000, 3.6308630E-001
 7.2600000E+002, 4.2057994E+002, 4.9989119E+000, 3.6358691E-001
 7.3200000E+002, 4.2157870E+002, 4.9987790E+000, 3.6307042E-001
 7.3800000E+002, 4.2257977E+002, 4.9986308E+000, 3.7354071E-001
 7.4400000E+002, 4.2357906E+002, 4.9984655E+000, 3.7035902E-001
 7.5000000E+002, 4.2457914E+002, 4.9982813E+000, 3.7446397E-001
 7.5600000E+002, 4.2557910E+002, 4.9980763E+000, 3.6852448E-001
 7.6200000E+002, 4.2657782E+002, 4.9978481E+000, 3.6822672E-001
 7.6800000E+002, 4.2757866E+002, 4.9975945E+000, 3.6885722E-001
 7.7400000E+002, 4.2857740E+002, 4.9973128E+000, 3.6843455E-001
 7.8000000E+002, 4.2957844E+002, 4.9970000E+000, 3.7905322E-001
 7.8600000E+002, 4.3057770E+002, 4.9966532E+000, 3.7597587E-001
 7.9200000E+002, 4.3157774E+002, 4.9962690E+000, 3.8025838E-001
 7.9800000E+002, 4.3257766E+002, 4.9958436E+000, 3.7447819E-001
 8.0400000E+002, 4.3357633E+002, 4.9953731E+000, 3.7435748E-001
 8.1000000E+002, 4.3457713E+002, 4.9948534E+000, 3.7519607E-001
 8.1600000E+002, 4.3557583E+002, 4.9942797E+000, 3.7495259E-001
 8.2200000E+002, 4.3657681E+002, 4.9936473E+000, 3.8581022E-001
 8.2800000E+002, 4.3757603E+002, 4.9929508E+000, 3.8288130E-001
 8.3400000E+002, 4.3857599E+002, 4.9921849E+000, 3.8748419E-001
 8.4000000E+002, 4.3957585E+002, 4.9913437E+000, 3.8196784E-001
 8.4600000E+002, 4.4057446E+002, 4.9904211E+000, 3.8210858E-001
 8.5200000E+002, 4.4157518E+002, 4.9894106E+000, 3.8324985E-001
 8.5800000E+002, 4.4257381E+002, 4.9883058E+000, 3.8327865E-001
 8.6400000E+002, 4.4357472E+002, 4.9870999E+000, 3.9445984E-001
 8.7000000E+002, 4.4457387E+002, 4.9857860E+000, 3.9181127E-001
 8.7600000E+002, 4.4557374E+002, 4.9843574E+000, 3.9674999E-001
 8.8200000E+002, 4.4657353E+002, 4.9828072E+000, 3.9154702E-001
 8.8800000E+002, 4.4757207E+002, 4.9811289E+000, 3.9198137E-001
 8.9400000E+002, 4.4857271E+002, 4.9793166E+000, 3.9343077E-001
 9.0000000E+002, 4.4957130E+002, 4.9773645E+000, 3.9365888E-001
 9.0600000E+002, 4.5057213E+002, 4.9752681E+000, 4.0514750E-001
 9.1200000E+002, 4.5157123E+002, 4.9730235E+000, 4.0268065E-001
 9.1800000E+002, 4.5257107E+002, 4.9706285E+000, 4.0778951E-001
 9.2400000E+002, 4.5357083E+002, 4.9680822E+000, 4.0268266E-001
 9.3000000E+002, 4.5456937E+002, 4.9653858E+000, 4.0311474E-001
 9.3600000E+002, 4.5557003E+002, 4.9625425E+000, 4.0451392E-001
 9.4200000E+002, 4.5656866E+002, 4.9595584E+000, 4.0455276E-001
 9.4800000E+002, 4.5756957E+002, 4.9564422E+000, 4.1575329E-001
 9.5400000E+002, 4.5856877E+002, 4.9532058E+000, 4.1283971E-001
 9.6000000E+002, 4.5956874E+002, 4.9498647E+000, 4.1739191E-001
 9.6600000E+002, 4.6056869E+002, 4.9464375E+000, 4.1155395E-001
 9.7200000E+002, 4.6156746E+002, 4.9429467E+000, 4.1102614E-001
 9.7800000E+002, 4.6256837E+002, 4.9394183E+000, 4.1140840E-001
 9.8400000E+002, 4.6356730E+002, 4.9358812E+000, 4.1019044E-001
 9.9000000E+002, 4.6456854E+002, 4.9323675E+000, 4.2000647E-001
 9.9600000E+002, 4.6556813E+002, 4.9289108E+000, 4.1552697E-001
 1.0020000E+003, 4.6656849E+002, 4.9255466E+000, 4.1842860E-001
 1.0080000E+003, 4.6756886E+002, 4.9223099E+000, 4.1085011E-001
 1.0140000E+003, 4.6856807E+002, 4.9192349E+000, 4.0853087E-001
 1.0200000E+003, 4.6956940E+002, 4.9163533E+000, 4.0715713E-001
 1.0260000E+003, 4.7056875E+002, 4.9136928E+000, 4.0423521E-001
 1.0320000E+003, 4.7157036E+002, 4.9112757E+000, 4.1249989E-001
 1.0380000E+003, 4.7257028E+002, 4.9091179E+000, 4.0664890E-001
 1.0440000E+003, 4.7357091E+002, 4.9072279E+000, 4.0843309E-001
 1.0500000E+003, 4.7457145E+002, 4.9056062E+000, 4.0014635E-001
 1.0560000E+003, 4.7557076E+002, 4.9042454E+000, 3.9742603E-001
 1.0620000E+003, 4.7657209E+002, 4.9031309E+000, 3.9605437E-001
 1.0680000E+003, 4.7757135E+002, 4.9022415E+000, 3.9346788E-001
 1.0740000E+003, 4.7857279E+002, 4.9015514E+000, 4.0247050E-001
 1.0800000E+003, 4.7957246E+002, 4.9010318E+000, 3.9762762E-001
 1.0860000E+003, 4.8057278E+002, 4.9006529E+000, 4.0071592E-001
 1.0920000E+003, 4.8157297E+002, 4.9003857E+000, 3.9388872E-001
 1.0980000E+003, 4.8257190E+002, 4.9002034E+000, 3.9269864E-001
 1.1040000E+003, 4.8357285E+002, 4.9000831E+000, 3.9288555E-001
 1.1100000E+003, 4.8457177E+002, 4.9000057E+000, 3.9174316E-001
 1.1160000E+003, 4.8557290E+002, 4.8999565E+000, 4.0204530E-001
 1.1220000E+003, 4.8657227E+002, 4.8999248E+000, 3.9837266E-001
 1.1280000E+003, 4.8757235E+002, 4.8999030E+000, 4.0244619E-001
 1.1340000E+003, 4.8857236E+002, 4.8998863E+000, 3.9639070E-001
 1.1400000E+003, 4.8957115E+002, 4.8998718E+000, 3.9576530E-001
 1.1460000E+003, 4.9057200E+002, 4.8998578E+000, 3.9638681E-001
 1.1520000E+003, 4.9157085E+002, 4.8998434E+000, 3.9552396E-001
 1.1580000E+003, 4.9257193E+002, 4.8998281E+000, 4.0603838E-001
 1.1640000E+003, 4.9357128E+002, 4.8998116E+000, 4.0245977E-001
 1.1700000E+003, 4.9457134E+002, 4.8997938E+000, 4.0663720E-001
 1.1760000E+003, 4.9557133E+002, 4.8997744E+000, 4.0064905E-001
 1.1820000E+003, 4.9657012E+002, 4.8997535E+000, 4.0005103E-001
 1.1880000E+003, 4.9757097E+002, 4.8997308E+000, 4.0067637E-001
 1.1940000E+003, 4.9856980E+002, 4.8997063E+000, 3.9986337E-001
 1.2000000E+003, 4.9957087E+002, 4.8996797E+000, 4.1042812E-001
 1.2061000E+003, 5.0057863E+002, 4.8996507E+000, 4.0801535E-001
 1.2121000E+003, 5.0158331E+002, 4.8996192E+000, 4.0487368E-001
 1.2181000E+003, 5.0258353E+002, 4.8995855E+000, 4.0830121E-001
 1.2241000E+003, 5.0358313E+002, 4.8995491E+000, 4.0408295E-001
 1.2301000E+003, 5.0458184E+002, 4.8995097E+000, 4.0383310E-001
 1.2361000E+003, 5.0558320E+002, 4.8994672E+000, 4.1309363E-001
 1.2421000E+003, 5.0658221E+002, 4.8994212E+000, 4.1100501E-001
 1.2481000E+003, 5.0758302E+002, 4.8993716E+000, 4.1181239E-001
 1.2541000E+003, 5.0858214E+002, 4.8993180E+000, 4.0971364E-001
 1.2601000E+003, 5.0958238E+002, 4.8992601E+000, 4.1306500E-001
 1.2661000E+003, 5.1058196E+002, 4.8991977E+000, 4.0893967E-001
 1.2721000E+003, 5.1158065E+002, 4.8991304E+000, 4.0874499E-001
 1.2781000E+003, 5.1258200E+002, 4.8990579E+000, 4.1807820E-001
 1.2841000E+003, 5.1358099E+002, 4.8989797E+000, 4.1603672E-001
 1.2901000E+003, 5.1458177E+002, 4.8988954E+000, 4.1695978E-001
 1.2961000E+003, 5.1558088E+002, 4.8988046E+000, 4.1492469E-001
 1.3021000E+003, 5.1658109E+002, 4.8987068E+000, 4.1838702E-001
 1.3081000E+003, 5.1758065E+002, 4.8986015E+000, 4.1434617E-001
 1.3141000E+003, 5.1857932E+002, 4.8984882E+000, 4.1423866E-001
 1.3201000E+003, 5.1958065E+002, 4.8983662E+000, 4.2368350E-001
 1.3261000E+003, 5.2057962E+002, 4.8982350E+000, 4.2173064E-001
 1.3321000E+003, 5.2158037E+002, 4.8980939E+000, 4.2276365E-001
 1.3381000E+003, 5.2257944E+002, 4.8979422E+000, 4.2088443E-001
 1.3441000E+003, 5.2357961E+002, 4.8977792E+000, 4.2451137E-001
 1.3501000E+003, 5.2457913E+002, 4.8976040E+000, 4.2060973E-001
 1.3561000E+003, 5.2557777E+002, 4.8974158E+000, 4.2064561E-001
 1.3621000E+003, 5.2657906E+002, 4.8972137E+000, 4.3026137E-001
 1.3681000E+003, 5.2757798E+002, 4.8969967E+000, 4.2845952E-001
 1.3741000E+003, 5.2857868E+002, 4.8967637E+000, 4.2971901E-001
 1.3801000E+003, 5.2957771E+002, 4.8965138E+000, 4.2802267E-001
 1.3861000E+003, 5.3057782E+002, 4.8962456E+000, 4.3188369E-001
 1.3921000E+003, 5.3157729E+002, 4.8959581E+000, 4.2820268E-001
 1.3981000E+003, 5.3257588E+002, 4.8956497E+000, 4.2846634E-001
 1.4041000E+003, 5.3357712E+002, 4.8953192E+000, 4.3829195E-001
 1.4101000E+003, 5.3457597E+002, 4.8949650E+000, 4.3677249E-001
 1.4161000E+003, 5.3557659E+002, 4.8945855E+000, 4.3837079E-001
 1.4221000E+003, 5.3657554E+002, 4.8941791E+000, 4.3696440E-001
 1.4281000E+003, 5.3757557E+002, 4.8937439E+000, 4.4116954E-001
 1.4341000E+003, 5.3857496E+002, 4.8932780E+000, 4.3782984E-001
 1.4401000E+003, 5.3957347E+002, 4.8927794E+000, 4.3844515E-001
 1.4461000E+003, 5.4057461E+002, 4.8922459E+000, 4.4865532E-001
 1.4521000E+003, 5.4157336E+002, 4.8916753E+000, 4.4753179E-001
 1.4581000E+003, 5.4257387E+002, 4.8910650E+000, 4.4959692E-001
 1.4641000E+003, 5.4357272E+002, 4.8904126E+000, 4.4862041E-001
 1.4701000E+003, 5.4457263E+002, 4.8897153E+000, 4.5334850E-001
 1.4761000E+003, 5.4557191E+002, 4.8889701E+000, 4.5046532E-001
 1.4821000E+003, 5.4657027E+002, 4.8881740E+000, 4.5166070E-001
 1.4881000E+003, 5.4757127E+002, 4.8873238E+000, 4.6246961E-001
 1.4941000E+003, 5.4856988E+002, 4.8864160E+000, 4.6193289E-001
 1.5001000E+003, 5.4957022E+002, 4.8854470E+000, 4.6468188E-001
 1.5061000E+003, 5.5056891E+002, 4.8844128E+000, 4.6437743E-001
 1.5121000E+003, 5.5156863E+002, 4.8833094E+000, 4.6983216E-001
 1.5181000E+003, 5.5256773E+002, 4.8821324E+000, 4.6772944E-001
 1.5241000E+003, 5.5356589E+002, 4.8808772E+000, 4.6972136E-001
 1.5301000E+003, 5.5456670E+002, 4.8795391E+000, 4.8138865E-001
 1.5361000E+003, 5.5556509E+002, 4.8781128E+000, 4.8171736E-001
 1.5421000E+003, 5.5656518E+002, 4.8765930E+000, 4.8546021E-001
 1.5481000E+003, 5.5756365E+002, 4.8749738E+000, 4.8610239E-001
 1.5541000E+003, 5.5856310E+002, 4.8732494E+000, 4.9266651E-001
 1.5601000E+003, 5.5956192E+002, 4.8714132E+000, 4.9169506E-001
 1.5661000E+003, 5.6055981E+002, 4.8694585E+000, 4.9483915E-001
 1.5721000E+003, 5.6156032E+002, 4.8673783E+000, 5.0775281E-001
 1.5781000E+003, 5.6255839E+002, 4.8651650E+000, 5.0936967E-001
 1.5841000E+003, 5.6355815E+002, 4.8628106E+000, 5.1449988E-001
 1.5901000E+003, 5.6455626E+002, 4.8603070E+000, 5.1659860E-001
 1.5961000E+003, 5.6555535E+002, 4.8576452E+000, 5.2469561E-001
 1.6021000E+003, 5.6655378E+002, 4.8548160E+000, 5.2531820E-001
 1.6081000E+003, 5.6755126E+002, 4.8518096E+000, 5.3014970E-001
 1.6141000E+003, 5.6855135E+002, 4.8486159E+000, 5.4482434E-001
 1.6201000E+003, 5.6954898E+002, 4.8452239E+000, 5.4823687E-001
 1.6261000E+003, 5.7054825E+002, 4.8416224E+000, 5.5538448E-001
 1.6321000E+003, 5.7154587E+002, 4.8377994E+000, 5.5952255E-001
 1.6381000E+003, 5.7254444E+002, 4.8337423E+000, 5.6977369E-001
 1.6441000E+003, 5.7354232E+002, 4.8294381E+000, 5.7266511E-001
 1.6501000E+003, 5.7453924E+002, 4.8248728E+000, 5.7983860E-001
 1.6561000E+003, 5.7553872E+002, 4.8200319E+000, 5.9701218E-001
 1.6621000E+003, 5.7653572E+002, 4.8149003E+000, 6.0298146E-001
 1.6681000E+003, 5.7753434E+002, 4.8094619E+000, 6.1285916E-001
 1.6741000E+003, 5.7853127E+002, 4.8037001E+000, 6.1984153E-001
 1.6801000E+003, 5.7952911E+002, 4.7975974E+000, 6.3305976E-001
 1.6861000E+003, 5.8052624E+002, 4.7911354E+000, 6.3907139E-001
 1.6921000E+003, 5.8152238E+002, 4.7842949E+000, 6.4944855E-001
 1.6981000E+003, 5.8252105E+002, 4.7770560E+000, 6.7000966E-001
 1.7041000E+003, 5.8351719E+002, 4.7693977E+000, 6.7951293E-001
 1.7101000E+003, 5.8451492E+002, 4.7612982E+000, 6.9307713E-001
 1.7161000E+003, 5.8551092E+002, 4.7527346E+000, 7.0388731E-001
 1.7221000E+003, 5.8650780E+002, 4.7436833E+000, 7.2108355E-001
 1.7281000E+003, 5.8750392E+002, 4.7341194E+000, 7.3127378E-001
 1.7341000E+003, 5.8849902E+002, 4.7240173E+000, 7.4596472E-001
 1.7401000E+003, 5.8949660E+002, 4.7133500E+000, 7.7098870E-001
 1.7461000E+003, 5.9049162E+002, 4.7020898E+000, 7.8513512E-001
 1.7521000E+003, 5.9148818E+002, 4.6902078E+000, 8.0350363E-001
 1.7581000E+003, 5.9248297E+002, 4.6776739E+000, 8.1934277E-001
 1.7641000E+003, 5.9347862E+002, 4.6644572E+000, 8.4163884E-001
 1.7701000E+003, 5.9447343E+002, 4.6505254E+000, 8.5721349E-001
 1.7761000E+003, 5.9546719E+002, 4.6358453E+000, 8.7745102E-001
 1.7821000E+003, 5.9646340E+002, 4.6203826E+000, 9.0813930E-001
 1.7881000E+003, 5.9745700E+002, 4.6041018E+000, 9.2814887E-001
 1.7941000E+003, 5.9845211E+002, 4.5869666E+000, 9.5253597E-001
 1.8001000E+003, 5.9944539E+002, 4.5689391E+000, 9.7458975E-001
 1.8061000E+003, 6.0043950E+002, 4.5499812E+000, 1.0032223E+000
 1.8121000E+003, 6.0143274E+002, 4.5300530E+000, 1.0253202E+000
 1.8181000E+003, 6.0242488E+002, 4.5091143E+000, 1.0522186E+000
 1.8241000E+003, 6.0341945E+002, 4.4871236E+000, 1.0897085E+000
 1.8301000E+003, 6.0441137E+002, 4.4640387E+000, 1.1166733E+000
 1.8361000E+003, 6.0540478E+002, 4.4398168E+000, 1.1480244E+000
 1.8421000E+003, 6.0639632E+002, 4.4144140E+000, 1.1772665E+000
 1.8481000E+003, 6.0738870E+002, 4.3877867E+000, 1.2130785E+000
 1.8541000E+003, 6.0838016E+002, 4.3598895E+000, 1.2425410E+000
 1.8601000E+003, 6.0937050E+002, 4.3306782E+000, 1.2768633E+000
 1.8661000E+003, 6.1036331E+002, 4.3001072E+000, 1.3216213E+000
 1.8721000E+003, 6.1135343E+002, 4.2681313E+000, 1.3560214E+000
 1.8781000E+003, 6.1234509E+002, 4.2347057E+000, 1.3946299E+000
 1.8841000E+003, 6.1333485E+002, 4.1997853E+000, 1.4312541E+000
 1.8901000E+003, 6.1432550E+002, 4.1633265E+000, 1.4741780E+000
 1.8961000E+003, 6.1531523E+002, 4.1252851E+000, 1.5107466E+000
 1.9021000E+003, 6.1630390E+002, 4.0856194E+000, 1.5519955E+000
 1.9081000E+003, 6.1729510E+002, 4.0442878E+000, 1.6033967E+000
 1.9141000E+003, 6.1828366E+002, 4.0012509E+000, 1.6443007E+000
 1.9201000E+003, 6.1927388E+002, 3.9564713E+000, 1.6888535E+000
 1.9261000E+003, 6.2026222E+002, 3.9099130E+000, 1.7313172E+000
 1.9321000E+003, 6.2125163E+002, 3.8615442E+000, 1.7794166E+000
 1.9381000E+003, 6.2224015E+002, 3.8113338E+000, 1.8209592E+000
 1.9441000E+003, 6.2322777E+002, 3.7592566E+000, 1.8665462E+000
 1.9501000E+003, 6.2421810E+002, 3.7052889E+000, 1.9215552E+000
 1.9561000E+003, 6.2520593E+002, 3.6494127E+000, 1.9655022E+000
 1.9621000E+003, 6.2619566E+002, 3.5916146E+000, 2.0120544E+000
 1.9681000E+003, 6.2718364E+002, 3.5318854E+000, 2.0560342E+000
 1.9741000E+003, 6.2817302E+002, 3.4702234E+000, 2.1042415E+000
 1.9801000E+003, 6.2916165E+002, 3.4066305E+000, 2.1453398E+000
 1.9861000E+003, 6.3014967E+002, 3.3411182E+000, 2.1892524E+000
 1.9921000E+003, 6.3114068E+002, 3.2737031E+000, 2.2414160E+000
 1.9981000E+003, 6.3212952E+002, 3.2044108E+000, 2.2813406E+000
 2.0041000E+003, 6.3312069E+002, 3.1332748E+000, 2.3219434E+000
 2.0101000E+003, 6.3411032E+002, 3.0603367E+000, 2.3590977E+000
 2.0161000E+003, 6.3510185E+002, 2.9856497E+000, 2.3984310E+000
 2.0221000E+003, 6.3609282E+002, 2.9092733E+000, 2.4298303E+000
 2.0281000E+003, 6.3708369E+002, 2.8312811E+000, 2.4619721E+000
 2.0341000E+003, 6.3807804E+002, 2.7517540E+000, 2.5003267E+000
 2.0401000E+003, 6.3907066E+002, 2.6707863E+000, 2.5248198E+000
 2.0461000E+003, 6.4006611E+002, 2.5884830E+000, 2.5476481E+000
 2.0521000E+003, 6.4106035E+002, 2.5049598E+000, 2.5657719E+000
 2.0581000E+003, 6.4205720E+002, 2.4203459E+000, 2.5830840E+000
 2.0641000E+003, 6.4305371E+002, 2.3347795E+000, 2.5915963E+000
 2.0701000E+003, 6.4405070E+002, 2.2484143E+000, 2.5985013E+000
 2.0761000E+003, 6.4505168E+002, 2.1614116E+000, 2.6094077E+000
 2.0821000E+003, 6.4605146E+002, 2.0739470E+000, 2.6045467E+000
