Time (s),Mass (g),MLR (g/s),TC back 1 (K),TC back 2 (K),TC back 3 (K)
68,116.97,-0.03,305.65,303.05,309.35
69,116.98,0.00,305.75,303.15,309.55
70,116.93,0.07,305.95,303.25,309.65
71,116.87,0.02,305.95,303.25,309.75
72,116.80,0.01,306.15,303.35,309.95
73,116.96,0.06,306.25,303.45,310.15
74,116.97,0.09,306.35,303.55,310.25
75,116.89,-0.06,306.55,303.55,310.35
76,116.70,-0.11,306.65,303.65,310.55
77,116.55,0.04,306.75,303.75,310.65
78,116.67,0.14,306.85,303.85,310.85
79,116.77,0.20,307.15,304.05,311.05
80,116.67,0.01,307.25,304.05,311.15
81,116.63,-0.15,307.35,304.15,311.35
82,116.54,0.01,307.55,304.25,311.55
83,116.42,0.08,307.65,304.25,311.65
84,116.36,0.06,307.85,304.45,311.85
85,116.40,0.11,308.05,304.55,312.05
86,116.39,0.10,308.15,304.65,312.15
87,116.30,0.00,308.35,304.75,312.35
88,116.30,-0.03,308.65,304.85,312.65
89,116.32,0.06,308.75,304.95,312.75
90,116.21,0.05,308.95,305.05,312.95
91,116.07,-0.02,309.15,305.25,313.25
92,116.05,0.04,309.35,305.35,313.35
93,116.20,0.15,309.55,305.45,313.55
94,116.12,0.09,309.85,305.65,313.85
95,116.03,-0.10,309.95,305.75,313.95
96,115.99,-0.05,310.25,305.85,314.25
97,115.97,0.11,310.45,306.05,314.45
98,115.73,0.06,310.55,306.15,314.65
99,115.62,0.01,310.85,306.25,314.95
100,115.92,0.14,311.15,306.55,315.15
101,115.92,0.22,311.35,306.55,315.35
102,115.73,-0.13,311.55,306.75,315.65
103,115.65,-0.20,311.85,306.95,315.95
104,115.80,0.13,312.05,307.05,316.05
105,115.82,0.17,312.25,307.25,316.35
106,115.63,-0.05,312.55,307.45,316.65
107,115.57,-0.12,312.75,307.55,316.85
108,115.50,0.11,313.05,307.75,317.15
109,115.35,0.14,313.35,307.95,317.45
110,115.14,0.04,313.45,308.15,317.65
111,115.24,0.11,313.85,308.35,317.95
112,115.27,0.21,314.15,308.55,318.35
113,115.23,0.05,314.35,308.65,318.45
114,115.18,-0.09,314.65,308.95,318.85
115,115.23,0.01,315.05,309.25,319.25
116,115.17,0.05,315.15,309.35,319.35
117,115.10,-0.01,315.55,309.65,319.75
118,115.05,-0.00,315.95,309.85,320.05
119,114.96,0.07,316.05,309.95,320.25
120,114.90,0.06,316.45,310.25,320.65
121,114.90,0.07,316.75,310.55,321.05
122,114.90,0.09,316.95,310.65,321.25
123,114.80,0.03,317.35,310.95,321.55
124,114.69,-0.02,317.75,311.25,321.95
125,114.62,0.05,317.95,311.35,322.15
126,114.61,0.12,318.35,311.65,322.55
127,114.60,0.09,318.75,311.95,322.95
128,114.59,0.04,318.85,312.15,323.15
129,114.40,0.01,319.35,312.45,323.55
130,114.36,-0.00,319.75,312.75,323.95
131,114.46,0.11,319.95,312.95,324.15
132,114.40,0.14,320.35,313.25,324.55
133,114.32,-0.05,320.75,313.55,325.05
134,114.19,-0.03,320.95,313.75,325.25
135,114.14,0.08,321.45,314.05,325.65
136,114.07,0.11,321.85,314.35,326.05
137,114.14,0.09,322.05,314.55,326.25
138,114.15,0.07,322.55,314.95,326.75
139,114.02,-0.01,322.95,315.25,327.15
140,113.92,-0.06,323.15,315.45,327.45
141,113.92,0.07,323.55,315.85,327.85
142,113.91,0.13,324.05,316.15,328.25
143,113.87,0.04,324.25,316.35,328.55
144,113.83,-0.00,324.75,316.75,328.95
145,113.85,0.03,325.15,317.15,329.45
146,113.78,0.04,325.35,317.35,329.65
147,113.74,0.00,325.85,317.75,330.05
148,113.70,0.03,326.35,318.05,330.55
149,113.66,0.06,326.55,318.25,330.75
150,113.59,0.04,327.05,318.65,331.25
151,113.48,0.04,327.55,319.05,331.65
152,113.48,0.05,327.75,319.25,331.85
153,113.48,0.10,328.25,319.65,332.35
154,113.50,0.06,328.75,320.05,332.75
155,113.45,-0.01,328.95,320.25,333.05
156,113.40,-0.01,329.45,320.65,333.45
157,113.36,0.01,329.95,321.05,333.95
158,113.33,0.05,330.15,321.35,334.15
159,113.27,0.05,330.65,321.75,334.65
160,113.20,0.03,331.15,322.15,335.05
161,113.10,0.04,331.35,322.35,335.35
162,112.97,0.07,331.85,322.75,335.75
163,112.97,0.09,332.35,323.15,336.25
164,112.96,0.13,332.65,323.45,336.45
165,112.92,0.06,333.05,323.85,336.85
166,112.88,-0.01,333.55,324.25,337.35
167,112.85,0.03,333.85,324.45,337.55
168,112.90,0.04,334.35,324.95,338.05
169,112.85,0.04,334.75,325.35,338.55
170,112.73,-0.02,335.05,325.55,338.75
171,112.70,-0.01,335.55,326.05,339.25
172,112.72,0.10,336.05,326.45,339.65
173,112.62,0.09,336.25,326.75,339.95
174,112.56,-0.01,336.75,327.15,340.35
175,112.58,0.04,337.25,327.55,340.85
176,112.60,0.10,337.55,327.85,341.05
177,112.57,0.02,338.05,328.25,341.55
178,112.54,-0.03,338.55,328.75,341.95
179,112.50,0.01,338.75,328.95,342.25
180,112.44,0.04,339.25,329.35,342.65
181,112.30,0.03,339.75,329.85,343.05
182,112.22,0.04,340.05,330.05,343.35
183,112.26,0.11,340.55,330.55,343.75
184,112.24,0.12,340.95,330.95,344.25
185,112.21,0.01,341.25,331.15,344.45
186,112.15,-0.02,341.75,331.65,344.95
187,112.09,0.03,342.25,332.05,345.35
188,112.07,0.05,342.45,332.25,345.55
189,112.07,0.06,342.95,332.75,346.05
190,112.04,0.04,343.45,333.15,346.45
191,111.93,0.01,343.65,333.45,346.75
192,111.92,0.01,344.15,333.85,347.15
193,111.93,0.08,344.65,334.25,347.55
194,111.83,0.07,344.95,334.55,347.85
195,111.82,-0.02,345.35,334.95,348.25
196,111.83,0.06,345.85,335.45,348.65
197,111.79,0.07,346.15,335.65,348.95
198,111.77,-0.02,346.65,336.15,349.35
199,111.74,0.01,347.05,336.55,349.75
200,111.69,0.04,347.35,336.75,350.05
201,111.68,0.02,347.75,337.25,350.45
202,111.66,0.04,348.25,337.75,350.85
203,111.63,0.03,348.55,337.95,351.15
204,111.53,0.01,348.95,338.35,351.45
205,111.42,0.02,349.45,338.85,351.95
206,111.38,0.06,349.65,339.05,352.15
207,111.35,0.12,350.15,339.45,352.55
208,111.32,0.08,350.55,339.95,352.95
209,111.30,0.03,350.85,340.15,353.15
210,111.23,0.03,351.25,340.55,353.55
211,111.18,0.02,351.75,341.05,353.95
212,111.18,0.05,352.05,341.25,354.25
213,111.12,0.07,352.45,341.65,354.65
214,111.03,0.02,352.95,342.15,355.05
215,111.00,0.02,353.15,342.35,355.25
216,111.10,0.09,353.65,342.75,355.65
217,111.20,0.08,354.05,343.25,355.95
218,111.05,-0.05,354.35,343.45,356.25
219,110.78,-0.13,354.75,343.85,356.65
220,110.68,0.02,355.15,344.25,356.95
221,110.80,0.25,355.35,344.55,357.15
222,110.83,0.21,355.85,344.95,357.55
223,110.78,-0.03,356.25,345.35,357.95
224,110.61,-0.10,356.55,345.55,358.15
225,110.53,0.01,356.95,345.95,358.45
226,110.57,0.12,357.35,346.45,358.85
227,110.55,0.15,357.55,346.65,359.05
228,110.53,0.01,357.95,347.05,359.45
229,110.50,-0.02,358.35,347.45,359.75
230,110.44,0.02,358.55,347.65,359.95
231,110.24,0.02,358.95,348.05,360.35
232,110.18,0.04,359.35,348.45,360.65
233,110.22,0.15,359.55,348.65,360.85
234,110.25,0.15,359.95,349.15,361.15
235,110.25,0.00,360.35,349.55,361.45
236,110.18,-0.04,360.55,349.75,361.65
237,110.14,-0.02,360.95,350.15,361.95
238,110.09,0.04,361.35,350.55,362.35
239,110.02,0.06,361.55,350.75,362.55
240,110.06,0.04,361.95,351.25,362.85
241,110.17,0.07,362.45,351.65,363.15
242,110.09,0.03,362.65,351.85,363.35
243,109.97,-0.10,363.05,352.25,363.65
244,109.91,-0.03,363.45,352.65,363.95
245,109.86,0.12,363.65,352.85,364.15
246,109.83,0.09,364.05,353.25,364.45
247,109.82,0.06,364.45,353.55,364.75
248,109.82,0.04,364.65,353.75,364.95
249,109.81,0.02,365.05,354.15,365.25
250,109.77,0.00,365.35,354.55,365.55
251,109.71,-0.00,365.55,354.65,365.65
252,109.67,0.02,365.95,355.05,365.95
253,109.58,0.06,366.35,355.45,366.25
254,109.42,0.05,366.55,355.65,366.45
255,109.38,0.06,366.85,355.95,366.65
256,109.36,0.14,367.25,356.35,366.95
257,109.32,0.11,367.35,356.55,367.15
258,109.38,0.02,367.75,356.85,367.45
259,109.36,0.04,368.15,357.25,367.75
260,109.34,-0.01,368.25,357.45,367.85
261,109.30,-0.03,368.55,357.75,368.15
262,109.20,0.02,368.95,358.15,368.45
263,109.17,0.02,369.15,358.25,368.55
264,109.17,0.08,369.45,358.65,368.85
265,109.11,0.07,369.75,358.95,369.05
266,109.05,0.01,369.95,359.15,369.25
267,109.05,0.03,370.25,359.45,369.45
268,109.15,0.07,370.55,359.85,369.75
269,109.15,0.04,370.75,359.95,369.85
270,108.96,-0.07,371.05,360.25,370.15
271,108.86,-0.07,371.35,360.65,370.35
272,108.82,0.11,371.55,360.75,370.55
273,108.78,0.16,371.85,361.15,370.75
274,108.80,0.06,372.15,361.45,371.05
275,108.83,0.04,372.35,361.55,371.15
276,108.74,0.02,372.65,361.85,371.35
277,108.67,-0.04,372.95,362.25,371.65
278,108.59,0.03,373.15,362.35,371.75
279,108.49,0.09,373.45,362.65,371.95
280,108.46,0.07,373.75,362.95,372.15
281,108.47,0.09,373.85,363.15,372.25
282,108.49,0.07,374.15,363.45,372.55
283,108.45,0.01,374.45,363.75,372.75
284,108.46,-0.02,374.65,363.95,372.85
285,108.42,0.02,374.85,364.15,373.05
286,108.35,0.02,375.15,364.45,373.25
287,108.29,0.01,375.25,364.65,373.35
288,108.24,0.06,375.55,364.95,373.65
289,108.15,0.07,375.75,365.25,373.85
290,108.13,0.05,375.95,365.35,373.95
291,108.11,0.08,376.25,365.65,374.15
292,108.05,0.06,376.55,365.95,374.35
293,107.99,0.01,376.55,366.15,374.45
294,107.95,0.04,376.85,366.35,374.65
295,107.95,0.07,377.15,366.65,374.85
296,107.90,0.05,377.25,366.85,374.95
297,107.80,0.02,377.45,367.15,375.05
298,107.78,0.02,377.65,367.35,375.25
299,107.68,0.09,377.85,367.55,375.35
300,107.63,0.06,378.05,367.85,375.55
301,107.59,0.06,378.25,368.05,375.75
302,107.59,0.09,378.25,368.25,375.85
303,107.57,0.04,378.45,368.55,376.05
304,107.58,0.02,378.65,368.85,376.15
305,107.56,0.01,378.75,368.95,376.25
306,107.49,0.00,378.85,369.25,376.45
307,107.40,0.00,378.95,369.55,376.55
308,107.33,0.05,379.05,369.65,376.65
309,107.29,0.08,379.15,369.95,376.85
310,107.35,0.08,379.25,370.25,376.95
311,107.44,0.07,379.25,370.35,377.05
312,107.43,-0.01,379.35,370.65,377.25
313,107.30,-0.09,379.45,370.95,377.35
314,107.13,-0.05,379.55,371.05,377.45
315,107.02,0.07,379.55,371.35,377.55
316,106.94,0.17,379.65,371.65,377.75
317,106.87,0.14,379.65,371.75,377.85
318,106.84,0.09,379.75,372.05,377.95
319,106.85,0.07,379.85,372.35,378.15
320,106.87,0.05,379.85,372.45,378.15
321,106.89,0.01,379.95,372.75,378.25
322,106.86,-0.02,379.95,373.05,378.45
323,106.81,-0.03,379.95,373.15,378.45
324,106.74,0.00,380.05,373.45,378.65
325,106.67,0.04,380.05,373.65,378.75
326,106.59,0.06,380.05,373.85,378.85
327,106.62,0.08,380.15,374.15,378.95
328,106.58,0.09,380.15,374.45,379.05
329,106.40,0.02,380.15,374.55,379.15
330,106.37,-0.02,380.25,374.85,379.25
331,106.46,0.13,380.35,375.05,379.35
332,106.54,0.12,380.35,375.25,379.45
333,106.56,-0.04,380.35,375.45,379.55
334,106.52,-0.10,380.35,375.75,379.65
335,106.42,-0.05,380.45,375.85,379.75
336,106.35,0.01,380.45,376.05,379.85
337,106.34,0.07,380.55,376.15,379.95
338,106.27,0.09,380.55,376.25,379.95
339,106.18,0.04,380.55,376.45,380.05
340,106.11,0.03,380.55,376.55,380.15
341,106.13,0.08,380.65,376.55,380.25
342,106.17,0.09,380.65,376.75,380.35
343,106.17,0.02,380.65,376.85,380.45
344,106.08,-0.04,380.75,376.85,380.45
345,105.95,-0.02,380.75,376.95,380.65
346,105.84,0.04,380.85,377.05,380.65
347,105.72,0.11,380.85,377.05,380.75
348,105.65,0.12,380.85,377.15,380.85
349,105.68,0.12,380.85,377.25,380.95
350,105.74,0.11,380.85,377.25,380.95
351,105.67,0.02,380.95,377.35,381.05
352,105.55,-0.07,380.95,377.35,381.15
353,105.46,-0.01,380.95,377.35,381.15
354,105.48,0.11,380.95,377.45,381.25
355,105.47,0.12,381.05,377.45,381.25
356,105.42,0.03,381.05,377.45,381.35
357,105.44,-0.02,381.05,377.55,381.45
358,105.39,0.03,381.15,377.55,381.45
359,105.33,0.01,381.15,377.55,381.45
360,105.26,0.01,381.15,377.65,381.55
361,105.30,0.06,381.25,377.65,381.65
362,105.21,0.08,381.25,377.65,381.65
363,105.07,0.01,381.25,377.75,381.75
364,105.09,0.01,381.35,377.75,381.85
365,105.15,0.14,381.35,377.75,381.85
366,105.10,0.07,381.35,377.85,381.95
367,105.01,-0.06,381.35,377.85,381.95
368,104.99,-0.01,381.45,377.85,382.05
369,105.03,0.08,381.45,377.85,382.05
370,104.99,0.06,381.55,377.95,382.15
371,104.92,-0.02,381.55,377.95,382.15
372,104.81,-0.00,381.55,378.05,382.25
373,104.68,0.06,381.55,378.05,382.35
374,104.64,0.09,381.65,378.05,382.35
375,104.64,0.13,381.65,378.05,382.35
376,104.63,0.09,381.65,378.15,382.45
377,104.62,0.02,381.65,378.15,382.45
378,104.58,0.00,381.75,378.15,382.55
379,104.57,0.01,381.75,378.15,382.55
380,104.54,0.02,381.75,378.25,382.55
381,104.54,0.03,381.75,378.25,382.65
382,104.47,0.02,381.85,378.25,382.65
383,104.41,0.01,381.85,378.25,382.75
384,104.38,0.04,381.85,378.25,382.75
385,104.36,0.07,381.85,378.35,382.85
386,104.28,0.05,381.85,378.35,382.85
387,104.24,0.02,381.95,378.35,382.85
388,104.10,0.05,381.95,378.35,382.95
389,104.05,0.06,381.95,378.35,382.95
390,104.00,0.09,382.05,378.45,383.05
391,103.93,0.10,382.05,378.45,383.05
392,103.89,0.04,382.05,378.45,383.05
393,103.93,0.06,382.05,378.45,383.15
394,104.00,0.07,382.15,378.55,383.15
395,103.93,-0.00,382.15,378.55,383.25
396,103.88,-0.08,382.15,378.55,383.25
397,103.85,-0.00,382.15,378.55,383.35
398,103.83,0.08,382.25,378.55,383.35
399,103.81,0.05,382.25,378.55,383.35
400,103.78,0.02,382.25,378.65,383.45
401,103.74,0.01,382.25,378.65,383.45
402,103.71,0.03,382.35,378.65,383.45
403,103.65,0.04,382.35,378.65,383.45
404,103.54,0.03,382.35,378.75,383.55
405,103.37,0.04,382.45,378.75,383.55
406,103.30,0.08,382.45,378.75,383.65
407,103.43,0.15,382.45,378.75,383.65
408,103.52,0.14,382.45,378.75,383.75
409,103.43,-0.04,382.55,378.75,383.75
410,103.34,-0.14,382.55,378.75,383.75
411,103.30,0.01,382.55,378.85,383.75
412,103.32,0.11,382.55,378.85,383.85
413,103.33,0.07,382.55,378.85,383.85
414,103.32,0.01,382.65,378.95,383.95
415,103.28,-0.03,382.65,378.95,383.95
416,103.27,-0.00,382.75,378.95,383.95
417,103.21,0.03,382.75,378.95,384.05
418,103.17,0.03,382.75,378.95,384.05
419,103.17,0.04,382.75,378.95,384.05
420,103.14,0.05,382.85,379.05,384.15
421,103.16,0.02,382.85,379.05,384.15
422,103.09,0.02,382.85,379.05,384.25
423,102.98,-0.00,382.85,379.05,384.25
424,102.87,0.02,382.95,379.05,384.25
425,102.79,0.09,382.95,379.05,384.35
426,102.71,0.12,382.95,379.15,384.35
427,102.66,0.10,383.05,379.15,384.35
428,102.72,0.07,383.05,379.15,384.35
429,102.81,0.07,383.05,379.15,384.45
430,102.72,-0.00,383.05,379.15,384.45
431,102.66,-0.10,383.15,379.15,384.55
432,102.65,0.00,383.15,379.25,384.55
433,102.60,0.09,383.15,379.25,384.65
434,102.51,0.03,383.25,379.25,384.65
435,102.44,0.02,383.25,379.25,384.65
436,102.41,0.08,383.25,379.25,384.75
437,102.39,0.08,383.25,379.25,384.75
438,102.34,0.05,383.35,379.25,384.75
439,102.34,0.02,383.35,379.25,384.85
440,102.33,0.04,383.35,379.35,384.85
441,102.25,0.03,383.45,379.35,384.85
442,102.20,-0.01,383.45,379.35,384.95
443,102.19,0.05,383.45,379.35,384.95
444,102.20,0.08,383.45,379.35,384.95
445,102.24,0.03,383.55,379.45,385.05
446,102.19,0.00,383.55,379.45,385.05
447,102.16,-0.03,383.55,379.45,385.15
448,102.14,0.01,383.65,379.45,385.15
449,102.09,0.05,383.65,379.45,385.15
450,102.04,0.02,383.65,379.45,385.15
451,101.92,0.03,383.65,379.45,385.15
452,101.84,0.05,383.75,379.55,385.25
453,101.77,0.09,383.75,379.55,385.25
454,101.77,0.10,383.75,379.55,385.25
455,101.76,0.08,383.75,379.55,385.35
456,101.77,0.04,383.75,379.55,385.35
457,101.69,0.00,383.85,379.55,385.35
458,101.62,-0.01,383.85,379.55,385.45
459,101.64,0.03,383.85,379.65,385.45
460,101.64,0.09,383.85,379.65,385.45
461,101.58,0.02,383.95,379.65,385.45
462,101.46,-0.02,383.95,379.65,385.55
463,101.42,0.03,383.95,379.65,385.55
464,101.43,0.10,383.95,379.65,385.55
465,101.40,0.09,384.05,379.65,385.65
466,101.37,0.00,384.05,379.75,385.65
467,101.32,0.01,384.05,379.75,385.65
468,101.23,0.03,384.15,379.75,385.75
469,101.17,0.04,384.15,379.75,385.75
470,101.11,0.07,384.15,379.75,385.75
471,101.03,0.08,384.25,379.75,385.75
472,101.02,0.06,384.25,379.75,385.85
473,101.06,0.07,384.25,379.85,385.85
474,101.03,0.05,384.35,379.85,385.95
475,100.98,-0.03,384.35,379.85,385.95
476,100.96,-0.01,384.35,379.85,385.95
477,100.92,0.05,384.35,379.85,385.95
478,100.98,0.04,384.45,379.85,386.05
479,101.01,0.03,384.45,379.85,386.05
480,100.88,-0.01,384.45,379.95,386.05
481,100.81,-0.06,384.55,379.95,386.15
482,100.82,0.05,384.55,379.95,386.15
483,100.79,0.12,384.65,379.95,386.25
484,100.73,0.02,384.65,380.05,386.25
485,100.69,0.00,384.65,380.05,386.25
486,100.70,0.05,384.75,380.05,386.35
487,100.69,0.06,384.75,380.05,386.35
488,100.59,0.01,384.75,380.05,386.35
489,100.51,-0.01,384.85,380.05,386.45
490,100.53,0.06,384.85,380.05,386.45
491,100.55,0.11,384.85,380.05,386.45
492,100.53,0.03,384.95,380.05,386.55
493,100.48,-0.03,384.95,380.15,386.55
494,100.42,-0.01,384.95,380.15,386.55
495,100.38,0.04,385.05,380.15,386.65
496,100.33,0.06,385.05,380.15,386.65
497,100.27,0.05,385.15,380.15,386.65
498,100.23,0.04,385.15,380.25,386.75
499,100.15,0.06,385.15,380.25,386.75
500,100.04,0.05,385.15,380.25,386.85
501,100.02,0.05,385.25,380.25,386.85
502,100.05,0.10,385.25,380.25,386.85
503,100.04,0.07,385.35,380.25,386.85
504,99.97,-0.01,385.35,380.25,386.95
505,99.95,-0.01,385.35,380.25,386.95
506,99.98,0.04,385.45,380.25,386.95
507,99.95,0.05,385.45,380.35,387.05
508,99.95,-0.01,385.55,380.35,387.05
509,99.93,0.00,385.55,380.35,387.15
510,99.80,0.02,385.55,380.35,387.15
511,99.74,-0.00,385.65,380.35,387.15
512,99.76,0.08,385.65,380.35,387.15
513,99.74,0.11,385.65,380.35,387.25
514,99.70,0.01,385.75,380.45,387.25
515,99.69,-0.01,385.75,380.45,387.35
516,99.61,0.04,385.85,380.45,387.35
517,99.52,0.02,385.85,380.45,387.45
518,99.51,0.04,385.85,380.45,387.45
519,99.41,0.09,385.95,380.55,387.45
520,99.33,0.04,386.05,380.55,387.55
521,99.39,0.05,386.05,380.55,387.55
522,99.43,0.11,386.05,380.55,387.55
523,99.38,0.01,386.15,380.65,387.65
524,99.25,-0.07,386.15,380.65,387.65
525,99.17,-0.00,386.25,380.65,387.75
526,99.15,0.11,386.25,380.65,387.75
527,99.21,0.12,386.25,380.65,387.75
528,99.29,0.05,386.35,380.65,387.85
529,99.30,-0.02,386.35,380.65,387.85
530,99.24,-0.09,386.45,380.75,387.85
531,99.18,-0.05,386.45,380.75,387.95
532,99.15,0.04,386.55,380.75,388.05
533,99.05,0.07,386.55,380.75,388.05
534,99.02,0.04,386.65,380.85,388.05
535,99.00,0.06,386.65,380.85,388.15
536,98.93,0.07,386.75,380.85,388.15
537,98.88,0.02,386.75,380.85,388.25
538,98.86,0.04,386.85,380.85,388.25
539,98.79,0.07,386.85,380.85,388.25
540,98.66,0.03,386.85,380.85,388.35
541,98.53,0.03,386.95,380.95,388.35
542,98.56,0.11,386.95,380.95,388.35
543,98.68,0.15,387.05,380.95,388.45
544,98.86,0.06,387.05,380.95,388.45
545,98.65,-0.08,387.15,380.95,388.45
546,98.52,-0.19,387.15,380.95,388.55
547,98.53,0.02,387.25,380.95,388.55
548,98.57,0.21,387.25,381.05,388.65
549,98.54,0.06,387.35,381.05,388.65
550,98.50,-0.04,387.35,381.05,388.75
551,98.65,-0.01,387.45,381.05,388.75
552,98.74,0.06,387.45,381.05,388.85
553,98.57,-0.06,387.55,381.15,388.85
554,98.35,-0.16,387.55,381.15,388.85
555,98.29,0.04,387.55,381.15,388.95
556,98.25,0.23,387.65,381.25,389.05
557,98.22,0.15,387.75,381.25,389.05
558,98.24,0.04,387.75,381.25,389.05
559,98.25,0.04,387.85,381.25,389.15
560,98.23,0.00,387.85,381.25,389.15
561,98.18,-0.02,387.95,381.25,389.25
562,98.06,0.01,388.05,381.35,389.25
563,98.01,0.03,388.05,381.35,389.35
564,98.02,0.09,388.15,381.35,389.45
565,98.03,0.10,388.15,381.35,389.45
566,97.99,0.02,388.25,381.35,389.45
567,97.95,-0.02,388.35,381.45,389.55
568,97.93,0.01,388.35,381.45,389.55
569,97.90,0.05,388.45,381.45,389.65
570,97.94,0.03,388.45,381.45,389.65
571,97.86,0.03,388.55,381.45,389.75
572,97.70,-0.02,388.55,381.55,389.75
573,97.62,0.01,388.65,381.55,389.85
574,97.64,0.14,388.75,381.55,389.95
575,97.59,0.13,388.75,381.55,389.95
576,97.51,0.02,388.85,381.65,390.05
577,97.44,0.00,388.85,381.65,390.05
578,97.47,0.07,388.95,381.65,390.15
579,97.52,0.09,389.05,381.65,390.25
580,97.51,0.02,389.05,381.75,390.25
581,97.47,-0.05,389.15,381.75,390.25
582,97.36,-0.03,389.25,381.75,390.35
583,97.31,0.03,389.25,381.75,390.45
584,97.35,0.08,389.35,381.85,390.45
585,97.31,0.09,389.45,381.85,390.55
586,97.18,-0.00,389.45,381.85,390.55
587,97.20,-0.01,389.55,381.85,390.65
588,97.29,0.10,389.55,381.85,390.75
589,97.25,0.07,389.75,381.95,390.85
590,97.13,-0.07,389.75,381.95,390.85
591,97.05,-0.04,389.85,381.95,390.95
592,97.01,0.09,389.95,381.95,391.05
593,96.96,0.11,389.95,382.05,391.05
594,96.89,0.06,390.05,382.05,391.15
595,96.99,0.04,390.15,382.05,391.15
596,97.00,0.08,390.15,382.05,391.25
597,96.93,-0.02,390.25,382.05,391.25
598,96.89,-0.08,390.35,382.15,391.35
599,96.97,0.03,390.35,382.15,391.45
600,96.93,0.07,390.45,382.15,391.45
601,96.78,-0.03,390.55,382.15,391.55
602,96.72,-0.04,390.55,382.25,391.65
603,96.73,0.12,390.65,382.25,391.65
604,96.78,0.12,390.75,382.25,391.75
605,96.85,0.02,390.85,382.25,391.85
606,96.80,-0.03,390.95,382.35,391.85
607,96.76,-0.07,391.05,382.35,391.95
608,96.73,-0.01,391.05,382.35,392.05
609,96.62,0.05,391.15,382.35,392.05
610,96.53,0.03,391.25,382.45,392.25
611,96.49,0.07,391.25,382.45,392.25
612,96.54,0.11,391.35,382.45,392.35
613,96.46,0.07,391.45,382.55,392.45
614,96.37,-0.02,391.55,382.55,392.45
615,96.35,0.01,391.55,382.55,392.55
616,96.38,0.11,391.75,382.55,392.65
617,96.39,0.06,391.75,382.55,392.75
618,96.36,-0.02,391.85,382.65,392.85
619,96.36,-0.03,391.95,382.65,392.85
620,96.36,0.02,392.05,382.65,392.95
621,96.26,0.01,392.05,382.75,393.05
622,96.14,-0.01,392.25,382.75,393.15
623,96.06,0.05,392.25,382.75,393.25
624,96.03,0.12,392.35,382.85,393.35
