Time,Sample Mass,HRR,Back Surface Temperature
[s],[g],[kW],[K]
142,71.85058594,2.402234802,358.65
143,71.76074219,2.42524704,
144,71.64074707,2.462292938,360.15
145,71.56066895,2.550772552,
146,71.45068359,2.472737579,360.65
147,71.30078125,2.525206146,
148,71.15087891,2.596190186,362.65
149,71.04089355,2.554761963,
150,70.9609375,2.587930603,363.15
151,70.85095215,2.580794678,
152,70.75097656,2.536379395,364.15
153,70.64099121,2.540449371,
154,70.50109863,2.620101624,366.15
155,70.40112305,2.709944458,
156,70.28112793,2.669028931,367.15
157,70.16113281,2.672940063,
158,70.05114746,2.701845093,367.65
159,69.94116211,2.738532715,
160,69.83117676,2.678880005,369.15
161,69.73120117,2.708991089,
162,69.61132813,2.712785645,370.15
163,69.49133301,2.661842957,
164,69.37133789,2.671322632,371.15
165,69.26147461,2.72223877,
166,69.12145996,2.707424011,373.65
167,69.01147461,2.686724854,
168,68.90148926,2.682198181,374.65
169,68.77160645,2.656521912,
170,68.6315918,2.765886536,374.65
171,68.54162598,2.718335876,
172,68.41174316,2.78735321,376.15
173,68.31164551,2.788277283,
174,68.19165039,2.72938324,377.15
175,68.04174805,2.747909241,
176,67.92175293,2.826359863,378.15
177,67.79187012,2.87089386,
178,67.6817627,2.775755005,378.65
179,67.55187988,2.839134827,
180,67.4119873,2.807814026,380.15
181,67.29199219,2.887525024,
182,67.18188477,2.827809448,381.15
183,67.09204102,2.908641052,
184,66.98205566,2.838386841,381.65
185,66.85205078,2.760488586,
186,66.75219727,2.849560852,382.65
187,66.62219238,2.853220825,
188,66.48217773,2.881297913,383.65
189,66.36218262,2.893566895,
190,66.22229004,2.846559143,384.65
191,66.10229492,2.85168335,
192,65.99230957,2.752663269,385.15
193,65.87243652,2.880099487,
194,65.75244141,2.862706604,386.65
195,65.63244629,2.829663696,
196,65.50244141,2.922872314,386.65
197,65.35253906,2.881885071,
198,65.22253418,2.986388245,387.65
199,65.0925293,2.949863281,
200,64.96264648,2.982217712,389.65
201,64.82263184,2.901778564,
202,64.70263672,2.935400391,389.65
203,64.58276367,2.957035522,
204,64.46276855,2.988345032,391.65
205,64.34277344,3.028808594,
206,64.21289063,3.009771118,391.65
207,64.08288574,2.965913391,
208,63.96289063,2.949353027,392.65
209,63.83288574,3.006348572,
210,63.69299316,2.987182312,394.15
211,63.56298828,3.127250671,
212,63.41308594,2.989325256,395.15
213,63.30310059,2.969926758,
214,63.15319824,2.977854919,395.65
215,63.00317383,3.112757263,
216,62.86328125,2.974889221,397.65
217,62.76330566,3.10461731,
218,62.65332031,3.038796997,398.65
219,62.53344727,3.118586426,
220,62.39343262,3.05760498,399.15
221,62.2434082,3.117576599,
222,62.11352539,3.190711365,400.65
223,61.99353027,3.177315063,
224,61.85351563,3.141896973,401.15
225,61.74353027,3.14289978,
226,61.61364746,3.14962738,401.65
227,61.49365234,3.095120544,
228,61.34362793,3.124496155,403.65
229,61.22375488,3.030624695,
230,61.09375,3.118208618,404.15
231,60.92370605,3.085018616,
232,60.81384277,3.135421448,405.15
233,60.66394043,3.109284973,
234,60.49389648,3.157105408,406.15
235,60.37402344,3.160351563,
236,60.23400879,3.178743591,407.65
237,60.10400391,3.159984741,
238,59.9440918,3.158944092,408.15
239,59.82409668,3.28381897,
240,59.66418457,3.313206482,409.15
241,59.4942627,3.254646912,
242,59.39428711,3.288152161,410.65
243,59.25427246,3.28851532,
244,59.12438965,3.365187683,411.65
245,58.97436523,3.371614075,
246,58.82434082,3.345075073,411.65
247,58.69445801,3.308823547,
248,58.56445313,3.301607056,412.15
249,58.40454102,3.321211548,
250,58.28466797,3.364534607,413.65
251,58.13464355,3.366405945,
252,57.97460938,3.389411926,415.65
253,57.81469727,3.431192322,
254,57.67468262,3.377045288,415.65
255,57.20483398,3.31597229,
256,58.57446289,3.321278992,417.15
257,58.04467773,3.348269958,
258,58.08459473,3.427731934,417.15
259,58.00463867,3.430852356,
260,57.87475586,3.37321106,419.15
261,58.38452148,3.381034546,
262,55.14550781,3.410216064,419.15
263,57.50476074,3.358071289,
264,57.37487793,3.39964386,420.15
265,57.27490234,3.456590881,
266,57.12487793,3.445522766,421.65
267,56.94494629,3.389399719,
268,56.79504395,3.503761292,422.15
269,56.62512207,3.518968811,
270,56.53515625,3.473623962,422.65
271,56.35510254,3.53777832,
272,56.19519043,3.550216675,424.15
273,56.04528809,3.606869202,
274,55.89526367,3.553788147,425.15
275,55.73535156,3.762704468,
276,55.61535645,3.630188293,426.15
277,55.45532227,3.632389526,
278,55.2755127,3.697305908,427.15
279,55.13549805,3.535868835,
280,54.98547363,3.728753662,427.65
281,54.82556152,3.737169495,
282,54.69555664,3.687184448,428.65
283,54.55554199,3.63300293,
284,54.38574219,3.572620544,429.65
285,54.24572754,3.762473755,
286,54.0657959,3.559555359,430.15
287,53.92578125,3.64540741,
288,53.77587891,3.633227539,431.65
289,53.60595703,3.662247925,
290,53.45593262,3.581640625,432.15
291,53.28601074,3.647688293,
292,53.15612793,3.629713745,433.15
293,52.93603516,3.62246582,
294,52.77624512,3.702861023,434.15
295,52.56616211,3.789945068,
296,52.47619629,3.729125366,436.15
297,52.32629395,3.808536987,
298,52.13635254,3.697019043,436.15
299,52.00634766,3.696152954,
300,51.81640625,3.836644592,437.65
301,51.60644531,3.834980164,
302,51.41662598,3.789073486,438.65
303,51.28662109,3.810723572,
304,51.09667969,3.900419922,439.65
305,51.04675293,3.851509399,
306,50.83666992,3.861968689,440.15
307,50.68676758,3.914628906,
308,50.53686523,3.792228394,441.15
309,50.34680176,3.870024414,
310,50.17687988,3.8299823,442.15
311,50.02697754,3.808932495,
312,49.88696289,3.803258362,443.65
313,49.74707031,3.854295654,
314,49.57702637,3.770815125,444.15
315,49.42712402,3.911983948,
316,49.27722168,3.826874695,446.15
317,49.05712891,3.814120483,
318,48.9173584,3.900435181,446.65
319,48.76733398,3.823866272,
320,48.58740234,3.873782959,447.15
321,48.4074707,3.927170105,
322,48.27746582,3.883782349,448.15
323,48.07751465,3.883608093,
324,47.92749023,3.818333435,449.65
325,47.74768066,3.918709106,
326,47.58764648,3.950047913,449.65
327,47.41772461,3.945395203,
328,47.21777344,3.964493103,450.65
329,47.08776855,3.969214172,
330,46.90795898,4.005652466,451.65
331,46.79797363,3.958476257,
332,46.60791016,3.924623718,453.65
333,46.42797852,3.984240417,
334,46.27807617,3.931104126,454.15
335,46.13806152,3.849146729,
336,45.95812988,3.938071899,454.65
337,45.74816895,3.985576172,
338,45.60827637,3.814142151,456.15
339,45.44824219,3.913700867,
340,45.25836182,3.986265564,456.65
