Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
80.16,488.0,80.091,20.031,99.482,19.875,,,9.626,,,,,,
80.657,488.5,80.09,20.03,99.479,19.872,,,9.752,,,,,,
81.141,489.0,80.092,20.03,99.477,19.87,,,9.883,,,,,,
81.623,489.5,80.093,20.028,99.475,19.867,,,9.992,,,,,,
82.122,490.0,80.091,20.03,99.473,19.864,,,10.017,,,,,,
82.613,490.5,80.091,20.029,99.471,19.862,,,10.078,,,,,,
83.081,491.0,80.093,20.029,99.466,19.86,,,10.151,,,,,,
83.566,491.5,80.091,20.028,99.464,19.854,,,10.377,,,,,,
84.051,492.0,80.093,20.031,99.464,19.852,,,10.495,,,,,,
84.53,492.5,80.086,20.031,99.462,19.848,,,10.623,,,,,,
85.047,493.0,80.088,20.027,99.462,19.847,,,10.682,,,,,,
85.524,493.5,80.09,20.03,99.462,19.842,,,10.856,,,,,,
85.995,494.0,80.092,20.027,99.464,19.841,,,10.873,,,,,,
86.505,494.5,80.095,20.028,99.463,19.836,,,11.067,,,,,,
86.953,495.0,80.091,20.031,99.466,19.834,,,11.132,,,,,,
87.447,495.5,80.089,20.029,99.469,19.832,,,11.161,,,,,,
87.94,496.0,80.092,20.032,99.473,19.833,,,11.12,,,,,,
88.458,496.5,80.092,20.029,99.474,19.828,,,11.273,,,,,,
88.916,497.0,80.09,20.031,99.476,19.826,,,11.356,,,,,,
89.367,497.5,80.092,20.03,99.478,19.822,,,11.54,,,,,,
89.857,498.0,80.088,20.03,99.479,19.82,,,11.574,,,,,,
90.348,498.5,80.089,20.03,99.482,19.817,,,11.692,,,,,,
90.826,499.0,80.094,20.03,99.484,19.815,,,11.754,,,,,,
91.332,499.5,80.092,20.029,99.489,19.81,,,11.917,,,,,,
91.867,500.0,80.096,20.028,99.491,19.805,,,12.123,,,,,,
92.341,500.5,80.092,20.03,99.489,19.806,,,12.081,,,,,,
92.78,501.0,80.09,20.03,99.486,19.805,,,12.107,,,,,,
93.227,501.5,80.093,20.03,99.483,19.801,,,12.264,,,,,,
93.672,502.0,80.093,20.03,99.48,19.797,,,12.372,,,,,,
94.12,502.5,80.091,20.029,99.479,19.798,,,12.354,,,,,,
94.648,503.0,80.095,20.027,99.479,19.795,,,12.466,,,,,,
95.144,503.5,80.091,20.028,99.481,19.79,,,12.642,,,,,,
95.605,504.0,80.091,20.029,99.479,19.788,,,12.73,,,,,,
96.154,504.5,80.091,20.03,99.476,19.785,,,12.836,,,,,,
96.623,505.0,80.096,20.029,99.473,19.782,,,12.979,,,,,,
97.073,505.5,80.097,20.031,99.47,19.777,,,13.183,,,,,,
97.512,506.0,80.09,20.029,99.473,19.774,,,13.293,,,,,,
98.008,506.5,80.097,20.029,99.48,19.772,,,13.335,,,,,,
98.513,507.0,80.095,20.03,99.485,19.768,,,13.504,,,,,,
98.965,507.5,80.096,20.03,99.489,19.765,,,13.594,,,,,,
99.479,508.0,80.093,20.03,99.489,19.762,,,13.691,,,,,,
99.993,508.5,80.094,20.03,99.485,19.755,,,13.93,,,,,,
100.482,509.0,80.087,20.03,99.487,19.755,,,13.91,,,,,,
100.977,509.5,80.096,20.03,99.489,19.748,,,14.148,,,,,,
101.438,510.0,80.093,20.03,99.489,19.748,,,14.123,,,,,,
101.989,510.5,80.089,20.03,99.494,19.742,,,14.289,,,,,,
102.427,511.0,80.089,20.028,99.495,19.739,,,14.373,,,,,,
102.909,511.5,80.089,20.029,99.496,19.737,,,14.468,,,,,,
103.412,512.0,80.092,20.03,99.499,19.73,,,14.693,,,,,,
103.864,512.5,80.094,20.031,99.502,19.725,,,14.891,,,,,,
104.351,513.0,80.095,20.029,99.504,19.72,,,15.066,,,,,,
104.826,513.5,80.093,20.029,99.507,19.716,,,15.184,,,,,,
105.325,514.0,80.09,20.029,99.508,19.713,,,15.291,,,,,,
105.812,514.5,80.088,20.03,99.509,19.707,,,15.547,,,,,,
106.285,515.0,80.09,20.029,99.51,19.702,,,15.749,,,,,,
106.764,515.5,80.091,20.029,99.513,19.696,,,15.992,,,,,,
107.257,516.0,80.094,20.03,99.516,19.691,,,16.19,,,,,,
107.764,516.5,80.093,20.03,99.519,19.689,,,16.297,,,,,,
108.246,517.0,80.09,20.03,99.52,19.685,,,16.43,,,,,,
108.713,517.5,80.093,20.03,99.521,19.681,,,16.55,,,,,,
109.199,518.0,80.093,20.03,99.521,19.678,,,16.651,,,,,,
109.695,518.5,80.093,20.029,99.524,19.672,,,16.85,,,,,,
110.193,519.0,80.094,20.029,99.526,19.663,,,17.198,,,,,,
110.692,519.5,80.092,20.03,99.529,19.658,,,17.388,,,,,,
111.196,520.0,80.094,20.029,99.531,19.651,,,17.656,,,,,,
111.679,520.5,80.09,20.03,99.532,19.643,,,17.927,,,,,,
112.137,521.0,80.092,20.031,99.53,19.642,,,17.935,,,,,,
112.608,521.5,80.092,20.03,99.529,19.634,,,18.23,,,,,,
113.119,522.0,80.091,20.03,99.528,19.628,,,18.435,,,,,,
113.644,522.5,80.095,20.029,99.529,19.623,,,18.657,,,,,,
114.141,523.0,80.091,20.028,99.533,19.614,,,18.978,,,,,,
114.591,523.5,80.091,20.028,99.535,19.607,,,19.258,,,,,,
115.077,524.0,80.091,20.03,99.538,19.601,,,19.484,,,,,,
115.572,524.5,80.091,20.027,99.542,19.592,,,19.773,,,,,,
116.066,525.0,80.089,20.03,99.545,19.585,,,20.041,,,,,,
116.564,525.5,80.091,20.029,99.547,19.581,,,20.183,,,,,,
117.068,526.0,80.094,20.029,99.556,19.57,,,20.583,,,,,,
117.594,526.5,80.093,20.031,99.561,19.562,,,20.882,,,,,,
118.043,527.0,80.093,20.029,99.567,19.555,,,21.119,,,,,,
118.536,527.5,80.086,20.029,99.572,19.547,,,21.443,,,,,,
119.027,528.0,80.088,20.03,99.576,19.537,,,21.804,,,,,,
119.494,528.5,80.093,20.029,99.58,19.527,,,22.197,,,,,,
120.009,529.0,80.091,20.026,99.582,19.519,,,22.499,,,,,,
120.518,529.5,80.091,20.03,99.584,19.512,,,22.788,,,,,,
121.014,530.0,80.091,20.032,99.586,19.504,,,23.056,,,,,,
121.514,530.5,80.094,20.029,99.59,19.498,,,23.299,,,,,,
122.026,531.0,80.089,20.031,99.586,19.49,,,23.598,,,,,,
122.522,531.5,80.091,20.028,99.587,19.482,,,23.874,,,,,,
123.03,532.0,80.092,20.03,99.587,19.471,,,24.248,,,,,,
123.508,532.5,80.091,20.029,99.588,19.463,,,24.556,,,,,,
123.988,533.0,80.093,20.03,99.59,19.451,,,24.995,,,,,,
124.49,533.5,80.094,20.029,99.594,19.443,,,25.275,,,,,,
124.986,534.0,80.095,20.031,99.598,19.43,,,25.757,,,,,,
125.457,534.5,80.091,20.03,99.602,19.423,,,26.051,,,,,,
125.975,535.0,80.093,20.029,99.605,19.416,,,26.256,,,,,,
126.485,535.5,80.092,20.029,99.607,19.401,,,26.852,,,,,,
126.977,536.0,80.097,20.03,99.612,19.39,,,27.285,,,,,,
127.471,536.5,80.089,20.03,99.615,19.38,,,27.646,,,,,,
127.977,537.0,80.098,20.031,99.62,19.369,,,28.054,,,,,,
128.451,537.5,80.092,20.028,99.625,19.356,,,28.498,,,,,,
128.918,538.0,80.09,20.029,99.628,19.345,,,28.908,,,,,,
129.423,538.5,80.093,20.031,99.63,19.334,,,29.34,,,,,,
129.913,539.0,80.094,20.03,99.632,19.322,,,29.762,,,,,,
130.413,539.5,80.098,20.03,99.635,19.308,,,30.291,,,,,,
130.917,540.0,80.096,20.031,99.639,19.298,,,30.633,,,,,,
131.414,540.5,80.093,20.03,99.645,19.29,,,30.908,,,,,,
131.904,541.0,80.09,20.03,99.648,19.279,,,31.322,,,,,,
132.418,541.5,80.09,20.03,99.655,19.265,,,31.842,,,,,,
132.956,542.0,80.093,20.029,99.659,19.253,,,32.297,,,,,,
133.426,542.5,80.089,20.03,99.662,19.242,,,32.711,,,,,,
133.932,543.0,80.092,20.027,99.666,19.229,,,33.201,,,,,,
134.422,543.5,80.093,20.03,99.669,19.218,,,33.597,,,,,,
134.95,544.0,80.093,20.029,99.673,19.203,,,34.155,,,,,,
135.419,544.5,80.09,20.032,99.675,19.193,,,34.525,,,,,,
135.924,545.0,80.089,20.029,99.679,19.178,,,35.048,,,,,,
136.424,545.5,80.091,20.027,99.683,19.165,,,35.524,,,,,,
136.917,546.0,80.09,20.03,99.686,19.15,,,36.092,,,,,,
137.394,546.5,80.091,20.028,99.689,19.137,,,36.532,,,,,,
