Time (s),Mass (g),TC Back (K),TC Top (K)
174,9.215,370.5,
175,9.237,371,
176,9.211,371.5,
177,9.209,371.9,
178,9.206,372.4,
179,9.168,372.9,
180,9.156,373.3,
181,9.118,373.8,
182,9.124,374.4,
183,9.118,374.9,
184,9.115,375.5,
185,9.121,376.1,
186,9.068,376.7,
187,9.047,377.2,
188,9.012,377.8,
189,9.001,378.5,
190,9.001,379.1,
191,8.948,379.7,
192,8.953,380.3,
193,8.971,381,
194,8.965,381.7,
195,8.957,382.4,
196,8.963,383.1,
197,8.943,383.7,
198,8.92,384.4,
199,8.902,385.1,
200,8.905,385.9,
201,8.881,386.6,
202,8.877,387.3,
203,8.887,388,
204,8.882,388.8,
205,8.871,389.6,
206,8.823,390.3,
207,8.792,390.9,
208,8.77,391.7,
209,8.784,392.4,
210,8.743,393.1,
211,8.719,393.9,
212,8.716,394.6,
213,8.706,395.4,
214,8.723,396.1,
215,8.725,396.9,
216,8.712,397.7,
217,8.716,398.4,
218,8.659,399.1,
219,8.581,399.9,
220,8.596,400.6,
221,8.615,401.4,
222,8.567,402.1,
223,8.545,402.8,
224,8.558,403.5,
225,8.546,404.3,
226,8.533,405,
227,8.523,405.7,
228,8.495,406.5,
229,8.483,407.1,
230,8.478,407.8,
231,8.452,408.5,
232,8.458,409.3,
233,8.449,409.9,
234,8.432,410.6,
235,8.411,411.3,
236,8.345,412,
237,8.363,412.6,
238,8.399,413.3,
239,8.353,414,
240,8.344,414.6,
241,8.304,415.3,
242,8.295,415.9,
243,8.33,416.6,
244,8.328,417.2,
245,8.315,417.9,
246,8.258,418.5,
247,8.252,419.2,
248,8.228,419.8,
249,8.24,420.3,
250,8.191,420.9,
251,8.191,421.6,
252,8.178,422.2,
253,8.189,422.8,
254,8.153,423.4,
255,8.082,423.9,
256,8.141,424.4,
257,8.127,425,
258,8.102,425.6,
259,8.125,426.2,
260,8.083,426.7,
261,8.036,427.3,
262,8.023,427.7,
263,8.067,428.2,
264,8.04,428.9,
265,8.009,429.3,
266,7.998,429.9,
267,7.96,430.4,
268,7.957,430.9,
269,7.96,431.4,
270,7.96,431.9,
271,7.951,432.5,
272,7.885,432.9,
273,7.836,433.4,
274,7.843,433.9,
275,7.839,434.3,
276,7.849,434.9,
277,7.826,435.3,
278,7.769,435.9,
279,7.751,436.2,
280,7.785,436.7,
281,7.765,437.2,
282,7.742,437.6,
283,7.723,438.1,
284,7.703,438.4,
285,7.705,438.8,
286,7.7,439.2,
287,7.669,439.7,
288,7.636,440.1,
289,7.619,440.4,
290,7.6,441,
291,7.588,441.4,
292,7.6,441.8,
293,7.586,442.1,
294,7.576,442.6,
295,7.566,442.9,
296,7.533,443.3,
297,7.494,443.7,
298,7.472,444.1,
299,7.475,444.5,
300,7.524,444.9,
301,7.47,445.2,
302,7.405,445.6,
303,7.393,446,
304,7.369,446.3,
305,7.376,446.7,
306,7.391,447.1,
307,7.385,447.4,
308,7.345,447.7,
309,7.329,448,
310,7.322,448.4,
311,7.329,448.8,
312,7.322,449.1,
313,7.288,449.4,
314,7.254,449.7,
315,7.248,450.1,
316,7.186,450.4,
317,7.14,450.7,
318,7.19,451,
319,7.178,451.4,
320,7.188,451.7,
321,7.182,451.9,
322,7.111,452,
323,7.094,452.2,
324,7.126,452.5,
325,7.122,452.8,
326,7.091,453.1,
327,7.094,453.5,
328,7.075,453.7,
329,7.062,453.9,
330,7.06,454.3,
331,7.005,454.6,
332,6.985,454.7,
333,6.998,455.1,
334,6.973,455.4,
335,6.968,455.6,
336,6.952,456,
337,6.906,456.1,
338,6.912,456.5,
339,6.9,456.7,
340,6.858,457,
341,6.896,457.2,
342,6.866,457.4,
343,6.807,457.4,
344,6.803,457.9,
345,6.782,458.1,
346,6.79,458.3,
347,6.783,458.6,
348,6.742,458.8,
349,6.686,458.9,
350,6.716,459.1,
351,6.74,459.4,
352,6.707,459.5,
353,6.66,459.8,
354,6.665,460,
355,6.627,460.1,
356,6.616,460.4,
357,6.643,460.7,
358,6.629,460.8,
359,6.599,461.1,
360,6.619,461.2,
361,6.552,461.5,
362,6.519,461.8,
363,6.523,462,
364,6.497,462,
365,6.491,462.2,
366,6.528,462.5,
367,6.533,462.9,
368,6.497,463,
369,6.473,463.1,
370,6.465,463.2,
371,6.442,463.4,
372,6.444,463.6,
373,6.434,463.8,
374,6.407,463.9,
375,6.384,464.1,
376,6.389,464.1,
377,6.366,464.3,
378,6.353,464.4,
379,6.333,464.7,
380,6.3,464.7,
381,6.291,464.9,
382,6.285,465.1,
383,6.303,465.1,
384,6.334,465.2,
385,6.317,465.5,
386,6.281,465.7,
387,6.242,465.7,
388,6.226,465.7,
389,6.224,466,
390,6.204,466.3,
391,6.214,466.4,
392,6.191,466.6,
393,6.134,466.5,
394,6.135,466.7,
395,6.175,466.8,
396,6.149,467,
397,6.138,467.2,
398,6.107,467.3,
399,6.098,467.5,
400,6.109,467.4,
401,6.121,467.5,
402,6.087,467.6,
403,6.053,467.9,
404,6.044,467.9,
405,6.059,467.7,
406,6.067,467.7,
407,6.047,468,
408,6.033,468.2,
409,6.008,468.3,
410,6.004,468.4,
411,6.002,468.5,
412,5.975,468.8,
413,5.991,468.9,
414,5.988,468.9,
415,5.951,468.9,
416,5.933,469.2,
417,5.934,469.5,
418,5.937,469.6,
419,5.915,469.6,
420,5.91,469.7,
421,5.873,469.9,
422,5.874,470.1,
423,5.883,470,
424,5.865,469.6,
425,5.85,469.7,
426,5.877,470.4,
427,5.814,470.7,
428,5.779,470.7,
429,5.754,471,
430,5.746,471.2,
431,5.772,471.3,
432,5.78,471.3,
433,5.779,471.5,
434,5.772,471.6,
435,5.728,471.7,
436,5.713,471.8,
437,5.741,471.9,
438,5.697,472.1,
439,5.671,472.2,
440,5.692,472.2,
441,5.688,472.4,
442,5.661,472.7,
443,5.64,472.8,
444,5.666,473.1,
445,5.641,472.9,
446,5.664,473.2,
447,5.676,473.2,
448,5.659,473.3,
449,5.618,473.4,
450,5.607,473.4,
451,5.565,473.7,
452,5.6,473.9,
453,5.626,474.1,
454,5.597,474.2,
455,5.543,474,
456,5.526,474.3,
457,5.567,474.2,
458,5.567,474.2,
459,5.551,474.6,
460,5.56,475,
461,5.504,475.2,
462,5.494,475.2,
463,5.528,475.1,
464,5.497,475.2,
465,5.482,475.4,
466,5.476,475.3,
467,5.485,475.6,
468,5.496,475.7,
469,5.467,475.9,
470,5.451,475.8,
471,5.476,475.7,
472,5.46,475.8,
473,5.42,476.1,
474,5.427,476.2,
475,5.433,476.3,
476,5.392,476.3,
477,5.384,476.4,
478,5.396,476.5,
479,5.424,476.8,
480,5.396,476.9,
481,5.33,477.1,
482,5.375,477.1,
483,5.367,477.2,
484,5.336,477.2,
485,5.352,477.4,
486,5.324,477.5,
487,5.298,477.7,
488,5.292,477.8,
489,5.309,477.8,
490,5.307,478,
491,5.299,478.1,
492,5.305,478.3,
493,5.305,478.3,
494,5.296,478.4,
495,5.275,478.4,
496,5.258,478,
497,5.259,478.4,
498,5.251,478.6,
499,5.22,478.7,
500,5.237,478.8,
501,5.258,478.7,
502,5.238,479,
503,5.241,479.1,
504,5.223,479,
505,5.235,479.2,
506,5.184,479.1,
507,5.149,479.2,
508,5.163,479.3,
509,5.192,479.5,
510,5.172,479.7,
511,5.131,479.6,
512,5.154,479.8,
513,5.173,480,
514,5.138,480,
515,5.105,480.2,
516,5.126,480.2,
517,5.101,480.2,
518,5.106,480.4,
519,5.13,480.5,
520,5.117,480.6,
521,5.11,480.9,
522,5.119,480.8,
523,5.118,480.9,
524,5.117,480.7,
525,5.065,480.6,
526,5.06,480.8,
527,5.034,481,
528,5.007,481.1,
529,4.984,481.2,
530,4.995,481.2,
531,4.98,481.5,
532,5.026,481.3,
533,5.055,481.3,
534,5.062,481.7,
535,5.02,481.7,
536,5.002,481.8,
537,4.998,481.5,
538,4.975,481.4,
539,4.966,481.9,
540,4.995,481.8,
541,4.949,481.7,
542,4.93,482.2,
543,4.942,481.9,
544,4.942,482.1,
545,4.988,482.3,
546,4.938,482.4,
547,4.908,482.5,
548,4.929,482.6,
549,4.934,482.5,
550,4.95,482.6,
551,4.95,482.9,
552,4.934,482.9,
553,4.93,482.8,
554,4.915,482.9,
555,4.885,482.9,
556,4.862,483.1,
557,4.868,483.1,
558,4.909,483.3,
559,4.909,483.4,
560,4.853,483.1,
561,4.832,483.2,
562,4.858,483.6,
563,4.857,483.5,
564,4.876,483.6,
565,4.874,483.5,
566,4.877,483.8,
567,4.86,483.6,
568,4.833,483.5,
569,4.852,483.6,
570,4.857,483.7,
571,4.863,483.9,
572,4.839,484.1,
573,4.822,484,
574,4.825,484.1,
575,4.816,484.2,
576,4.799,484.1,
577,4.783,484.2,
578,4.797,483.9,
579,4.769,484.3,
580,4.781,484.5,
581,4.783,484.4,
582,4.765,484.6,
583,4.791,484.9,
584,4.785,485.1,
585,4.765,485.2,
586,4.764,485.2,
587,4.771,485,
588,4.781,485,
589,4.771,485.2,
590,4.778,485.6,
591,4.751,485.4,
592,4.752,485.4,
593,4.745,485.5,
594,4.747,485.3,
595,4.739,485.4,
596,4.712,485.4,
597,4.701,485.6,
598,4.723,485.6,
599,4.725,485.7,
600,4.716,485.8,
601,4.739,485.7,
602,4.738,485.7,
603,4.727,485.8,
604,4.68,485.9,
605,4.648,486,
606,4.667,485.7,
607,4.703,485.5,
608,4.702,485.9,
609,4.678,485.5,
610,4.702,486.1,
611,4.704,485.9,
612,4.682,486.3,
613,4.694,486.4,
614,4.652,486.4,
615,4.62,486.1,
616,4.649,486.2,
617,4.639,486.4,
618,4.648,486.6,
619,4.653,486.6,
620,4.638,486.7,
621,4.663,486.9,
622,4.648,486.9,
623,4.614,486.7,
624,4.594,486.6,
625,4.593,486.7,
626,4.602,486.8,
627,4.637,486.6,
628,4.611,486.7,
629,4.62,486.6,
630,4.634,486.5,
631,4.598,486.8,
632,4.587,487,
633,4.603,487,
634,4.596,487.3,
635,4.6,487.3,
636,4.591,487.4,
637,4.583,487.5,
638,4.597,487.5,
639,4.562,487.5,
640,4.539,487.4,
641,4.531,487.3,
642,4.495,487.2,
643,4.514,487.4,
644,4.563,487.5,
645,4.552,487.3,
646,4.544,487.7,
647,4.523,487.4,
648,4.522,487.8,
649,4.526,488.2,
650,4.514,488.2,
651,4.539,488.1,
652,4.552,488,
653,4.528,488,
654,4.527,487.9,
655,4.514,488.2,
656,4.479,488.4,
657,4.518,488.1,
658,4.479,488.2,
659,4.483,487.9,
660,4.505,488.3,
661,4.5,488.5,
662,4.507,488.7,
663,4.515,488.5,
664,4.504,488.3,
665,4.466,488.4,
666,4.459,488.4,
667,4.47,488.6,
668,4.479,488.9,
669,4.479,488.9,
670,4.459,488.9,
671,4.443,488.5,
672,4.45,488.7,
673,4.457,488.6,
674,4.45,488.7,
675,4.458,488.5,
676,4.48,488.5,
677,4.465,488.5,
678,4.447,488.9,
679,4.46,488.9,
680,4.463,488.8,
681,4.457,488.7,
682,4.42,489,
683,4.4,489.2,
684,4.387,489.2,
685,4.4,489.1,
686,4.41,489.3,
687,4.406,489.3,
688,4.426,489.4,
689,4.407,489.5,
690,4.38,489.5,
691,4.372,489.5,
692,4.407,489.3,
693,4.415,489.4,
694,4.408,489.5,
695,4.411,489.3,
696,4.391,489.6,
697,4.382,489.6,
698,4.379,489.7,
699,4.357,489.8,
700,4.382,489.4,
701,4.398,489.4,
702,4.352,489.6,
703,4.375,489.6,
704,4.36,489.5,
705,4.366,489.5,
706,4.392,489.8,
707,4.369,489.7,
708,4.373,489.6,
709,4.352,489.9,
710,4.334,489.9,
711,4.323,489.7,
712,4.346,490,
713,4.335,489.9,
714,4.35,490,
715,4.353,490.1,
716,4.343,490.4,
717,4.335,490.3,
718,4.352,490.1,
719,4.354,490.2,
720,4.325,490.5,
721,4.321,490.5,
722,4.308,490.4,
723,4.325,490.5,
724,4.322,490.4,
725,4.311,490.3,
726,4.286,490.5,
727,4.289,490.6,
728,4.316,490.6,
729,4.303,490.4,
730,4.322,490.5,
731,4.349,490.7,
732,4.332,490.4,
733,4.34,490.9,
734,4.303,490.6,
735,4.283,490.9,
736,4.31,490.8,
737,4.293,490.6,
738,4.302,490.5,
739,4.3,490.6,
740,4.299,490.5,
741,4.278,490.6,
742,4.271,490.8,
743,4.312,490.7,
744,4.291,490.8,
745,4.267,491,
746,4.302,491.1,
747,4.295,490.9,
748,4.307,491,
749,4.31,491,
750,4.295,491.2,
751,4.257,491.3,
752,4.281,491.4,
753,4.268,491.3,
754,4.23,491.5,
755,4.213,491.3,
756,4.221,491.4,
757,4.205,491.6,
758,4.227,491.7,
759,4.244,491.6,
760,4.228,491.7,
761,4.224,491.7,
762,4.264,491.8,
763,4.282,491.9,
764,4.279,491.8,
765,4.257,491.8,
766,4.234,491.9,
767,4.248,492,
768,4.21,491.9,
769,4.213,491.9,
770,4.218,491.9,
771,4.171,491.9,
772,4.185,492,
773,4.21,492,
774,4.208,492.1,
775,4.189,492,
776,4.21,492,
777,4.21,492,
778,4.228,492,
779,4.207,492,
780,4.182,492.1,
781,4.212,492.1,
782,4.216,492.1,
783,4.198,492.1,
784,4.2,491.9,
785,4.202,492,
786,4.229,491.8,
787,4.214,492,
788,4.153,492,
789,4.2,491.7,
790,4.207,492.1,
791,4.192,492.1,
792,4.162,492.3,
793,4.148,492.3,
794,4.175,492.4,
795,4.201,492.3,
796,4.196,492.2,
797,4.17,492.2,
798,4.213,492.3,
799,4.193,492.1,
800,4.165,492.2,
801,4.155,492.1,
802,4.156,492.2,
803,4.132,492.5,
804,4.16,492.5,
805,4.172,492.3,
806,4.119,492.2,
807,4.118,492.2,
808,4.127,492.3,
809,4.135,492.6,
810,4.155,492.5,
811,4.194,492.7,
812,4.189,492.6,
813,4.15,492.6,
814,4.168,492.6,
815,4.179,492.8,
816,4.103,492.6,
817,4.075,492.6,
818,4.108,492.7,
819,4.15,492.7,
820,4.165,492.8,
821,4.158,492.7,
822,4.117,492.8,
823,4.104,492.6,
824,4.133,492.5,
825,4.154,492.7,
826,4.129,492.7,
827,4.139,492.8,
828,4.14,492.9,
829,4.146,492.9,
830,4.141,493,
831,4.136,493,
832,4.116,493,
833,4.122,493.1,
834,4.109,493.1,
835,4.104,493.2,
836,4.114,493.4,
837,4.127,493.4,
838,4.115,493.2,
839,4.121,493.1,
840,4.112,493.1,
841,4.089,493.2,
842,4.053,493.2,
843,4.068,493.2,
844,4.083,493.2,
845,4.039,493.3,
846,4.071,493.3,
847,4.094,493.3,
848,4.081,493.3,
849,4.078,493.2,
850,4.076,492.7,
851,4.1,493.2,
852,4.085,493.1,
853,4.045,493.3,
854,4.036,493.3,
855,4.039,493.3,
856,4.034,493.3,
857,4.047,493.2,
858,4.075,493.2,
859,4.088,493.2,
860,4.093,493.4,
861,4.076,493.5,
862,4.084,493.3,
863,4.077,493.3,
864,4.078,492.9,
865,4.069,493.5,
866,4.079,493.5,
867,4.052,493.7,
868,4.044,493.7,
869,4.063,493.7,
870,4.077,493.7,
871,4.091,493.5,
872,4.056,493.5,
873,4.045,493.2,
874,4.059,493.7,
875,4.053,493.5,
876,4.048,493.5,
877,4.007,493.6,
878,3.996,493.5,
879,3.994,493.5,
880,4.005,493.4,
881,4.044,493.5,
882,4.056,493.7,
883,4.064,493.8,
884,4.084,493.7,
885,4.04,493.7,
886,4.059,493.8,
887,4.074,493.7,
888,4.057,493.8,
889,4.034,493.7,
890,4.02,493.9,
891,4.061,494,
892,4.034,494,
893,3.995,494,
894,4.024,494,
895,4.034,494.1,
896,4.042,494.1,
897,4.013,494.1,
898,3.982,494.1,
899,3.991,494.1,
900,3.991,494,
901,4.006,493.7,
902,4.043,493.9,
903,4.015,494,
904,4,494,
905,4.018,494.2,
906,4.041,494.2,
907,4.004,494.2,
908,3.988,494.2,
909,3.984,494.2,
910,3.961,494.3,
911,3.966,494.2,
912,3.992,494.1,
913,3.996,494,
914,3.98,494.3,
915,3.971,494.4,
916,3.98,494,
917,3.973,494.4,
918,3.987,494.4,
919,3.997,494.3,
920,3.983,494.5,
921,3.992,494.3,
922,4.002,494.6,
923,3.985,494.5,
924,3.973,494.4,
925,3.997,494.4,
926,3.957,494.5,
927,3.923,494.5,
928,3.958,494.6,
929,3.96,494.7,
930,3.965,494.6,
931,3.971,494.6,
932,3.954,494.7,
933,3.953,494.8,
934,3.963,494.8,
935,3.951,494.8,
936,3.918,494.8,
937,3.965,494.7,
938,3.984,494.6,
939,3.963,494.6,
940,3.989,494.6,
941,3.997,494.7,
942,3.966,494.7,
943,3.916,494.8,
944,3.929,494.8,
945,3.979,494.7,
946,3.963,494.8,
947,3.974,494.8,
948,4.005,494.6,
949,3.977,494.7,
950,3.95,494.8,
951,3.929,494.8,
952,3.936,494.9,
953,3.937,495,
954,3.934,494.9,
955,3.938,494.8,
956,3.938,494.8,
957,3.92,494.9,
958,3.948,494.9,
959,3.993,494.8,
960,3.918,494.8,
961,3.92,494.8,
962,3.952,494.8,
963,3.944,494.8,
964,3.931,494.8,
965,3.944,494.7,
966,3.958,494.9,
967,3.948,494.9,
968,3.965,494.8,
969,3.942,494.8,
970,3.947,494.8,
971,3.939,494.9,
972,3.927,494.9,
973,3.946,494.9,
974,3.931,494.9,
975,3.913,494.9,
976,3.929,495,
977,3.938,495,
978,3.939,494.8,
979,3.908,494.8,
980,3.897,494.9,
981,3.896,494.9,
982,3.874,494.9,
983,3.864,494.9,
984,3.885,495,
985,3.914,494.9,
986,3.884,495.1,
987,3.878,495.1,
988,3.883,495,
989,3.836,495.1,
990,3.869,494.9,
991,3.891,494.9,
992,3.892,495.1,
993,3.911,495.1,
994,3.923,495.2,
995,3.912,495.3,
996,3.919,495,
997,3.936,495.2,
998,3.928,495.2,
999,3.892,495.3,
1000,3.897,495.2,
1001,3.889,495.2,
1002,3.856,495.1,
1003,3.839,495.2,
1004,3.891,495.3,
1005,3.911,495.2,
1006,3.893,495.3,
1007,3.875,495.3,
1008,3.855,495.1,
1009,3.894,494.9,
1010,3.907,494.9,
1011,3.907,494.9,
1012,3.905,495,
1013,3.878,495.1,
1014,3.86,495.2,
1015,3.863,495,
1016,3.86,495,
1017,3.873,495.2,
1018,3.867,495.3,
1019,3.89,495.4,
1020,3.888,495.3,
1021,3.881,495.2,
1022,3.83,495.3,
1023,3.782,495.3,887.6
1024,3.826,495.2,899.7
1025,3.851,495.3,909.4
1026,3.866,495.3,905.9
1027,3.86,495.3,908.7
1028,3.827,495.4,908.3
1029,3.86,495.4,909.5
1030,3.867,495.4,906.6
1031,3.825,495.5,909.8
1032,3.831,495.5,909.3
1033,3.826,495.6,907.5
1034,3.847,495.6,907.8
1035,3.885,495.6,909.1
1036,3.878,495.3,908.3
1037,3.85,495.3,904.6
1038,3.813,495.5,907
1039,3.855,495.6,908.3
1040,3.839,495.6,909.8
1041,3.854,495.6,911.4
1042,3.869,495.6,910.4
1043,3.83,495.6,909.3
1044,3.838,495.7,908.7
1045,3.845,495.7,911.8
1046,3.872,495.6,914.7
1047,3.838,495.7,910.5
1048,3.792,495.7,906.8
1049,3.787,495.7,909.8
1050,3.828,495.7,912.5
1051,3.83,495.8,912.2
1052,3.864,495.8,912.4
1053,3.851,495.7,909.2
1054,3.81,495.6,906.7
1055,3.803,495.8,907
1056,3.849,495.9,909
1057,3.86,495.9,912.6
1058,3.851,495.9,909.5
1059,3.851,495.9,906.6
1060,3.826,496,909.6
1061,3.826,496,911.6
1062,3.826,496,910.8
1063,3.834,495.9,907.7
1064,3.845,495.8,910.7
1065,3.863,495.8,910.7
1066,3.849,495.9,911
1067,3.818,495.9,917
1068,3.828,495.9,914.6
1069,3.832,495.9,909.1
1070,3.814,496,911
1071,3.831,496,909.5
1072,3.837,496,912.6
1073,3.806,496,911.4
1074,3.781,495.9,911.2
1075,3.769,495.9,912.6
1076,3.79,496,910
1077,3.828,495.9,911.3
1078,3.813,495.9,909.3
1079,3.819,495.8,915.7
1080,3.837,496,911.8
1081,3.83,496,908.6
1082,3.829,496,918.7
1083,3.818,496,915.7
1084,3.82,496,917.4
1085,3.812,496.1,914.4
1086,3.824,496.1,908.5
1087,3.867,496.1,911.9
1088,3.818,496.1,910.5
1089,3.792,496,913.1
1090,3.793,496.1,912.2
1091,3.792,496.1,910.6
1092,3.808,496.2,912.1
1093,3.796,496.2,917.1
1094,3.792,496.2,915.8
1095,3.807,496.2,913.4
1096,3.796,496.2,917
1097,3.811,496,915.4
1098,3.796,496.2,910.3
1099,3.798,496.1,912
1100,3.812,496.1,915.3
1101,3.784,496.1,911.5
1102,3.801,496.2,921
1103,3.774,496.3,922.8
1104,3.771,496.3,910.9
1105,3.796,496.4,914
1106,3.771,496.2,916.9
1107,3.75,496.2,914.2
1108,3.753,496.4,911.2
1109,3.788,496.3,910.6
1110,3.8,496.4,915.8
1111,3.767,496.3,918.7
1112,3.765,496.3,913.9
1113,3.783,496.3,905.9
