Time,Mass (g),HRRPUA (kW/m2)
167.0,97.89,175.6
168.0,97.79,176.5
169.0,97.71,176.4
170.0,97.6,172.6
171.0,97.51,171.7
172.0,97.41,170.0
173.0,97.23,167.9
174.0,97.14,165.1
175.0,97.06,162.8
176.0,96.95,160.8
177.0,96.88,159.2
178.0,96.78,157.2
179.0,96.71,154.6
180.0,96.62,156.6
181.0,96.59,153.5
182.0,96.52,151.4
183.0,96.44,149.1
184.0,96.37,151.8
185.0,96.29,149.9
186.0,96.21,147.1
187.0,96.13,145.1
188.0,96.05,144.8
189.0,95.97,141.6
190.0,95.87,141.3
191.0,95.82,139.7
192.0,95.73,140.7
193.0,95.65,137.1
194.0,95.58,135.6
195.0,95.51,133.8
196.0,95.42,130.6
197.0,95.36,131.1
198.0,95.28,128.0
199.0,95.2,125.7
200.0,95.14,126.8
201.0,95.08,127.9
202.0,94.99,124.3
203.0,94.93,121.8
204.0,94.86,119.5
205.0,94.8,120.5
206.0,94.72,117.5
207.0,94.64,114.8
208.0,94.57,114.3
209.0,94.52,113.5
210.0,94.38,112.1
211.0,94.38,110.5
212.0,94.25,110.5
213.0,94.18,107.5
214.0,94.1,107.6
215.0,94.03,104.3
216.0,93.99,101.3
217.0,93.91,101.3
218.0,93.87,100.6
219.0,93.87,98.7
220.0,93.75,100.4
221.0,93.74,98.9
222.0,93.69,99.0
223.0,93.64,98.4
224.0,93.57,98.0
225.0,93.49,98.7
226.0,93.44,97.7
227.0,93.39,97.8
228.0,93.33,99.0
229.0,93.28,97.9
230.0,93.2,97.9
231.0,93.14,96.1
232.0,93.08,96.1
233.0,93.02,97.1
234.0,92.97,95.5
235.0,92.91,94.9
236.0,92.86,92.8
237.0,92.79,90.4
238.0,92.72,92.6
239.0,92.67,89.9
240.0,92.6,89.7
241.0,92.55,89.2
242.0,92.51,89.0
243.0,92.45,88.4
244.0,92.37,87.7
245.0,92.32,87.2
246.0,92.25,88.0
247.0,92.2,85.5
248.0,92.13,85.0
249.0,92.07,83.7
250.0,92.0,83.3
251.0,91.93,82.2
252.0,91.86,80.3
253.0,91.82,80.4
254.0,91.72,78.6
255.0,91.68,79.7
256.0,91.62,78.9
257.0,91.57,78.6
258.0,91.52,77.9
259.0,91.5,76.9
260.0,91.46,77.0
261.0,91.41,75.8
262.0,91.35,76.3
263.0,91.31,76.8
264.0,91.27,76.9
265.0,91.23,75.8
266.0,91.17,75.0
267.0,91.12,75.3
268.0,91.07,75.4
269.0,91.03,75.5
270.0,90.97,76.3
271.0,90.92,74.5
272.0,90.85,74.6
273.0,90.8,74.6
274.0,90.75,74.8
275.0,90.69,75.2
276.0,90.65,73.8
277.0,90.6,74.2
278.0,90.54,74.6
279.0,90.48,73.3
280.0,90.43,72.2
281.0,90.38,72.5
282.0,90.34,72.8
283.0,90.28,71.1
284.0,90.23,73.5
285.0,90.17,71.8
286.0,90.12,73.7
287.0,90.06,71.8
288.0,90.01,71.8
289.0,89.98,72.5
290.0,89.83,71.2
291.0,89.86,70.7
292.0,89.74,71.5
293.0,89.68,70.1
294.0,89.62,69.4
295.0,89.57,70.0
296.0,89.51,69.9
297.0,89.47,68.9
298.0,89.41,68.9
299.0,89.35,69.7
300.0,89.3,69.0
301.0,89.27,68.4
302.0,89.28,68.9
303.0,89.25,67.9
304.0,89.2,68.3
305.0,89.13,66.5
306.0,89.1,67.3
307.0,89.03,66.2
308.0,88.98,66.1
309.0,88.93,66.0
310.0,88.88,66.2
311.0,88.83,64.5
312.0,88.78,64.7
313.0,88.73,63.6
314.0,88.69,63.3
315.0,88.63,61.9
316.0,88.57,62.5
317.0,88.53,62.2
318.0,88.48,63.3
319.0,88.43,62.3
320.0,88.36,62.0
321.0,88.32,61.2
322.0,88.28,61.3
323.0,88.24,60.4
324.0,88.17,59.4
325.0,88.12,60.6
326.0,88.07,59.8
327.0,88.02,59.3
328.0,87.96,60.1
329.0,87.92,59.7
330.0,87.85,59.8
331.0,87.79,58.7
332.0,87.72,59.6
333.0,87.67,59.3
334.0,87.59,59.9
335.0,87.54,59.6
336.0,87.48,60.9
337.0,87.41,60.0
338.0,87.36,60.8
339.0,87.31,60.9
340.0,87.27,61.0
341.0,87.23,60.3
342.0,87.18,59.6
343.0,87.14,60.4
344.0,87.09,60.1
345.0,87.04,61.5
346.0,87.07,60.8
347.0,87.02,61.3
348.0,86.96,60.8
349.0,86.9,60.4
350.0,86.86,60.4
351.0,86.81,61.5
352.0,86.75,61.2
353.0,86.7,60.8
354.0,86.65,61.1
355.0,86.62,61.2
356.0,86.56,61.3
357.0,86.51,61.4
358.0,86.46,61.7
359.0,86.4,63.2
360.0,86.35,63.6
361.0,86.3,64.2
362.0,86.25,65.4
363.0,86.21,65.6
364.0,86.17,65.8
365.0,86.11,67.0
366.0,86.06,67.8
367.0,86.02,66.6
368.0,85.96,66.0
369.0,85.9,66.2
370.0,85.87,65.3
371.0,85.77,63.6
372.0,85.77,63.5
373.0,85.66,61.6
374.0,85.58,61.1
375.0,85.54,60.0
376.0,85.48,60.0
377.0,85.43,59.8
378.0,85.37,58.6
379.0,85.35,56.7
380.0,85.28,56.7
381.0,85.28,56.4
382.0,85.24,56.0
383.0,85.21,55.5
384.0,85.16,54.2
385.0,85.12,53.2
386.0,85.08,53.2
387.0,85.04,53.3
388.0,84.99,53.2
389.0,84.96,52.7
390.0,84.91,51.8
391.0,84.85,51.7
392.0,84.8,51.6
393.0,84.75,51.7
394.0,84.68,50.7
395.0,84.66,50.4
396.0,84.62,50.1
397.0,84.55,49.8
398.0,84.51,49.8
399.0,84.47,50.1
400.0,84.42,49.8
401.0,84.38,49.5
402.0,84.33,48.8
403.0,84.27,49.4
404.0,84.24,49.7
405.0,84.19,49.1
406.0,84.14,49.1
407.0,84.09,49.7
408.0,84.04,49.3
409.0,84.0,49.5
410.0,83.95,49.5
411.0,83.9,49.4
412.0,83.85,49.7
413.0,83.77,49.5
414.0,83.71,49.4
415.0,83.65,48.5
416.0,83.61,48.4
417.0,83.54,49.0
418.0,83.48,48.5
419.0,83.44,48.2
420.0,83.39,48.9
421.0,83.36,48.1
422.0,83.29,49.1
423.0,83.26,48.4
424.0,83.22,48.4
425.0,83.15,48.4
426.0,83.12,48.2
427.0,83.08,48.2
428.0,83.08,48.1
429.0,83.07,48.7
430.0,83.03,48.1
431.0,82.98,48.6
432.0,82.92,47.6
433.0,82.9,47.2
434.0,82.85,46.6
435.0,82.8,47.6
436.0,82.77,46.6
437.0,82.71,47.2
438.0,82.68,46.9
439.0,82.61,47.1
440.0,82.58,46.5
441.0,82.54,47.1
442.0,82.49,47.0
443.0,82.42,47.3
444.0,82.39,47.2
445.0,82.35,46.6
446.0,82.29,46.9
447.0,82.25,46.5
448.0,82.21,47.3
449.0,82.16,47.5
450.0,82.13,47.5
451.0,82.07,47.2
452.0,82.03,48.0
453.0,81.97,48.8
454.0,81.92,47.7
455.0,81.88,47.1
456.0,81.84,47.3
457.0,81.79,45.6
458.0,81.75,47.6
459.0,81.68,47.0
460.0,81.64,47.4
461.0,81.56,47.5
462.0,81.53,47.4
463.0,81.44,47.4
464.0,81.41,47.3
465.0,81.35,47.6
466.0,81.34,46.8
467.0,81.28,46.4
468.0,81.25,46.7
469.0,81.22,46.2
470.0,81.19,46.1
471.0,81.18,46.3
472.0,81.13,45.2
473.0,81.08,45.3
474.0,81.02,45.2
475.0,81.01,45.0
476.0,80.96,44.8
477.0,80.92,45.7
478.0,80.88,44.0
479.0,80.82,43.1
480.0,80.77,45.1
481.0,80.74,45.0
482.0,80.69,44.8
483.0,80.67,44.6
484.0,80.62,44.7
485.0,80.58,44.3
486.0,80.55,44.5
487.0,80.48,44.6
488.0,80.44,44.6
489.0,80.4,44.4
490.0,80.36,44.7
491.0,80.32,44.3
492.0,80.27,44.4
493.0,80.23,43.3
494.0,80.18,42.9
495.0,80.14,42.6
496.0,80.09,43.0
497.0,80.04,43.2
498.0,79.99,43.3
499.0,79.94,44.5
500.0,79.9,45.0
501.0,79.79,45.8
502.0,79.74,45.4
503.0,79.7,46.3
504.0,79.66,46.4
505.0,79.61,46.3
506.0,79.58,47.6
507.0,79.54,47.1
508.0,79.51,46.4
509.0,79.45,46.9
510.0,79.48,46.4
511.0,79.45,46.1
512.0,79.42,45.8
513.0,79.35,45.8
514.0,79.32,45.2
515.0,79.26,44.8
516.0,79.23,45.5
517.0,79.19,45.4
518.0,79.14,44.6
519.0,79.08,44.9
520.0,79.06,43.6
521.0,79.01,44.3
522.0,78.98,43.7
523.0,78.93,43.7
524.0,78.9,42.6
525.0,78.86,42.4
526.0,78.81,41.3
527.0,78.76,41.5
528.0,78.72,40.7
529.0,78.67,41.0
530.0,78.64,40.3
531.0,78.6,40.1
532.0,78.55,40.0
533.0,78.51,40.0
534.0,78.47,40.5
535.0,78.44,40.1
536.0,78.39,40.3
537.0,78.35,40.3
538.0,78.3,39.6
539.0,78.26,39.7
540.0,78.22,39.0
541.0,78.16,39.9
542.0,78.11,39.4
543.0,78.05,39.1
544.0,77.97,38.9
545.0,77.91,38.8
546.0,77.88,38.4
547.0,77.83,38.7
548.0,77.81,39.1
549.0,77.77,39.5
550.0,77.74,39.8
551.0,77.7,40.3
552.0,77.66,40.5
553.0,77.61,40.6
554.0,77.64,40.6
555.0,77.59,40.1
556.0,77.56,41.1
557.0,77.52,41.4
558.0,77.49,41.6
559.0,77.44,41.0
560.0,77.4,40.5
561.0,77.35,41.3
562.0,77.31,41.5
563.0,77.28,40.8
564.0,77.24,40.1
565.0,77.19,40.8
566.0,77.16,40.3
567.0,77.11,39.7
568.0,77.05,39.9
569.0,77.02,38.9
570.0,76.99,39.2
571.0,76.95,38.4
572.0,76.9,38.3
573.0,76.86,38.1
574.0,76.81,38.0
575.0,76.79,38.9
576.0,76.75,38.2
577.0,76.7,38.7
578.0,76.66,38.4
579.0,76.62,38.3
580.0,76.58,38.5
581.0,76.55,37.9
582.0,76.51,38.6
583.0,76.45,38.4
584.0,76.34,38.6
585.0,76.3,38.1
586.0,76.26,38.4
587.0,76.2,37.5
588.0,76.18,37.8
589.0,76.14,37.3
590.0,76.1,37.2
591.0,76.06,37.7
592.0,76.01,37.4
593.0,76.04,37.2
594.0,75.93,37.1
595.0,75.97,37.0
596.0,75.91,36.4
597.0,75.9,36.0
598.0,75.84,36.8
599.0,75.81,36.3
600.0,75.78,36.1
601.0,75.73,35.9
602.0,75.7,36.1
603.0,75.65,35.9
604.0,75.61,35.1
605.0,75.57,34.8
606.0,75.54,35.1
607.0,75.5,34.4
608.0,75.46,34.9
609.0,75.41,34.3
610.0,75.38,33.8
611.0,75.34,33.6
612.0,75.3,32.7
613.0,75.27,32.6
614.0,75.21,31.9
615.0,75.19,31.5
616.0,75.14,31.2
617.0,75.1,31.5
618.0,75.06,30.9
619.0,75.03,30.9
620.0,74.98,30.8
621.0,74.95,31.0
622.0,74.89,31.1
623.0,74.85,30.9
624.0,74.8,29.8
625.0,74.74,30.1
626.0,74.69,29.8
627.0,74.64,30.1
628.0,74.59,29.8
629.0,74.55,29.8
630.0,74.51,29.8
631.0,74.47,29.4
632.0,74.46,29.9
633.0,74.43,30.3
634.0,74.39,30.5
635.0,74.35,29.9
636.0,74.32,30.7
637.0,74.28,30.8
638.0,74.28,30.6
639.0,74.24,30.8
640.0,74.21,30.8
641.0,74.16,31.0
642.0,74.14,30.6
643.0,74.1,30.1
644.0,74.06,30.4
645.0,74.01,31.2
646.0,73.98,31.6
647.0,73.95,31.4
648.0,73.9,31.8
649.0,73.88,31.9
650.0,73.84,32.0
651.0,73.8,31.3
652.0,73.76,33.0
653.0,73.72,33.0
654.0,73.68,33.8
655.0,73.64,33.4
656.0,73.6,33.6
657.0,73.56,34.1
658.0,73.52,33.7
659.0,73.49,33.7
660.0,73.46,33.6
661.0,73.41,33.4
662.0,73.38,33.7
663.0,73.34,33.5
664.0,73.32,34.2
665.0,73.26,33.0
666.0,73.2,33.0
667.0,73.16,32.9
668.0,73.05,33.1
669.0,73.02,32.5
670.0,72.98,32.6
671.0,72.93,32.3
672.0,72.91,33.0
673.0,72.86,32.7
674.0,72.84,32.3
675.0,72.83,33.1
676.0,72.85,32.8
677.0,72.81,33.7
678.0,72.77,33.7
679.0,72.73,34.3
680.0,72.7,34.3
681.0,72.65,34.9
682.0,72.63,34.9
683.0,72.59,34.8
684.0,72.55,34.2
685.0,72.54,34.1
686.0,72.47,34.2
687.0,72.43,34.0
688.0,72.4,33.6
689.0,72.36,32.9
690.0,72.31,32.8
691.0,72.28,32.7
692.0,72.24,32.8
693.0,72.2,32.6
694.0,72.18,32.7
695.0,72.13,32.9
696.0,72.1,32.8
697.0,72.07,33.3
698.0,72.02,33.2
699.0,72.0,33.3
700.0,71.97,33.6
701.0,71.93,33.9
702.0,71.89,33.7
703.0,71.86,33.4
704.0,71.84,33.8
705.0,71.75,33.9
706.0,71.7,34.3
707.0,71.65,34.4
708.0,71.6,34.8
709.0,71.54,34.9
710.0,71.51,34.9
711.0,71.49,35.0
712.0,71.44,35.6
713.0,71.39,35.6
714.0,71.39,35.6
715.0,71.34,35.7
716.0,71.32,35.2
717.0,71.28,34.7
718.0,71.27,35.2
719.0,71.24,34.0
720.0,71.22,34.2
721.0,71.18,34.3
722.0,71.16,34.0
723.0,71.13,34.2
724.0,71.09,33.1
725.0,71.05,33.9
726.0,71.01,33.7
727.0,70.98,33.2
728.0,70.95,32.4
729.0,70.91,32.8
730.0,70.88,32.4
731.0,70.84,32.1
732.0,70.8,32.6
733.0,70.76,31.9
734.0,70.72,32.1
735.0,70.7,32.1
736.0,70.67,31.2
737.0,70.63,31.2
738.0,70.59,31.4
739.0,70.56,31.1
740.0,70.52,30.9
741.0,70.49,30.9
742.0,70.45,31.1
743.0,70.41,30.5
744.0,70.37,30.7
745.0,70.34,30.4
746.0,70.29,30.5
747.0,70.27,30.7
748.0,70.21,30.5
749.0,70.17,31.1
750.0,70.13,31.6
751.0,70.04,32.1
752.0,70.04,31.7
753.0,69.97,32.0
754.0,69.93,31.8
755.0,69.91,31.3
756.0,69.88,31.2
757.0,69.84,30.9
758.0,69.82,30.9
759.0,69.81,30.6
760.0,69.78,31.6
761.0,69.75,32.0
762.0,69.75,32.4
763.0,69.71,32.2
764.0,69.68,32.5
765.0,69.65,32.0
766.0,69.61,32.3
767.0,69.56,32.2
768.0,69.54,32.4
769.0,69.5,32.3
770.0,69.48,31.4
771.0,69.44,31.2
772.0,69.41,31.5
773.0,69.37,31.0
774.0,69.34,30.7
775.0,69.33,30.9
776.0,69.27,30.9
777.0,69.24,30.6
778.0,69.2,30.5
779.0,69.17,30.6
780.0,69.13,30.2
781.0,69.08,30.5
782.0,69.06,30.0
783.0,69.03,29.7
784.0,68.99,29.5
785.0,68.94,29.6
786.0,68.91,29.2
787.0,68.87,29.4
788.0,68.81,29.3
789.0,68.77,29.1
790.0,68.73,29.5
791.0,68.66,29.4
792.0,68.62,28.9
793.0,68.59,29.4
794.0,68.57,30.0
795.0,68.55,29.9
796.0,68.52,30.2
797.0,68.49,31.0
798.0,68.47,30.4
799.0,68.45,30.7
800.0,68.44,30.9
801.0,68.42,30.9
802.0,68.39,30.6
803.0,68.36,30.7
804.0,68.31,30.6
805.0,68.28,30.7
806.0,68.24,30.7
807.0,68.22,30.7
808.0,68.18,31.6
809.0,68.14,32.2
810.0,68.11,33.6
811.0,68.08,33.4
812.0,68.04,34.0
813.0,68.0,34.7
814.0,67.98,34.4
815.0,67.95,34.8
816.0,67.92,35.0
817.0,67.9,34.8
818.0,67.84,34.3
819.0,67.82,34.2
820.0,67.79,33.3
821.0,67.75,32.4
822.0,67.72,32.1
823.0,67.69,30.6
824.0,67.66,30.3
825.0,67.61,29.6
826.0,67.53,29.3
827.0,67.51,28.7
828.0,67.46,28.4
829.0,67.41,28.5
830.0,67.37,28.1
831.0,67.33,28.3
832.0,67.3,28.1
833.0,67.24,27.9
834.0,67.24,28.2
835.0,67.2,27.8
836.0,67.15,28.0
837.0,67.18,28.3
838.0,67.15,27.4
839.0,67.13,27.1
840.0,67.11,26.8
841.0,67.08,26.9
842.0,67.04,27.5
843.0,67.03,27.4
844.0,66.96,27.8
845.0,66.95,27.6
846.0,66.91,28.0
847.0,66.89,27.4
848.0,66.85,27.4
849.0,66.81,27.2
850.0,66.78,27.4
851.0,66.76,27.2
852.0,66.73,27.2
853.0,66.7,27.1
854.0,66.66,27.0
855.0,66.62,26.8
856.0,66.58,26.2
857.0,66.57,26.3
858.0,66.52,25.7
859.0,66.48,25.3
860.0,66.44,24.8
861.0,66.42,25.5
862.0,66.39,25.7
863.0,66.36,25.7
864.0,66.32,25.6
865.0,66.29,26.6
866.0,66.25,27.0
867.0,66.21,28.4
868.0,66.16,29.5
869.0,66.13,30.3
870.0,66.08,31.4
871.0,66.03,31.6
872.0,65.97,31.7
873.0,65.93,32.0
874.0,65.91,31.4
875.0,65.87,31.8
876.0,65.83,31.4
877.0,65.8,31.2
878.0,65.79,31.4
879.0,65.77,30.9
880.0,65.75,31.9
881.0,65.73,31.4
882.0,65.71,31.0
883.0,65.66,31.2
884.0,65.65,31.1
885.0,65.62,30.5
886.0,65.58,30.8
887.0,65.54,30.8
888.0,65.51,30.3
889.0,65.48,29.8
890.0,65.44,30.1
891.0,65.41,29.7
892.0,65.4,29.9
893.0,65.36,29.7
894.0,65.32,29.4
895.0,65.29,29.5
896.0,65.25,29.4
897.0,65.22,29.8
898.0,65.19,29.0
899.0,65.16,29.3
900.0,65.11,29.1
901.0,65.08,29.2
902.0,65.03,29.1
903.0,65.0,29.0
904.0,64.98,29.2
905.0,64.93,29.5
906.0,64.9,29.8
907.0,64.86,29.6
908.0,64.84,30.4
909.0,64.8,30.7
910.0,64.69,31.0
911.0,64.73,31.0
912.0,64.62,31.2
913.0,64.58,31.3
914.0,64.54,31.4
915.0,64.51,31.6
916.0,64.5,31.3
917.0,64.45,32.0
918.0,64.42,31.7
919.0,64.38,31.9
920.0,64.4,31.8
921.0,64.32,31.1
922.0,64.35,30.9
923.0,64.31,31.6
924.0,64.28,31.8
925.0,64.26,31.9
926.0,64.23,31.3
927.0,64.19,31.2
928.0,64.16,31.6
929.0,64.13,31.6
930.0,64.1,31.9
931.0,64.07,31.5
932.0,64.04,31.4
933.0,64.0,32.2
934.0,63.95,31.9
935.0,63.91,31.7
936.0,63.89,31.5
937.0,63.86,32.0
938.0,63.82,32.7
939.0,63.77,32.8
940.0,63.75,33.0
941.0,63.71,33.1
942.0,63.68,33.2
943.0,63.64,33.8
944.0,63.59,33.5
945.0,63.56,34.5
946.0,63.53,34.8
947.0,63.49,35.0
948.0,63.46,35.3
949.0,63.44,36.5
950.0,63.39,36.5
951.0,63.35,37.1
952.0,63.32,36.8
953.0,63.29,36.8
954.0,63.24,37.5
955.0,63.12,37.2
956.0,63.11,37.5
957.0,63.07,37.6
958.0,63.04,37.9
959.0,62.99,38.2
960.0,62.96,37.9
961.0,62.93,38.9
962.0,62.89,39.0
963.0,62.87,39.4
964.0,62.89,40.3
965.0,62.85,41.1
966.0,62.82,40.7
967.0,62.78,41.2
968.0,62.75,40.5
969.0,62.72,40.5
970.0,62.68,40.8
971.0,62.66,39.8
972.0,62.61,40.0
973.0,62.59,39.7
974.0,62.55,40.0
975.0,62.51,39.9
976.0,62.47,40.0
977.0,62.43,39.4
978.0,62.4,39.7
979.0,62.36,40.5
980.0,62.32,39.2
981.0,62.27,40.2
982.0,62.24,39.8
983.0,62.2,39.5
984.0,62.16,39.8
985.0,62.14,39.9
986.0,62.11,39.9
987.0,62.06,40.9
988.0,62.02,40.1
989.0,61.97,40.2
990.0,61.95,40.2
991.0,61.89,41.0
992.0,61.87,41.1
993.0,61.84,41.4
994.0,61.79,41.7
995.0,61.75,42.0
996.0,61.64,42.2
997.0,61.6,42.6
998.0,61.56,42.9
999.0,61.51,43.4
1000.0,61.49,42.7
1001.0,61.44,42.6
1002.0,61.42,43.5
1003.0,61.37,43.4
1004.0,61.33,43.6
1005.0,61.37,44.5
1006.0,61.32,44.7
1007.0,61.29,44.5
1008.0,61.27,44.6
1009.0,61.21,45.4
1010.0,61.2,45.2
1011.0,61.16,45.7
1012.0,61.11,46.5
1013.0,61.08,46.4
1014.0,61.04,47.0
1015.0,61.0,47.2
1016.0,60.96,46.7
1017.0,60.93,46.7
1018.0,60.88,46.8
1019.0,60.85,45.8
1020.0,60.79,47.0
1021.0,60.77,45.7
1022.0,60.71,45.9
1023.0,60.68,45.7
1024.0,60.65,45.9
1025.0,60.6,46.5
1026.0,60.56,47.1
1027.0,60.52,47.9
1028.0,60.49,47.5
1029.0,60.45,47.2
1030.0,60.4,47.5
1031.0,60.37,47.9
1032.0,60.32,48.3
1033.0,60.27,48.2
1034.0,60.21,47.8
1035.0,60.18,49.2
1036.0,60.1,48.2
1037.0,60.06,48.2
1038.0,59.99,47.7
1039.0,59.95,48.3
1040.0,59.89,48.0
1041.0,59.87,48.1
1042.0,59.82,47.9
1043.0,59.81,49.0
1044.0,59.79,47.7
1045.0,59.74,49.1
1046.0,59.74,49.0
1047.0,59.72,50.4
1048.0,59.67,51.1
1049.0,59.63,50.7
1050.0,59.59,51.2
1051.0,59.55,51.2
1052.0,59.49,51.4
1053.0,59.46,51.1
1054.0,59.42,50.9
1055.0,59.38,52.1
1056.0,59.34,51.0
1057.0,59.29,51.4
1058.0,59.25,51.9
1059.0,59.21,51.7
1060.0,59.18,51.3
1061.0,59.13,51.7
1062.0,59.08,52.7
1063.0,59.04,53.3
1064.0,59.0,52.7
1065.0,58.96,52.8
1066.0,58.91,53.0
1067.0,58.85,53.1
1068.0,58.82,52.7
1069.0,58.79,54.2
1070.0,58.72,53.5
1071.0,58.67,54.1
1072.0,58.65,54.5
1073.0,58.6,54.2
1074.0,58.56,53.4
1075.0,58.46,54.7
1076.0,58.47,56.0
1077.0,58.36,55.8
1078.0,58.38,55.7
1079.0,58.27,55.7
1080.0,58.21,55.2
1081.0,58.17,55.3
1082.0,58.13,55.1
1083.0,58.08,55.1
1084.0,58.03,56.1
1085.0,57.99,56.0
1086.0,57.96,55.6
1087.0,57.91,55.3
1088.0,57.89,55.0
1089.0,57.85,56.8
1090.0,57.8,56.9
1091.0,57.79,57.7
1092.0,57.74,58.6
1093.0,57.72,59.2
1094.0,57.67,59.3
1095.0,57.63,59.3
1096.0,57.59,59.3
1097.0,57.48,57.7
1098.0,57.42,57.8
1099.0,57.41,59.5
1100.0,57.32,59.0
1101.0,57.31,59.2
1102.0,57.28,59.2
1103.0,57.24,59.5
1104.0,57.2,58.9
1105.0,57.15,59.3
1106.0,57.11,60.0
1107.0,57.06,59.1
1108.0,57.01,60.3
1109.0,56.96,60.6
1110.0,56.92,61.1
1111.0,56.88,60.2
1112.0,56.82,61.3
1113.0,56.79,61.8
1114.0,56.73,63.5
1115.0,56.68,64.9
1116.0,56.64,65.5
1117.0,56.58,65.5
1118.0,56.54,65.8
1119.0,56.48,65.9
1120.0,56.36,65.7
1121.0,56.31,66.0
1122.0,56.26,67.8
1123.0,56.22,66.6
1124.0,56.16,67.0
1125.0,56.12,67.9
1126.0,56.06,67.5
1127.0,56.0,67.2
1128.0,55.96,67.9
1129.0,55.9,66.8
1130.0,55.85,66.8
1131.0,55.81,66.6
1132.0,55.79,65.8
1133.0,55.8,66.0
1134.0,55.75,66.2
1135.0,55.69,66.8
1136.0,55.64,65.8
1137.0,55.61,67.0
1138.0,55.56,66.7
1139.0,55.51,65.0
1140.0,55.46,65.1
1141.0,55.39,66.5
1142.0,55.34,66.2
1143.0,55.3,66.9
1144.0,55.25,68.2
1145.0,55.19,68.5
1146.0,55.14,68.2
1147.0,55.09,68.9
1148.0,55.05,69.1
1149.0,54.99,68.9
