Time [s],Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
325,7.121930397,452.8079425,
326,7.090707575,453.1477191,
327,7.094480293,453.4630749,
328,7.075254819,453.6823419,
329,7.062023829,453.9211347,
330,7.059919037,454.2840314,
331,7.005200598,454.5612049,
332,6.984709149,454.700566,
333,6.998033417,455.0696944,
334,6.973119099,455.3532609,
335,6.967968208,455.6378621,
336,6.951807627,455.9542407,
337,6.905542742,456.1443209,
338,6.912427702,456.4687398,
339,6.900251278,456.725306,
340,6.85849085,457.0088505,
341,6.896027956,457.2069133,
342,6.866154378,457.4100469,
343,6.807139881,457.4466998,
344,6.803227576,457.8750944,
345,6.781625147,458.1377591,
346,6.789854891,458.3320791,
347,6.782949784,458.5743639,
348,6.741851402,458.8147881,
349,6.686382626,458.9153471,
350,6.716328755,459.0669342,
351,6.739978244,459.3829364,
352,6.707017235,459.5204514,
353,6.660136105,459.7645214,
354,6.664643656,459.9775364,
355,6.627294033,460.1037444,
356,6.615729183,460.4077089,
357,6.643485238,460.6752385,
358,6.629371372,460.7983048,
359,6.59885109,461.066873,
360,6.618886244,461.1550179,
361,6.552321602,461.4906154,
362,6.5186699,461.844158,
363,6.522538007,462.0321295,
364,6.497353732,462.0174984,
365,6.491033508,462.2024516,
366,6.527877102,462.5010034,
367,6.532789177,462.8768651,
368,6.497419942,462.9932009,
369,6.473156195,463.0612673,
370,6.465457256,463.2119696,
371,6.442421658,463.3515901,
372,6.444262175,463.6112116,
373,6.433849992,463.7662588,
374,6.406928543,463.8704834,
375,6.38354374,464.0641916,
376,6.388989724,464.1363916,
377,6.365974183,464.296906,
378,6.353429293,464.4162909,
379,6.332710408,464.6577706,
380,6.300011335,464.7322797,
381,6.290823784,464.9193782,
382,6.285278753,465.0730567,
383,6.303260399,465.1349567,
384,6.333687862,465.1785553,
385,6.316912527,465.463187,
386,6.281065957,465.7483621,
387,6.241939894,465.6619497,
388,6.226004426,465.6794338,
389,6.224100838,466.0259752,
390,6.203701053,466.2727892,
391,6.214221372,466.4172049,
392,6.190798508,466.5941441,
393,6.134480591,466.4690935,
394,6.13545178,466.7034889,
395,6.17476119,466.8058995,
396,6.149455587,466.9983749,
397,6.137592006,467.2356421,
398,6.106959747,467.2767122,
399,6.098120278,467.4865782,
400,6.109394859,467.3963456,
401,6.12122737,467.474644,
402,6.087040385,467.6082729,
403,6.053019253,467.9040039,
404,6.044248104,467.8741537,
405,6.059360403,467.6801033,
406,6.066519983,467.6791468,
407,6.046926984,468.024822,
408,6.033180461,468.2487284,
409,6.007793578,468.3487758,
410,6.00447981,468.410414,
411,6.002362849,468.5310268,
412,5.975112741,468.7506701,
413,5.990813019,468.9112603,
414,5.988492672,468.9173054,
415,5.951291222,468.9431835,
416,5.933096603,469.1705172,
417,5.93449175,469.4644235,
418,5.937245654,469.6257211,
419,5.915469619,469.5975869,
420,5.910113964,469.6729918,
421,5.873447916,469.8564897,
422,5.873838442,470.1453823,
423,5.883466777,469.9710667,
424,5.865326983,469.6292123,
425,5.850321112,469.7034989,
426,5.87745809,470.4411369,
427,5.814106338,470.69657,
428,5.779042609,470.7495606,
429,5.754154175,471.0417279,
430,5.746355273,471.1878903,
431,5.772364414,471.3218487,
432,5.779866246,471.338327,
433,5.779297798,471.5402112,
434,5.771737415,471.6029438,
435,5.728130712,471.6660028,
436,5.713426597,471.8141622,
437,5.740712066,471.8745922,
438,5.697060543,472.1416701,
439,5.670951627,472.2213905,
440,5.691971818,472.2015197,
441,5.687843418,472.441389,
442,5.661062067,472.7188265,
443,5.639563587,472.7686725,
444,5.66561316,473.0620311,
445,5.641108839,472.9244144,
446,5.664398244,473.1609969,
447,5.675684485,473.199978,
448,5.65927697,473.2805765,
449,5.617969524,473.4177046,
450,5.607369151,473.3735656,
451,5.564975332,473.6636856,
452,5.599948289,473.8719112,
453,5.625650753,474.0524316,
454,5.596891134,474.2041625,
455,5.5432054,473.9515404,
456,5.526058478,474.3033985,
457,5.566884938,474.2213758,
458,5.567451873,474.2026715,
459,5.550939379,474.6096012,
460,5.559756995,474.9501657,
461,5.503976948,475.1668168,
462,5.494151884,475.230858,
463,5.528466962,475.1233765,
464,5.496752428,475.2117057,
465,5.482317353,475.3637865,
466,5.475810424,475.2851625,
467,5.484712074,475.5677144,
468,5.495919236,475.7333143,
469,5.467477422,475.8874135,
470,5.450885105,475.7506926,
471,5.476143911,475.7424444,
472,5.459938735,475.8374965,
473,5.419803281,476.1291423,
474,5.426933557,476.1820666,
475,5.432708803,476.2537526,
476,5.391991162,476.3488123,
477,5.384226623,476.3590275,
478,5.396268908,476.5194966,
479,5.42365158,476.8074128,
480,5.395770317,476.9129418,
481,5.330153046,477.1288179,
482,5.375370125,477.07051,
483,5.366612186,477.245103,
484,5.336449836,477.1825678,
485,5.352242408,477.3996081,
486,5.324413631,477.5346604,
487,5.297768741,477.6997252,
488,5.291642364,477.7572964,
489,5.30898595,477.8225623,
490,5.307260621,477.9535684,
491,5.299418173,478.080978,
492,5.305303054,478.2653819,
493,5.305095602,478.2714729,
494,5.296097788,478.43006,
495,5.275333996,478.3910488,
496,5.258099178,477.9818807,
497,5.258811427,478.4303991,
498,5.251031652,478.6113346,
499,5.22000982,478.7389955,
500,5.236585316,478.7927186,
501,5.257651833,478.7416726,
502,5.238188898,479.0130137,
503,5.240682802,479.1346247,
504,5.223308155,479.0359598,
505,5.23540769,479.1966103,
506,5.18356408,479.0671303,
507,5.149467215,479.1804786,
508,5.162965538,479.2524176,
509,5.191671979,479.4960061,
510,5.171512256,479.7242197,
511,5.131194713,479.6034736,
512,5.154124228,479.7864418,
513,5.172773485,479.9628725,
514,5.137725952,480.0385105,
515,5.104562963,480.1820974,
516,5.126414431,480.2413772,
517,5.100834265,480.2216043,
518,5.10595536,480.3888713,
519,5.130464201,480.4976476,
520,5.117379805,480.5894288,
521,5.110121464,480.8547706,
522,5.118837532,480.8324697,
523,5.118451626,480.9104662,
524,5.11664816,480.6838574,
525,5.065104447,480.5575565,
526,5.059636368,480.7853689,
527,5.033768637,481.0219423,
528,5.007169913,481.1480162,
529,4.983715744,481.2136923,
530,4.994622177,481.2391693,
531,4.980432162,481.5176933,
532,5.026162869,481.2593004,
533,5.05454238,481.264683,
534,5.062243267,481.6841914,
535,5.020118978,481.6934401,
536,5.001914435,481.772641,
537,4.997955225,481.4707079,
538,4.975058956,481.4393352,
539,4.966269713,481.8572137,
540,4.994501429,481.7898075,
541,4.948822368,481.6749148,
542,4.930078872,482.2054956,
543,4.942110548,481.8776185,
544,4.942201768,482.1087353,
545,4.988007406,482.2549166,
546,4.937839623,482.4487138,
547,4.908302293,482.4873343,
548,4.928753672,482.6298221,
549,4.933841168,482.5024553,
550,4.950124169,482.630189,
551,4.949661268,482.8894031,
552,4.933716425,482.9005359,
553,4.929520965,482.7544263,
554,4.915145284,482.8505667,
555,4.885218415,482.9285388,
556,4.861943089,483.1205299,
557,4.868304496,483.0994313,
558,4.908571746,483.341549,
559,4.909102009,483.367458,
560,4.852513539,483.1322035,
561,4.832340671,483.1916965,
562,4.858067717,483.552173,
563,4.856905924,483.5458921,
564,4.875557235,483.5826309,
565,4.874434273,483.4937998,
566,4.877341312,483.7896075,
567,4.859982204,483.6121715,
568,4.832544284,483.5184425,
569,4.852232598,483.6208812,
570,4.856649418,483.7196458,
571,4.863074999,483.8615752,
572,4.83889545,484.0834026,
573,4.821614605,483.9958639,
574,4.825096339,484.0931198,
575,4.815892373,484.2278453,
576,4.798846252,484.0993261,
577,4.782997191,484.2255256,
578,4.797259519,483.9037171,
579,4.769280257,484.3395805,
580,4.780812945,484.4547713,
581,4.782860887,484.412416,
582,4.765145743,484.6096318,
583,4.790724267,484.9284095,
584,4.7854001,485.0641351,
585,4.765257505,485.2232726,
586,4.763723922,485.2115328,
587,4.771105888,485.0170832,
588,4.781484699,485.0073761,
589,4.771460395,485.2206805,
590,4.778491955,485.586039,
591,4.750514935,485.3872881,
592,4.752112345,485.3927697,
593,4.744571671,485.4605134,
594,4.747197329,485.2880852,
595,4.739320845,485.3828975,
596,4.711921744,485.4425554,
597,4.700814728,485.6100479,
598,4.723470291,485.6064879,
599,4.724942921,485.6951598,
600,4.715889881,485.7691487,
601,4.738779743,485.6581899,
602,4.737601756,485.7459724,
603,4.726972955,485.7848064,
604,4.679948887,485.8946428,
605,4.647709503,485.9832302,
606,4.667199573,485.692235,
607,4.702574603,485.4727049,
608,4.702301964,485.9231896,
609,4.678349022,485.5464068,
610,4.701689311,486.0778869,
611,4.703850954,485.8956915,
612,4.682389478,486.327656,
613,4.694134506,486.358903,
614,4.651838246,486.4132656,
615,4.619861078,486.084542,
616,4.648970057,486.2274408,
617,4.639176248,486.4315548,
618,4.648122511,486.5916212,
619,4.652511595,486.5563795,
620,4.63834272,486.7370615,
621,4.662612684,486.9222914,
622,4.647664984,486.928895,
623,4.614067735,486.7302,
624,4.593733311,486.6262,
625,4.592626149,486.6661,
626,4.601979129,486.8271,
627,4.6369339,486.5902,
628,4.610570437,486.7027,
629,4.620266844,486.5656,
630,4.634255332,486.4952,
631,4.598386996,486.7762,
632,4.587488937,486.9504,
633,4.602710192,487.0484862,
634,4.596439055,487.3304096,
