Time,Temp (K),DSC (mW/mg),Error (mW/mg)
1803.7878,625.624,2.17,0.064707037
1809.6756,626.626,2.23,0.065737065
1815.5616,627.628,2.29,0.066235184
1821.4506,628.63,2.34,0.067116507
1827.3414,629.632,2.39,0.068818691
1833.2298,630.634,2.45,0.070461527
1839.1236,631.636,2.5,0.070844811
1845.0186,632.638,2.55,0.070764804
1850.91,633.64,2.6,0.07203715
1856.8044,634.642,2.65,0.070777729
1862.6964,635.644,2.69,0.067664916
1868.5866,636.646,2.72,0.066395557
1874.4774,637.648,2.75,0.059337029
1880.37,638.65,2.76,0.060944747
1886.2644,639.652,2.77,0.050243029
1892.1558,640.654,2.75,0.045485101
1898.046,641.656,2.75,0.027801698
1903.9362,642.658,2.73,0.021634834
1909.8264,643.66,2.68,0.044178853
1915.7124,644.662,2.63,0.044503493
1921.5972,645.664,2.57,0.063258132
1927.485,646.666,2.52,0.061978279
1933.3764,647.668,2.47,0.076188469
1939.2648,648.67,2.44,0.090977193
1945.14,649.672,2.41,0.093446299
1951.0104,650.674,2.39,0.070626323
1956.888,651.676,2.36,0.074833253
1962.7638,652.678,2.31,0.03891308
1968.6306,653.68,2.29,0.032362614
1974.4872,654.682,2.23,0.041512719
1980.3456,655.684,2.2,0.057692337
1986.2058,656.686,2.16,0.122186784
1992.0594,657.688,2.06,0.103520174
1997.9076,658.69,1.95,0.121593588
2003.7516,659.692,1.87,0.141219682
2009.5908,660.694,1.78,0.155303178
2015.427,661.696,1.68,0.142565222
2021.2614,662.698,1.59,0.157133944
2027.0946,663.7,1.49,0.146397462
2032.9236,664.702,1.39,0.155103585
2038.752,665.704,1.28,0.149652719
2044.5852,666.706,1.18,0.152425143
2050.4184,667.708,1.08,0.149487707
2056.2504,668.71,0.985,0.143249652
2062.0806,669.712,0.903,0.128145805
2067.9174,670.714,0.822,0.113184776
2073.756,671.716,0.747,0.101900302
2079.5934,672.718,0.678,0.096845479
2085.4386,673.72,0.613,0.091114217
2091.2886,674.722,0.55,0.08330531
2097.147,675.724,0.491,0.077242415
2103.0174,676.726,0.435,0.070910835
2108.8914,677.728,0.386,0.06399911
2114.7726,678.73,0.339,0.058200641
2120.6634,679.732,0.296,0.052154702
2126.5656,680.734,0.257,0.047203601
2132.4774,681.736,0.223,0.042350303
2138.3898,682.738,0.192,0.03859994
2144.3112,683.74,0.164,0.035082468
2150.2542,684.742,0.139,0.032675445
2156.2008,685.744,0.118,0.030424663
2162.151,686.746,0.0986,0.028569484
2168.1198,687.748,0.081,0.026710361
2174.1,688.75,0.0665,0.025919715
2180.0874,689.752,0.0533,0.024610594
2186.0892,690.754,0.0421,0.023987228
2192.0988,691.756,0.032,0.023756142
2198.1138,692.758,0.0236,0.022996469
2204.1438,693.76,0.0155,0.022336548
2210.1834,694.762,0.00884,0.02217881
2216.2236,695.764,0.0033,0.021952519
2222.2782,696.766,-0.00156,0.02181311
2228.3484,697.768,-0.00574,0.021603123
2234.424,698.77,-0.00991,0.02168656
2240.5062,699.772,-0.0125,0.02140587
2246.5914,700.774,-0.0155,0.02132382
2252.688,701.776,-0.017,0.021812164
2258.7984,702.778,-0.0187,0.021704802
2264.9148,703.78,-0.0192,0.02084979
2271.0354,704.782,-0.0196,0.02109541
2277.1656,705.784,-0.0179,0.021603881
2283.3054,706.786,-0.0149,0.022165908
2289.4536,707.788,-0.0122,0.022708549
2295.6096,708.79,-0.0107,0.024295727
2301.7776,709.792,-0.0114,0.025226582
2307.9414,710.794,-0.0127,0.024133623
2314.1118,711.796,-0.0179,0.022878735
2320.293,712.798,-0.0231,0.022385684
2326.4748,713.8,-0.0297,0.019702191
2332.6704,714.802,-0.0328,0.016924347
2338.8774,715.804,-0.0348,0.017420798
2345.085,716.806,-0.0382,0.017130632
2351.2896,717.808,-0.0398,0.017786484
2357.5044,718.81,-0.042,0.018022236
2363.7246,719.812,-0.0417,0.018232622
2369.9478,720.814,-0.0423,0.019012123
2376.1746,721.816,-0.0429,0.019929824
2382.4098,722.818,-0.0438,0.020273033
2388.6486,723.82,-0.0445,0.020272684
2394.8928,724.822,-0.0441,0.02032593
2401.1466,725.824,-0.0445,0.020490481
2407.3914,726.826,-0.0441,0.02088156
2413.6356,727.828,-0.0445,0.019923779
2419.8954,728.83,-0.045,0.020493101
2426.1648,729.832,-0.0459,0.019757433
2432.4354,730.834,-0.0451,0.020500471
2438.7066,731.836,-0.0459,0.020057385
2444.9826,732.838,-0.0451,0.019755168
2451.2634,733.84,-0.0459,0.020236297
2457.5484,734.842,-0.0464,0.020154511
2463.8322,735.844,-0.0467,0.019900801
2470.1184,736.846,-0.0472,0.020077837
2476.4112,737.848,-0.0473,0.019779951
2482.692,738.85,-0.0467,0.019899231
2488.968,739.852,-0.048,0.01904206
2495.259,740.854,-0.0471,0.019372667
2501.5512,741.856,-0.0472,0.019340888
2507.8398,742.858,-0.0475,0.019654839
2514.1302,743.86,-0.0476,0.020276333
2520.4206,744.862,-0.0482,0.020907
2526.7134,745.864,-0.0485,0.02109689
2533.0056,746.866,-0.0486,0.021343616
2539.296,747.868,-0.048,0.021097818
2545.5804,748.87,-0.0481,0.022101672
2551.8618,749.872,-0.0486,0.021073515
2558.1462,750.874,-0.0491,0.021313337
2564.4336,751.876,-0.0492,0.021294943
2570.7228,752.878,-0.0493,0.021775414
2577.0114,753.88,-0.0496,0.020604894
2583.2952,754.882,-0.0498,0.020696846
2589.5742,755.884,-0.0504,0.020047436
2595.8556,756.886,-0.0496,0.020612975
2602.1316,757.888,-0.0502,0.020601601
2608.3986,758.89,-0.0501,0.021172602
2614.6812,759.892,-0.0505,0.020891763
2620.959,760.894,-0.0512,0.021053596
2627.2158,761.896,-0.0508,0.020437589
2633.481,762.898,-0.0511,0.019473043
2639.7546,763.9,-0.0516,0.020263581
2646.0204,764.902,-0.0528,0.01985293
2652.2832,765.904,-0.0526,0.020422053
2658.5442,766.906,-0.0527,0.019785471
2664.8004,767.908,-0.0522,0.020080285
2671.0548,768.91,-0.0536,0.020117508
2677.3062,769.912,-0.0535,0.019785723
2683.554,770.914,-0.0535,0.020015828
2689.8042,771.916,-0.0539,0.020445623
2696.0532,772.918,-0.0532,0.02053582
2702.3004,773.92,-0.054,0.019880062
2708.5464,774.922,-0.055,0.019695404
2714.787,775.924,-0.0551,0.019704881
2721.0282,776.926,-0.0549,0.019992723
2727.2676,777.928,-0.0543,0.01946167
2733.504,778.93,-0.055,0.019503461
2739.7404,779.932,-0.0554,0.020095202
2745.9684,780.934,-0.0557,0.020033179
2752.1898,781.936,-0.0561,0.019517509
2758.4214,782.938,-0.0557,0.019736972
2764.6482,783.94,-0.0559,0.019415686
2770.86,784.942,-0.0562,0.020687923
2777.0742,785.944,-0.0569,0.020028289
2783.292,786.946,-0.0557,0.020488885
2789.5044,787.948,-0.0571,0.020161038
2795.7126,788.95,-0.0568,0.020471928
2801.9172,789.952,-0.0578,0.0199251
2808.1182,790.954,-0.0569,0.020101761
2814.321,791.956,-0.0584,0.019989292
2820.5268,792.958,-0.0576,0.02064661
2826.7266,793.96,-0.0579,0.020494322
2832.9258,794.962,-0.0579,0.020110657
2839.1226,795.964,-0.0579,0.020670317
2845.3086,796.966,-0.0581,0.020699031
2851.4928,797.968,-0.0591,0.0205721
2857.6794,798.97,-0.0591,0.020673514
2863.866,799.972,-0.0594,0.020520548
2870.0496,800.974,-0.0594,0.021065046
2876.232,801.976,-0.0599,0.021425169
2882.412,802.978,-0.0603,0.020421956
2888.5914,803.98,-0.0595,0.021326323
2894.7684,804.982,-0.0607,0.020931614
2900.9448,805.984,-0.0601,0.02149543
2907.1152,806.986,-0.0605,0.021338183
2913.2808,807.988,-0.0603,0.021684673
2919.4506,808.99,-0.0604,0.021476685
2925.618,809.992,-0.0614,0.021196445
2931.786,810.994,-0.061,0.02163512
2937.9516,811.996,-0.0611,0.02162403
2944.1112,812.998,-0.0619,0.021329588
2950.2666,814,-0.0611,0.022119864
2956.4208,815.002,-0.0621,0.021710373
2962.5744,816.004,-0.0618,0.021889559
2968.731,817.006,-0.0622,0.02211135
2974.8828,818.008,-0.0621,0.022164506
2981.031,819.01,-0.0626,0.022080338
2987.1816,820.012,-0.0632,0.021913248
2993.3316,821.014,-0.0625,0.02256533
2999.4792,822.016,-0.0628,0.022142251
3005.6232,823.018,-0.0635,0.022386176
3011.763,824.02,-0.0635,0.022557733
3017.9034,825.022,-0.0637,0.022816469
3024.042,826.024,-0.0638,0.02247228
3030.1794,827.026,-0.0635,0.023105767
3036.3168,828.028,-0.0637,0.023057989
3042.4506,829.03,-0.0641,0.023100019
3048.585,830.032,-0.0643,0.023369987
3054.72,831.034,-0.0649,0.023224476
3060.8598,832.036,-0.0653,0.022949011
3066.9924,833.038,-0.0649,0.023670971
3073.1172,834.04,-0.0655,0.023607008
3079.2462,835.042,-0.0657,0.02294302
3085.3752,836.044,-0.0661,0.02388066
3091.506,837.046,-0.0667,0.023390238
3097.6392,838.048,-0.0662,0.02417564
3103.755,839.05,-0.0672,0.024685048
3109.8672,840.052,-0.0673,0.024341671
3115.992,841.054,-0.0671,0.024012296
3122.1138,842.056,-0.0676,0.025065055
3128.2338,843.058,-0.0677,0.023840072
3134.3538,844.06,-0.0684,0.024294918
3140.4798,845.062,-0.0682,0.024552204
3146.6064,846.064,-0.0679,0.025180017
3152.7252,847.066,-0.069,0.024830554
3158.8512,848.068,-0.0689,0.024930826
3164.9682,849.07,-0.0694,0.024060712
3171.0786,850.072,-0.0698,0.025156006
3177.198,851.074,-0.0699,0.025578279
3183.3168,852.076,-0.0701,0.024690563
3189.432,853.078,-0.0702,0.025200354
3195.5448,854.08,-0.0711,0.025131737
3201.6594,855.082,-0.0709,0.025570328
3207.7746,856.084,-0.0709,0.02609527
3213.8922,857.086,-0.0714,0.026086976
3220.0074,858.088,-0.072,0.027236927
3226.1256,859.09,-0.0722,0.025601496
3232.2444,860.092,-0.0721,0.026582519
3238.3602,861.094,-0.0733,0.026543616
3244.4754,862.096,-0.0731,0.026797261
3250.5954,863.098,-0.0729,0.027895767
3256.7166,864.1,-0.0733,0.025876055
3262.8348,865.102,-0.0739,0.027492236
3268.9524,866.104,-0.0738,0.02740066
3275.0796,867.106,-0.0741,0.027479071
3281.2014,868.108,-0.0742,0.027805334
3287.3082,869.11,-0.0747,0.027643005
