s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 3.8000000E+001, 6.8727526E+000, 9.8725168E-001, 3.6854213E+002, 2.4283624E+001, 2.0900000E+001, 2.0900000E+001, 4.1202901E-002, 3.1728956E+001, 2.4905162E-001, 7.0337848E+000, 7.4565860E-003
 3.8500000E+001, 6.8689190E+000, 9.8670100E-001, 3.6913357E+002, 2.4588540E+001, 2.0900000E+001, 2.0900000E+001, 4.1199612E-002, 3.1725174E+001, 2.4830909E-001, 7.0307452E+000, 7.6630062E-003
 3.9000000E+001, 6.8649845E+000, 9.8613581E-001, 3.6969081E+002, 2.4817947E+001, 2.0900000E+001, 2.0900000E+001, 4.1196235E-002, 3.1721290E+001, 2.4757399E-001, 7.0275961E+000, 7.8651364E-003
 3.9500000E+001, 6.8609511E+000, 9.8555644E-001, 3.7021534E+002, 2.4974962E+001, 2.0900000E+001, 2.0900000E+001, 4.1192770E-002, 3.1717306E+001, 2.4684605E-001, 7.0243399E+000, 8.0627657E-003
 4.0000000E+001, 6.8568211E+000, 9.8496317E-001, 3.7071122E+002, 2.5182475E+001, 2.0900000E+001, 2.0900000E+001, 4.1189221E-002, 3.1713224E+001, 2.4612495E-001, 7.0209791E+000, 8.2562331E-003
 4.0500000E+001, 6.8525967E+000, 9.8435635E-001, 3.7117832E+002, 2.5394433E+001, 2.0900000E+001, 2.0900000E+001, 4.1185588E-002, 3.1709047E+001, 2.4541038E-001, 7.0175163E+000, 8.4450092E-003
 4.1000000E+001, 6.8482801E+000, 9.8373628E-001, 3.7162094E+002, 2.5578673E+001, 2.0900000E+001, 2.0900000E+001, 4.1181875E-002, 3.1704776E+001, 2.4470201E-001, 7.0139540E+000, 8.6296063E-003
 4.1500000E+001, 6.8438735E+000, 9.8310328E-001, 3.7203901E+002, 2.5723605E+001, 2.0900000E+001, 2.0900000E+001, 4.1178082E-002, 3.1700414E+001, 2.4399952E-001, 7.0102947E+000, 8.8096136E-003
 4.2000000E+001, 6.8393793E+000, 9.8245771E-001, 3.7243441E+002, 2.5990868E+001, 2.0900000E+001, 2.0900000E+001, 4.1174212E-002, 3.1695964E+001, 2.4330262E-001, 7.0065410E+000, 8.9849291E-003
 4.2500000E+001, 6.8347994E+000, 9.8179982E-001, 3.7281087E+002, 2.6477094E+001, 2.0900000E+001, 2.0900000E+001, 4.1170266E-002, 3.1691426E+001, 2.4261106E-001, 7.0026953E+000, 9.1563662E-003
 4.3000000E+001, 6.8301365E+000, 9.8112999E-001, 3.7316593E+002, 2.6660942E+001, 2.0900000E+001, 2.0900000E+001, 4.1166248E-002, 3.1686805E+001, 2.4192459E-001, 6.9987602E+000, 9.3226981E-003
 4.3510000E+001, 6.8253924E+000, 9.8044852E-001, 3.7350763E+002, 2.7014753E+001, 2.0900000E+001, 2.0900000E+001, 4.1162117E-002, 3.1682054E+001, 2.4123638E-001, 6.9946981E+000, 9.4864943E-003
 4.4010000E+001, 6.8205692E+000, 9.7975569E-001, 3.7383336E+002, 2.7272685E+001, 2.0900000E+001, 2.0900000E+001, 4.1157914E-002, 3.1677221E+001, 2.4055272E-001, 6.9905481E+000, 9.6463666E-003
 4.4510000E+001, 6.8156694E+000, 9.7905185E-001, 3.7413799E+002, 2.7319055E+001, 2.0900000E+001, 2.0900000E+001, 4.1153685E-002, 3.1672358E+001, 2.3988058E-001, 6.9863570E+000, 9.7995621E-003
 4.5010000E+001, 6.8106950E+000, 9.7833728E-001, 3.7442920E+002, 2.7910395E+001, 2.0900000E+001, 2.0900000E+001, 4.1149390E-002, 3.1667419E+001, 2.3921293E-001, 6.9820860E+000, 9.9488366E-003
 4.5510000E+001, 6.8056476E+000, 9.7761224E-001, 3.7470896E+002, 2.8321998E+001, 2.0900000E+001, 2.0900000E+001, 4.1145032E-002, 3.1662406E+001, 2.3854966E-001, 6.9777367E+000, 1.0094845E-002
 4.6010000E+001, 6.8005294E+000, 9.7687703E-001, 3.7497410E+002, 2.8368593E+001, 2.0900000E+001, 2.0900000E+001, 4.1140610E-002, 3.1657322E+001, 2.3789069E-001, 6.9733112E+000, 1.0236302E-002
 4.6510000E+001, 6.7953427E+000, 9.7613197E-001, 3.7522639E+002, 2.8907717E+001, 2.0900000E+001, 2.0900000E+001, 4.1136129E-002, 3.1652168E+001, 2.3723596E-001, 6.9688120E+000, 1.0373393E-002
 4.7010000E+001, 6.7900889E+000, 9.7537727E-001, 3.7547040E+002, 2.8951313E+001, 2.0900000E+001, 2.0900000E+001, 4.1131588E-002, 3.1646946E+001, 2.3658540E-001, 6.9642409E+000, 1.0507746E-002
 4.7510000E+001, 6.7847693E+000, 9.7461313E-001, 3.7570503E+002, 2.9399869E+001, 2.0900000E+001, 2.0900000E+001, 4.1126990E-002, 3.1641658E+001, 2.3593893E-001, 6.9595991E+000, 1.0639084E-002
 4.8010000E+001, 6.7793862E+000, 9.7383987E-001, 3.7592788E+002, 2.9921221E+001, 2.0900000E+001, 2.0900000E+001, 4.1122335E-002, 3.1636305E+001, 2.3529651E-001, 6.9548888E+000, 1.0766161E-002
 4.8510000E+001, 6.7739413E+000, 9.7305772E-001, 3.7614106E+002, 3.0084410E+001, 2.0900000E+001, 2.0900000E+001, 4.1117626E-002, 3.1630890E+001, 2.3465805E-001, 6.9501119E+000, 1.0889797E-002
 4.9010000E+001, 6.7684362E+000, 9.7226692E-001, 3.7634633E+002, 3.0501536E+001, 2.0900000E+001, 2.0900000E+001, 4.1112864E-002, 3.1625414E+001, 2.3402349E-001, 6.9452701E+000, 1.1010320E-002
 4.9510000E+001, 6.7628715E+000, 9.7146757E-001, 3.7654738E+002, 3.0799810E+001, 2.0900000E+001, 2.0900000E+001, 4.1108050E-002, 3.1619877E+001, 2.3339275E-001, 6.9403647E+000, 1.1129329E-002
 5.0010000E+001, 6.7572490E+000, 9.7065991E-001, 3.7673926E+002, 3.1097342E+001, 2.0900000E+001, 2.0900000E+001, 4.1103185E-002, 3.1614283E+001, 2.3276574E-001, 6.9353968E+000, 1.1245129E-002
 5.0510000E+001, 6.7515702E+000, 9.6984417E-001, 3.7692290E+002, 3.1537352E+001, 2.0900000E+001, 2.0900000E+001, 4.1098270E-002, 3.1608631E+001, 2.3214237E-001, 6.9303682E+000, 1.1357586E-002
 5.1010000E+001, 6.7458367E+000, 9.6902057E-001, 3.7709914E+002, 3.1706408E+001, 2.0900000E+001, 2.0900000E+001, 4.1093307E-002, 3.1602923E+001, 2.3152255E-001, 6.9252807E+000, 1.1466979E-002
 5.1510000E+001, 6.7400497E+000, 9.6818929E-001, 3.7726892E+002, 3.2158924E+001, 2.0900000E+001, 2.0900000E+001, 4.1088297E-002, 3.1597162E+001, 2.3090619E-001, 6.9201357E+000, 1.1573842E-002
 5.2010000E+001, 6.7342100E+000, 9.6735042E-001, 3.7743622E+002, 3.2624211E+001, 2.0900000E+001, 2.0900000E+001, 4.1083241E-002, 3.1591347E+001, 2.3029318E-001, 6.9149343E+000, 1.1679548E-002
 5.2510000E+001, 6.7283182E+000, 9.6650409E-001, 3.7759904E+002, 3.3023891E+001, 2.0900000E+001, 2.0900000E+001, 4.1078140E-002, 3.1585481E+001, 2.2968342E-001, 6.9096771E+000, 1.1783566E-002
 5.3010000E+001, 6.7223760E+000, 9.6565051E-001, 3.7775416E+002, 3.3667436E+001, 2.0900000E+001, 2.0900000E+001, 4.1072993E-002, 3.1579562E+001, 2.2907682E-001, 6.9043656E+000, 1.1884361E-002
 5.3510000E+001, 6.7163846E+000, 9.6478986E-001, 3.7790363E+002, 3.3838797E+001, 2.0900000E+001, 2.0900000E+001, 4.1067804E-002, 3.1573595E+001, 2.2847327E-001, 6.8990013E+000, 1.1982848E-002
 5.4010000E+001, 6.7103451E+000, 9.6392230E-001, 3.7804812E+002, 3.4258301E+001, 2.0900000E+001, 2.0900000E+001, 4.1062572E-002, 3.1567578E+001, 2.2787267E-001, 6.8935853E+000, 1.2079035E-002
 5.4510000E+001, 6.7042586E+000, 9.6304799E-001, 3.7818771E+002, 3.4938617E+001, 2.0900000E+001, 2.0900000E+001, 4.1057299E-002, 3.1561514E+001, 2.2727492E-001, 6.8881190E+000, 1.2172909E-002
 5.5010000E+001, 6.6981263E+000, 9.6216711E-001, 3.7832276E+002, 3.5023493E+001, 2.0900000E+001, 2.0900000E+001, 4.1051986E-002, 3.1555404E+001, 2.2667994E-001, 6.8826036E+000, 1.2264616E-002
 5.5510000E+001, 6.6919481E+000, 9.6127962E-001, 3.7845817E+002, 3.5459224E+001, 2.0900000E+001, 2.0900000E+001, 4.1046633E-002, 3.1549247E+001, 2.2608764E-001, 6.8770398E+000, 1.2356432E-002
 5.6010000E+001, 6.6857247E+000, 9.6038565E-001, 3.7858986E+002, 3.6080747E+001, 2.0900000E+001, 2.0900000E+001, 4.1041240E-002, 3.1543046E+001, 2.2549793E-001, 6.8714277E+000, 1.2446815E-002
 5.6510000E+001, 6.6794575E+000, 9.5948538E-001, 3.7871567E+002, 3.6625170E+001, 2.0900000E+001, 2.0900000E+001, 4.1035808E-002, 3.1536799E+001, 2.2491073E-001, 6.8657686E+000, 1.2534360E-002
