s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
 4.5100000E+000, 6.9619000E+000, 1.0000575E+000, 1.4295202E+002, 2.0900507E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 5.1443311E-009
 5.0100000E+000, 6.9619000E+000, 1.0000575E+000, 1.5167974E+002, 2.0901023E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 1.1226840E-008
 5.5100000E+000, 6.9619000E+000, 1.0000575E+000, 1.5993784E+002, 2.0901708E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 2.2845637E-008
 6.0100000E+000, 6.9619000E+000, 1.0000575E+000, 1.6778982E+002, 2.0903495E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 4.3827203E-008
 6.5100000E+000, 6.9618999E+000, 1.0000574E+000, 1.7525827E+002, 2.0905206E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701099E+000, 7.9789011E-008
 7.0100000E+000, 6.9618998E+000, 1.0000574E+000, 1.8237701E+002, 2.0908676E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701099E+000, 1.3875832E-007
 7.5100000E+000, 6.9618997E+000, 1.0000574E+000, 1.8918620E+002, 2.0912352E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701098E+000, 2.3198229E-007
 8.0100000E+000, 6.9618995E+000, 1.0000574E+000, 1.9572005E+002, 2.0919843E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701096E+000, 3.7472432E-007
 8.5100000E+000, 6.9618993E+000, 1.0000574E+000, 2.0200570E+002, 2.0928476E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816229E+001, 7.3701094E+000, 5.8722465E-007
 9.0100000E+000, 6.9618988E+000, 1.0000573E+000, 2.0806515E+002, 2.0940015E+001, 2.0900000E+001, 2.0900000E+001, 4.0960999E-002, 3.1816229E+001, 7.3701090E+000, 8.9585282E-007
 9.5100000E+000, 6.9618981E+000, 1.0000572E+000, 2.1391663E+002, 2.0958273E+001, 2.0900000E+001, 2.0900000E+001, 4.0960999E-002, 3.1816228E+001, 7.3701085E+000, 1.3342172E-006
 1.0010000E+001, 6.9618972E+000, 1.0000571E+000, 2.1957755E+002, 2.0981232E+001, 2.0900000E+001, 2.0900000E+001, 4.0960998E-002, 3.1816228E+001, 7.3701077E+000, 1.9444943E-006
 1.0510000E+001, 6.9618958E+000, 1.0000569E+000, 2.2506914E+002, 2.1003888E+001, 2.0900000E+001, 2.0900000E+001, 4.0960997E-002, 3.1816226E+001, 7.3701065E+000, 2.7779491E-006
 1.1010000E+001, 6.9618938E+000, 1.0000566E+000, 2.3039113E+002, 2.1032480E+001, 2.0900000E+001, 2.0900000E+001, 4.0960996E-002, 3.1816225E+001, 7.3701048E+000, 3.8926698E-006
 1.1510000E+001, 6.9618911E+000, 1.0000562E+000, 2.3553610E+002, 2.1060797E+001, 2.0900000E+001, 2.0900000E+001, 4.0960994E-002, 3.1816223E+001, 7.3701025E+000, 5.3591363E-006
 1.2010000E+001, 6.9618875E+000, 1.0000557E+000, 2.4052037E+002, 2.1132363E+001, 2.0900000E+001, 2.0900000E+001, 4.0960991E-002, 3.1816219E+001, 7.3700993E+000, 7.2612107E-006
 1.2510000E+001, 6.9618827E+000, 1.0000550E+000, 2.4535531E+002, 2.1178460E+001, 2.0900000E+001, 2.0900000E+001, 4.0960988E-002, 3.1816215E+001, 7.3700951E+000, 9.6968871E-006
 1.3010000E+001, 6.9618763E+000, 1.0000541E+000, 2.5005000E+002, 2.1241669E+001, 2.0900000E+001, 2.0900000E+001, 4.0960983E-002, 3.1816209E+001, 7.3700895E+000, 1.2778617E-005
 1.3510000E+001, 6.9618680E+000, 1.0000529E+000, 2.5461557E+002, 2.1330550E+001, 2.0900000E+001, 2.0900000E+001, 4.0960977E-002, 3.1816202E+001, 7.3700821E+000, 1.6635585E-005
 1.4010000E+001, 6.9618573E+000, 1.0000513E+000, 2.5905868E+002, 2.1398364E+001, 2.0900000E+001, 2.0900000E+001, 4.0960969E-002, 3.1816193E+001, 7.3700726E+000, 2.1413956E-005
 1.4510000E+001, 6.9618436E+000, 1.0000494E+000, 2.6338598E+002, 2.1474322E+001, 2.0900000E+001, 2.0900000E+001, 4.0960959E-002, 3.1816180E+001, 7.3700604E+000, 2.7278148E-005
 1.5010000E+001, 6.9618264E+000, 1.0000469E+000, 2.6760430E+002, 2.1563721E+001, 2.0900000E+001, 2.0900000E+001, 4.0960946E-002, 3.1816165E+001, 7.3700450E+000, 3.4412969E-005
 1.5510000E+001, 6.9618049E+000, 1.0000438E+000, 2.7171722E+002, 2.1661349E+001, 2.0900000E+001, 2.0900000E+001, 4.0960930E-002, 3.1816146E+001, 7.3700256E+000, 4.3021156E-005
 1.6010000E+001, 6.9617782E+000, 1.0000400E+000, 2.7572924E+002, 2.1775898E+001, 2.0900000E+001, 2.0900000E+001, 4.0960910E-002, 3.1816122E+001, 7.3700015E+000, 5.3323297E-005
 1.6510000E+001, 6.9617455E+000, 1.0000353E+000, 2.7963659E+002, 2.1958901E+001, 2.0900000E+001, 2.0900000E+001, 4.0960886E-002, 3.1816092E+001, 7.3699717E+000, 6.5532465E-005
 1.7010000E+001, 6.9617055E+000, 1.0000295E+000, 2.8343902E+002, 2.2016051E+001, 2.0900000E+001, 2.0900000E+001, 4.0960856E-002, 3.1816055E+001, 7.3699353E+000, 7.9885569E-005
 1.7510000E+001, 6.9616572E+000, 1.0000226E+000, 2.8714124E+002, 2.2208925E+001, 2.0900000E+001, 2.0900000E+001, 4.0960819E-002, 3.1816011E+001, 7.3698912E+000, 9.6644115E-005
 1.8000000E+001, 6.9615992E+000, 1.0000142E+000, 2.9071558E+002, 2.2438513E+001, 2.0900000E+001, 2.0900000E+001, 4.0960776E-002, 3.1815958E+001, 7.3698385E+000, 1.1587824E-004
 1.8500000E+001, 6.9615299E+000, 1.0000043E+000, 2.9419980E+002, 2.2684134E+001, 2.0900000E+001, 2.0900000E+001, 4.0960724E-002, 3.1815896E+001, 7.3697755E+000, 1.3803443E-004
 1.9000000E+001, 6.9614478E+000, 9.9999250E-001, 2.9763274E+002, 2.2777129E+001, 2.0900000E+001, 2.0900000E+001, 4.0960661E-002, 3.1815820E+001, 7.3697000E+000, 1.6368415E-004
 1.9500000E+001, 6.9613510E+000, 9.9997860E-001, 3.0098266E+002, 2.2952309E+001, 2.0900000E+001, 2.0900000E+001, 4.0960587E-002, 3.1815731E+001, 7.3696107E+000, 1.9294362E-004
 2.0000000E+001, 6.9612376E+000, 9.9996230E-001, 3.0425139E+002, 2.3112530E+001, 2.0900000E+001, 2.0900000E+001, 4.0960501E-002, 3.1815626E+001, 7.3695058E+000, 2.2614811E-004
 2.0500000E+001, 6.9611054E+000, 9.9994331E-001, 3.0744352E+002, 2.3367749E+001, 2.0900000E+001, 2.0900000E+001, 4.0960399E-002, 3.1815503E+001, 7.3693831E+000, 2.6364329E-004
 2.1000000E+001, 6.9609520E+000, 9.9992128E-001, 3.1055904E+002, 2.3467415E+001, 2.0900000E+001, 2.0900000E+001, 4.0960281E-002, 3.1815361E+001, 7.3692405E+000, 3.0578696E-004
 2.1500000E+001, 6.9607751E+000, 9.9989586E-001, 3.1360038E+002, 2.3863917E+001, 2.0900000E+001, 2.0900000E+001, 4.0960145E-002, 3.1815196E+001, 7.3690756E+000, 3.5293920E-004
 2.2000000E+001, 6.9605718E+000, 9.9986666E-001, 3.1657184E+002, 2.4037689E+001, 2.0900000E+001, 2.0900000E+001, 4.0959988E-002, 3.1815006E+001, 7.3688857E+000, 4.0545818E-004
 2.2500000E+001, 6.9603393E+000, 9.9983327E-001, 3.1947569E+002, 2.4465388E+001, 2.0900000E+001, 2.0900000E+001, 4.0959808E-002, 3.1814788E+001, 7.3686681E+000, 4.6370789E-004
 2.3000000E+001, 6.9600746E+000, 9.9979525E-001, 3.2231989E+002, 2.4525642E+001, 2.0900000E+001, 2.0900000E+001, 4.0959603E-002, 3.1814540E+001, 7.3684198E+000, 5.2798128E-004
 2.3500000E+001, 6.9597746E+000, 9.9975215E-001, 3.2509423E+002, 2.4974677E+001, 2.0900000E+001, 2.0900000E+001, 4.0959370E-002, 3.1814258E+001, 7.3681377E+000, 5.9856629E-004
 2.4000000E+001, 6.9594359E+000, 9.9970350E-001, 3.2779885E+002, 2.5266370E+001, 2.0900000E+001, 2.0900000E+001, 4.0959106E-002, 3.1813939E+001, 7.3678186E+000, 6.7579427E-004
 2.4500000E+001, 6.9590550E+000, 9.9964879E-001, 3.3043647E+002, 2.5468149E+001, 2.0900000E+001, 2.0900000E+001, 4.0958809E-002, 3.1813579E+001, 7.3674591E+000, 7.5998773E-004
 2.5000000E+001, 6.9586284E+000, 9.9958750E-001, 3.3300971E+002, 2.5930187E+001, 2.0900000E+001, 2.0900000E+001, 4.0958476E-002, 3.1813176E+001, 7.3670557E+000, 8.5143088E-004
 2.5500000E+001, 6.9581522E+000, 9.9951909E-001, 3.3551762E+002, 2.6087792E+001, 2.0900000E+001, 2.0900000E+001, 4.0958103E-002, 3.1812725E+001, 7.3666046E+000, 9.5037395E-004
 2.6000000E+001, 6.9576225E+000, 9.9944302E-001, 3.3796138E+002, 2.6557912E+001, 2.0900000E+001, 2.0900000E+001, 4.0957688E-002, 3.1812222E+001, 7.3661020E+000, 1.0570147E-003
 2.6500000E+001, 6.9570356E+000, 9.9935870E-001, 3.4034270E+002, 2.6390295E+001, 2.0900000E+001, 2.0900000E+001, 4.0957226E-002, 3.1811664E+001, 7.3655440E+000, 1.1715363E-003
 2.7000000E+001, 6.9563873E+000, 9.9926557E-001, 3.4266188E+002, 2.7221687E+001, 2.0900000E+001, 2.0900000E+001, 4.0956716E-002, 3.1811047E+001, 7.3649267E+000, 1.2940675E-003
 2.7500000E+001, 6.9556736E+000, 9.9916305E-001, 3.4491702E+002, 2.7764922E+001, 2.0900000E+001, 2.0900000E+001, 4.0956154E-002, 3.1810366E+001, 7.3642460E+000, 1.4247522E-003
 2.8000000E+001, 6.9548903E+000, 9.9905054E-001, 3.4711459E+002, 2.7650463E+001, 2.0900000E+001, 2.0900000E+001, 4.0955535E-002, 3.1809618E+001, 7.3634979E+000, 1.5636485E-003
 2.8500000E+001, 6.9540334E+000, 9.9892744E-001, 3.4925031E+002, 2.8096034E+001, 2.0900000E+001, 2.0900000E+001, 4.0954858E-002, 3.1808798E+001, 7.3626782E+000, 1.7108022E-003
 2.9000000E+001, 6.9530987E+000, 9.9879318E-001, 3.5132667E+002, 2.8583213E+001, 2.0900000E+001, 2.0900000E+001, 4.0954118E-002, 3.1807903E+001, 7.3617827E+000, 1.8662227E-003
 2.9500000E+001, 6.9520821E+000, 9.9864715E-001, 3.5334559E+002, 2.8963486E+001, 2.0900000E+001, 2.0900000E+001, 4.0953312E-002, 3.1806927E+001, 7.3608074E+000, 2.0298316E-003
 3.0000000E+001, 6.9509796E+000, 9.9848877E-001, 3.5530685E+002, 2.9151479E+001, 2.0900000E+001, 2.0900000E+001, 4.0952436E-002, 3.1805868E+001, 7.3597481E+000, 2.2015819E-003
 3.0500000E+001, 6.9497871E+000, 9.9831747E-001, 3.5721192E+002, 2.9707326E+001, 2.0900000E+001, 2.0900000E+001, 4.0951488E-002, 3.1804721E+001, 7.3586010E+000, 2.3813285E-003
 3.1000000E+001, 6.9485007E+000, 9.9813268E-001, 3.5906135E+002, 2.9999880E+001, 2.0900000E+001, 2.0900000E+001, 4.0950464E-002, 3.1803482E+001, 7.3573618E+000, 2.5689268E-003
 3.1500000E+001, 6.9471166E+000, 9.9793387E-001, 3.6085581E+002, 3.0650446E+001, 2.0900000E+001, 2.0900000E+001, 4.0949361E-002, 3.1802147E+001, 7.3560269E+000, 2.7641379E-003
 3.2000000E+001, 6.9456312E+000, 9.9772049E-001, 3.6259628E+002, 3.0844136E+001, 2.0900000E+001, 2.0900000E+001, 4.0948176E-002, 3.1800712E+001, 7.3545925E+000, 2.9667410E-003
 3.2500000E+001, 6.9440408E+000, 9.9749204E-001, 3.6428407E+002, 3.0832138E+001, 2.0900000E+001, 2.0900000E+001, 4.0946905E-002, 3.1799175E+001, 7.3530549E+000, 3.1764194E-003
 3.3000000E+001, 6.9423422E+000, 9.9724804E-001, 3.6592198E+002, 3.1632307E+001, 2.0900000E+001, 2.0900000E+001, 4.0945546E-002, 3.1797531E+001, 7.3514107E+000, 3.3929012E-003
 3.3500000E+001, 6.9405321E+000, 9.9698801E-001, 3.6750523E+002, 3.2572698E+001, 2.0900000E+001, 2.0900000E+001, 4.0944096E-002, 3.1795777E+001, 7.3496565E+000, 3.6157736E-003
 3.4000000E+001, 6.9386074E+000, 9.9671154E-001, 3.6904180E+002, 3.2476877E+001, 2.0900000E+001, 2.0900000E+001, 4.0942553E-002, 3.1793909E+001, 7.3477894E+000, 3.8447161E-003
 3.4500000E+001, 6.9365654E+000, 9.9641822E-001, 3.7052869E+002, 3.2870713E+001, 2.0900000E+001, 2.0900000E+001, 4.0940914E-002, 3.1791926E+001, 7.3458063E+000, 4.0791881E-003
 3.5000000E+001, 6.9344037E+000, 9.9610769E-001, 3.7196175E+002, 3.3474148E+001, 2.0900000E+001, 2.0900000E+001, 4.0939177E-002, 3.1789825E+001, 7.3437046E+000, 4.3185761E-003
 3.5500000E+001, 6.9321201E+000, 9.9577966E-001, 3.7335204E+002, 3.3878630E+001, 2.0900000E+001, 2.0900000E+001, 4.0937341E-002, 3.1787602E+001, 7.3414821E+000, 4.5623473E-003
 3.6000000E+001, 6.9297125E+000, 9.9543382E-001, 3.7468853E+002, 3.4190121E+001, 2.0900000E+001, 2.0900000E+001, 4.0935402E-002, 3.1785257E+001, 7.3391367E+000, 4.8100619E-003
 3.6500000E+001, 6.9271794E+000, 9.9506994E-001, 3.7598220E+002, 3.4682350E+001, 2.0900000E+001, 2.0900000E+001, 4.0933361E-002, 3.1782786E+001, 7.3366665E+000, 5.0613115E-003
 3.7000000E+001, 6.9245190E+000, 9.9468779E-001, 3.7723288E+002, 3.5227606E+001, 2.0900000E+001, 2.0900000E+001, 4.0931215E-002, 3.1780190E+001, 7.3340698E+000, 5.3155621E-003
 3.7500000E+001, 6.9217302E+000, 9.9428718E-001, 3.7843531E+002, 3.5739652E+001, 2.0900000E+001, 2.0900000E+001, 4.0928963E-002, 3.1777465E+001, 7.3313454E+000, 5.5724549E-003
 3.8000000E+001, 6.9188119E+000, 9.9386797E-001, 3.7959722E+002, 3.6201411E+001, 2.0900000E+001, 2.0900000E+001, 4.0926605E-002, 3.1774612E+001, 7.3284919E+000, 5.8314565E-003
 3.8500000E+001, 6.9157632E+000, 9.9343004E-001, 3.8072113E+002, 3.6772201E+001, 2.0900000E+001, 2.0900000E+001, 4.0924139E-002, 3.1771628E+001, 7.3255084E+000, 6.0921078E-003
 3.9000000E+001, 6.9125836E+000, 9.9297330E-001, 3.8180292E+002, 3.7397860E+001, 2.0900000E+001, 2.0900000E+001, 4.0921566E-002, 3.1768514E+001, 7.3223943E+000, 6.3539999E-003
 3.9500000E+001, 6.9092727E+000, 9.9249769E-001, 3.8284644E+002, 3.7517744E+001, 2.0900000E+001, 2.0900000E+001, 4.0918884E-002, 3.1765269E+001, 7.3191491E+000, 6.6166140E-003
 4.0000000E+001, 6.9058303E+000, 9.9200320E-001, 3.8385324E+002, 3.7884698E+001, 2.0900000E+001, 2.0900000E+001, 4.0916093E-002, 3.1761892E+001, 7.3157724E+000, 6.8795335E-003
 4.0500000E+001, 6.9022565E+000, 9.9148983E-001, 3.8482406E+002, 3.7935735E+001, 2.0900000E+001, 2.0900000E+001, 4.0913194E-002, 3.1758384E+001, 7.3122643E+000, 7.1423623E-003
 4.1000000E+001, 6.8985515E+000, 9.9095763E-001, 3.8575833E+002, 3.9227173E+001, 2.0900000E+001, 2.0900000E+001, 4.0910186E-002, 3.1754745E+001, 7.3086249E+000, 7.4046686E-003
 4.1500000E+001, 6.8947158E+000, 9.9040664E-001, 3.8665956E+002, 3.9161634E+001, 2.0900000E+001, 2.0900000E+001, 4.0907070E-002, 3.1750975E+001, 7.3048545E+000, 7.6661287E-003
 4.2000000E+001, 6.8907501E+000, 9.8983697E-001, 3.8752938E+002, 4.0099286E+001, 2.0900000E+001, 2.0900000E+001, 4.0903846E-002, 3.1747074E+001, 7.3009537E+000, 7.9263728E-003
 4.2500000E+001, 6.8866550E+000, 9.8924872E-001, 3.8836843E+002, 4.0708008E+001, 2.0900000E+001, 2.0900000E+001, 4.0900515E-002, 3.1743043E+001, 7.2969232E+000, 8.1849962E-003
 4.3000000E+001, 6.8824316E+000, 9.8864204E-001, 3.8917528E+002, 4.0974356E+001, 2.0900000E+001, 2.0900000E+001, 4.0897078E-002, 3.1738884E+001, 7.2927639E+000, 8.4417227E-003
 4.3510000E+001, 6.8780809E+000, 9.8801708E-001, 3.8996036E+002, 4.1209980E+001, 2.0900000E+001, 2.0900000E+001, 4.0893499E-002, 3.1734554E+001, 7.2884339E+000, 8.6987876E-003
 4.4010000E+001, 6.8736041E+000, 9.8737400E-001, 3.9071365E+002, 4.1439099E+001, 2.0900000E+001, 2.0900000E+001, 4.0889813E-002, 3.1730093E+001, 7.2839734E+000, 8.9535293E-003
 4.4510000E+001, 6.8690026E+000, 9.8671300E-001, 3.9143699E+002, 4.2544538E+001, 2.0900000E+001, 2.0900000E+001, 4.0886059E-002, 3.1725552E+001, 7.2794316E+000, 9.2030473E-003
 4.5010000E+001, 6.8642778E+000, 9.8603430E-001, 3.9213595E+002, 4.3174615E+001, 2.0900000E+001, 2.0900000E+001, 4.0882203E-002, 3.1720886E+001, 7.2747659E+000, 9.4496083E-003
 4.5510000E+001, 6.8594313E+000, 9.8533811E-001, 3.9280717E+002, 4.3431186E+001, 2.0900000E+001, 2.0900000E+001, 4.0878246E-002, 3.1716098E+001, 7.2699777E+000, 9.6930221E-003
 4.6010000E+001, 6.8544646E+000, 9.8462466E-001, 3.9344676E+002, 4.4319975E+001, 2.0900000E+001, 2.0900000E+001, 4.0874189E-002, 3.1711189E+001, 7.2650685E+000, 9.9333672E-003
 4.6510000E+001, 6.8493793E+000, 9.8389418E-001, 3.9407450E+002, 4.5092356E+001, 2.0900000E+001, 2.0900000E+001, 4.0870033E-002, 3.1706160E+001, 7.2600401E+000, 1.0170468E-002
 4.7010000E+001, 6.8441774E+000, 9.8314694E-001, 3.9467558E+002, 4.5481849E+001, 2.0900000E+001, 2.0900000E+001, 4.0865780E-002, 3.1701014E+001, 7.2548940E+000, 1.0403808E-002
 4.7510000E+001, 6.8388606E+000, 9.8238319E-001, 3.9525264E+002, 4.5472153E+001, 2.0900000E+001, 2.0900000E+001, 4.0861432E-002, 3.1695752E+001, 7.2496322E+000, 1.0633737E-002
 4.8010000E+001, 6.8334307E+000, 9.8160320E-001, 3.9581959E+002, 4.6525608E+001, 2.0900000E+001, 2.0900000E+001, 4.0856989E-002, 3.1690376E+001, 7.2442564E+000, 1.0859747E-002
 4.8510000E+001, 6.8278896E+000, 9.8080724E-001, 3.9635007E+002, 4.7048802E+001, 2.0900000E+001, 2.0900000E+001, 4.0852453E-002, 3.1684888E+001, 7.2387685E+000, 1.1082172E-002
 4.9010000E+001, 6.8222391E+000, 9.7999556E-001, 3.9688004E+002, 4.7573065E+001, 2.0900000E+001, 2.0900000E+001, 4.0847827E-002, 3.1679290E+001, 7.2331704E+000, 1.1301013E-002
 4.9510000E+001, 6.8164813E+000, 9.7916847E-001, 3.9737277E+002, 4.7961178E+001, 2.0900000E+001, 2.0900000E+001, 4.0843111E-002, 3.1673584E+001, 7.2274639E+000, 1.1515556E-002
 5.0010000E+001, 6.8106180E+000, 9.7832623E-001, 3.9786625E+002, 4.8486656E+001, 2.0900000E+001, 2.0900000E+001, 4.0838307E-002, 3.1667771E+001, 7.2216511E+000, 1.1726604E-002
 5.0510000E+001, 6.8046514E+000, 9.7746913E-001, 3.9832807E+002, 4.8870519E+001, 2.0900000E+001, 2.0900000E+001, 4.0833416E-002, 3.1661854E+001, 7.2157339E+000, 1.1933322E-002
 5.1010000E+001, 6.7985830E+000, 9.7659743E-001, 3.9879137E+002, 4.9543626E+001, 2.0900000E+001, 2.0900000E+001, 4.0828442E-002, 3.1655834E+001, 7.2097142E+000, 1.2136671E-002
 5.1510000E+001, 6.7924152E+000, 9.7571144E-001, 3.9921898E+002, 4.9926709E+001, 2.0900000E+001, 2.0900000E+001, 4.0823383E-002, 3.1649714E+001, 7.2035939E+000, 1.2335685E-002
 5.2010000E+001, 6.7861497E+000, 9.7481142E-001, 3.9965323E+002, 4.9866755E+001, 2.0900000E+001, 2.0900000E+001, 4.0818244E-002, 3.1643495E+001, 7.1973752E+000, 1.2531004E-002
 5.2510000E+001, 6.7797884E+000, 9.7389764E-001, 4.0005518E+002, 5.0986347E+001, 2.0900000E+001, 2.0900000E+001, 4.0813025E-002, 3.1637180E+001, 7.1910597E+000, 1.2722562E-002
 5.3010000E+001, 6.7733335E+000, 9.7297041E-001, 4.0045568E+002, 5.2268472E+001, 2.0900000E+001, 2.0900000E+001, 4.0807727E-002, 3.1630770E+001, 7.1846496E+000, 1.2909733E-002
 5.3510000E+001, 6.7667864E+000, 9.7202994E-001, 4.0084195E+002, 5.1898338E+001, 2.0900000E+001, 2.0900000E+001, 4.0802353E-002, 3.1624267E+001, 7.1781466E+000, 1.3094211E-002
 5.4010000E+001, 6.7601495E+000, 9.7107657E-001, 4.0120349E+002, 5.2429989E+001, 2.0900000E+001, 2.0900000E+001, 4.0796903E-002, 3.1617673E+001, 7.1715526E+000, 1.3273818E-002
 5.4510000E+001, 6.7534243E+000, 9.7011050E-001, 4.0157351E+002, 5.3583224E+001, 2.0900000E+001, 2.0900000E+001, 4.0791380E-002, 3.1610990E+001, 7.1648697E+000, 1.3450525E-002
 5.5010000E+001, 6.7466124E+000, 9.6913200E-001, 4.0191804E+002, 5.3653084E+001, 2.0900000E+001, 2.0900000E+001, 4.0785784E-002, 3.1604219E+001, 7.1580992E+000, 1.3623658E-002
 5.5510000E+001, 6.7397163E+000, 9.6814140E-001, 4.0225414E+002, 5.4506592E+001, 2.0900000E+001, 2.0900000E+001, 4.0780118E-002, 3.1597363E+001, 7.1512434E+000, 1.3792218E-002
 5.6010000E+001, 6.7327372E+000, 9.6713886E-001, 4.0259128E+002, 5.5044524E+001, 2.0900000E+001, 2.0900000E+001, 4.0774384E-002, 3.1590424E+001, 7.1443040E+000, 1.3958254E-002
 5.6510000E+001, 6.7256768E+000, 9.6612465E-001, 4.0290364E+002, 5.4941175E+001, 2.0900000E+001, 2.0900000E+001, 4.0768581E-002, 3.1583402E+001, 7.1372824E+000, 1.4120876E-002
 5.7010000E+001, 6.7185374E+000, 9.6509910E-001, 4.0320974E+002, 5.5800457E+001, 2.0900000E+001, 2.0900000E+001, 4.0762711E-002, 3.1576301E+001, 7.1301808E+000, 1.4278753E-002
 5.7510000E+001, 6.7113200E+000, 9.6406235E-001, 4.0351868E+002, 5.5848932E+001, 2.0900000E+001, 2.0900000E+001, 4.0756778E-002, 3.1569121E+001, 7.1230008E+000, 1.4434697E-002
 5.8010000E+001, 6.7040264E+000, 9.6301463E-001, 4.0380968E+002, 5.7043953E+001, 2.0900000E+001, 2.0900000E+001, 4.0750780E-002, 3.1561864E+001, 7.1157436E+000, 1.4587324E-002
 5.8510000E+001, 6.6966583E+000, 9.6195624E-001, 4.0408506E+002, 5.7251732E+001, 2.0900000E+001, 2.0900000E+001, 4.0744720E-002, 3.1554531E+001, 7.1084111E+000, 1.4736072E-002
 5.9010000E+001, 6.6892177E+000, 9.6088741E-001, 4.0436567E+002, 5.7624136E+001, 2.0900000E+001, 2.0900000E+001, 4.0738599E-002, 3.1547125E+001, 7.1010053E+000, 1.4881236E-002
 5.9510000E+001, 6.6817050E+000, 9.5980824E-001, 4.0464345E+002, 5.8330779E+001, 2.0900000E+001, 2.0900000E+001, 4.0732419E-002, 3.1539647E+001, 7.0935270E+000, 1.5025361E-002
 6.0010000E+001, 6.6741224E+000, 9.5871902E-001, 4.0489151E+002, 5.9382978E+001, 2.0900000E+001, 2.0900000E+001, 4.0726180E-002, 3.1532098E+001, 7.0859778E+000, 1.5165219E-002
 6.0510000E+001, 6.6664718E+000, 9.5762003E-001, 4.0514223E+002, 5.9580811E+001, 2.0900000E+001, 2.0900000E+001, 4.0719884E-002, 3.1524480E+001, 7.0783597E+000, 1.5301172E-002
 6.1010000E+001, 6.6587545E+000, 9.5651145E-001, 4.0539535E+002, 5.9778874E+001, 2.0900000E+001, 2.0900000E+001, 4.0713533E-002, 3.1516794E+001, 7.0706744E+000, 1.5434707E-002
 6.1510000E+001, 6.6509710E+000, 9.5539338E-001, 4.0564446E+002, 6.0316769E+001, 2.0900000E+001, 2.0900000E+001, 4.0707126E-002, 3.1509042E+001, 7.0629225E+000, 1.5566948E-002
 6.2010000E+001, 6.6431233E+000, 9.5426608E-001, 4.0586953E+002, 6.0504551E+001, 2.0900000E+001, 2.0900000E+001, 4.0700666E-002, 3.1501226E+001, 7.0551055E+000, 1.5695340E-002
 6.2510000E+001, 6.6352132E+000, 9.5312981E-001, 4.0609506E+002, 6.2458727E+001, 2.0900000E+001, 2.0900000E+001, 4.0694153E-002, 3.1493345E+001, 7.0472252E+000, 1.5820323E-002
