s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
 7.5100000E+000, 6.9618265E+000, 1.0000469E+000, 1.8073167E+002, 2.0909363E+001, 2.0900000E+001, 2.0900000E+001, 4.0960954E-002, 3.1816175E+001, 7.3673480E+000, 2.7067655E-003, 6.9088145E-005
 8.0100000E+000, 6.9617662E+000, 1.0000382E+000, 1.8661324E+002, 2.0914242E+001, 2.0900000E+001, 2.0900000E+001, 4.0960916E-002, 3.1816128E+001, 7.3650032E+000, 5.0046305E-003, 1.2065820E-004
 8.5100000E+000, 6.9616645E+000, 1.0000236E+000, 1.9231044E+002, 2.0921007E+001, 2.0900000E+001, 2.0900000E+001, 4.0960849E-002, 3.1816048E+001, 7.3609878E+000, 8.9397292E-003, 2.0349799E-004
 9.0100000E+000, 6.9614991E+000, 9.9999987E-001, 1.9780864E+002, 2.0930124E+001, 2.0900000E+001, 2.0900000E+001, 4.0960740E-002, 3.1815915E+001, 7.3543534E+000, 1.5441498E-002, 3.3074226E-004
 9.5100000E+000, 6.9612407E+000, 9.9996276E-001, 2.0309541E+002, 2.0942097E+001, 2.0900000E+001, 2.0900000E+001, 4.0960565E-002, 3.1815704E+001, 7.3438042E+000, 2.5779638E-002, 5.1670707E-004
 1.0010000E+001, 6.9608534E+000, 9.9990712E-001, 2.0818412E+002, 2.0957460E+001, 2.0900000E+001, 2.0900000E+001, 4.0960299E-002, 3.1815382E+001, 7.3276949E+000, 4.1566800E-002, 7.7457748E-004
 1.0510000E+001, 6.9602982E+000, 9.9982737E-001, 2.1309728E+002, 2.0976771E+001, 2.0900000E+001, 2.0900000E+001, 4.0959909E-002, 3.1814910E+001, 7.3041239E+000, 6.4666353E-002, 1.1104213E-003
 1.1010000E+001, 6.9595422E+000, 9.9971876E-001, 2.1784990E+002, 2.1000594E+001, 2.0900000E+001, 2.0900000E+001, 4.0959366E-002, 3.1814253E+001, 7.2712482E+000, 9.6884488E-002, 1.5121577E-003
 1.1510000E+001, 6.9585738E+000, 9.9957966E-001, 2.2245390E+002, 2.1029496E+001, 2.0900000E+001, 2.0900000E+001, 4.0958649E-002, 3.1813386E+001, 7.2279051E+000, 1.3936075E-001, 1.9366366E-003
 1.2010000E+001, 6.9574229E+000, 9.9941434E-001, 2.2692409E+002, 2.1064038E+001, 2.0900000E+001, 2.0900000E+001, 4.0957767E-002, 3.1812318E+001, 7.1745140E+000, 1.9168394E-001, 2.3018178E-003
 1.2510000E+001, 6.9561740E+000, 9.9923494E-001, 2.3128457E+002, 2.1104759E+001, 2.0900000E+001, 2.0900000E+001, 4.0956766E-002, 3.1811107E+001, 7.1139602E+000, 2.5102649E-001, 2.4978460E-003
 1.3010000E+001, 6.9549595E+000, 9.9906048E-001, 2.3556410E+002, 2.1152184E+001, 2.0900000E+001, 2.0900000E+001, 4.0955738E-002, 3.1809863E+001, 7.0518153E+000, 3.1192820E-001, 2.4289083E-003
 1.3510000E+001, 6.9539179E+000, 9.9891085E-001, 2.3979207E+002, 2.1206799E+001, 2.0900000E+001, 2.0900000E+001, 4.0954801E-002, 3.1808729E+001, 6.9951112E+000, 3.6749769E-001, 2.0832851E-003
 1.4010000E+001, 6.9531240E+000, 9.9879681E-001, 2.4398201E+002, 2.1269063E+001, 2.0900000E+001, 2.0900000E+001, 4.0954045E-002, 3.1807814E+001, 6.9494177E+000, 4.1227655E-001, 1.5878037E-003
 1.4510000E+001, 6.9525395E+000, 9.9871285E-001, 2.4813165E+002, 2.1339405E+001, 2.0900000E+001, 2.0900000E+001, 4.0953485E-002, 3.1807137E+001, 6.9156194E+000, 4.4539771E-001, 1.1690052E-003
 1.5010000E+001, 6.9520393E+000, 9.9864100E-001, 2.5222145E+002, 2.1418187E+001, 2.0900000E+001, 2.0900000E+001, 4.0953048E-002, 3.1806608E+001, 6.8892543E+000, 4.7123396E-001, 1.0004149E-003
 1.5510000E+001, 6.9515001E+000, 9.9856354E-001, 2.5622750E+002, 2.1505758E+001, 2.0900000E+001, 2.0900000E+001, 4.0952625E-002, 3.1806096E+001, 6.8637410E+000, 4.9623476E-001, 1.0784727E-003
 1.6010000E+001, 6.9508585E+000, 9.9847137E-001, 2.6013875E+002, 2.1602450E+001, 2.0900000E+001, 2.0900000E+001, 4.0952137E-002, 3.1805506E+001, 6.8343961E+000, 5.2498985E-001, 1.2831957E-003
 1.6510000E+001, 6.9501031E+000, 9.9836286E-001, 2.6395904E+002, 2.1708401E+001, 2.0900000E+001, 2.0900000E+001, 4.0951558E-002, 3.1804805E+001, 6.7995266E+000, 5.5915816E-001, 1.5107544E-003
 1.7010000E+001, 6.9492506E+000, 9.9824041E-001, 2.6769211E+002, 2.1823892E+001, 2.0900000E+001, 2.0900000E+001, 4.0950890E-002, 3.1803997E+001, 6.7593706E+000, 5.9850600E-001, 1.7049029E-003
 1.7510000E+001, 6.9483383E+000, 9.9810936E-001, 2.7134264E+002, 2.1948770E+001, 2.0900000E+001, 2.0900000E+001, 4.0950156E-002, 3.1803109E+001, 6.7153190E+000, 6.4167018E-001, 1.8246798E-003
 1.8000000E+001, 6.9474210E+000, 9.9797760E-001, 2.7488412E+002, 2.2082252E+001, 2.0900000E+001, 2.0900000E+001, 4.0949403E-002, 3.1802198E+001, 6.6701737E+000, 6.8590431E-001, 1.8352459E-003
 1.8500000E+001, 6.9465634E+000, 9.9785440E-001, 2.7835175E+002, 2.2225721E+001, 2.0900000E+001, 2.0900000E+001, 4.0948673E-002, 3.1801315E+001, 6.6265227E+000, 7.2867187E-001, 1.7188399E-003
 1.9000000E+001, 6.9458241E+000, 9.9774819E-001, 2.8179395E+002, 2.2380923E+001, 2.0900000E+001, 2.0900000E+001, 4.0948010E-002, 3.1800512E+001, 6.5870571E+000, 7.6733486E-001, 1.4843179E-003
 1.9500000E+001, 6.9452364E+000, 9.9766379E-001, 2.8517564E+002, 2.2546373E+001, 2.0900000E+001, 2.0900000E+001, 4.0947461E-002, 3.1799847E+001, 6.5546525E+000, 7.9907467E-001, 1.1814779E-003
 2.0000000E+001, 6.9447952E+000, 9.9760040E-001, 2.8850410E+002, 2.2722033E+001, 2.0900000E+001, 2.0900000E+001, 4.0947037E-002, 3.1799335E+001, 6.5300789E+000, 8.2313609E-001, 8.8770570E-004
 2.0500000E+001, 6.9444581E+000, 9.9755198E-001, 2.9177905E+002, 2.2907627E+001, 2.0900000E+001, 2.0900000E+001, 4.0946719E-002, 3.1798950E+001, 6.5121404E+000, 8.4069000E-001, 6.7724422E-004
 2.1000000E+001, 6.9441650E+000, 9.9750987E-001, 2.9500250E+002, 2.3103087E+001, 2.0900000E+001, 2.0900000E+001, 4.0946463E-002, 3.1798640E+001, 6.4982227E+000, 8.5429770E-001, 5.8689066E-004
 2.1500000E+001, 6.9438618E+000, 9.9746632E-001, 2.9817185E+002, 2.3309219E+001, 2.0900000E+001, 2.0900000E+001, 4.0946220E-002, 3.1798346E+001, 6.4854415E+000, 8.6678446E-001, 6.0521129E-004
 2.2000000E+001, 6.9435135E+000, 9.9741629E-001, 3.0128862E+002, 2.3525529E+001, 2.0900000E+001, 2.0900000E+001, 4.0945952E-002, 3.1798022E+001, 6.4716179E+000, 8.8028441E-001, 6.9433612E-004
 2.2500000E+001, 6.9431021E+000, 9.9735719E-001, 3.0434989E+002, 2.3752054E+001, 2.0900000E+001, 2.0900000E+001, 4.0945639E-002, 3.1797643E+001, 6.4555309E+000, 8.9599262E-001, 8.2010121E-004
 2.3000000E+001, 6.9426187E+000, 9.9728776E-001, 3.0735336E+002, 2.3988130E+001, 2.0900000E+001, 2.0900000E+001, 4.0945270E-002, 3.1797197E+001, 6.4366251E+000, 9.1445147E-001, 9.6366161E-004
 2.3500000E+001, 6.9420591E+000, 9.9720738E-001, 3.1030080E+002, 2.4234027E+001, 2.0900000E+001, 2.0900000E+001, 4.0944839E-002, 3.1796675E+001, 6.4146806E+000, 9.3587479E-001, 1.1160921E-003
 2.4000000E+001, 6.9414223E+000, 9.9711590E-001, 3.1319055E+002, 2.4489853E+001, 2.0900000E+001, 2.0900000E+001, 4.0944345E-002, 3.1796077E+001, 6.3896723E+000, 9.6028480E-001, 1.2705860E-003
 2.4500000E+001, 6.9407113E+000, 9.9701376E-001, 3.1602206E+002, 2.4755678E+001, 2.0900000E+001, 2.0900000E+001, 4.0943787E-002, 3.1795403E+001, 6.3617709E+000, 9.8751186E-001, 1.4192511E-003
 2.5000000E+001, 6.9399337E+000, 9.9690206E-001, 3.1879486E+002, 2.5030339E+001, 2.0900000E+001, 2.0900000E+001, 4.0943172E-002, 3.1794658E+001, 6.3313765E+000, 1.0171610E+000, 1.5527656E-003
 2.5500000E+001, 6.9391021E+000, 9.9678260E-001, 3.2150780E+002, 2.5314207E+001, 2.0900000E+001, 2.0900000E+001, 4.0942506E-002, 3.1793852E+001, 6.2991463E+000, 1.0485854E+000, 1.6613247E-003
 2.6000000E+001, 6.9382333E+000, 9.9665780E-001, 3.2416253E+002, 2.5607833E+001, 2.0900000E+001, 2.0900000E+001, 4.0941802E-002, 3.1793000E+001, 6.2659831E+000, 1.0808969E+000, 1.7364989E-003
 2.6500000E+001, 6.9373466E+000, 9.9653043E-001, 3.2675714E+002, 2.5910558E+001, 2.0900000E+001, 2.0900000E+001, 4.0941075E-002, 3.1792121E+001, 6.2329781E+000, 1.1130225E+000, 1.7730326E-003
 2.7000000E+001, 6.9364613E+000, 9.9640326E-001, 3.2929085E+002, 2.6221327E+001, 2.0900000E+001, 2.0900000E+001, 4.0940341E-002, 3.1791233E+001, 6.2013048E+000, 1.1438083E+000, 1.7708796E-003
 2.7500000E+001, 6.9355934E+000, 9.9627858E-001, 3.3176049E+002, 2.6541417E+001, 2.0900000E+001, 2.0900000E+001, 4.0939616E-002, 3.1790355E+001, 6.1720666E+000, 1.1721688E+000, 1.7368484E-003
 2.8000000E+001, 6.9347514E+000, 9.9615764E-001, 3.3417360E+002, 2.6870300E+001, 2.0900000E+001, 2.0900000E+001, 4.0938909E-002, 3.1789500E+001, 6.1461148E+000, 1.1972653E+000, 1.6850403E-003
 2.8500000E+001, 6.9339345E+000, 9.9604029E-001, 3.3652087E+002, 2.7206508E+001, 2.0900000E+001, 2.0900000E+001, 4.0938224E-002, 3.1788671E+001, 6.1238884E+000, 1.2186628E+000, 1.6346850E-003
 2.9000000E+001, 6.9331311E+000, 9.9592489E-001, 3.3880424E+002, 2.7551556E+001, 2.0900000E+001, 2.0900000E+001, 4.0937556E-002, 3.1787862E+001, 6.1053255E+000, 1.2364169E+000, 1.6069438E-003
 2.9500000E+001, 6.9323207E+000, 9.9580847E-001, 3.4102306E+002, 2.7904726E+001, 2.0900000E+001, 2.0900000E+001, 4.0936890E-002, 3.1787058E+001, 6.0898750E+000, 1.2510625E+000, 1.6200923E-003
 3.0000000E+001, 6.9314772E+000, 9.9568731E-001, 3.4318393E+002, 2.8264627E+001, 2.0900000E+001, 2.0900000E+001, 4.0936209E-002, 3.1786233E+001, 6.0766265E+000, 1.2634864E+000, 1.6851274E-003
 3.0500000E+001, 6.9305737E+000, 9.9555752E-001, 3.4527718E+002, 2.8633116E+001, 2.0900000E+001, 2.0900000E+001, 4.0935489E-002, 3.1785361E+001, 6.0645181E+000, 1.2747234E+000, 1.8040671E-003
 3.1000000E+001, 6.9295864E+000, 9.9541569E-001, 3.4730201E+002, 2.9008593E+001, 2.0900000E+001, 2.0900000E+001, 4.0934709E-002, 3.1784418E+001, 6.0525531E+000, 1.2857448E+000, 1.9709484E-003
 3.1500000E+001, 6.9284964E+000, 9.9525912E-001, 3.4926709E+002, 2.9391033E+001, 2.0900000E+001, 2.0900000E+001, 4.0933852E-002, 3.1783381E+001, 6.0399504E+000, 1.2973102E+000, 2.1756000E-003
 3.2000000E+001, 6.9272901E+000, 9.9508585E-001, 3.5116191E+002, 2.9781335E+001, 2.0900000E+001, 2.0900000E+001, 4.0932904E-002, 3.1782233E+001, 6.0261929E+000, 1.3099204E+000, 2.4076003E-003
 3.2500000E+001, 6.9259581E+000, 9.9489451E-001, 3.5299086E+002, 3.0177293E+001, 2.0900000E+001, 2.0900000E+001, 4.0931855E-002, 3.1780965E+001, 6.0109929E+000, 1.3238520E+000, 2.6588160E-003
 3.3000000E+001, 6.9244937E+000, 9.9468414E-001, 3.5475244E+002, 3.0580759E+001, 2.0900000E+001, 2.0900000E+001, 4.0930700E-002, 3.1779567E+001, 5.9942259E+000, 1.3392213E+000, 2.9235576E-003
 3.3500000E+001, 6.9228920E+000, 9.9445406E-001, 3.5644947E+002, 3.0990514E+001, 2.0900000E+001, 2.0900000E+001, 4.0929433E-002, 3.1778034E+001, 5.9758743E+000, 1.3560401E+000, 3.1978288E-003
 3.4000000E+001, 6.9211500E+000, 9.9420384E-001, 3.5807108E+002, 3.1406363E+001, 2.0900000E+001, 2.0900000E+001, 4.0928052E-002, 3.1776363E+001, 5.9559934E+000, 1.3742493E+000, 3.4782122E-003
 3.4500000E+001, 6.9192664E+000, 9.9393326E-001, 3.5962510E+002, 3.1828970E+001, 2.0900000E+001, 2.0900000E+001, 4.0926554E-002, 3.1774550E+001, 5.9347005E+000, 1.3937295E+000, 3.7616555E-003
 3.5000000E+001, 6.9172410E+000, 9.9364232E-001, 3.6111855E+002, 3.2256707E+001, 2.0900000E+001, 2.0900000E+001, 4.0924938E-002, 3.1772595E+001, 5.9121715E+000, 1.4143039E+000, 4.0450059E-003
 3.5500000E+001, 6.9150758E+000, 9.9333129E-001, 3.6253195E+002, 3.2691079E+001, 2.0900000E+001, 2.0900000E+001, 4.0923207E-002, 3.1770500E+001, 5.8886382E+000, 1.4357417E+000, 4.3249692E-003
 3.6000000E+001, 6.9127737E+000, 9.9300060E-001, 3.6389472E+002, 3.3130330E+001, 2.0900000E+001, 2.0900000E+001, 4.0921360E-002, 3.1768266E+001, 5.8643801E+000, 1.4577658E+000, 4.5988263E-003
 3.6500000E+001, 6.9103391E+000, 9.9265088E-001, 3.6517342E+002, 3.3575371E+001, 2.0900000E+001, 2.0900000E+001, 4.0919403E-002, 3.1765897E+001, 5.8397159E+000, 1.4800612E+000, 4.8639931E-003
 3.7000000E+001, 6.9077773E+000, 9.9228288E-001, 3.6640528E+002, 3.4025703E+001, 2.0900000E+001, 2.0900000E+001, 4.0917338E-002, 3.1763399E+001, 5.8149919E+000, 1.5022866E+000, 5.1186343E-003
 3.7500000E+001, 6.9050940E+000, 9.9189744E-001, 3.6756480E+002, 3.4481003E+001, 2.0900000E+001, 2.0900000E+001, 4.0915170E-002, 3.1760776E+001, 5.7905622E+000, 1.5240933E+000, 5.3617238E-003
 3.8000000E+001, 6.9022953E+000, 9.9149541E-001, 3.6866232E+002, 3.4941731E+001, 2.0900000E+001, 2.0900000E+001, 4.0912904E-002, 3.1758034E+001, 5.7667680E+000, 1.5451460E+000, 5.5930203E-003
 3.8500000E+001, 6.8993864E+000, 9.9107755E-001, 3.6970609E+002, 3.5406621E+001, 2.0900000E+001, 2.0900000E+001, 4.0910545E-002, 3.1755180E+001, 5.7439148E+000, 1.5651450E+000, 5.8134971E-003
 3.9000000E+001, 6.8963719E+000, 9.9064453E-001, 3.7069328E+002, 3.5876933E+001, 2.0900000E+001, 2.0900000E+001, 4.0908097E-002, 3.1752218E+001, 5.7222484E+000, 1.5838494E+000, 6.0247748E-003
 3.9500000E+001, 6.8932551E+000, 9.9019681E-001, 3.7162187E+002, 3.6351132E+001, 2.0900000E+001, 2.0900000E+001, 4.0905564E-002, 3.1749152E+001, 5.7019369E+000, 1.6010950E+000, 6.2295637E-003
 4.0000000E+001, 6.8900377E+000, 9.8973464E-001, 3.7250382E+002, 3.6830481E+001, 2.0900000E+001, 2.0900000E+001, 4.0902946E-002, 3.1745985E+001, 5.6830571E+000, 1.6168077E+000, 6.4308130E-003
 4.0500000E+001, 6.8867198E+000, 9.8925803E-001, 3.7333605E+002, 3.7313240E+001, 2.0900000E+001, 2.0900000E+001, 4.0900246E-002, 3.1742717E+001, 5.6655887E+000, 1.6310084E+000, 6.6317551E-003
 4.1000000E+001, 6.8833002E+000, 9.8876681E-001, 3.7412445E+002, 3.7800926E+001, 2.0900000E+001, 2.0900000E+001, 4.0897462E-002, 3.1739349E+001, 5.6494201E+000, 1.6438084E+000, 6.8350892E-003
 4.1500000E+001, 6.8797765E+000, 9.8826065E-001, 3.7487427E+002, 3.8291910E+001, 2.0900000E+001, 2.0900000E+001, 4.0894593E-002, 3.1735877E+001, 5.6343616E+000, 1.6553955E+000, 7.0431319E-003
 4.2000000E+001, 6.8761457E+000, 9.8773910E-001, 3.7555825E+002, 3.8787520E+001, 2.0900000E+001, 2.0900000E+001, 4.0891637E-002, 3.1732300E+001, 5.6201679E+000, 1.6660122E+000, 7.2572273E-003
 4.2500000E+001, 6.8724047E+000, 9.8720171E-001, 3.7621965E+002, 3.9286138E+001, 2.0900000E+001, 2.0900000E+001, 4.0888591E-002, 3.1728615E+001, 5.6065657E+000, 1.6759288E+000, 7.4775443E-003
 4.3000000E+001, 6.8685507E+000, 9.8664809E-001, 3.7685656E+002, 3.9789148E+001, 2.0900000E+001, 2.0900000E+001, 4.0885452E-002, 3.1724817E+001, 5.5932801E+000, 1.6854171E+000, 7.7034919E-003
 4.3510000E+001, 6.8645814E+000, 9.8607792E-001, 3.7745285E+002, 4.0299654E+001, 2.0900000E+001, 2.0900000E+001, 4.0882187E-002, 3.1720867E+001, 5.5799265E+000, 1.6948201E+000, 7.9361572E-003
 4.4010000E+001, 6.8604959E+000, 9.8549104E-001, 3.7800362E+002, 4.0814574E+001, 2.0900000E+001, 2.0900000E+001, 4.0878824E-002, 3.1716797E+001, 5.5664101E+000, 1.7042665E+000, 8.1711258E-003
 4.4510000E+001, 6.8562939E+000, 9.8488744E-001, 3.7855841E+002, 4.1326800E+001, 2.0900000E+001, 2.0900000E+001, 4.0875397E-002, 3.1712650E+001, 5.5527038E+000, 1.7138267E+000, 8.4038598E-003
 4.5010000E+001, 6.8519765E+000, 9.8426726E-001, 3.7903929E+002, 4.1843058E+001, 2.0900000E+001, 2.0900000E+001, 4.0871875E-002, 3.1708388E+001, 5.5385537E+000, 1.7237147E+000, 8.6348732E-003
 4.5510000E+001, 6.8475453E+000, 9.8363073E-001, 3.7953180E+002, 4.2361345E+001, 2.0900000E+001, 2.0900000E+001, 4.0868258E-002, 3.1704012E+001, 5.5238851E+000, 1.7340065E+000, 8.8622988E-003
 4.6010000E+001, 6.8430025E+000, 9.8297817E-001, 3.7996652E+002, 4.2883459E+001, 2.0900000E+001, 2.0900000E+001, 4.0864547E-002, 3.1699522E+001, 5.5086615E+000, 1.7447407E+000, 9.0856801E-003
 4.6510000E+001, 6.8383512E+000, 9.8231001E-001, 3.8041405E+002, 4.3407619E+001, 2.0900000E+001, 2.0900000E+001, 4.0860746E-002, 3.1694923E+001, 5.4928761E+000, 1.7559266E+000, 9.3027072E-003
 4.7010000E+001, 6.8335943E+000, 9.8162670E-001, 3.8080200E+002, 4.3935254E+001, 2.0900000E+001, 2.0900000E+001, 4.0856856E-002, 3.1690216E+001, 5.4765444E+000, 1.7675517E+000, 9.5138046E-003
 4.7510000E+001, 6.8287355E+000, 9.8092875E-001, 3.8122928E+002, 4.4464930E+001, 2.0900000E+001, 2.0900000E+001, 4.0852881E-002, 3.1685406E+001, 5.4597001E+000, 1.7795859E+000, 9.7174681E-003
 4.8010000E+001, 6.8237784E+000, 9.8021667E-001, 3.8154112E+002, 4.4997649E+001, 2.0900000E+001, 2.0900000E+001, 4.0848823E-002, 3.1680496E+001, 5.4423896E+000, 1.7919863E+000, 9.9143226E-003
 4.8510000E+001, 6.8187266E+000, 9.7949100E-001, 3.8193073E+002, 4.5532203E+001, 2.0900000E+001, 2.0900000E+001, 4.0844685E-002, 3.1675489E+001, 5.4246694E+000, 1.8046998E+000, 1.0103519E-002
 4.9010000E+001, 6.8135843E+000, 9.7875232E-001, 3.8226163E+002, 4.6069372E+001, 2.0900000E+001, 2.0900000E+001, 4.0840471E-002, 3.1670390E+001, 5.4066040E+000, 1.8176659E+000, 1.0284645E-002
 4.9510000E+001, 6.8083549E+000, 9.7800114E-001, 3.8256775E+002, 4.6608837E+001, 2.0900000E+001, 2.0900000E+001, 4.0836184E-002, 3.1665202E+001, 5.3882643E+000, 1.8308178E+000, 1.0458663E-002
 5.0010000E+001, 6.8030429E+000, 9.7723808E-001, 3.8290590E+002, 4.7150116E+001, 2.0900000E+001, 2.0900000E+001, 4.0831826E-002, 3.1659929E+001, 5.3697253E+000, 1.8440841E+000, 1.0624057E-002
 5.0510000E+001, 6.7976519E+000, 9.7646368E-001, 3.8317774E+002, 4.7693715E+001, 2.0900000E+001, 2.0900000E+001, 4.0827402E-002, 3.1654576E+001, 5.3510647E+000, 1.8573913E+000, 1.0782068E-002
 5.1010000E+001, 6.7921853E+000, 9.7567842E-001, 3.8344255E+002, 4.8238842E+001, 2.0900000E+001, 2.0900000E+001, 4.0822914E-002, 3.1649145E+001, 5.3323617E+000, 1.8706637E+000, 1.0933123E-002
 5.1510000E+001, 6.7866471E+000, 9.7488287E-001, 3.8374113E+002, 4.8786461E+001, 2.0900000E+001, 2.0900000E+001, 4.0818365E-002, 3.1643641E+001, 5.3136959E+000, 1.8838253E+000, 1.1076429E-002
 5.2010000E+001, 6.7810410E+000, 9.7407756E-001, 3.8401150E+002, 4.9335035E+001, 2.0900000E+001, 2.0900000E+001, 4.0813758E-002, 3.1638067E+001, 5.2951430E+000, 1.8968044E+000, 1.1212311E-002
 5.2510000E+001, 6.7753698E+000, 9.7326292E-001, 3.8421052E+002, 4.9886036E+001, 2.0900000E+001, 2.0900000E+001, 4.0809097E-002, 3.1632427E+001, 5.2767740E+000, 1.9095332E+000, 1.1342306E-002
 5.3010000E+001, 6.7696371E+000, 9.7243943E-001, 3.8447496E+002, 5.0438090E+001, 2.0900000E+001, 2.0900000E+001, 4.0804383E-002, 3.1626724E+001, 5.2586534E+000, 1.9219504E+000, 1.1465429E-002
 5.3510000E+001, 6.7638455E+000, 9.7160748E-001, 3.8472956E+002, 5.0992208E+001, 2.0900000E+001, 2.0900000E+001, 4.0799620E-002, 3.1620960E+001, 5.2408373E+000, 1.9340029E+000, 1.1583165E-002
 5.4010000E+001, 6.7579980E+000, 9.7076751E-001, 3.8495018E+002, 5.1547555E+001, 2.0900000E+001, 2.0900000E+001, 4.0794809E-002, 3.1615139E+001, 5.2233725E+000, 1.9456469E+000, 1.1694935E-002
 5.4510000E+001, 6.7520964E+000, 9.6991976E-001, 3.8511709E+002, 5.2104279E+001, 2.0900000E+001, 2.0900000E+001, 4.0789953E-002, 3.1609264E+001, 5.2062951E+000, 1.9568485E+000, 1.1803272E-002
 5.5010000E+001, 6.7461431E+000, 9.6906458E-001, 3.8534456E+002, 5.2662422E+001, 2.0900000E+001, 2.0900000E+001, 4.0785054E-002, 3.1603335E+001, 5.1896286E+000, 1.9675863E+000, 1.1906653E-002
 5.5510000E+001, 6.7401390E+000, 9.6820211E-001, 3.8556670E+002, 5.3221605E+001, 2.0900000E+001, 2.0900000E+001, 4.0780112E-002, 3.1597355E+001, 5.1733848E+000, 1.9778503E+000, 1.2008161E-002
 5.6010000E+001, 6.7340863E+000, 9.6733265E-001, 3.8577809E+002, 5.3782527E+001, 2.0900000E+001, 2.0900000E+001, 4.0775129E-002, 3.1591326E+001, 5.1575634E+000, 1.9876422E+000, 1.2105461E-002
 5.6510000E+001, 6.7279855E+000, 9.6645630E-001, 3.8591381E+002, 5.4343942E+001, 2.0900000E+001, 2.0900000E+001, 4.0770106E-002, 3.1585248E+001, 5.1421515E+000, 1.9969764E+000, 1.2201493E-002
 5.7010000E+001, 6.7218374E+000, 9.6557314E-001, 3.8608255E+002, 5.4907109E+001, 2.0900000E+001, 2.0900000E+001, 4.0765043E-002, 3.1579122E+001, 5.1271262E+000, 2.0058762E+000, 1.2296268E-002
