Time (s),Sample Temperature (K),Weight (mg)
115,416.08,4.299
116,416.41,4.299
117,416.75,4.299
118,417.08,4.299
119,417.42,4.299
120,417.76,4.299
121,418.09,4.299
122,418.42,4.299
123,418.76,4.299
124,419.10,4.299
125,419.44,4.299
126,419.78,4.299
127,420.12,4.299
128,420.46,4.299
129,420.79,4.299
130,421.12,4.299
131,421.46,4.299
132,421.81,4.298
133,422.14,4.298
134,422.48,4.298
135,422.81,4.298
136,423.15,4.298
137,423.49,4.298
138,423.83,4.298
139,424.17,4.298
140,424.51,4.298
141,424.84,4.298
142,425.17,4.298
143,425.51,4.298
144,425.85,4.298
145,426.19,4.297
146,426.53,4.297
147,426.86,4.297
148,427.20,4.297
149,427.54,4.297
150,427.87,4.297
151,428.20,4.297
152,428.54,4.297
153,428.87,4.297
154,429.21,4.297
155,429.55,4.297
156,429.89,4.296
157,430.23,4.296
158,430.56,4.296
159,430.89,4.296
160,431.23,4.296
161,431.57,4.296
162,431.90,4.296
163,432.24,4.296
164,432.57,4.296
165,432.91,4.295
166,433.24,4.295
167,433.58,4.295
168,433.92,4.295
169,434.25,4.295
170,434.59,4.295
171,434.92,4.295
172,435.26,4.295
173,435.60,4.294
174,435.94,4.294
175,436.27,4.294
176,436.60,4.294
177,436.94,4.294
178,437.27,4.294
179,437.61,4.294
180,437.95,4.294
181,438.28,4.293
182,438.62,4.293
183,438.96,4.293
184,439.29,4.293
185,439.62,4.293
186,439.96,4.293
187,440.30,4.292
188,440.64,4.292
189,440.97,4.292
190,441.31,4.292
191,441.64,4.292
192,441.98,4.292
193,442.31,4.291
194,442.65,4.291
195,442.99,4.291
196,443.33,4.291
197,443.66,4.291
198,443.99,4.291
199,444.33,4.290
200,444.67,4.290
201,445.00,4.290
202,445.34,4.290
203,445.68,4.290
204,446.01,4.289
205,446.35,4.289
206,446.69,4.289
207,447.02,4.289
208,447.35,4.289
209,447.69,4.288
210,448.02,4.288
211,448.37,4.288
212,448.70,4.288
213,449.04,4.287
214,449.38,4.287
215,449.71,4.287
216,450.04,4.287
217,450.38,4.286
218,450.71,4.286
219,451.05,4.286
220,451.39,4.286
221,451.73,4.285
222,452.06,4.285
223,452.40,4.285
224,452.73,4.285
225,453.07,4.284
226,453.40,4.284
227,453.74,4.284
228,454.08,4.284
229,454.41,4.283
230,454.75,4.283
231,455.09,4.283
232,455.42,4.282
233,455.76,4.282
234,456.09,4.282
235,456.43,4.282
236,456.76,4.281
237,457.10,4.281
238,457.44,4.281
239,457.78,4.280
240,458.11,4.280
241,458.44,4.280
242,458.78,4.279
243,459.11,4.279
244,459.46,4.279
245,459.79,4.278
246,460.13,4.278
247,460.46,4.278
248,460.79,4.277
249,461.13,4.277
250,461.47,4.277
251,461.81,4.276
252,462.14,4.276
253,462.49,4.276
254,462.81,4.275
255,463.15,4.275
256,463.49,4.275
257,463.82,4.274
258,464.16,4.274
259,464.49,4.273
260,464.83,4.273
261,465.17,4.273
262,465.51,4.272
263,465.84,4.272
264,466.17,4.271
265,466.51,4.271
266,466.85,4.271
267,467.19,4.270
268,467.53,4.270
269,467.85,4.269
270,468.19,4.269
271,468.52,4.269
272,468.86,4.268
273,469.20,4.268
274,469.53,4.267
275,469.87,4.267
276,470.20,4.266
277,470.54,4.266
278,470.88,4.265
279,471.22,4.265
280,471.56,4.264
281,471.89,4.264
282,472.22,4.263
283,472.56,4.263
284,472.90,4.263
285,473.24,4.262
286,473.57,4.262
287,473.90,4.261
288,474.24,4.260
289,474.57,4.260
290,474.91,4.259
291,475.25,4.259
292,475.59,4.258
293,475.92,4.258
294,476.26,4.257
295,476.59,4.257
296,476.93,4.256
297,477.27,4.256
298,477.61,4.255
299,477.94,4.254
300,478.27,4.254
301,478.61,4.253
302,478.95,4.253
303,479.29,4.252
304,479.62,4.251
305,479.95,4.251
306,480.28,4.250
307,480.62,4.250
308,480.96,4.249
309,481.29,4.248
310,481.63,4.248
311,481.97,4.247
312,482.31,4.246
313,482.64,4.246
314,482.98,4.245
315,483.31,4.244
316,483.64,4.244
317,483.99,4.243
318,484.32,4.242
319,484.66,4.242
320,484.99,4.241
321,485.33,4.240
322,485.66,4.239
323,486.00,4.239
324,486.34,4.238
325,486.68,4.237
326,487.01,4.236
327,487.34,4.236
328,487.68,4.235
329,488.02,4.234
330,488.35,4.234
331,488.69,4.233
332,489.03,4.232
333,489.36,4.231
334,489.70,4.230
335,490.03,4.229
336,490.37,4.229
337,490.71,4.228
338,491.04,4.227
339,491.38,4.226
340,491.71,4.225
341,492.05,4.224
342,492.39,4.224
343,492.72,4.223
344,493.05,4.222
345,493.39,4.221
346,493.73,4.220
347,494.07,4.219
348,494.40,4.218
349,494.73,4.218
350,495.07,4.217
351,495.41,4.216
352,495.75,4.215
353,496.08,4.214
354,496.41,4.213
355,496.75,4.212
356,497.08,4.211
357,497.42,4.210
358,497.76,4.209
359,498.10,4.208
360,498.44,4.207
361,498.77,4.206
362,499.10,4.205
363,499.44,4.204
364,499.78,4.203
365,500.11,4.202
366,500.45,4.201
367,500.78,4.200
368,501.11,4.199
369,501.46,4.198
370,501.79,4.197
371,502.13,4.195
372,502.47,4.194
373,502.80,4.193
374,503.13,4.192
375,503.47,4.191
376,503.81,4.190
377,504.15,4.189
378,504.49,4.188
379,504.82,4.187
380,505.15,4.186
381,505.49,4.185
382,505.83,4.183
383,506.16,4.182
384,506.49,4.181
385,506.83,4.180
386,507.17,4.179
387,507.51,4.178
388,507.85,4.177
389,508.18,4.175
390,508.51,4.174
391,508.84,4.173
392,509.18,4.172
393,509.52,4.171
394,509.86,4.169
395,510.20,4.168
396,510.53,4.167
397,510.86,4.166
398,511.20,4.164
399,511.53,4.163
400,511.87,4.162
401,512.21,4.161
402,512.55,4.159
403,512.88,4.158
404,513.21,4.157
405,513.55,4.155
406,513.89,4.154
407,514.23,4.153
408,514.56,4.151
409,514.90,4.150
410,515.23,4.149
411,515.57,4.147
412,515.90,4.146
413,516.24,4.144
414,516.58,4.143
415,516.91,4.142
416,517.25,4.140
417,517.58,4.139
418,517.92,4.137
419,518.25,4.136
420,518.59,4.134
421,518.93,4.133
422,519.26,4.131
423,519.60,4.130
424,519.94,4.128
425,520.27,4.127
426,520.60,4.125
427,520.94,4.124
428,521.28,4.122
429,521.62,4.120
430,521.95,4.119
431,522.29,4.117
432,522.63,4.116
433,522.96,4.114
434,523.29,4.112
435,523.63,4.111
436,523.97,4.109
437,524.30,4.107
438,524.64,4.106
439,524.98,4.104
440,525.31,4.102
441,525.64,4.100
442,525.98,4.099
443,526.32,4.097
444,526.65,4.095
445,526.99,4.093
446,527.33,4.091
447,527.66,4.089
448,528.00,4.087
449,528.33,4.085
450,528.67,4.083
451,529.01,4.081
452,529.34,4.080
453,529.68,4.078
454,530.02,4.076
455,530.35,4.074
456,530.69,4.071
457,531.02,4.069
458,531.36,4.067
459,531.69,4.065
460,532.03,4.063
461,532.36,4.061
462,532.70,4.059
463,533.03,4.057
464,533.37,4.054
465,533.71,4.052
466,534.05,4.050
467,534.38,4.048
468,534.72,4.045
469,535.05,4.043
470,535.38,4.041
471,535.72,4.038
472,536.06,4.036
473,536.40,4.034
474,536.74,4.031
475,537.07,4.029
476,537.40,4.026
477,537.74,4.024
478,538.08,4.021
479,538.41,4.019
480,538.74,4.016
481,539.09,4.013
482,539.42,4.011
483,539.76,4.008
484,540.09,4.006
485,540.42,4.003
486,540.76,4.000
487,541.10,3.998
488,541.44,3.995
489,541.78,3.992
490,542.11,3.989
491,542.44,3.987
492,542.77,3.984
493,543.11,3.981
494,543.46,3.978
495,543.80,3.975
496,544.13,3.972
497,544.45,3.969
498,544.79,3.966
499,545.13,3.963
500,545.47,3.960
501,545.80,3.957
502,546.14,3.954
503,546.48,3.951
504,546.81,3.948
505,547.15,3.945
506,547.48,3.942
507,547.82,3.939
508,548.16,3.935
509,548.49,3.932
510,548.83,3.929
511,549.16,3.926
512,549.50,3.923
513,549.84,3.919
514,550.17,3.916
515,550.51,3.913
516,550.84,3.910
517,551.18,3.906
518,551.51,3.903
519,551.85,3.900
520,552.19,3.896
521,552.52,3.893
522,552.86,3.889
523,553.19,3.886
524,553.53,3.883
525,553.87,3.879
526,554.20,3.876
527,554.53,3.872
528,554.87,3.868
529,555.21,3.865
530,555.54,3.861
531,555.88,3.858
532,556.22,3.854
533,556.55,3.850
534,556.89,3.847
535,557.23,3.843
536,557.56,3.839
537,557.90,3.836
538,558.24,3.832
539,558.56,3.828
540,558.90,3.824
541,559.24,3.820
542,559.57,3.817
543,559.91,3.813
544,560.25,3.809
545,560.58,3.805
546,560.92,3.801
547,561.26,3.797
548,561.60,3.793
549,561.93,3.789
550,562.26,3.785
551,562.60,3.781
552,562.94,3.777
553,563.28,3.773
554,563.62,3.769
555,563.94,3.765
556,564.27,3.761
557,564.62,3.756
558,564.95,3.752
559,565.29,3.748
560,565.63,3.744
561,565.96,3.740
562,566.29,3.735
563,566.63,3.731
564,566.96,3.727
565,567.31,3.722
566,567.64,3.718
567,567.97,3.714
568,568.31,3.709
569,568.65,3.705
570,568.99,3.701
571,569.32,3.696
572,569.65,3.692
573,569.98,3.687
574,570.32,3.683
575,570.67,3.678
576,571.01,3.673
577,571.34,3.669
578,571.67,3.664
579,572.00,3.660
580,572.34,3.655
581,572.68,3.650
582,573.02,3.645
583,573.35,3.641
584,573.68,3.636
585,574.02,3.631
586,574.36,3.626
587,574.70,3.622
588,575.02,3.617
589,575.36,3.612
590,575.70,3.607
591,576.04,3.602
592,576.37,3.597
593,576.71,3.592
594,577.05,3.587
595,577.39,3.582
596,577.73,3.577
597,578.05,3.572
598,578.39,3.567
599,578.72,3.562
600,579.06,3.557
601,579.40,3.551
602,579.74,3.546
603,580.07,3.541
604,580.40,3.536
605,580.74,3.530
606,581.08,3.525
607,581.41,3.520
608,581.75,3.514
609,582.08,3.509
610,582.42,3.503
611,582.75,3.498
612,583.09,3.492
613,583.42,3.487
614,583.77,3.481
615,584.11,3.476
616,584.44,3.470
617,584.77,3.464
618,585.10,3.459
619,585.44,3.453
620,585.78,3.447
621,586.12,3.441
622,586.45,3.435
623,586.79,3.429
624,587.12,3.423
625,587.46,3.417
626,587.79,3.411
627,588.13,3.405
628,588.47,3.399
629,588.80,3.393
630,589.14,3.387
631,589.47,3.381
632,589.81,3.375
633,590.14,3.368
634,590.48,3.362
635,590.81,3.355
636,591.16,3.349
637,591.49,3.343
638,591.83,3.336
639,592.16,3.329
640,592.50,3.323
641,592.83,3.316
642,593.17,3.309
643,593.51,3.302
644,593.84,3.296
645,594.17,3.289
646,594.51,3.282
647,594.85,3.275
648,595.19,3.268
649,595.52,3.261
650,595.85,3.253
651,596.19,3.246
652,596.53,3.239
653,596.87,3.232
654,597.20,3.224
655,597.53,3.217
656,597.87,3.209
657,598.21,3.202
658,598.54,3.194
659,598.88,3.186
660,599.21,3.179
661,599.55,3.171
662,599.89,3.163
663,600.23,3.155
664,600.56,3.147
665,600.89,3.139
666,601.23,3.131
667,601.57,3.123
668,601.91,3.114
669,602.24,3.106
670,602.57,3.098
671,602.91,3.089
672,603.24,3.081
673,603.59,3.072
674,603.93,3.063
675,604.26,3.054
676,604.59,3.046
677,604.92,3.037
678,605.26,3.028
679,605.60,3.019
680,605.94,3.010
681,606.27,3.000
682,606.60,2.991
683,606.94,2.982
684,607.28,2.972
685,607.61,2.963
686,607.95,2.953
687,608.29,2.944
688,608.62,2.934
689,608.96,2.924
690,609.29,2.914
691,609.63,2.904
692,609.97,2.894
693,610.30,2.884
694,610.64,2.874
695,610.98,2.863
696,611.31,2.853
697,611.64,2.842
698,611.97,2.832
699,612.31,2.821
700,612.65,2.810
701,612.98,2.799
702,613.32,2.788
703,613.66,2.777
704,614.00,2.766
705,614.33,2.754
706,614.67,2.743
707,615.01,2.731
708,615.34,2.719
709,615.67,2.707
710,616.01,2.695
711,616.34,2.683
712,616.68,2.671
713,617.02,2.658
714,617.35,2.646
715,617.69,2.633
716,618.03,2.620
717,618.36,2.607
718,618.70,2.594
719,619.04,2.581
720,619.37,2.567
721,619.70,2.553
722,620.05,2.540
723,620.38,2.525
724,620.72,2.511
725,621.05,2.497
726,621.39,2.482
727,621.72,2.467
728,622.06,2.452
729,622.39,2.437
730,622.73,2.421
731,623.07,2.405
732,623.40,2.389
733,623.73,2.372
734,624.08,2.356
735,624.41,2.339
736,624.75,2.321
737,625.08,2.304
738,625.41,2.286
739,625.76,2.268
740,626.10,2.250
741,626.43,2.231
742,626.76,2.212
743,627.10,2.193
744,627.44,2.174
745,627.77,2.154
746,628.11,2.135
747,628.44,2.114
748,628.77,2.094
749,629.11,2.074
750,629.46,2.053
751,629.79,2.032
752,630.12,2.011
753,630.46,1.990
754,630.79,1.968
755,631.13,1.947
756,631.47,1.926
757,631.81,1.904
758,632.14,1.883
759,632.47,1.862
760,632.81,1.841
761,633.15,1.820
762,633.49,1.799
763,633.82,1.779
764,634.15,1.758
765,634.49,1.738
766,634.82,1.719
767,635.17,1.700
768,635.50,1.681
769,635.83,1.663
770,636.16,1.645
771,636.50,1.628
772,636.84,1.611
773,637.17,1.595
774,637.51,1.580
775,637.85,1.565
776,638.18,1.551
777,638.52,1.538
778,638.85,1.525
779,639.19,1.513
780,639.53,1.502
781,639.86,1.492
782,640.20,1.482
783,640.54,1.472
784,640.87,1.463
785,641.21,1.455
786,641.54,1.446
787,641.88,1.439
788,642.21,1.431
789,642.55,1.424
790,642.88,1.417
791,643.22,1.411
792,643.56,1.405
793,643.90,1.399
794,644.22,1.393
795,644.56,1.387
796,644.90,1.382
797,645.24,1.377
798,645.57,1.371
799,645.91,1.366
800,646.24,1.361
801,646.58,1.357
802,646.91,1.352
803,647.25,1.347
804,647.58,1.343
805,647.92,1.338
806,648.26,1.334
807,648.59,1.329
808,648.93,1.325
809,649.26,1.321
810,649.60,1.317
811,649.94,1.313
812,650.27,1.309
813,650.61,1.305
814,650.94,1.301
815,651.28,1.298
816,651.62,1.294
817,651.95,1.290
818,652.29,1.287
819,652.62,1.283
820,652.96,1.280
821,653.29,1.276
822,653.63,1.273
823,653.97,1.269
824,654.31,1.266
825,654.64,1.263
826,654.98,1.260
827,655.31,1.256
828,655.65,1.253
829,655.99,1.250
830,656.32,1.247
831,656.65,1.244
832,656.99,1.241
833,657.33,1.238
834,657.67,1.235
835,658.00,1.232
836,658.33,1.229
837,658.67,1.226
838,659.01,1.223
839,659.35,1.220
840,659.68,1.217
841,660.01,1.215
842,660.35,1.212
843,660.69,1.209
844,661.02,1.206
845,661.36,1.204
846,661.70,1.201
847,662.04,1.198
848,662.37,1.195
849,662.71,1.193
850,663.04,1.190
851,663.37,1.187
852,663.71,1.185
853,664.05,1.182
854,664.38,1.180
855,664.72,1.177
856,665.05,1.174
857,665.39,1.172
858,665.73,1.169
859,666.06,1.167
860,666.40,1.164
861,666.73,1.162
862,667.07,1.159
863,667.41,1.157
864,667.74,1.154
865,668.08,1.152
866,668.41,1.149
867,668.75,1.147
868,669.09,1.144
869,669.42,1.142
870,669.76,1.139
871,670.09,1.137
872,670.43,1.135
873,670.77,1.132
874,671.10,1.130
875,671.44,1.127
876,671.78,1.125
877,672.11,1.123
878,672.45,1.120
879,672.78,1.118
880,673.12,1.115
881,673.45,1.113
882,673.79,1.111
883,674.13,1.108
884,674.46,1.106
885,674.80,1.104
886,675.13,1.101
887,675.47,1.099
888,675.81,1.097
889,676.15,1.094
890,676.48,1.092
891,676.81,1.090
892,677.15,1.088
893,677.48,1.085
894,677.82,1.083
895,678.16,1.081
896,678.49,1.078
897,678.84,1.076
898,679.17,1.074
899,679.50,1.072
900,679.83,1.069
901,680.17,1.067
902,680.52,1.065
903,680.85,1.063
904,681.18,1.060
905,681.52,1.058
906,681.86,1.056
907,682.20,1.054
908,682.53,1.052
909,682.85,1.050
910,683.19,1.047
911,683.54,1.045
912,683.88,1.043
913,684.21,1.041
914,684.54,1.039
915,684.87,1.036
916,685.21,1.034
917,685.55,1.032
918,685.89,1.030
919,686.22,1.028
920,686.55,1.025
921,686.89,1.023
922,687.23,1.021
923,687.57,1.019
924,687.90,1.016
925,688.24,1.014
926,688.57,1.012
927,688.91,1.010
928,689.25,1.007
929,689.58,1.005
930,689.92,1.003
931,690.26,1.001
932,690.59,0.999
933,690.92,0.996
934,691.26,0.994
935,691.60,0.992
936,691.94,0.990
937,692.27,0.987
938,692.60,0.985
939,692.94,0.983
940,693.27,0.981
941,693.61,0.979
942,693.95,0.976
943,694.28,0.974
944,694.62,0.972
945,694.96,0.970
946,695.30,0.967
947,695.63,0.965
948,695.96,0.963
949,696.30,0.960
950,696.64,0.958
951,696.98,0.956
952,697.31,0.953
953,697.65,0.951
954,697.98,0.949
955,698.31,0.947
956,698.64,0.944
957,698.99,0.942
958,699.32,0.940
959,699.66,0.938
960,700.00,0.935
961,700.33,0.933
962,700.67,0.931
963,701.00,0.929
964,701.33,0.926
965,701.67,0.924
966,702.00,0.922
967,702.33,0.919
968,702.66,0.917
969,703.00,0.915
970,703.33,0.913
971,703.66,0.910
972,703.99,0.908
973,704.33,0.906
974,704.67,0.903
975,705.00,0.901
976,705.32,0.899
977,705.66,0.896
978,706.00,0.894
979,706.33,0.892
980,706.66,0.889
981,706.99,0.887
982,707.33,0.885
983,707.67,0.882
984,708.00,0.880
985,708.33,0.878
986,708.66,0.875
987,709.00,0.873
988,709.33,0.870
989,709.66,0.868
990,710.00,0.866
991,710.33,0.863
992,710.66,0.861
993,710.99,0.858
994,711.33,0.856
995,711.66,0.853
996,711.99,0.851
997,712.33,0.849
998,712.67,0.846
999,712.99,0.844
1000,713.33,0.842
1001,713.66,0.839
1002,713.99,0.837
1003,714.33,0.835
1004,714.67,0.832
1005,714.99,0.830
1006,715.33,0.827
1007,715.66,0.825
1008,716.00,0.823
1009,716.33,0.820
1010,716.66,0.818
1011,716.99,0.815
1012,717.33,0.813
1013,717.66,0.810
1014,718.00,0.808
1015,718.33,0.805
1016,718.66,0.803
1017,719.00,0.800
1018,719.33,0.798
1019,719.66,0.795
1020,720.00,0.793
1021,720.32,0.790
1022,720.66,0.788
1023,721.00,0.785
1024,721.33,0.783
1025,721.66,0.780
1026,721.99,0.778
1027,722.33,0.775
1028,722.66,0.772
1029,722.99,0.770
1030,723.33,0.767
1031,723.66,0.765
1032,723.99,0.762
1033,724.33,0.759
1034,724.66,0.757
1035,724.99,0.754
1036,725.33,0.751
1037,725.66,0.749
1038,726.00,0.746
1039,726.34,0.743
1040,726.66,0.741
1041,727.00,0.738
1042,727.33,0.735
1043,727.66,0.732
1044,727.99,0.730
1045,728.33,0.727
1046,728.67,0.724
1047,728.99,0.721
1048,729.33,0.718
1049,729.67,0.716
1050,730.00,0.713
1051,730.33,0.710
1052,730.66,0.707
1053,731.00,0.704
1054,731.33,0.701
1055,731.66,0.699
1056,731.99,0.696
1057,732.33,0.693
1058,732.66,0.690
1059,733.00,0.687
1060,733.33,0.684
1061,733.67,0.681
1062,734.00,0.678
1063,734.33,0.675
1064,734.66,0.672
1065,735.00,0.669
1066,735.33,0.666
1067,735.66,0.663
1068,735.99,0.660
1069,736.33,0.657
1070,736.67,0.654
1071,736.99,0.650
1072,737.33,0.647
1073,737.66,0.644
1074,738.00,0.641
1075,738.33,0.638
1076,738.66,0.635
1077,739.00,0.632
1078,739.33,0.628
1079,739.66,0.625
1080,740.00,0.622
1081,740.33,0.619
1082,740.67,0.616
1083,741.00,0.612
1084,741.33,0.609
1085,741.66,0.606
1086,742.00,0.603
1087,742.34,0.599
1088,742.67,0.596
1089,742.99,0.593
1090,743.33,0.590
1091,743.67,0.586
1092,744.00,0.583
1093,744.33,0.580
1094,744.66,0.576
1095,745.00,0.573
1096,745.33,0.570
1097,745.66,0.566
1098,746.00,0.563
1099,746.33,0.559
1100,746.67,0.556
1101,747.00,0.553
1102,747.32,0.549
1103,747.66,0.546
1104,748.00,0.543
1105,748.33,0.539
1106,748.66,0.536
1107,749.00,0.532
1108,749.33,0.529
1109,749.66,0.526
1110,750.00,0.522
1111,750.33,0.519
1112,750.66,0.515
1113,750.99,0.512
1114,751.33,0.509
1115,751.67,0.505
1116,752.00,0.502
1117,752.32,0.498
1118,752.66,0.495
1119,753.00,0.491
1120,753.33,0.488
1121,753.66,0.485
1122,754.00,0.481
1123,754.33,0.478
1124,754.67,0.474
1125,754.99,0.471
1126,755.33,0.467
1127,755.67,0.464
1128,756.00,0.460
1129,756.33,0.457
1130,756.66,0.453
1131,756.99,0.450
1132,757.33,0.446
1133,757.67,0.443
1134,758.00,0.439
1135,758.33,0.436
1136,758.66,0.432
1137,759.00,0.429
1138,759.33,0.425
1139,759.67,0.422
1140,759.99,0.418
1141,760.33,0.415
1142,760.66,0.411
1143,761.00,0.408
1144,761.33,0.404
1145,761.66,0.401
1146,762.00,0.397
1147,762.33,0.393
1148,762.66,0.390
1149,763.00,0.386
1150,763.34,0.383
1151,763.67,0.379
1152,764.00,0.375
1153,764.33,0.372
1154,764.66,0.368
1155,765.00,0.364
1156,765.33,0.360
1157,765.67,0.357
1158,765.99,0.353
1159,766.34,0.349
1160,766.67,0.345
1161,767.00,0.341
1162,767.33,0.338
1163,767.67,0.334
1164,768.00,0.330
1165,768.33,0.326
1166,768.67,0.322
1167,769.00,0.318
1168,769.33,0.314
1169,769.67,0.310
1170,769.99,0.306
1171,770.33,0.302
1172,770.67,0.298
1173,771.00,0.293
1174,771.33,0.289
1175,771.66,0.285
1176,772.01,0.281
1177,772.33,0.276
1178,772.66,0.272
1179,773.00,0.268
1180,773.33,0.263
1181,773.67,0.259
1182,774.00,0.254
1183,774.33,0.249
1184,774.67,0.244
1185,775.00,0.239
1186,775.33,0.235
1187,775.66,0.230
1188,776.01,0.226
1189,776.34,0.221
1190,776.67,0.216
1191,777.00,0.212
1192,777.34,0.207
1193,777.67,0.201
1194,778.01,0.196
1195,778.64,0.175
1196,779.59,0.113
1197,779.21,0.059
1198,778.81,0.029
1199,779.53,0.020
1200,780.22,0.018
1201,780.22,0.018
1202,780.42,0.018
1203,780.98,0.018
1204,781.38,0.018
1205,781.57,0.018
1206,781.88,0.018
1207,782.30,0.019
1208,782.67,0.019
1209,782.95,0.019
1210,783.26,0.018
1211,783.63,0.017
1212,783.99,0.017
1213,784.31,0.016
1214,784.63,0.016
1215,784.97,0.016
1216,785.32,0.016
1217,785.66,0.015
1218,785.98,0.015
1219,786.31,0.015
1220,786.65,0.015
1221,786.99,0.015
1222,787.32,0.015
1223,787.65,0.015
1224,787.99,0.014
1225,788.32,0.014
1226,788.66,0.014
1227,788.99,0.014
1228,789.33,0.014
1229,789.66,0.014
1230,789.99,0.014
1231,790.34,0.014
1232,790.66,0.014
1233,791.00,0.014
1234,791.33,0.013
1235,791.66,0.013
1236,791.99,0.013
1237,792.33,0.013
1238,792.67,0.013
1239,792.99,0.013
1240,793.33,0.013
1241,793.67,0.013
1242,794.00,0.013
1243,794.33,0.013
1244,794.67,0.013
1245,795.00,0.013
1246,795.33,0.013
1247,795.67,0.013
1248,796.00,0.013
1249,796.34,0.013
1250,796.67,0.013
1251,796.99,0.013
1252,797.33,0.013
1253,797.68,0.013
1254,798.01,0.013
1255,798.33,0.013
1256,798.66,0.012
1257,799.00,0.012
1258,799.34,0.012
1259,799.67,0.012
1260,799.99,0.012
1261,800.34,0.012
1262,800.67,0.012
1263,801.01,0.012
1264,801.33,0.012
1265,801.66,0.012
1266,802.01,0.012
1267,802.34,0.012
1268,802.67,0.012
1269,803.00,0.012
1270,803.33,0.012
1271,803.67,0.012
1272,804.00,0.012
1273,804.34,0.012
1274,804.67,0.012
1275,805.00,0.012
1276,805.34,0.012
1277,805.67,0.012
1278,806.00,0.012
1279,806.33,0.012
1280,806.67,0.012
1281,807.00,0.012
1282,807.33,0.012
1283,807.67,0.012
1284,808.01,0.012
1285,808.34,0.012
1286,808.67,0.012
1287,809.00,0.012
1288,809.33,0.012
1289,809.67,0.012
1290,810.00,0.012
1291,810.34,0.012
1292,810.67,0.012
1293,811.00,0.012
1294,811.34,0.012
1295,811.67,0.012
1296,812.01,0.012
1297,812.34,0.012
1298,812.67,0.012
1299,813.00,0.012
1300,813.33,0.012
1301,813.67,0.012
1302,814.00,0.012
1303,814.34,0.012
1304,814.67,0.012
1305,815.00,0.011
1306,815.34,0.011
1307,815.68,0.011
1308,816.00,0.011
1309,816.34,0.011
1310,816.67,0.011
1311,817.01,0.011
1312,817.34,0.011
1313,817.67,0.011
1314,818.00,0.011
1315,818.34,0.011
1316,818.68,0.011
1317,819.00,0.011
1318,819.34,0.011
1319,819.68,0.011
1320,820.00,0.011
1321,820.33,0.011
1322,820.67,0.011
1323,821.01,0.011
1324,821.34,0.011
1325,821.68,0.011
1326,822.00,0.011
1327,822.33,0.011
1328,822.67,0.011
1329,823.01,0.011
1330,823.34,0.011
1331,823.67,0.011
1332,824.01,0.011
1333,824.34,0.011
1334,824.67,0.011
1335,825.01,0.011
1336,825.34,0.011
1337,825.67,0.011
1338,826.00,0.011
1339,826.33,0.011
1340,826.68,0.011
1341,827.01,0.011
1342,827.33,0.011
1343,827.66,0.011
1344,828.00,0.011
1345,828.34,0.011
1346,828.68,0.011
1347,829.01,0.011
1348,829.34,0.011
1349,829.67,0.011
1350,830.00,0.011
1351,830.34,0.011
1352,830.67,0.011
1353,831.01,0.011
1354,831.34,0.011
1355,831.67,0.011
1356,832.01,0.011
1357,832.34,0.011
1358,832.68,0.011
