Time (s),Sample Temperature (K),Weight (mg)
685,405.41,4.967
686,405.44,4.967
687,405.47,4.967
688,405.51,4.967
689,405.54,4.967
690,405.58,4.967
691,405.61,4.967
692,405.64,4.967
693,405.68,4.967
694,405.71,4.967
695,405.74,4.967
696,405.77,4.967
697,405.81,4.967
698,405.84,4.967
699,405.88,4.967
700,405.91,4.967
701,405.95,4.967
702,405.98,4.967
703,406.01,4.967
704,406.04,4.967
705,406.07,4.967
706,406.11,4.967
707,406.14,4.967
708,406.17,4.967
709,406.21,4.967
710,406.25,4.967
711,406.28,4.967
712,406.31,4.967
713,406.35,4.967
714,406.38,4.967
715,406.41,4.967
716,406.44,4.967
717,406.48,4.967
718,406.51,4.967
719,406.54,4.967
720,406.58,4.967
721,406.61,4.967
722,406.64,4.967
723,406.68,4.967
724,406.71,4.967
725,406.74,4.967
726,406.78,4.967
727,406.81,4.967
728,406.84,4.967
729,406.88,4.967
730,406.91,4.967
731,406.95,4.967
732,406.98,4.967
733,407.01,4.967
734,407.05,4.967
735,407.08,4.967
736,407.11,4.967
737,407.14,4.967
738,407.17,4.967
739,407.21,4.967
740,407.24,4.967
741,407.28,4.967
742,407.31,4.967
743,407.35,4.966
744,407.38,4.966
745,407.41,4.966
746,407.44,4.966
747,407.48,4.966
748,407.51,4.966
749,407.55,4.966
750,407.58,4.966
751,407.62,4.966
752,407.64,4.966
753,407.68,4.966
754,407.71,4.966
755,407.75,4.966
756,407.78,4.966
757,407.81,4.966
758,407.85,4.966
759,407.88,4.966
760,407.91,4.966
761,407.95,4.966
762,407.98,4.966
763,408.01,4.966
764,408.04,4.966
765,408.08,4.966
766,408.12,4.966
767,408.15,4.966
768,408.18,4.966
769,408.22,4.966
770,408.24,4.966
771,408.28,4.966
772,408.31,4.966
773,408.35,4.966
774,408.38,4.966
775,408.42,4.966
776,408.45,4.966
777,408.48,4.966
778,408.51,4.966
779,408.54,4.966
780,408.58,4.966
781,408.61,4.966
782,408.65,4.966
783,408.68,4.966
784,408.71,4.966
785,408.75,4.966
786,408.78,4.966
787,408.82,4.966
788,408.85,4.966
789,408.88,4.966
790,408.91,4.966
791,408.95,4.966
792,408.98,4.966
793,409.01,4.966
794,409.04,4.966
795,409.08,4.966
796,409.12,4.966
797,409.15,4.966
798,409.19,4.966
799,409.21,4.966
800,409.25,4.965
801,409.28,4.965
802,409.31,4.965
803,409.35,4.965
804,409.38,4.965
805,409.42,4.965
806,409.45,4.965
807,409.48,4.965
808,409.51,4.965
809,409.55,4.965
810,409.58,4.965
811,409.61,4.965
812,409.65,4.965
813,409.68,4.965
814,409.71,4.965
815,409.75,4.965
816,409.78,4.965
817,409.81,4.965
818,409.85,4.965
819,409.89,4.965
820,409.91,4.965
821,409.95,4.965
822,409.98,4.965
823,410.01,4.965
824,410.05,4.965
825,410.08,4.965
826,410.11,4.965
827,410.15,4.965
828,410.18,4.965
829,410.22,4.965
830,410.25,4.965
831,410.29,4.965
832,410.31,4.965
833,410.35,4.965
834,410.38,4.965
835,410.41,4.965
836,410.45,4.965
837,410.48,4.965
838,410.52,4.965
839,410.55,4.965
840,410.59,4.965
841,410.62,4.965
842,410.66,4.965
843,410.68,4.965
844,410.71,4.965
845,410.75,4.965
846,410.78,4.965
847,410.82,4.965
848,410.85,4.964
849,410.88,4.964
850,410.92,4.964
851,410.95,4.964
852,410.98,4.964
853,411.02,4.964
854,411.05,4.964
855,411.08,4.964
856,411.12,4.964
857,411.15,4.964
858,411.19,4.964
859,411.22,4.964
860,411.25,4.964
861,411.28,4.964
862,411.31,4.964
863,411.35,4.964
864,411.38,4.964
865,411.41,4.964
866,411.46,4.964
867,411.49,4.964
868,411.52,4.964
869,411.55,4.964
870,411.58,4.964
871,411.61,4.964
872,411.64,4.964
873,411.68,4.964
874,411.72,4.964
875,411.76,4.964
876,411.79,4.964
877,411.82,4.964
878,411.85,4.964
879,411.88,4.964
880,411.91,4.964
881,411.95,4.964
882,411.98,4.964
883,412.02,4.964
884,412.06,4.964
885,412.09,4.964
886,412.12,4.964
887,412.15,4.964
888,412.18,4.964
889,412.21,4.964
890,412.25,4.964
891,412.29,4.964
892,412.32,4.964
893,412.36,4.964
894,412.39,4.964
895,412.41,4.964
896,412.45,4.964
897,412.48,4.964
898,412.51,4.963
899,412.55,4.963
900,412.59,4.963
901,412.62,4.963
902,412.65,4.963
903,412.69,4.963
904,412.72,4.963
905,412.75,4.963
906,412.78,4.963
907,412.82,4.963
908,412.85,4.963
909,412.89,4.963
910,412.92,4.963
911,412.95,4.963
912,412.98,4.963
913,413.02,4.963
914,413.04,4.963
915,413.08,4.963
916,413.11,4.963
917,413.15,4.963
918,413.18,4.963
919,413.22,4.963
920,413.26,4.963
921,413.29,4.963
922,413.32,4.963
923,413.35,4.963
924,413.39,4.963
925,413.42,4.963
926,413.45,4.963
927,413.49,4.963
928,413.52,4.963
929,413.55,4.963
930,413.59,4.963
931,413.62,4.963
932,413.65,4.963
933,413.69,4.963
934,413.72,4.963
935,413.75,4.963
936,413.79,4.963
937,413.82,4.963
938,413.85,4.963
939,413.88,4.963
940,413.92,4.963
941,413.96,4.963
942,413.99,4.963
943,414.02,4.963
944,414.05,4.963
945,414.09,4.963
946,414.12,4.963
947,414.15,4.962
948,414.19,4.962
949,414.22,4.962
950,414.25,4.962
951,414.29,4.962
952,414.32,4.962
953,414.36,4.962
954,414.39,4.962
955,414.42,4.962
956,414.45,4.962
957,414.49,4.962
958,414.52,4.962
959,414.56,4.962
960,414.59,4.962
961,414.63,4.962
962,414.65,4.962
963,414.68,4.962
964,414.72,4.962
965,414.75,4.962
966,414.79,4.962
967,414.83,4.962
968,414.86,4.962
969,414.89,4.962
970,414.92,4.962
971,414.95,4.962
972,414.99,4.962
973,415.02,4.962
974,415.06,4.962
975,415.09,4.962
976,415.12,4.962
977,415.16,4.962
978,415.19,4.962
979,415.22,4.962
980,415.25,4.962
981,415.29,4.962
982,415.32,4.962
983,415.36,4.962
984,415.39,4.962
985,415.43,4.962
986,415.46,4.962
987,415.49,4.962
988,415.52,4.962
989,415.55,4.962
990,415.59,4.962
991,415.63,4.962
992,415.66,4.962
993,415.69,4.962
994,415.72,4.961
995,415.75,4.961
996,415.78,4.961
997,415.82,4.961
998,415.86,4.961
999,415.89,4.961
1000,415.93,4.961
1001,415.96,4.961
1002,415.99,4.961
1003,416.02,4.961
1004,416.05,4.961
1005,416.09,4.961
1006,416.12,4.961
1007,416.16,4.961
1008,416.19,4.961
1009,416.23,4.961
1010,416.26,4.961
1011,416.29,4.961
1012,416.32,4.961
1013,416.36,4.961
1014,416.39,4.961
1015,416.43,4.961
1016,416.46,4.961
1017,416.49,4.961
1018,416.52,4.961
1019,416.56,4.961
1020,416.59,4.961
1021,416.63,4.961
1022,416.66,4.961
1023,416.69,4.961
1024,416.72,4.961
1025,416.75,4.961
1026,416.79,4.961
1027,416.82,4.961
1028,416.86,4.961
1029,416.89,4.961
1030,416.93,4.961
1031,416.96,4.961
1032,416.99,4.961
1033,417.02,4.961
1034,417.05,4.960
1035,417.08,4.960
1036,417.12,4.960
1037,417.16,4.960
1038,417.19,4.960
1039,417.23,4.960
1040,417.26,4.960
1041,417.30,4.960
1042,417.32,4.960
1043,417.36,4.960
1044,417.39,4.960
1045,417.42,4.960
1046,417.46,4.960
1047,417.49,4.960
1048,417.52,4.960
1049,417.56,4.960
1050,417.59,4.960
1051,417.63,4.960
1052,417.66,4.960
1053,417.70,4.960
1054,417.73,4.960
1055,417.76,4.960
1056,417.80,4.960
1057,417.83,4.960
1058,417.86,4.960
1059,417.89,4.960
1060,417.92,4.960
1061,417.95,4.960
1062,417.99,4.960
1063,418.03,4.960
1064,418.06,4.960
1065,418.09,4.960
1066,418.13,4.960
1067,418.16,4.960
1068,418.19,4.960
1069,418.23,4.960
1070,418.26,4.960
1071,418.29,4.960
1072,418.32,4.960
1073,418.36,4.960
1074,418.39,4.960
1075,418.43,4.960
1076,418.46,4.959
1077,418.49,4.959
1078,418.53,4.959
1079,418.56,4.959
1080,418.59,4.959
1081,418.63,4.959
1082,418.66,4.959
1083,418.69,4.959
1084,418.73,4.959
1085,418.76,4.959
1086,418.80,4.959
1087,418.83,4.959
1088,418.86,4.959
1089,418.89,4.959
1090,418.93,4.959
1091,418.96,4.959
1092,418.99,4.959
1093,419.03,4.959
1094,419.06,4.959
1095,419.10,4.959
1096,419.13,4.959
1097,419.16,4.959
1098,419.20,4.959
1099,419.23,4.959
1100,419.26,4.959
1101,419.29,4.959
1102,419.33,4.959
1103,419.36,4.959
1104,419.40,4.959
1105,419.43,4.959
1106,419.46,4.959
1107,419.49,4.959
1108,419.52,4.959
1109,419.56,4.959
1110,419.60,4.959
1111,419.64,4.959
1112,419.67,4.959
1113,419.70,4.959
1114,419.72,4.958
1115,419.75,4.958
1116,419.79,4.958
1117,419.83,4.958
1118,419.86,4.958
1119,419.90,4.958
1120,419.93,4.958
1121,419.96,4.958
1122,419.99,4.958
1123,420.03,4.958
1124,420.06,4.958
1125,420.10,4.958
1126,420.13,4.958
1127,420.16,4.958
1128,420.19,4.958
1129,420.23,4.958
1130,420.26,4.958
1131,420.30,4.958
1132,420.33,4.958
1133,420.36,4.958
1134,420.40,4.958
1135,420.43,4.958
1136,420.47,4.958
1137,420.50,4.958
1138,420.53,4.958
1139,420.56,4.958
1140,420.59,4.958
1141,420.63,4.958
1142,420.66,4.958
1143,420.69,4.958
1144,420.73,4.958
1145,420.77,4.958
1146,420.80,4.958
1147,420.83,4.958
1148,420.86,4.958
1149,420.90,4.957
1150,420.93,4.957
1151,420.97,4.957
1152,421.00,4.957
1153,421.03,4.957
1154,421.06,4.957
1155,421.10,4.957
1156,421.13,4.957
1157,421.17,4.957
1158,421.20,4.957
1159,421.23,4.957
1160,421.26,4.957
1161,421.30,4.957
1162,421.33,4.957
1163,421.37,4.957
1164,421.40,4.957
1165,421.43,4.957
1166,421.46,4.957
1167,421.50,4.957
1168,421.54,4.957
1169,421.57,4.957
1170,421.60,4.957
1171,421.62,4.957
1172,421.66,4.957
1173,421.70,4.957
1174,421.73,4.957
1175,421.77,4.957
1176,421.80,4.957
1177,421.83,4.957
1178,421.86,4.957
1179,421.89,4.957
1180,421.93,4.957
1181,421.96,4.957
1182,422.00,4.957
1183,422.04,4.957
1184,422.07,4.956
1185,422.09,4.956
1186,422.13,4.956
1187,422.16,4.956
1188,422.19,4.956
1189,422.23,4.956
1190,422.26,4.956
1191,422.30,4.956
1192,422.33,4.956
1193,422.36,4.956
1194,422.39,4.956
1195,422.43,4.956
1196,422.46,4.956
1197,422.50,4.956
1198,422.53,4.956
1199,422.56,4.956
1200,422.60,4.956
1201,422.63,4.956
1202,422.67,4.956
1203,422.70,4.956
1204,422.74,4.956
1205,422.77,4.956
1206,422.80,4.956
1207,422.83,4.956
1208,422.86,4.956
1209,422.89,4.956
1210,422.94,4.956
1211,422.97,4.956
1212,423.01,4.956
1213,423.03,4.956
1214,423.06,4.956
1215,423.10,4.956
1216,423.13,4.956
1217,423.17,4.955
1218,423.20,4.955
1219,423.24,4.955
1220,423.27,4.955
1221,423.30,4.955
1222,423.33,4.955
1223,423.36,4.955
1224,423.39,4.955
1225,423.43,4.955
1226,423.46,4.955
1227,423.50,4.955
1228,423.54,4.955
1229,423.57,4.955
1230,423.61,4.955
1231,423.64,4.955
1232,423.66,4.955
1233,423.70,4.955
1234,423.73,4.955
1235,423.76,4.955
1236,423.80,4.955
1237,423.84,4.955
1238,423.87,4.955
1239,423.90,4.955
1240,423.93,4.955
1241,423.96,4.955
1242,424.00,4.955
1243,424.03,4.955
1244,424.07,4.955
1245,424.10,4.955
1246,424.14,4.955
1247,424.17,4.955
1248,424.20,4.955
1249,424.23,4.955
1250,424.27,4.954
1251,424.30,4.954
1252,424.34,4.954
1253,424.37,4.954
1254,424.40,4.954
1255,424.43,4.954
1256,424.46,4.954
1257,424.50,4.954
1258,424.53,4.954
1259,424.57,4.954
1260,424.60,4.954
1261,424.64,4.954
1262,424.67,4.954
1263,424.71,4.954
1264,424.74,4.954
1265,424.77,4.954
1266,424.80,4.954
1267,424.83,4.954
1268,424.86,4.954
1269,424.90,4.954
1270,424.93,4.954
1271,424.97,4.954
1272,425.00,4.954
1273,425.04,4.954
1274,425.06,4.954
1275,425.10,4.954
1276,425.13,4.954
1277,425.17,4.954
1278,425.20,4.954
1279,425.24,4.953
1280,425.27,4.953
1281,425.30,4.953
1282,425.34,4.953
1283,425.37,4.953
1284,425.40,4.953
1285,425.43,4.953
1286,425.47,4.953
1287,425.51,4.953
1288,425.54,4.953
1289,425.57,4.953
1290,425.60,4.953
1291,425.63,4.953
1292,425.67,4.953
1293,425.70,4.953
1294,425.74,4.953
1295,425.77,4.953
1296,425.80,4.953
1297,425.83,4.953
1298,425.87,4.953
1299,425.91,4.953
1300,425.94,4.953
1301,425.97,4.953
1302,426.00,4.953
1303,426.03,4.953
1304,426.06,4.953
1305,426.11,4.953
1306,426.14,4.953
1307,426.18,4.953
1308,426.21,4.953
1309,426.24,4.953
1310,426.26,4.953
1311,426.29,4.953
1312,426.33,4.952
1313,426.37,4.952
1314,426.41,4.952
1315,426.44,4.952
1316,426.48,4.952
1317,426.50,4.952
1318,426.54,4.952
1319,426.57,4.952
1320,426.60,4.952
1321,426.64,4.952
1322,426.67,4.952
1323,426.71,4.952
1324,426.74,4.952
1325,426.77,4.952
1326,426.80,4.952
1327,426.84,4.952
1328,426.87,4.952
1329,426.91,4.952
1330,426.94,4.952
1331,426.98,4.952
1332,427.00,4.952
1333,427.04,4.952
1334,427.07,4.952
1335,427.10,4.952
1336,427.14,4.952
1337,427.18,4.952
1338,427.21,4.952
1339,427.24,4.952
1340,427.27,4.952
1341,427.30,4.951
1342,427.34,4.951
1343,427.37,4.951
1344,427.40,4.951
1345,427.44,4.951
1346,427.48,4.951
1347,427.51,4.951
1348,427.54,4.951
1349,427.57,4.951
1350,427.60,4.951
1351,427.63,4.951
1352,427.67,4.951
1353,427.70,4.951
1354,427.74,4.951
1355,427.77,4.951
1356,427.80,4.951
1357,427.84,4.951
1358,427.87,4.951
