Time,,,(W/g)
51,102.331,6.896,
51.5,102.482,7.02,
52,102.643,6.765,
52.5,102.898,6.625,
53,103.132,6.312,
53.5,103.364,6.113,
54,103.579,5.602,
54.5,103.781,5.864,
55,104.084,5.725,
55.5,104.283,5.343,
56,104.533,5.702,
56.5,104.764,5.073,
57,104.952,4.773,
57.5,105.184,4.929,
58,105.415,5.066,
58.5,105.701,5.278,
59,105.956,5.208,
59.5,106.193,5.163,
60,106.427,5.232,
60.5,106.681,5.05,
61,106.968,4.957,
61.5,107.218,4.633,
62,107.528,4.816,
62.5,107.783,4.582,
63,108.052,4.903,
63.5,108.318,4.465,
64,108.598,4.154,
64.5,108.866,4.246,
65,109.132,4.316,
65.5,109.399,3.88,
66,109.66,4.384,
66.5,109.917,4.696,
67,110.226,4.08,
67.5,110.54,4.483,
68,110.822,4.098,
68.5,111.137,3.918,
69,111.361,4.481,
69.5,111.699,4.037,
70,111.98,4.422,
70.5,112.331,4.421,
71,112.637,4.616,
71.5,112.936,4.262,
72,113.249,4.436,
72.5,113.541,4.14,
73,113.876,4.157,
73.5,114.182,4.114,
74,114.496,4.252,
74.5,114.833,4.063,
75,115.163,4.243,
75.5,115.436,4.51,
76,115.765,4.251,
76.5,116.115,4.661,
77,116.402,5.013,
77.5,116.774,4.774,
78,117.084,4.692,
78.5,117.418,4.568,
79,117.778,5.127,
79.5,118.109,4.797,
80,118.444,5.435,
80.5,118.79,5.049,
81,119.153,5.781,
81.5,119.526,5.92,
82,119.894,5.913,
82.5,120.192,6.065,
83,120.576,6.4,
83.5,120.947,6.712,
84,121.291,6.839,
84.5,121.677,6.949,
85,122.032,6.575,
85.5,122.349,6.598,
86,122.819,6.688,
86.5,123.146,6.658,
87,123.528,6.753,
87.5,123.917,6.713,
88,124.166,6.658,
88.5,124.686,6.944,
89,125.039,6.488,
89.5,125.423,6.968,
90,125.848,7.168,
90.5,126.231,7.258,
91,126.605,7.931,
91.5,126.999,8.038,
92,127.4,8.814,
92.5,127.818,8.785,
93,128.16,8.636,
93.5,128.626,9.21,
94,129.092,10.263,
94.5,129.434,10.114,
95,129.833,10.388,
95.5,130.274,10.326,
96,130.655,10.461,
96.5,131.114,10.457,
97,131.515,10.483,
97.5,131.952,10.992,
98,132.382,11.163,
98.5,132.798,10.799,
99,133.162,10.785,
99.5,133.64,11.026,
100,133.997,11.025,
100.5,134.474,11.117,
101,134.896,11.136,
101.5,135.344,11.016,
102,135.746,10.937,
102.5,136.212,10.884,
103,136.613,10.896,
103.5,137.051,10.47,
104,137.493,11.081,
104.5,137.933,10.537,
105,138.387,10.417,
105.5,138.804,10.249,
106,139.264,10.379,
106.5,139.687,10.356,
107,140.144,10.33,
107.5,140.625,10.081,
108,141.051,9.903,
108.5,141.476,9.947,
109,141.939,10.394,
109.5,142.398,9.815,
110,142.902,9.742,
110.5,143.326,9.937,
111,143.805,9.931,
111.5,144.232,9.919,
112,144.695,9.548,
112.5,145.132,10.104,
113,145.657,9.934,
113.5,146.095,10.063,
114,146.524,9.703,
114.5,147.044,9.47,
115,147.5,9.925,
115.5,147.946,9.436,
116,148.405,9.889,
116.5,148.867,9.61,
117,149.364,9.96,
117.5,149.85,9.63,
118,150.329,9.453,
118.5,150.844,9.922,
119,151.293,10.022,
119.5,151.786,10.01,
120,152.251,10.012,
120.5,152.739,10.015,
121,153.235,9.988,
121.5,153.71,9.911,
122,154.169,9.879,
122.5,154.655,10.305,
123,155.144,10.188,
123.5,155.629,10.025,
124,156.142,10.352,
124.5,156.596,10.253,
125,157.096,10.045,
125.5,157.54,9.766,
126,158.066,10.283,
126.5,158.568,10.234,
127,159.052,10.527,
127.5,159.5,10.373,
128,160.053,10.849,
128.5,160.531,10.848,
129,161.008,10.965,
129.5,161.531,11.275,
130,161.976,11.024,
130.5,162.444,11.292,
131,162.942,11.172,
131.5,163.482,11.631,
132,163.978,11.106,
132.5,164.443,11.762,
133,164.989,11.833,
133.5,165.497,11.627,
134,166.002,11.697,
134.5,166.492,11.803,
135,167.016,12.294,
135.5,167.514,12.595,
136,168.048,13.046,
136.5,168.569,12.752,
137,169.069,12.865,
137.5,169.544,12.574,
138,170.024,13.239,
138.5,170.627,13.057,
139,171.151,13.318,
139.5,171.697,13.68,
140,172.181,13.319,
140.5,172.714,13.554,
141,173.193,13.762,
141.5,173.722,14.337,
142,174.255,14.21,
142.5,174.748,14.635,
143,175.243,14.994,
143.5,175.739,14.784,
144,176.302,15.117,
144.5,176.78,15.551,
145,177.297,15.44,
145.5,177.83,15.873,
146,178.386,15.442,
146.5,178.935,15.766,
147,179.437,15.64,
147.5,179.965,16.382,
148,180.452,16.352,
148.5,180.984,16.426,
149,181.469,16.605,
149.5,181.985,16.863,
150,182.525,16.866,
150.5,183.026,17.483,
151,183.58,18.095,
151.5,184.111,17.838,
152,184.599,18.265,
152.5,185.148,18.965,
153,185.673,19.309,
153.5,186.203,19.381,
154,186.749,20.236,
154.5,187.279,20.116,
155,187.795,20.749,
155.5,188.321,20.991,
156,188.819,21.021,
156.5,189.39,21.102,
157,189.862,21.354,
157.5,190.418,21.556,
158,190.986,21.667,
158.5,191.538,21.86,
159,192.036,22.116,
159.5,192.581,22.07,
160,193.119,22.336,
160.5,193.634,22.191,
161,194.196,22.546,
161.5,194.672,22.834,
162,195.213,22.989,
162.5,195.764,23.211,
163,196.283,23.25,
163.5,196.792,23.219,
164,197.337,23.179,
164.5,197.902,23.384,
165,198.457,23.605,
165.5,198.951,23.856,
166,199.487,23.845,
166.5,200.029,23.671,
167,200.554,24.005,
167.5,201.051,24.366,
168,201.613,24.017,
168.5,202.133,24.409,
169,202.61,24.212,
169.5,203.172,24.204,
170,203.717,24.705,
170.5,204.245,24.778,
171,204.783,24.363,
171.5,205.325,24.799,
172,205.828,24.781,
172.5,206.426,24.679,
173,206.927,25.225,
173.5,207.45,25.564,
174,207.994,25.589,
174.5,208.489,25.544,
175,209.047,25.684,
175.5,209.575,25.993,
176,210.11,26.021,
176.5,210.65,26.114,
177,211.205,26.167,
177.5,211.714,25.971,
178,212.253,25.998,
178.5,212.74,25.777,
179,213.326,26.286,
179.5,213.85,26.309,
180,214.396,26.043,
180.5,214.924,26.302,
181,215.432,26.465,
181.5,215.98,26.345,
182,216.49,26.467,
182.5,217.047,26.826,
183,217.591,26.965,
183.5,218.128,26.925,
184,218.66,27.073,
184.5,219.21,27.273,
185,219.697,26.711,
185.5,220.256,26.739,
186,220.767,26.713,
186.5,221.289,26.899,
187,221.867,27.026,
187.5,222.356,26.954,
188,222.873,27.38,
188.5,223.438,26.888,
189,223.954,26.938,
189.5,224.473,27.267,
190,225.002,27.724,
190.5,225.547,27.214,
191,226.027,27.666,
191.5,226.571,27.642,
192,227.106,27.283,
192.5,227.662,27.666,
193,228.169,27.932,
193.5,228.697,27.429,
194,229.204,27.421,
194.5,229.748,27.424,
195,230.298,27.952,
195.5,230.807,28.202,
196,231.321,27.964,
196.5,231.859,28.246,
197,232.349,28.191,
197.5,232.896,28.175,
198,233.43,28.287,
198.5,233.962,28.401,
199,234.507,28.674,
199.5,235.028,28.788,
200,235.591,28.665,
200.5,236.063,28.86,
201,236.584,28.988,
201.5,237.134,29.386,
202,237.666,28.887,
202.5,238.151,28.941,
203,238.66,29.101,
203.5,239.244,29.878,
204,239.722,29.318,
204.5,240.245,29.315,
205,240.761,30.173,
205.5,241.296,30.085,
206,241.836,30.45,
206.5,242.318,30.696,
207,242.862,30.659,
207.5,243.373,30.99,
208,243.925,31.157,
208.5,244.398,31.507,
209,244.92,31.418,
209.5,245.431,31.519,
210,245.946,31.977,
210.5,246.475,32.6,
211,246.956,32.507,
211.5,247.464,32.652,
212,247.987,32.636,
212.5,248.475,32.905,
213,249.027,33.2,
213.5,249.505,33.249,
214,250.039,33.882,
214.5,250.587,34.014,
215,251.074,34.526,
215.5,251.597,34.267,
216,252.105,34.999,
216.5,252.602,35.101,
217,253.169,35.298,
217.5,253.628,35.837,
218,254.147,35.872,
218.5,254.668,35.563,
219,255.23,36.271,
219.5,255.718,36.234,
220,256.218,36.726,
220.5,256.754,37.143,
221,257.232,37.743,
221.5,257.765,37.663,
222,258.253,38.243,
222.5,258.806,38.087,
223,259.293,38.722,
223.5,259.812,38.819,
224,260.295,39.364,
224.5,260.778,39.541,
225,261.292,39.758,
225.5,261.826,40.035,
226,262.312,40.397,
226.5,262.795,40.407,
227,263.357,40.771,
227.5,263.853,41.073,
228,264.362,41.386,
228.5,264.849,41.552,
229,265.362,42.008,
229.5,265.877,41.92,
230,266.341,42.573,
230.5,266.86,42.769,
231,267.326,42.678,
231.5,267.848,43.563,
232,268.38,44.002,
232.5,268.88,43.719,
233,269.347,44.149,
233.5,269.881,44.485,
234,270.363,44.957,
234.5,270.887,44.934,
235,271.356,45.311,
235.5,271.867,45.69,
236,272.4,45.882,
236.5,272.887,46.063,
237,273.357,46.055,
237.5,273.897,46.685,
238,274.38,46.44,
238.5,274.862,46.563,
239,275.37,47.123,
239.5,275.895,46.942,
240,276.354,47.527,
240.5,276.881,47.883,
241,277.351,47.554,
241.5,277.865,47.689,
242,278.416,47.923,
242.5,278.881,48.06,
243,279.39,48.32,
243.5,279.853,48.375,
244,280.344,48.405,
244.5,280.827,48.879,
245,281.355,48.589,
245.5,281.837,49.119,
246,282.334,49.621,
246.5,282.818,49.349,
247,283.351,49.602,
247.5,283.815,50.315,
248,284.327,50.078,
248.5,284.822,50.527,
249,285.316,50.619,
249.5,285.793,50.784,
250,286.312,50.654,
250.5,286.802,50.571,
251,287.307,50.787,
251.5,287.778,50.768,
252,288.264,50.913,
252.5,288.775,51.334,
253,289.248,51.376,
253.5,289.766,51.447,
254,290.225,51.249,
254.5,290.772,50.926,
255,291.212,51.54,
255.5,291.733,51.222,
256,292.22,52.046,
256.5,292.704,51.865,
257,293.198,52.017,
257.5,293.711,51.851,
258,294.168,51.52,
258.5,294.688,51.969,
259,295.186,52.265,
259.5,295.656,52.266,
260,296.165,52.227,
260.5,296.658,51.995,
261,297.146,52.655,
261.5,297.628,51.838,
262,298.145,52.952,
262.5,298.662,53.06,
263,299.158,53.051,
263.5,299.674,53.027,
264,300.159,52.973,
264.5,300.624,53.136,
265,301.145,53.403,
265.5,301.644,53.71,
266,302.14,53.723,
266.5,302.609,53.5,
267,303.101,54.07,
267.5,303.594,53.897,
268,304.118,54.417,
268.5,304.616,54.627,
269,305.106,54.803,
269.5,305.585,54.627,
270,306.03,55.181,
270.5,306.557,55.092,
271,307.047,55.251,
271.5,307.542,55.773,
272,308.093,55.66,
272.5,308.573,55.689,
273,309.013,56.144,
273.5,309.514,56.793,
274,309.96,56.808,
274.5,310.51,57.454,
275,310.96,57.577,
275.5,311.43,57.753,
276,311.934,58.204,
276.5,312.443,59.046,
277,312.889,58.595,
277.5,313.438,59.327,
278,313.921,59.894,
278.5,314.435,60.003,
279,314.949,60.539,
279.5,315.388,60.572,
280,315.887,61.121,
280.5,316.373,61.511,
281,316.888,62.122,
281.5,317.367,62.379,
282,317.875,62.917,
282.5,318.412,63.011,
283,318.868,64.201,
283.5,319.38,64.315,
284,319.894,64.776,
284.5,320.379,64.818,
285,320.846,65.7,
285.5,321.374,66.23,
286,321.859,66.365,
286.5,322.357,67.113,
287,322.852,67.524,
287.5,323.34,68.071,
288,323.837,68.836,
288.5,324.327,69.334,
289,324.811,69.322,
289.5,325.298,70.249,
290,325.798,70.483,
290.5,326.314,71.453,
291,326.853,72.067,
291.5,327.307,71.898,
292,327.813,72.737,
292.5,328.295,73.185,
293,328.779,73.401,
293.5,329.27,73.872,
294,329.785,74.712,
294.5,330.246,75.563,
295,330.745,75.638,
295.5,331.241,76.259,
296,331.729,76.694,
296.5,332.25,77.233,
297,332.741,77.768,
297.5,333.239,78.367,
298,333.742,79.299,
298.5,334.249,79.514,
299,334.726,79.873,
299.5,335.206,80.097,
300,335.716,81.271,
300.5,336.22,81.709,
301,336.746,82.029,
301.5,337.194,82.811,
302,337.709,83.172,
302.5,338.186,83.355,
303,338.73,83.806,
303.5,339.189,84.293,
304,339.703,84.412,
304.5,340.222,85.344,
305,340.671,85.644,
305.5,341.206,86.295,
306,341.693,86.897,
306.5,342.208,87.184,
307,342.699,87.86,
307.5,343.232,87.949,
308,343.736,88.706,
308.5,344.226,89.341,
309,344.685,89.794,
309.5,345.159,90.495,
310,345.699,91.056,
310.5,346.23,91.264,
311,346.688,91.962,
311.5,347.221,92.203,
312,347.735,92.764,
312.5,348.227,93.509,
313,348.696,93.606,
313.5,349.178,94.301,
314,349.68,94.907,
314.5,350.192,95.038,
315,350.678,95.715,
315.5,351.161,95.888,
316,351.678,96.546,
316.5,352.188,96.623,
317,352.702,97.406,
317.5,353.192,97.692,
318,353.702,98.164,
318.5,354.241,98.761,
319,354.728,98.809,
319.5,355.211,99.299,
320,355.686,99.579,
320.5,356.23,100.096,
321,356.721,100.347,
321.5,357.236,99.741,
322,357.672,99.599,
322.5,358.215,96.816,
323,358.727,95.114,
323.5,359.278,95.51,
324,359.775,95.611,
324.5,360.26,96.269,
325,360.793,96.921,
325.5,361.27,97.649,
326,361.83,97.977,
326.5,362.287,98.736,
327,362.779,99.122,
327.5,363.308,98.639,
328,363.811,98.87,
328.5,364.31,98.648,
329,364.822,99.454,
329.5,365.317,99.969,
330,365.793,101.099,
330.5,366.313,101.435,
331,366.802,101.958,
331.5,367.289,102.311,
332,367.797,103.32,
332.5,368.32,103.966,
333,368.856,104.026,
333.5,369.37,105.42,
334,369.854,105.763,
334.5,370.321,106.423,
335,370.839,107.04,
335.5,371.318,107.584,
336,371.802,107.829,
336.5,372.367,108.548,
337,372.838,109.065,
337.5,373.348,110.179,
338,373.829,111.083,
338.5,374.339,111.597,
339,374.844,111.853,
339.5,375.366,112.666,
340,375.844,113.838,
340.5,376.358,113.978,
341,376.889,114.809,
341.5,377.403,115.731,
342,377.844,115.917,
342.5,378.429,116.787,
343,378.896,117.096,
343.5,379.369,117.71,
344,379.892,118.645,
344.5,380.34,119.343,
345,380.846,120.037,
345.5,381.375,120.058,
346,381.833,121.06,
346.5,382.361,121.569,
347,382.834,122.37,
347.5,383.382,122.602,
348,383.913,123.118,
348.5,384.408,123.968,
349,384.897,124.287,
349.5,385.408,124.917,
350,385.91,125.375,
350.5,386.42,125.477,
351,386.89,125.51,
351.5,387.434,125.868,
352,387.906,126.029,
352.5,388.416,125.919,
353,388.92,126.22,
353.5,389.426,126.593,
354,389.925,126.525,
354.5,390.424,126.223,
355,390.93,126.068,
355.5,391.415,125.998,
356,391.936,125.141,
356.5,392.441,124.795,
357,392.969,124.319,
357.5,393.456,123.94,
358,393.97,122.943,
358.5,394.473,121.93,
359,394.959,120.944,
359.5,395.463,120.349,
360,395.976,119.091,
360.5,396.5,118.124,
361,396.97,117.148,
361.5,397.505,116.046,
362,398.014,114.357,
362.5,398.468,112.891,
363,399.02,111.688,
363.5,399.53,110.158,
364,400.04,108.529,
364.5,400.551,107.078,
365,401.053,105.316,
365.5,401.595,103.518,
366,402.077,101.182,
366.5,402.582,99.769,
367,403.116,97.807,
367.5,403.582,95.793,
368,404.096,93.448,
368.5,404.601,91.371,
369,405.101,89.373,
369.5,405.621,87.086,
370,406.119,85.577,
370.5,406.637,83.189,
371,407.133,81.295,
371.5,407.66,79.078,
372,408.154,77.106,
372.5,408.692,74.765,
373,409.159,72.591,
373.5,409.686,70.918,
374,410.199,68.731,
374.5,410.674,66.639,
375,411.202,64.819,
375.5,411.673,62.945,
376,412.225,60.858,
376.5,412.66,59.488,
377,413.198,57.25,
377.5,413.696,55.633,
378,414.222,54.245,
378.5,414.719,52.648,
379,415.24,51.371,
379.5,415.736,49.723,
380,416.23,48.547,
380.5,416.732,47.141,
381,417.226,45.697,
381.5,417.712,44.393,
382,418.257,43.161,
382.5,418.731,42.011,
383,419.266,41.139,
383.5,419.769,39.831,
384,420.289,39.293,
384.5,420.793,37.752,
385,421.295,37.266,
385.5,421.835,36.394,
386,422.334,35.906,
386.5,422.875,35.106,
387,423.358,34.787,
387.5,423.845,34.216,
388,424.363,33.494,
388.5,424.867,33.386,
389,425.343,32.659,
389.5,425.832,31.844,
390,426.358,31.453,
390.5,426.866,31.298,
391,427.361,30.869,
391.5,427.886,30.47,
392,428.356,30.543,
392.5,428.867,30.169,
393,429.404,29.544,
393.5,429.897,29.615,
394,430.39,29.003,
394.5,430.92,29.049,
395,431.374,28.29,
395.5,431.879,28.056,
396,432.412,28.032,
396.5,432.893,28.001,
397,433.393,27.518,
397.5,433.922,27.613,
398,434.434,27.209,
398.5,434.943,27.155,
399,435.453,27.084,
399.5,435.951,26.481,
400,436.462,26.637,
400.5,436.974,26.344,
401,437.448,26.186,
401.5,437.962,25.984,
402,438.459,25.991,
402.5,438.983,25.961,
403,439.507,25.681,
403.5,440.009,25.46,
404,440.489,25.332,
404.5,441.002,25.53,
405,441.524,25.439,
405.5,442.07,25.437,
406,442.583,24.922,
406.5,443.069,24.922,
407,443.569,25.315,
407.5,444.105,24.607,
408,444.611,24.995,
408.5,445.117,24.858,
409,445.667,24.779,
409.5,446.12,24.213,
410,446.65,23.929,
410.5,447.151,24.205,
411,447.677,24.364,
411.5,448.199,24.041,
412,448.666,23.801,
412.5,449.154,23.652,
413,449.66,23.552,
413.5,450.173,23.299,
414,450.682,23.02,
414.5,451.262,23.32,
415,451.732,23.218,
415.5,452.246,23.33,
416,452.718,23.024,
416.5,453.233,23.343,
417,453.729,23.294,
417.5,454.219,22.97,
418,454.753,22.57,
418.5,455.226,22.933,
419,455.731,22.733,
419.5,456.229,22.97,
420,456.767,22.399,
420.5,457.278,22.533,
421,457.803,22.359,
421.5,458.303,22.42,
422,458.8,22.744,
422.5,459.314,22.692,
423,459.806,22.403,
423.5,460.322,22.037,
424,460.819,22.108,
424.5,461.323,21.947,
425,461.859,21.851,
425.5,462.384,21.918,
426,462.921,21.946,
426.5,463.434,22.32,
427,463.921,22.277,
427.5,464.438,21.648,
428,464.956,21.682,
428.5,465.429,21.815,
429,465.931,21.648,
429.5,466.435,21.375,
430,466.96,21.444,
430.5,467.487,20.898,
431,467.95,20.957,
431.5,468.478,20.704,
432,468.992,20.114,
432.5,469.503,20.403,
433,469.993,20.657,
433.5,470.521,20.492,
434,470.997,20.495,
434.5,471.539,20.122,
435,472.042,20.246,
435.5,472.5,19.962,
436,473.013,19.461,
436.5,473.525,19.311,
437,474.009,19.821,
437.5,474.533,19.202,
438,475.049,19.46,
438.5,475.573,19.231,
439,476.051,19.175,
439.5,476.575,19.23,
440,477.085,19.514,
440.5,477.609,18.932,
441,478.097,19.22,
441.5,478.624,19.118,
442,479.079,18.89,
442.5,479.598,19.095,
443,480.083,19.245,
443.5,480.632,18.964,
444,481.121,18.809,
444.5,481.62,19.42,
445,482.135,19.054,
445.5,482.657,18.979,
446,483.169,19.121,
446.5,483.717,18.588,
447,484.211,19.011,
447.5,484.722,18.821,
448,485.185,18.306,
448.5,485.709,18.872,
449,486.226,18.937,
449.5,486.677,17.928,
450,487.223,18.482,
450.5,487.744,18.258,
451,488.279,18.158,
451.5,488.735,18.213,
452,489.273,17.982,
452.5,489.775,18.012,
453,490.267,17.709,
453.5,490.75,17.552,
454,491.258,17.942,
454.5,491.77,18.025,
455,492.271,17.652,
455.5,492.79,17.502,
456,493.253,17.807,
456.5,493.737,17.684,
457,494.297,17.501,
457.5,494.789,17.518,
458,495.323,17.113,
458.5,495.797,16.914,
459,496.343,16.811,
459.5,496.825,16.57,
460,497.356,16.519,
460.5,497.85,16.936,
461,498.366,16.782,
461.5,498.864,16.159,
462,499.403,16.394,
462.5,499.859,16.243,
463,500.429,16.268,
463.5,500.837,16.055,
464,501.399,15.979,
464.5,501.908,15.831,
465,502.416,16.028,
465.5,502.955,16.232,
466,503.447,15.706,
466.5,503.971,15.834,
467,504.466,15.169,
467.5,505.001,15.435,
468,505.494,15.877,
468.5,505.982,15.76,
469,506.47,15.979,
469.5,507.022,15.86,
470,507.534,15.514,
470.5,508.03,15.29,
471,508.596,15.743,
471.5,509.085,15.546,
472,509.579,15.723,
472.5,510.069,15.54,
473,510.584,15.761,
473.5,511.088,15.63,
474,511.598,15.538,
474.5,512.111,15.684,
475,512.603,15.733,
475.5,513.084,15.598,
476,513.58,15.963,
476.5,514.094,15.5,
477,514.628,15.484,
477.5,515.148,15.589,
478,515.614,15.333,
478.5,516.12,15.426,
479,516.651,15.768,
479.5,517.147,15.529,
480,517.654,15.459,
480.5,518.133,15.381,
481,518.71,15.799,
481.5,519.201,15.616,
482,519.709,15.558,
482.5,520.209,15.648,
483,520.721,15.188,
483.5,521.24,15.548,
484,521.786,14.996,
484.5,522.282,14.979,
485,522.789,14.79,
485.5,523.283,15.241,
486,523.807,14.538,
486.5,524.347,14.736,
487,524.817,14.781,
487.5,525.34,14.698,
488,525.815,14.765,
488.5,526.353,14.431,
489,526.878,15.031,
489.5,527.374,14.37,
490,527.908,15.012,
490.5,528.413,14.241,
491,528.877,14.505,
491.5,529.418,14.63,
492,529.925,14.669,
492.5,530.42,14.785,
493,530.934,14.64,
493.5,531.449,14.832,
494,531.979,15.28,
494.5,532.461,14.892,
495,532.962,14.437,
495.5,533.444,14.528,
496,533.986,14.997,
496.5,534.498,14.722,
497,535.022,15.218,
497.5,535.525,15.099,
498,536.034,14.935,
498.5,536.567,14.777,
499,537.046,15.247,
499.5,537.583,15.228,
500,538.094,14.957,
500.5,538.599,14.552,
501,539.115,14.846,
501.5,539.64,14.536,
502,540.148,14.67,
502.5,540.668,14.581,
503,541.147,14.244,
503.5,541.658,14.615,
504,542.174,14.692,
504.5,542.694,14.372,
505,543.219,14.198,
505.5,543.71,14.536,
506,544.192,14.682,
506.5,544.758,14.206,
507,545.267,14.983,
507.5,545.754,14.446,
508,546.269,14.299,
508.5,546.764,14.607,
509,547.297,14.897,
509.5,547.777,14.873,
510,548.294,15.103,
510.5,548.802,14.772,
511,549.289,14.302,
511.5,549.857,14.407,
512,550.334,14.002,
512.5,550.854,14.579,
513,551.337,14.708,
513.5,551.852,14.286,
514,552.36,14.649,
514.5,552.852,14.477,
515,553.401,13.889,
515.5,553.919,13.757,
516,554.412,14.776,
516.5,554.932,15.168,
517,555.468,15.006,
517.5,555.979,14.241,
518,556.464,14.774,
518.5,557.01,14.56,
519,557.507,14.237,
519.5,558.02,14.76,
520,558.536,14.257,
520.5,559.053,14.928,
521,559.532,14.563,
521.5,560.09,14.492,
522,560.563,14.298,
522.5,561.104,15.056,
523,561.62,14.288,
523.5,562.049,14.119,
524,562.604,14.932,
524.5,563.143,14.742,
525,563.68,14.377,
525.5,564.216,14.277,
526,564.734,13.656,
526.5,565.198,14.064,
527,565.694,14.13,
527.5,566.253,13.476,
528,566.764,13.787,
528.5,567.307,13.897,
529,567.821,13.789,
529.5,568.322,13.897,
530,568.755,13.908,
530.5,569.282,13.767,
531,569.724,14.132,
531.5,570.378,13.894,
532,570.825,14.005,
532.5,571.374,13.96,
533,571.934,13.901,
533.5,572.313,13.832,
534,572.885,13.918,
534.5,573.349,13.755,
535,573.918,13.745,
535.5,574.425,13.987,
536,574.94,13.661,
536.5,575.385,14.021,
537,575.983,14.122,
537.5,576.476,14.418,
538,576.929,14.527,
538.5,577.498,14.014,
539,578.019,14.036,
539.5,578.459,14.411,
540,579.04,13.945,
540.5,579.56,14.251,
541,580.036,14.544,
541.5,580.597,14.151,
542,581.092,14.362,
542.5,581.593,14.188,
543,582.164,14.509,
543.5,582.66,14.639,
544,583.19,14.466,
544.5,583.713,14.615,
545,584.161,14.71,
545.5,584.73,14.367,
546,585.263,14.369,
546.5,585.753,14.77,
547,586.286,14.699,
547.5,586.844,14.463,
548,587.293,14.433,
548.5,587.823,14.524,
549,588.373,14.762,
549.5,588.919,14.305,
550,589.415,14.386,
550.5,589.973,14.8,
551,590.44,14.29,
551.5,590.923,14.136,
552,591.468,14.479,
552.5,591.999,14.63,
553,592.49,14.515,
553.5,593.002,14.666,
554,593.537,14.526,
554.5,594.04,14.665,
555,594.56,14.858,
555.5,595.095,14.684,
556,595.602,14.474,
556.5,596.133,14.67,
557,596.672,14.638,
557.5,597.168,14.637,
558,597.693,14.271,
558.5,598.214,14.282,
559,598.732,14.145,
559.5,599.246,14.482,
560,599.765,14.184,
560.5,600.308,14.189,
561,600.823,14.449,
561.5,601.366,14.028,
562,601.896,14.002,
562.5,602.412,13.999,
563,602.901,14.286,
563.5,603.458,14.219,
564,603.953,13.968,
564.5,604.475,14.254,
565,605.025,13.981,
565.5,605.501,14.129,
566,606.06,14.019,
566.5,606.6,13.537,
567,607.083,14.067,
567.5,607.619,14.32,
568,608.091,13.891,
568.5,608.635,14.353,
569,609.155,14.186,
569.5,609.668,14.241,
570,610.163,14.311,
570.5,610.694,14.47,
571,611.234,14.241,
571.5,611.765,14.589,
572,612.255,14.458,
572.5,612.836,14.432,
573,613.337,14.515,
573.5,613.848,14.753,
574,614.333,14.109,
574.5,614.908,14.137,
575,615.437,14.475,
575.5,615.937,14.085,
576,616.468,14.515,
576.5,616.967,14.407,
577,617.518,14.211,
577.5,618.009,13.99,
578,618.521,14.425,
578.5,619.068,14.658,
579,619.571,14.679,
579.5,620.094,14.781,
580,620.652,14.875,
