Time (s),Temperature (K),Weight (mg)
470,420.94,4.870
471,421.02,4.870
472,421.11,4.870
473,421.19,4.870
474,421.27,4.870
475,421.36,4.870
476,421.43,4.870
477,421.52,4.870
478,421.60,4.870
479,421.69,4.870
480,421.77,4.870
481,421.86,4.870
482,421.94,4.870
483,422.02,4.870
484,422.10,4.870
485,422.19,4.870
486,422.28,4.869
487,422.36,4.869
488,422.45,4.869
489,422.53,4.869
490,422.61,4.869
491,422.69,4.869
492,422.77,4.869
493,422.85,4.869
494,422.94,4.869
495,423.03,4.869
496,423.11,4.869
497,423.20,4.869
498,423.28,4.869
499,423.36,4.869
500,423.45,4.869
501,423.53,4.869
502,423.61,4.869
503,423.69,4.869
504,423.78,4.869
505,423.86,4.869
506,423.95,4.869
507,424.03,4.869
508,424.11,4.869
509,424.20,4.869
510,424.28,4.869
511,424.37,4.869
512,424.45,4.869
513,424.53,4.869
514,424.62,4.869
515,424.69,4.868
516,424.78,4.868
517,424.87,4.868
518,424.95,4.868
519,425.03,4.868
520,425.12,4.868
521,425.20,4.868
522,425.28,4.868
523,425.37,4.868
524,425.45,4.868
525,425.54,4.868
526,425.62,4.868
527,425.70,4.868
528,425.78,4.868
529,425.87,4.868
530,425.96,4.868
531,426.04,4.868
532,426.12,4.868
533,426.20,4.868
534,426.29,4.868
535,426.37,4.868
536,426.46,4.868
537,426.54,4.868
538,426.63,4.867
539,426.71,4.867
540,426.79,4.867
541,426.87,4.867
542,426.95,4.867
543,427.04,4.867
544,427.12,4.867
545,427.21,4.867
546,427.30,4.867
547,427.38,4.867
548,427.46,4.867
549,427.53,4.867
550,427.62,4.867
551,427.71,4.867
552,427.80,4.867
553,427.88,4.867
554,427.97,4.867
555,428.04,4.867
556,428.12,4.867
557,428.20,4.867
558,428.29,4.866
559,428.38,4.866
560,428.47,4.866
561,428.55,4.866
562,428.63,4.866
563,428.71,4.866
564,428.79,4.866
565,428.87,4.866
566,428.96,4.866
567,429.04,4.866
568,429.13,4.866
569,429.21,4.866
570,429.30,4.866
571,429.38,4.866
572,429.47,4.866
573,429.55,4.866
574,429.63,4.866
575,429.71,4.866
576,429.79,4.866
577,429.87,4.866
578,429.96,4.866
579,430.05,4.866
580,430.14,4.865
581,430.22,4.865
582,430.30,4.865
583,430.38,4.865
584,430.46,4.865
585,430.54,4.865
586,430.63,4.865
587,430.72,4.865
588,430.80,4.865
589,430.88,4.865
590,430.96,4.865
591,431.04,4.865
592,431.13,4.865
593,431.22,4.865
594,431.30,4.865
595,431.38,4.865
596,431.47,4.865
597,431.55,4.865
598,431.63,4.865
599,431.72,4.864
600,431.80,4.864
601,431.88,4.864
602,431.97,4.864
603,432.05,4.864
604,432.14,4.864
605,432.22,4.864
606,432.30,4.864
607,432.38,4.864
608,432.47,4.864
609,432.55,4.864
610,432.64,4.864
611,432.72,4.864
612,432.81,4.864
613,432.89,4.864
614,432.97,4.864
615,433.05,4.863
616,433.13,4.863
617,433.22,4.863
618,433.30,4.863
619,433.39,4.863
620,433.47,4.863
621,433.55,4.863
622,433.63,4.863
623,433.72,4.863
624,433.80,4.863
625,433.89,4.863
626,433.97,4.863
627,434.06,4.863
628,434.14,4.863
629,434.23,4.863
630,434.31,4.862
631,434.39,4.862
632,434.47,4.862
633,434.56,4.862
634,434.63,4.862
635,434.72,4.862
636,434.81,4.862
637,434.89,4.862
638,434.98,4.862
639,435.06,4.862
640,435.14,4.862
641,435.22,4.862
642,435.30,4.862
643,435.39,4.862
644,435.47,4.862
645,435.56,4.862
646,435.65,4.861
647,435.73,4.861
648,435.81,4.861
649,435.89,4.861
650,435.98,4.861
651,436.06,4.861
652,436.15,4.861
653,436.23,4.861
654,436.31,4.861
655,436.39,4.861
656,436.47,4.861
657,436.56,4.861
658,436.64,4.861
659,436.73,4.861
660,436.81,4.860
661,436.90,4.860
662,436.98,4.860
663,437.06,4.860
664,437.14,4.860
665,437.23,4.860
666,437.31,4.860
667,437.40,4.860
668,437.48,4.860
669,437.56,4.860
670,437.65,4.860
671,437.73,4.860
672,437.81,4.860
673,437.89,4.859
674,437.98,4.859
675,438.06,4.859
676,438.15,4.859
677,438.23,4.859
678,438.32,4.859
679,438.40,4.859
680,438.49,4.859
681,438.56,4.859
682,438.65,4.859
683,438.73,4.859
684,438.81,4.859
685,438.89,4.859
686,438.98,4.859
687,439.06,4.859
688,439.15,4.858
689,439.24,4.858
690,439.32,4.858
691,439.40,4.858
692,439.48,4.858
693,439.56,4.858
694,439.64,4.858
695,439.73,4.858
696,439.81,4.858
697,439.90,4.858
698,439.99,4.858
699,440.07,4.858
700,440.15,4.858
701,440.23,4.857
702,440.32,4.857
703,440.40,4.857
704,440.49,4.857
705,440.57,4.857
706,440.65,4.857
707,440.73,4.857
708,440.81,4.857
709,440.90,4.857
710,440.98,4.857
711,441.07,4.857
712,441.16,4.857
713,441.24,4.857
714,441.33,4.856
715,441.41,4.856
716,441.48,4.856
717,441.56,4.856
718,441.65,4.856
719,441.74,4.856
720,441.83,4.856
721,441.91,4.856
722,441.99,4.856
723,442.07,4.856
724,442.15,4.856
725,442.23,4.855
726,442.32,4.855
727,442.40,4.855
728,442.50,4.855
729,442.57,4.855
730,442.65,4.855
731,442.74,4.855
732,442.82,4.855
733,442.90,4.855
734,442.99,4.855
735,443.08,4.854
736,443.16,4.854
737,443.24,4.854
738,443.32,4.854
739,443.41,4.854
740,443.49,4.854
741,443.57,4.854
742,443.65,4.854
743,443.73,4.854
744,443.82,4.854
745,443.91,4.854
746,443.99,4.853
747,444.08,4.853
748,444.16,4.853
749,444.24,4.853
750,444.32,4.853
751,444.41,4.853
752,444.49,4.853
753,444.57,4.853
754,444.66,4.853
755,444.74,4.853
756,444.83,4.852
757,444.91,4.852
758,444.99,4.852
759,445.08,4.852
760,445.16,4.852
761,445.25,4.852
762,445.33,4.852
763,445.41,4.852
764,445.49,4.852
765,445.58,4.851
766,445.66,4.851
767,445.74,4.851
768,445.83,4.851
769,445.92,4.851
770,446.00,4.851
771,446.08,4.851
772,446.16,4.851
773,446.24,4.851
774,446.33,4.851
775,446.42,4.850
776,446.50,4.850
777,446.58,4.850
778,446.67,4.850
779,446.75,4.850
780,446.83,4.850
781,446.92,4.850
782,447.00,4.850
783,447.08,4.850
784,447.17,4.850
785,447.24,4.849
786,447.33,4.849
787,447.42,4.849
788,447.50,4.849
789,447.58,4.849
790,447.67,4.849
791,447.74,4.849
792,447.83,4.849
793,447.91,4.849
794,448.00,4.848
795,448.08,4.848
796,448.17,4.848
797,448.25,4.848
798,448.33,4.848
799,448.41,4.848
800,448.50,4.848
801,448.58,4.848
802,448.66,4.848
803,448.75,4.847
804,448.83,4.847
805,448.92,4.847
806,449.00,4.847
807,449.08,4.847
808,449.17,4.847
809,449.25,4.847
810,449.33,4.846
811,449.42,4.846
812,449.50,4.846
813,449.59,4.846
814,449.68,4.846
815,449.76,4.846
816,449.84,4.846
817,449.91,4.846
818,449.99,4.845
819,450.08,4.845
820,450.16,4.845
821,450.26,4.845
822,450.35,4.845
823,450.43,4.845
824,450.51,4.845
825,450.59,4.845
826,450.67,4.845
827,450.76,4.844
828,450.84,4.844
829,450.92,4.844
830,451.01,4.844
831,451.09,4.844
832,451.18,4.844
833,451.26,4.844
834,451.34,4.844
835,451.42,4.844
836,451.50,4.843
837,451.59,4.843
838,451.68,4.843
839,451.76,4.843
840,451.85,4.843
841,451.93,4.843
842,452.01,4.843
843,452.09,4.843
844,452.17,4.842
845,452.26,4.842
846,452.34,4.842
847,452.43,4.842
848,452.51,4.842
849,452.59,4.842
850,452.68,4.842
851,452.76,4.841
852,452.84,4.841
853,452.93,4.841
854,453.01,4.841
855,453.09,4.841
856,453.18,4.841
857,453.26,4.841
858,453.34,4.841
859,453.42,4.840
860,453.51,4.840
861,453.59,4.840
862,453.68,4.840
863,453.77,4.840
864,453.85,4.840
865,453.93,4.840
866,454.01,4.839
867,454.09,4.839
868,454.17,4.839
869,454.26,4.839
870,454.35,4.839
871,454.44,4.839
872,454.51,4.839
873,454.59,4.838
874,454.67,4.838
875,454.76,4.838
876,454.85,4.838
877,454.94,4.838
878,455.02,4.838
879,455.10,4.838
880,455.18,4.837
881,455.26,4.837
882,455.35,4.837
883,455.43,4.837
884,455.51,4.837
885,455.60,4.837
886,455.69,4.837
887,455.77,4.836
888,455.85,4.836
889,455.93,4.836
890,456.02,4.836
891,456.10,4.836
892,456.19,4.836
893,456.27,4.835
894,456.35,4.835
895,456.43,4.835
896,456.52,4.835
897,456.60,4.835
898,456.69,4.835
899,456.77,4.835
900,456.85,4.834
901,456.94,4.834
902,457.02,4.834
903,457.10,4.834
904,457.18,4.834
905,457.27,4.834
906,457.35,4.833
907,457.44,4.833
908,457.52,4.833
909,457.60,4.833
910,457.68,4.833
911,457.77,4.833
912,457.85,4.833
913,457.94,4.832
914,458.02,4.832
915,458.10,4.832
916,458.18,4.832
917,458.27,4.832
918,458.36,4.832
919,458.44,4.831
920,458.52,4.831
921,458.60,4.831
922,458.69,4.831
923,458.77,4.831
924,458.85,4.831
925,458.94,4.830
926,459.02,4.830
927,459.10,4.830
928,459.19,4.830
929,459.28,4.830
930,459.36,4.830
931,459.44,4.829
932,459.52,4.829
933,459.60,4.829
934,459.69,4.829
935,459.77,4.829
936,459.85,4.829
937,459.94,4.828
938,460.02,4.828
939,460.11,4.828
940,460.19,4.828
941,460.27,4.828
942,460.36,4.827
943,460.44,4.827
944,460.52,4.827
945,460.61,4.827
946,460.69,4.827
947,460.77,4.827
948,460.86,4.826
949,460.94,4.826
950,461.03,4.826
951,461.11,4.826
952,461.19,4.826
953,461.27,4.826
954,461.36,4.825
955,461.45,4.825
956,461.53,4.825
957,461.61,4.825
958,461.69,4.825
959,461.78,4.824
960,461.86,4.824
961,461.94,4.824
962,462.03,4.824
963,462.12,4.824
964,462.20,4.824
965,462.28,4.823
966,462.36,4.823
967,462.44,4.823
968,462.53,4.823
969,462.61,4.823
970,462.70,4.822
971,462.79,4.822
972,462.86,4.822
973,462.95,4.822
974,463.03,4.822
975,463.11,4.821
976,463.19,4.821
977,463.28,4.821
978,463.36,4.821
979,463.45,4.821
980,463.53,4.820
981,463.62,4.820
982,463.70,4.820
983,463.78,4.820
984,463.86,4.820
985,463.94,4.820
986,464.03,4.819
987,464.11,4.819
988,464.20,4.819
989,464.28,4.819
990,464.36,4.819
991,464.45,4.818
992,464.53,4.818
993,464.61,4.818
994,464.71,4.818
995,464.79,4.818
996,464.87,4.818
997,464.95,4.817
998,465.03,4.817
999,465.12,4.817
1000,465.20,4.817
1001,465.29,4.817
1002,465.37,4.816
1003,465.45,4.816
1004,465.53,4.816
1005,465.62,4.816
1006,465.70,4.816
1007,465.78,4.815
1008,465.87,4.815
1009,465.96,4.815
1010,466.04,4.815
1011,466.12,4.815
1012,466.20,4.814
1013,466.28,4.814
1014,466.37,4.814
1015,466.45,4.814
1016,466.54,4.814
1017,466.62,4.813
1018,466.70,4.813
1019,466.79,4.813
1020,466.87,4.813
1021,466.96,4.813
1022,467.04,4.812
1023,467.12,4.812
1024,467.20,4.812
1025,467.29,4.812
1026,467.37,4.812
1027,467.46,4.811
1028,467.54,4.811
1029,467.62,4.811
1030,467.70,4.811
1031,467.78,4.811
1032,467.87,4.810
1033,467.96,4.810
1034,468.04,4.810
1035,468.13,4.810
1036,468.21,4.809
1037,468.29,4.809
1038,468.38,4.809
1039,468.46,4.809
1040,468.54,4.809
1041,468.62,4.808
1042,468.71,4.808
1043,468.79,4.808
1044,468.88,4.808
1045,468.96,4.808
1046,469.04,4.807
1047,469.12,4.807
1048,469.21,4.807
1049,469.30,4.807
1050,469.37,4.806
1051,469.46,4.806
1052,469.55,4.806
1053,469.63,4.806
1054,469.71,4.806
1055,469.79,4.805
1056,469.87,4.805
1057,469.95,4.805
1058,470.04,4.805
1059,470.13,4.804
1060,470.22,4.804
1061,470.30,4.804
1062,470.37,4.804
1063,470.46,4.804
1064,470.54,4.803
1065,470.62,4.803
1066,470.72,4.803
1067,470.80,4.803
1068,470.87,4.802
1069,470.96,4.802
1070,471.05,4.802
1071,471.13,4.802
1072,471.21,4.802
1073,471.29,4.801
1074,471.38,4.801
1075,471.47,4.801
1076,471.55,4.801
1077,471.63,4.800
1078,471.71,4.800
1079,471.80,4.800
1080,471.88,4.800
1081,471.96,4.799
1082,472.05,4.799
1083,472.14,4.799
1084,472.22,4.799
1085,472.30,4.799
1086,472.37,4.798
1087,472.46,4.798
1088,472.55,4.798
1089,472.63,4.798
1090,472.72,4.797
1091,472.80,4.797
1092,472.88,4.797
1093,472.97,4.797
1094,473.05,4.796
1095,473.14,4.796
1096,473.22,4.796
1097,473.30,4.796
1098,473.38,4.795
1099,473.46,4.795
1100,473.55,4.795
1101,473.63,4.795
1102,473.72,4.794
1103,473.80,4.794
1104,473.89,4.794
1105,473.97,4.794
1106,474.06,4.794
1107,474.13,4.793
1108,474.22,4.793
1109,474.30,4.793
1110,474.39,4.793
1111,474.47,4.792
1112,474.56,4.792
1113,474.64,4.792
1114,474.72,4.792
1115,474.80,4.791
1116,474.88,4.791
1117,474.97,4.791
1118,475.06,4.791
1119,475.14,4.790
1120,475.22,4.790
1121,475.31,4.790
1122,475.39,4.790
1123,475.47,4.789
1124,475.55,4.789
1125,475.63,4.789
1126,475.72,4.789
1127,475.81,4.788
1128,475.89,4.788
1129,475.97,4.788
1130,476.05,4.788
1131,476.13,4.787
1132,476.22,4.787
1133,476.30,4.787
1134,476.39,4.787
1135,476.48,4.786
1136,476.56,4.786
1137,476.64,4.786
1138,476.72,4.786
1139,476.80,4.786
1140,476.89,4.785
1141,476.97,4.785
1142,477.06,4.785
1143,477.14,4.785
1144,477.22,4.784
1145,477.31,4.784
1146,477.39,4.784
1147,477.48,4.784
1148,477.56,4.783
1149,477.64,4.783
1150,477.72,4.783
1151,477.80,4.783
1152,477.89,4.782
1153,477.97,4.782
1154,478.06,4.782
1155,478.15,4.781
1156,478.23,4.781
1157,478.31,4.781
1158,478.39,4.781
1159,478.48,4.780
1160,478.56,4.780
1161,478.64,4.780
1162,478.73,4.780
1163,478.81,4.779
1164,478.90,4.779
1165,478.98,4.779
1166,479.06,4.779
1167,479.14,4.778
1168,479.23,4.778
1169,479.31,4.778
1170,479.40,4.778
1171,479.48,4.777
1172,479.56,4.777
1173,479.65,4.777
1174,479.73,4.776
1175,479.82,4.776
1176,479.89,4.776
1177,479.97,4.776
1178,480.06,4.775
1179,480.15,4.775
1180,480.23,4.775
1181,480.32,4.775
1182,480.40,4.774
1183,480.48,4.774
1184,480.56,4.774
1185,480.64,4.774
1186,480.73,4.773
1187,480.82,4.773
1188,480.90,4.773
1189,480.99,4.772
1190,481.06,4.772
1191,481.15,4.772
1192,481.23,4.772
1193,481.31,4.771
1194,481.40,4.771
1195,481.48,4.771
1196,481.57,4.771
1197,481.65,4.770
1198,481.73,4.770
1199,481.82,4.770
1200,481.90,4.770
1201,481.99,4.769
1202,482.07,4.769
1203,482.15,4.769
1204,482.23,4.768
1205,482.31,4.768
1206,482.40,4.768
1207,482.48,4.768
1208,482.57,4.767
1209,482.65,4.767
1210,482.73,4.767
1211,482.82,4.767
1212,482.90,4.766
1213,482.98,4.766
1214,483.07,4.766
1215,483.16,4.765
1216,483.24,4.765
1217,483.32,4.765
1218,483.40,4.765
1219,483.49,4.764
1220,483.57,4.764
1221,483.66,4.764
1222,483.74,4.763
1223,483.82,4.763
1224,483.90,4.763
1225,483.99,4.763
1226,484.07,4.762
1227,484.16,4.762
1228,484.24,4.762
1229,484.32,4.761
1230,484.40,4.761
1231,484.49,4.761
1232,484.57,4.761
1233,484.65,4.760
1234,484.74,4.760
1235,484.83,4.760
1236,484.91,4.759
1237,484.99,4.759
1238,485.07,4.759
1239,485.15,4.759
1240,485.24,4.758
1241,485.32,4.758
1242,485.41,4.758
1243,485.49,4.757
1244,485.57,4.757
1245,485.66,4.757
1246,485.74,4.756
1247,485.82,4.756
1248,485.91,4.756
1249,486.00,4.756
1250,486.08,4.755
1251,486.16,4.755
1252,486.24,4.755
1253,486.32,4.755
1254,486.41,4.754
1255,486.49,4.754
1256,486.58,4.754
1257,486.66,4.754
1258,486.74,4.753
1259,486.83,4.753
1260,486.91,4.753
1261,487.00,4.752
1262,487.08,4.752
1263,487.16,4.752
1264,487.24,4.752
1265,487.33,4.751
1266,487.42,4.751
1267,487.50,4.751
1268,487.57,4.750
1269,487.66,4.750
1270,487.74,4.750
1271,487.83,4.749
1272,487.92,4.749
1273,487.99,4.749
1274,488.08,4.749
1275,488.16,4.748
1276,488.25,4.748
1277,488.33,4.748
1278,488.41,4.747
1279,488.49,4.747
1280,488.58,4.747
1281,488.66,4.746
1282,488.75,4.746
1283,488.83,4.746
1284,488.91,4.746
1285,489.00,4.745
1286,489.08,4.745
1287,489.17,4.745
1288,489.25,4.744
1289,489.33,4.744
1290,489.42,4.744
1291,489.50,4.743
1292,489.58,4.743
1293,489.67,4.743
1294,489.75,4.742
1295,489.84,4.742
1296,489.92,4.742
1297,490.00,4.742
1298,490.08,4.741
1299,490.17,4.741
1300,490.25,4.741
1301,490.33,4.740
1302,490.41,4.740
1303,490.50,4.740
1304,490.59,4.739
1305,490.67,4.739
1306,490.76,4.739
1307,490.84,4.739
1308,490.92,4.738
1309,491.00,4.738
1310,491.08,4.738
1311,491.16,4.737
1312,491.25,4.737
1313,491.34,4.737
1314,491.42,4.736
1315,491.50,4.736
1316,491.58,4.736
1317,491.67,4.735
1318,491.75,4.735
1319,491.84,4.735
1320,491.92,4.734
1321,492.00,4.734
1322,492.08,4.734
1323,492.17,4.733
1324,492.25,4.733
1325,492.34,4.733
1326,492.42,4.732
1327,492.50,4.732
1328,492.59,4.732
1329,492.67,4.731
1330,492.75,4.731
1331,492.84,4.731
1332,492.93,4.730
1333,493.01,4.730
1334,493.09,4.730
1335,493.17,4.729
1336,493.25,4.729
1337,493.33,4.729
1338,493.43,4.728
1339,493.51,4.728
1340,493.59,4.728
1341,493.67,4.727
1342,493.75,4.727
1343,493.83,4.727
1344,493.92,4.726
1345,494.01,4.726
1346,494.10,4.726
1347,494.18,4.726
1348,494.26,4.725
1349,494.34,4.725
1350,494.42,4.725
1351,494.50,4.724
1352,494.59,4.724
1353,494.68,4.724
1354,494.76,4.723
1355,494.84,4.723
1356,494.92,4.723
1357,495.01,4.722
1358,495.10,4.722
1359,495.17,4.722
