Time (s),Temperature (K),Weight (mg)
169,395.81,4.615
170,395.90,4.615
171,395.98,4.615
172,396.06,4.615
173,396.13,4.615
174,396.21,4.615
175,396.30,4.615
176,396.39,4.615
177,396.48,4.615
178,396.57,4.615
179,396.64,4.615
180,396.73,4.615
181,396.80,4.615
182,396.88,4.615
183,396.97,4.615
184,397.06,4.615
185,397.15,4.615
186,397.23,4.615
187,397.31,4.615
188,397.40,4.615
189,397.48,4.615
190,397.56,4.615
191,397.64,4.615
192,397.72,4.615
193,397.81,4.615
194,397.89,4.615
195,397.98,4.615
196,398.06,4.615
197,398.15,4.615
198,398.23,4.615
199,398.31,4.615
200,398.39,4.615
201,398.48,4.615
202,398.57,4.615
203,398.65,4.615
204,398.73,4.615
205,398.81,4.615
206,398.90,4.615
207,398.98,4.615
208,399.06,4.615
209,399.14,4.615
210,399.23,4.615
211,399.32,4.615
212,399.40,4.615
213,399.48,4.615
214,399.56,4.615
215,399.65,4.615
216,399.73,4.615
217,399.82,4.615
218,399.90,4.615
219,399.99,4.615
220,400.07,4.615
221,400.15,4.615
222,400.24,4.615
223,400.32,4.615
224,400.40,4.615
225,400.48,4.615
226,400.57,4.615
227,400.65,4.615
228,400.74,4.615
229,400.82,4.615
230,400.90,4.615
231,400.99,4.615
232,401.07,4.615
233,401.16,4.615
234,401.23,4.615
235,401.32,4.615
236,401.41,4.615
237,401.49,4.615
238,401.57,4.615
239,401.65,4.615
240,401.74,4.615
241,401.83,4.615
242,401.91,4.615
243,401.99,4.614
244,402.07,4.614
245,402.15,4.614
246,402.24,4.614
247,402.32,4.614
248,402.42,4.614
249,402.50,4.614
250,402.58,4.614
251,402.66,4.614
252,402.74,4.614
253,402.82,4.614
254,402.91,4.614
255,402.99,4.614
256,403.08,4.614
257,403.16,4.614
258,403.25,4.614
259,403.33,4.614
260,403.41,4.614
261,403.49,4.614
262,403.58,4.614
263,403.66,4.614
264,403.74,4.614
265,403.83,4.614
266,403.92,4.614
267,404.00,4.614
268,404.08,4.614
269,404.16,4.614
270,404.25,4.614
271,404.33,4.614
272,404.42,4.614
273,404.50,4.614
274,404.58,4.614
275,404.66,4.614
276,404.74,4.614
277,404.83,4.614
278,404.91,4.614
279,405.00,4.614
280,405.08,4.614
281,405.17,4.614
282,405.25,4.614
283,405.34,4.614
284,405.42,4.614
285,405.50,4.614
286,405.58,4.614
287,405.66,4.614
288,405.75,4.614
289,405.84,4.614
290,405.92,4.614
291,406.01,4.614
292,406.09,4.614
293,406.18,4.614
294,406.25,4.614
295,406.33,4.614
296,406.41,4.614
297,406.50,4.614
298,406.59,4.613
299,406.67,4.613
300,406.76,4.613
301,406.84,4.613
302,406.92,4.613
303,407.00,4.613
304,407.09,4.613
305,407.17,4.613
306,407.26,4.613
307,407.34,4.613
308,407.43,4.613
309,407.51,4.613
310,407.59,4.613
311,407.67,4.613
312,407.76,4.613
313,407.84,4.613
314,407.92,4.613
315,408.01,4.613
316,408.09,4.613
317,408.17,4.613
318,408.26,4.613
319,408.34,4.613
320,408.43,4.613
321,408.51,4.613
322,408.60,4.613
323,408.68,4.613
324,408.76,4.613
325,408.85,4.613
326,408.93,4.613
327,409.01,4.613
328,409.10,4.613
329,409.18,4.613
330,409.26,4.613
331,409.35,4.613
332,409.43,4.613
333,409.51,4.613
334,409.59,4.613
335,409.68,4.613
336,409.76,4.613
337,409.85,4.613
338,409.93,4.613
339,410.02,4.613
340,410.10,4.613
341,410.18,4.613
342,410.26,4.613
343,410.35,4.613
344,410.43,4.613
345,410.51,4.613
346,410.60,4.612
347,410.69,4.612
348,410.77,4.612
349,410.85,4.612
350,410.93,4.612
351,411.01,4.612
352,411.10,4.612
353,411.19,4.612
354,411.27,4.612
355,411.35,4.612
356,411.44,4.612
357,411.52,4.612
358,411.60,4.612
359,411.69,4.612
360,411.77,4.612
361,411.85,4.612
362,411.94,4.612
363,412.02,4.612
364,412.10,4.612
365,412.19,4.612
366,412.27,4.612
367,412.35,4.612
368,412.44,4.612
369,412.52,4.612
370,412.60,4.612
371,412.69,4.612
372,412.78,4.612
373,412.86,4.612
374,412.94,4.612
375,413.02,4.612
376,413.11,4.612
377,413.19,4.612
378,413.28,4.612
379,413.36,4.612
380,413.44,4.612
381,413.52,4.612
382,413.61,4.612
383,413.69,4.612
384,413.78,4.612
385,413.86,4.612
386,413.94,4.612
387,414.03,4.612
388,414.11,4.612
389,414.19,4.612
390,414.28,4.612
391,414.36,4.611
392,414.45,4.611
393,414.53,4.611
394,414.61,4.611
395,414.70,4.611
396,414.78,4.611
397,414.87,4.611
398,414.95,4.611
399,415.03,4.611
400,415.11,4.611
401,415.20,4.611
402,415.29,4.611
403,415.37,4.611
404,415.45,4.611
405,415.53,4.611
406,415.61,4.611
407,415.70,4.611
408,415.79,4.611
409,415.87,4.611
410,415.95,4.611
411,416.03,4.611
412,416.12,4.611
413,416.20,4.611
414,416.29,4.611
415,416.37,4.611
416,416.45,4.611
417,416.53,4.611
418,416.62,4.611
419,416.70,4.611
420,416.79,4.611
421,416.88,4.611
422,416.96,4.611
423,417.04,4.611
424,417.12,4.611
425,417.20,4.610
426,417.29,4.610
427,417.37,4.610
428,417.46,4.610
429,417.54,4.610
430,417.62,4.610
431,417.71,4.610
432,417.79,4.610
433,417.87,4.610
434,417.95,4.610
435,418.04,4.610
436,418.13,4.610
437,418.21,4.610
438,418.30,4.610
439,418.38,4.610
440,418.46,4.610
441,418.54,4.610
442,418.63,4.610
443,418.71,4.610
444,418.80,4.610
445,418.88,4.610
446,418.96,4.610
447,419.04,4.610
448,419.12,4.610
449,419.21,4.610
450,419.30,4.610
451,419.39,4.610
452,419.46,4.610
453,419.54,4.610
454,419.63,4.610
455,419.72,4.609
456,419.80,4.609
457,419.88,4.609
458,419.97,4.609
459,420.05,4.609
460,420.13,4.609
461,420.21,4.609
462,420.30,4.609
463,420.38,4.609
464,420.47,4.609
465,420.55,4.609
466,420.64,4.609
467,420.72,4.609
468,420.80,4.609
469,420.88,4.609
470,420.97,4.609
471,421.05,4.609
472,421.14,4.609
473,421.22,4.609
474,421.30,4.609
475,421.38,4.609
476,421.47,4.609
477,421.55,4.609
478,421.64,4.609
479,421.72,4.609
480,421.81,4.609
481,421.90,4.609
482,421.97,4.609
483,422.05,4.608
484,422.13,4.608
485,422.22,4.608
486,422.30,4.608
487,422.39,4.608
488,422.48,4.608
489,422.56,4.608
490,422.64,4.608
491,422.72,4.608
492,422.81,4.608
493,422.89,4.608
494,422.98,4.608
495,423.06,4.608
496,423.15,4.608
497,423.23,4.608
498,423.31,4.608
499,423.39,4.608
500,423.48,4.608
501,423.56,4.608
502,423.65,4.608
503,423.73,4.608
504,423.81,4.608
505,423.89,4.608
506,423.98,4.607
507,424.06,4.607
508,424.15,4.607
509,424.23,4.607
510,424.31,4.607
511,424.40,4.607
512,424.48,4.607
513,424.56,4.607
514,424.65,4.607
515,424.73,4.607
516,424.81,4.607
517,424.90,4.607
518,424.98,4.607
519,425.07,4.607
520,425.15,4.607
521,425.24,4.607
522,425.32,4.607
523,425.40,4.607
524,425.48,4.607
525,425.56,4.607
526,425.64,4.607
527,425.73,4.607
528,425.82,4.607
529,425.91,4.606
530,425.99,4.606
531,426.08,4.606
532,426.15,4.606
533,426.23,4.606
534,426.32,4.606
535,426.41,4.606
536,426.49,4.606
537,426.58,4.606
538,426.66,4.606
539,426.74,4.606
540,426.82,4.606
541,426.90,4.606
542,426.98,4.606
543,427.07,4.606
544,427.16,4.606
545,427.25,4.606
546,427.33,4.606
547,427.41,4.605
548,427.49,4.605
549,427.57,4.605
550,427.65,4.605
551,427.74,4.605
552,427.82,4.605
553,427.90,4.605
554,427.99,4.605
555,428.08,4.605
556,428.16,4.605
557,428.24,4.605
558,428.32,4.605
559,428.41,4.605
560,428.49,4.605
561,428.58,4.605
562,428.66,4.605
563,428.75,4.605
564,428.84,4.605
565,428.92,4.605
566,429.00,4.605
567,429.08,4.605
568,429.16,4.604
569,429.24,4.604
570,429.32,4.604
571,429.41,4.604
572,429.50,4.604
573,429.58,4.604
574,429.67,4.604
575,429.75,4.604
576,429.82,4.604
577,429.91,4.604
578,429.99,4.604
579,430.08,4.604
580,430.16,4.604
581,430.25,4.604
582,430.33,4.604
583,430.41,4.604
584,430.49,4.604
585,430.57,4.604
586,430.66,4.603
587,430.75,4.603
588,430.83,4.603
589,430.92,4.603
590,431.00,4.603
591,431.08,4.603
592,431.16,4.603
593,431.24,4.603
594,431.33,4.603
595,431.42,4.603
596,431.50,4.603
597,431.58,4.603
598,431.66,4.603
599,431.75,4.603
600,431.83,4.603
601,431.92,4.603
602,432.00,4.603
603,432.08,4.603
604,432.17,4.603
605,432.25,4.602
606,432.34,4.602
607,432.42,4.602
608,432.50,4.602
609,432.58,4.602
610,432.66,4.602
611,432.75,4.602
612,432.84,4.602
613,432.92,4.602
614,433.00,4.602
615,433.09,4.602
616,433.17,4.602
617,433.26,4.602
618,433.34,4.602
619,433.42,4.602
620,433.50,4.601
621,433.58,4.601
622,433.66,4.601
623,433.76,4.601
624,433.84,4.601
625,433.92,4.601
626,434.00,4.601
627,434.09,4.601
628,434.17,4.601
629,434.26,4.601
630,434.34,4.601
631,434.42,4.601
632,434.50,4.601
633,434.59,4.601
634,434.67,4.600
635,434.76,4.600
636,434.84,4.600
637,434.92,4.600
638,435.01,4.600
639,435.09,4.600
640,435.18,4.600
641,435.26,4.600
642,435.34,4.600
643,435.42,4.600
644,435.50,4.600
645,435.58,4.600
646,435.67,4.600
647,435.76,4.600
648,435.85,4.600
649,435.93,4.599
650,436.00,4.599
651,436.08,4.599
652,436.17,4.599
653,436.26,4.599
654,436.35,4.599
655,436.43,4.599
656,436.51,4.599
657,436.59,4.599
658,436.67,4.599
659,436.76,4.599
660,436.84,4.599
661,436.93,4.599
662,437.02,4.599
663,437.09,4.598
664,437.18,4.598
665,437.26,4.598
666,437.34,4.598
667,437.43,4.598
668,437.51,4.598
669,437.60,4.598
670,437.68,4.598
671,437.76,4.598
672,437.85,4.598
673,437.93,4.598
674,438.01,4.598
675,438.09,4.598
676,438.17,4.597
677,438.26,4.597
678,438.35,4.597
679,438.44,4.597
680,438.52,4.597
681,438.60,4.597
682,438.68,4.597
683,438.76,4.597
684,438.84,4.597
685,438.93,4.597
686,439.02,4.597
687,439.10,4.597
688,439.19,4.596
689,439.27,4.596
690,439.35,4.596
691,439.42,4.596
692,439.51,4.596
693,439.60,4.596
694,439.68,4.596
695,439.77,4.596
696,439.85,4.596
697,439.93,4.596
698,440.01,4.596
699,440.09,4.596
700,440.18,4.596
701,440.27,4.595
702,440.36,4.595
703,440.44,4.595
704,440.52,4.595
705,440.60,4.595
706,440.68,4.595
707,440.76,4.595
708,440.85,4.595
709,440.94,4.595
710,441.02,4.595
711,441.10,4.595
712,441.18,4.595
713,441.27,4.594
714,441.35,4.594
715,441.43,4.594
716,441.52,4.594
717,441.60,4.594
718,441.68,4.594
719,441.77,4.594
720,441.85,4.594
721,441.94,4.594
722,442.02,4.594
723,442.10,4.594
724,442.19,4.593
725,442.27,4.593
726,442.35,4.593
727,442.44,4.593
728,442.52,4.593
729,442.61,4.593
730,442.69,4.593
731,442.78,4.593
732,442.85,4.593
733,442.93,4.593
734,443.02,4.593
735,443.10,4.593
736,443.19,4.592
737,443.27,4.592
738,443.36,4.592
739,443.44,4.592
740,443.52,4.592
741,443.61,4.592
742,443.69,4.592
743,443.77,4.592
744,443.85,4.592
745,443.94,4.592
746,444.02,4.592
747,444.11,4.591
748,444.19,4.591
749,444.28,4.591
750,444.36,4.591
751,444.44,4.591
752,444.52,4.591
753,444.61,4.591
754,444.70,4.591
755,444.78,4.591
756,444.86,4.591
757,444.94,4.590
758,445.02,4.590
759,445.10,4.590
760,445.19,4.590
761,445.28,4.590
762,445.37,4.590
763,445.45,4.590
764,445.53,4.590
765,445.60,4.590
766,445.69,4.590
767,445.77,4.589
768,445.86,4.589
769,445.95,4.589
770,446.03,4.589
771,446.12,4.589
772,446.20,4.589
773,446.28,4.589
774,446.36,4.589
775,446.44,4.589
776,446.53,4.589
777,446.61,4.588
778,446.70,4.588
779,446.78,4.588
780,446.87,4.588
781,446.95,4.588
782,447.03,4.588
783,447.11,4.588
784,447.19,4.588
785,447.27,4.588
786,447.36,4.588
787,447.45,4.587
788,447.54,4.587
789,447.61,4.587
790,447.70,4.587
791,447.78,4.587
792,447.87,4.587
793,447.95,4.587
794,448.03,4.587
795,448.12,4.587
796,448.20,4.587
797,448.28,4.586
798,448.37,4.586
799,448.45,4.586
800,448.53,4.586
801,448.61,4.586
802,448.70,4.586
803,448.78,4.586
804,448.87,4.586
805,448.96,4.586
806,449.03,4.586
807,449.12,4.586
808,449.20,4.585
809,449.28,4.585
810,449.37,4.585
811,449.46,4.585
812,449.54,4.585
813,449.62,4.585
814,449.70,4.585
815,449.78,4.585
816,449.86,4.585
817,449.95,4.584
818,450.03,4.584
819,450.12,4.584
820,450.20,4.584
821,450.29,4.584
822,450.37,4.584
823,450.46,4.584
824,450.54,4.584
825,450.62,4.584
826,450.71,4.583
827,450.79,4.583
828,450.87,4.583
829,450.95,4.583
830,451.04,4.583
831,451.12,4.583
832,451.20,4.583
833,451.28,4.583
834,451.37,4.583
835,451.45,4.582
836,451.54,4.582
837,451.63,4.582
838,451.71,4.582
839,451.79,4.582
840,451.88,4.582
841,451.96,4.582
842,452.04,4.582
843,452.12,4.582
844,452.21,4.581
845,452.29,4.581
846,452.38,4.581
847,452.46,4.581
848,452.55,4.581
849,452.63,4.581
850,452.71,4.581
851,452.79,4.581
852,452.87,4.580
853,452.96,4.580
854,453.04,4.580
855,453.13,4.580
856,453.21,4.580
857,453.29,4.580
858,453.37,4.580
859,453.46,4.580
860,453.55,4.580
861,453.63,4.579
862,453.71,4.579
863,453.79,4.579
864,453.87,4.579
865,453.96,4.579
866,454.05,4.579
867,454.13,4.579
868,454.21,4.579
869,454.29,4.578
870,454.38,4.578
871,454.46,4.578
872,454.55,4.578
873,454.63,4.578
874,454.72,4.578
875,454.79,4.578
876,454.88,4.578
877,454.96,4.577
878,455.05,4.577
879,455.13,4.577
880,455.22,4.577
881,455.30,4.577
882,455.38,4.577
883,455.46,4.577
884,455.54,4.577
885,455.62,4.576
886,455.71,4.576
887,455.80,4.576
888,455.89,4.576
889,455.97,4.576
890,456.05,4.576
891,456.13,4.576
892,456.21,4.576
893,456.29,4.575
894,456.38,4.575
895,456.47,4.575
896,456.56,4.575
897,456.64,4.575
898,456.71,4.575
899,456.80,4.575
900,456.88,4.574
901,456.96,4.574
902,457.04,4.574
903,457.14,4.574
904,457.22,4.574
905,457.31,4.574
906,457.39,4.574
907,457.46,4.574
908,457.55,4.573
909,457.62,4.573
910,457.71,4.573
911,457.80,4.573
912,457.89,4.573
913,457.97,4.573
914,458.05,4.573
915,458.13,4.572
916,458.21,4.572
917,458.30,4.572
918,458.39,4.572
919,458.47,4.572
920,458.55,4.572
921,458.63,4.572
922,458.72,4.572
923,458.80,4.571
924,458.88,4.571
925,458.97,4.571
926,459.05,4.571
927,459.14,4.571
928,459.22,4.571
929,459.30,4.571
930,459.39,4.570
931,459.47,4.570
932,459.55,4.570
933,459.63,4.570
934,459.72,4.570
935,459.81,4.570
936,459.89,4.570
937,459.97,4.570
938,460.06,4.569
939,460.14,4.569
940,460.22,4.569
941,460.31,4.569
942,460.39,4.569
943,460.48,4.569
944,460.56,4.569
945,460.64,4.568
946,460.72,4.568
947,460.81,4.568
948,460.89,4.568
949,460.97,4.568
950,461.05,4.568
951,461.14,4.568
952,461.23,4.567
953,461.31,4.567
954,461.40,4.567
955,461.48,4.567
956,461.56,4.567
957,461.63,4.567
958,461.72,4.567
959,461.81,4.566
960,461.89,4.566
961,461.98,4.566
962,462.06,4.566
963,462.15,4.566
964,462.23,4.566
965,462.31,4.566
966,462.39,4.565
967,462.48,4.565
968,462.56,4.565
969,462.65,4.565
970,462.72,4.565
971,462.81,4.565
972,462.89,4.565
973,462.98,4.564
974,463.07,4.564
975,463.15,4.564
976,463.23,4.564
977,463.31,4.564
978,463.39,4.564
979,463.48,4.563
980,463.56,4.563
981,463.65,4.563
982,463.73,4.563
983,463.81,4.563
984,463.89,4.563
985,463.98,4.563
986,464.06,4.562
987,464.15,4.562
988,464.23,4.562
989,464.31,4.562
990,464.39,4.562
991,464.48,4.562
992,464.56,4.561
993,464.65,4.561
994,464.73,4.561
995,464.82,4.561
996,464.90,4.561
997,464.98,4.561
998,465.07,4.561
999,465.15,4.560
1000,465.24,4.560
1001,465.32,4.560
1002,465.40,4.560
1003,465.48,4.560
1004,465.56,4.560
1005,465.65,4.559
1006,465.73,4.559
1007,465.82,4.559
1008,465.90,4.559
1009,465.99,4.559
1010,466.07,4.559
1011,466.15,4.558
1012,466.23,4.558
1013,466.32,4.558
1014,466.40,4.558
1015,466.48,4.558
1016,466.57,4.558
1017,466.65,4.557
1018,466.74,4.557
1019,466.82,4.557
1020,466.90,4.557
1021,466.99,4.557
1022,467.07,4.557
1023,467.16,4.556
1024,467.23,4.556
1025,467.32,4.556
1026,467.40,4.556
1027,467.49,4.556
1028,467.57,4.556
1029,467.65,4.555
1030,467.74,4.555
1031,467.82,4.555
1032,467.90,4.555
1033,467.99,4.555
1034,468.07,4.555
1035,468.15,4.554
1036,468.24,4.554
1037,468.32,4.554
1038,468.41,4.554
1039,468.49,4.554
1040,468.57,4.554
1041,468.66,4.554
1042,468.74,4.553
1043,468.82,4.553
1044,468.91,4.553
1045,468.99,4.553
1046,469.07,4.553
1047,469.16,4.553
1048,469.24,4.552
1049,469.33,4.552
1050,469.41,4.552
1051,469.49,4.552
1052,469.57,4.552
1053,469.65,4.551
1054,469.74,4.551
1055,469.83,4.551
1056,469.91,4.551
1057,470.00,4.551
1058,470.08,4.550
1059,470.16,4.550
1060,470.25,4.550
1061,470.33,4.550
1062,470.41,4.550
1063,470.49,4.550
1064,470.58,4.549
1065,470.66,4.549
1066,470.75,4.549
1067,470.82,4.549
1068,470.91,4.549
1069,470.99,4.548
1070,471.08,4.548
1071,471.16,4.548
1072,471.24,4.548
1073,471.33,4.548
1074,471.41,4.547
1075,471.49,4.547
1076,471.58,4.547
1077,471.66,4.547
1078,471.74,4.547
1079,471.83,4.547
1080,471.91,4.546
1081,472.00,4.546
1082,472.08,4.546
1083,472.16,4.546
1084,472.25,4.546
1085,472.33,4.546
1086,472.41,4.545
1087,472.50,4.545
1088,472.58,4.545
1089,472.66,4.545
1090,472.75,4.545
1091,472.83,4.544
1092,472.91,4.544
1093,473.00,4.544
1094,473.08,4.544
1095,473.16,4.544
1096,473.24,4.543
1097,473.33,4.543
1098,473.42,4.543
1099,473.50,4.543
1100,473.59,4.543
1101,473.67,4.543
1102,473.74,4.542
1103,473.83,4.542
1104,473.92,4.542
1105,474.00,4.542
1106,474.09,4.542
1107,474.17,4.541
1108,474.26,4.541
1109,474.34,4.541
1110,474.42,4.541
1111,474.50,4.541
1112,474.58,4.540
1113,474.67,4.540
1114,474.75,4.540
1115,474.84,4.540
1116,474.92,4.540
1117,475.00,4.539
1118,475.09,4.539
1119,475.17,4.539
1120,475.25,4.539
1121,475.34,4.539
1122,475.42,4.538
1123,475.50,4.538
1124,475.58,4.538
1125,475.67,4.538
1126,475.75,4.538
1127,475.84,4.537
1128,475.93,4.537
1129,476.01,4.537
1130,476.08,4.537
1131,476.17,4.536
1132,476.25,4.536
1133,476.34,4.536
1134,476.43,4.536
1135,476.51,4.536
1136,476.59,4.535
1137,476.68,4.535
1138,476.76,4.535
1139,476.84,4.535
1140,476.92,4.535
1141,477.00,4.534
1142,477.09,4.534
1143,477.17,4.534
1144,477.26,4.534
1145,477.34,4.534
1146,477.42,4.533
1147,477.50,4.533
1148,477.59,4.533
1149,477.67,4.533
1150,477.76,4.533
1151,477.84,4.532
1152,477.92,4.532
1153,478.01,4.532
1154,478.09,4.532
1155,478.18,4.532
1156,478.25,4.531
1157,478.35,4.531
1158,478.42,4.531
1159,478.50,4.531
1160,478.59,4.530
1161,478.68,4.530
1162,478.76,4.530
1163,478.84,4.530
1164,478.93,4.529
1165,479.01,4.529
1166,479.09,4.529
1167,479.18,4.529
1168,479.26,4.529
1169,479.35,4.528
1170,479.43,4.528
1171,479.51,4.528
1172,479.60,4.528
1173,479.68,4.527
1174,479.76,4.527
1175,479.85,4.527
1176,479.93,4.527
1177,480.01,4.527
1178,480.09,4.526
1179,480.18,4.526
1180,480.26,4.526
1181,480.35,4.526
1182,480.43,4.525
1183,480.51,4.525
1184,480.60,4.525
1185,480.68,4.525
1186,480.76,4.525
1187,480.85,4.524
1188,480.93,4.524
1189,481.01,4.524
1190,481.10,4.524
1191,481.18,4.523
1192,481.27,4.523
1193,481.35,4.523
1194,481.43,4.523
1195,481.52,4.522
1196,481.60,4.522
1197,481.68,4.522
1198,481.76,4.522
1199,481.85,4.521
1200,481.93,4.521
1201,482.02,4.521
1202,482.10,4.521
1203,482.18,4.520
1204,482.26,4.520
1205,482.35,4.520
1206,482.43,4.520
1207,482.52,4.519
1208,482.60,4.519
1209,482.68,4.519
1210,482.77,4.519
1211,482.85,4.519
1212,482.93,4.518
1213,483.02,4.518
1214,483.11,4.518
1215,483.19,4.518
1216,483.27,4.517
1217,483.35,4.517
1218,483.43,4.517
1219,483.51,4.517
1220,483.60,4.516
1221,483.69,4.516
1222,483.78,4.516
1223,483.86,4.516
1224,483.93,4.515
1225,484.01,4.515
1226,484.10,4.515
1227,484.19,4.515
1228,484.27,4.514
1229,484.35,4.514
1230,484.44,4.514
1231,484.52,4.514
1232,484.61,4.513
1233,484.69,4.513
1234,484.77,4.513
1235,484.85,4.512
1236,484.94,4.512
1237,485.02,4.512
1238,485.10,4.512
1239,485.19,4.511
1240,485.27,4.511
1241,485.36,4.511
1242,485.44,4.511
1243,485.52,4.510
1244,485.60,4.510
1245,485.69,4.510
1246,485.78,4.510
1247,485.86,4.509
1248,485.94,4.509
1249,486.02,4.509
1250,486.10,4.509
1251,486.19,4.508
1252,486.28,4.508
1253,486.36,4.508
1254,486.45,4.508
1255,486.53,4.507
1256,486.61,4.507
1257,486.69,4.507
1258,486.77,4.507
1259,486.85,4.506
1260,486.94,4.506
1261,487.03,4.506
1262,487.11,4.505
1263,487.20,4.505
1264,487.28,4.505
1265,487.35,4.505
1266,487.44,4.504
1267,487.53,4.504
1268,487.61,4.504
1269,487.69,4.504
1270,487.78,4.503
1271,487.86,4.503
1272,487.94,4.503
1273,488.03,4.502
1274,488.11,4.502
1275,488.19,4.502
1276,488.28,4.502
1277,488.36,4.501
1278,488.45,4.501
1279,488.53,4.501
1280,488.61,4.500
1281,488.70,4.500
1282,488.78,4.500
1283,488.86,4.500
1284,488.95,4.499
1285,489.03,4.499
1286,489.11,4.499
1287,489.20,4.499
1288,489.28,4.498
1289,489.37,4.498
1290,489.44,4.498
1291,489.53,4.497
1292,489.62,4.497
1293,489.70,4.497
1294,489.78,4.497
1295,489.87,4.496
1296,489.95,4.496
1297,490.03,4.496
1298,490.12,4.495
1299,490.20,4.495
1300,490.28,4.495
1301,490.36,4.494
1302,490.44,4.494
1303,490.53,4.494
1304,490.62,4.494
1305,490.70,4.493
1306,490.79,4.493
1307,490.87,4.493
1308,490.95,4.492
1309,491.03,4.492
1310,491.12,4.492
1311,491.20,4.492
1312,491.29,4.491
1313,491.37,4.491
1314,491.45,4.491
1315,491.54,4.490
1316,491.62,4.490
1317,491.70,4.490
1318,491.78,4.489
1319,491.87,4.489
1320,491.95,4.489
1321,492.04,4.489
1322,492.12,4.488
1323,492.20,4.488
1324,492.28,4.488
1325,492.37,4.487
1326,492.45,4.487
1327,492.54,4.487
1328,492.62,4.486
1329,492.70,4.486
1330,492.78,4.486
1331,492.87,4.485
1332,492.96,4.485
1333,493.04,4.485
1334,493.13,4.484
1335,493.21,4.484
1336,493.28,4.484
1337,493.37,4.484
1338,493.45,4.483
1339,493.54,4.483
1340,493.62,4.483
1341,493.70,4.482
1342,493.79,4.482
1343,493.87,4.482
1344,493.96,4.481
1345,494.04,4.481
1346,494.12,4.481
1347,494.20,4.480
1348,494.29,4.480
1349,494.37,4.480
1350,494.46,4.479
1351,494.54,4.479
1352,494.62,4.479
1353,494.71,4.478
1354,494.79,4.478
1355,494.88,4.478
1356,494.96,4.477
1357,495.04,4.477
1358,495.12,4.477
1359,495.20,4.476
