Time,T_back
[s],[K]
123.5,381.5
124.0,382.1
124.5,382.7
125.0,383.4
125.5,384.0
126.0,384.6
126.5,385.2
127.0,385.8
127.5,386.5
128.0,387.1
128.5,387.7
129.0,388.3
129.5,388.9
130.0,389.6
130.5,390.2
131.0,390.8
131.5,391.4
132.0,392.0
132.5,392.7
133.0,393.3
133.5,393.9
134.0,394.5
134.5,395.1
135.0,395.7
135.5,396.4
136.0,397.0
136.5,397.6
137.0,398.2
137.5,398.8
138.0,399.4
138.5,400.0
139.0,400.7
139.5,401.3
140.0,401.9
140.5,402.5
141.0,403.1
141.5,403.7
142.0,404.3
142.5,404.9
143.0,405.6
143.5,406.2
144.0,406.8
144.5,407.4
145.0,408.0
145.5,408.6
146.0,409.2
146.5,409.8
147.0,410.4
147.5,411.0
148.0,411.6
148.5,412.2
149.0,412.8
149.5,413.5
150.0,414.1
150.5,414.7
151.0,415.3
151.5,415.9
152.0,416.5
152.5,417.1
153.0,417.7
153.5,418.3
154.0,418.9
154.5,419.5
155.0,420.1
155.5,420.7
156.0,421.3
156.5,421.9
157.0,422.5
157.5,423.1
158.0,423.7
158.5,424.3
159.0,424.9
159.5,425.5
160.0,426.1
160.5,426.7
161.0,427.3
161.5,427.9
162.0,428.5
162.5,429.1
163.0,429.7
163.5,430.3
164.0,430.9
164.5,431.5
165.0,432.1
165.5,432.7
166.0,433.2
166.5,433.8
167.0,434.4
167.5,435.0
168.0,435.6
168.5,436.2
169.0,436.8
169.5,437.4
170.0,438.0
170.5,438.6
171.0,439.2
171.5,439.7
172.0,440.3
172.5,440.9
173.0,441.5
173.5,442.1
174.0,442.7
174.5,443.3
175.0,443.9
175.5,444.4
176.0,445.0
176.5,445.6
177.0,446.2
177.5,446.8
178.0,447.4
178.5,448.0
179.0,448.5
179.5,449.1
180.0,449.7
180.5,450.3
181.0,450.9
181.5,451.4
182.0,452.0
182.5,452.6
183.0,453.2
183.5,453.8
184.0,454.4
184.5,454.9
185.0,455.5
185.5,456.1
186.0,456.7
186.5,457.2
187.0,457.8
187.5,458.4
188.0,459.0
188.5,459.6
189.0,460.1
189.5,460.7
190.0,461.3
190.5,461.9
191.0,462.4
191.5,463.0
192.0,463.6
192.5,464.2
193.0,464.7
193.5,465.3
194.0,465.9
194.5,466.4
195.0,467.0
195.5,467.6
196.0,468.2
196.5,468.7
197.0,469.3
197.5,469.9
198.0,470.4
198.5,471.0
199.0,471.6
199.5,472.1
200.0,472.7
200.5,473.3
201.0,473.9
201.5,474.4
202.0,475.0
202.5,475.6
203.0,476.1
203.5,476.7
204.0,477.3
204.5,477.8
205.0,478.4
205.5,479.0
206.0,479.5
206.5,480.1
207.0,480.6
