Time,Mass,Heat release,Back surface temperature
214,50.64,9.52,395.9
215,50.46,9.54,396.2
216,50.26,9.56,396.8
217,50.08,9.62,397.1
218,49.86,9.65,397.8
219,49.62,9.68,398.2
220,49.41,9.7,398.5
221,49.19,9.72,398.9
222,49.01,9.73,399.5
223,48.8,9.74,399.8
224,48.63,9.76,400.5
225,48.4,9.76,400.9
226,48.19,9.78,401.4
227,47.95,9.76,401.9
228,47.72,9.73,402.5
229,47.56,9.69,402.8
230,47.35,9.66,403.2
231,47.12,9.64,403.7
232,46.92,9.62,404.2
233,46.7,9.62,404.6
234,46.48,9.63,405
235,46.29,9.66,405.4
236,46.09,9.69,405.8
237,45.85,9.71,406.2
238,45.62,9.75,406.5
239,45.42,9.8,406.9
240,45.24,9.84,407.2
241,45.03,9.87,407.6
242,44.82,9.89,408.2
243,44.61,9.92,408.7
244,44.38,9.94,409.4
245,44.15,9.96,409.4
246,43.94,9.97,409.6
247,43.75,9.98,409.9
248,43.54,9.99,410.4
249,43.3,10,410.7
250,43.06,10.02,410.9
251,42.83,10.02,411.2
252,42.65,10.02,411.5
253,42.49,10.03,411.9
254,42.26,10.03,412.4
255,42.02,10.03,412.7
256,41.86,10.03,413.3
257,41.64,10.01,413.7
258,41.41,10,413.8
259,41.15,9.98,414.3
260,40.93,9.98,414.5
261,40.77,9.99,414.7
262,40.54,10,415.1
263,40.33,9.99,415.4
264,40.12,10,415.8
265,39.93,10,416.1
266,39.72,10.02,416.3
267,39.51,10.04,416.8
268,39.31,10.07,417.2
269,39.1,10.09,417.6
270,38.85,10.12,418
271,38.61,10.16,418.3
272,38.39,10.2,418.6
273,38.15,10.23,419
274,37.94,10.25,419.5
275,37.74,10.24,419.6
276,37.54,10.19,419.8
277,37.33,10.12,420.2
278,37.12,10.05,420.1
279,36.88,10.02,420.4
280,36.66,10.01,420.4
281,36.45,10.05,420.7
282,36.24,10.13,421
283,36.04,10.2,421.4
284,35.81,10.26,421.7
285,35.6,10.31,421.8
286,35.39,10.33,422
287,35.16,10.35,422
288,34.95,10.36,421.9
289,34.74,10.35,421.5
290,34.51,10.34,421.4
291,34.26,10.32,421.1
292,34.08,10.29,420.9
293,33.85,10.24,420.7
294,33.61,10.21,420.6
295,33.38,10.19,420.4
296,33.15,10.22,420.1
297,32.95,10.26,419.3
298,32.74,10.3,418.8
299,32.52,10.33,417.9
300,32.29,10.34,417.4
301,32.09,10.38,417
302,31.87,10.43,417.1
303,31.65,10.48,417.1
304,31.45,10.51,417.4
305,31.24,10.53,417.5
306,31.05,10.55,417.4
307,30.83,10.56,417.8
308,30.59,10.56,417.8
309,30.35,10.54,417.8
310,30.13,10.51,417.5
311,29.91,10.47,417.1
312,29.66,10.43,416.8
313,29.45,10.4,416.9
314,29.25,10.38,416.7
315,28.99,10.36,416.5
316,28.77,10.36,416.1
317,28.53,10.42,416
318,28.31,10.49,415.9
319,28.1,10.55,416.2
320,27.87,10.6,417.1
321,27.66,10.64,417.5
322,27.43,10.68,417.3
323,27.16,10.71,418.2
324,26.96,10.74,418.6
325,26.77,10.76,418.9
326,26.56,10.77,419.4
327,26.34,10.77,420.4
328,26.11,10.77,421.4
329,25.87,10.77,422.8
330,25.65,10.77,423.7
331,25.44,10.76,426.5
332,25.24,10.76,430.4
333,25.03,10.75,437.2
334,24.81,10.73,442.6
335,24.6,10.72,446.3
336,24.4,10.72,449.3
337,24.17,10.73,452.5
338,23.94,10.74,455.6
339,23.73,10.73,458.7
340,23.52,10.73,461.7
341,23.31,10.72,465.6
342,23.1,10.7,468.9
343,22.89,10.67,471.3
344,22.67,10.61,474.3
345,22.51,10.53,478.6
346,22.32,10.45,480.2
347,22.1,10.39,483.1
348,21.85,10.35,484
349,21.65,10.3,486.3
350,21.46,10.22,488
351,21.28,10.16,490
352,21.07,10.09,492.2
353,20.87,10.03,496
354,20.68,9.97,498.5
355,20.46,9.93,500.9
356,20.26,9.89,503.1
357,20.08,9.86,505.3
358,19.9,9.84,507.3
359,19.72,9.83,509.7
360,19.53,9.82,511.9
361,19.34,9.74,514.4
362,19.15,9.62,517
363,18.95,9.53,519.4
364,18.75,9.47,522
365,18.51,9.43,524.3
366,18.31,9.41,526.4
367,18.16,9.38,528.2
368,17.98,9.33,530.3
369,17.77,9.23,532.4
370,17.56,9.12,534.4
371,17.37,9.02,536.1
372,17.21,8.93,538.2
373,17.03,8.87,540.5
374,16.86,8.83,542.3
375,16.69,8.79,544.8
376,16.5,8.75,546.7
377,16.3,8.67,548.7
378,16.08,8.59,550.7
379,15.91,8.52,552.7
380,15.74,8.45,554.6
381,15.58,8.37,556.4
382,15.39,8.29,558.2
383,15.21,8.21,559.9
384,15.06,8.16,561.6
385,14.86,8.11,562.8
386,14.68,8.04,564.5
387,14.51,7.93,566
388,14.32,7.81,567.6
389,14.18,7.71,568.9
390,14.02,7.64,570.1
391,13.87,7.59,571.2
392,13.69,7.51,572.5
393,13.52,7.4,574.2
394,13.32,7.3,575.5
395,13.14,7.23,576.8
396,12.97,7.18,579.4
397,12.78,7.12,580.9
398,12.61,7.06,582.3
399,12.44,6.99,583.9
400,12.26,6.92,585.2
401,12.1,6.85,586.2
402,11.9,6.75,586.7
403,11.73,6.63,586.8
404,11.54,6.53,590.5
405,11.38,6.46,591.9
406,11.2,6.41,592.2
407,11.02,6.39,592.5
408,10.83,6.38,594.9
409,10.62,6.38,595.8
410,10.45,6.38,596.9
411,10.3,6.37,597.9
412,10.14,6.35,598.5
413,9.98,6.33,598.8
414,9.83,6.3,599.9
415,9.68,6.27,600.2
416,9.52,6.25,600.9
417,9.36,6.23,601.3
418,9.17,6.22,602.1
419,8.99,6.19,602.6
420,8.8,6.14,603.4
421,8.61,6.09,604
422,8.46,6.02,604.8
423,8.33,5.93,606.1
424,8.16,5.84,607.4
425,8.01,5.75,609.1
426,7.86,5.64,610.7
427,7.69,5.53,612.4
428,7.55,5.39,614.3
429,7.45,5.27,616.7
430,7.31,5.16,618.5
431,7.16,5.08,620.4
432,7.05,5,622.3
433,6.92,4.9,624.2
434,6.77,4.81,626.1
435,6.62,4.72,629.3
436,6.49,4.65,634.1
437,6.36,4.58,636.7
438,6.25,4.5,641
439,6.12,4.42,645.7
440,6,4.36,649.9
441,5.89,4.3,654.2
442,5.77,4.22,658.9
443,5.66,4.1,664.4
444,5.52,3.99,671.1
445,5.41,3.86,677.2
446,5.29,3.73,682.3
447,5.15,3.62,686.5
448,5.02,3.52,690.3
449,4.94,3.42,695.2
450,4.83,3.32,701.2
451,4.74,3.24,705.6
452,4.66,3.15,709.8
453,4.53,3.05,714.6
454,4.43,2.94,720.6
455,4.34,2.81,731.1
456,4.21,2.68,733.6
457,4.12,2.59,741
458,4.03,2.49,747.8
459,3.95,2.42,753.8
460,3.83,2.33,761.5
461,3.75,2.24,767.9
462,3.68,2.17,772
463,3.62,2.11,774.6
464,3.56,2.06,775.7
465,3.47,2.01,774
466,3.36,1.97,763.2
467,3.28,1.9,751.1
468,3.22,1.79,735.7
469,3.14,1.68,721.5
470,3.09,1.57,708.8
471,3.05,1.47,698.6
472,2.96,1.37,689.3
473,2.89,1.27,680.7
474,2.85,1.17,673.7
475,2.79,1.08,666.7
476,2.74,0.98,661.1
477,2.68,0.89,655.8
478,2.63,0.81,650.5
479,2.57,0.73,647
480,2.49,0.64,643.4
481,2.43,0.56,640.2
482,2.39,0.48,637.1
483,2.36,0.4,634.3
484,2.31,0.34,632.2
485,2.25,0.29,631
486,2.19,0.25,629.7
487,2.12,0.22,628.2
488,2.08,0.2,625.2
489,2.04,0.18,623.6
490,1.97,0.16,623.2
491,1.9,0.15,622.4
492,1.81,0.14,621.7
493,1.75,0.14,621.5
494,1.72,0.14,621
495,1.69,0.13,620.4
496,1.63,0.12,619.7
497,1.55,0.12,619.6
498,1.49,0.12,619.3
499,1.44,0.12,619.4
500,1.39,0.13,618.6
501,1.34,0.12,617.9
502,1.29,0.11,617.7
503,1.22,0.11,618.3
504,1.17,0.11,617.8
505,1.1,0.1,617.2
506,1.04,0.1,616
507,0.99,0.1,615.7
508,0.94,0.1,615.2
509,0.89,0.09,615
