Time,Mass,Heat release,Back surface temperature
140,35.09,23.82,462.1
141,34.66,23.73,464.4
142,34.24,23.86,466.7
143,33.83,24.15,469
144,33.4,24.43,471.2
145,32.97,24.64,473.2
146,32.56,24.78,475
147,32.16,24.87,476.4
148,31.73,24.82,477.6
149,31.32,24.7,478.6
150,30.87,24.61,479.7
151,30.4,24.64,480.8
152,29.95,24.84,482
153,29.5,25.1,483.3
154,29.06,25.31,484.8
155,28.6,25.46,486.6
156,28.15,25.63,488.3
157,27.69,25.79,490.3
158,27.23,26.02,492.4
159,26.79,26.3,494.9
160,26.35,26.56,496.9
161,25.91,26.75,499.1
162,25.46,26.9,501.2
163,24.99,27.06,503.2
164,24.52,27.2,506.1
165,24.07,27.32,509.3
166,23.62,27.44,511.9
167,23.19,27.53,514.2
168,22.73,27.59,516
169,22.28,27.68,517.9
170,21.84,27.84,520.2
171,21.42,28.04,523
172,21.02,28.26,526.4
173,20.63,28.41,529.4
174,20.22,28.53,533
175,19.8,28.61,536.4
176,19.41,28.69,539.8
177,19.01,28.77,543.2
178,18.6,28.89,546.9
179,18.21,28.99,550.3
180,17.82,29.05,553.5
181,17.45,29.09,556.5
182,17.08,29.06,558.9
183,16.7,28.92,560.8
184,16.3,28.71,562.6
185,15.87,28.41,564.7
186,15.48,28.06,565.4
187,15.08,27.6,563.4
188,14.71,27.06,556.3
189,14.35,26.48,542.6
190,13.96,25.96,541.8
191,13.6,25.49,548.6
192,13.26,25.09,563.3
193,12.91,24.77,594.5
194,12.58,24.55,615.5
195,12.28,24.32,644.5
196,11.98,24.08,679.9
197,11.68,23.82,656.8
198,11.37,23.57,680.7
199,11.06,23.36,706.7
200,10.78,23.18,730.1
201,10.48,22.94,752.6
202,10.18,22.58,774.3
203,9.89,22.08,792.7
204,9.58,21.58,809.2
205,9.26,21.03,827.7
206,8.99,20.41,842.6
207,8.74,19.59,851.9
208,8.49,18.7,910.8
209,8.26,17.69,954.6
210,8.04,16.85,942.1
211,7.79,15.99,949.5
212,7.54,15.13,954.5
213,7.32,14.34,965.3
214,7.11,13.6,979.2
215,6.91,12.71,987
216,6.73,11.85,990.9
217,6.55,11.09,1003.9
218,6.35,10.33,1006.8
219,6.16,9.66,1002.5
220,5.95,9.02,1000
221,5.8,8.36,998.7
222,5.62,7.68,986.5
223,5.42,7.01,989.1
224,5.24,6.41,982.3
225,5.06,5.82,966.8
226,4.89,5.29,945.4
227,4.69,4.77,937.5
228,4.53,4.32,929.2
229,4.39,3.89,924.9
230,4.2,3.54,919.2
231,4.05,3.19,911.6
232,3.9,2.87,905.7
233,3.75,2.54,901.7
234,3.61,2.21,900
235,3.43,1.93,897.8
236,3.25,1.68,896.5
237,3.12,1.49,895.5
238,2.98,1.32,893.7
239,2.82,1.18,892.5
240,2.66,1.03,892.6
241,2.49,0.88,891.5
242,2.34,0.74,892.2
243,2.18,0.61,891
244,2.03,0.51,891.1
245,1.87,0.43,888.9
246,1.72,0.36,889.7
247,1.58,0.31,887.9
248,1.41,0.26,887.7
249,1.26,0.21,887.6
250,1.11,0.18,887.1
251,0.92,0.15,888
252,0.75,0.13,885.8
253,0.6,0.12,886.5
254,0.47,0.1,886.1
255,0.33,0.1,885.6
