Time,Mass,Heat release,Back surface temperature
183,54.18,9.2,447.5
184,53.96,9.18,448.5
185,53.76,9.18,449.6
186,53.56,9.18,450.9
187,53.36,9.23,451.8
188,53.17,9.28,453
189,52.99,9.38,454.1
190,52.8,9.48,455.3
191,52.58,9.56,456.2
192,52.38,9.63,457.1
193,52.13,9.67,458
194,51.94,9.72,459
195,51.74,9.78,460
196,51.52,9.84,460.9
197,51.31,9.87,462
198,51.07,9.88,462.6
199,50.86,9.84,464
200,50.68,9.81,465.1
201,50.49,9.8,465.6
202,50.23,9.81,466.6
203,50.02,9.82,467.6
204,49.81,9.82,468.6
205,49.59,9.83,469.8
206,49.39,9.83,470.7
207,49.17,9.83,471.5
208,48.96,9.81,472.6
209,48.74,9.79,473.2
210,48.53,9.77,474.2
211,48.27,9.74,475.2
212,48.07,9.73,476.2
213,47.84,9.72,477.1
214,47.63,9.7,478.1
215,47.45,9.69,479.1
216,47.22,9.67,479.9
217,46.97,9.68,480.7
218,46.74,9.73,481.7
219,46.55,9.82,482.8
220,46.33,9.91,483.6
221,46.1,9.97,484.6
222,45.88,10.03,485.8
223,45.64,10.1,486.6
224,45.41,10.15,487.3
225,45.23,10.18,488
226,45.02,10.21,488.9
227,44.79,10.25,489.7
228,44.54,10.29,490.3
229,44.32,10.32,491.1
230,44.09,10.32,491.7
231,43.85,10.31,492.4
232,43.62,10.3,492.9
233,43.43,10.3,493.6
234,43.24,10.3,494.2
235,43,10.3,494.7
236,42.76,10.31,495.5
237,42.53,10.31,496.5
238,42.29,10.31,497.1
239,42.04,10.35,497.7
240,41.81,10.41,498.5
241,41.58,10.49,499.2
242,41.33,10.55,499.8
243,41.12,10.59,500.6
244,40.9,10.59,501.3
245,40.69,10.56,502.1
246,40.48,10.53,502.6
247,40.23,10.5,503.3
248,39.97,10.49,504
249,39.75,10.47,504.6
250,39.52,10.46,505.1
251,39.32,10.46,505.6
252,39.08,10.53,506.2
253,38.85,10.63,506.8
254,38.61,10.7,507.3
255,38.36,10.75,508
256,38.11,10.79,508.7
257,37.9,10.83,509.1
258,37.71,10.85,509.7
259,37.46,10.89,510
260,37.23,10.94,510.7
261,36.98,10.99,511.1
262,36.74,11.03,511.5
263,36.49,11.06,511.2
264,36.25,11.07,511.5
265,36.01,11.06,512.2
266,35.76,11.03,512.9
267,35.53,10.99,513.3
268,35.28,10.98,513.8
269,35.05,11,514.4
270,34.83,11.05,515
271,34.57,11.08,515.1
272,34.33,11.12,516.5
273,34.13,11.16,517.2
274,33.9,11.19,518
275,33.69,11.22,518.3
276,33.48,11.25,519.3
277,33.24,11.26,520.3
278,33.01,11.26,521.2
279,32.78,11.25,522.1
280,32.54,11.24,522.8
281,32.29,11.23,523.8
282,32.02,11.22,525.1
283,31.78,11.22,526.2
284,31.56,11.23,527
285,31.35,11.27,527.3
286,31.14,11.33,528.7
287,30.89,11.37,529.9
288,30.66,11.41,530.8
289,30.4,11.39,532.5
290,30.18,11.34,533.8
291,29.97,11.3,534.5
292,29.76,11.27,536.6
293,29.53,11.26,538.3
294,29.3,11.25,539.9
295,29.11,11.25,540.9
296,28.86,11.24,542
297,28.62,11.25,542.6
298,28.41,11.25,543.8
299,28.18,11.27,545
300,27.97,11.28,543.2
301,27.72,11.28,543.3
302,27.5,11.28,544.9
303,27.27,11.25,545.1
304,27.06,11.2,545.1
305,26.85,11.12,545.7
306,26.62,11.05,545.5
307,26.4,10.96,545.8
308,26.18,10.88,546.4
309,25.94,10.83,546.6
310,25.72,10.8,546.6
311,25.5,10.78,547.4
312,25.28,10.77,548.1
313,25.06,10.78,548.4
314,24.86,10.85,549.2
315,24.63,10.95,550.1
316,24.4,11.05,550.5
317,24.16,11.11,551
318,23.96,11.12,551.1
319,23.76,11.11,551.5
320,23.54,11.09,552.2
321,23.33,11.08,553
322,23.11,11.07,553.3
323,22.92,11.06,553.5
324,22.72,11.06,553.6
325,22.49,11.01,554.1
326,22.26,10.94,554.2
327,22.08,10.85,555
328,21.89,10.76,555.6
329,21.68,10.63,556.1
330,21.49,10.45,556.7
331,21.28,10.28,557.5
332,21.08,10.15,558.2
333,20.88,10.08,559
334,20.67,10.05,560.2
335,20.48,10.05,561.3
336,20.27,10.05,561.9
337,20.05,10.04,562.8
338,19.86,10.04,563.4
339,19.68,10.04,564.8
340,19.5,10.04,566.1
341,19.28,10.03,567
342,19.06,9.99,568.5
343,18.84,9.92,569.6
344,18.65,9.82,570.8
345,18.5,9.72,571.8
346,18.3,9.61,572.9
347,18.11,9.47,574.3
348,17.91,9.32,575.6
349,17.67,9.22,577.1
350,17.5,9.15,577.8
351,17.32,9.11,579.3
352,17.12,9.09,580.6
353,16.96,9.03,581.8
354,16.76,8.98,583.2
355,16.55,8.92,584.2
356,16.35,8.88,585.3
357,16.15,8.84,586.6
358,15.94,8.8,587.6
359,15.77,8.75,589.2
360,15.63,8.7,590.1
361,15.44,8.67,591.3
362,15.23,8.64,592.4
363,15.04,8.61,593.6
364,14.84,8.58,594.4
365,14.67,8.53,595.7
366,14.48,8.46,596.7
367,14.3,8.38,597.4
368,14.12,8.31,598.8
369,13.95,8.25,599.5
370,13.76,8.2,600.4
371,13.59,8.13,601.2
372,13.4,8.06,602.1
373,13.23,8.02,602.8
374,13.07,7.99,603.2
375,12.91,7.97,603.9
376,12.74,7.95,604.6
377,12.58,7.91,605
378,12.4,7.79,605.7
379,12.21,7.65,606.6
380,12.05,7.55,607.5
381,11.9,7.48,608.6
382,11.72,7.43,609.5
383,11.53,7.38,610.3
384,11.36,7.31,611.2
385,11.18,7.21,612.2
386,11.05,7.12,613.1
387,10.86,7.04,614.1
388,10.69,6.96,615
389,10.58,6.84,615.9
390,10.42,6.7,616.6
391,10.23,6.54,617.7
392,10.06,6.4,619
393,9.88,6.28,620.2
394,9.71,6.15,621.7
395,9.54,6.05,623
396,9.39,5.96,624.3
397,9.23,5.89,625.9
398,9.11,5.84,628.1
399,8.96,5.81,630.6
400,8.81,5.78,633.3
401,8.66,5.76,636.4
402,8.51,5.75,642.8
403,8.39,5.74,654.7
404,8.22,5.72,664
405,8.09,5.69,672.9
406,7.96,5.64,680.5
407,7.82,5.58,687.4
408,7.68,5.51,694.9
409,7.53,5.44,702.7
410,7.39,5.38,710.9
411,7.26,5.3,718.5
412,7.13,5.19,724.8
413,7,5.08,730.6
414,6.9,4.99,737.6
415,6.78,4.93,741.8
416,6.66,4.86,750.4
417,6.55,4.78,757.8
418,6.46,4.69,764
419,6.36,4.58,778.9
420,6.22,4.46,786.6
421,6.1,4.35,791.1
422,5.98,4.23,793.2
423,5.89,4.12,800.4
424,5.79,4,806.5
425,5.68,3.89,821.6
426,5.57,3.78,825.7
427,5.48,3.7,825.2
428,5.38,3.61,825.4
429,5.3,3.5,823.9
430,5.2,3.38,830.2
431,5.08,3.28,833.7
432,4.95,3.17,834.9
433,4.87,3.05,846.8
434,4.8,2.94,862.4
435,4.73,2.84,861.6
436,4.66,2.74,865.6
437,4.55,2.64,867.7
438,4.46,2.55,866.4
439,4.38,2.48,867.2
440,4.29,2.41,866.2
441,4.17,2.35,859.8
442,4.09,2.28,850.9
443,4.03,2.21,845.1
444,3.97,2.14,841
445,3.88,2.08,819.3
446,3.82,2.02,795.8
447,3.77,1.98,784
448,3.71,1.94,775.3
449,3.65,1.9,759.9
450,3.6,1.85,754.3
451,3.53,1.77,751.6
452,3.48,1.69,746.6
453,3.39,1.63,743.5
454,3.33,1.58,739.3
455,3.26,1.53,737.8
456,3.18,1.49,735.1
457,3.15,1.44,732.3
458,3.1,1.39,726.6
459,3.04,1.34,721.7
460,2.95,1.28,710
461,2.86,1.22,717.6
462,2.79,1.16,716.7
463,2.73,1.09,716.9
464,2.68,1.02,712.8
465,2.63,0.95,713.9
466,2.57,0.89,715.5
467,2.51,0.86,710.8
468,2.43,0.83,719.2
469,2.37,0.81,725.2
470,2.33,0.79,722.8
471,2.26,0.77,719.2
472,2.21,0.75,716
473,2.14,0.73,713.8
474,2.06,0.71,710.8
475,2,0.69,710.3
476,1.93,0.68,705.4
477,1.85,0.67,702.2
478,1.79,0.67,703.5
479,1.75,0.67,700.5
480,1.71,0.67,700.6
481,1.66,0.67,706.2
482,1.62,0.66,706.2
483,1.54,0.66,702.9
484,1.51,0.66,707.8
485,1.47,0.65,708.7
486,1.39,0.64,706.3
487,1.33,0.62,703.2
488,1.3,0.6,699.3
489,1.24,0.58,697.9
490,1.2,0.56,696
491,1.14,0.55,695.2
492,1.09,0.54,695.7
493,1.04,0.52,693.1
494,0.99,0.52,692.1
495,0.92,0.52,691.6
496,0.85,0.52,690.4
497,0.8,0.52,690.1
498,0.76,0.52,691.3
499,0.72,0.52,691
500,0.69,0.52,690.3
501,0.58,0.51,692.7
502,0.55,0.49,692.9
503,0.51,0.49,693
504,0.47,0.48,692.4
505,0.42,0.44,691.4
506,0.38,0.42,691.1
