Time(s),Temperature (K),Mass (mg)
3735.3498,619.35401,2.40910023
3735.6498,619.40299,2.407499837
3735.9498,619.45499,2.405599784
3736.2498,619.504,2.403400069
3736.5498,619.55701,2.402099845
3736.8498,619.60001,2.400600016
3737.1498,619.637,2.398900075
3737.4498,619.69599,2.396400191
3737.7498,619.75501,2.395300079
3738.0498,619.80201,2.393700194
3738.3498,619.84901,2.391900197
3738.6498,619.9,2.390199748
3738.9498,619.952,2.389000088
3739.2498,619.999,2.386799865
3739.5498,620.047,2.38460015
3739.8498,620.09901,2.382999757
3740.1498,620.141,2.380699986
3740.4498,620.185,2.379399762
3740.7498,620.241,2.378100046
3741.0498,620.288,2.376199992
3741.3498,620.348,2.373700108
3741.6498,620.396,2.372399884
3741.9498,620.43799,2.370599887
3742.2498,620.48801,2.368899945
3742.5498,620.546,2.36670023
3742.8498,620.59,2.364999781
3743.1498,620.63499,2.363499953
3743.4498,620.68699,2.361499842
3743.7498,620.73701,2.359599788
3744.0498,620.788,2.358300072
3744.3498,620.84101,2.356600131
3744.6498,620.887,2.354100247
3744.9498,620.93299,2.352800023
3745.2498,620.98401,2.351100082
3745.5498,621.04001,2.348699747
3745.8498,621.08799,2.34740003
3746.1498,621.137,2.34539992
3746.4498,621.17701,2.343100149
3746.7498,621.23499,2.341799925
3747.0498,621.28699,2.339699759
3747.3498,621.32599,2.337700156
3747.6498,621.38001,2.335800102
3747.9498,621.426,2.334200217
3748.2498,621.48099,2.332599824
3748.5498,621.53699,2.330300053
3748.8498,621.57599,2.328999829
3749.1498,621.63199,2.327299888
3749.4498,621.67701,2.325299778
3749.7498,621.72001,2.323699893
3750.0498,621.76499,2.322799894
3750.3498,621.82499,2.320700235
3750.6498,621.87101,2.318500013
3750.9498,621.921,2.316900128
3751.2498,621.97501,2.315300243
3751.5498,622.02299,2.313799906
3751.8498,622.073,2.311700247
3752.1498,622.12,2.309800193
3752.4498,622.16199,2.308600026
3752.7498,622.22199,2.306900084
3753.0498,622.275,2.304499749
3753.3498,622.32401,2.303400146
3753.6498,622.36201,2.301899809
3753.9498,622.41599,2.300199868
3754.2498,622.47101,2.298499926
3754.5498,622.51499,2.296200155
3754.8498,622.56599,2.294400158
3755.1498,622.61899,2.292799765
3755.4498,622.667,2.29000022
3755.7498,622.715,2.288699996
3756.0498,622.762,2.286799942
3756.3498,622.81599,2.284699775
3756.6498,622.86399,2.282299948
3756.9498,622.91599,2.28109978
3757.2498,622.965,2.27849984
3757.5498,623.01801,2.277100068
3757.8498,623.05399,2.274500128
3758.1498,623.11701,2.273199904
3758.4498,623.158,2.27129985
3758.7498,623.20701,2.269100135
3759.0498,623.25699,2.26750025
3759.3498,623.297,2.265400083
3759.6498,623.352,2.263500029
3759.9498,623.41401,2.261900144
3760.2498,623.44999,2.259699922
3760.5498,623.51099,2.25799998
3760.8498,623.546,2.256199983
3761.1498,623.59901,2.254099816
3761.4498,623.658,2.252499931
3761.7498,623.706,2.250399765
3762.0498,623.75199,2.248500219
3762.3498,623.796,2.246899826
3762.6498,623.852,2.244700111
3762.9498,623.88999,2.24300017
3763.2498,623.952,2.241200172
3763.5498,623.99799,2.238999949
3763.8498,624.042,2.236600122
3764.1498,624.09699,2.235199841
3764.4498,624.142,2.232599901
3764.7498,624.19599,2.231300185
3765.0498,624.241,2.229300075
3765.3498,624.29099,2.226999796
3765.6498,624.34299,2.225399911
3765.9498,624.38401,2.22310014
3766.2498,624.43799,2.221499747
3766.5498,624.49399,2.219400088
3766.8498,624.547,2.217500034
3767.1498,624.589,2.215900149
3767.4498,624.646,2.213699927
3767.7498,624.69099,2.211999985
3768.0498,624.75199,2.210199988
3768.3498,624.792,2.208099821
3768.6498,624.84501,2.206499936
3768.9498,624.89399,2.20439977
3769.2498,624.93699,2.202500224
3769.5498,624.99,2.200899831
3769.8498,625.04001,2.198700116
3770.1498,625.08301,2.197399892
3770.4498,625.133,2.195399782
3770.7498,625.18601,2.19310001
3771.0498,625.23899,2.191799786
3771.3498,625.288,2.189500015
3771.6498,625.336,2.187800074
3771.9498,625.38199,2.186100133
3772.2498,625.42701,2.183799854
3772.5498,625.478,2.182500137
3772.8498,625.54001,2.180500027
3773.1498,625.577,2.178299804
3773.4498,625.63499,2.176699919
3773.7498,625.67899,2.174599753
3774.0498,625.72901,2.172600151
3774.3498,625.77701,2.170299872
3774.6498,625.81299,2.168699987
3774.9498,625.86301,2.166300159
3775.2498,625.921,2.164699766
3775.5498,625.97401,2.162399995
3775.8498,626.01899,2.16080011
3776.1498,626.06699,2.1588
3776.4498,626.12501,2.156699833
3776.7498,626.16599,2.154400062
3777.0498,626.21699,2.152800177
3777.3498,626.266,2.150499898
3777.6498,626.32001,2.148599844
3777.9498,626.361,2.146500185
3778.2498,626.43201,2.144999849
3778.5498,626.46799,2.14290019
3778.8498,626.51801,2.140100138
3779.1498,626.56599,2.138699857
3779.4498,626.61701,2.13630003
3779.7498,626.66199,2.134500032
3780.0498,626.715,2.131699979
3780.3498,626.75699,2.130300207
3780.6498,626.80799,2.128099984
3780.9498,626.86799,2.126899817
3781.2498,626.913,2.123900159
3781.5498,626.973,2.122200218
3781.8498,627.008,2.120799938
3782.1498,627.06299,2.118799827
3782.4498,627.11799,2.116800225
3782.7498,627.16001,2.115099776
3783.0498,627.21699,2.113100174
3783.3498,627.26499,2.110300121
3783.6498,627.31199,2.108999897
3783.9498,627.365,2.106999787
3784.2498,627.41401,2.104900128
3784.5498,627.47501,2.103300243
3784.8498,627.512,2.101200077
3785.1498,627.56,2.099300023
3785.4498,627.60999,2.097700138
3785.7498,627.66401,2.095499915
3786.0498,627.72999,2.093799974
3786.3498,627.76401,2.092100032
3786.6498,627.80701,2.089999866
3786.9498,627.85401,2.088399981
3787.2498,627.908,2.086299814
3787.5498,627.961,2.08439976
3787.8498,628.008,2.082300102
3788.1498,628.06101,2.080400048
3788.4498,628.10499,2.078399938
3788.7498,628.163,2.076699996
3789.0498,628.20899,2.074499774
3789.3498,628.24399,2.072500171
3789.6498,628.29401,2.070400005
3789.9498,628.352,2.068299838
3790.2498,628.395,2.066000067
3790.5498,628.44501,2.063699788
3790.8498,628.499,2.06189979
3791.1498,628.546,2.059700075
3791.4498,628.59699,2.057399796
3791.7498,628.64399,2.05550025
3792.0498,628.697,2.053400084
3792.3498,628.75001,2.051299917
3792.6498,628.796,2.049000146
3792.9498,628.853,2.047399753
3793.2498,628.90299,2.045099982
3793.5498,628.94001,2.043199928
3793.8498,628.99399,2.041000213
3794.1498,629.034,2.038599878
3794.4498,629.08201,2.037200105
3794.7498,629.141,2.03479977
3795.0498,629.18799,2.032999772
3795.3498,629.23801,2.030399832
3795.6498,629.28901,2.028000005
3795.9498,629.33701,2.02640012
3796.2498,629.38801,2.024099841
3796.5498,629.43101,2.022199787
3796.8498,629.49,2.020000072
3797.1498,629.53199,2.017600244
3797.4498,629.58301,2.016199964
3797.7498,629.63901,2.013800137
3798.0498,629.68799,2.012000139
3798.3498,629.73099,2.010200141
3798.6498,629.78199,2.007999919
3798.9498,629.82499,2.005600091
3799.2498,629.87501,2.004199811
3799.5498,629.921,2.001799983
3799.8498,629.97501,1.999999986
3800.1498,630.02701,1.997700215
3800.4498,630.07401,1.995399935
3800.7498,630.12501,1.993699994
3801.0498,630.167,1.991499771
3801.3498,630.228,1.989500169
3801.6498,630.28199,1.987400003
3801.9498,630.32599,1.985299836
3802.2498,630.38099,1.983000065
3802.5498,630.42899,1.98140018
3802.8498,630.47001,1.979099901
3803.1498,630.521,1.977199847
3803.4498,630.57499,1.975100188
3803.7498,630.62198,1.973200134
3804.0498,630.66401,1.970999912
3804.3498,630.72101,1.968600084
3804.6498,630.77799,1.967199804
3804.9498,630.82499,1.964799976
3805.2498,630.87101,1.962999979
3805.5498,630.92301,1.960199926
3805.8498,630.97599,1.958700097
3806.1498,631.021,1.956499874
3806.4498,631.07401,1.954799933
3806.7498,631.12101,1.952500162
3807.0498,631.172,1.94939994
3807.3498,631.219,1.947100169
3807.6498,631.271,1.945599833
3807.9498,631.32499,1.943300061
3808.2498,631.365,1.941500064
3808.5498,631.41901,1.939900179
3808.8498,631.469,1.937200182
3809.1498,631.52201,1.935100016
3809.4498,631.57499,1.933300018
3809.7498,631.615,1.930299853
3810.0498,631.66801,1.928599912
3810.3498,631.714,1.926499745
3810.6498,631.76099,1.924500143
3810.9498,631.81901,1.92289975
3811.2498,631.86201,1.920399866
3811.5498,631.913,1.918000039
3811.8498,631.96,1.916400154
3812.1498,632.008,1.913999818
3812.4498,632.059,1.912700102
3812.7498,632.115,1.910499879
3813.0498,632.15601,1.908499769
3813.3498,632.20899,1.906400111
3813.6498,632.258,1.904299944
3813.9498,632.314,1.902100229
3814.2498,632.35599,1.900200175
3814.5498,632.40601,1.897999952
3814.8498,632.46601,1.895600125
3815.1498,632.50699,1.893800127
3815.4498,632.55601,1.891599905
3815.7498,632.60001,1.88940019
3816.0498,632.64701,1.887300023
3816.3498,632.70899,1.8850998
3816.6498,632.745,1.883199746
3816.9498,632.79499,1.881000032
3817.2498,632.85499,1.878600204
3817.5498,632.89701,1.877199924
3817.8498,632.94099,1.874800096
3818.1498,632.99299,1.873000099
3818.4498,633.04999,1.87069982
3818.7498,633.09101,1.868999878
3819.0498,633.13801,1.866800163
3819.3498,633.19999,1.864499884
3819.6498,633.24799,1.862799943
3819.9498,633.29099,1.860600228
3820.2498,633.33701,1.858600118
3820.5498,633.38901,1.857000233
3820.8498,633.43799,1.85480001
3821.1498,633.48899,1.852500239
3821.4498,633.53599,1.85079979
3821.7498,633.58799,1.848600075
3822.0498,633.633,1.846599965
3822.3498,633.68,1.844499798
3822.6498,633.728,1.842400139
3822.9498,633.78501,1.84009986
3823.2498,633.831,1.838499975
3823.5498,633.88401,1.836299753
3823.8498,633.93,1.834400207
3824.1498,633.977,1.832199984
3824.4498,634.03,1.829900213
3824.7498,634.08399,1.827599933
3825.0498,634.12601,1.825499767
3825.3498,634.184,1.823199996
3825.6498,634.22599,1.821600111
3825.9498,634.26899,1.819299832
3826.2498,634.323,1.817399778
3826.5498,634.38199,1.815200063
3826.8498,634.42701,1.812800235
3827.1498,634.48401,1.811000238
3827.4498,634.542,1.808800015
3827.7498,634.57801,1.807100074
3828.0498,634.629,1.80460019
3828.3498,634.676,1.802299911
3828.6498,634.72199,1.800700026
3828.9498,634.78101,1.798300198
3829.2498,634.82999,1.795899863
3829.5498,634.88099,1.79450009
3829.8498,634.921,1.792099755
3830.1498,634.97101,1.790299757
3830.4498,635.02,1.787699817
3830.7498,635.073,1.78529999
3831.0498,635.133,1.783700105
3831.3498,635.17899,1.781399826
3831.6498,635.214,1.778500225
3831.9498,635.275,1.776999888
3832.2498,635.331,1.774800173
3832.5498,635.37299,1.773499949
3832.8498,635.41901,1.770900009
3833.1498,635.465,1.769200068
3833.4498,635.51801,1.766600128
3833.7498,635.56699,1.764900186
3834.0498,635.62101,1.763200245
3834.3498,635.66901,1.760899966
3834.6498,635.72599,1.758400082
3834.9498,635.771,1.757099858
3835.2498,635.822,1.754900143
3835.5498,635.861,1.752900033
3835.8498,635.91501,1.750799867
3836.1498,635.96699,1.748899813
3836.4498,636.01801,1.747299928
3836.7498,636.059,1.745100213
3837.0498,636.107,1.743399764
3837.3498,636.15101,1.741599766
3837.6498,636.206,1.739400051
3837.9498,636.26401,1.737099772
3838.2498,636.30799,1.7357
3838.5498,636.35801,1.733300172
3838.8498,636.41401,1.731500174
3839.1498,636.44999,1.729199895
3839.4498,636.512,1.726900124
3839.7498,636.56,1.725200183
3840.0498,636.60599,1.72299996
3840.3498,636.658,1.72099985
3840.6498,636.70899,1.718900191
3840.9498,636.75101,1.716100139
3841.2498,636.805,1.714699858
3841.5498,636.857,1.712300031
3841.8498,636.91199,1.710500033
3842.1498,636.95301,1.708199754
3842.4498,637.003,1.706000039
3842.7498,637.05201,1.704099985
3843.0498,637.10499,1.701999819
3843.3498,637.154,1.69990016
3843.6498,637.202,1.697599881
3843.9498,637.25501,1.695999996
3844.2498,637.30601,1.693700225
3844.5498,637.357,1.691800171
3844.8498,637.40299,1.689599948
3845.1498,637.44901,1.687300177
3845.4498,637.49201,1.684999898
3845.7498,637.551,1.683099844
3846.0498,637.598,1.681499959
3846.3498,637.64301,1.679300244
3846.6498,637.69599,1.676999965
3846.9498,637.73099,1.675300024
3847.2498,637.79099,1.673199857
3847.5498,637.84601,1.671199747
3847.8498,637.89899,1.669100088
3848.1498,637.94001,1.667200034
3848.4498,637.98301,1.665600149
3848.7498,638.04001,1.663399927
3849.0498,638.085,1.661599929
3849.3498,638.14399,1.659400214
3849.6498,638.197,1.657600217
3849.9498,638.23899,1.655299937
3850.2498,638.29001,1.653900165
3850.5498,638.335,1.651300225
3850.8498,638.38001,1.649899945
3851.1498,638.447,1.647500117
3851.4498,638.48899,1.64570012
3851.7498,638.52799,1.643900122
3852.0498,638.589,1.641799955
3852.3498,638.633,1.639400128
3852.6498,638.67499,1.637999848
3852.9498,638.73099,1.635399908
3853.2498,638.77701,1.634100191
3853.5498,638.82801,1.632100081
3853.8498,638.887,1.629799802
3854.1498,638.934,1.628199917
3854.4498,638.98301,1.62580009
3854.7498,639.02799,1.624499866
3855.0498,639.08399,1.622300151
3855.3498,639.12101,1.620300041
3855.6498,639.17499,1.618199874
3855.9498,639.22901,1.616100215
3856.2498,639.27299,1.613799936
3856.5498,639.32999,1.612200051
3856.8498,639.37501,1.609999829
3857.1498,639.422,1.608399944
3857.4498,639.48301,1.606299777
3857.7498,639.521,1.60389995
3858.0498,639.568,1.602699782
3858.3498,639.62198,1.600099842
3858.6498,639.672,1.598199788
3858.9498,639.71799,1.59579996
3859.2498,639.775,1.594300132
3859.5498,639.81699,1.592700247
3859.8498,639.86899,1.590399968
3860.1498,639.91999,1.587900084
3860.4498,639.97501,1.58659986
3860.7498,640.01899,1.584899918
3861.0498,640.064,1.582999865
3861.3498,640.11201,1.580399924
3861.6498,640.16599,1.578699983
3861.9498,640.211,1.577000042
3862.2498,640.26099,1.574600214
3862.5498,640.31101,1.57329999
3862.8498,640.35599,1.57129988
3863.1498,640.413,1.569000109
3863.4498,640.46201,1.567699885
3863.7498,640.51301,1.565999944
3864.0498,640.55799,1.563600116
3864.3498,640.603,1.562299892
3864.6498,640.658,1.560299782
3864.9498,640.70701,1.558000011
3865.2498,640.758,1.556699787
3865.5498,640.80601,1.554400016
3865.8498,640.85001,1.552700074
3866.1498,640.90299,1.551000133
3866.4498,640.94999,1.548599798
3866.7498,641.012,1.547300081
3867.0498,641.04899,1.545299971
3867.3498,641.11201,1.5430002
3867.6498,641.16001,1.542299806
3867.9498,641.206,1.540300204
3868.2498,641.25501,1.538500206
3868.5498,641.31,1.537199982
3868.8498,641.352,1.535500041
3869.1498,641.40299,1.533000157
3869.4498,641.447,1.531900046
3869.7498,641.49601,1.530400217
3870.0498,641.54899,1.52830005
3870.3498,641.59601,1.525999771
3870.6498,641.65201,1.525299885
3870.9498,641.69401,1.523299775
3871.2498,641.749,1.521499777
3871.5498,641.79899,1.520200061
3871.8498,641.85801,1.518799781
3872.1498,641.90299,1.516399953
3872.4498,641.94999,1.514700012
3872.7498,641.99799,1.51390007
3873.0498,642.04401,1.512300185
3873.3498,642.103,1.510200018
3873.6498,642.137,1.508899794
3873.9498,642.19501,1.507099796
3874.2498,642.24201,1.504599913
3874.5498,642.30302,1.503499801
3874.8498,642.34699,1.501999973
3875.1498,642.40101,1.499999862
3875.4498,642.44199,1.498500034
3875.7498,642.48899,1.497299866
3876.0498,642.533,1.49459987
3876.3498,642.59601,1.493300153
3876.6498,642.633,1.491999929
3876.9498,642.68101,1.490500101
3877.2498,642.74,1.488999764
3877.5498,642.783,1.487499935
3877.8498,642.839,1.486000107
3878.1498,642.887,1.48449977
3878.4498,642.93799,1.482999941
3878.7498,642.98701,1.481500113
3879.0498,643.03901,1.480199889
3879.3498,643.089,1.479000229
3879.6498,643.141,1.477800061
3879.9498,643.18601,1.476499837
3880.2498,643.249,1.475000009
3880.5498,643.284,1.473400124
3880.8498,643.33201,1.471600126
3881.1498,643.38099,1.470199846
3881.4498,643.434,1.469000186
3881.7498,643.482,1.467499849
3882.0498,643.52799,1.466000021
3882.3498,643.58201,1.464500192
3882.6498,643.633,1.462999855
3882.9498,643.67899,1.461899744
3883.2498,643.72599,1.459599973
3883.5498,643.779,1.458599918
3883.8498,643.827,1.458100144
3884.1498,643.878,1.456499751
3884.4498,643.94401,1.454600205
3884.7498,643.977,1.453199925
3885.0498,644.02601,1.451900209
3885.3498,644.07599,1.449800042
3885.6498,644.116,1.448000045
3885.9498,644.17802,1.446799877
3886.2498,644.23099,1.445500161
3886.5498,644.27601,1.444199937
3886.8498,644.305,1.442000222
3887.1498,644.36799,1.441299828
3887.4498,644.40601,1.440000112
3887.7498,644.46201,1.438599831
3888.0498,644.512,1.437200059
3888.3498,644.55701,1.435999891
3888.6498,644.611,1.434500063
3888.9498,644.663,1.433199839
3889.2498,644.71299,1.432000179
3889.5498,644.75901,1.430800011
3889.8498,644.818,1.429499787
3890.1498,644.865,1.427999958
3890.4498,644.921,1.426999903
3890.7498,644.969,1.425999848
3891.0498,645.00699,1.424500019
3891.3498,645.068,1.423000191
3891.6498,645.11799,1.422000136
3891.9498,645.16901,1.421000081
3892.2498,645.206,1.419499744
3892.5498,645.262,1.417999915
3892.8498,645.30399,1.41699986
3893.1498,645.35901,1.415999805
3893.4498,645.41099,1.414600033
3893.7498,645.45301,1.413700034
3894.0498,645.503,1.412499866
3894.3498,645.56,1.41120015
3894.6498,645.59299,1.410400208
3894.9498,645.65101,1.408999927
3895.2498,645.69901,1.407999872
3895.5498,645.753,1.406999817
3895.8498,645.80302,1.405600045
3896.1498,645.84,1.404700046
3896.4498,645.88801,1.403499878
3896.7498,645.94999,1.402000049
3897.0498,645.99601,1.401499768
3897.3498,646.055,1.400599769
3897.6498,646.10099,1.399199997
3897.9498,646.154,1.397999829
3898.2498,646.193,1.396600057
3898.5498,646.253,1.395700058
3898.8498,646.297,1.39449989
3899.1498,646.361,1.393000061
3899.4498,646.404,1.391500233
3899.7498,646.44901,1.390699782
3900.0498,646.503,1.389999896
3900.3498,646.546,1.388999841
3900.6498,646.59901,1.387500012
3900.9498,646.65601,1.386000184
3901.2498,646.698,1.385000129
3901.5498,646.753,1.384200186
3901.8498,646.796,1.383400244
3902.1498,646.84699,1.381999963
3902.4498,646.89399,1.380999908
3902.7498,646.939,1.379999853
3903.0498,646.999,1.378600081
3903.3498,647.05201,1.377700082
3903.6498,647.08701,1.376499914
3903.9498,647.14899,1.375200198
3904.2498,647.20399,1.374499804
3904.5498,647.254,1.373699861
3904.8498,647.28501,1.372500202
3905.1498,647.34101,1.371199978
3905.4498,647.38999,1.370400035
3905.7498,647.43699,1.368999755
3906.0498,647.48899,1.367800095
3906.3498,647.53501,1.367499926
3906.6498,647.59199,1.366900096
3906.9498,647.64399,1.365799985
3907.2498,647.68799,1.364499761
3907.5498,647.74601,1.363200045
3907.8498,647.79099,1.362500159
3908.1498,647.84199,1.361700216
3908.4498,647.89701,1.360500048
3908.7498,647.94401,1.35900022
3909.0498,647.991,1.358499938
3909.3498,648.04099,1.358199769
3909.6498,648.08701,1.357100166
3909.9498,648.142,1.356000054
3910.2498,648.19501,1.354500226
3910.5498,648.236,1.353600227
3910.8498,648.28599,1.353200002
3911.1498,648.336,1.352199947
3911.4498,648.38901,1.351099835
3911.7498,648.42802,1.349600006
3912.0498,648.48301,1.348700008
3912.3498,648.54001,1.348499895
3912.6498,648.59101,1.347599896
3912.9498,648.62699,1.346599841
3913.2498,648.67899,1.345100012
3913.5498,648.73899,1.343899845
3913.8498,648.78199,1.343600184
3914.1498,648.82599,1.343099902
3914.4498,648.88099,1.342400016
3914.7498,648.93799,1.34170013
3915.0498,648.99,1.340100245
3915.3498,649.04301,1.338900077
3915.6498,649.089,1.338599908
3915.9498,649.13901,1.338100135
3916.2498,649.18299,1.337400248
3916.5498,649.24,1.336699854
3916.8498,649.275,1.335099969
3917.1498,649.32801,1.333899802
3917.4498,649.36799,1.333600141
3917.7498,649.42802,1.333500084
3918.0498,649.47901,1.332999803
3918.3498,649.525,1.33219986
3918.6498,649.57999,1.331499974
3918.9498,649.62699,1.330599975
3919.2498,649.672,1.329900089
3919.5498,649.714,1.328900034
3919.8498,649.766,1.328000035
3920.1498,649.82599,1.327699866
3920.4498,649.874,1.327699866
3920.7498,649.92701,1.327300149
3921.0498,649.97401,1.326699811
3921.3498,650.025,1.325899869
3921.6498,650.07001,1.325099926
3921.9498,650.12,1.323999815
3922.2498,650.17499,1.323299929
3922.5498,650.223,1.322900211
3922.8498,650.27799,1.32239993
3923.1498,650.331,1.321900156
3923.4498,650.378,1.321100214
3923.7498,650.43299,1.320000102
3924.0498,650.478,1.319100104
3924.3498,650.529,1.318699878
3924.6498,650.572,1.318699878
3924.9498,650.61701,1.318300161
3925.2498,650.67701,1.317699823
3925.5498,650.71601,1.316899881
3925.8498,650.775,1.316099938
3926.1498,650.82001,1.314999827
3926.4498,650.86899,1.314099828
3926.7498,650.922,1.313700111
3927.0498,650.96799,1.313700111
3927.3498,651.02,1.313299886
3927.6498,651.06199,1.312700056
3927.9498,651.115,1.311900113
3928.2498,651.16801,1.311100171
3928.5498,651.21699,1.310000059
3928.8498,651.26301,1.30910006
3929.1498,651.31101,1.308799892
3929.4498,651.35901,1.308799892
3929.7498,651.417,1.308400174
3930.0498,651.46299,1.307799836
3930.3498,651.503,1.306999894
3930.6498,651.555,1.306199951
3930.9498,651.616,1.30509984
3931.2498,651.66501,1.304199841
3931.5498,651.70801,1.303800124
3931.8498,651.76099,1.303800124
3932.1498,651.80701,1.303399899
3932.4498,651.86201,1.303000181
3932.7498,651.91599,1.302399844
3933.0498,651.95499,1.30190007
3933.3498,652.00599,1.30130024
3933.6498,652.05201,1.300799959
3933.9498,652.10901,1.29989996
3934.2498,652.15699,1.298799848
3934.5498,652.20301,1.297999906
3934.8498,652.25001,1.297799793
3935.1498,652.297,1.297799793
3935.4498,652.361,1.297600189
3935.7498,652.408,1.297199963
3936.0498,652.44401,1.296199908
3936.3498,652.504,1.295600078
3936.6498,652.54999,1.295099797
3936.9498,652.598,1.294600023
3937.2498,652.655,1.294299854
3937.5498,652.70701,1.294000193
3937.8498,652.75101,1.293700025
3938.1498,652.80302,1.293299799
3938.4498,652.85801,1.292800026
3938.7498,652.90299,1.292200196
3939.0498,652.956,1.291399745
3939.3498,653.00501,1.290599803
3939.6498,653.04099,1.289999973
3939.9498,653.103,1.289899917
3940.2498,653.15,1.289899917
3940.5498,653.202,1.289899917
3940.8498,653.24601,1.289699804
3941.1498,653.29401,1.289300087
3941.4498,653.36201,1.288999918
3941.7498,653.39799,1.288400088
3942.0498,653.45399,1.287999863
3942.3498,653.508,1.287600146
3942.6498,653.56199,1.28719992
3942.9498,653.60499,1.286800203
3943.2498,653.654,1.286399978
3943.5498,653.702,1.285999753
3943.8498,653.758,1.285600035
3944.1498,653.80601,1.28519981
3944.4498,653.85401,1.284499924
3944.7498,653.90201,1.283900094
3945.0498,653.96201,1.283299756
3945.3498,654.00101,1.282900039
3945.6498,654.05399,1.282900039
3945.9498,654.102,1.282900039
3946.2498,654.14301,1.282799983
3946.5498,654.19901,1.28259987
3946.8498,654.249,1.282300209
3947.1498,654.296,1.281899984
3947.4498,654.352,1.281300154
3947.7498,654.405,1.280999985
3948.0498,654.45099,1.280699816
3948.3498,654.50199,1.280500211
3948.6498,654.55302,1.280300099
3948.9498,654.60599,1.280099986
3949.2498,654.65201,1.279799817
3949.5498,654.70301,1.279600213
3949.8498,654.749,1.279300044
3950.1498,654.801,1.279099931
3950.4498,654.84699,1.278799762
3950.7498,654.90101,1.277899763
3951.0498,654.94099,1.277199877
3951.3498,655.003,1.276600047
3951.6498,655.04499,1.276099766
3951.9498,655.10499,1.276000217
3952.2498,655.15101,1.276000217
3952.5498,655.20399,1.276000217
3952.8498,655.24601,1.276000217
3953.1498,655.30799,1.275700049
3953.4498,655.35099,1.275499936
3953.7498,655.405,1.275199767
3954.0498,655.45701,1.274900106
3954.3498,655.49799,1.274599937
3954.6498,655.54899,1.274399825
3954.9498,655.60099,1.274100164
3955.2498,655.64399,1.274000107
3955.5498,655.69199,1.274000107
3955.8498,655.75101,1.273799995
3956.1498,655.796,1.273599882
3956.4498,655.85401,1.273499826
3956.7498,655.896,1.273100108
3957.0498,655.94401,1.27279994
3957.3498,655.99201,1.272599827
3957.6498,656.03501,1.272400222
3957.9498,656.09199,1.27220011
3958.2498,656.133,1.272100053
3958.5498,656.19401,1.271899941
3958.8498,656.249,1.271799884
3959.1498,656.29899,1.271500223
3959.4498,656.35599,1.271300111
3959.7498,656.41199,1.270600225
3960.0498,656.43799,1.270199999
3960.3498,656.49698,1.269799774
3960.6498,656.546,1.269400057
3960.9498,656.59199,1.269099888
3961.2498,656.64301,1.268899775
3961.5498,656.698,1.268800227
3961.8498,656.74698,1.268700171
3962.1498,656.79301,1.268500058
3962.4498,656.83399,1.268199889
3962.7498,656.88999,1.267999777
3963.0498,656.948,1.267700116
3963.3498,656.99201,1.267399947
3963.6498,657.04301,1.267199834
3963.9498,657.08701,1.266900173
3964.2498,657.145,1.266800117
3964.5498,657.18799,1.266700061
3964.8498,657.24601,1.266600004
3965.1498,657.296,1.266499948
3965.4498,657.348,1.266000174
3965.7498,657.391,1.265499893
3966.0498,657.43799,1.26529978
3966.3498,657.48499,1.265100176
3966.6498,657.53599,1.265000119
3966.9498,657.59,1.264900063
3967.2498,657.637,1.264800007
3967.5498,657.68699,1.264499838
3967.8498,657.73701,1.264399781
3968.1498,657.78599,1.264300233
3968.4498,657.835,1.26410012
3968.7498,657.88401,1.264000064
3969.0498,657.93,1.263799952
3969.3498,657.986,1.263699895
3969.6498,658.02701,1.263599839
3969.9498,658.08799,1.263400234
3970.2498,658.12601,1.263300178
3970.5498,658.17499,1.263100065
3970.8498,658.23801,1.26269984
3971.1498,658.28501,1.26210001
3971.4498,658.34,1.261600237
3971.7498,658.387,1.261099955
3972.0498,658.43699,1.260700238
3972.3498,658.477,1.260500125
3972.6498,658.54401,1.260500125
3972.9498,658.585,1.260500125
3973.2498,658.63499,1.260400069
3973.5498,658.68299,1.260400069
3973.8498,658.74,1.260400069
3974.1498,658.79001,1.260199956
3974.4498,658.82801,1.259999844
3974.7498,658.878,1.259899787
3975.0498,658.91999,1.259700183
3975.3498,658.973,1.25950007
3975.6498,659.02299,1.259299958
3975.9498,659.07401,1.259099845
3976.2498,659.13199,1.25890024
3976.5498,659.17399,1.258600071
3976.8498,659.22401,1.258399959
3977.1498,659.275,1.258199846
3977.4498,659.33201,1.258000241
3977.7498,659.37198,1.257700073
3978.0498,659.41099,1.257299847
3978.3498,659.461,1.257100243
3978.6498,659.51899,1.25690013
3978.9498,659.57801,1.256700017
3979.2498,659.62699,1.256499905
3979.5498,659.67899,1.256399849
3979.8498,659.719,1.256200244
3980.1498,659.78,1.256100188
3980.4498,659.82001,1.255900075
3980.7498,659.865,1.255699962
3981.0498,659.93,1.25549985
3981.3498,659.969,1.255300245
3981.6498,660.01899,1.255100132
3981.9498,660.077,1.25490002
3982.2498,660.12699,1.254799964
3982.5498,660.176,1.254599851
3982.8498,660.215,1.25430019
3983.1498,660.27201,1.254100077
3983.4498,660.322,1.253899965
3983.7498,660.366,1.253699852
3984.0498,660.413,1.253500247
3984.3498,660.464,1.253300135
3984.6498,660.51899,1.25289991
3984.9498,660.559,1.252500192
3985.2498,660.607,1.252200023
3985.5498,660.65601,1.251899855
3985.8498,660.70801,1.251600194
3986.1498,660.75901,1.251300025
3986.4498,660.81101,1.250999856
3986.7498,660.861,1.250899799
