Time(s),Temperature (K),Mass (mg)
1451.9502,312.968,4.761900254
1454.9502,312.985,4.761900254
1457.9502,312.982,4.761399972
1460.9502,312.973,4.761099803
1463.9502,312.98,4.760900198
1466.9502,312.967,4.760800142
1469.9502,312.977,4.760499973
1472.9502,312.958,4.760999747
1475.9502,312.952,4.761299916
1478.9502,312.971,4.762199915
1481.9502,312.976,4.761900254
1484.9502,312.964,4.761299916
1487.9502,312.957,4.761099803
1490.9502,312.973,4.760999747
1493.9502,312.957,4.760999747
1496.9502,312.958,4.760999747
1499.9502,312.958,4.761099803
1502.9502,312.967,4.761099803
1505.9502,312.954,4.761299916
1508.9502,312.964,4.761399972
1511.9502,312.962,4.761700141
1514.9502,312.966,4.761900254
1517.9502,312.947,4.762099858
1520.9502,312.96,4.762099858
1523.9502,312.954,4.761900254
1526.9502,312.959,4.761700141
1529.9502,312.955,4.761600085
1532.9502,312.942,4.761399972
1535.9502,312.956,4.761299916
1538.9502,312.971,4.761099803
1541.9502,312.953,4.760900198
1544.9502,312.949,4.760700086
1547.9502,312.927,4.760700086
1550.9502,312.952,4.76060003
1553.9502,312.956,4.76060003
1556.9502,312.948,4.760499973
1559.9502,312.93,4.760399917
1562.9502,312.954,4.760499973
1565.9502,312.948,4.76060003
1568.9502,312.959,4.760700086
1571.9502,312.957,4.760800142
1574.9502,312.957,4.760900198
1577.9502,312.948,4.760999747
1580.9502,312.948,4.760999747
1583.9502,312.957,4.760999747
1586.9502,312.958,4.761099803
1589.9502,312.948,4.761099803
1592.9502,312.957,4.761199859
1595.9502,312.95,4.761900254
1598.9502,312.953,4.762199915
1601.9502,312.951,4.762500083
1604.9502,312.946,4.762700196
1607.9502,312.944,4.762800252
1610.9502,312.939,4.762700196
1613.9502,312.947,4.76260014
1616.9502,312.942,4.76260014
1619.9502,312.943,4.762500083
1622.9502,312.942,4.762199915
1625.9502,312.939,4.762099858
1628.9502,312.942,4.762700196
1631.9502,312.956,4.76319997
1634.9502,312.946,4.763400082
1637.9502,312.935,4.762999857
1640.9502,312.951,4.762800252
1643.9502,312.958,4.762800252
1646.9502,312.958,4.762700196
1649.9502,312.954,4.762899801
1652.9502,312.943,4.762999857
1655.9502,312.97,4.762999857
1658.9502,312.946,4.762999857
1661.9502,312.952,4.762899801
1664.9502,312.957,4.762800252
1667.9502,312.946,4.762700196
1670.9502,312.946,4.762500083
1673.9502,312.951,4.762400027
1676.9502,312.972,4.762299971
1679.9502,312.973,4.762199915
1682.9502,312.969,4.761999802
1685.9502,312.967,4.761999802
1688.9502,312.969,4.761999802
1691.9502,312.967,4.761999802
1694.9502,312.97,4.761999802
1697.9502,312.977,4.761999802
1700.9502,312.98,4.761999802
1703.9502,312.976,4.761999802
1706.9502,312.965,4.762099858
1709.9502,312.98,4.762099858
1712.9502,312.972,4.762099858
1715.9502,312.979,4.762099858
1718.9502,312.972,4.762099858
1721.9502,312.969,4.761999802
1724.9502,312.977,4.762099858
1727.9502,312.975,4.761999802
1730.9502,312.966,4.761999802
1733.9502,312.962,4.762800252
1736.9502,312.964,4.763099913
1739.9502,312.969,4.763300026
1742.9502,312.978,4.76319997
1745.9502,312.966,4.76319997
1748.9502,312.976,4.763300026
1751.9502,312.977,4.763400082
1754.9502,312.985,4.763600195
1757.9502,312.977,4.763700251
1760.9502,312.981,4.7637998
1763.9502,312.98,4.763899856
1766.9502,312.983,4.763500139
1769.9502,312.985,4.763300026
1772.9502,312.988,4.76319997
1775.9502,312.994,4.762999857
1778.9502,312.998,4.762899801
1781.9502,312.987,4.762800252
1784.9502,312.988,4.76260014
1787.9502,312.985,4.762500083
1790.9502,312.992,4.762500083
1793.9502,312.997,4.762500083
1796.9502,312.985,4.762199915
1799.9502,312.985,4.761900254
1802.9502,313.008,4.761800197
1805.9502,313.001,4.761600085
1808.9502,313.001,4.761600085
1811.9502,313.007,4.761700141
1814.9502,313,4.761800197
1817.9502,312.988,4.761900254
1820.9502,313.004,4.761999802
1823.9502,312.997,4.762199915
