Time,Mass,Back surface temperature
440,0,472.551
441,0,473.327
442,0,473.98
443,0,474.374
444,0,474.261
445,0,474.663
446,0,475.202
447,0,475.965
448,0,476.44
449,0,476.675
450,0,477.293
451,0,477.766
452,0,477.923
453,0,478.173
454,0,479.146
455,0,480.057
456,0,480.186
457,0,480.394
458,0,480.749
459,0,481.276
460,0,481.849
461,0,482.174
462,0,482.639
463,0,482.857
464,0,483.192
465,0,483.757
466,0,484.179
467,0,484.894
468,0,484.783
469,0,485.09
470,0,485.536
471,0,486.397
472,0,487.016
473,0,487.31
474,0,487.543
475,0,488.011
476,0,488.58
477,0,489.23
478,0,489.629
479,0,489.853
480,0,490.017
481,0,490.657
482,0,491.1
483,0,491.556
484,0,491.623
485,0,492.388
486,0,492.822
487,0,492.896
488,0,493.1
489,0,493.751
490,0,494.415
491,0,494.746
492,0,494.929
493,0,495.41
494,0,496.019
495,0,496.071
496,0,496.469
497,0,496.928
498,0,497.437
499,0,497.858
500,0,498.088
501,0,498.525
502,0,498.8
503,0,499.696
504,0,499.747
505,0,500.139
506,0,500.166
507,0,500.829
508,0,501.33
509,0,501.681
510,0,501.768
511,0,501.884
512,0,502.502
513,0,502.986
514,0,503.268
515,0,503.67
516,0,503.855
517,0,503.861
518,0,504.595
519,0,505.172
520,0,505.618
521,0,505.834
522,0,506.35
523,0,506.477
524,0,506.5
525,0,506.712
526,0,507.01
527,0,507.34
528,0,507.79
529,0,508.643
530,0,509.051
531,0,508.887
532,0,509.485
533,0,510.202
534,0,510.207
535,0,510.472
536,0,510.798
537,0,511.074
538,0,511.493
539,0,511.782
540,0,511.952
541,0,512.303
542,0,512.782
