Time,Mass,HRR,T_1,T_3,T_4
58,66.989663,2.810282246,525.447,330.605,303.765
59,67.092596,2.380299591,525.473,331.533,303.888
60,67.107215,2.858170747,528.711,332.469,304.008
61,67.189733,2.398532247,531.503,333.421,304.164
62,67.29234,2.759708759,532.654,334.385,304.297
63,67.307054,2.416048816,534.625,335.323,304.428
64,67.132796,2.573636687,534.87,336.288,304.561
65,67.016232,2.328200994,536.482,337.243,304.693
66,67.002822,2.606460905,535.658,338.215,304.826
67,66.920053,1.454909365,536.155,339.155,304.98
68,66.905719,1.685544686,536.669,340.08,305.102
69,66.989535,1.46084307,537.039,341.033,305.254
70,67.09247,1.736525894,538.281,341.985,305.377
71,67.190286,1.501827618,537.396,342.919,305.545
72,67.203656,1.374909822,538.938,343.859,305.664
73,67.204449,1.31751483,539.589,344.807,305.839
74,67.12117,1.461496553,541.44,345.768,306.003
75,67.015934,1.260133103,542.788,346.715,306.157
76,67.002175,1.461068782,543.801,347.656,306.33
77,66.919676,1.665809779,545.936,348.616,306.529
78,66.905862,1.502924961,547.022,349.542,306.708
79,67.078439,1.723401307,548.635,350.476,306.931
80,67.107054,1.629819619,550.588,351.401,307.174
81,67.189403,1.53473368,551.79,352.35,307.447
82,67.202788,1.431804266,552.865,353.255,307.717
83,67.119355,0.554702261,554.109,354.14,307.977
84,67.106524,0.451586006,553.572,355.042,308.162
85,67.016153,0.891834782,550.111,355.925,308.366
86,67.002887,0.630489097,551.346,356.822,308.56
87,66.920449,0.728242188,550.037,357.699,308.754
88,66.989058,0.582040926,549.064,358.562,308.937
89,67.092646,0.681826005,550.113,359.458,309.135
90,67.190523,0.427034647,550.639,360.328,309.333
91,67.292465,0.434196571,552.605,361.197,309.525
92,67.2193,0.390549628,550.977,362.038,309.736
93,67.12098,0.900052733,552.736,362.92,309.953
94,67.107215,0.527267255,553.412,363.74,310.145
95,67.017963,0.925811605,552.607,364.578,310.357
96,67.003217,0.74840115,554.353,365.415,310.57
97,67.003773,0.903180531,555.653,366.25,310.775
98,67.003107,0.427040304,556.506,367.057,311.021
99,67.092803,0.957220143,555.001,367.865,311.253
100,67.107072,0.50254624,555.65,368.649,311.487
101,67.190758,0.894142579,555.835,369.415,311.733
102,67.120976,0.455156675,556.489,370.188,311.984
103,67.017567,0.710046435,557.371,370.934,312.277
104,67.003339,0.475388482,557.67,371.683,312.624
105,66.920121,0.71010826,557.653,372.436,313.444
106,66.90612,0.669144023,557.929,373.185,314.007
107,66.815701,0.850784349,557.266,373.887,314.462
108,66.97482,0.625701815,556.372,374.607,314.93
109,67.094015,0.859023253,558.649,375.296,315.302
110,67.190913,0.60714932,560.254,375.988,315.743
111,67.204193,0.551005723,561.437,376.691,316.126
112,67.204731,1.42383534,562.93,377.344,316.537
113,66.94845,1.374258107,563.357,377.955,317.011
114,66.906936,16.1438498,562.063,378.543,317.464
115,66.722346,64.80551153,560.354,379.101,318.022
116,66.70013,93.94772637,559.715,379.57,318.547
117,66.700881,118.9603343,571.641,380.224,319.099
118,66.701162,149.1508349,596.602,380.85,319.618
119,66.700834,148.8453381,638.434,381.499,320.148
120,66.615847,197.5779939,675.975,382.091,320.732
121,66.513531,219.721197,706.224,382.686,321.353
122,66.328499,254.0130453,723.056,383.199,321.953
123,66.057217,267.3996071,725.36,383.339,322.485
124,65.656275,284.4782957,726.19,383.636,322.671
125,65.249785,291.2498701,728.528,384.16,322.79
126,65.370373,307.4867403,727.904,384.662,323.275
127,65.487208,305.7480715,724.741,385.125,323.969
128,65.412891,330.1136958,722.166,385.643,324.576
129,65.398097,327.4400806,719.494,386.178,325.351
130,65.316781,326.5443475,718.115,387.132,326.347
131,64.857842,339.2897249,716.962,388.081,327.66
132,64.798169,339.116912,716.773,388.911,329.506
133,64.713093,352.2255707,715.318,389.599,331.022
134,64.52611,347.8750449,714.366,390.218,332.282
135,64.496732,350.6930999,713.644,390.833,333.319
136,64.4156,350.1693883,713.175,391.488,334.16
137,64.314146,348.2277077,711.72,392.067,334.858
138,64.215102,366.5621971,710.175,392.669,335.502
139,63.609133,381.2720946,708.852,393.292,336.143
140,63.502371,381.5253666,708.054,393.961,336.796
141,63.32963,377.0958441,707.257,394.625,337.427
142,63.302322,378.6255918,705.982,395.319,337.911
143,63.386886,379.8942879,705.1,395.989,338.155
144,63.223759,386.4489324,705.16,396.679,338.286
145,63.199415,374.5352286,703.665,397.292,338.311
146,63.029279,387.8001399,702.319,397.942,337.391
147,62.496396,387.937636,701.08,398.637,336.239
148,62.404685,385.4593563,700.425,399.284,335.274
149,62.229745,376.4137332,699.854,399.946,334.143
150,62.113061,377.8775175,698.973,400.502,333.095
151,62.1866,374.5224566,697.612,400.714,332.103
152,62.02501,380.7034247,696.39,401.104,331.15
153,61.912174,371.8515312,695.12,402.105,330.186
154,61.89868,373.0781559,694.187,403.587,329.313
155,61.520852,370.8251383,693.508,404.93,328.459
156,61.322432,378.7854785,692.864,406.129,327.716
157,60.524851,375.1883248,691.678,407.274,327.078
158,60.479572,379.7890659,691.117,408.333,326.569
159,60.585614,387.729863,690.784,409.337,326.175
160,60.508494,382.2693537,690.447,410.303,325.873
161,60.494649,382.8383727,689.636,411.259,325.626
162,60.494773,379.6950485,689.007,412.198,325.577
163,60.193332,370.05302,688.514,413.168,325.839
164,60.010468,391.5127345,688.011,414.096,325.95
165,59.647495,379.1033738,687.496,414.995,325.969
166,59.507429,389.3163431,687.443,415.914,326.052
167,59.57783,389.2365028,687.205,416.847,326.094
168,59.507446,395.7404183,686.773,417.761,326.186
169,59.402243,387.9599659,686.436,418.659,326.175
170,59.21749,394.1766903,686.224,419.596,326.226
171,59.05622,395.4092101,685.824,420.514,326.301
172,58.906429,396.357049,685.903,421.439,326.385
173,58.013397,394.7679515,685.63,422.341,326.481
174,57.798347,392.3765705,685.52,423.261,326.607
175,58.133847,403.5752058,685.446,424.15,326.702
176,58.099531,406.5518508,685.228,425.032,326.79
177,58.08675,403.3150879,685.322,425.991,326.877
178,57.914661,382.2694627,685.409,426.902,326.966
179,57.828246,391.2169309,685.538,427.823,327.007
180,57.705637,399.3223619,685.831,428.718,327.188
181,56.835658,386.7821034,685.798,429.635,327.38
182,56.682038,385.564437,685.75,430.529,327.546
183,56.510189,392.8548326,684.761,431.436,327.772
184,56.481222,394.8585229,684.577,432.335,328.002
185,56.565552,384.604638,684.689,433.236,328.249
186,56.496024,391.5941679,684.608,434.143,328.447
187,56.420182,394.7671561,684.33,435.015,328.685
188,56.383191,383.8734426,684.213,435.913,328.915
189,56.034209,399.1600478,683.555,436.819,329.156
190,55.291615,407.5182251,683.391,437.723,329.349
191,55.262222,401.4721428,684.003,438.619,329.577
192,55.192251,395.4348314,683.767,439.491,329.782
193,55.179183,407.9779778,683.526,440.391,329.982
194,54.745832,413.2776229,683.098,441.289,330.201
195,54.75758,407.5247209,682.792,442.168,330.412
196,54.770223,406.1798191,682.27,443.055,330.635
197,54.770653,411.0677279,682.456,443.981,330.799
198,54.771599,389.1711262,681.985,444.868,330.988
199,54.598926,410.2934384,681.66,445.775,331.194
200,54.489085,389.6041947,681.489,446.657,331.367
201,54.302708,396.6349778,681.759,447.543,331.608
202,53.669746,397.0370874,682.159,448.442,331.812
203,53.493968,394.4898675,682.561,449.356,332.055
204,53.470126,389.3642952,682.388,450.206,332.319
205,53.210878,403.5243188,682.01,451.072,332.572
206,52.811564,397.3029522,681.954,451.961,332.813
207,53.195216,400.5970155,682.583,452.839,333.06
208,53.0045,399.8733041,682.711,453.713,333.279
209,52.961765,391.0070861,682.829,454.6,333.539
210,52.78726,416.4481348,682.519,455.517,333.773
211,52.24577,407.9286923,682.231,456.392,334.005
212,51.809569,425.1111169,681.984,457.249,334.238
213,51.758249,415.1553281,682.119,458.156,334.489
214,51.668879,440.2808974,681.98,459.035,334.724
215,51.481198,422.8490633,681.742,459.896,334.951
216,51.456529,408.7778594,680.892,460.725,335.199
217,51.456196,426.1121928,680.241,461.613,335.437
218,51.372667,417.2945998,680.354,462.484,335.687
219,51.273082,416.7710303,680.188,463.372,335.951
220,50.992189,402.2165409,680.179,464.238,336.192
221,50.954037,418.5000438,679.958,465.083,336.392
222,50.871263,424.1112699,679.797,466.006,336.625
223,50.337904,419.0359009,680.085,466.869,336.856
224,50.170828,406.7679335,680.251,467.758,337.07
225,50.156926,426.6460143,680.326,468.63,337.291
226,49.896015,432.3076444,680.286,469.494,337.526
227,49.853308,431.8356778,679.952,470.398,337.736
228,49.600069,417.9791528,679.854,471.241,338.023
229,49.469646,423.514049,680.33,472.103,338.22
230,49.285535,422.2476868,680.592,472.999,338.411
231,48.312566,437.3930335,680.114,473.847,338.657
232,48.49916,453.4924759,680.253,474.741,338.873
233,48.645266,422.2159433,680.037,475.577,339.063
234,48.480682,447.6271384,680.19,476.43,339.237
235,48.429362,436.8128012,680,477.289,339.485
236,48.277356,427.172614,679.286,478.122,339.678
237,48.081511,413.5333598,679.078,479.002,339.872
238,47.629655,444.9188083,679.12,479.915,340.076
239,47.382332,444.0595197,679.327,480.762,340.271
240,47.354296,423.3218502,679.113,481.644,340.5
241,47.353979,424.5752255,678.671,482.512,340.701
242,47.185131,420.5457427,678.152,483.383,340.889
243,47.138201,434.5551925,677.843,484.247,341.093
244,46.977238,430.3451542,678.281,485.082,341.247
245,46.780783,443.0480082,678.239,485.948,341.438
246,46.317664,442.3686113,677.869,486.78,341.564
247,46.004519,443.3003273,676.954,487.63,341.72
248,45.872635,419.954718,677.012,488.539,342.005
249,45.85819,429.2449286,676.723,489.381,342.2
250,45.768668,441.6839804,677.093,490.25,342.379
251,45.667471,426.7042859,677.171,491.072,342.553
252,45.567338,434.1232711,676.812,491.97,342.729
253,45.383359,431.978661,676.452,492.83,342.863
254,45.013643,433.0752865,676.28,493.683,342.966
255,44.783013,436.9633722,675.945,494.589,343.062
256,44.664338,450.217468,675.805,495.44,343.178
257,44.481018,439.3018039,676.186,496.329,343.313
258,44.369648,430.490495,675.692,497.298,343.435
259,44.270661,437.4618853,675.576,498.171,343.559
260,44.170205,449.9855666,675.221,499.06,343.722
261,43.891809,449.1091058,674.983,499.983,343.884
262,43.240436,453.7516444,674.782,500.842,344.049
263,42.980472,445.8676647,674.693,501.712,344.261
264,42.778609,430.3479286,674.483,502.571,344.445
265,42.58306,453.2989387,674.498,503.433,344.663
266,42.635636,465.6568701,675.248,504.257,344.854
267,42.568043,466.7680163,675.185,505.132,345.07
268,42.555472,465.9441018,675.367,506.029,345.252
269,42.464731,478.7637272,675.083,506.901,345.475
270,42.113677,462.716658,674.558,507.745,345.673
271,41.879695,482.0352924,674.27,508.653,345.914
272,41.147088,475.7967943,673.898,509.562,346.126
273,40.871325,459.1885767,673.604,510.376,346.308
274,40.932927,482.2024142,673.272,511.257,346.545
275,40.856,472.0825767,672.865,512.12,346.75
276,40.843522,456.5992272,672.788,512.941,346.925
277,40.844617,464.9478012,672.711,513.848,347.167
278,40.592786,485.7962301,671.766,514.698,347.347
279,40.376364,476.358262,671.578,515.506,347.557
280,40.259047,473.4136466,671.565,516.355,347.81
281,39.813659,470.9608641,672.036,517.24,347.987
282,39.136367,500.272858,671.8,518.127,348.159
283,39.387574,463.0662545,671.844,519.034,348.36
284,39.445559,480.3138103,671.85,519.93,348.551
285,39.26939,478.7938448,671.421,520.687,348.78
286,39.156332,467.3096363,671.068,521.474,348.995
287,39.051242,493.1978319,671.119,522.347,349.233
288,38.862699,481.6349878,671.361,523.278,349.454
289,37.884732,478.5824535,671.428,524.014,349.63
290,37.730884,475.7713929,671.844,524.836,349.859
291,37.385558,482.2388688,671.367,525.689,350.056
292,37.330014,489.1489313,671.265,526.597,350.233
293,37.413888,500.6307251,671.141,527.576,350.407
294,37.251976,504.0699074,670.388,528.495,350.632
295,37.223918,480.4185706,670.247,529.33,350.806
296,37.049451,489.1652152,670.205,530.114,351.033
297,36.678493,483.7968688,669.831,530.953,351.253
298,36.358505,516.6402042,669.334,532.557,351.483
299,36.14659,509.4297316,669.693,535.189,351.682
300,35.948957,529.1566638,670.046,536.287,351.885
301,35.481661,520.5390659,669.375,537.118,352.087
302,35.504779,522.9275211,668.952,537.498,352.327
303,35.520685,519.63248,668.922,537.312,352.561
304,35.349342,482.395646,668.798,537.677,352.82
305,35.320925,507.759706,668.924,537.526,353.056
306,35.229885,512.6138476,669.123,538.382,353.227
307,34.789834,515.5218056,669.495,539.228,353.435
308,34.540648,502.6350681,670.02,540.1,353.684
309,33.641559,510.5625136,670.833,540.965,353.951
310,33.343895,509.9207662,671.28,541.831,354.181
311,33.316036,505.3794369,670.636,542.67,354.427
312,33.398577,505.3603377,670.537,543.383,354.666
313,33.328886,499.6471413,670.404,544.262,354.974
314,33.228003,506.5542206,670.615,544.881,355.199
315,33.045735,513.1321514,670.471,545.7,355.496
316,33.015608,521.7478013,670.173,546.451,355.82
317,32.577316,508.2579277,669.828,547.288,356.156
318,31.9984,524.1534626,669.931,548.099,356.529
319,31.915108,515.9052789,669.852,548.878,356.719
320,31.572849,505.5066648,670.153,549.705,357.049
321,30.917236,509.8197191,669.538,550.563,357.341
322,31.070853,525.8652482,668.767,551.41,357.555
323,31.029607,491.809324,668.026,552.256,357.827
324,31.09847,483.7427468,667.424,553.089,358.061
325,30.942127,509.8445246,667.282,553.922,358.283
326,30.831535,523.0837054,667.261,554.778,358.5
327,30.729086,501.7059883,667.328,555.635,358.706
328,30.027298,506.5315171,667.592,556.474,358.986
329,29.39586,528.4779604,667.609,557.326,359.263
330,29.113529,538.0643127,667.786,558.166,359.505
331,29.10435,516.1200358,667.522,559.01,359.744
332,29.108623,509.2765755,667.1,559.833,359.996
333,28.857638,519.1113158,666.912,560.678,360.276
334,28.553697,499.2470693,666.749,561.536,360.522
335,28.510187,506.7100568,666.729,562.396,360.827
336,28.50918,515.8726593,666.792,563.225,361.126
337,28.421766,523.9039757,666.799,564.05,361.423
338,28.311535,528.4907414,666.888,564.902,361.7
339,28.219507,492.4429123,667.027,565.724,362.006
340,28.123649,472.7591833,667.195,566.531,362.326
341,27.246386,507.9052212,667.5,567.339,362.651
342,26.850344,495.9978743,667.592,568.161,362.986
343,26.894777,504.5309873,667.729,569.147,363.339
344,26.644477,516.6077093,667.747,570.676,363.659
345,26.431111,507.5032542,667.714,570.508,363.99
346,26.39109,489.3468162,667.69,571.261,364.338
347,26.317897,497.4893719,667.925,572.01,364.688
348,25.963803,512.8462711,668.305,572.737,365.013
349,25.907505,510.5840792,668.562,573.49,365.304
350,25.817764,490.4148664,668.817,574.209,365.649
351,25.460157,526.6752516,669.213,574.916,366.04
352,24.971273,510.1384283,669.482,575.617,366.382
353,24.90036,497.4216014,669.859,576.247,366.711
354,24.574965,485.0339205,670.532,576.863,367.089
355,24.416383,490.6689734,672.164,577.474,367.497
356,23.785704,506.4135636,674.008,578.037,367.913
357,24.051185,513.5573115,676.222,578.409,368.238
358,24.010759,500.5900688,679.267,578.931,368.635
359,23.914509,520.4916008,682.324,579.814,369.037
360,23.72345,517.5012767,685.815,580.011,369.434
361,23.612247,478.8658719,690.042,580.377,369.84
362,22.643181,506.9480094,693.54,580.761,370.214
363,22.491446,499.791458,696.106,581.132,370.619
364,22.491623,497.6529267,698.344,581.601,371.017
365,22.232769,521.3086859,700.357,582.012,371.433
366,21.844197,507.4594053,704.554,582.404,371.898
367,21.871422,500.1067903,710.546,583.056,372.476
368,21.802792,512.9360157,717.447,583.692,373.17
369,21.70058,529.712183,724.738,583.653,373.929
370,21.658577,520.6736101,730.152,584.026,374.721
371,21.508547,527.587907,735.424,584.542,375.559
372,20.96955,558.0251046,739.176,584.973,376.213
373,20.372497,605.8609151,742.624,585.961,376.731
374,19.933068,555.3618867,746.845,585.157,377.853
375,19.708867,569.0991877,749.916,584.298,381.822
376,19.597018,518.6665804,752.361,583.396,386.116
377,19.668165,515.0658529,754.772,582.764,390.826
378,19.676272,517.8238784,757.059,581.31,396.041
379,19.597315,485.0995046,758.803,584.682,402.841
380,19.49801,480.1477475,760.982,585.133,408.549
381,19.482115,470.8065812,762.413,585.369,413.445
382,19.310708,443.6902532,763.362,585.251,418.206
383,18.41936,448.2141818,764.421,586.021,423.063
384,18.105519,443.9427201,765.561,585.609,426.155
385,18.077358,448.7671332,766.39,585.611,428.792
386,17.899311,442.9973259,767.054,586.076,430.862
387,17.878415,423.5172289,767.897,586.517,432.5
388,17.879348,420.4563184,768.695,587.244,433.387
389,17.796307,420.4954475,769.465,588.109,433.803
390,17.782949,417.0885549,770.102,589.202,433.428
391,17.611973,415.7257316,770.396,589.527,433.259
392,17.40638,436.2412813,770.239,589.949,433.107
393,16.534618,419.9104729,770.584,590.288,432.725
394,16.289595,410.1398877,770.782,590.245,432.026
395,16.367005,425.1309974,771.294,591.079,431.261
396,16.209505,410.3085773,771.755,591.699,430.921
397,16.093174,409.1786874,772.367,592.35,430.892
398,16.078507,393.8101758,772.752,593.061,430.954
399,15.996638,396.1351017,773.016,593.809,430.993
400,15.982254,392.3340384,773.281,594.691,430.983
401,15.893035,394.4222598,773.243,595.654,431.21
402,15.876899,393.0728704,773.25,596.739,431.443
403,15.796598,401.1807273,773.12,597.763,431.282
404,15.181362,404.0939609,772.591,598.708,431.272
405,14.910381,388.3893807,772.549,599.8,431.435
406,14.702453,388.0327204,773.186,600.763,432.329
407,14.419555,401.6918036,773.445,601.466,433.985
408,14.287864,380.5429461,774.051,602.448,434.952
409,14.275196,402.9926852,774.683,603.295,435.5
410,14.27385,392.9635834,775.269,604.069,435.745
411,14.103363,396.4870732,775.823,604.812,435.828
412,13.991855,399.1988143,776.252,605.545,435.766
413,13.977475,387.002113,776.327,606.321,435.756
414,13.718906,382.9588303,776.384,607.446,435.832
415,13.160032,381.5942136,776.594,608.149,435.883
416,12.986291,372.1379337,776.897,609.045,435.914
417,12.88215,371.7762804,777.16,609.815,435.951
418,12.695019,370.4936517,776.99,610.656,435.885
419,12.321253,381.8812642,777.028,611.47,435.815
420,12.529635,383.7251596,777.23,611.791,435.71
421,12.572548,374.4013687,777.83,613.897,435.844
422,12.401265,387.0241714,777.968,616.091,436.613
423,12.373956,387.5831309,778.079,617.537,437.736
424,12.284683,369.4764225,778.006,618.587,438.556
425,12.097973,377.7332745,778.131,619.513,439.359
426,11.89546,366.3575618,778.978,620.392,440.047
427,11.354938,381.5464775,779.011,620.894,440.486
428,11.181634,378.5492701,778.657,621.094,440.782
429,11.076881,392.2636341,779.455,621.598,441.045
430,10.809702,374.1886605,779.556,625.08,441.505
431,10.767903,365.3902145,779.859,627.102,442.107
432,10.85249,363.9287655,781.641,627.868,442.559
433,10.781708,365.7835544,783.78,627.047,442.85
434,10.678494,357.117038,785.214,628.456,443.123
435,10.665003,366.3673259,786.467,630.742,443.485
436,10.581694,356.9178119,787.23,632.327,443.908
437,10.567758,375.5153324,788.259,633.654,444.261
438,9.189502,351.5086681,788.564,636.447,444.504
439,9.136815,366.873554,790.076,638.417,444.912
440,9.164241,369.3656945,791.281,640.123,445.42
441,9.164464,360.1892859,791.948,641.895,445.863
442,9.075543,350.2225573,792.186,643.902,446.243
443,8.889454,345.9803264,793.451,645.8,446.518
444,8.861685,335.493345,793.876,647.08,446.81
445,8.861273,348.4819395,794.676,648.317,446.929
446,8.86148,372.5091106,796.332,650.033,446.97
447,8.779195,355.9713274,797.43,651.335,446.611
448,8.676429,369.7602436,797.82,652.725,446.354
449,8.502055,363.1251114,797.848,654.126,446.186
450,8.465138,368.0796676,797.87,655.306,446.182
451,8.113159,373.3885521,798.08,656.726,446.342
452,7.89041,364.5211682,798.241,658.206,446.746
453,7.598569,363.5523226,798.48,659.322,447.098
454,7.38689,364.0764074,799.506,660.248,447.529
455,7.269244,357.5490135,799.854,661.605,447.954
456,7.172296,362.0011282,800.464,662.859,448.525
457,7.13599,350.4226222,800.717,664.538,448.712
458,7.067014,358.3709262,801.308,668.823,449.305
459,6.972932,360.5933207,802.054,668.926,449.477
460,6.959167,356.6446795,802.683,670.29,449.89
461,6.866906,345.6966943,802.892,671.936,450.326
462,6.164815,341.063718,803.315,673.128,450.628
463,5.789057,330.2610555,803.37,674.462,451.134
464,5.750146,331.0822667,804.739,676.648,451.581
465,5.659381,323.0315517,805.263,677.578,451.87
466,5.561354,322.5226379,804.805,678.293,452.543
467,5.550091,318.3035779,804.395,675.876,455.505
468,5.550324,316.9507485,804.404,675.687,456.711
469,5.460898,304.7142688,804.434,675.824,457.527
470,5.363699,285.3488586,804.871,677.229,457.347
471,5.349395,277.0150228,806.113,676.586,456.836
472,5.34965,270.9489534,807.026,677.443,456.855
473,5.317749,274.9441997,807.848,678.132,456.961
474,5.17235,268.2178369,808.855,678.381,457.332
475,4.620089,257.9340584,808.655,678.673,457.726
476,4.635798,245.5560826,810.146,678.949,458.214
477,4.472187,240.8186785,811.987,678.973,458.969
478,4.10337,235.5875008,813.036,679.042,459.307
479,4.131946,228.6852425,814.173,678.951,459.498
480,4.234313,229.2401666,814.794,679.634,459.629
481,4.243353,224.3556175,817.367,680.613,460.002
482,4.157723,214.9225669,819.822,680.7,460.523
483,4.145298,207.9532795,820.093,680.257,460.849
484,4.144334,203.7054736,820.412,680.108,461.22
485,4.060713,195.349088,821.245,680.618,461.995
486,3.875622,193.4921818,821.881,681.072,463.162
487,3.670028,189.2313828,823.53,680.925,464.251
488,3.557907,183.4006303,826.502,680.665,465.404
489,3.543335,180.0280051,828.869,680.527,466.477
490,3.369774,173.1911897,831.153,680.202,468.555
491,3.345016,173.1588234,835.503,681.161,470.064
492,3.427515,168.7533924,842.791,681.115,471.396
493,3.44057,165.1352799,844.44,680.602,472.542
494,3.359208,164.851391,846.461,679.787,473.445
495,3.345094,161.5409158,845.703,678.459,474.309
496,3.345077,161.8700683,847.541,678.695,475.046
497,3.25622,158.2995906,847.305,678.647,475.422
498,2.990228,156.5916383,848.851,678.23,475.677
499,2.856684,155.4779145,851.503,677.001,475.609
500,2.840973,154.2050989,853.927,676.789,475.594
501,2.668225,150.8168811,856.042,676.316,475.681
502,2.551348,151.9359435,864.843,676.572,475.407
503,2.536343,147.0723642,869.845,676.051,474.541
504,2.625201,145.1512395,885.322,676.075,473.458
505,2.639813,141.4494352,882.945,675.637,472.908
506,2.55127,141.2637445,930.385,675.148,471.741
507,2.625508,141.983484,954.129,674.281,470.639
508,2.639606,135.9773837,968.625,674.089,470.166
509,2.381255,134.8804402,975.7,675.277,471.682
510,2.254731,132.3754227,1029.372,676.172,472.976
511,2.151385,126.4459248,1054.277,675.761,474.539
512,2.05436,122.3629207,1083.093,675.974,475.171
513,1.951974,119.3345595,1073.749,675.455,473.235
514,2.026164,116.8367935,1099.736,674.886,472.332
515,2.123064,114.8086222,1127.966,675.597,471.255
516,2.053301,109.5120404,1163.461,675.549,470.719
517,2.039917,106.6097527,1194.493,675.049,470.887
518,2.04006,101.4791094,1186.267,673.774,471.222
519,2.040074,98.07120618,1189.56,672.837,471.845
520,1.95177,96.21212705,1204.498,673.125,472.844
521,1.849351,95.35164701,1227.982,672.304,474.237
522,1.751832,92.98629219,1232.699,670.479,476.019
523,1.737245,89.9873931,1230.928,670.959,478.071
524,1.646193,87.15612959,1133.402,671.721,480.06
525,1.549008,84.58535998,1009.71,671.73,481.76
526,1.536724,82.08108401,920.905,671.127,483.078
527,1.710228,80.23034521,863.362,671.828,484.441
528,1.737909,79.48836494,812.687,672.212,485.116
529,1.738147,74.25808849,773.807,672.713,485.217
530,1.737814,72.56372927,753.305,674.328,485.624
531,1.737077,71.11127727,731.687,675.272,486.048
532,1.737945,66.93548603,710.039,676.804,486.218
533,1.64784,67.1008076,687.084,676.915,486.043
534,1.548956,63.208185,681.476,676.821,485.889
535,1.366846,61.07819044,670.639,681.712,485.899
536,1.248898,57.66795182,657.808,686.654,486.144
537,1.233838,55.49750537,646.403,692.955,486.121
538,1.23381,51.93321518,642.531,696.071,485.92
539,1.150438,49.39584156,630.919,699.329,485.727
540,1.049303,46.76396794,622.234,703.506,485.667
541,1.122967,48.49892407,619.016,713.246,485.328
542,1.221071,46.15541561,619.856,731.924,485.134
543,1.323961,44.62632013,608.379,740.662,485.18
544,1.338782,42.95073833,596.414,739.404,485.081
545,1.338046,40.18380594,592.73,763.806,485.064
546,1.420664,39.03093334,587.376,820.176,485.112
547,1.433995,35.74807997,581.489,892.109,485.237
548,1.261876,34.37373934,583.997,955.042,485.321
549,1.15058,32.55372964,578.772,1002.454,485.329
550,1.136769,30.50088475,572.403,994.916,485.054
551,1.049588,28.69252444,570.447,992.256,484.893
552,1.010904,28.3961337,572.301,973.371,484.994
553,1.030046,26.7228443,568.565,872.001,485.249
554,1.122528,24.95219525,567.562,764.724,485.364
555,1.137085,24.56640532,566.039,690.336,485.374
556,1.137369,23.09136006,565.447,655.12,485.288
557,1.222431,23.10912196,566.431,631.137,485.325
