Time,Mass
[s],[g]
761,17.689158
762,17.667265
763,17.558965
764,17.322598
765,17.272907
766,17.177198
767,17.203866
768,17.033455
769,16.752157
770,16.911246
771,16.646179
772,16.613722
773,16.651125
774,16.273531
775,16.368824
776,16.221524
777,15.987032
778,16.08818
779,15.838725
780,15.616398
781,15.759045
782,15.658516
783,15.532671
784,15.32126
785,15.402509
786,15.197693
787,15.170964
788,15.260131
789,14.857894
790,14.737572
791,14.852309
792,14.536213
793,14.574631
794,14.646676
795,14.520603
796,14.195017
797,14.335447
798,14.212183
799,14.014069
800,14.123021
801,13.913287
802,13.856911
803,13.874718
804,13.616185
805,13.756473
806,13.577201
807,13.496075
808,13.502479
809,13.268209
810,13.301855
811,13.296207
812,13.0742
813,13.117248
814,12.958706
815,12.90177
816,12.986407
817,12.960155
818,12.818851
819,12.73669
820,12.767606
821,12.56189
822,12.361075
823,12.448734
824,12.396741
825,12.275977
826,12.144841
827,12.09209
828,12.230713
829,12.129259
830,12.067666
831,11.96966
832,11.751654
833,11.849148
834,11.779375
835,11.567546
836,11.663555
837,11.574512
838,11.494418
839,11.489622
840,11.408916
841,11.255986
842,11.215808
843,11.209631
844,11.042729
845,11.061708
846,11.174828
847,10.886885
848,10.860045
849,10.977958
850,10.81752
851,10.680887
852,10.619105
853,10.612946
854,10.553364
855,10.532547
856,10.617048
857,10.283241
858,10.330649
859,10.354849
860,10.188351
861,10.114377
862,10.106097
863,10.068554
864,10.070218
865,9.931582
866,10.072599
867,9.922248
868,9.783636
869,9.819583
870,9.710775
871,9.603466
872,9.612678
873,9.503691
874,9.511202
875,9.33877
876,9.358817
877,9.379857
878,9.33423
879,9.369902
880,9.095265
881,9.087712
882,9.208864
883,9.086601
884,8.953655
885,9.012908
886,8.855633
887,8.765393
888,8.824948
889,8.827906
890,8.784714
891,8.608326
892,8.756814
893,8.571568
894,8.655726
895,8.633519
896,8.271149
897,8.517242
898,8.263963
899,8.397395
900,8.267135
901,8.260191
902,8.205228
903,8.181642
904,8.104023
905,8.111146
906,8.057367
907,8.07488
908,7.90058
909,7.973852
910,7.798265
911,7.755868
912,7.853378
913,7.739714
914,7.796277
915,7.726479
916,7.813153
917,7.679288
918,7.59935
919,7.722559
920,7.522675
921,7.591163
922,7.638279
923,7.488862
924,7.346375
925,7.373295
926,7.361316
927,7.199816
928,7.321646
929,7.226953
930,7.072459
931,7.130268
932,7.024565
933,6.950278
934,7.155882
935,7.117839
936,6.861222
937,6.842082
938,6.776236
939,6.865464
940,6.864698
941,6.771112
942,6.717115
943,6.647829
944,6.692321
945,6.744091
946,6.542758
947,6.590126
948,6.65286
949,6.475677
950,6.458813
951,6.412499
952,6.448131
953,6.33926
954,6.206203
955,6.40727
956,6.155404
957,6.214852
958,6.314876
959,6.068941
960,6.19607
961,6.056575
962,6.001818
963,6.090061
964,5.881456
965,6.059214
966,6.009042
967,5.860481
968,5.872306
969,5.773724
970,5.770681
971,5.626116
972,5.806317
973,5.665174
974,5.63621
975,5.547164
976,5.545977
977,5.603817
978,5.484375
979,5.521898
980,5.544186
981,5.440487
982,5.409657
983,5.310368
984,5.427859
985,5.236629
986,5.281072
987,5.288156
988,5.053399
989,5.172763
990,5.139884
991,5.059659
992,5.001127
993,5.019455
994,5.070042
995,5.006422
996,4.97995
997,4.933922
998,4.882883
999,4.97887
1000,4.704224
1001,4.787186
1002,4.942082
1003,4.809283
1004,4.715414
1005,4.641811
1006,4.597241
1007,4.727059
1008,4.604673
1009,4.572966
1010,4.648737
1011,4.499957
1012,4.501848
1013,4.545604
1014,4.563573
1015,4.438927
1016,4.29887
1017,4.521726
1018,4.315739
1019,4.146243
1020,4.418077
1021,4.256039
1022,4.176088
1023,4.435926
1024,4.23404
1025,4.180332
1026,4.221719
1027,4.082869
1028,4.09255
1029,4.126002
1030,4.157661
1031,4.058065
1032,3.963349
1033,3.899119
1034,3.987319
1035,3.987323
1036,3.979056
1037,4.010696
1038,3.77593
1039,3.878503
1040,3.912325
1041,3.701859
1042,3.900951
1043,3.70689
1044,3.669494
1045,3.804403
1046,3.706424
1047,3.693073
1048,3.747005
1049,3.732973
1050,3.654907
1051,3.584594
1052,3.640174
1053,3.631335
1054,3.519873
1055,3.426622
1056,3.47734
1057,3.589094
1058,3.503479
1059,3.251628
1060,3.401853
1061,3.521835
1062,3.285987
1063,3.31086
1064,3.429886
1065,3.382935
1066,3.280132
1067,3.209748
1068,3.313938
1069,3.151544
1070,3.199986
1071,3.234528
1072,3.179952
1073,3.149511
1074,2.91957
1075,3.157103
1076,3.170585
1077,2.952696
1078,3.161488
1079,2.848167
1080,3.039581
1081,2.942482
1082,2.916095
1083,3.033555
1084,2.871425
1085,3.009195
1086,2.802723
1087,2.908658
1088,2.798449
1089,2.831702
1090,2.920586
1091,2.727591
1092,2.705758
1093,2.791689
1094,2.665695
1095,2.79029
1096,2.701689
1097,2.812663
1098,2.522069
1099,2.708292
1100,2.515624
1101,2.642869
1102,2.604478
1103,2.621859
1104,2.524359
1105,2.539775
1106,2.547383
1107,2.312265
1108,2.574211
1109,2.538673
1110,2.292948
1111,2.5731
1112,2.371664
1113,2.367027
1114,2.47356
1115,2.282578
1116,2.421737
1117,2.370068
1118,2.42486
1119,2.34445
1120,2.301512
1121,2.400973
1122,2.23407
1123,2.239869
1124,2.454974
1125,2.33293
1126,2.248094
1127,2.25383
1128,2.11692
1129,2.101278
1130,2.210976
1131,2.216376
1132,2.15795
1133,2.294531
1134,2.039218
1135,2.019812
1136,2.280928
1137,2.015204
1138,2.033942
1139,2.263069
1140,2.029424
1141,1.948335
1142,2.101841
1143,1.985423
1144,1.904334
1145,2.113395
1146,2.083556
1147,1.853067
1148,2.046628
1149,2.042026
1150,1.851026
1151,2.063001
1152,1.872594
1153,1.982358
1154,1.981177
1155,1.816714
1156,2.05837
1157,1.836898
1158,1.805891
1159,1.850383
1160,1.73883
1161,1.913769
1162,1.621782
1163,1.857844
1164,1.71157
1165,1.753091
1166,1.700402
1167,1.629755
1168,1.845404
1169,1.667999
1170,1.771484
1171,1.592326
1172,1.698867
1173,1.673942
1174,1.605572
1175,1.62713
1176,1.657324
1177,1.650882
1178,1.540867
1179,1.540192
1180,1.59635
1181,1.510679
1182,1.411542
1183,1.476165
1184,1.393112
1185,1.61137
1186,1.508087
1187,1.507984
1188,1.396034
1189,1.476838
1190,1.348771
1191,1.493637
1192,1.339877
1193,1.402513
1194,1.453336
1195,1.321252
1196,1.374387
1197,1.307466
1198,1.457691
1199,1.324916
1200,1.365348
1201,1.418067
1202,1.117439
1203,1.357327
1204,1.372662
1205,1.10174
1206,1.399619
1207,1.320241
1208,1.082907
1209,1.224912
1210,1.220465
1211,1.190823
1212,1.143122
1213,1.239373
1214,1.198689
1215,0.977586
1216,1.171191
1217,1.202324
1218,1.12567
1219,1.221099
1220,1.204799
1221,1.165205
1222,1.211392
1223,0.891516
1224,1.099613
1225,1.176532
1226,0.965315
1227,1.119196
1228,1.135701
1229,1.027953
1230,1.057779
1231,1.119379
1232,1.105358
1233,1.043032
1234,0.993317
1235,1.12931
1236,0.968142
1237,1.04174
1238,1.091592
1239,0.869572
1240,0.987112
1241,0.934446
1242,1.060723
1243,0.850635
1244,0.966409
1245,0.807941
1246,1.088257
1247,0.925144
1248,1.042712
1249,0.804803
1250,0.928178
1251,0.816206
1252,0.902315
1253,0.898673
1254,0.980277
1255,0.843159
1256,0.785493
1257,0.833913
1258,0.865491
1259,0.692963
1260,0.805518
1261,0.770257
1262,0.912485
1263,0.696745
1264,0.805021
1265,0.694215
1266,0.725067
1267,0.769203
1268,0.725309
1269,0.699266
1270,0.708041
1271,0.775561
1272,0.733963
1273,0.668342
1274,0.789095
1275,0.701484
1276,0.66605
1277,0.618519
1278,0.602037
1279,0.660004
1280,0.539759
1281,0.662431
1282,0.577614
1283,0.564797
1284,0.560136
1285,0.548255
1286,0.54334
1287,0.519265
1288,0.566251
1289,0.687196
1290,0.610997
1291,0.593617
1292,0.457583
1293,0.631224
1294,0.411156
1295,0.590498
1296,0.540581
1297,0.502387
1298,0.492654
1299,0.404947
1300,0.56301
1301,0.421384
1302,0.463586
1303,0.424673
1304,0.357397
1305,0.494261
1306,0.329335
1307,0.429669
1308,0.516664
1309,0.454506
1310,0.433293
1311,0.528949
1312,0.407807
1313,0.292392
1314,0.329731
1315,0.50655
1316,0.414188
1317,0.488559
1318,0.493757
1319,0.319807
1320,0.397148
1321,0.418853
1322,0.379656
1323,0.414085
1324,0.399781
1325,0.435789
1326,0.331685
1327,0.414396
1328,0.459715
1329,0.188006
1330,0.474534
1331,0.383725
1332,0.359085
