Time,Mass,HRR,Back Surface Temperature 1
[s],[g],[kW/m2],[K]
268,44.752892,536.5231861,0
269,44.536553,530.6280664,0
270,44.295556,534.9025029,0
271,44.049578,535.2515123,0
272,43.855592,536.1157524,0
273,43.675727,541.2737526,0
274,43.443047,540.7794833,0
275,43.212807,540.9684874,0
276,42.999107,541.8112309,0
277,42.779655,546.9790637,0
278,42.560741,549.4605383,0
279,42.337803,548.2822069,0
280,42.10782,535.5326243,0
281,41.869297,536.1806503,0
282,41.650738,546.1069301,0
283,41.444212,547.7863765,0
284,41.241539,551.4257848,0
285,41.026763,554.4101245,0
286,40.79677,548.3578716,0
287,40.581443,548.680972,0
288,40.366725,552.7692229,0
289,40.133795,545.9356874,0
290,39.912142,542.9543144,0
291,39.693507,545.5834392,0
292,39.458104,556.913008,0
293,39.233202,552.2686864,0
294,39.008256,556.1694556,0
295,38.76175,567.3658201,0
296,38.528539,553.6458896,0
297,38.299674,554.8038782,0
298,38.068441,568.5235263,0
299,37.847168,578.615044,0
300,37.627493,562.6402149,0
301,37.404802,546.4418142,0
302,37.156933,550.407836,0
303,36.92749,553.7789855,0
304,36.702184,556.9298005,0
305,36.459798,563.3560791,0
306,36.229491,561.6383663,0
307,36.009861,559.5290244,0
308,35.764393,580.9842934,0
309,35.513026,579.7741653,0
310,35.288497,567.1060555,0
311,35.05662,574.5917249,0
312,34.802667,582.1267491,0
313,34.543739,589.1205773,0
314,34.317297,593.7115717,0
315,34.104688,591.1962405,0
316,33.866544,581.1711903,0
317,33.619667,576.4653152,0
318,33.375016,583.735956,0
319,33.126724,570.2636658,0
320,32.88881,554.3933483,0
321,32.654435,563.8088961,0
322,32.408471,570.2227357,0
323,32.15811,568.889091,0
324,31.930334,582.3091689,0
325,31.71521,582.6423952,0
326,31.489692,577.3787864,0
327,31.260527,582.9158482,0
328,31.025163,593.5669,0
329,30.791363,595.1079306,0
330,30.547897,588.494467,0
331,30.290882,594.666767,0
332,30.039014,598.4277039,0
333,29.80954,594.6380844,0
334,29.588724,593.8783258,0
335,29.352505,598.4528614,0
336,29.108574,603.8875747,0
337,28.865077,591.3649918,0
338,28.612963,582.05249,0
339,28.359019,586.5985953,0
340,28.116251,596.646425,0
341,27.883959,605.98053,0
342,27.646531,609.874196,0
343,27.40145,601.2050395,0
344,27.161443,591.2191124,0
345,26.909339,595.6145524,0
346,26.645658,606.4985244,0
347,26.396295,609.9425242,0
348,26.144649,596.3785318,0
349,25.893189,583.2805072,0
350,25.663243,595.9378288,0
351,25.4221,616.6635657,0
352,25.162197,626.8723222,0
353,24.905006,623.2598343,0
354,24.643605,626.5752249,0
355,24.375595,634.8199997,0
356,24.115512,618.9916162,0
357,23.876331,631.6809087,0
358,23.633507,657.8039923,0
359,23.402593,649.9209009,0
360,23.190124,631.3424365,0
361,22.84108,641.2300449,0
362,22.595612,631.0774152,0
363,22.351128,617.0803798,0
364,22.102675,619.3154695,0
365,21.845905,623.4084619,0
366,21.604378,638.5445456,0
367,21.337525,630.7004758,0
368,21.074485,615.8054741,0
369,20.820106,624.9358417,0
370,20.540805,631.9603164,0
371,20.287328,635.7138312,0
372,20.047261,639.4016534,0
373,19.78041,651.4378656,0
374,19.511124,659.681721,0
375,19.241743,632.7379798,0
376,18.974798,612.06967,0
377,18.705473,617.7961619,0
378,18.435186,625.6618738,0
379,18.140534,669.1559591,0
380,17.879811,679.4384867,0
381,17.64857,665.7014275,0
382,17.384941,659.0921972,0
383,17.119174,659.0458031,0
384,16.857111,666.4504923,0
385,16.572955,669.1822864,0
386,16.296341,669.2461634,0
387,16.011481,670.5332975,0
388,15.696266,688.2443162,0
389,15.437935,658.7261248,0
390,15.174251,635.7813192,0
391,14.908851,663.1554183,0
392,14.636113,713.1225159,0
393,14.332424,746.7567945,0
394,14.017975,748.7813726,0
395,13.724487,744.7597538,0
396,13.436646,733.4819308,0
397,13.140983,725.8758946,0
398,12.865518,708.8749634,0
399,12.591219,690.3834749,0
400,12.304271,681.3492025,0
401,12.013157,696.7706973,0
402,11.729274,702.0193437,0
403,11.453455,697.1692098,0
404,11.16225,706.5386006,0
405,10.857577,700.8298642,0
406,10.571763,686.457768,0
407,10.28035,707.2553401,0
408,9.974294,701.3805527,0
409,9.673324,679.3751795,0
410,9.393096,689.1575243,0
411,9.16095,708.9904476,0
412,8.914456,699.7339827,0
413,8.638507,686.0131352,0
414,8.354954,694.0074733,0
415,8.080436,680.3446902,0
416,7.818815,664.8444506,0
417,7.526716,649.5104637,0
418,7.248224,646.3862678,0
419,7.008178,645.5254254,0
420,6.744099,631.612397,0
421,6.461314,625.9097659,0
422,6.19127,624.9570968,0
423,5.927889,621.4816933,0
424,5.681749,618.7022617,0
425,5.451279,611.2876947,0
426,5.208713,610.5421599,0
427,4.944586,620.1609737,0
428,4.690872,599.4790986,0
429,4.446278,579.4729112,0
430,4.189611,587.5176045,0
431,3.932617,596.3021575,0
432,3.706359,588.11035,0
433,3.500484,558.1789617,0
434,3.287452,545.5110079,0
435,3.05793,538.1006826,0
436,2.834262,526.0776236,0
437,2.619281,523.2642318,0
438,2.397577,510.9294618,0
439,2.18708,488.6768235,0
440,1.985483,481.4334545,0
441,1.808533,468.4079982,0
442,1.637289,452.4853206,0
443,1.456302,437.3821439,0
444,1.282921,406.5174184,0
445,1.125308,388.1803562,0
446,0.97344,375.7505222,0
447,0.824047,337.5831269,0
448,0.681462,290.2172576,0
449,0.562394,271.8608585,0
450,0.45614,254.945055,0
451,0.375873,216.624496,0
452,0.319673,198.8736189,0
453,0.259982,178.4833358,0
454,0.188684,144.5093248,0
455,0.123684,132.8471389,0
456,0.07488,123.3767585,0
457,0.039216,102.1646895,0
458,0.01492,93.274002,0
459,-0.002164,85.19434802,0
460,-0.009089,69.81347622,0
461,-0.027233,63.49584952,0
462,-0.049128,57.97622238,0
463,-0.06158,50.54712936,0
464,-0.084922,44.13194694,0
465,-0.085283,40.37751885,0
466,-0.072453,35.88358337,0
467,-0.091731,28.44428316,0
468,-0.11526,25.20822927,0
469,-0.126582,22.81509198,0
470,-0.135355,18.81423021,0
471,-0.137408,17.16350015,0
472,-0.130581,15.61752759,0
473,-0.115725,13.32392347,0
474,-0.107,12.45779932,0
475,-0.114086,11.45107616,0
476,-0.117812,10.32925742,0
477,-0.112709,10.15752637,0
478,-0.11,9.8983567,0
479,-0.108345,9.278853038,0
480,-0.11451,9.056931855,0
481,-0.127917,8.684841132,0
482,-0.134,7.990908876,0
483,-0.149627,7.291953776,0
484,-0.159286,6.993008879,0
485,-0.154847,6.377689571,0
486,-0.152453,5.029067446,0
487,-0.158589,4.403223609,0
488,-0.168955,3.986381856,0
489,-0.187672,3.174728663,0
490,-0.188162,2.872546753,0
491,-0.156738,2.565263885,0
492,-0.132125,2.085698077,0
493,-0.126457,1.93391128,0
494,-0.130901,1.775953583,0
495,-0.148652,1.35784091,0
496,-0.174784,1.118427808,0
497,-0.183705,1.146436671,0
498,-0.151792,1.058671024,0
499,-0.126367,0.912416185,0
500,-0.138135,0.879983546,0
501,-0.147358,0.869892599,0
502,-0.148668,0.85164631,0
503,-0.156361,0.846171843,0
504,-0.176263,0.908954242,0
505,-0.180802,1.009344748,0
506,-0.160298,1.040211661,0
507,-0.152297,1.107554076,0
508,-0.162164,1.256030186,0
509,-0.164189,1.32887454,0
510,-0.16693,1.299655906,0
511,-0.18024,1.17644702,0
512,-0.178079,1.108807884,0
513,-0.164396,1.521769808,0
514,-0.155729,1.820570954,0
515,-0.144923,1.801784525,0
516,-0.148283,1.795207708,0
517,-0.166494,1.781633665,0
518,-0.188513,1.777946363,0
519,-0.190201,1.806387181,0
520,-0.173511,1.87225756,0
521,-0.163291,1.970388927,0
522,-0.154504,2.031308052,0
523,-0.146851,2.149652088,0
524,-0.149364,2.211251035,0
525,-0.162301,2.174406397,0
526,-0.197455,1.638115896,0
527,-0.218899,1.132402588,0
528,-0.220208,1.110244665,0
529,-0.211799,0.681210252,0
530,-0.172141,-0.173867189,0
531,-0.14665,-0.637321523,0
532,-0.155704,-0.667491743,0
533,-0.165219,-0.6484629,0
534,-0.170157,-0.56954573,0
535,-0.172,-0.512320578,0
536,-0.179687,-0.45399452,0
537,-0.186551,-0.291162186,0
538,-0.17829,-0.184973371,0
539,-0.161845,-0.276009339,0
540,-0.162905,-0.358457841,0
541,-0.176795,-0.354899009,0
542,-0.183086,-0.411343345,0
543,-0.175824,-0.547282046,0
544,-0.163535,-0.606138857,0
545,-0.162837,-0.606223288,0
546,-0.167099,-0.333114581,0
547,-0.170204,0.110554394,0
548,-0.168734,0.281432221,0
549,-0.176946,0.362356075,0
550,-0.175053,0.547335936,0
551,-0.15887,0.636798344,0
552,-0.149217,0.602625061,0
553,-0.147959,0.517427539,0
554,-0.156205,0.463260272,0
