Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K]
402,-1.97,0,897,837
403,-1.97,0,899,834
404,-2,0,897,829
405,-1.98,0,892,837
406,-1.98,0,894,832
407,-1.99,0,901,820
408,-2.01,0,902,836
409,-2.01,0,896,840
410,-2.04,0,889,831
411,-2.07,0,889,845
412,-2.07,5.3,886,850
413,-2.07,0,885,845
414,-2.06,0,893,841
415,-2.05,0,890,838
416,-2.05,0,887,847
417,-2.05,0,883,840
418,-2.06,0,886,835
419,-2.06,0,894,839
420,-2.03,0,893,851
421,-2.02,0,895,851
422,-2.02,0,895,851
423,-2.02,0,891,843
424,-2.06,0,895,853
425,-2.06,0,892,849
426,-2.04,0,890,852
427,-2.07,0,890,849
428,-2.06,0,883,851
429,-2.06,0,882,850
430,-2.03,0,889,843
431,-2.06,0,892,837
432,-2.06,0,893,835
433,-2.06,0,894,833
434,-2.09,0,891,845
435,-2.07,0,893,851
436,-2.08,0,898,839
437,-2.1,0,901,853
438,-2.1,0,901,846
439,-2.09,0,902,851
440,-2.09,0,901,857
441,-2.11,0,905,860
442,-2.11,0,903,857
443,-2.11,0,901,852
444,-2.1,0,898,857
445,-2.11,0,896,848
446,-2.11,0,887,845
447,-2.11,0.4,883,847
448,-2.09,0.8,882,857
449,-2.1,0.8,880,856
450,-2.1,0.8,876,856
451,-2.1,0.8,877,850
452,-2.06,0.8,879,858
453,-2.09,0.4,883,855
454,-2.09,0.8,890,853
455,-2.09,0.4,890,851
456,-2.06,0,889,851
457,-2.06,0,896,845
458,-2.09,0,889,843
459,-2.09,0,888,848
460,-2.09,0,893,849
461,-2.1,0,896,841
462,-2.07,0,895,844
463,-2.07,5.7,892,845
464,-2.08,0,892,835
465,-2.09,0,896,833
466,-2.1,0,901,846
467,-2.1,0,902,844
468,-2.11,0,897,848
469,-2.06,0,898,840
470,-2.06,0,898,851
471,-2.09,0,896,844
472,-2.06,0,886,852
473,-2.06,0,886,851
474,-2.07,0,892,855
475,-2.09,0,895,861
476,-2.07,0,887,865
477,-2.07,0,888,861
478,-2.05,0,892,852
479,-2.07,0,893,845
480,-2.07,0,891,830
481,-2.08,0,890,844
